House of Representatives - 2001 Election: New South Wales																									
Distribution of Preferences																									
By Polling Place																									
																									
Watson																									
				NAM			GRIFFITHS			MCLEAY			POULSEN			FITZSIMMONS			PLOOY			FARRELL			
Beverly Hills South (Watson)                                   																									
	FIRST			27	3.61		27	3.61		393	52.54		1	0.13		16	2.14		256	34.22		28	3.74		748
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	100.00		0	0.00		1
		TOTAL		27	3.61		27	3.61		393	52.54					16	2.14		257	34.36		28	3.74		748
	THIRD			2	7.14		3	10.71		5	17.86					4	14.29		14	50.00			Excluded		28
		TOTAL		29	3.88		30	4.01		398	53.21					20	2.67		271	36.23					748
	FOURTH			1	5.00		8	40.00		7	35.00						Excluded		4	20.00					20
		TOTAL		30	4.01		38	5.08		405	54.14								275	36.76					748
	FIFTH				Excluded		13	43.33		15	50.00								2	6.67					30
		TOTAL					51	6.82		420	56.15								277	37.03					748
	SIXTH							Excluded		40	78.43								11	21.57					51
		TOTAL								460	61.50								288	38.50					748
										Elected															
																									
Bexley North                                                   																									
	FIRST			32	2.86		43	3.84		523	46.74		4	0.36		41	3.66		440	39.32		36	3.22		1119
	SECOND			1	25.00		0	0.00		2	50.00			Excluded		0	0.00		1	25.00		0	0.00		4
		TOTAL		33	2.95		43	3.84		525	46.92					41	3.66		441	39.41		36	3.22		1119
	THIRD			4	11.11		3	8.33		4	11.11					7	19.44		18	50.00			Excluded		36
		TOTAL		37	3.31		46	4.11		529	47.27					48	4.29		459	41.02					1119
	FOURTH			3	6.25		18	37.50		21	43.75						Excluded		6	12.50					48
		TOTAL		40	3.57		64	5.72		550	49.15								465	41.55					1119
	FIFTH				Excluded		31	77.50		5	12.50								4	10.00					40
		TOTAL					95	8.49		555	49.60								469	41.91					1119
	SIXTH							Excluded		79	83.16								16	16.84					95
		TOTAL								634	56.66								485	43.34					1119
										Elected															
																									
Bexley West                                                    																									
	FIRST			45	2.36		89	4.68		955	50.18		7	0.37		52	2.73		687	36.10		68	3.57		1903
	SECOND			2	28.57		0	0.00		3	42.86			Excluded		0	0.00		2	28.57		0	0.00		7
		TOTAL		47	2.47		89	4.68		958	50.34					52	2.73		689	36.21		68	3.57		1903
	THIRD			11	16.18		1	1.47		16	23.53					10	14.71		30	44.12			Excluded		68
		TOTAL		58	3.05		90	4.73		974	51.18					62	3.26		719	37.78					1903
	FOURTH			10	16.13		27	43.55		21	33.87						Excluded		4	6.45					62
		TOTAL		68	3.57		117	6.15		995	52.29								723	37.99					1903
	FIFTH				Excluded		41	60.29		18	26.47								9	13.24					68
		TOTAL					158	8.30		1013	53.23								732	38.47					1903
	SIXTH							Excluded		126	79.75								32	20.25					158
		TOTAL								1139	59.85								764	40.15					1903
										Elected															
																									
Brighton Avenue                                                																									
	FIRST			101	4.37		96	4.15		1160	50.19		12	0.52		147	6.36		730	31.59		65	2.81		2311
	SECOND			3	25.00		3	25.00		1	8.33			Excluded		2	16.67		3	25.00		0	0.00		12
		TOTAL		104	4.50		99	4.28		1161	50.24					149	6.45		733	31.72		65	2.81		2311
	THIRD			11	16.92		6	9.23		14	21.54					8	12.31		26	40.00			Excluded		65
		TOTAL		115	4.98		105	4.54		1175	50.84					157	6.79		759	32.84					2311
	FOURTH			16	10.19		92	58.60		29	18.47						Excluded		20	12.74					157
		TOTAL		131	5.67		197	8.52		1204	52.10								779	33.71					2311
	FIFTH				Excluded		88	67.18		30	22.90								13	9.92					131
		TOTAL					285	12.33		1234	53.40								792	34.27					2311
	SIXTH							Excluded		238	83.51								47	16.49					285
		TOTAL								1472	63.70								839	36.30					2311
										Elected															
																									
Campsie                                                        																									
	FIRST			185	8.70		46	2.16		1565	73.61		5	0.24		73	3.43		227	10.68		25	1.18		2126
	SECOND			1	20.00		1	20.00		0	0.00			Excluded		2	40.00		0	0.00		1	20.00		5
		TOTAL		186	8.75		47	2.21		1565	73.61					75	3.53		227	10.68		26	1.22		2126
	THIRD			1	3.85		1	3.85		2	7.69					7	26.92		15	57.69			Excluded		26
		TOTAL		187	8.80		48	2.26		1567	73.71					82	3.86		242	11.38					2126
	FOURTH			5	6.10		45	54.88		23	28.05						Excluded		9	10.98					82
		TOTAL		192	9.03		93	4.37		1590	74.79								251	11.81					2126
	FIFTH				Excluded		103	53.65		79	41.15								10	5.21					192
		TOTAL					196	9.22		1669	78.50								261	12.28					2126
	SIXTH							Excluded		176	89.80								20	10.20					196
		TOTAL								1845	86.78								281	13.22					2126
										Elected															
																									
Campsie South                                                  																									
	FIRST			111	7.58		39	2.66		985	67.28		5	0.34		30	2.05		270	18.44		24	1.64		1464
	SECOND			1	20.00		1	20.00		2	40.00			Excluded		1	20.00		0	0.00		0	0.00		5
		TOTAL		112	7.65		40	2.73		987	67.42					31	2.12		270	18.44		24	1.64		1464
	THIRD			2	8.33		2	8.33		3	12.50					2	8.33		15	62.50			Excluded		24
		TOTAL		114	7.79		42	2.87		990	67.62					33	2.25		285	19.47					1464
	FOURTH			6	18.18		11	33.33		9	27.27						Excluded		7	21.21					33
		TOTAL		120	8.20		53	3.62		999	68.24								292	19.95					1464
	FIFTH				Excluded		65	54.17		49	40.83								6	5.00					120
		TOTAL					118	8.06		1048	71.58								298	20.36					1464
	SIXTH							Excluded		91	77.12								27	22.88					118
		TOTAL								1139	77.80								325	22.20					1464
										Elected															
																									
Canterbury                                                     																									
	FIRST			39	6.20		23	3.66		372	59.14		3	0.48		23	3.66		146	23.21		23	3.66		629
	SECOND			1	33.33		1	33.33		1	33.33			Excluded		0	0.00		0	0.00		0	0.00		3
		TOTAL		40	6.36		24	3.82		373	59.30					23	3.66		146	23.21		23	3.66		629
	THIRD			3	13.04		1	4.35		3	13.04					1	4.35		15	65.22			Excluded		23
		TOTAL		43	6.84		25	3.97		376	59.78					24	3.82		161	25.60					629
	FOURTH			2	8.33		8	33.33		11	45.83						Excluded		3	12.50					24
		TOTAL		45	7.15		33	5.25		387	61.53								164	26.07					629
	FIFTH				Excluded		19	42.22		23	51.11								3	6.67					45
		TOTAL					52	8.27		410	65.18								167	26.55					629
	SIXTH							Excluded		36	69.23								16	30.77					52
		TOTAL								446	70.91								183	29.09					629
										Elected															
																									
Canterbury Hospital                                            																									
	FIRST			31	5.98		19	3.67		319	61.58		6	1.16		12	2.32		116	22.39		15	2.90		518
	SECOND			0	0.00		1	16.67		5	83.33			Excluded		0	0.00		0	0.00		0	0.00		6
		TOTAL		31	5.98		20	3.86		324	62.55					12	2.32		116	22.39		15	2.90		518
	THIRD			0	0.00		1	6.67		1	6.67					0	0.00		13	86.67			Excluded		15
		TOTAL		31	5.98		21	4.05		325	62.74					12	2.32		129	24.90					518
	FOURTH			3	25.00		5	41.67		3	25.00						Excluded		1	8.33					12
		TOTAL		34	6.56		26	5.02		328	63.32								130	25.10					518
	FIFTH				Excluded		17	50.00		13	38.24								4	11.76					34
		TOTAL					43	8.30		341	65.83								134	25.87					518
	SIXTH							Excluded		35	81.40								8	18.60					43
		TOTAL								376	72.59								142	27.41					518
										Elected															
																									
Canterbury South                                               																									
	FIRST			50	3.74		58	4.34		879	65.74		5	0.37		41	3.07		270	20.19		34	2.54		1337
	SECOND			2	40.00		2	40.00		1	20.00			Excluded		0	0.00		0	0.00		0	0.00		5
		TOTAL		52	3.89		60	4.49		880	65.82					41	3.07		270	20.19		34	2.54		1337
	THIRD			2	5.88		3	8.82		7	20.59					9	26.47		13	38.24			Excluded		34
		TOTAL		54	4.04		63	4.71		887	66.34					50	3.74		283	21.17					1337
	FOURTH			7	14.00		18	36.00		22	44.00						Excluded		3	6.00					50
		TOTAL		61	4.56		81	6.06		909	67.99								286	21.39					1337
	FIFTH				Excluded		36	59.02		22	36.07								3	4.92					61
		TOTAL					117	8.75		931	69.63								289	21.62					1337
	SIXTH							Excluded		93	79.49								24	20.51					117
		TOTAL								1024	76.59								313	23.41					1337
										Elected															
																									
Carlton West                                                   																									
	FIRST			19	4.45		20	4.68		243	56.91		0	0.00		9	2.11		126	29.51		10	2.34		427
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0
		TOTAL		19	4.45		20	4.68		243	56.91					9	2.11		126	29.51		10	2.34		427
	THIRD			0	0.00		1	10.00		2	20.00					2	20.00		5	50.00			Excluded		10
		TOTAL		19	4.45		21	4.92		245	57.38					11	2.58		131	30.68					427
	FOURTH			2	18.18		4	36.36		3	27.27						Excluded		2	18.18					11
		TOTAL		21	4.92		25	5.85		248	58.08								133	31.15					427
	FIFTH				Excluded		12	57.14		6	28.57								3	14.29					21
		TOTAL					37	8.67		254	59.48								136	31.85					427
	SIXTH							Excluded		24	64.86								13	35.14					37
		TOTAL								278	65.11								149	34.89					427
										Elected															
																									
Clemton Park                                                   																									
	FIRST			126	3.32		121	3.19		2134	56.26		16	0.42		125	3.30		1096	28.90		175	4.61		3793
	SECOND			2	12.50		4	25.00		4	25.00			Excluded		5	31.25		1	6.25		0	0.00		16
		TOTAL		128	3.37		125	3.30		2138	56.37					130	3.43		1097	28.92		175	4.61		3793
	THIRD			2	1.14		12	6.86		28	16.00					14	8.00		119	68.00			Excluded		175
		TOTAL		130	3.43		137	3.61		2166	57.11					144	3.80		1216	32.06					3793
	FOURTH			15	10.42		68	47.22		35	24.31						Excluded		26	18.06					144
		TOTAL		145	3.82		205	5.40		2201	58.03								1242	32.74					3793
	FIFTH				Excluded		77	53.10		48	33.10								20	13.79					145
		TOTAL					282	7.43		2249	59.29								1262	33.27					3793
	SIXTH							Excluded		219	77.66								63	22.34					282
		TOTAL								2468	65.07								1325	34.93					3793
										Elected															
																									
Earlwood                                                       																									
	FIRST			18	1.96		42	4.57		504	54.78		2	0.22		28	3.04		305	33.15		21	2.28		920
	SECOND			1	50.00		0	0.00		1	50.00			Excluded		0	0.00		0	0.00		0	0.00		2
		TOTAL		19	2.07		42	4.57		505	54.89					28	3.04		305	33.15		21	2.28		920
	THIRD			1	4.76		3	14.29		3	14.29					4	19.05		10	47.62			Excluded		21
		TOTAL		20	2.17		45	4.89		508	55.22					32	3.48		315	34.24					920
	FOURTH			3	9.38		18	56.25		9	28.13						Excluded		2	6.25					32
		TOTAL		23	2.50		63	6.85		517	56.20								317	34.46					920
	FIFTH				Excluded		18	78.26		4	17.39								1	4.35					23
		TOTAL					81	8.80		521	56.63								318	34.57					920
	SIXTH							Excluded		61	75.31								20	24.69					81
		TOTAL								582	63.26								338	36.74					920
										Elected															
																									
Earlwood North                                                 																									
	FIRST			42	2.22		74	3.91		929	49.13		5	0.26		115	6.08		680	35.96		46	2.43		1891
	SECOND			0	0.00		1	20.00		1	20.00			Excluded		1	20.00		2	40.00		0	0.00		5
		TOTAL		42	2.22		75	3.97		930	49.18					116	6.13		682	36.07		46	2.43		1891
	THIRD			4	8.70		2	4.35		6	13.04					2	4.35		32	69.57			Excluded		46
		TOTAL		46	2.43		77	4.07		936	49.50					118	6.24		714	37.76					1891
	FOURTH			11	9.32		67	56.78		28	23.73						Excluded		12	10.17					118
		TOTAL		57	3.01		144	7.62		964	50.98								726	38.39					1891
	FIFTH				Excluded		31	54.39		19	33.33								7	12.28					57
		TOTAL					175	9.25		983	51.98								733	38.76					1891
	SIXTH							Excluded		137	78.29								38	21.71					175
		TOTAL								1120	59.23								771	40.77					1891
										Elected															
																									
Earlwood South                                                 																									
	FIRST			65	2.57		128	5.06		1414	55.87		14	0.55		106	4.19		758	29.95		46	1.82		2531
	SECOND			5	35.71		1	7.14		3	21.43			Excluded		3	21.43		1	7.14		1	7.14		14
		TOTAL		70	2.77		129	5.10		1417	55.99					109	4.31		759	29.99		47	1.86		2531
	THIRD			4	8.51		4	8.51		6	12.77					9	19.15		24	51.06			Excluded		47
		TOTAL		74	2.92		133	5.25		1423	56.22					118	4.66		783	30.94					2531
	FOURTH			11	9.32		61	51.69		28	23.73						Excluded		18	15.25					118
		TOTAL		85	3.36		194	7.66		1451	57.33								801	31.65					2531
	FIFTH				Excluded		60	70.59		24	28.24								1	1.18					85
		TOTAL					254	10.04		1475	58.28								802	31.69					2531
	SIXTH							Excluded		192	75.59								62	24.41					254
		TOTAL								1667	65.86								864	34.14					2531
										Elected															
																									
Gilchrist Park                                                 																									
	FIRST			34	2.92		35	3.01		587	50.47		3	0.26		37	3.18		422	36.29		45	3.87		1163
	SECOND			0	0.00		1	33.33		0	0.00			Excluded		0	0.00		0	0.00		2	66.67		3
		TOTAL		34	2.92		36	3.10		587	50.47					37	3.18		422	36.29		47	4.04		1163
	THIRD			3	6.38		4	8.51		9	19.15					10	21.28		21	44.68			Excluded		47
		TOTAL		37	3.18		40	3.44		596	51.25					47	4.04		443	38.09					1163
	FOURTH			8	17.02		15	31.91		16	34.04						Excluded		8	17.02					47
		TOTAL		45	3.87		55	4.73		612	52.62								451	38.78					1163
	FIFTH				Excluded		21	46.67		16	35.56								8	17.78					45
		TOTAL					76	6.53		628	54.00								459	39.47					1163
	SIXTH							Excluded		52	68.42								24	31.58					76
		TOTAL								680	58.47								483	41.53					1163
										Elected															
																									
Harcourt                                                       																									
	FIRST			206	7.45		78	2.82		1714	61.97		9	0.33		63	2.28		624	22.56		72	2.60		2766
	SECOND			2	22.22		0	0.00		3	33.33			Excluded		4	44.44		0	0.00		0	0.00		9
		TOTAL		208	7.52		78	2.82		1717	62.08					67	2.42		624	22.56		72	2.60		2766
	THIRD			2	2.78		4	5.56		14	19.44					11	15.28		41	56.94			Excluded		72
		TOTAL		210	7.59		82	2.96		1731	62.58					78	2.82		665	24.04					2766
	FOURTH			11	14.10		40	51.28		17	21.79						Excluded		10	12.82					78
		TOTAL		221	7.99		122	4.41		1748	63.20								675	24.40					2766
	FIFTH				Excluded		94	42.53		109	49.32								18	8.14					221
		TOTAL					216	7.81		1857	67.14								693	25.05					2766
	SIXTH							Excluded		171	79.17								45	20.83					216
		TOTAL								2028	73.32								738	26.68					2766
										Elected															
																									
Harcourt Central                                               																									
	FIRST			168	10.10		36	2.16		1096	65.90		4	0.24		27	1.62		290	17.44		42	2.53		1663
	SECOND			0	0.00		0	0.00		2	50.00			Excluded		1	25.00		0	0.00		1	25.00		4
		TOTAL		168	10.10		36	2.16		1098	66.03					28	1.68		290	17.44		43	2.59		1663
	THIRD			4	9.30		5	11.63		7	16.28					3	6.98		24	55.81			Excluded		43
		TOTAL		172	10.34		41	2.47		1105	66.45					31	1.86		314	18.88					1663
	FOURTH			4	12.90		12	38.71		8	25.81						Excluded		7	22.58					31
		TOTAL		176	10.58		53	3.19		1113	66.93								321	19.30					1663
	FIFTH				Excluded		98	55.68		68	38.64								10	5.68					176
		TOTAL					151	9.08		1181	71.02								331	19.90					1663
	SIXTH							Excluded		134	88.74								17	11.26					151
		TOTAL								1315	79.07								348	20.93					1663
										Elected															
																									
Harcourt North                                                 																									
	FIRST			51	5.06		37	3.67		563	55.91		5	0.50		26	2.58		296	29.39		29	2.88		1007
	SECOND			1	20.00		0	0.00		1	20.00			Excluded		1	20.00		2	40.00		0	0.00		5
		TOTAL		52	5.16		37	3.67		564	56.01					27	2.68		298	29.59		29	2.88		1007
	THIRD			3	10.34		1	3.45		6	20.69					5	17.24		14	48.28			Excluded		29
		TOTAL		55	5.46		38	3.77		570	56.60					32	3.18		312	30.98					1007
	FOURTH			4	12.50		11	34.38		13	40.63						Excluded		4	12.50					32
		TOTAL		59	5.86		49	4.87		583	57.89								316	31.38					1007
	FIFTH				Excluded		39	66.10		13	22.03								7	11.86					59
		TOTAL					88	8.74		596	59.19								323	32.08					1007
	SIXTH							Excluded		83	94.32								5	5.68					88
		TOTAL								679	67.43								328	32.57					1007
										Elected															
																									
Hurstville                                                     																									
	FIRST			119	5.45		124	5.68		1195	54.72		8	0.37		64	2.93		637	29.17		37	1.69		2184
	SECOND			1	12.50		3	37.50		2	25.00			Excluded		0	0.00		2	25.00		0	0.00		8
		TOTAL		120	5.49		127	5.82		1197	54.81					64	2.93		639	29.26		37	1.69		2184
	THIRD			4	10.81		2	5.41		8	21.62					9	24.32		14	37.84			Excluded		37
		TOTAL		124	5.68		129	5.91		1205	55.17					73	3.34		653	29.90					2184
	FOURTH			9	12.33		36	49.32		21	28.77						Excluded		7	9.59					73
		TOTAL		133	6.09		165	7.55		1226	56.14								660	30.22					2184
	FIFTH				Excluded		50	37.59		72	54.14								11	8.27					133
		TOTAL					215	9.84		1298	59.43								671	30.72					2184
	SIXTH							Excluded		176	81.86								39	18.14					215
		TOTAL								1474	67.49								710	32.51					2184
										Elected															
																									
Hurstville East                                                																									
	FIRST			109	6.58		75	4.53		887	53.53		9	0.54		43	2.60		484	29.21		50	3.02		1657
	SECOND			3	33.33		2	22.22		2	22.22			Excluded		1	11.11		0	0.00		1	11.11		9
		TOTAL		112	6.76		77	4.65		889	53.65					44	2.66		484	29.21		51	3.08		1657
	THIRD			1	1.96		3	5.88		9	17.65					11	21.57		27	52.94			Excluded		51
		TOTAL		113	6.82		80	4.83		898	54.19					55	3.32		511	30.84					1657
	FOURTH			4	7.27		25	45.45		15	27.27						Excluded		11	20.00					55
		TOTAL		117	7.06		105	6.34		913	55.10								522	31.50					1657
	FIFTH				Excluded		45	38.46		62	52.99								10	8.55					117
		TOTAL					150	9.05		975	58.84								532	32.11					1657
	SIXTH							Excluded		113	75.33								37	24.67					150
		TOTAL								1088	65.66								569	34.34					1657
										Elected															
																									
Hurstville North                                               																									
	FIRST			80	3.89		99	4.81		966	46.96		9	0.44		70	3.40		749	36.41		84	4.08		2057
	SECOND			2	22.22		2	22.22		3	33.33			Excluded		0	0.00		2	22.22		0	0.00		9
		TOTAL		82	3.99		101	4.91		969	47.11					70	3.40		751	36.51		84	4.08		2057
	THIRD			9	10.71		6	7.14		17	20.24					15	17.86		37	44.05			Excluded		84
		TOTAL		91	4.42		107	5.20		986	47.93					85	4.13		788	38.31					2057
	FOURTH			12	14.12		43	50.59		19	22.35						Excluded		11	12.94					85
		TOTAL		103	5.01		150	7.29		1005	48.86								799	38.84					2057
	FIFTH				Excluded		48	46.60		42	40.78								13	12.62					103
		TOTAL					198	9.63		1047	50.90								812	39.47					2057
	SIXTH							Excluded		164	82.83								34	17.17					198
		TOTAL								1211	58.87								846	41.13					2057
										Elected															
																									
Kingsgrove                                                     																									
	FIRST			59	2.95		63	3.15		1067	53.30		8	0.40		58	2.90		687	34.32		60	3.00		2002
	SECOND			0	0.00		0	0.00		4	50.00			Excluded		4	50.00		0	0.00		0	0.00		8
		TOTAL		59	2.95		63	3.15		1071	53.50					62	3.10		687	34.32		60	3.00		2002
	THIRD			3	5.00		6	10.00		10	16.67					10	16.67		31	51.67			Excluded		60
		TOTAL		62	3.10		69	3.45		1081	54.00					72	3.60		718	35.86					2002
	FOURTH			9	12.50		29	40.28		24	33.33						Excluded		10	13.89					72
		TOTAL		71	3.55		98	4.90		1105	55.19								728	36.36					2002
	FIFTH				Excluded		44	61.97		22	30.99								5	7.04					71
		TOTAL					142	7.09		1127	56.29								733	36.61					2002
	SIXTH							Excluded		110	77.46								32	22.54					142
		TOTAL								1237	61.79								765	38.21					2002
										Elected															
																									
Kingsgrove North                                               																									
	FIRST			27	3.40		19	2.39		435	54.79		1	0.13		23	2.90		257	32.37		32	4.03		794
	SECOND			0	0.00		0	0.00		1	100.00			Excluded		0	0.00		0	0.00		0	0.00		1
		TOTAL		27	3.40		19	2.39		436	54.91					23	2.90		257	32.37		32	4.03		794
	THIRD			5	15.63		2	6.25		7	21.88					4	12.50		14	43.75			Excluded		32
		TOTAL		32	4.03		21	2.64		443	55.79					27	3.40		271	34.13					794
	FOURTH			6	22.22		9	33.33		8	29.63						Excluded		4	14.81					27
		TOTAL		38	4.79		30	3.78		451	56.80								275	34.63					794
	FIFTH				Excluded		21	55.26		12	31.58								5	13.16					38
		TOTAL					51	6.42		463	58.31								280	35.26					794
	SIXTH							Excluded		38	74.51								13	25.49					51
		TOTAL								501	63.10								293	36.90					794
										Elected															
																									
Kingsgrove South                                               																									
	FIRST			46	4.63		45	4.53		551	55.49		6	0.60		25	2.52		307	30.92		13	1.31		993
	SECOND			3	50.00		1	16.67		1	16.67			Excluded		0	0.00		1	16.67		0	0.00		6
		TOTAL		49	4.93		46	4.63		552	55.59					25	2.52		308	31.02		13	1.31		993
	THIRD			0	0.00		2	15.38		6	46.15					2	15.38		3	23.08			Excluded		13
		TOTAL		49	4.93		48	4.83		558	56.19					27	2.72		311	31.32					993
	FOURTH			1	3.70		12	44.44		11	40.74						Excluded		3	11.11					27
		TOTAL		50	5.04		60	6.04		569	57.30								314	31.62					993
	FIFTH				Excluded		24	48.00		24	48.00								2	4.00					50
		TOTAL					84	8.46		593	59.72								316	31.82					993
	SIXTH							Excluded		68	80.95								16	19.05					84
		TOTAL								661	66.57								332	33.43					993
										Elected															
																									
Lakemba                                                        																									
	FIRST			118	6.36		63	3.40		1284	69.22		10	0.54		60	3.23		274	14.77		46	2.48		1855
	SECOND			3	30.00		0	0.00		3	30.00			Excluded		2	20.00		0	0.00		2	20.00		10
		TOTAL		121	6.52		63	3.40		1287	69.38					62	3.34		274	14.77		48	2.59		1855
	THIRD			5	10.42		5	10.42		7	14.58					6	12.50		25	52.08			Excluded		48
		TOTAL		126	6.79		68	3.67		1294	69.76					68	3.67		299	16.12					1855
	FOURTH			7	10.29		39	57.35		17	25.00						Excluded		5	7.35					68
		TOTAL		133	7.17		107	5.77		1311	70.67								304	16.39					1855
	FIFTH				Excluded		66	49.62		59	44.36								8	6.02					133
		TOTAL					173	9.33		1370	73.85								312	16.82					1855
	SIXTH							Excluded		149	86.13								24	13.87					173
		TOTAL								1519	81.89								336	18.11					1855
										Elected															
																									
Lakemba Central                                                																									
	FIRST			82	4.58		60	3.35		1112	62.16		10	0.56		87	4.86		395	22.08		43	2.40		1789
	SECOND			2	20.00		0	0.00		1	10.00			Excluded		4	40.00		2	20.00		1	10.00		10
		TOTAL		84	4.70		60	3.35		1113	62.21					91	5.09		397	22.19		44	2.46		1789
	THIRD			5	11.36		3	6.82		8	18.18					6	13.64		22	50.00			Excluded		44
		TOTAL		89	4.97		63	3.52		1121	62.66					97	5.42		419	23.42					1789
	FOURTH			16	16.49		45	46.39		24	24.74						Excluded		12	12.37					97
		TOTAL		105	5.87		108	6.04		1145	64.00								431	24.09					1789
	FIFTH				Excluded		59	56.19		34	32.38								12	11.43					105
		TOTAL					167	9.33		1179	65.90								443	24.76					1789
	SIXTH							Excluded		141	84.43								26	15.57					167
		TOTAL								1320	73.78								469	26.22					1789
										Elected															
																									
Lakemba North                                                  																									
	FIRST			131	7.81		28	1.67		1241	73.96		3	0.18		45	2.68		204	12.16		26	1.55		1678
	SECOND			1	33.33		1	33.33		0	0.00			Excluded		0	0.00		1	33.33		0	0.00		3
		TOTAL		132	7.87		29	1.73		1241	73.96					45	2.68		205	12.22		26	1.55		1678
	THIRD			5	19.23		2	7.69		7	26.92					4	15.38		8	30.77			Excluded		26
		TOTAL		137	8.16		31	1.85		1248	74.37					49	2.92		213	12.69					1678
