House of Representatives - 2001 Election: New South Wales																													
Distribution of Preferences																													
By Polling Place																													
																													
Greenway																													
				BAWDEN			SHERWOOD			PETTITT			MOSSFIELD			VLATKO			FRANCIS			TANDA			HOLDER				
	FIRST			11	3.63		3	0.99		10	3.30		182	60.07		8	2.64		12	3.96		3	0.99		74	24.42		303	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		1	33.33		2	66.67			Excluded		0	0.00		3	
		TOTAL		11	3.63		3	0.99		10	3.30		182	60.07		9	2.97		14	4.62					74	24.42		303	
	THIRD			0	0.00			Excluded		1	33.33		1	33.33		0	0.00		0	0.00					1	33.33		3	
		TOTAL		11	3.63					11	3.63		183	60.40		9	2.97		14	4.62					75	24.75		303	
	FOURTH			1	11.11					2	22.22		2	22.22			Excluded		3	33.33					1	11.11		9	
		TOTAL		12	3.96					13	4.29		185	61.06					17	5.61					76	25.08		303	
	FIFTH			2	11.76					0	0.00		11	64.71						Excluded					4	23.53		17	
		TOTAL		14	4.62					13	4.29		196	64.69											80	26.40		303	
	SIXTH				Excluded					3	21.43		7	50.00											4	28.57		14	
		TOTAL								16	5.28		203	67.00											84	27.72		303	
	SEVENTH										Excluded		10	62.50											6	37.50		16	
		TOTAL											213	70.30											90	29.70		303	
													Elected																
																													
Blacktown North                                                																													
	FIRST			108	8.08		17	1.27		89	6.66		638	47.75		23	1.72		23	1.72		12	0.90		426	31.89		1336	
	SECOND			0	0.00		1	8.33		0	0.00		2	16.67		6	50.00		2	16.67			Excluded		1	8.33		12	
		TOTAL		108	8.08		18	1.35		89	6.66		640	47.90		29	2.17		25	1.87					427	31.96		1336	
	THIRD			5	27.78			Excluded		4	22.22		7	38.89		0	0.00		1	5.56					1	5.56		18	
		TOTAL		113	8.46					93	6.96		647	48.43		29	2.17		26	1.95					428	32.04		1336	
	FOURTH			1	3.45					3	10.34		12	41.38			Excluded		7	24.14					6	20.69		29	
		TOTAL		114	8.53					96	7.19		659	49.33					33	2.47					434	32.49		1336	
	FIFTH			6	18.18					4	12.12		14	42.42						Excluded					9	27.27		33	
		TOTAL		120	8.98					100	7.49		673	50.37											443	33.16		1336	
	SIXTH				Excluded					30	25.00		24	20.00											66	55.00		120	
		TOTAL								130	9.73		697	52.17											509	38.10		1336	
	SEVENTH										Excluded		68	52.31											62	47.69		130	
		TOTAL											765	57.26											571	42.74		1336	
													Elected																
																													
Blacktown South                                                																													
	FIRST			108	5.08		35	1.65		143	6.73		1001	47.13		51	2.40		92	4.33		11	0.52		683	32.16		2124	
	SECOND			0	0.00		1	9.09		1	9.09		4	36.36		1	9.09		3	27.27			Excluded		1	9.09		11	
		TOTAL		108	5.08		36	1.69		144	6.78		1005	47.32		52	2.45		95	4.47					684	32.20		2124	
	THIRD			12	33.33			Excluded		12	33.33		5	13.89		2	5.56		3	8.33					2	5.56		36	
		TOTAL		120	5.65					156	7.34		1010	47.55		54	2.54		98	4.61					686	32.30		2124	
	FOURTH			3	5.56					5	9.26		23	42.59			Excluded		19	35.19					4	7.41		54	
		TOTAL		123	5.79					161	7.58		1033	48.63					117	5.51					690	32.49		2124	
	FIFTH			9	7.69					9	7.69		72	61.54						Excluded					27	23.08		117	
		TOTAL		132	6.21					170	8.00		1105	52.02											717	33.76		2124	
	SIXTH				Excluded					63	47.73		21	15.91											48	36.36		132	
		TOTAL								233	10.97		1126	53.01											765	36.02		2124	
	SEVENTH										Excluded		109	46.78											124	53.22		233	
		TOTAL											1235	58.15											889	41.85		2124	
													Elected																
																													
Blacktown West (Greenway)                                      																													
	FIRST			63	5.16		25	2.05		98	8.02		571	46.73		49	4.01		45	3.68		6	0.49		365	29.87		1222	
	SECOND			1	16.67		0	0.00		0	0.00		1	16.67		1	16.67		0	0.00			Excluded		3	50.00		6	
		TOTAL		64	5.24		25	2.05		98	8.02		572	46.81		50	4.09		45	3.68					368	30.11		1222	
	THIRD			6	24.00			Excluded		6	24.00		5	20.00		1	4.00		1	4.00					6	24.00		25	
		TOTAL		70	5.73					104	8.51		577	47.22		51	4.17		46	3.76					374	30.61		1222	
	FOURTH			1	1.96					3	5.88		24	47.06			Excluded		19	37.25					4	7.84		51	
		TOTAL		71	5.81					107	8.76		601	49.18					65	5.32					378	30.93		1222	
	FIFTH			11	16.92					2	3.08		34	52.31						Excluded					18	27.69		65	
		TOTAL		82	6.71					109	8.92		635	51.96											396	32.41		1222	
	SIXTH				Excluded					29	35.37		26	31.71											27	32.93		82	
		TOTAL								138	11.29		661	54.09											423	34.62		1222	
	SEVENTH										Excluded		60	43.48											78	56.52		138	
		TOTAL											721	59.00											501	41.00		1222	
													Elected																
																													
Dean Park                                                      																													
	FIRST			90	6.27		23	1.60		63	4.39		863	60.10		31	2.16		34	2.37		17	1.18		315	21.94		1436	
	SECOND			0	0.00		3	17.65		1	5.88		4	23.53		1	5.88		3	17.65			Excluded		5	29.41		17	
		TOTAL		90	6.27		26	1.81		64	4.46		867	60.38		32	2.23		37	2.58					320	22.28		1436	
	THIRD			8	30.77			Excluded		5	19.23		6	23.08		3	11.54		1	3.85					3	11.54		26	
		TOTAL		98	6.82					69	4.81		873	60.79		35	2.44		38	2.65					323	22.49		1436	
	FOURTH			4	11.43					2	5.71		16	45.71			Excluded		11	31.43					2	5.71		35	
		TOTAL		102	7.10					71	4.94		889	61.91					49	3.41					325	22.63		1436	
	FIFTH			7	14.29					8	16.33		26	53.06						Excluded					8	16.33		49	
		TOTAL		109	7.59					79	5.50		915	63.72											333	23.19		1436	
	SIXTH				Excluded					31	28.44		29	26.61											49	44.95		109	
		TOTAL								110	7.66		944	65.74											382	26.60		1436	
	SEVENTH										Excluded		67	60.91											43	39.09		110	
		TOTAL											1011	70.40											425	29.60		1436	
													Elected																
																													
Glenwood                                                       																													
	FIRST			145	4.09		48	1.36		107	3.02		1216	34.33		72	2.03		162	4.57		36	1.02		1756	49.58		3542	
	SECOND			4	11.11		0	0.00		4	11.11		12	33.33		4	11.11		6	16.67			Excluded		6	16.67		36	
		TOTAL		149	4.21		48	1.36		111	3.13		1228	34.67		76	2.15		168	4.74					1762	49.75		3542	
	THIRD			6	12.50			Excluded		18	37.50		6	12.50		5	10.42		2	4.17					11	22.92		48	
		TOTAL		155	4.38					129	3.64		1234	34.84		81	2.29		170	4.80					1773	50.06		3542	
	FOURTH			3	3.70					9	11.11		25	30.86			Excluded		30	37.04					14	17.28		81	
		TOTAL		158	4.46					138	3.90		1259	35.54					200	5.65					1787	50.45		3542	
	FIFTH			9	4.50					11	5.50		112	56.00						Excluded					68	34.00		200	
		TOTAL		167	4.71					149	4.21		1371	38.71											1855	52.37		3542	
	SIXTH				Excluded					27	16.17		43	25.75											97	58.08		167	
		TOTAL								176	4.97		1414	39.92											1952	55.11		3542	
	SEVENTH										Excluded		85	48.30											91	51.70		176	
		TOTAL											1499	42.32											2043	57.68		3542	
													Elected																
																													
Glenwood West                                                  																													
	FIRST			104	6.57		33	2.09		49	3.10		587	37.10		40	2.53		45	2.84		9	0.57		715	45.20		1582	
	SECOND			0	0.00		0	0.00		0	0.00		1	11.11		2	22.22		2	22.22			Excluded		4	44.44		9	
		TOTAL		104	6.57		33	2.09		49	3.10		588	37.17		42	2.65		47	2.97					719	45.45		1582	
	THIRD			3	9.09			Excluded		14	42.42		6	18.18		5	15.15		0	0.00					5	15.15		33	
		TOTAL		107	6.76					63	3.98		594	37.55		47	2.97		47	2.97					724	45.76		1582	
	FOURTH			3	6.38					2	4.26		13	27.66			Excluded		19	40.43					10	21.28		47	
		TOTAL		110	6.95					65	4.11		607	38.37					66	4.17					734	46.40		1582	
	FIFTH			10	15.15					4	6.06		29	43.94						Excluded					23	34.85		66	
		TOTAL		120	7.59					69	4.36		636	40.20											757	47.85		1582	
	SIXTH				Excluded					35	29.17		22	18.33											63	52.50		120	
		TOTAL								104	6.57		658	41.59											820	51.83		1582	
	SEVENTH										Excluded		69	66.35											35	33.65		104	
		TOTAL											727	45.95											855	54.05		1582	
													Elected																
																													
Grantham                                                       																													
	FIRST			105	6.09		31	1.80		126	7.30		891	51.65		45	2.61		53	3.07		7	0.41		467	27.07		1725	
	SECOND			0	0.00		1	14.29		0	0.00		1	14.29		1	14.29		3	42.86			Excluded		1	14.29		7	
		TOTAL		105	6.09		32	1.86		126	7.30		892	51.71		46	2.67		56	3.25					468	27.13		1725	
	THIRD			1	3.13			Excluded		15	46.88		7	21.88		5	15.63		1	3.13					3	9.38		32	
		TOTAL		106	6.14					141	8.17		899	52.12		51	2.96		57	3.30					471	27.30		1725	
	FOURTH			3	5.88					6	11.76		16	31.37			Excluded		22	43.14					4	7.84		51	
		TOTAL		109	6.32					147	8.52		915	53.04					79	4.58					475	27.54		1725	
	FIFTH			13	16.46					6	7.59		45	56.96						Excluded					15	18.99		79	
		TOTAL		122	7.07					153	8.87		960	55.65											490	28.41		1725	
	SIXTH				Excluded					36	29.51		24	19.67											62	50.82		122	
		TOTAL								189	10.96		984	57.04											552	32.00		1725	
	SEVENTH										Excluded		82	43.39											107	56.61		189	
		TOTAL											1066	61.80											659	38.20		1725	
													Elected																
																													
Grantham Heights                                               																													
	FIRST			93	6.20		30	2.00		67	4.47		636	42.40		31	2.07		58	3.87		13	0.87		572	38.13		1500	
	SECOND			2	15.38		0	0.00		1	7.69		4	30.77		2	15.38		2	15.38			Excluded		2	15.38		13	
		TOTAL		95	6.33		30	2.00		68	4.53		640	42.67		33	2.20		60	4.00					574	38.27		1500	
	THIRD			2	6.67			Excluded		8	26.67		5	16.67		5	16.67		2	6.67					8	26.67		30	
		TOTAL		97	6.47					76	5.07		645	43.00		38	2.53		62	4.13					582	38.80		1500	
	FOURTH			3	7.89					3	7.89		12	31.58			Excluded		18	47.37					2	5.26		38	
		TOTAL		100	6.67					79	5.27		657	43.80					80	5.33					584	38.93		1500	
	FIFTH			12	15.00					8	10.00		44	55.00						Excluded					16	20.00		80	
		TOTAL		112	7.47					87	5.80		701	46.73											600	40.00		1500	
	SIXTH				Excluded					28	25.00		27	24.11											57	50.89		112	
		TOTAL								115	7.67		728	48.53											657	43.80		1500	
	SEVENTH										Excluded		59	51.30											56	48.70		115	
		TOTAL											787	52.47											713	47.53		1500	
													Elected																
																													
Hambledon                                                      																													
	FIRST			100	5.09		42	2.14		68	3.46		715	36.42		40	2.04		78	3.97		25	1.27		895	45.59		1963	
	SECOND			3	12.00		1	4.00		0	0.00		7	28.00		3	12.00		2	8.00			Excluded		9	36.00		25	
		TOTAL		103	5.25		43	2.19		68	3.46		722	36.78		43	2.19		80	4.08					904	46.05		1963	
	THIRD			3	6.98			Excluded		17	39.53		5	11.63		3	6.98		1	2.33					14	32.56		43	
		TOTAL		106	5.40					85	4.33		727	37.04		46	2.34		81	4.13					918	46.77		1963	
	FOURTH			3	6.52					4	8.70		10	21.74			Excluded		20	43.48					9	19.57		46	
		TOTAL		109	5.55					89	4.53		737	37.54					101	5.15					927	47.22		1963	
	FIFTH			12	11.88					5	4.95		51	50.50						Excluded					33	32.67		101	
		TOTAL		121	6.16					94	4.79		788	40.14											960	48.90		1963	
	SIXTH				Excluded					38	31.40		25	20.66											58	47.93		121	
		TOTAL								132	6.72		813	41.42											1018	51.86		1963	
	SEVENTH										Excluded		68	51.52											64	48.48		132	
		TOTAL											881	44.88											1082	55.12		1963	
													Elected																
																													
Kings Langley                                                  																													
	FIRST			90	4.21		42	1.96		97	4.53		651	30.43		74	3.46		131	6.12		9	0.42		1045	48.85		2139	
	SECOND			0	0.00		0	0.00		0	0.00		1	11.11		1	11.11		3	33.33			Excluded		4	44.44		9	
		TOTAL		90	4.21		42	1.96		97	4.53		652	30.48		75	3.51		134	6.26					1049	49.04		2139	
	THIRD			5	11.90			Excluded		11	26.19		7	16.67		3	7.14		4	9.52					12	28.57		42	
		TOTAL		95	4.44					108	5.05		659	30.81		78	3.65		138	6.45					1061	49.60		2139	
	FOURTH			4	5.13					5	6.41		18	23.08			Excluded		39	50.00					12	15.38		78	
		TOTAL		99	4.63					113	5.28		677	31.65					177	8.27					1073	50.16		2139	
	FIFTH			11	6.21					8	4.52		110	62.15						Excluded					48	27.12		177	
		TOTAL		110	5.14					121	5.66		787	36.79											1121	52.41		2139	
	SIXTH				Excluded					36	32.73		14	12.73											60	54.55		110	
		TOTAL								157	7.34		801	37.45											1181	55.21		2139	
	SEVENTH										Excluded		64	40.76											93	59.24		157	
		TOTAL											865	40.44											1274	59.56		2139	
													Elected																
																													
Kings Langley North                                            																													
	FIRST			110	4.24		33	1.27		150	5.78		777	29.93		57	2.20		131	5.05		21	0.81		1317	50.73		2596	
	SECOND			1	4.76		0	0.00		2	9.52		7	33.33		5	23.81		2	9.52			Excluded		4	19.05		21	
		TOTAL		111	4.28		33	1.27		152	5.86		784	30.20		62	2.39		133	5.12					1321	50.89		2596	
	THIRD			3	9.09			Excluded		7	21.21		9	27.27		3	9.09		7	21.21					4	12.12		33	
		TOTAL		114	4.39					159	6.12		793	30.55		65	2.50		140	5.39					1325	51.04		2596	
	FOURTH			7	10.77					4	6.15		17	26.15			Excluded		33	50.77					4	6.15		65	
		TOTAL		121	4.66					163	6.28		810	31.20					173	6.66					1329	51.19		2596	
	FIFTH			18	10.40					4	2.31		91	52.60						Excluded					60	34.68		173	
		TOTAL		139	5.35					167	6.43		901	34.71											1389	53.51		2596	
	SIXTH				Excluded					42	30.22		27	19.42											70	50.36		139	
		TOTAL								209	8.05		928	35.75											1459	56.20		2596	
	SEVENTH										Excluded		77	36.84											132	63.16		209	
		TOTAL											1005	38.71											1591	61.29		2596	
													Elected																
																													
Kings Park                                                     																													
	FIRST			62	5.23		26	2.19		61	5.14		471	39.71		40	3.37		50	4.22		7	0.59		469	39.54		1186	
	SECOND			0	0.00		1	14.29		0	0.00		1	14.29		0	0.00		2	28.57			Excluded		3	42.86		7	
		TOTAL		62	5.23		27	2.28		61	5.14		472	39.80		40	3.37		52	4.38					472	39.80		1186	
	THIRD			4	14.81			Excluded		11	40.74		5	18.52		3	11.11		1	3.70					3	11.11		27	
		TOTAL		66	5.56					72	6.07		477	40.22		43	3.63		53	4.47					475	40.05		1186	
	FOURTH			4	9.30					6	13.95		8	18.60			Excluded		21	48.84					4	9.30		43	
		TOTAL		70	5.90					78	6.58		485	40.89					74	6.24					479	40.39		1186	
	FIFTH			5	6.76					4	5.41		52	70.27						Excluded					13	17.57		74	
		TOTAL		75	6.32					82	6.91		537	45.28											492	41.48		1186	
	SIXTH				Excluded					22	29.33		14	18.67											39	52.00		75	
		TOTAL								104	8.77		551	46.46											531	44.77		1186	
	SEVENTH										Excluded		56	53.85											48	46.15		104	
		TOTAL											607	51.18											579	48.82		1186	
													Elected																
																													
Lalor Park                                                     																													
	FIRST			110	4.87		52	2.30		161	7.13		1176	52.08		46	2.04		46	2.04		11	0.49		656	29.05		2258	
	SECOND			0	0.00		2	18.18		0	0.00		2	18.18		3	27.27		2	18.18			Excluded		2	18.18		11	
		TOTAL		110	4.87		54	2.39		161	7.13		1178	52.17		49	2.17		48	2.13					658	29.14		2258	
	THIRD			9	16.67			Excluded		23	42.59		9	16.67		4	7.41		3	5.56					6	11.11		54	
		TOTAL		119	5.27					184	8.15		1187	52.57		53	2.35		51	2.26					664	29.41		2258	
	FOURTH			3	5.66					5	9.43		21	39.62			Excluded		14	26.42					10	18.87		53	
		TOTAL		122	5.40					189	8.37		1208	53.50					65	2.88					674	29.85		2258	
	FIFTH			9	13.85					6	9.23		21	32.31						Excluded					29	44.62		65	
		TOTAL		131	5.80					195	8.64		1229	54.43											703	31.13		2258	
	SIXTH				Excluded					53	40.46		28	21.37											50	38.17		131	
		TOTAL								248	10.98		1257	55.67											753	33.35		2258	
	SEVENTH										Excluded		115	46.37											133	53.63		248	
		TOTAL											1372	60.76											886	39.24		2258	
													Elected																
																													
Lawson Park                                                    																													
	FIRST			128	6.92		26	1.40		97	5.24		828	44.73		33	1.78		62	3.35		16	0.86		661	35.71		1851	
	SECOND			2	12.50		1	6.25		1	6.25		3	18.75		1	6.25		3	18.75			Excluded		5	31.25		16	
		TOTAL		130	7.02		27	1.46		98	5.29		831	44.89		34	1.84		65	3.51					666	35.98		1851	
	THIRD			4	14.81			Excluded		7	25.93		8	29.63		3	11.11		2	7.41					3	11.11		27	
		TOTAL		134	7.24					105	5.67		839	45.33		37	2.00		67	3.62					669	36.14		1851	
	FOURTH			5	13.51					2	5.41		17	45.95			Excluded		7	18.92					6	16.22		37	
		TOTAL		139	7.51					107	5.78		856	46.25					74	4.00					675	36.47		1851	
	FIFTH			6	8.11					2	2.70		37	50.00						Excluded					29	39.19		74	
		TOTAL		145	7.83					109	5.89		893	48.24											704	38.03		1851	
	SIXTH				Excluded					48	33.10		23	15.86											74	51.03		145	
		TOTAL								157	8.48		916	49.49											778	42.03		1851	
	SEVENTH										Excluded		75	47.77											82	52.23		157	
		TOTAL											991	53.54											860	46.46		1851	
													Elected																
																													
Lynwood Park                                                   																													
	FIRST			65	5.55		30	2.56		57	4.87		555	47.40		16	1.37		28	2.39		10	0.85		410	35.01		1171	
	SECOND			0	0.00		1	10.00		0	0.00		5	50.00		2	20.00		0	0.00			Excluded		2	20.00		10	
		TOTAL		65	5.55		31	2.65		57	4.87		560	47.82		18	1.54		28	2.39					412	35.18		1171	
	THIRD			3	9.68			Excluded		13	41.94		4	12.90		2	6.45		3	9.68					6	19.35		31	
		TOTAL		68	5.81					70	5.98		564	48.16		20	1.71		31	2.65					418	35.70		1171	
	FOURTH			1	5.00					2	10.00		6	30.00			Excluded		8	40.00					3	15.00		20	
		TOTAL		69	5.89					72	6.15		570	48.68					39	3.33					421	35.95		1171	
	FIFTH			5	12.82					9	23.08		14	35.90						Excluded					11	28.21		39	
		TOTAL		74	6.32					81	6.92		584	49.87											432	36.89		1171	
	SIXTH				Excluded					30	40.54		13	17.57											31	41.89		74	
		TOTAL								111	9.48		597	50.98											463	39.54		1171	
	SEVENTH										Excluded		68	61.26											43	38.74		111	
		TOTAL											665	56.79											506	43.21		1171	
													Elected																
																													
Marayong (Greenway)                                            																													
	FIRST			98	4.63		45	2.12		170	8.03		1097	51.79		46	2.17		68	3.21		21	0.99		573	27.05		2118	
	SECOND			0	0.00		2	9.52		0	0.00		2	9.52		6	28.57		6	28.57			Excluded		5	23.81		21	
		TOTAL		98	4.63		47	2.22		170	8.03		1099	51.89		52	2.46		74	3.49					578	27.29		2118	
	THIRD			6	12.77			Excluded		20	42.55		4	8.51		7	14.89		4	8.51					6	12.77		47	
		TOTAL		104	4.91					190	8.97		1103	52.08		59	2.79		78	3.68					584	27.57		2118	
	FOURTH			5	8.47					7	11.86		20	33.90			Excluded		20	33.90					7	11.86		59	
		TOTAL		109	5.15					197	9.30		1123	53.02					98	4.63					591	27.90		2118	
	FIFTH			12	12.24					9	9.18		49	50.00						Excluded					28	28.57		98	
		TOTAL		121	5.71					206	9.73		1172	55.34											619	29.23		2118	
	SIXTH				Excluded					57	47.11		21	17.36											43	35.54		121	
		TOTAL								263	12.42		1193	56.33											662	31.26		2118	
	SEVENTH										Excluded		127	48.29											136	51.71		263	
		TOTAL											1320	62.32											798	37.68		2118	
													Elected																
																													
Marayong Heights                                               																													
	FIRST			78	6.24		33	2.64		59	4.72		673	53.80		34	2.72		31	2.48		15	1.20		328	26.22		1251	
	SECOND			1	6.67		1	6.67		0	0.00		4	26.67		2	13.33		3	20.00			Excluded		4	26.67		15	
		TOTAL		79	6.31		34	2.72		59	4.72		677	54.12		36	2.88		34	2.72					332	26.54		1251	
	THIRD			5	14.71			Excluded		17	50.00		3	8.82		1	2.94		0	0.00					8	23.53		34	
		TOTAL		84	6.71					76	6.08		680	54.36		37	2.96		34	2.72					340	27.18		1251	
	FOURTH			1	2.70					4	10.81		13	35.14			Excluded		16	43.24					3	8.11		37	
		TOTAL		85	6.79					80	6.39		693	55.40					50	4.00					343	27.42		1251	
	FIFTH			2	4.00					7	14.00		31	62.00						Excluded					10	20.00		50	
		TOTAL		87	6.95					87	6.95		724	57.87											353	28.22		1251	
	SIXTH				Excluded					36	41.38		16	18.39											35	40.23		87	
		TOTAL								123	9.83		740	59.15											388	31.02		1251	
	SEVENTH										Excluded		75	60.98											48	39.02		123	
		TOTAL											815	65.15											436	34.85		1251	
													Elected																
																													
Marayong West (Greenway)                                       																													
	FIRST			101	5.63		44	2.45		69	3.85		908	50.61		72	4.01		41	2.29		16	0.89		543	30.27		1794	
	SECOND			2	12.50		2	12.50		0	0.00		3	18.75		5	31.25		1	6.25			Excluded		3	18.75		16	
		TOTAL		103	5.74		46	2.56		69	3.85		911	50.78		77	4.29		42	2.34					546	30.43		1794	
	THIRD			6	13.04			Excluded		13	28.26		9	19.57		7	15.22		6	13.04					5	10.87		46	
		TOTAL		109	6.08					82	4.57		920	51.28		84	4.68		48	2.68					551	30.71		1794	
	FOURTH			3	3.57					8	9.52		42	50.00			Excluded		21	25.00					10	11.90		84	
		TOTAL		112	6.24					90	5.02		962	53.62					69	3.85					561	31.27		1794	
	FIFTH			11	15.94					4	5.80		36	52.17						Excluded					18	26.09		69	
		TOTAL		123	6.86					94	5.24		998	55.63											579	32.27		1794	
	SIXTH				Excluded					30	24.39		39	31.71											54	43.90		123	
		TOTAL								124	6.91		1037	57.80											633	35.28		1794	
	SEVENTH										Excluded		75	60.48											49	39.52		124	
		TOTAL											1112	61.98											682	38.02		1794	
													Elected																
																													
Marsden Park                                                   																													
	FIRST			38	7.25		22	4.20		43	8.21		187	35.69		13	2.48		12	2.29		2	0.38		207	39.50		524	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		1	50.00		1	50.00			Excluded		0	0.00		2	
		TOTAL		38	7.25		22	4.20		43	8.21		187	35.69		14	2.67		13	2.48					207	39.50		524	
	THIRD			2	9.09			Excluded		6	27.27		5	22.73		3	13.64		3	13.64					3	13.64		22	
		TOTAL		40	7.63					49	9.35		192	36.64		17	3.24		16	3.05					210	40.08		524	
	FOURTH			2	11.76					4	23.53		5	29.41			Excluded		4	23.53					2	11.76		17	
		TOTAL		42	8.02					53	10.11		197	37.60					20	3.82					212	40.46		524	
	FIFTH			1	5.00					2	10.00		10	50.00						Excluded					7	35.00		20	
		TOTAL		43	8.21					55	10.50		207	39.50											219	41.79		524	
	SIXTH				Excluded					20	46.51		7	16.28											16	37.21		43	
		TOTAL								75	14.31		214	40.84											235	44.85		524	
	SEVENTH										Excluded		45	60.00											30	40.00		75	
		TOTAL											259	49.43											265	50.57		524	
													Elected																
																													
Metella Road                                                   																													
	FIRST			183	5.94		69	2.24		140	4.54		1306	42.38		93	3.02		138	4.48		24	0.78		1129	36.63		3082	
	SECOND			1	4.17		1	4.17		0	0.00		4	16.67		4	16.67		5	20.83			Excluded		9	37.50		24	
		TOTAL		184	5.97		70	2.27		140	4.54		1310	42.50		97	3.15		143	4.64					1138	36.92		3082	
	THIRD			11	15.71			Excluded		24	34.29		16	22.86		5	7.14		3	4.29					11	15.71		70	
		TOTAL		195	6.33					164	5.32		1326	43.02		102	3.31		146	4.74					1149	37.28		3082	
	FOURTH			7	6.86					7	6.86		38	37.25			Excluded		32	31.37					18	17.65		102	
		TOTAL		202	6.55					171	5.55		1364	44.26					178	5.78					1167	37.87		3082	
	FIFTH			14	7.87					13	7.30		100	56.18						Excluded					51	28.65		178	
		TOTAL		216	7.01					184	5.97		1464	47.50											1218	39.52		3082	
	SIXTH				Excluded					61	28.24		55	25.46											100	46.30		216	
		TOTAL								245	7.95		1519	49.29											1318	42.76		3082	
	SEVENTH										Excluded		121	49.39											124	50.61		245	
		TOTAL											1640	53.21											1442	46.79		3082	
													Elected																
																													
Oldfield Road                                                  																													
	FIRST			116	7.71		27	1.79		54	3.59		793	52.69		35	2.33		41	2.72		11	0.73		428	28.44		1505	
	SECOND			1	9.09		0	0.00		1	9.09		2	18.18		0	0.00		4	36.36			Excluded		3	27.27		11	
		TOTAL		117	7.77		27	1.79		55	3.65		795	52.82		35	2.33		45	2.99					431	28.64		1505	
