House of Representatives - 2001 Election: New South Wales																							
Distribution of Preferences																							
By Polling Place																							
																							
Kingsford Smith																							
				BROWN			NOTLEY-SMITH			HURWITZ			CARMAN			BRERETON			ZAKRZEWSKI				
		TOTAL					896	40.07		422	18.87					918	41.06					2236	
	FIFTH						80	18.96			Excluded					342	81.04					422	
		TOTAL					976	43.65								1260	56.35					2236	
																Elected							
																							
Coogee Central                                                 																							
	FIRST			66	3.30		731	36.51		244	12.19		22	1.10		766	38.26		173	8.64		2002	
	SECOND			0	0.00		2	9.09		11	50.00			Excluded		4	18.18		5	22.73		22	
		TOTAL		66	3.30		733	36.61		255	12.74					770	38.46		178	8.89		2002	
	THIRD				Excluded		36	54.55		11	16.67					14	21.21		5	7.58		66	
		TOTAL					769	38.41		266	13.29					784	39.16		183	9.14		2002	
	FOURTH						29	15.85		109	59.56					45	24.59			Excluded		183	
		TOTAL					798	39.86		375	18.73					829	41.41					2002	
	FIFTH						66	17.60			Excluded					309	82.40					375	
		TOTAL					864	43.16								1138	56.84					2002	
																Elected							
																							
Coogee South                                                   																							
	FIRST			96	4.35		1030	46.71		137	6.21		13	0.59		810	36.73		119	5.40		2205	
	SECOND			1	7.69		6	46.15		3	23.08			Excluded		1	7.69		2	15.38		13	
		TOTAL		97	4.40		1036	46.98		140	6.35					811	36.78		121	5.49		2205	
	THIRD				Excluded		60	61.86		17	17.53					13	13.40		7	7.22		97	
		TOTAL					1096	49.71		157	7.12					824	37.37		128	5.80		2205	
	FOURTH						10	7.81		78	60.94					40	31.25			Excluded		128	
		TOTAL					1106	50.16		235	10.66					864	39.18					2205	
	FIFTH						61	25.96			Excluded					174	74.04					235	
		TOTAL					1167	52.93								1038	47.07					2205	
																Elected							
																							
Daceyville                                                     																							
	FIRST			61	7.56		215	26.64		49	6.07		5	0.62		455	56.38		22	2.73		807	
	SECOND			1	20.00		1	20.00		2	40.00			Excluded		0	0.00		1	20.00		5	
		TOTAL		62	7.68		216	26.77		51	6.32					455	56.38		23	2.85		807	
	THIRD				Excluded		35	56.45		14	22.58					7	11.29		6	9.68		62	
		TOTAL					251	31.10		65	8.05					462	57.25		29	3.59		807	
	FOURTH						8	27.59		9	31.03					12	41.38			Excluded		29	
		TOTAL					259	32.09		74	9.17					474	58.74					807	
	FIFTH						23	31.08			Excluded					51	68.92					74	
		TOTAL					282	34.94								525	65.06					807	
																Elected							
																							
Daceyville South                                               																							
	FIRST			46	5.75		250	31.25		38	4.75		1	0.13		424	53.00		41	5.13		800	
	SECOND			0	0.00		1	100.00		0	0.00			Excluded		0	0.00		0	0.00		1	
		TOTAL		46	5.75		251	31.38		38	4.75					424	53.00		41	5.13		800	
	THIRD				Excluded		31	67.39		5	10.87					8	17.39		2	4.35		46	
		TOTAL					282	35.25		43	5.38					432	54.00		43	5.38		800	
	FOURTH						7	16.28		10	23.26					26	60.47			Excluded		43	
		TOTAL					289	36.13		53	6.63					458	57.25					800	
	FIFTH						12	22.64			Excluded					41	77.36					53	
		TOTAL					301	37.63								499	62.38					800	
																Elected							
																							
Eastlakes                                                      																							
	FIRST			52	5.06		242	23.54		38	3.70		7	0.68		667	64.88		22	2.14		1028	
	SECOND			0	0.00		0	0.00		4	57.14			Excluded		0	0.00		3	42.86		7	
		TOTAL		52	5.06		242	23.54		42	4.09					667	64.88		25	2.43		1028	
	THIRD				Excluded		34	65.38		6	11.54					10	19.23		2	3.85		52	
		TOTAL					276	26.85		48	4.67					677	65.86		27	2.63		1028	
	FOURTH						5	18.52		5	18.52					17	62.96			Excluded		27	
		TOTAL					281	27.33		53	5.16					694	67.51					1028	
	FIFTH						17	32.08			Excluded					36	67.92					53	
		TOTAL					298	28.99								730	71.01					1028	
																Elected							
																							
Eastlakes East                                                 																							
	FIRST			102	4.65		416	18.95		96	4.37		12	0.55		1503	68.47		66	3.01		2195	
	SECOND			1	8.33		1	8.33		3	25.00			Excluded		5	41.67		2	16.67		12	
		TOTAL		103	4.69		417	19.00		99	4.51					1508	68.70		68	3.10		2195	
	THIRD				Excluded		70	67.96		12	11.65					16	15.53		5	4.85		103	
		TOTAL					487	22.19		111	5.06					1524	69.43		73	3.33		2195	
	FOURTH						9	12.33		26	35.62					38	52.05			Excluded		73	
		TOTAL					496	22.60		137	6.24					1562	71.16					2195	
	FIFTH						36	26.28			Excluded					101	73.72					137	
		TOTAL					532	24.24								1663	75.76					2195	
																Elected							
																							
Express                                                        																							
	FIRST			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	
		TOTAL		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		0	
	THIRD				Excluded		0	0.00		0	0.00					0	0.00		0	0.00		0	
		TOTAL					0	0.00		0	0.00					0	0.00		0	0.00		0	
	FOURTH						0	0.00		0	0.00					0	0.00			Excluded		0	
		TOTAL					0	0.00		0	0.00					0	0.00					0	
	FIFTH						0	0.00			Excluded					0	0.00					0	
		TOTAL					0	0.00								0	0.00					0	
																Elected							
																							
Hillsdale                                                      																							
	FIRST			142	5.12		663	23.93		128	4.62		25	0.90		1738	62.72		75	2.71		2771	
	SECOND			0	0.00		3	12.00		7	28.00			Excluded		6	24.00		9	36.00		25	
		TOTAL		142	5.12		666	24.03		135	4.87					1744	62.94		84	3.03		2771	
	THIRD				Excluded		97	68.31		11	7.75					21	14.79		13	9.15		142	
		TOTAL					763	27.54		146	5.27					1765	63.70		97	3.50		2771	
	FOURTH						16	16.49		42	43.30					39	40.21			Excluded		97	
		TOTAL					779	28.11		188	6.78					1804	65.10					2771	
	FIFTH						44	23.40			Excluded					144	76.60					188	
		TOTAL					823	29.70								1948	70.30					2771	
																Elected							
																							
International                                                  																							
	FIRST			4	4.94		20	24.69		8	9.88		1	1.23		43	53.09		5	6.17		81	
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		1	100.00		0	0.00		1	
		TOTAL		4	4.94		20	24.69		8	9.88					44	54.32		5	6.17		81	
	THIRD				Excluded		3	75.00		1	25.00					0	0.00		0	0.00		4	
		TOTAL					23	28.40		9	11.11					44	54.32		5	6.17		81	
	FOURTH						0	0.00		2	40.00					3	60.00			Excluded		5	
		TOTAL					23	28.40		11	13.58					47	58.02					81	
	FIFTH						2	18.18			Excluded					9	81.82					11	
		TOTAL					25	30.86								56	69.14					81	
																Elected							
																							
Kensington                                                     																							
	FIRST			55	3.20		596	34.67		142	8.26		11	0.64		796	46.31		119	6.92		1719	
	SECOND			3	27.27		3	27.27		3	27.27			Excluded		2	18.18		0	0.00		11	
		TOTAL		58	3.37		599	34.85		145	8.44					798	46.42		119	6.92		1719	
	THIRD				Excluded		36	62.07		10	17.24					9	15.52		3	5.17		58	
		TOTAL					635	36.94		155	9.02					807	46.95		122	7.10		1719	
	FOURTH						23	18.85		55	45.08					44	36.07			Excluded		122	
		TOTAL					658	38.28		210	12.22					851	49.51					1719	
	FIFTH						42	20.00			Excluded					168	80.00					210	
		TOTAL					700	40.72								1019	59.28					1719	
																Elected							
																							
Kensington Park                                                																							
	FIRST			65	3.92		670	40.36		108	6.51		4	0.24		731	44.04		82	4.94		1660	
	SECOND			0	0.00		0	0.00		3	75.00			Excluded		1	25.00		0	0.00		4	
		TOTAL		65	3.92		670	40.36		111	6.69					732	44.10		82	4.94		1660	
	THIRD				Excluded		46	70.77		9	13.85					8	12.31		2	3.08		65	
		TOTAL					716	43.13		120	7.23					740	44.58		84	5.06		1660	
	FOURTH						13	15.48		31	36.90					40	47.62			Excluded		84	
		TOTAL					729	43.92		151	9.10					780	46.99					1660	
	FIFTH						41	27.15			Excluded					110	72.85					151	
		TOTAL					770	46.39								890	53.61					1660	
																Elected							
																							
Kensington West                                                																							
	FIRST			44	2.11		927	44.38		144	6.89		11	0.53		857	41.02		106	5.07		2089	
	SECOND			2	18.18		2	18.18		2	18.18			Excluded		3	27.27		2	18.18		11	
		TOTAL		46	2.20		929	44.47		146	6.99					860	41.17		108	5.17		2089	
	THIRD				Excluded		24	52.17		12	26.09					8	17.39		2	4.35		46	
		TOTAL					953	45.62		158	7.56					868	41.55		110	5.27		2089	
	FOURTH						24	21.82		65	59.09					21	19.09			Excluded		110	
		TOTAL					977	46.77		223	10.67					889	42.56					2089	
	FIFTH						66	29.60			Excluded					157	70.40					223	
		TOTAL					1043	49.93								1046	50.07					2089	
																Elected							
																							
Kingsford                                                      																							
	FIRST			18	2.93		185	30.13		43	7.00		3	0.49		343	55.86		22	3.58		614	
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		3	100.00		3	
		TOTAL		18	2.93		185	30.13		43	7.00					343	55.86		25	4.07		614	
	THIRD				Excluded		9	50.00		6	33.33					2	11.11		1	5.56		18	
		TOTAL					194	31.60		49	7.98					345	56.19		26	4.23		614	
	FOURTH						3	11.54		15	57.69					8	30.77			Excluded		26	
		TOTAL					197	32.08		64	10.42					353	57.49					614	
	FIFTH						14	21.88			Excluded					50	78.13					64	
		TOTAL					211	34.36								403	65.64					614	
																Elected							
																							
Kingsford South                                                																							
	FIRST			80	4.69		541	31.73		100	5.87		9	0.53		907	53.20		68	3.99		1705	
	SECOND			3	33.33		1	11.11		2	22.22			Excluded		0	0.00		3	33.33		9	
		TOTAL		83	4.87		542	31.79		102	5.98					907	53.20		71	4.16		1705	
	THIRD				Excluded		51	61.45		10	12.05					15	18.07		7	8.43		83	
		TOTAL					593	34.78		112	6.57					922	54.08		78	4.57		1705	
	FOURTH						12	15.38		30	38.46					36	46.15			Excluded		78	
		TOTAL					605	35.48		142	8.33					958	56.19					1705	
	FIFTH						43	30.28			Excluded					99	69.72					142	
		TOTAL					648	38.01								1057	61.99					1705	
																Elected							
																							
La Perouse                                                     																							
	FIRST			102	9.21		363	32.79		73	6.59		12	1.08		519	46.88		38	3.43		1107	
	SECOND			2	16.67		0	0.00		2	16.67			Excluded		4	33.33		4	33.33		12	
		TOTAL		104	9.39		363	32.79		75	6.78					523	47.24		42	3.79		1107	
	THIRD				Excluded		70	67.31		10	9.62					21	20.19		3	2.88		104	
		TOTAL					433	39.11		85	7.68					544	49.14		45	4.07		1107	
	FOURTH						5	11.11		18	40.00					22	48.89			Excluded		45	
		TOTAL					438	39.57		103	9.30					566	51.13					1107	
	FIFTH						24	23.30			Excluded					79	76.70					103	
		TOTAL					462	41.73								645	58.27					1107	
																Elected							
																							
Malabar                                                        																							
	FIRST			146	7.27		726	36.17		136	6.78		6	0.30		919	45.79		74	3.69		2007	
	SECOND			1	16.67		0	0.00		1	16.67			Excluded		4	66.67		0	0.00		6	
		TOTAL		147	7.32		726	36.17		137	6.83					923	45.99		74	3.69		2007	
	THIRD				Excluded		101	68.71		17	11.56					22	14.97		7	4.76		147	
		TOTAL					827	41.21		154	7.67					945	47.09		81	4.04		2007	
	FOURTH						16	19.75		38	46.91					27	33.33			Excluded		81	
		TOTAL					843	42.00		192	9.57					972	48.43					2007	
	FIFTH						45	23.44			Excluded					147	76.56					192	
		TOTAL					888	44.25								1119	55.75					2007	
																Elected							
																							
Maroubra                                                       																							
	FIRST			51	3.30		636	41.19		134	8.68		7	0.45		651	42.16		65	4.21		1544	
	SECOND			2	28.57		1	14.29		2	28.57			Excluded		1	14.29		1	14.29		7	
		TOTAL		53	3.43		637	41.26		136	8.81					652	42.23		66	4.27		1544	
	THIRD				Excluded		29	54.72		15	28.30					6	11.32		3	5.66		53	
		TOTAL					666	43.13		151	9.78					658	42.62		69	4.47		1544	
	FOURTH						11	15.94		29	42.03					29	42.03			Excluded		69	
		TOTAL					677	43.85		180	11.66					687	44.49					1544	
	FIFTH						49	27.22			Excluded					131	72.78					180	
		TOTAL					726	47.02								818	52.98					1544	
																Elected							
																							
Maroubra Bay                                                   																							
	FIRST			50	3.24		542	35.10		215	13.92		9	0.58		650	42.10		78	5.05		1544	
	SECOND			2	22.22		0	0.00		3	33.33			Excluded		1	11.11		3	33.33		9	
		TOTAL		52	3.37		542	35.10		218	14.12					651	42.16		81	5.25		1544	
	THIRD				Excluded		32	61.54		6	11.54					10	19.23		4	7.69		52	
		TOTAL					574	37.18		224	14.51					661	42.81		85	5.51		1544	
	FOURTH						13	15.29		38	44.71					34	40.00			Excluded		85	
		TOTAL					587	38.02		262	16.97					695	45.01					1544	
	FIFTH						57	21.76			Excluded					205	78.24					262	
		TOTAL					644	41.71								900	58.29					1544	
																Elected							
																							
Maroubra East                                                  																							
	FIRST			45	4.34		583	56.22		70	6.75		6	0.58		293	28.25		40	3.86		1037	
	SECOND			0	0.00		2	33.33		2	33.33			Excluded		2	33.33		0	0.00		6	
		TOTAL		45	4.34		585	56.41		72	6.94					295	28.45		40	3.86		1037	
	THIRD				Excluded		27	60.00		7	15.56					7	15.56		4	8.89		45	
		TOTAL					612	59.02		79	7.62					302	29.12		44	4.24		1037	
	FOURTH						9	20.45		16	36.36					19	43.18			Excluded		44	
		TOTAL					621	59.88		95	9.16					321	30.95					1037	
	FIFTH						28	29.47			Excluded					67	70.53					95	
		TOTAL					649	62.58								388	37.42					1037	
																Elected							
																							
Maroubra Junction                                              																							
	FIRST			185	4.46		1571	37.86		251	6.05		39	0.94		1890	45.55		213	5.13		4149	
	SECOND			1	2.56		2	5.13		18	46.15			Excluded		11	28.21		7	17.95		39	
		TOTAL		186	4.48		1573	37.91		269	6.48					1901	45.82		220	5.30		4149	
	THIRD				Excluded		119	63.98		30	16.13					26	13.98		11	5.91		186	
		TOTAL					1692	40.78		299	7.21					1927	46.44		231	5.57		4149	
	FOURTH						35	15.15		114	49.35					82	35.50			Excluded		231	
		TOTAL					1727	41.62		413	9.95					2009	48.42					4149	
	FIFTH						113	27.36			Excluded					300	72.64					413	
		TOTAL					1840	44.35								2309	55.65					4149	
																Elected							
																							
Mascot                                                         																							
	FIRST			146	8.54		363	21.23		93	5.44		9	0.53		1032	60.35		67	3.92		1710	
	SECOND			0	0.00		1	11.11		1	11.11			Excluded		2	22.22		5	55.56		9	
		TOTAL		146	8.54		364	21.29		94	5.50					1034	60.47		72	4.21		1710	
	THIRD				Excluded		93	63.70		22	15.07					26	17.81		5	3.42		146	
		TOTAL					457	26.73		116	6.78					1060	61.99		77	4.50		1710	
	FOURTH						18	23.38		25	32.47					34	44.16			Excluded		77	
		TOTAL					475	27.78		141	8.25					1094	63.98					1710	
	FIFTH						43	30.50			Excluded					98	69.50					141	
		TOTAL					518	30.29								1192	69.71					1710	
																Elected							
																							
Mascot East                                                    																							
	FIRST			167	5.86		673	23.60		119	4.17		13	0.46		1805	63.29		75	2.63		2852	
	SECOND			3	23.08		2	15.38		5	38.46			Excluded		3	23.08		0	0.00		13	
		TOTAL		170	5.96		675	23.67		124	4.35					1808	63.39		75	2.63		2852	
	THIRD				Excluded		123	72.35		20	11.76					20	11.76		7	4.12		170	
		TOTAL					798	27.98		144	5.05					1828	64.10		82	2.88		2852	
	FOURTH						8	9.76		29	35.37					45	54.88			Excluded		82	
		TOTAL					806	28.26		173	6.07					1873	65.67					2852	
	FIFTH						53	30.64			Excluded					120	69.36					173	
		TOTAL					859	30.12								1993	69.88					2852	
																Elected							
																							
Mascot North                                                   																							
	FIRST			47	5.68		178	21.50		22	2.66		5	0.60		553	66.79		23	2.78		828	
	SECOND			1	20.00		1	20.00		3	60.00			Excluded		0	0.00		0	0.00		5	
		TOTAL		48	5.80		179	21.62		25	3.02					553	66.79		23	2.78		828	
	THIRD				Excluded		24	50.00		10	20.83					11	22.92		3	6.25		48	
		TOTAL					203	24.52		35	4.23					564	68.12		26	3.14		828	
	FOURTH						6	23.08		8	30.77					12	46.15			Excluded		26	
		TOTAL					209	25.24		43	5.19					576	69.57					828	
	FIFTH						13	30.23			Excluded					30	69.77					43	
		TOTAL					222	26.81								606	73.19					828	
																Elected							
																							
Matraville                                                     																							
	FIRST			104	7.77		431	32.21		47	3.51		8	0.60		710	53.06		38	2.84		1338	
	SECOND			1	12.50		0	0.00		2	25.00			Excluded		3	37.50		2	25.00		8	
		TOTAL		105	7.85		431	32.21		49	3.66					713	53.29		40	2.99		1338	
	THIRD				Excluded		71	67.62		14	13.33					16	15.24		4	3.81		105	
		TOTAL					502	37.52		63	4.71					729	54.48		44	3.29		1338	
	FOURTH						13	29.55		17	38.64					14	31.82			Excluded		44	
		TOTAL					515	38.49		80	5.98					743	55.53					1338	
	FIFTH						28	35.00			Excluded					52	65.00					80	
		TOTAL					543	40.58								795	59.42					1338	
																Elected							
																							
Nagle Park                                                     																							
	FIRST			105	5.59		687	36.58		115	6.12		11	0.59		883	47.02		77	4.10		1878	
	SECOND			2	18.18		0	0.00		4	36.36			Excluded		3	27.27		2	18.18		11	
		TOTAL		107	5.70		687	36.58		119	6.34					886	47.18		79	4.21		1878	
	THIRD				Excluded		68	63.55		13	12.15					18	16.82		8	7.48		107	
		TOTAL					755	40.20		132	7.03					904	48.14		87	4.63		1878	
	FOURTH						23	26.44		35	40.23					29	33.33			Excluded		87	
		TOTAL					778	41.43		167	8.89					933	49.68					1878	
	FIFTH						42	25.15			Excluded					125	74.85					167	
		TOTAL					820	43.66								1058	56.34					1878	
																Elected							
																							
Ocean View Park                                                																							
	FIRST			159	4.99		1120	35.13		230	7.21		18	0.56		1491	46.77		170	5.33		3188	
	SECOND			4	22.22		5	27.78		3	16.67			Excluded		4	22.22		2	11.11		18	
		TOTAL		163	5.11		1125	35.29		233	7.31					1495	46.89		172	5.40		3188	
	THIRD				Excluded		95	58.28		31	19.02					30	18.40		7	4.29		163	
		TOTAL					1220	38.27		264	8.28					1525	47.84		179	5.61		3188	
	FOURTH						29	16.20		85	47.49					65	36.31			Excluded		179	
		TOTAL					1249	39.18		349	10.95					1590	49.87					3188	
	FIFTH						88	25.21			Excluded					261	74.79					349	
		TOTAL					1337	41.94								1851	58.06					3188	
																Elected							
																							
Peters Corner (Kingsford Smith)                                																							
	FIRST			29	2.08		483	34.65		170	12.20		21	1.51		572	41.03		119	8.54		1394	
	SECOND			4	19.05		1	4.76		7	33.33			Excluded		7	33.33		2	9.52		21	
		TOTAL		33	2.37		484	34.72		177	12.70					579	41.54		121	8.68		1394	
	THIRD				Excluded		18	54.55		8	24.24					6	18.18		1	3.03		33	
		TOTAL					502	36.01		185	13.27					585	41.97		122	8.75		1394	
	FOURTH						20	16.39		53	43.44					49	40.16			Excluded		122	
		TOTAL					522	37.45		238	17.07					634	45.48					1394	
	FIFTH						57	23.95			Excluded					181	76.05					238	
		TOTAL					579	41.54								815	58.46					1394	
																Elected							
																							
Prince Henry                                                   																							
	FIRST			65	10.19		206	32.29		21	3.29		1	0.16		323	50.63		22	3.45		638	
	SECOND			0	0.00		0	0.00		1	100.00			Excluded		0	0.00		0	0.00		1	
		TOTAL		65	10.19		206	32.29		22	3.45					323	50.63		22	3.45		638	
	THIRD				Excluded		35	53.85		13	20.00					12	18.46		5	7.69		65	
		TOTAL					241	37.77		35	5.49					335	52.51		27	4.23		638	
	FOURTH						3	11.11		10	37.04					14	51.85			Excluded		27	
		TOTAL					244	38.24		45	7.05					349	54.70					638	
	FIFTH						16	35.56			Excluded					29	64.44					45	
		TOTAL					260	40.75								378	59.25					638	
																Elected							
																							
Prince Of Wales                                                																							
	FIRST			10	3.77		82	30.94		19	7.17		2	0.75		131	49.43		21	7.92		265	
	SECOND			1	50.00		0	0.00		0	0.00			Excluded		0	0.00		1	50.00		2	
		TOTAL		11	4.15		82	30.94		19	7.17					131	49.43		22	8.30		265	
	THIRD				Excluded		8	72.73		1	9.09					1	9.09		1	9.09		11	
		TOTAL					90	33.96		20	7.55					132	49.81		23	8.68		265	
	FOURTH						6	26.09		10	43.48					7	30.43			Excluded		23	
		TOTAL					96	36.23		30	11.32					139	52.45					265	
	FIFTH						13	43.33			Excluded					17	56.67					30	
		TOTAL					109	41.13								156	58.87					265	
																Elected							
																							
Qantas                                                         																							
	FIRST			2	4.55		15	34.09		3	6.82		0	0.00		24	54.55		0	0.00		44	
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	
		TOTAL		2	4.55		15	34.09		3	6.82					24	54.55		0	0.00		44	
	THIRD				Excluded		0	0.00		2	100.00					0	0.00		0	0.00		2	
		TOTAL					15	34.09		5	11.36					24	54.55		0	0.00		44	
	FOURTH						0	0.00		0	0.00					0	0.00			Excluded		0	
		TOTAL					15	34.09		5	11.36					24	54.55					44	
	FIFTH						3	60.00			Excluded					2	40.00					5	
		TOTAL					18	40.91								26	59.09					44	
																Elected							
																							
Randwick Girls High                                            																							
	FIRST			63	3.34		729	38.59		175	9.26		15	0.79		766	40.55		141	7.46		1889	
	SECOND			2	13.33		2	13.33		6	40.00			Excluded		1	6.67		4	26.67		15	
		TOTAL		65	3.44		731	38.70		181	9.58					767	40.60		145	7.68		1889	
