House of Representatives - 2001 Election: New South Wales																																																						
First Preference Votes and TCP 																																																						
By Candidate by Polling Place																																																						

Robertson (84366)																																																						
	KENISCIEHAD			BOYLE			HENNIG			MORAN			MUNN			# LLOYD			LACEY			WILLS			LAING-PEACH			BAKER			PHILLIPS			MARTIN			FORMAL			INFORMAL			TOTAL											
	Kaijin			Harry Ovens			Christine			Trish			Alasdair			Jim			Stephen			Kevin			James			Errol			Barry			Ken												Two Candidate Preferred								
	IND			DEM			CTA			ALP			IND			LP			GRN			IND			IND			HAN			PLP			CEC												 MORAN ALP			# LLOYD LP					
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%				
Niagara Park (Robertson)	4	1.27		21	6.69		10	3.18		89	28.34		1	0.32		164	52.23		11	3.50		2	0.64		2	0.64		7	2.23		3	0.96		0	0.00		314	91.55		29	8.45		343	0.43		127	40.45		187	59.55
Ocean Beach	28	1.14		79	3.21		19	0.77		991	40.30		26	1.06		1087	44.20		99	4.03		6	0.24		12	0.49		91	3.70		16	0.65		5	0.20		2459	92.62		196	7.38		2655	3.29		1237	50.31		1222	49.69
Patonga	1	0.43		7	3.04		1	0.43		87	37.83		0	0.00		114	49.57		13	5.65		1	0.43		1	0.43		4	1.74		0	0.00		1	0.43		230	93.50		16	6.50		246	0.31		107	46.52		123	53.48
Pearl Beach	2	0.63		5	1.58		1	0.32		94	29.75		2	0.63		170	53.80		32	10.13		1	0.32		0	0.00		8	2.53		1	0.32		0	0.00		316	96.05		13	3.95		329	0.41		135	42.72		181	57.28
Peats Ridge	1	0.45		3	1.35		1	0.45		55	24.66		1	0.45		147	65.92		6	2.69		0	0.00		4	1.79		4	1.79		1	0.45		0	0.00		223	93.70		15	6.30		238	0.30		70	31.39		153	68.61
Point Clare	11	0.46		95	3.98		34	1.42		786	32.93		23	0.96		1263	52.91		75	3.14		11	0.46		22	0.92		58	2.43		7	0.29		2	0.08		2387	93.35		170	6.65		2557	3.17		977	40.93		1410	59.07
Pretty Beach	2	0.30		27	4.01		3	0.45		214	31.75		2	0.30		323	47.92		72	10.68		6	0.89		12	1.78		10	1.48		2	0.30		1	0.15		674	95.33		33	4.67		707	0.88		316	46.88		358	53.12
Saratoga	16	0.92		76	4.39		16	0.92		547	31.62		6	0.35		920	53.18		58	3.35		23	1.33		8	0.46		54	3.12		3	0.17		3	0.17		1730	96.33		66	3.67		1796	2.23		705	40.75		1025	59.25
Scaysbrook	5	0.72		13	1.87		13	1.87		183	26.29		2	0.29		454	65.23		5	0.72		4	0.57		2	0.29		12	1.72		3	0.43		0	0.00		696	93.17		51	6.83		747	0.93		210	30.17		486	69.83
Somersby	3	0.60		20	3.98		5	1.00		96	19.12		1	0.20		318	63.35		15	2.99		3	0.60		25	4.98		12	2.39		4	0.80		0	0.00		502	94.54		29	5.46		531	0.66		140	27.89		362	72.11
Spencer	2	1.31		8	5.23		1	0.65		66	43.14		0	0.00		60	39.22		6	3.92		0	0.00		0	0.00		9	5.88		0	0.00		1	0.65		153	89.47		18	10.53		171	0.21		79	51.63		74	48.37
Springfield	15	0.88		65	3.83		29	1.71		657	38.67		9	0.53		792	46.62		46	2.71		11	0.65		14	0.82		40	2.35		17	1.00		4	0.24		1699	94.44		100	5.56		1799	2.23		813	47.85		886	52.15
Sydney (Robertson)	1	1.22		2	2.44		1	1.22		23	28.05		1	1.22		41	50.00		7	8.54		0	0.00		1	1.22		4	4.88		0	0.00		1	1.22		82	95.35		4	4.65		86	0.11		37	45.12		45	54.88
Terrigal (Robertson)	16	0.69		112	4.81		38	1.63		611	26.22		16	0.69		1342	57.60		118	5.06		21	0.90		14	0.60		33	1.42		6	0.26		3	0.13		2330	95.57		108	4.43		2438	3.02		848	36.39		1482	63.61
Terrigal Central	7	1.13		32	5.19		5	0.81		155	25.12		0	0.00		385	62.40		19	3.08		5	0.81		3	0.49		4	0.65		2	0.32		0	0.00		617	95.07		32	4.93		649	0.81		206	33.39		411	66.61			
Terrigal West	7	0.72		29	2.96		12	1.23		248	25.33		3	0.31		631	64.45		28	2.86		2	0.20		6	0.61		11	1.12		0	0.00		2	0.20		979	95.33		48	4.67		1027	1.27		312	31.87		667	68.13			
Umina Bullion St.	13	0.83		27	1.72		16	1.02		700	44.56		4	0.25		696	44.30		34	2.16		12	0.76		13	0.83		49	3.12		5	0.32		2	0.13		1571	91.71		142	8.29		1713	2.13		800	50.92		771	49.08			
Umina Central	15	0.72		64	3.09		24	1.16		854	41.28		5	0.24		904	43.69		63	3.04		14	0.68		27	1.30		88	4.25		9	0.43		2	0.10		2069	94.17		128	5.83		2197	2.73		1047	50.60		1022	49.40			
Umina Mall	22	1.21		58	3.18		12	0.66		756	41.49		8	0.44		785	43.08		52	2.85		9	0.49		15	0.82		89	4.88		10	0.55		6	0.33		1822	94.45		107	5.55		1929	2.39		919	50.44		903	49.56			
Woy Woy	21	0.72		78	2.68		38	1.31		1140	39.18		27	0.93		1294	44.47		75	2.58		17	0.58		25	0.86		168	5.77		24	0.82		3	0.10		2910	91.62		266	8.38		3176	3.94		1404	48.25		1506	51.75			
Woy Woy Bay	1	0.41		15	6.10		2	0.81		74	30.08		2	0.81		122	49.59		18	7.32		3	1.22		2	0.81		5	2.03		1	0.41		1	0.41		246	94.25		15	5.75		261	0.32		101	41.06		145	58.94			
Woy Woy South	11	1.02		40	3.70		12	1.11		449	41.54		6	0.56		459	42.46		28	2.59		16	1.48		3	0.28		51	4.72		3	0.28		3	0.28		1081	93.19		79	6.81		1160	1.44		556	51.43		525	48.57			
Wyoming (Robertson)	13	1.06		71	5.81		26	2.13		442	36.14		6	0.49		557	45.54		40	3.27		9	0.74		10	0.82		35	2.86		10	0.82		4	0.33		1223	93.43		86	6.57		1309	1.62		575	47.02		648	52.98			
Special Hospitals	9	1.98		4	0.88		1	0.22		200	44.05		2	0.44		231	50.88		2	0.44		3	0.66		0	0.00		2	0.44		0	0.00		0	0.00		454	90.62		47	9.38		501	0.62		217	47.80		237	52.20			
Total Ordinary	509	0.82		2188	3.52		898	1.44		21485	34.53		296	0.48		31539	50.69		1989	3.20		649	1.04		438	0.70		1867	3.00		270	0.43		93	0.15		62221	93.58		4270	6.42		66491	82.48		26916	43.26		35305	56.74			
ABSENT	76	1.56		294	6.04		105	2.16		1473	30.25		23	0.47		2271	46.64		308	6.33		33	0.68		37	0.76		170	3.49		62	1.27		17	0.35		4869	93.47		340	6.53		5209	6.46		2162	44.40		2707	55.60			
POSTAL	17	0.49		86	2.48		34	0.98		1073	30.93		6	0.17		2050	59.09		55	1.59		11	0.32		16	0.46		107	3.08		10	0.29		4	0.12		3469	97.25		98	2.75		3567	4.42		1255	36.18		2214	63.82			
PRE_POLL	45	1.00		137	3.03		45	1.00		1522	33.69		20	0.44		2346	51.94		128	2.83		47	1.04		28	0.62		169	3.74		20	0.44		10	0.22		4517	96.37		170	3.63		4687	5.81		1913	42.35		2604	57.65			
PROVISIONAL	10	1.65		31	5.11		10	1.65		236	38.88		3	0.49		242	39.87		32	5.27		4	0.66		6	0.99		20	3.29		12	1.98		1	0.16		607	92.39		50	7.61		657	0.82		316	52.06		291	47.94			
Division Summary	657	0.87		2736	3.62		1092	1.44		25789	34.08		348	0.46		38448	50.80		2512	3.32		744	0.98		525	0.69		2333	3.08		374	0.49		125	0.17		75683	93.89		4928	6.11		80611	95.55		32562	43.02		43121	56.98			
																																																		
																																																		
																																																		
																																																		
																																																		
