House of Representatives - 2001 Election: New South Wales																						
Distribution of Preferences 																						
By Polling Place																						
																						
Dobell																						
				LEE			HENNIG			KER			TICEHURST			FALCONER			HASTIE			
		TOTAL		1376	50.29								1360	49.71								2736
													Elected									
																						
Berkeley Vale North                                            																						
	FIRST			583	46.53		18	1.44		21	1.68		528	42.14		53	4.23		50	3.99		1253
	SECOND			4	22.22			Excluded		0	0.00		11	61.11		2	11.11		1	5.56		18
		TOTAL		587	46.85					21	1.68		539	43.02		55	4.39		51	4.07		1253
	THIRD			9	42.86						Excluded		3	14.29		1	4.76		8	38.10		21
		TOTAL		596	47.57								542	43.26		56	4.47		59	4.71		1253
	FOURTH			13	23.21								17	30.36			Excluded		26	46.43		56
		TOTAL		609	48.60								559	44.61					85	6.78		1253
	FIFTH			48	56.47								37	43.53						Excluded		85
		TOTAL		657	52.43								596	47.57								1253
													Elected									
																						
Blue Haven                                                     																						
	FIRST			1025	50.27		21	1.03		48	2.35		792	38.84		105	5.15		48	2.35		2039
	SECOND			5	23.81			Excluded		8	38.10		8	38.10		0	0.00		0	0.00		21
		TOTAL		1030	50.51					56	2.75		800	39.23		105	5.15		48	2.35		2039
	THIRD			21	37.50						Excluded		13	23.21		9	16.07		13	23.21		56
		TOTAL		1051	51.54								813	39.87		114	5.59		61	2.99		2039
	FOURTH			24	21.05								42	36.84			Excluded		48	42.11		114
		TOTAL		1075	52.72								855	41.93					109	5.35		2039
	FIFTH			49	44.95								60	55.05						Excluded		109
		TOTAL		1124	55.13								915	44.87								2039
													Elected									
																						
Chittaway Bay                                                  																						
	FIRST			1201	44.73		39	1.45		61	2.27		1118	41.64		126	4.69		140	5.21		2685
	SECOND			8	20.51			Excluded		5	12.82		22	56.41		3	7.69		1	2.56		39
		TOTAL		1209	45.03					66	2.46		1140	42.46		129	4.80		141	5.25		2685
	THIRD			26	39.39						Excluded		7	10.61		9	13.64		24	36.36		66
		TOTAL		1235	46.00								1147	42.72		138	5.14		165	6.15		2685
	FOURTH			33	23.91								41	29.71			Excluded		64	46.38		138
		TOTAL		1268	47.23								1188	44.25					229	8.53		2685
	FIFTH			138	60.26								91	39.74						Excluded		229
		TOTAL		1406	52.36								1279	47.64								2685
													Elected									
																						
Chittaway Point                                                																						
	FIRST			151	37.38		3	0.74		6	1.49		210	51.98		21	5.20		13	3.22		404
	SECOND			1	33.33			Excluded		0	0.00		1	33.33		1	33.33		0	0.00		3
		TOTAL		152	37.62					6	1.49		211	52.23		22	5.45		13	3.22		404
	THIRD			0	0.00						Excluded		3	50.00		1	16.67		2	33.33		6
		TOTAL		152	37.62								214	52.97		23	5.69		15	3.71		404
	FOURTH			8	34.78								10	43.48			Excluded		5	21.74		23
		TOTAL		160	39.60								224	55.45					20	4.95		404
	FIFTH			11	55.00								9	45.00						Excluded		20
		TOTAL		171	42.33								233	57.67								404
													Elected									
																						
Dooralong                                                      																						
	FIRST			37	27.01		1	0.73		6	4.38		77	56.20		10	7.30		6	4.38		137
	SECOND			0	0.00			Excluded		0	0.00		1	100.00		0	0.00		0	0.00		1
		TOTAL		37	27.01					6	4.38		78	56.93		10	7.30		6	4.38		137
	THIRD			2	33.33						Excluded		0	0.00		0	0.00		4	66.67		6
		TOTAL		39	28.47								78	56.93		10	7.30		10	7.30		137
	FOURTH			3	30.00								4	40.00			Excluded		3	30.00		10
		TOTAL		42	30.66								82	59.85					13	9.49		137
	FIFTH			9	69.23								4	30.77						Excluded		13
		TOTAL		51	37.23								86	62.77								137
													Elected									
																						
Erina Heights (Dobell)                                         																						
	FIRST			188	23.98		22	2.81		23	2.93		477	60.84		12	1.53		62	7.91		784
	SECOND			2	9.09			Excluded		2	9.09		15	68.18		1	4.55		2	9.09		22
		TOTAL		190	24.23					25	3.19		492	62.76		13	1.66		64	8.16		784
	THIRD			10	40.00						Excluded		5	20.00		1	4.00		9	36.00		25
		TOTAL		200	25.51								497	63.39		14	1.79		73	9.31		784
	FOURTH			1	7.14								10	71.43			Excluded		3	21.43		14
		TOTAL		201	25.64								507	64.67					76	9.69		784
	FIFTH			51	67.11								25	32.89						Excluded		76
		TOTAL		252	32.14								532	67.86								784
													Elected									
																						
Forresters Beach                                               																						
	FIRST			413	36.94		26	2.33		39	3.49		522	46.69		54	4.83		64	5.72		1118
	SECOND			6	23.08			Excluded		2	7.69		15	57.69		0	0.00		3	11.54		26
		TOTAL		419	37.48					41	3.67		537	48.03		54	4.83		67	5.99		1118
	THIRD			12	29.27						Excluded		11	26.83		2	4.88		16	39.02		41
		TOTAL		431	38.55								548	49.02		56	5.01		83	7.42		1118
	FOURTH			5	8.93								22	39.29			Excluded		29	51.79		56
		TOTAL		436	39.00								570	50.98					112	10.02		1118
	FIFTH			64	57.14								48	42.86						Excluded		112
		TOTAL		500	44.72								618	55.28								1118
													Elected									
																						
Gorokan Central                                                																						
	FIRST			589	55.10		25	2.34		14	1.31		353	33.02		64	5.99		24	2.25		1069
	SECOND			8	32.00			Excluded		3	12.00		13	52.00		1	4.00		0	0.00		25
		TOTAL		597	55.85					17	1.59		366	34.24		65	6.08		24	2.25		1069
	THIRD			7	41.18						Excluded		4	23.53		2	11.76		4	23.53		17
		TOTAL		604	56.50								370	34.61		67	6.27		28	2.62		1069
	FOURTH			17	25.37								25	37.31			Excluded		25	37.31		67
		TOTAL		621	58.09								395	36.95					53	4.96		1069
	FIFTH			24	45.28								29	54.72						Excluded		53
		TOTAL		645	60.34								424	39.66								1069
													Elected									
																						
Hamlyn Terrace                                                 																						
	FIRST			107	37.41		4	1.40		2	0.70		153	53.50		13	4.55		7	2.45		286
	SECOND			3	75.00			Excluded		0	0.00		0	0.00		1	25.00		0	0.00		4
		TOTAL		110	38.46					2	0.70		153	53.50		14	4.90		7	2.45		286
	THIRD			1	50.00						Excluded		0	0.00		1	50.00		0	0.00		2
		TOTAL		111	38.81								153	53.50		15	5.24		7	2.45		286
	FOURTH			4	26.67								5	33.33			Excluded		6	40.00		15
		TOTAL		115	40.21								158	55.24					13	4.55		286
	FIFTH			7	53.85								6	46.15						Excluded		13
		TOTAL		122	42.66								164	57.34								286
													Elected									
																						
Holgate                                                        																						
	FIRST			196	29.17		6	0.89		26	3.87		389	57.89		24	3.57		31	4.61		672
	SECOND			1	16.67			Excluded		0	0.00		5	83.33		0	0.00		0	0.00		6
		TOTAL		197	29.32					26	3.87		394	58.63		24	3.57		31	4.61		672
	THIRD			7	26.92						Excluded		2	7.69		2	7.69		15	57.69		26
		TOTAL		204	30.36								396	58.93		26	3.87		46	6.85		672
	FOURTH			7	26.92								12	46.15			Excluded		7	26.92		26
		TOTAL		211	31.40								408	60.71					53	7.89		672
	FIFTH			35	66.04								18	33.96						Excluded		53
		TOTAL		246	36.61								426	63.39								672
													Elected									
																						
Jilliby                                                        																						
	FIRST			154	33.41		5	1.08		19	4.12		255	55.31		17	3.69		11	2.39		461
	SECOND			0	0.00			Excluded		0	0.00		2	40.00		3	60.00		0	0.00		5
		TOTAL		154	33.41					19	4.12		257	55.75		20	4.34		11	2.39		461
	THIRD			5	26.32						Excluded		1	5.26		2	10.53		11	57.89		19
		TOTAL		159	34.49								258	55.97		22	4.77		22	4.77		461
	FOURTH			3	13.64								11	50.00			Excluded		8	36.36		22
		TOTAL		162	35.14								269	58.35					30	6.51		461
	FIFTH			18	60.00								12	40.00						Excluded		30
		TOTAL		180	39.05								281	60.95								461
													Elected									
																						
Kanwal                                                         																						
	FIRST			1349	48.79		80	2.89		55	1.99		1075	38.88		101	3.65		105	3.80		2765
	SECOND			16	20.00			Excluded		4	5.00		49	61.25		6	7.50		5	6.25		80
		TOTAL		1365	49.37					59	2.13		1124	40.65		107	3.87		110	3.98		2765
	THIRD			9	15.25						Excluded		13	22.03		11	18.64		26	44.07		59
		TOTAL		1374	49.69								1137	41.12		118	4.27		136	4.92		2765
	FOURTH			40	33.90								31	26.27			Excluded		47	39.83		118
		TOTAL		1414	51.14								1168	42.24					183	6.62		2765
	FIFTH			118	64.48								65	35.52						Excluded		183
		TOTAL		1532	55.41								1233	44.59								2765
													Elected									
																						
Killarney Vale                                                 																						
	FIRST			744	49.01		17	1.12		33	2.17		636	41.90		32	2.11		56	3.69		1518
	SECOND			4	23.53			Excluded		2	11.76		9	52.94		0	0.00		2	11.76		17
		TOTAL		748	49.28					35	2.31		645	42.49		32	2.11		58	3.82		1518
	THIRD			10	28.57						Excluded		6	17.14		7	20.00		12	34.29		35
		TOTAL		758	49.93								651	42.89		39	2.57		70	4.61		1518
	FOURTH			12	30.77								6	15.38			Excluded		21	53.85		39
		TOTAL		770	50.72								657	43.28					91	5.99		1518
	FIFTH			53	58.24								38	41.76						Excluded		91
		TOTAL		823	54.22								695	45.78								1518
													Elected									
																						
Killarney Vale South                                           																						
	FIRST			1609	47.53		44	1.30		82	2.42		1386	40.95		151	4.46		113	3.34		3385
	SECOND			13	29.55			Excluded		2	4.55		22	50.00		4	9.09		3	6.82		44
		TOTAL		1622	47.92					84	2.48		1408	41.60		155	4.58		116	3.43		3385
	THIRD			26	30.95						Excluded		8	9.52		6	7.14		44	52.38		84
		TOTAL		1648	48.69								1416	41.83		161	4.76		160	4.73		3385
	FOURTH			40	24.84								36	22.36			Excluded		85	52.80		161
		TOTAL		1688	49.87								1452	42.90					245	7.24		3385
	FIFTH			127	51.84								118	48.16						Excluded		245
		TOTAL		1815	53.62								1570	46.38								3385
													Elected									
																						
Kulnura                                                        																						
	FIRST			74	22.22		12	3.60		13	3.90		186	55.86		35	10.51		13	3.90		333
	SECOND			4	33.33			Excluded		3	25.00		2	16.67		3	25.00		0	0.00		12
		TOTAL		78	23.42					16	4.80		188	56.46		38	11.41		13	3.90		333
	THIRD			4	25.00						Excluded		4	25.00		2	12.50		6	37.50		16
		TOTAL		82	24.62								192	57.66		40	12.01		19	5.71		333
	FOURTH			6	15.00								12	30.00			Excluded		22	55.00		40
		TOTAL		88	26.43								204	61.26					41	12.31		333
	FIFTH			16	39.02								25	60.98						Excluded		41
		TOTAL		104	31.23								229	68.77								333
													Elected									
																						
Lisarow                                                        																						
	FIRST			618	34.11		63	3.48		67	3.70		900	49.67		57	3.15		107	5.91		1812
	SECOND			6	9.52			Excluded		5	7.94		48	76.19		0	0.00		4	6.35		63
		TOTAL		624	34.44					72	3.97		948	52.32		57	3.15		111	6.13		1812
	THIRD			26	36.11						Excluded		12	16.67		6	8.33		28	38.89		72
		TOTAL		650	35.87								960	52.98		63	3.48		139	7.67		1812
	FOURTH			16	25.40								32	50.79			Excluded		15	23.81		63
		TOTAL		666	36.75								992	54.75					154	8.50		1812
	FIFTH			106	68.83								48	31.17						Excluded		154
		TOTAL		772	42.60								1040	57.40								1812
													Elected									
																						
Long Jetty                                                     																						
	FIRST			756	49.84		4	0.26		23	1.52		610	40.21		87	5.74		37	2.44		1517
	SECOND			2	50.00			Excluded		2	50.00		0	0.00		0	0.00		0	0.00		4
		TOTAL		758	49.97					25	1.65		610	40.21		87	5.74		37	2.44		1517
	THIRD			5	20.00						Excluded		4	16.00		2	8.00		14	56.00		25
		TOTAL		763	50.30								614	40.47		89	5.87		51	3.36		1517
	FOURTH			28	31.46								19	21.35			Excluded		42	47.19		89
		TOTAL		791	52.14								633	41.73					93	6.13		1517
	FIFTH			45	48.39								48	51.61						Excluded		93
		TOTAL		836	55.11								681	44.89								1517
													Elected									
																						
Long Jetty East                                                																						
	FIRST			540	47.58		9	0.79		24	2.11		491	43.26		41	3.61		30	2.64		1135
	SECOND			0	0.00			Excluded		0	0.00		8	88.89		1	11.11		0	0.00		9
		TOTAL		540	47.58					24	2.11		499	43.96		42	3.70		30	2.64		1135
	THIRD			5	20.83						Excluded		3	12.50		3	12.50		13	54.17		24
		TOTAL		545	48.02								502	44.23		45	3.96		43	3.79		1135
	FOURTH			10	22.22								12	26.67			Excluded		23	51.11		45
		TOTAL		555	48.90								514	45.29					66	5.81		1135
	FIFTH			29	43.94								37	56.06						Excluded		66
		TOTAL		584	51.45								551	48.55								1135
													Elected									
																						
Mardi                                                          																						
	FIRST			312	38.61		21	2.60		15	1.86		383	47.40		40	4.95		37	4.58		808
	SECOND			2	9.52			Excluded		2	9.52		11	52.38		1	4.76		5	23.81		21
		TOTAL		314	38.86					17	2.10		394	48.76		41	5.07		42	5.20		808
	THIRD			4	23.53						Excluded		4	23.53		2	11.76		7	41.18		17
		TOTAL		318	39.36								398	49.26		43	5.32		49	6.06		808
	FOURTH			12	27.91								17	39.53			Excluded		14	32.56		43
		TOTAL		330	40.84								415	51.36					63	7.80		808
	FIFTH			37	58.73								26	41.27						Excluded		63
		TOTAL		367	45.42								441	54.58								808
													Elected									
																						
Narara                                                         																						
	FIRST			392	39.32		27	2.71		36	3.61		424	42.53		66	6.62		52	5.22		997
	SECOND			3	11.11			Excluded		1	3.70		21	77.78		1	3.70		1	3.70		27
		TOTAL		395	39.62					37	3.71		445	44.63		67	6.72		53	5.32		997
	THIRD			10	27.03						Excluded		2	5.41		2	5.41		23	62.16		37
		TOTAL		405	40.62								447	44.83		69	6.92		76	7.62		997
	FOURTH			16	23.19								13	18.84			Excluded		40	57.97		69
		TOTAL		421	42.23								460	46.14					116	11.63		997
	FIFTH			62	53.45								54	46.55						Excluded		116
		TOTAL		483	48.45								514	51.55								997
													Elected									
																						
Niagara Park (Dobell)                                          																						
	FIRST			1131	40.38		112	4.00		97	3.46		1185	42.31		126	4.50		150	5.36		2801
	SECOND			15	13.39			Excluded		7	6.25		81	72.32		5	4.46		4	3.57		112
		TOTAL		1146	40.91					104	3.71		1266	45.20		131	4.68		154	5.50		2801
	THIRD			37	35.58						Excluded		17	16.35		9	8.65		41	39.42		104
		TOTAL		1183	42.23								1283	45.81		140	5.00		195	6.96		2801
	FOURTH			27	19.29								32	22.86			Excluded		81	57.86		140
		TOTAL		1210	43.20								1315	46.95					276	9.85		2801
	FIFTH			151	54.71								125	45.29						Excluded		276
		TOTAL		1361	48.59								1440	51.41								2801
													Elected									
																						
Ourimbah                                                       																						
	FIRST			699	34.98		59	2.95		66	3.30		993	49.70		81	4.05		100	5.01		1998
	SECOND			8	13.56			Excluded		5	8.47		41	69.49		3	5.08		2	3.39		59
		TOTAL		707	35.39					71	3.55		1034	51.75		84	4.20		102	5.11		1998
	THIRD			23	32.39						Excluded		4	5.63		10	14.08		34	47.89		71
		TOTAL		730	36.54								1038	51.95		94	4.70		136	6.81		1998
	FOURTH			17	18.09								35	37.23			Excluded		42	44.68		94
		TOTAL		747	37.39								1073	53.70					178	8.91		1998
	FIFTH			105	58.99								73	41.01						Excluded		178
		TOTAL		852	42.64								1146	57.36								1998
													Elected									
																						
Shelly Beach                                                   																						
	FIRST			1101	44.04		18	0.72		80	3.20		1111	44.44		98	3.92		92	3.68		2500
	SECOND			1	5.56			Excluded		3	16.67		8	44.44		3	16.67		3	16.67		18
		TOTAL		1102	44.08					83	3.32		1119	44.76		101	4.04		95	3.80		2500
	THIRD			25	30.12						Excluded		14	16.87		9	10.84		35	42.17		83
		TOTAL		1127	45.08								1133	45.32		110	4.40		130	5.20		2500
	FOURTH			23	20.91								29	26.36			Excluded		58	52.73		110
		TOTAL		1150	46.00								1162	46.48					188	7.52		2500
	FIFTH			100	53.19								88	46.81						Excluded		188
		TOTAL		1250	50.00								1250	50.00								2500
													Elected									
																						
Sydney (Dobell)                                                																						
	FIRST			22	40.74		0	0.00		6	11.11		21	38.89		1	1.85		4	7.41		54
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		22	40.74					6	11.11		21	38.89		1	1.85		4	7.41		54
	THIRD			2	33.33						Excluded		1	16.67		0	0.00		3	50.00		6
		TOTAL		24	44.44								22	40.74		1	1.85		7	12.96		54
	FOURTH			1	100.00								0	0.00			Excluded		0	0.00		1
		TOTAL		25	46.30								22	40.74					7	12.96		54
	FIFTH			5	71.43								2	28.57						Excluded		7
		TOTAL		30	55.56								24	44.44								54
													Elected									
																						
Tacoma                                                         																						
	FIRST			263	50.87		7	1.35		12	2.32		190	36.75		23	4.45		22	4.26		517
	SECOND			1	14.29			Excluded		0	0.00		5	71.43		0	0.00		1	14.29		7
		TOTAL		264	51.06					12	2.32		195	37.72		23	4.45		23	4.45		517
	THIRD			5	41.67						Excluded		6	50.00		1	8.33		0	0.00		12
		TOTAL		269	52.03								201	38.88		24	4.64		23	4.45		517
	FOURTH			7	29.17								9	37.50			Excluded		8	33.33		24
		TOTAL		276	53.38								210	40.62					31	6.00		517
	FIFTH			17	54.84								14	45.16						Excluded		31
		TOTAL		293	56.67								224	43.33								517
													Elected									
																						
Terrigal (Dobell)                                              																						
	FIRST			180	31.20		16	2.77		44	7.63		277	48.01		25	4.33		35	6.07		577
	SECOND			3	18.75			Excluded		5	31.25		7	43.75		0	0.00		1	6.25		16
		TOTAL		183	31.72					49	8.49		284	49.22		25	4.33		36	6.24		577
	THIRD			18	36.73						Excluded		12	24.49		2	4.08		17	34.69		49
		TOTAL		201	34.84								296	51.30		27	4.68		53	9.19		577
	FOURTH			5	18.52								15	55.56			Excluded		7	25.93		27
		TOTAL		206	35.70								311	53.90					60	10.40		577
	FIFTH			34	56.67								26	43.33						Excluded		60
		TOTAL		240	41.59								337	58.41								577
													Elected									
																						
Terrigal Lagoon                                                																						
	FIRST			372	33.67		15	1.36		33	2.99		633	57.29		19	1.72		33	2.99		1105
	SECOND			2	13.33			Excluded		0	0.00		12	80.00		0	0.00		1	6.67		15
		TOTAL		374	33.85					33	2.99		645	58.37		19	1.72		34	3.08		1105
	THIRD			7	21.21						Excluded		8	24.24		1	3.03		17	51.52		33
		TOTAL		381	34.48								653	59.10		20	1.81		51	4.62		1105
	FOURTH			3	15.00								14	70.00			Excluded		3	15.00		20
		TOTAL		384	34.75								667	60.36					54	4.89		1105
	FIFTH			33	61.11								21	38.89						Excluded		54
		TOTAL		417	37.74								688	62.26								1105
													Elected									
																						
The Entrance                                                   																						
	FIRST			900	49.48		18	0.99		39	2.14		744	40.90		66	3.63		52	2.86		1819
	SECOND			4	22.22			Excluded		2	11.11		7	38.89		4	22.22		1	5.56		18
		TOTAL		904	49.70					41	2.25		751	41.29		70	3.85		53	2.91		1819
	THIRD			13	31.71						Excluded		8	19.51		3	7.32		17	41.46		41
		TOTAL		917	50.41								759	41.73		73	4.01		70	3.85		1819
	FOURTH			17	23.29								25	34.25			Excluded		31	42.47		73
		TOTAL		934	51.35								784	43.10					101	5.55		1819
	FIFTH			54	53.47								47	46.53						Excluded		101
		TOTAL		988	54.32								831	45.68								1819
													Elected									
																						
The Entrance North                                             																						
	FIRST			319	49.15		4	0.62		20	3.08		255	39.29		35	5.39		16	2.47		649
	SECOND			1	25.00			Excluded		0	0.00		3	75.00		0	0.00		0	0.00		4
		TOTAL		320	49.31					20	3.08		258	39.75		35	5.39		16	2.47		649
	THIRD			9	45.00						Excluded		1	5.00		4	20.00		6	30.00		20
		TOTAL		329	50.69								259	39.91		39	6.01		22	3.39		649
	FOURTH			10	25.64								8	20.51			Excluded		21	53.85		39
		TOTAL		339	52.23								267	41.14					43	6.63		649
	FIFTH			22	51.16								21	48.84						Excluded		43
		TOTAL		361	55.62								288	44.38								649
													Elected									
																						
Tuggerah                                                       																						
	FIRST			382	40.90		18	1.93		26	2.78		418	44.75		23	2.46		67	7.17		934
	SECOND			5	27.78			Excluded		1	5.56		11	61.11		1	5.56		0	0.00		18
		TOTAL		387	41.43					27	2.89		429	45.93		24	2.57		67	7.17		934
	THIRD			9	33.33						Excluded		2	7.41		2	7.41		14	51.85		27
		TOTAL		396	42.40								431	46.15		26	2.78		81	8.67		934
	FOURTH			10	38.46								11	42.31			Excluded		5	19.23		26
		TOTAL		406	43.47								442	47.32					86	9.21		934
	FIFTH			65	75.58								21	24.42						Excluded		86
		TOTAL		471	50.43								463	49.57								934
													Elected									
																						
Tuggerawong                                                    																						
	FIRST			246	50.62		9	1.85		6	1.23		193	39.71		16	3.29		16	3.29		486
	SECOND			1	11.11			Excluded		1	11.11		5	55.56		1	11.11		1	11.11		9
		TOTAL		247	50.82					7	1.44		198	40.74		17	3.50		17	3.50		486
	THIRD			2	28.57						Excluded		1	14.29		3	42.86		1	14.29		7
		TOTAL		249	51.23								199	40.95		20	4.12		18	3.70		486
	FOURTH			5	25.00								6	30.00			Excluded		9	45.00		20
		TOTAL		254	52.26								205	42.18					27	5.56		486
	FIFTH			14	51.85								13	48.15						Excluded		27
		TOTAL		268	55.14								218	44.86								486
													Elected									
																						
Tumbi Umbi                                                     																						
	FIRST			426	41.76		9	0.88		13	1.27		488	47.84		56	5.49		28	2.75		1020
	SECOND			1	11.11			Excluded		0	0.00		6	66.67		0	0.00		2	22.22		9
		TOTAL		427	41.86					13	1.27		494	48.43		56	5.49		30	2.94		1020
	THIRD			2	15.38						Excluded		4	30.77		3	23.08		4	30.77		13
		TOTAL		429	42.06								498	48.82		59	5.78		34	3.33		1020
	FOURTH			12	20.34								15	25.42			Excluded		32	54.24		59
		TOTAL		441	43.24								513	50.29					66	6.47		1020
	FIFTH			24	36.36								42	63.64						Excluded		66
		TOTAL		465	45.59								555	54.41								1020
													Elected									
																						
Valley View                                                    																						
	FIRST			219	41.24		14	2.64		18	3.39		252	47.46		8	1.51		20	3.77		531
	SECOND			2	14.29			Excluded		0	0.00		10	71.43		1	7.14		1	7.14		14
		TOTAL		221	41.62					18	3.39		262	49.34		9	1.69		21	3.95		531
	THIRD			8	44.44						Excluded		1	5.56		1	5.56		8	44.44		18
		TOTAL		229	43.13								263	49.53		10	1.88		29	5.46		531
	FOURTH			1	10.00								5	50.00			Excluded		4	40.00		10
		TOTAL		230	43.31								268	50.47					33	6.21		531
	FIFTH			24	72.73								9	27.27						Excluded		33
		TOTAL		254	47.83								277	52.17								531
													Elected									
																						
Wamberal                                                       																						
	FIRST			718	32.24		28	1.26		68	3.05		1226	55.05		70	3.14		117	5.25		2227
	SECOND			4	14.29			Excluded		3	10.71		17	60.71		3	10.71		1	3.57		28
		TOTAL		722	32.42					71	3.19		1243	55.81		73	3.28		118	5.30		2227
	THIRD			18	25.35						Excluded		8	11.27		6	8.45		39	54.93		71
		TOTAL		740	33.23								1251	56.17		79	3.55		157	7.05		2227
	FOURTH			16	20.25								23	29.11			Excluded		40	50.63		79
		TOTAL		756	33.95								1274	57.21					197	8.85		2227
	FIFTH			124	62.94								73	37.06						Excluded		197
		TOTAL		880	39.52								1347	60.48								2227
													Elected									
																						
Wamberal North                                                 																						
	FIRST			295	30.29		23	2.36		46	4.72		516	52.98		38	3.90		56	5.75		974
	SECOND			3	13.04			Excluded		1	4.35		16	69.57		2	8.70		1	4.35		23
		TOTAL		298	30.60					47	4.83		532	54.62		40	4.11		57	5.85		974
	THIRD			11	23.40						Excluded		8	17.02		5	10.64		23	48.94		47
		TOTAL		309	31.72								540	55.44		45	4.62		80	8.21		974
	FOURTH			9	20.00								14	31.11			Excluded		22	48.89		45
		TOTAL		318	32.65								554	56.88					102	10.47		974
	FIFTH			69	67.65								33	32.35						Excluded		102
		TOTAL		387	39.73								587	60.27								974
													Elected									
																						
Warnervale                                                     																						
	FIRST			587	43.16		22	1.62		32	2.35		553	40.66		97	7.13		69	5.07		1360
	SECOND			3	13.64			Excluded		1	4.55		16	72.73		2	9.09		0	0.00		22
		TOTAL		590	43.38					33	2.43		569	41.84		99	7.28		69	5.07		1360
	THIRD			7	21.21						Excluded		7	21.21		4	12.12		15	45.45		33
		TOTAL		597	43.90								576	42.35		103	7.57		84	6.18		1360
	FOURTH			11	10.68								35	33.98			Excluded		57	55.34		103
		TOTAL		608	44.71								611	44.93					141	10.37		1360
	FIFTH			61	43.26								80	56.74						Excluded		141
		TOTAL		669	49.19								691	50.81								1360
													Elected									
																						
Watanobbi                                                      																						
	FIRST			679	54.41		27	2.16		44	3.53		390	31.25		59	4.73		49	3.93		1248
	SECOND			7	25.93			Excluded		3	11.11		14	51.85		2	7.41		1	3.70		27
		TOTAL		686	54.97					47	3.77		404	32.37		61	4.89		50	4.01		1248
	THIRD			21	44.68						Excluded		4	8.51		7	14.89		15	31.91		47
		TOTAL		707	56.65								408	32.69		68	5.45		65	5.21		1248
