House of Representatives - 2001 Election: New South Wales																										
Distribution of Preferences																										
By Polling Place																										
																										
Riverina																										
				RICHTER			TURNER			ALBISTON			HULL			GRAHAM			DANCEY			MOORE				
		TOTAL					25	6.79		39	10.60		295	80.16		3	0.82					6	1.63		368	
	FOURTH						1	16.67		0	0.00		4	66.67		1	16.67						Excluded		6	
		TOTAL					26	7.07		39	10.60		299	81.25		4	1.09								368	
	FIFTH						1	25.00		1	25.00		2	50.00			Excluded								4	
		TOTAL					27	7.34		40	10.87		301	81.79											368	
	SIXTH							Excluded		12	44.44		15	55.56											27	
		TOTAL								52	14.13		316	85.87											368	
													Elected													
																										
Ashmont                                                        																										
	FIRST			58	2.94		134	6.79		603	30.56		1018	51.60		59	2.99		38	1.93		63	3.19		1973	
	SECOND			4	10.53		2	5.26		3	7.89		19	50.00		5	13.16			Excluded		5	13.16		38	
		TOTAL		62	3.14		136	6.89		606	30.71		1037	52.56		64	3.24					68	3.45		1973	
	THIRD				Excluded		19	30.65		19	30.65		17	27.42		2	3.23					5	8.06		62	
		TOTAL					155	7.86		625	31.68		1054	53.42		66	3.35					73	3.70		1973	
	FOURTH						11	15.07		13	17.81		18	24.66		31	42.47						Excluded		73	
		TOTAL					166	8.41		638	32.34		1072	54.33		97	4.92								1973	
	FIFTH						13	13.40		41	42.27		43	44.33			Excluded								97	
		TOTAL					179	9.07		679	34.41		1115	56.51											1973	
	SIXTH							Excluded		82	45.81		97	54.19											179	
		TOTAL								761	38.57		1212	61.43											1973	
													Elected													
																										
Barellan                                                       																										
	FIRST			5	1.39		28	7.76		38	10.53		286	79.22		1	0.28		1	0.28		2	0.55		361	
	SECOND			0	0.00		0	0.00		0	0.00		1	100.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		5	1.39		28	7.76		38	10.53		287	79.50		1	0.28					2	0.55		361	
	THIRD				Excluded		2	40.00		0	0.00		2	40.00		0	0.00					1	20.00		5	
		TOTAL					30	8.31		38	10.53		289	80.06		1	0.28					3	0.83		361	
	FOURTH						0	0.00		1	33.33		1	33.33		1	33.33						Excluded		3	
		TOTAL					30	8.31		39	10.80		290	80.33		2	0.55								361	
	FIFTH						0	0.00		1	50.00		1	50.00			Excluded								2	
		TOTAL					30	8.31		40	11.08		291	80.61											361	
	SIXTH							Excluded		9	30.00		21	70.00											30	
		TOTAL								49	13.57		312	86.43											361	
													Elected													
																										
Beckom                                                         																										
	FIRST			0	0.00		6	8.57		3	4.29		61	87.14		0	0.00		0	0.00		0	0.00		70	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		0	0.00		6	8.57		3	4.29		61	87.14		0	0.00					0	0.00		70	
	THIRD				Excluded		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL					6	8.57		3	4.29		61	87.14		0	0.00					0	0.00		70	
	FOURTH						0	0.00		0	0.00		0	0.00		0	0.00						Excluded		0	
		TOTAL					6	8.57		3	4.29		61	87.14		0	0.00								70	
	FIFTH						0	0.00		0	0.00		0	0.00			Excluded								0	
		TOTAL					6	8.57		3	4.29		61	87.14											70	
	SIXTH							Excluded		0	0.00		6	100.00											6	
		TOTAL								3	4.29		67	95.71											70	
													Elected													
																										
Beelbangera                                                    																										
	FIRST			8	2.35		23	6.76		68	20.00		229	67.35		6	1.76		1	0.29		5	1.47		340	
	SECOND			0	0.00		0	0.00		1	100.00		0	0.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		8	2.35		23	6.76		69	20.29		229	67.35		6	1.76					5	1.47		340	
	THIRD				Excluded		2	25.00		0	0.00		2	25.00		0	0.00					4	50.00		8	
		TOTAL					25	7.35		69	20.29		231	67.94		6	1.76					9	2.65		340	
	FOURTH						0	0.00		1	11.11		4	44.44		4	44.44						Excluded		9	
		TOTAL					25	7.35		70	20.59		235	69.12		10	2.94								340	
	FIFTH						0	0.00		5	50.00		5	50.00			Excluded								10	
		TOTAL					25	7.35		75	22.06		240	70.59											340	
	SIXTH							Excluded		11	44.00		14	56.00											25	
		TOTAL								86	25.29		254	74.71											340	
													Elected													
																										
Bethungra                                                      																										
	FIRST			2	1.63		9	7.32		18	14.63		79	64.23		8	6.50		2	1.63		5	4.07		123	
	SECOND			1	50.00		1	50.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		2	
		TOTAL		3	2.44		10	8.13		18	14.63		79	64.23		8	6.50					5	4.07		123	
	THIRD				Excluded		2	66.67		0	0.00		1	33.33		0	0.00					0	0.00		3	
		TOTAL					12	9.76		18	14.63		80	65.04		8	6.50					5	4.07		123	
	FOURTH						1	20.00		0	0.00		1	20.00		3	60.00						Excluded		5	
		TOTAL					13	10.57		18	14.63		81	65.85		11	8.94								123	
	FIFTH						0	0.00		4	36.36		7	63.64			Excluded								11	
		TOTAL					13	10.57		22	17.89		88	71.54											123	
	SIXTH							Excluded		4	30.77		9	69.23											13	
		TOTAL								26	21.14		97	78.86											123	
													Elected													
																										
Bilbul                                                         																										
	FIRST			5	2.60		15	7.81		35	18.23		130	67.71		3	1.56		3	1.56		1	0.52		192	
	SECOND			0	0.00		0	0.00		0	0.00		3	100.00		0	0.00			Excluded		0	0.00		3	
		TOTAL		5	2.60		15	7.81		35	18.23		133	69.27		3	1.56					1	0.52		192	
	THIRD				Excluded		3	60.00		0	0.00		2	40.00		0	0.00					0	0.00		5	
		TOTAL					18	9.38		35	18.23		135	70.31		3	1.56					1	0.52		192	
	FOURTH						0	0.00		0	0.00		0	0.00		1	100.00						Excluded		1	
		TOTAL					18	9.38		35	18.23		135	70.31		4	2.08								192	
	FIFTH						1	25.00		2	50.00		1	25.00			Excluded								4	
		TOTAL					19	9.90		37	19.27		136	70.83											192	
	SIXTH							Excluded		12	63.16		7	36.84											19	
		TOTAL								49	25.52		143	74.48											192	
													Elected													
																										
Binya                                                          																										
	FIRST			1	1.10		5	5.49		5	5.49		75	82.42		1	1.10		0	0.00		4	4.40		91	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		1	1.10		5	5.49		5	5.49		75	82.42		1	1.10					4	4.40		91	
	THIRD				Excluded		0	0.00		0	0.00		1	100.00		0	0.00					0	0.00		1	
		TOTAL					5	5.49		5	5.49		76	83.52		1	1.10					4	4.40		91	
	FOURTH						0	0.00		0	0.00		1	25.00		3	75.00						Excluded		4	
		TOTAL					5	5.49		5	5.49		77	84.62		4	4.40								91	
	FIFTH						0	0.00		2	50.00		2	50.00			Excluded								4	
		TOTAL					5	5.49		7	7.69		79	86.81											91	
	SIXTH							Excluded		1	20.00		4	80.00											5	
		TOTAL								8	8.79		83	91.21											91	
													Elected													
																										
Booligal                                                       																										
	FIRST			0	0.00		6	12.00		8	16.00		35	70.00		1	2.00		0	0.00		0	0.00		50	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		0	0.00		6	12.00		8	16.00		35	70.00		1	2.00					0	0.00		50	
	THIRD				Excluded		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL					6	12.00		8	16.00		35	70.00		1	2.00					0	0.00		50	
	FOURTH						0	0.00		0	0.00		0	0.00		0	0.00						Excluded		0	
		TOTAL					6	12.00		8	16.00		35	70.00		1	2.00								50	
	FIFTH						0	0.00		0	0.00		1	100.00			Excluded								1	
		TOTAL					6	12.00		8	16.00		36	72.00											50	
	SIXTH							Excluded		3	50.00		3	50.00											6	
		TOTAL								11	22.00		39	78.00											50	
													Elected													
																										
Carrathool                                                     																										
	FIRST			1	1.19		9	10.71		11	13.10		60	71.43		3	3.57		0	0.00		0	0.00		84	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		1	1.19		9	10.71		11	13.10		60	71.43		3	3.57					0	0.00		84	
	THIRD				Excluded		1	100.00		0	0.00		0	0.00		0	0.00					0	0.00		1	
		TOTAL					10	11.90		11	13.10		60	71.43		3	3.57					0	0.00		84	
	FOURTH						0	0.00		0	0.00		0	0.00		0	0.00						Excluded		0	
		TOTAL					10	11.90		11	13.10		60	71.43		3	3.57								84	
	FIFTH						0	0.00		3	100.00		0	0.00			Excluded								3	
		TOTAL					10	11.90		14	16.67		60	71.43											84	
	SIXTH							Excluded		4	40.00		6	60.00											10	
		TOTAL								18	21.43		66	78.57											84	
													Elected													
																										
Charles Sturt University                                       																										
	FIRST			5	2.89		10	5.78		39	22.54		86	49.71		10	5.78		12	6.94		11	6.36		173	
	SECOND			0	0.00		1	8.33		3	25.00		7	58.33		1	8.33			Excluded		0	0.00		12	
		TOTAL		5	2.89		11	6.36		42	24.28		93	53.76		11	6.36					11	6.36		173	
	THIRD				Excluded		2	40.00		0	0.00		1	20.00		1	20.00					1	20.00		5	
		TOTAL					13	7.51		42	24.28		94	54.34		12	6.94					12	6.94		173	
	FOURTH						0	0.00		4	33.33		2	16.67		6	50.00						Excluded		12	
		TOTAL					13	7.51		46	26.59		96	55.49		18	10.40								173	
	FIFTH						0	0.00		9	50.00		9	50.00			Excluded								18	
		TOTAL					13	7.51		55	31.79		105	60.69											173	
	SIXTH							Excluded		3	23.08		10	76.92											13	
		TOTAL								58	33.53		115	66.47											173	
													Elected													
																										
Coleambally                                                    																										
	FIRST			2	0.34		31	5.22		73	12.29		472	79.46		9	1.52		4	0.67		3	0.51		594	
	SECOND			0	0.00		0	0.00		0	0.00		4	100.00		0	0.00			Excluded		0	0.00		4	
		TOTAL		2	0.34		31	5.22		73	12.29		476	80.13		9	1.52					3	0.51		594	
	THIRD				Excluded		0	0.00		1	50.00		0	0.00		0	0.00					1	50.00		2	
		TOTAL					31	5.22		74	12.46		476	80.13		9	1.52					4	0.67		594	
	FOURTH						0	0.00		0	0.00		1	25.00		3	75.00						Excluded		4	
		TOTAL					31	5.22		74	12.46		477	80.30		12	2.02								594	
	FIFTH						1	8.33		6	50.00		5	41.67			Excluded								12	
		TOTAL					32	5.39		80	13.47		482	81.14											594	
	SIXTH							Excluded		4	12.50		28	87.50											32	
		TOTAL								84	14.14		510	85.86											594	
													Elected													
																										
Collingullie                                                   																										
	FIRST			2	1.04		8	4.15		29	15.03		147	76.17		4	2.07		0	0.00		3	1.55		193	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		2	1.04		8	4.15		29	15.03		147	76.17		4	2.07					3	1.55		193	
	THIRD				Excluded		2	100.00		0	0.00		0	0.00		0	0.00					0	0.00		2	
		TOTAL					10	5.18		29	15.03		147	76.17		4	2.07					3	1.55		193	
	FOURTH						0	0.00		0	0.00		2	66.67		1	33.33						Excluded		3	
		TOTAL					10	5.18		29	15.03		149	77.20		5	2.59								193	
	FIFTH						0	0.00		3	60.00		2	40.00			Excluded								5	
		TOTAL					10	5.18		32	16.58		151	78.24											193	
	SIXTH							Excluded		1	10.00		9	90.00											10	
		TOTAL								33	17.10		160	82.90											193	
													Elected													
																										
Coolac                                                         																										
	FIRST			7	3.14		15	6.73		54	24.22		137	61.43		2	0.90		0	0.00		8	3.59		223	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		7	3.14		15	6.73		54	24.22		137	61.43		2	0.90					8	3.59		223	
	THIRD				Excluded		2	28.57		3	42.86		2	28.57		0	0.00					0	0.00		7	
		TOTAL					17	7.62		57	25.56		139	62.33		2	0.90					8	3.59		223	
	FOURTH						2	25.00		0	0.00		3	37.50		3	37.50						Excluded		8	
		TOTAL					19	8.52		57	25.56		142	63.68		5	2.24								223	
	FIFTH						0	0.00		3	60.00		2	40.00			Excluded								5	
		TOTAL					19	8.52		60	26.91		144	64.57											223	
	SIXTH							Excluded		3	15.79		16	84.21											19	
		TOTAL								63	28.25		160	71.75											223	
													Elected													
																										
Coolamon                                                       																										
	FIRST			20	1.92		74	7.09		175	16.76		707	67.72		36	3.45		9	0.86		23	2.20		1044	
	SECOND			2	22.22		1	11.11		1	11.11		4	44.44		0	0.00			Excluded		1	11.11		9	
		TOTAL		22	2.11		75	7.18		176	16.86		711	68.10		36	3.45					24	2.30		1044	
	THIRD				Excluded		13	59.09		2	9.09		4	18.18		1	4.55					2	9.09		22	
		TOTAL					88	8.43		178	17.05		715	68.49		37	3.54					26	2.49		1044	
	FOURTH						5	19.23		5	19.23		5	19.23		11	42.31						Excluded		26	
		TOTAL					93	8.91		183	17.53		720	68.97		48	4.60								1044	
	FIFTH						8	16.67		18	37.50		22	45.83			Excluded								48	
		TOTAL					101	9.67		201	19.25		742	71.07											1044	
	SIXTH							Excluded		42	41.58		59	58.42											101	
		TOTAL								243	23.28		801	76.72											1044	
													Elected													
																										
Cootamundra                                                    																										
	FIRST			58	2.59		112	4.99		866	38.61		1060	47.26		60	2.67		46	2.05		41	1.83		2243	
	SECOND			1	2.17		1	2.17		6	13.04		27	58.70		3	6.52			Excluded		8	17.39		46	
		TOTAL		59	2.63		113	5.04		872	38.88		1087	48.46		63	2.81					49	2.18		2243	
	THIRD				Excluded		27	45.76		9	15.25		15	25.42		3	5.08					5	8.47		59	
		TOTAL					140	6.24		881	39.28		1102	49.13		66	2.94					54	2.41		2243	
	FOURTH						10	18.52		10	18.52		9	16.67		25	46.30						Excluded		54	
		TOTAL					150	6.69		891	39.72		1111	49.53		91	4.06								2243	
	FIFTH						11	12.09		40	43.96		40	43.96			Excluded								91	
		TOTAL					161	7.18		931	41.51		1151	51.32											2243	
	SIXTH							Excluded		83	51.55		78	48.45											161	
		TOTAL								1014	45.21		1229	54.79											2243	
													Elected													
																										
Cootamundra High                                               																										
	FIRST			18	1.94		49	5.27		314	33.76		489	52.58		26	2.80		20	2.15		14	1.51		930	
	SECOND			3	15.00		1	5.00		2	10.00		11	55.00		3	15.00			Excluded		0	0.00		20	
		TOTAL		21	2.26		50	5.38		316	33.98		500	53.76		29	3.12					14	1.51		930	
	THIRD				Excluded		10	47.62		4	19.05		6	28.57		0	0.00					1	4.76		21	
		TOTAL					60	6.45		320	34.41		506	54.41		29	3.12					15	1.61		930	
	FOURTH						4	26.67		3	20.00		1	6.67		7	46.67						Excluded		15	
		TOTAL					64	6.88		323	34.73		507	54.52		36	3.87								930	
	FIFTH						3	8.33		17	47.22		16	44.44			Excluded								36	
		TOTAL					67	7.20		340	36.56		523	56.24											930	
	SIXTH							Excluded		30	44.78		37	55.22											67	
		TOTAL								370	39.78		560	60.22											930	
													Elected													
																										
Cootamundra South                                              																										
	FIRST			12	1.59		37	4.90		311	41.19		353	46.75		10	1.32		11	1.46		21	2.78		755	
	SECOND			1	9.09		1	9.09		2	18.18		5	45.45		2	18.18			Excluded		0	0.00		11	
		TOTAL		13	1.72		38	5.03		313	41.46		358	47.42		12	1.59					21	2.78		755	
	THIRD				Excluded		5	38.46		2	15.38		3	23.08		0	0.00					3	23.08		13	
		TOTAL					43	5.70		315	41.72		361	47.81		12	1.59					24	3.18		755	
	FOURTH						6	25.00		3	12.50		4	16.67		11	45.83						Excluded		24	
		TOTAL					49	6.49		318	42.12		365	48.34		23	3.05								755	
	FIFTH						4	17.39		12	52.17		7	30.43			Excluded								23	
		TOTAL					53	7.02		330	43.71		372	49.27											755	
	SIXTH							Excluded		34	64.15		19	35.85											53	
		TOTAL								364	48.21		391	51.79											755	
													Elected													
																										
Currawarna                                                     																										
	FIRST			2	1.92		17	16.35		17	16.35		64	61.54		1	0.96		3	2.88		0	0.00		104	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		3	100.00			Excluded		0	0.00		3	
		TOTAL		2	1.92		17	16.35		17	16.35		64	61.54		4	3.85					0	0.00		104	
	THIRD				Excluded		0	0.00		0	0.00		2	100.00		0	0.00					0	0.00		2	
		TOTAL					17	16.35		17	16.35		66	63.46		4	3.85					0	0.00		104	
	FOURTH						0	0.00		0	0.00		0	0.00		0	0.00						Excluded		0	
		TOTAL					17	16.35		17	16.35		66	63.46		4	3.85								104	
	FIFTH						3	75.00		0	0.00		1	25.00			Excluded								4	
		TOTAL					20	19.23		17	16.35		67	64.42											104	
	SIXTH							Excluded		4	20.00		16	80.00											20	
		TOTAL								21	20.19		83	79.81											104	
													Elected													
																										
Darlington Point                                               																										
	FIRST			13	1.95		60	9.00		233	34.93		334	50.07		13	1.95		2	0.30		12	1.80		667	
	SECOND			0	0.00		0	0.00		0	0.00		1	50.00		0	0.00			Excluded		1	50.00		2	
		TOTAL		13	1.95		60	9.00		233	34.93		335	50.22		13	1.95					13	1.95		667	
	THIRD				Excluded		8	61.54		0	0.00		3	23.08		1	7.69					1	7.69		13	
		TOTAL					68	10.19		233	34.93		338	50.67		14	2.10					14	2.10		667	
	FOURTH						0	0.00		2	14.29		4	28.57		8	57.14						Excluded		14	
		TOTAL					68	10.19		235	35.23		342	51.27		22	3.30								667	
	FIFTH						5	22.73		12	54.55		5	22.73			Excluded								22	
		TOTAL					73	10.94		247	37.03		347	52.02											667	
	SIXTH							Excluded		23	31.51		50	68.49											73	
		TOTAL								270	40.48		397	59.52											667	
													Elected													
																										
Driver                                                         																										
	FIRST			15	1.47		72	7.07		249	24.44		652	63.98		17	1.67		6	0.59		8	0.79		1019	
	SECOND			0	0.00		0	0.00		0	0.00		5	83.33		1	16.67			Excluded		0	0.00		6	
		TOTAL		15	1.47		72	7.07		249	24.44		657	64.47		18	1.77					8	0.79		1019	
	THIRD				Excluded		9	60.00		0	0.00		5	33.33		0	0.00					1	6.67		15	
		TOTAL					81	7.95		249	24.44		662	64.97		18	1.77					9	0.88		1019	
	FOURTH						1	11.11		3	33.33		1	11.11		4	44.44						Excluded		9	
		TOTAL					82	8.05		252	24.73		663	65.06		22	2.16								1019	
	FIFTH						1	4.55		15	68.18		6	27.27			Excluded								22	
		TOTAL					83	8.15		267	26.20		669	65.65											1019	
	SIXTH							Excluded		25	30.12		58	69.88											83	
		TOTAL								292	28.66		727	71.34											1019	
													Elected													
																										
Euberta                                                        																										
	FIRST			4	4.12		4	4.12		9	9.28		75	77.32		2	2.06		1	1.03		2	2.06		97	
	SECOND			0	0.00		1	100.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		4	4.12		5	5.15		9	9.28		75	77.32		2	2.06					2	2.06		97	
	THIRD				Excluded		1	25.00		0	0.00		1	25.00		0	0.00					2	50.00		4	
		TOTAL					6	6.19		9	9.28		76	78.35		2	2.06					4	4.12		97	
	FOURTH						0	0.00		1	25.00		1	25.00		2	50.00						Excluded		4	
		TOTAL					6	6.19		10	10.31		77	79.38		4	4.12								97	
	FIFTH						0	0.00		3	75.00		1	25.00			Excluded								4	
		TOTAL					6	6.19		13	13.40		78	80.41											97	
	SIXTH							Excluded		1	16.67		5	83.33											6	
		TOTAL								14	14.43		83	85.57											97	
													Elected													
																										
Forest Hill                                                    																										
	FIRST			41	4.08		80	7.96		174	17.31		627	62.39		29	2.89		15	1.49		39	3.88		1005	
	SECOND			2	13.33		2	13.33		0	0.00		7	46.67		4	26.67			Excluded		0	0.00		15	
		TOTAL		43	4.28		82	8.16		174	17.31		634	63.08		33	3.28					39	3.88		1005	
	THIRD				Excluded		17	39.53		5	11.63		15	34.88		1	2.33					5	11.63		43	
		TOTAL					99	9.85		179	17.81		649	64.58		34	3.38					44	4.38		1005	
	FOURTH						5	11.36		10	22.73		5	11.36		24	54.55						Excluded		44	
		TOTAL					104	10.35		189	18.81		654	65.07		58	5.77								1005	
	FIFTH						4	6.90		23	39.66		31	53.45			Excluded								58	
		TOTAL					108	10.75		212	21.09		685	68.16											1005	
	SIXTH							Excluded		52	48.15		56	51.85											108	
		TOTAL								264	26.27		741	73.73											1005	
													Elected													
																										
Galore                                                         																										
	FIRST			0	0.00		10	9.17		3	2.75		89	81.65		3	2.75		2	1.83		2	1.83		109	
	SECOND			0	0.00		0	0.00		0	0.00		2	100.00		0	0.00			Excluded		0	0.00		2	
		TOTAL		0	0.00		10	9.17		3	2.75		91	83.49		3	2.75					2	1.83		109	
	THIRD				Excluded		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL					10	9.17		3	2.75		91	83.49		3	2.75					2	1.83		109	
	FOURTH						0	0.00		0	0.00		0	0.00		2	100.00						Excluded		2	
		TOTAL					10	9.17		3	2.75		91	83.49		5	4.59								109	
	FIFTH						2	40.00		3	60.00		0	0.00			Excluded								5	
		TOTAL					12	11.01		6	5.50		91	83.49											109	
	SIXTH							Excluded		5	41.67		7	58.33											12	
		TOTAL								11	10.09		98	89.91											109	
													Elected													
																										
Ganmain                                                        																										
	FIRST			10	2.21		30	6.62		77	17.00		316	69.76		6	1.32		4	0.88		10	2.21		453	
	SECOND			1	25.00		0	0.00		0	0.00		2	50.00		1	25.00			Excluded		0	0.00		4	
		TOTAL		11	2.43		30	6.62		77	17.00		318	70.20		7	1.55					10	2.21		453	
	THIRD				Excluded		8	72.73		0	0.00		2	18.18		0	0.00					1	9.09		11	
		TOTAL					38	8.39		77	17.00		320	70.64		7	1.55					11	2.43		453	
	FOURTH						3	27.27		2	18.18		3	27.27		3	27.27						Excluded		11	
		TOTAL					41	9.05		79	17.44		323	71.30		10	2.21								453	
	FIFTH						2	20.00		3	30.00		5	50.00			Excluded								10	
		TOTAL					43	9.49		82	18.10		328	72.41											453	
	SIXTH							Excluded		23	53.49		20	46.51											43	
		TOTAL								105	23.18		348	76.82											453	
													Elected													
																										
Glenfield Park                                                 																										
	FIRST			37	2.12		69	3.95		390	22.32		1133	64.85		61	3.49		25	1.43		32	1.83		1747	
	SECOND			1	4.00		0	0.00		2	8.00		17	68.00		1	4.00			Excluded		4	16.00		25	
		TOTAL		38	2.18		69	3.95		392	22.44		1150	65.83		62	3.55					36	2.06		1747	
	THIRD				Excluded		12	31.58		7	18.42		16	42.11		0	0.00					3	7.89		38	
		TOTAL					81	4.64		399	22.84		1166	66.74		62	3.55					39	2.23		1747	
	FOURTH						7	17.95		14	35.90		10	25.64		8	20.51						Excluded		39	
		TOTAL					88	5.04		413	23.64		1176	67.32		70	4.01								1747	
	FIFTH						8	11.43		23	32.86		39	55.71			Excluded								70	
		TOTAL					96	5.50		436	24.96		1215	69.55											1747	
	SIXTH							Excluded		51	53.13		45	46.88											96	
		TOTAL								487	27.88		1260	72.12											1747	
													Elected													
																										
Goolgowi                                                       																										
	FIRST			4	1.39		12	4.17		41	14.24		223	77.43		2	0.69		3	1.04		3	1.04		288	
	SECOND			0	0.00		1	33.33		0	0.00		1	33.33		1	33.33			Excluded		0	0.00		3	
		TOTAL		4	1.39		13	4.51		41	14.24		224	77.78		3	1.04					3	1.04		288	
	THIRD				Excluded		3	75.00		1	25.00		0	0.00		0	0.00					0	0.00		4	
		TOTAL					16	5.56		42	14.58		224	77.78		3	1.04					3	1.04		288	
	FOURTH						0	0.00		2	66.67		0	0.00		1	33.33						Excluded		3	
		TOTAL					16	5.56		44	15.28		224	77.78		4	1.39								288	
	FIFTH						1	25.00		2	50.00		1	25.00			Excluded								4	
		TOTAL					17	5.90		46	15.97		225	78.13											288	
	SIXTH							Excluded		7	41.18		10	58.82											17	
		TOTAL								53	18.40		235	81.60											288	
													Elected													
																										
Gralee                                                         																										
	FIRST			23	2.28		42	4.17		234	23.21		650	64.48		17	1.69		21	2.08		21	2.08		1008	
	SECOND			0	0.00		0	0.00		1	4.76		20	95.24		0	0.00			Excluded		0	0.00		21	
		TOTAL		23	2.28		42	4.17		235	23.31		670	66.47		17	1.69					21	2.08		1008	
	THIRD				Excluded		11	47.83		5	21.74		3	13.04		0	0.00					4	17.39		23	
		TOTAL					53	5.26		240	23.81		673	66.77		17	1.69					25	2.48		1008	
	FOURTH						3	12.00		5	20.00		10	40.00		7	28.00						Excluded		25	
		TOTAL					56	5.56		245	24.31		683	67.76		24	2.38								1008	
	FIFTH						1	4.17		19	79.17		4	16.67			Excluded								24	
		TOTAL					57	5.65		264	26.19		687	68.15											1008	
	SIXTH							Excluded		24	42.11		33	57.89											57	
		TOTAL								288	28.57		720	71.43											1008	
													Elected													
																										
Griffith                                                       																										
	FIRST			72	2.70		151	5.67		731	27.44		1611	60.47		35	1.31		26	0.98		38	1.43		2664	
	SECOND			0	0.00		1	3.85		2	7.69		15	57.69		1	3.85			Excluded		7	26.92		26	
		TOTAL		72	2.70		152	5.71		733	27.52		1626	61.04		36	1.35					45	1.69		2664	
	THIRD				Excluded		35	48.61		15	20.83		17	23.61		1	1.39					4	5.56		72	
		TOTAL					187	7.02		748	28.08		1643	61.67		37	1.39					49	1.84		2664	
	FOURTH						8	16.33		10	20.41		17	34.69		14	28.57						Excluded		49	
		TOTAL					195	7.32		758	28.45		1660	62.31		51	1.91								2664	
	FIFTH						7	13.73		22	43.14		22	43.14			Excluded								51	
		TOTAL					202	7.58		780	29.28		1682	63.14											2664	
	SIXTH							Excluded		75	37.13		127	62.87											202	
		TOTAL								855	32.09		1809	67.91											2664	
													Elected													
																										
Griffith East                                                  																										
	FIRST			21	1.95		37	3.44		269	25.00		724	67.29		8	0.74		5	0.46		12	1.12		1076	
	SECOND			2	40.00		0	0.00		0	0.00		1	20.00		1	20.00			Excluded		1	20.00		5	
