House of Representatives - 2001 Election: New South Wales											
Two Candidate Preferred Preference Flow Result 											
By Polling Place											
											
Cowper (79982)											
		Candidate		"BONFIELD, Jenny"		            	"HARTSUYKER, Luke"		           	Total	
		"FENTON, Michael (DEM)"	2	2	100.00		0	0.00		2	
		"KORN, Bruce (CTA)"	0	0	0.00		0	0.00		0	
		"STOKES, Allan (HAN)"	38	10	26.32		28	73.68		38	
		Total	64	90	50.28		89	49.72		179	

	Coffs Harbour										
			1st Prefs	420	41.96		581	58.04		1001	
		"MAGUIRE, John (LEF)"	60	34	56.67		26	43.33		60	
		"WILLEY, John (IND)"	14	1	7.14		13	92.86		14	
		"NEUSS, Phillip (LP)"	246	19	7.72		227	92.28		246	
		"VAN BLADEL, Paul (IND)"	14	5	35.71		9	64.29		14	
		"CRANNY, Jillian (GRN)"	88	64	72.73		24	27.27		88	
		"FENTON, Michael (DEM)"	40	19	47.50		21	52.50		40	
		"KORN, Bruce (CTA)"	42	7	16.67		35	83.33		42	
		"STOKES, Allan (HAN)"	94	22	23.40		72	76.60		94	
		Total	598	591	36.96		1008	63.04		1599	

	Coffs Harbour East										
			1st Prefs	560	52.73		502	47.27		1062	
		"MAGUIRE, John (LEF)"	57	33	57.89		24	42.11		57	
		"WILLEY, John (IND)"	15	9	60.00		6	40.00		15	
		"NEUSS, Phillip (LP)"	278	26	9.35		252	90.65		278	
		"VAN BLADEL, Paul (IND)"	19	9	47.37		10	52.63		19	
		"CRANNY, Jillian (GRN)"	68	56	82.35		12	17.65		68	
		"FENTON, Michael (DEM)"	36	23	63.89		13	36.11		36	
		"KORN, Bruce (CTA)"	32	4	12.50		28	87.50		32	
		"STOKES, Allan (HAN)"	102	27	26.47		75	73.53		102	
		Total	607	747	44.76		922	55.24		1669	

	Coffs Harbour Hospital										
			1st Prefs	91	60.26		60	39.74		151	
		"MAGUIRE, John (LEF)"	11	6	54.55		5	45.45		11	
		"WILLEY, John (IND)"	2	0	0.00		2	100.00		2	
		"NEUSS, Phillip (LP)"	38	9	23.68		29	76.32		38	
		"VAN BLADEL, Paul (IND)"	0	0	0.00		0	0.00		0	
		"CRANNY, Jillian (GRN)"	14	11	78.57		3	21.43		14	
		"FENTON, Michael (DEM)"	6	6	100.00		0	0.00		6	
		"KORN, Bruce (CTA)"	8	3	37.50		5	62.50		8	
		"STOKES, Allan (HAN)"	9	4	44.44		5	55.56		9	
		Total	88	130	54.39		109	45.61		239	

	Coffs Harbour Jetty										
			1st Prefs	334	47.18		374	52.82		708	
		"MAGUIRE, John (LEF)"	27	19	70.37		8	29.63		27	
		"WILLEY, John (IND)"	7	3	42.86		4	57.14		7	
		"NEUSS, Phillip (LP)"	224	17	7.59		207	92.41		224	
		"VAN BLADEL, Paul (IND)"	15	3	20.00		12	80.00		15	
		"CRANNY, Jillian (GRN)"	66	48	72.73		18	27.27		66	
		"FENTON, Michael (DEM)"	36	17	47.22		19	52.78		36	
		"KORN, Bruce (CTA)"	37	5	13.51		32	86.49		37	
		"STOKES, Allan (HAN)"	59	9	15.25		50	84.75		59	
		Total	471	455	38.59		724	61.41		1179	

	Coffs Harbour Narranga										
			1st Prefs	562	41.85		781	58.15		1343	
		"MAGUIRE, John (LEF)"	56	30	53.57		26	46.43		56	
		"WILLEY, John (IND)"	14	5	35.71		9	64.29		14	
		"NEUSS, Phillip (LP)"	297	20	6.73		277	93.27		297	
		"VAN BLADEL, Paul (IND)"	19	10	52.63		9	47.37		19	
		"CRANNY, Jillian (GRN)"	64	51	79.69		13	20.31		64	
		"FENTON, Michael (DEM)"	45	27	60.00		18	40.00		45	
		"KORN, Bruce (CTA)"	45	6	13.33		39	86.67		45	
		"STOKES, Allan (HAN)"	113	46	40.71		67	59.29		113	
		Total	653	757	37.93		1239	62.07		1996	

	Coffs Harbour St Augustines										
			1st Prefs	557	43.93		711	56.07		1268	
		"MAGUIRE, John (LEF)"	58	30	51.72		28	48.28		58	
		"WILLEY, John (IND)"	17	7	41.18		10	58.82		17	
		"NEUSS, Phillip (LP)"	298	25	8.39		273	91.61		298	
		"VAN BLADEL, Paul (IND)"	8	3	37.50		5	62.50		8	
		"CRANNY, Jillian (GRN)"	87	64	73.56		23	26.44		87	
		"FENTON, Michael (DEM)"	68	39	57.35		29	42.65		68	
		"KORN, Bruce (CTA)"	43	4	9.30		39	90.70		43	
		"STOKES, Allan (HAN)"	98	21	21.43		77	78.57		98	
		Total	677	750	38.56		1195	61.44		1945	

	Coffs Harbour South										
			1st Prefs	405	50.63		395	49.38		800	
		"MAGUIRE, John (LEF)"	31	14	45.16		17	54.84		31	
		"WILLEY, John (IND)"	15	7	46.67		8	53.33		15	
		"NEUSS, Phillip (LP)"	183	24	13.11		159	86.89		183	
		"VAN BLADEL, Paul (IND)"	16	12	75.00		4	25.00		16	
		"CRANNY, Jillian (GRN)"	52	42	80.77		10	19.23		52	
		"FENTON, Michael (DEM)"	28	18	64.29		10	35.71		28	
		"KORN, Bruce (CTA)"	39	5	12.82		34	87.18		39	
		"STOKES, Allan (HAN)"	63	26	41.27		37	58.73		63	
		Total	427	553	45.07		674	54.93		1227	

	Coffs Harbour West										
			1st Prefs	968	46.63		1108	53.37		2076	
		"MAGUIRE, John (LEF)"	95	55	57.89		40	42.11		95	
		"WILLEY, John (IND)"	29	13	44.83		16	55.17		29	
		"NEUSS, Phillip (LP)"	547	43	7.86		504	92.14		547	
		"VAN BLADEL, Paul (IND)"	15	6	40.00		9	60.00		15	
		"CRANNY, Jillian (GRN)"	92	66	71.74		26	28.26		92	
		"FENTON, Michael (DEM)"	72	47	65.28		25	34.72		72	
		"KORN, Bruce (CTA)"	85	17	20.00		68	80.00		85	
		"STOKES, Allan (HAN)"	168	44	26.19		124	73.81		168	
		Total	1103	1259	39.60		1920	60.40		3179	

	Coramba										
			1st Prefs	102	48.57		108	51.43		210	
		"MAGUIRE, John (LEF)"	9	2	22.22		7	77.78		9	
		"WILLEY, John (IND)"	2	1	50.00		1	50.00		2	
		"NEUSS, Phillip (LP)"	45	6	13.33		39	86.67		45	
		"VAN BLADEL, Paul (IND)"	1	0	0.00		1	100.00		1	
		"CRANNY, Jillian (GRN)"	13	8	61.54		5	38.46		13	
		"FENTON, Michael (DEM)"	16	10	62.50		6	37.50		16	
		"KORN, Bruce (CTA)"	0	0	0.00		0	0.00		0	
		"STOKES, Allan (HAN)"	38	14	36.84		24	63.16		38	
		Total	124	143	42.81		191	57.19		334	

	Corindi										
			1st Prefs	249	68.98		112	31.02		361	
		"MAGUIRE, John (LEF)"	17	14	82.35		3	17.65		17	
		"WILLEY, John (IND)"	7	2	28.57		5	71.43		7	
		"NEUSS, Phillip (LP)"	104	13	12.50		91	87.50		104	
		"VAN BLADEL, Paul (IND)"	4	2	50.00		2	50.00		4	
		"CRANNY, Jillian (GRN)"	34	29	85.29		5	14.71		34	
		"FENTON, Michael (DEM)"	18	15	83.33		3	16.67		18	
		"KORN, Bruce (CTA)"	8	4	50.00		4	50.00		8	
		"STOKES, Allan (HAN)"	79	14	17.72		65	82.28		79	
		Total	271	342	54.11		290	45.89		632	

	Cowper (Cowper)										
			1st Prefs	40	47.62		44	52.38		84	
		"MAGUIRE, John (LEF)"	0	0	0.00		0	0.00		0	
		"WILLEY, John (IND)"	1	1	100.00		0	0.00		1	
		"NEUSS, Phillip (LP)"	7	1	14.29		6	85.71		7	
		"VAN BLADEL, Paul (IND)"	1	0	0.00		1	100.00		1	
		"CRANNY, Jillian (GRN)"	2	1	50.00		1	50.00		2	
		"FENTON, Michael (DEM)"	0	0	0.00		0	0.00		0	
		"KORN, Bruce (CTA)"	1	0	0.00		1	100.00		1	
		"STOKES, Allan (HAN)"	8	3	37.50		5	62.50		8	
		Total	20	46	44.23		58	55.77		104	

	Deervale										
			1st Prefs	10	19.23		42	80.77		52	
		"MAGUIRE, John (LEF)"	1	1	100.00		0	0.00		1	
		"WILLEY, John (IND)"	1	1	100.00		0	0.00		1	
		"NEUSS, Phillip (LP)"	1	0	0.00		1	100.00		1	
		"VAN BLADEL, Paul (IND)"	0	0	0.00		0	0.00		0	
		"CRANNY, Jillian (GRN)"	12	7	58.33		5	41.67		12	
		"FENTON, Michael (DEM)"	6	5	83.33		1	16.67		6	
		"KORN, Bruce (CTA)"	2	0	0.00		2	100.00		2	
		"STOKES, Allan (HAN)"	8	1	12.50		7	87.50		8	
		Total	31	25	30.12		58	69.88		83	

	Dorrigo										
			1st Prefs	248	36.10		439	63.90		687	
		"MAGUIRE, John (LEF)"	20	9	45.00		11	55.00		20	
		"WILLEY, John (IND)"	20	10	50.00		10	50.00		20	
		"NEUSS, Phillip (LP)"	124	9	7.26		115	92.74		124	
		"VAN BLADEL, Paul (IND)"	5	3	60.00		2	40.00		5	
		"CRANNY, Jillian (GRN)"	104	97	93.27		7	6.73		104	
		"FENTON, Michael (DEM)"	40	26	65.00		14	35.00		40	
		"KORN, Bruce (CTA)"	25	3	12.00		22	88.00		25	
		"STOKES, Allan (HAN)"	72	25	34.72		47	65.28		72	
		Total	410	430	39.20		667	60.80		1097	

	Eungai Creek										
			1st Prefs	100	57.80		73	42.20		173	
		"MAGUIRE, John (LEF)"	7	3	42.86		4	57.14		7	
		"WILLEY, John (IND)"	8	5	62.50		3	37.50		8	
		"NEUSS, Phillip (LP)"	43	4	9.30		39	90.70		43	
		"VAN BLADEL, Paul (IND)"	1	0	0.00		1	100.00		1	
		"CRANNY, Jillian (GRN)"	17	16	94.12		1	5.88		17	
		"FENTON, Michael (DEM)"	6	2	33.33		4	66.67		6	
		"KORN, Bruce (CTA)"	4	2	50.00		2	50.00		4	
		"STOKES, Allan (HAN)"	25	11	44.00		14	56.00		25	
		Total	111	143	50.35		141	49.65		284	

	Gladstone (Cowper)										
			1st Prefs	96	48.24		103	51.76		199	
		"MAGUIRE, John (LEF)"	9	6	66.67		3	33.33		9	
		"WILLEY, John (IND)"	7	2	28.57		5	71.43		7	
		"NEUSS, Phillip (LP)"	78	11	14.10		67	85.90		78	
		"VAN BLADEL, Paul (IND)"	1	0	0.00		1	100.00		1	
		"CRANNY, Jillian (GRN)"	10	7	70.00		3	30.00		10	
		"FENTON, Michael (DEM)"	8	6	75.00		2	25.00		8	
		"KORN, Bruce (CTA)"	1	1	100.00		0	0.00		1	
		"STOKES, Allan (HAN)"	30	6	20.00		24	80.00		30	
		Total	144	135	39.36		208	60.64		343	

	Gleniffer										
			1st Prefs	37	42.53		50	57.47		87	
		"MAGUIRE, John (LEF)"	0	0	0.00		0	0.00		0	
		"WILLEY, John (IND)"	4	2	50.00		2	50.00		4	
		"NEUSS, Phillip (LP)"	19	0	0.00		19	100.00		19	
		"VAN BLADEL, Paul (IND)"	2	0	0.00		2	100.00		2	
		"CRANNY, Jillian (GRN)"	33	29	87.88		4	12.12		33	
		"FENTON, Michael (DEM)"	9	6	66.67		3	33.33		9	
		"KORN, Bruce (CTA)"	5	2	40.00		3	60.00		5	
		"STOKES, Allan (HAN)"	5	4	80.00		1	20.00		5	
		Total	77	80	48.78		84	51.22		164	

	Glenreagh										
			1st Prefs	138	51.11		132	48.89		270	
		"MAGUIRE, John (LEF)"	17	14	82.35		3	17.65		17	
		"WILLEY, John (IND)"	6	3	50.00		3	50.00		6	
		"NEUSS, Phillip (LP)"	56	7	12.50		49	87.50		56	
		"VAN BLADEL, Paul (IND)"	4	1	25.00		3	75.00		4	
		"CRANNY, Jillian (GRN)"	22	20	90.91		2	9.09		22	
		"FENTON, Michael (DEM)"	12	8	66.67		4	33.33		12	
		"KORN, Bruce (CTA)"	16	0	0.00		16	100.00		16	
		"STOKES, Allan (HAN)"	48	15	31.25		33	68.75		48	
		Total	181	206	45.68		245	54.32		451	

	Gulmarrad										
			1st Prefs	150	50.00		150	50.00		300	
		"MAGUIRE, John (LEF)"	3	2	66.67		1	33.33		3	
		"WILLEY, John (IND)"	2	2	100.00		0	0.00		2	
		"NEUSS, Phillip (LP)"	40	6	15.00		34	85.00		40	
		"VAN BLADEL, Paul (IND)"	3	2	66.67		1	33.33		3	
		"CRANNY, Jillian (GRN)"	5	4	80.00		1	20.00		5	
		"FENTON, Michael (DEM)"	6	3	50.00		3	50.00		6	
		"KORN, Bruce (CTA)"	15	2	13.33		13	86.67		15	
		"STOKES, Allan (HAN)"	60	25	41.67		35	58.33		60	
		Total	134	196	45.16		238	54.84		434	

	Hat Head										
			1st Prefs	70	57.38		52	42.62		122	
		"MAGUIRE, John (LEF)"	6	6	100.00		0	0.00		6	
		"WILLEY, John (IND)"	4	2	50.00		2	50.00		4	
		"NEUSS, Phillip (LP)"	24	6	25.00		18	75.00		24	
		"VAN BLADEL, Paul (IND)"	1	0	0.00		1	100.00		1	
		"CRANNY, Jillian (GRN)"	6	4	66.67		2	33.33		6	
		"FENTON, Michael (DEM)"	3	2	66.67		1	33.33		3	
		"KORN, Bruce (CTA)"	4	0	0.00		4	100.00		4	
		"STOKES, Allan (HAN)"	17	5	29.41		12	70.59		17	
		Total	65	95	50.80		92	49.20		187	

	Karangi										
			1st Prefs	119	45.59		142	54.41		261	
		"MAGUIRE, John (LEF)"	21	13	61.90		8	38.10		21	
		"WILLEY, John (IND)"	2	0	0.00		2	100.00		2	
		"NEUSS, Phillip (LP)"	50	5	10.00		45	90.00		50	
		"VAN BLADEL, Paul (IND)"	2	1	50.00		1	50.00		2	
		"CRANNY, Jillian (GRN)"	26	23	88.46		3	11.54		26	
		"FENTON, Michael (DEM)"	22	13	59.09		9	40.91		22	
		"KORN, Bruce (CTA)"	9	0	0.00		9	100.00		9	
		"STOKES, Allan (HAN)"	27	3	11.11		24	88.89		27	
		Total	159	177	42.14		243	57.86		420	

	Kinchela										
			1st Prefs	30	38.46		48	61.54		78	
		"MAGUIRE, John (LEF)"	1	1	100.00		0	0.00		1	
		"WILLEY, John (IND)"	3	1	33.33		2	66.67		3	
		"NEUSS, Phillip (LP)"	24	3	12.50		21	87.50		24	
		"VAN BLADEL, Paul (IND)"	0	0	0.00		0	0.00		0	
		"CRANNY, Jillian (GRN)"	3	2	66.67		1	33.33		3	
		"FENTON, Michael (DEM)"	3	1	33.33		2	66.67		3	
		"KORN, Bruce (CTA)"	1	0	0.00		1	100.00		1	
		"STOKES, Allan (HAN)"	20	8	40.00		12	60.00		20	
		Total	55	46	34.59		87	65.41		133	

	Korora										
			1st Prefs	388	37.93		635	62.07		1023	
		"MAGUIRE, John (LEF)"	31	15	48.39		16	51.61		31	
		"WILLEY, John (IND)"	8	2	25.00		6	75.00		8	
		"NEUSS, Phillip (LP)"	268	23	8.58		245	91.42		268	
		"VAN BLADEL, Paul (IND)"	29	13	44.83		16	55.17		29	
		"CRANNY, Jillian (GRN)"	80	53	66.25		27	33.75		80	
		"FENTON, Michael (DEM)"	41	28	68.29		13	31.71		41	
		"KORN, Bruce (CTA)"	37	2	5.41		35	94.59		37	
		"STOKES, Allan (HAN)"	48	9	18.75		39	81.25		48	
		Total	542	533	34.06		1032	65.94		1565	

	Lowanna										
			1st Prefs	46	55.42		37	44.58		83	
		"MAGUIRE, John (LEF)"	0	0	0.00		0	0.00		0	
		"WILLEY, John (IND)"	2	2	100.00		0	0.00		2	
		"NEUSS, Phillip (LP)"	5	1	20.00		4	80.00		5	
		"VAN BLADEL, Paul (IND)"	0	0	0.00		0	0.00		0	
		"CRANNY, Jillian (GRN)"	14	10	71.43		4	28.57		14	
		"FENTON, Michael (DEM)"	2	2	100.00		0	0.00		2	
		"KORN, Bruce (CTA)"	0	0	0.00		0	0.00		0	
		"STOKES, Allan (HAN)"	19	5	26.32		14	73.68		19	
		Total	42	66	52.80		59	47.20		125	

	Macksville										
			1st Prefs	636	46.09		744	53.91		1380	
		"MAGUIRE, John (LEF)"	53	29	54.72		24	45.28		53	
		"WILLEY, John (IND)"	31	15	48.39		16	51.61		31	
		"NEUSS, Phillip (LP)"	412	33	8.01		379	91.99		412	
		"VAN BLADEL, Paul (IND)"	7	5	71.43		2	28.57		7	
		"CRANNY, Jillian (GRN)"	64	53	82.81		11	17.19		64	
		"FENTON, Michael (DEM)"	31	22	70.97		9	29.03		31	
		"KORN, Bruce (CTA)"	25	2	8.00		23	92.00		25	
		"STOKES, Allan (HAN)"	225	76	33.78		149	66.22		225	
		Total	848	871	39.09		1357	60.91		2228	

	Maclean (Cowper)										
			1st Prefs	421	49.18		435	50.82		856	
		"MAGUIRE, John (LEF)"	24	18	75.00		6	25.00		24	
		"WILLEY, John (IND)"	8	1	12.50		7	87.50		8	
		"NEUSS, Phillip (LP)"	182	18	9.89		164	90.11		182	
		"VAN BLADEL, Paul (IND)"	7	2	28.57		5	71.43		7	
		"CRANNY, Jillian (GRN)"	39	30	76.92		9	23.08		39	
		"FENTON, Michael (DEM)"	22	17	77.27		5	22.73		22	
		"KORN, Bruce (CTA)"	31	4	12.90		27	87.10		31	
		"STOKES, Allan (HAN)"	106	29	27.36		77	72.64		106	
		Total	419	540	42.35		735	57.65		1275	

	Maclean Hospital										
			1st Prefs	202	51.40		191	48.60		393	
		"MAGUIRE, John (LEF)"	13	10	76.92		3	23.08		13	
		"WILLEY, John (IND)"	4	4	100.00		0	0.00		4	
		"NEUSS, Phillip (LP)"	45	2	4.44		43	95.56		45	
		"VAN BLADEL, Paul (IND)"	0	0	0.00		0	0.00		0	
		"CRANNY, Jillian (GRN)"	13	9	69.23		4	30.77		13	
		"FENTON, Michael (DEM)"	8	5	62.50		3	37.50		8	
		"KORN, Bruce (CTA)"	8	2	25.00		6	75.00		8	
		"STOKES, Allan (HAN)"	37	9	24.32		28	75.68		37	
		Total	128	243	46.64		278	53.36		521	

	Medlow										
			1st Prefs	56	50.45		55	49.55		111	
		"MAGUIRE, John (LEF)"	2	0	0.00		2	100.00		2	
		"WILLEY, John (IND)"	14	9	64.29		5	35.71		14	
		"NEUSS, Phillip (LP)"	10	3	30.00		7	70.00		10	
		"VAN BLADEL, Paul (IND)"	1	0	0.00		1	100.00		1	
		"CRANNY, Jillian (GRN)"	8	5	62.50		3	37.50		8	
		"FENTON, Michael (DEM)"	7	6	85.71		1	14.29		7	
		"KORN, Bruce (CTA)"	3	2	66.67		1	33.33		3	
		"STOKES, Allan (HAN)"	24	5	20.83		19	79.17		24	
		Total	69	86	47.78		94	52.22		180	

	Missabotti										
			1st Prefs	25	59.52		17	40.48		42	
		"MAGUIRE, John (LEF)"	0	0	0.00		0	0.00		0	
		"WILLEY, John (IND)"	6	2	33.33		4	66.67		6	
		"NEUSS, Phillip (LP)"	6	0	0.00		6	100.00		6	
		"VAN BLADEL, Paul (IND)"	1	0	0.00		1	100.00		1	
		"CRANNY, Jillian (GRN)"	10	9	90.00		1	10.00		10	
		"FENTON, Michael (DEM)"	1	1	100.00		0	0.00		1	
		"KORN, Bruce (CTA)"	1	1	100.00		0	0.00		1	
		"STOKES, Allan (HAN)"	13	3	23.08		10	76.92		13	
		Total	38	41	51.25		39	48.75		80	

	Moonee Beach										
			1st Prefs	227	46.14		265	53.86		492	
		"MAGUIRE, John (LEF)"	19	12	63.16		7	36.84		19	
		"WILLEY, John (IND)"	3	1	33.33		2	66.67		3	
		"NEUSS, Phillip (LP)"	146	10	6.85		136	93.15		146	
		"VAN BLADEL, Paul (IND)"	18	13	72.22		5	27.78		18	
		"CRANNY, Jillian (GRN)"	26	18	69.23		8	30.77		26	
		"FENTON, Michael (DEM)"	28	13	46.43		15	53.57		28	
		"KORN, Bruce (CTA)"	26	3	11.54		23	88.46		26	
		"STOKES, Allan (HAN)"	43	13	30.23		30	69.77		43	
		Total	309	310	38.70		491	61.30		801	

	Mullaway										
			1st Prefs	425	60.37		279	39.63		704	
		"MAGUIRE, John (LEF)"	34	21	61.76		13	38.24		34	
		"WILLEY, John (IND)"	17	11	64.71		6	35.29		17	
		"NEUSS, Phillip (LP)"	178	14	7.87		164	92.13		178	
		"VAN BLADEL, Paul (IND)"	7	4	57.14		3	42.86		7	
		"CRANNY, Jillian (GRN)"	92	80	86.96		12	13.04		92	
		"FENTON, Michael (DEM)"	43	28	65.12		15	34.88		43	
		"KORN, Bruce (CTA)"	38	2	5.26		36	94.74		38	
		"STOKES, Allan (HAN)"	73	27	36.99		46	63.01		73	
		Total	482	612	51.60		574	48.40		1186	

	Mylestom										
			1st Prefs	133	57.33		99	42.67		232	
		"MAGUIRE, John (LEF)"	8	8	100.00		0	0.00		8	
		"WILLEY, John (IND)"	7	3	42.86		4	57.14		7	
