House of Representatives - 2001 Election: New South Wales																							
Distribution of Preferences																							
By Polling Place																							
																							
New England																							
				REINER			MCCARTHY			WINDSOR			BOUNDS			REARDON			ST. CLAIR				
	FIRST			24	5.30		67	14.79		158	34.88		8	1.77		48	10.60		148	32.67		453	
	SECOND			23	47.92		5	10.42		14	29.17		0	0.00			Excluded		6	12.50		48	
		TOTAL		47	10.38		72	15.89		172	37.97		8	1.77					154	34.00		453	
	THIRD				Excluded		16	34.04		24	51.06		1	2.13					6	12.77		47	
		TOTAL					88	19.43		196	43.27		9	1.99					160	35.32		453	
	FOURTH						1	11.11		4	44.44			Excluded					4	44.44		9	
		TOTAL					89	19.65		200	44.15								164	36.20		453	
	FIFTH							Excluded		77	86.52								12	13.48		89	
		TOTAL								277	61.15								176	38.85		453	
										Elected													
																							
Armidale West                                                  																							
	FIRST			97	4.25		366	16.05		898	39.39		43	1.89		53	2.32		823	36.10		2280	
	SECOND			30	56.60		11	20.75		9	16.98		1	1.89			Excluded		2	3.77		53	
		TOTAL		127	5.57		377	16.54		907	39.78		44	1.93					825	36.18		2280	
	THIRD				Excluded		65	51.18		46	36.22		6	4.72					10	7.87		127	
		TOTAL					442	19.39		953	41.80		50	2.19					835	36.62		2280	
	FOURTH						8	16.00		23	46.00			Excluded					19	38.00		50	
		TOTAL					450	19.74		976	42.81								854	37.46		2280	
	FIFTH							Excluded		405	90.00								45	10.00		450	
		TOTAL								1381	60.57								899	39.43		2280	
										Elected													
																							
Ashford                                                        																							
	FIRST			9	1.95		47	10.17		219	47.40		32	6.93		1	0.22		154	33.33		462	
	SECOND			0	0.00		0	0.00		0	0.00		1	100.00			Excluded		0	0.00		1	
		TOTAL		9	1.95		47	10.17		219	47.40		33	7.14					154	33.33		462	
	THIRD				Excluded		6	66.67		2	22.22		0	0.00					1	11.11		9	
		TOTAL					53	11.47		221	47.84		33	7.14					155	33.55		462	
	FOURTH						6	18.18		21	63.64			Excluded					6	18.18		33	
		TOTAL					59	12.77		242	52.38								161	34.85		462	
	FIFTH							Excluded		45	76.27								14	23.73		59	
		TOTAL								287	62.12								175	37.88		462	
										Elected													
																							
Attunga                                                        																							
	FIRST			7	1.52		36	7.83		233	50.65		18	3.91		2	0.43		164	35.65		460	
	SECOND			0	0.00		0	0.00		0	0.00		1	50.00			Excluded		1	50.00		2	
		TOTAL		7	1.52		36	7.83		233	50.65		19	4.13					165	35.87		460	
	THIRD				Excluded		5	71.43		1	14.29		0	0.00					1	14.29		7	
		TOTAL					41	8.91		234	50.87		19	4.13					166	36.09		460	
	FOURTH						4	21.05		14	73.68			Excluded					1	5.26		19	
		TOTAL					45	9.78		248	53.91								167	36.30		460	
	FIFTH							Excluded		43	95.56								2	4.44		45	
		TOTAL								291	63.26								169	36.74		460	
										Elected													
																							
Barraba                                                        																							
	FIRST			16	1.34		165	13.84		526	44.13		28	2.35		4	0.34		453	38.00		1192	
	SECOND			1	25.00		0	0.00		2	50.00		1	25.00			Excluded		0	0.00		4	
		TOTAL		17	1.43		165	13.84		528	44.30		29	2.43					453	38.00		1192	
	THIRD				Excluded		8	47.06		5	29.41		1	5.88					3	17.65		17	
		TOTAL					173	14.51		533	44.71		30	2.52					456	38.26		1192	
	FOURTH						5	16.67		17	56.67			Excluded					8	26.67		30	
		TOTAL					178	14.93		550	46.14								464	38.93		1192	
	FIFTH							Excluded		160	89.89								18	10.11		178	
		TOTAL								710	59.56								482	40.44		1192	
										Elected													
																							
Ben Lomond                                                     																							
	FIRST			0	0.00		4	3.51		27	23.68		2	1.75		1	0.88		80	70.18		114	
	SECOND			1	100.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		1	0.88		4	3.51		27	23.68		2	1.75					80	70.18		114	
	THIRD				Excluded		0	0.00		1	100.00		0	0.00					0	0.00		1	
		TOTAL					4	3.51		28	24.56		2	1.75					80	70.18		114	
	FOURTH						1	50.00		1	50.00			Excluded					0	0.00		2	
		TOTAL					5	4.39		29	25.44								80	70.18		114	
	FIFTH							Excluded		4	80.00								1	20.00		5	
		TOTAL								33	28.95								81	71.05		114	
										Elected													
																							
Ben Venue                                                      																							
	FIRST			110	4.42		320	12.86		986	39.61		44	1.77		66	2.65		963	38.69		2489	
	SECOND			28	42.42		12	18.18		19	28.79		0	0.00			Excluded		7	10.61		66	
		TOTAL		138	5.54		332	13.34		1005	40.38		44	1.77					970	38.97		2489	
	THIRD				Excluded		71	51.45		58	42.03		4	2.90					5	3.62		138	
		TOTAL					403	16.19		1063	42.71		48	1.93					975	39.17		2489	
	FOURTH						12	25.00		24	50.00			Excluded					12	25.00		48	
		TOTAL					415	16.67		1087	43.67								987	39.65		2489	
	FIFTH							Excluded		365	87.95								50	12.05		415	
		TOTAL								1452	58.34								1037	41.66		2489	
										Elected													
																							
Bendemeer                                                      																							
	FIRST			6	1.92		21	6.73		159	50.96		13	4.17		0	0.00		113	36.22		312	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		6	1.92		21	6.73		159	50.96		13	4.17					113	36.22		312	
	THIRD				Excluded		2	33.33		4	66.67		0	0.00					0	0.00		6	
		TOTAL					23	7.37		163	52.24		13	4.17					113	36.22		312	
	FOURTH						1	7.69		8	61.54			Excluded					4	30.77		13	
		TOTAL					24	7.69		171	54.81								117	37.50		312	
	FIFTH							Excluded		21	87.50								3	12.50		24	
		TOTAL								192	61.54								120	38.46		312	
										Elected													
																							
Bingara                                                        																							
	FIRST			14	1.23		148	12.98		447	39.21		52	4.56		5	0.44		474	41.58		1140	
	SECOND			0	0.00		1	20.00		1	20.00		1	20.00			Excluded		2	40.00		5	
		TOTAL		14	1.23		149	13.07		448	39.30		53	4.65					476	41.75		1140	
	THIRD				Excluded		7	50.00		4	28.57		0	0.00					3	21.43		14	
		TOTAL					156	13.68		452	39.65		53	4.65					479	42.02		1140	
	FOURTH						11	20.75		34	64.15			Excluded					8	15.09		53	
		TOTAL					167	14.65		486	42.63								487	42.72		1140	
	FIFTH							Excluded		147	88.02								20	11.98		167	
		TOTAL								633	55.53								507	44.47		1140	
										Elected													
																							
Black Mountain                                                 																							
	FIRST			2	1.39		9	6.25		60	41.67		8	5.56		3	2.08		62	43.06		144	
	SECOND			1	33.33		0	0.00		1	33.33		0	0.00			Excluded		1	33.33		3	
		TOTAL		3	2.08		9	6.25		61	42.36		8	5.56					63	43.75		144	
	THIRD				Excluded		3	100.00		0	0.00		0	0.00					0	0.00		3	
		TOTAL					12	8.33		61	42.36		8	5.56					63	43.75		144	
	FOURTH						1	12.50		7	87.50			Excluded					0	0.00		8	
		TOTAL					13	9.03		68	47.22								63	43.75		144	
	FIFTH							Excluded		11	84.62								2	15.38		13	
		TOTAL								79	54.86								65	45.14		144	
										Elected													
																							
Bonshaw                                                        																							
	FIRST			0	0.00		9	10.71		13	15.48		7	8.33		0	0.00		55	65.48		84	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		0	0.00		9	10.71		13	15.48		7	8.33					55	65.48		84	
	THIRD				Excluded		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL					9	10.71		13	15.48		7	8.33					55	65.48		84	
	FOURTH						1	14.29		6	85.71			Excluded					0	0.00		7	
		TOTAL					10	11.90		19	22.62								55	65.48		84	
	FIFTH							Excluded		9	90.00								1	10.00		10	
		TOTAL								28	33.33								56	66.67		84	
										Elected													
																							
Bundarra                                                       																							
	FIRST			7	1.79		33	8.46		143	36.67		12	3.08		3	0.77		192	49.23		390	
	SECOND			0	0.00		1	33.33		2	66.67		0	0.00			Excluded		0	0.00		3	
		TOTAL		7	1.79		34	8.72		145	37.18		12	3.08					192	49.23		390	
	THIRD				Excluded		3	42.86		2	28.57		2	28.57					0	0.00		7	
		TOTAL					37	9.49		147	37.69		14	3.59					192	49.23		390	
	FOURTH						3	21.43		9	64.29			Excluded					2	14.29		14	
		TOTAL					40	10.26		156	40.00								194	49.74		390	
	FIFTH							Excluded		36	90.00								4	10.00		40	
		TOTAL								192	49.23								198	50.77		390	
										Elected													
																							
Calala                                                         																							
	FIRST			6	0.53		41	3.61		593	52.20		16	1.41		5	0.44		475	41.81		1136	
	SECOND			0	0.00		1	20.00		4	80.00		0	0.00			Excluded		0	0.00		5	
		TOTAL		6	0.53		42	3.70		597	52.55		16	1.41					475	41.81		1136	
	THIRD				Excluded		4	66.67		1	16.67		0	0.00					1	16.67		6	
		TOTAL					46	4.05		598	52.64		16	1.41					476	41.90		1136	
	FOURTH						3	18.75		7	43.75			Excluded					6	37.50		16	
		TOTAL					49	4.31		605	53.26								482	42.43		1136	
	FIFTH							Excluded		42	85.71								7	14.29		49	
		TOTAL								647	56.95								489	43.05		1136	
										Elected													
																							
Currabubula                                                    																							
	FIRST			1	0.50		8	4.00		123	61.50		13	6.50		1	0.50		54	27.00		200	
	SECOND			1	100.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		2	1.00		8	4.00		123	61.50		13	6.50					54	27.00		200	
	THIRD				Excluded		1	50.00		1	50.00		0	0.00					0	0.00		2	
		TOTAL					9	4.50		124	62.00		13	6.50					54	27.00		200	
	FOURTH						1	7.69		9	69.23			Excluded					3	23.08		13	
		TOTAL					10	5.00		133	66.50								57	28.50		200	
	FIFTH							Excluded		9	90.00								1	10.00		10	
		TOTAL								142	71.00								58	29.00		200	
										Elected													
																							
Dangarsleigh                                                   																							
	FIRST			0	0.00		6	3.33		71	39.44		6	3.33		2	1.11		95	52.78		180	
	SECOND			2	100.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		2	
		TOTAL		2	1.11		6	3.33		71	39.44		6	3.33					95	52.78		180	
	THIRD				Excluded		2	100.00		0	0.00		0	0.00					0	0.00		2	
		TOTAL					8	4.44		71	39.44		6	3.33					95	52.78		180	
	FOURTH						0	0.00		5	83.33			Excluded					1	16.67		6	
		TOTAL					8	4.44		76	42.22								96	53.33		180	
	FIFTH							Excluded		7	87.50								1	12.50		8	
		TOTAL								83	46.11								97	53.89		180	
										Elected													
																							
Deepwater                                                      																							
	FIRST			9	2.37		26	6.84		107	28.16		19	5.00		2	0.53		217	57.11		380	
	SECOND			1	50.00		0	0.00		0	0.00		0	0.00			Excluded		1	50.00		2	
		TOTAL		10	2.63		26	6.84		107	28.16		19	5.00					218	57.37		380	
	THIRD				Excluded		6	60.00		4	40.00		0	0.00					0	0.00		10	
		TOTAL					32	8.42		111	29.21		19	5.00					218	57.37		380	
	FOURTH						5	26.32		8	42.11			Excluded					6	31.58		19	
		TOTAL					37	9.74		119	31.32								224	58.95		380	
	FIFTH							Excluded		31	83.78								6	16.22		37	
		TOTAL								150	39.47								230	60.53		380	
										Elected													
																							
Delungra                                                       																							
	FIRST			5	1.45		15	4.36		119	34.59		17	4.94		1	0.29		187	54.36		344	
	SECOND			0	0.00		0	0.00		0	0.00		1	100.00			Excluded		0	0.00		1	
		TOTAL		5	1.45		15	4.36		119	34.59		18	5.23					187	54.36		344	
	THIRD				Excluded		3	60.00		0	0.00		1	20.00					1	20.00		5	
		TOTAL					18	5.23		119	34.59		19	5.52					188	54.65		344	
	FOURTH						8	42.11		6	31.58			Excluded					5	26.32		19	
		TOTAL					26	7.56		125	36.34								193	56.10		344	
	FIFTH							Excluded		21	80.77								5	19.23		26	
		TOTAL								146	42.44								198	57.56		344	
										Elected													
																							
Drake                                                          																							
	FIRST			32	19.16		26	15.57		26	15.57		15	8.98		8	4.79		60	35.93		167	
	SECOND			6	75.00		0	0.00		1	12.50		0	0.00			Excluded		1	12.50		8	
		TOTAL		38	22.75		26	15.57		27	16.17		15	8.98					61	36.53		167	
	THIRD				Excluded		19	50.00		15	39.47		1	2.63					3	7.89		38	
		TOTAL					45	26.95		42	25.15		16	9.58					64	38.32		167	
	FOURTH						4	25.00		9	56.25			Excluded					3	18.75		16	
		TOTAL					49	29.34		51	30.54								67	40.12		167	
	FIFTH							Excluded		40	81.63								9	18.37		49	
		TOTAL								91	54.49								76	45.51		167	
										Elected													
																							
Dungowan                                                       																							
	FIRST			3	1.04		8	2.78		147	51.04		6	2.08		1	0.35		123	42.71		288	
	SECOND			0	0.00		1	100.00		0	0.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		3	1.04		9	3.13		147	51.04		6	2.08					123	42.71		288	
	THIRD				Excluded		3	100.00		0	0.00		0	0.00					0	0.00		3	
		TOTAL					12	4.17		147	51.04		6	2.08					123	42.71		288	
	FOURTH						0	0.00		2	33.33			Excluded					4	66.67		6	
		TOTAL					12	4.17		149	51.74								127	44.10		288	
	FIFTH							Excluded		9	75.00								3	25.00		12	
		TOTAL								158	54.86								130	45.14		288	
										Elected													
																							
Duri                                                           																							
	FIRST			6	1.92		7	2.24		172	54.95		4	1.28		4	1.28		120	38.34		313	
	SECOND			1	25.00		0	0.00		2	50.00		0	0.00			Excluded		1	25.00		4	
		TOTAL		7	2.24		7	2.24		174	55.59		4	1.28					121	38.66		313	
	THIRD				Excluded		5	71.43		2	28.57		0	0.00					0	0.00		7	
		TOTAL					12	3.83		176	56.23		4	1.28					121	38.66		313	
	FOURTH						2	50.00		2	50.00			Excluded					0	0.00		4	
		TOTAL					14	4.47		178	56.87								121	38.66		313	
	FIFTH							Excluded		12	85.71								2	14.29		14	
		TOTAL								190	60.70								123	39.30		313	
										Elected													
																							
Ebor                                                           																							
	FIRST			4	2.82		14	9.86		40	28.17		7	4.93		0	0.00		77	54.23		142	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		4	2.82		14	9.86		40	28.17		7	4.93					77	54.23		142	
	THIRD				Excluded		2	50.00		1	25.00		0	0.00					1	25.00		4	
		TOTAL					16	11.27		41	28.87		7	4.93					78	54.93		142	
	FOURTH						3	42.86		3	42.86			Excluded					1	14.29		7	
		TOTAL					19	13.38		44	30.99								79	55.63		142	
	FIFTH							Excluded		14	73.68								5	26.32		19	
		TOTAL								58	40.85								84	59.15		142	
										Elected													
																							
Elsmore                                                        																							
	FIRST			2	1.63		6	4.88		57	46.34		9	7.32		0	0.00		49	39.84		123	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		2	1.63		6	4.88		57	46.34		9	7.32					49	39.84		123	
	THIRD				Excluded		0	0.00		1	50.00		0	0.00					1	50.00		2	
		TOTAL					6	4.88		58	47.15		9	7.32					50	40.65		123	
	FOURTH						3	33.33		6	66.67			Excluded					0	0.00		9	
		TOTAL					9	7.32		64	52.03								50	40.65		123	
	FIFTH							Excluded		8	88.89								1	11.11		9	
		TOTAL								72	58.54								51	41.46		123	
										Elected													
																							
Emmaville                                                      																							
	FIRST			8	2.12		35	9.26		173	45.77		29	7.67		1	0.26		132	34.92		378	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	100.00		1	
		TOTAL		8	2.12		35	9.26		173	45.77		29	7.67					133	35.19		378	
	THIRD				Excluded		6	75.00		0	0.00		1	12.50					1	12.50		8	
		TOTAL					41	10.85		173	45.77		30	7.94					134	35.45		378	
	FOURTH						4	13.33		21	70.00			Excluded					5	16.67		30	
		TOTAL					45	11.90		194	51.32								139	36.77		378	
	FIFTH							Excluded		41	91.11								4	8.89		45	
		TOTAL								235	62.17								143	37.83		378	
										Elected													
																							
Gilgai                                                         																							
	FIRST			4	1.04		24	6.23		197	51.17		31	8.05		3	0.78		126	32.73		385	
	SECOND			0	0.00		1	33.33		0	0.00		0	0.00			Excluded		2	66.67		3	
		TOTAL		4	1.04		25	6.49		197	51.17		31	8.05					128	33.25		385	
	THIRD				Excluded		2	50.00		2	50.00		0	0.00					0	0.00		4	
		TOTAL					27	7.01		199	51.69		31	8.05					128	33.25		385	
	FOURTH						7	22.58		18	58.06			Excluded					6	19.35		31	
		TOTAL					34	8.83		217	56.36								134	34.81		385	
	FIFTH							Excluded		27	79.41								7	20.59		34	
		TOTAL								244	63.38								141	36.62		385	
										Elected													
																							
Glen Innes                                                     																							
	FIRST			72	3.65		184	9.33		740	37.53		63	3.19		10	0.51		903	45.79		1972	
	SECOND			4	40.00		1	10.00		2	20.00		0	0.00			Excluded		3	30.00		10	
		TOTAL		76	3.85		185	9.38		742	37.63		63	3.19					906	45.94		1972	
	THIRD				Excluded		46	60.53		24	31.58		1	1.32					5	6.58		76	
		TOTAL					231	11.71		766	38.84		64	3.25					911	46.20		1972	
	FOURTH						12	18.75		35	54.69			Excluded					17	26.56		64	
		TOTAL					243	12.32		801	40.62								928	47.06		1972	
	FIFTH							Excluded		220	90.53								23	9.47		243	
		TOTAL								1021	51.77								951	48.23		1972	
										Elected													
																							
Glen Innes Hospital                                            																							
	FIRST			15	2.32		70	10.82		244	37.71		20	3.09		1	0.15		297	45.90		647	
	SECOND			1	100.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		16	2.47		70	10.82		244	37.71		20	3.09					297	45.90		647	
	THIRD				Excluded		9	56.25		6	37.50		0	0.00					1	6.25		16	
		TOTAL					79	12.21		250	38.64		20	3.09					298	46.06		647	
	FOURTH						6	30.00		6	30.00			Excluded					8	40.00		20	
		TOTAL					85	13.14		256	39.57								306	47.30		647	
	FIFTH							Excluded		72	84.71								13	15.29		85	
		TOTAL								328	50.70								319	49.30		647	
										Elected													
																							
Glen Innes West                                                																							
	FIRST			28	1.98		123	8.69		584	41.24		39	2.75		5	0.35		637	44.99		1416	
	SECOND			1	20.00		0	0.00		3	60.00		1	20.00			Excluded		0	0.00		5	
		TOTAL		29	2.05		123	8.69		587	41.45		40	2.82					637	44.99		1416	
	THIRD				Excluded		20	68.97		4	13.79		0	0.00					5	17.24		29	
		TOTAL					143	10.10		591	41.74		40	2.82					642	45.34		1416	
	FOURTH						10	25.00		17	42.50			Excluded					13	32.50		40	
		TOTAL					153	10.81		608	42.94								655	46.26		1416	
	FIFTH							Excluded		132	86.27								21	13.73		153	
		TOTAL								740	52.26								676	47.74		1416	
										Elected													
																							
Glencoe                                                        																							
	FIRST			6	5.04		7	5.88		37	31.09		5	4.20		0	0.00		64	53.78		119	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		6	5.04		7	5.88		37	31.09		5	4.20					64	53.78		119	
	THIRD				Excluded		1	16.67		4	66.67		0	0.00					1	16.67		6	
		TOTAL					8	6.72		41	34.45		5	4.20					65	54.62		119	
	FOURTH						0	0.00		4	80.00			Excluded					1	20.00		5	
		TOTAL					8	6.72		45	37.82								66	55.46		119	
	FIFTH							Excluded		7	87.50								1	12.50		8	
		TOTAL								52	43.70								67	56.30		119	
										Elected													
																							
Graman                                                         																							
	FIRST			0	0.00		4	4.94		33	40.74		4	4.94		2	2.47		38	46.91		81	
	SECOND			1	50.00		0	0.00		0	0.00		0	0.00			Excluded		1	50.00		2	
		TOTAL		1	1.23		4	4.94		33	40.74		4	4.94					39	48.15		81	
	THIRD				Excluded		0	0.00		1	100.00		0	0.00					0	0.00		1	
		TOTAL					4	4.94		34	41.98		4	4.94					39	48.15		81	
	FOURTH						0	0.00		3	75.00			Excluded					1	25.00		4	
		TOTAL					4	4.94		37	45.68								40	49.38		81	
	FIFTH							Excluded		4	100.00								0	0.00		4	
		TOTAL								41	50.62								40	49.38		81	
										Elected													
																							
Gum Flat                                                       																							
	FIRST			1	0.85		4	3.39		35	29.66		1	0.85		0	0.00		77	65.25		118	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		1	0.85		4	3.39		35	29.66		1	0.85					77	65.25		118	
	THIRD				Excluded		0	0.00		1	100.00		0	0.00					0	0.00		1	
		TOTAL					4	3.39		36	30.51		1	0.85					77	65.25		118	
	FOURTH						0	0.00		1	100.00			Excluded					0	0.00		1	
		TOTAL					4	3.39		37	31.36								77	65.25		118	
	FIFTH							Excluded		4	100.00								0	0.00		4	
		TOTAL								41	34.75								77	65.25		118	
										Elected													
																							
Guyra                                                          																							
	FIRST			13	0.86		64	4.22		501	33.05		15	0.99		6	0.40		917	60.49		1516	
	SECOND			2	33.33		0	0.00		2	33.33		0	0.00			Excluded		2	33.33		6	
		TOTAL		15	0.99		64	4.22		503	33.18		15	0.99					919	60.62		1516	
	THIRD				Excluded		8	53.33		4	26.67		2	13.33					1	6.67		15	
		TOTAL					72	4.75		507	33.44		17	1.12					920	60.69		1516	
	FOURTH						4	23.53		10	58.82			Excluded					3	17.65		17	
		TOTAL					76	5.01		517	34.10								923	60.88		1516	
	FIFTH							Excluded		66	86.84								10	13.16		76	
		TOTAL								583	38.46								933	61.54		1516	
										Elected													
																							
Hallsville                                                     																							
	FIRST			1	0.32		5	1.60		173	55.27		4	1.28		0	0.00		130	41.53		313	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		1	0.32		5	1.60		173	55.27		4	1.28					130	41.53		313	
	THIRD				Excluded		1	100.00		0	0.00		0	0.00					0	0.00		1	
		TOTAL					6	1.92		173	55.27		4	1.28					130	41.53		313	
	FOURTH						1	25.00		2	50.00			Excluded					1	25.00		4	
		TOTAL					7	2.24		175	55.91								131	41.85		313	
	FIFTH							Excluded		6	85.71								1	14.29		7	
		TOTAL								181	57.83								132	42.17		313	
										Elected													
																							
Hillgrove                                                      																							
	FIRST			2	2.33		10	11.63		30	34.88		9	10.47		1	1.16		34	39.53		86	
	SECOND			0	0.00		0	0.00		1	100.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		2	2.33		10	11.63		31	36.05		9	10.47					34	39.53		86	
	THIRD				Excluded		1	50.00		1	50.00		0	0.00					0	0.00		2	
		TOTAL					11	12.79		32	37.21		9	10.47					34	39.53		86	
	FOURTH						0	0.00		4	44.44			Excluded					5	55.56		9	
		TOTAL					11	12.79		36	41.86								39	45.35		86	
	FIFTH							Excluded		9	81.82								2	18.18		11	
		TOTAL								45	52.33								41	47.67		86	
										Elected													
																							
Hillvue                                                        																							
	FIRST			14	0.57		70	2.87		1379	56.52		34	1.39		9	0.37		934	38.28		2440	
	SECOND			2	22.22		3	33.33		2	22.22		0	0.00			Excluded		2	22.22		9	
		TOTAL		16	0.66		73	2.99		1381	56.60		34	1.39					936	38.36		2440	
	THIRD				Excluded		10	62.50		5	31.25		0	0.00					1	6.25		16	
		TOTAL					83	3.40		1386	56.80		34	1.39					937	38.40		2440	
	FOURTH						6	17.65		19	55.88			Excluded					9	26.47		34	
		TOTAL					89	3.65		1405	57.58								946	38.77		2440	
	FIFTH							Excluded		82	92.13								7	7.87		89	
		TOTAL								1487	60.94								953	39.06		2440	
										Elected													
																							
Inverell                                                       																							
	FIRST			38	1.61		280	11.87		909	38.53		68	2.88		13	0.55		1051	44.55		2359	
	SECOND			4	30.77		1	7.69		4	30.77		3	23.08			Excluded		1	7.69		13	
		TOTAL		42	1.78		281	11.91		913	38.70		71	3.01					1052	44.60		2359	
	THIRD				Excluded		21	50.00		7	16.67		9	21.43					5	11.90		42	
		TOTAL					302	12.80		920	39.00		80	3.39					1057	44.81		2359	
	FOURTH						19	23.75		43	53.75			Excluded					18	22.50		80	
		TOTAL					321	13.61		963	40.82								1075	45.57		2359	
	FIFTH							Excluded		267	83.18								54	16.82		321	
		TOTAL								1230	52.14								1129	47.86		2359	
										Elected													
																							
Inverell East                                                  																							
	FIRST			20	1.20		157	9.44		686	41.23		57	3.43		14	0.84		730	43.87		1664	
	SECOND			2	14.29		1	7.14		7	50.00		1	7.14			Excluded		3	21.43		14	
		TOTAL		22	1.32		158	9.50		693	41.65		58	3.49					733	44.05		1664	
	THIRD				Excluded		13	59.09		3	13.64		1	4.55					5	22.73		22	
		TOTAL					171	10.28		696	41.83		59	3.55					738	44.35		1664	
	FOURTH						13	22.03		26	44.07			Excluded					20	33.90		59	
		TOTAL					184	11.06		722	43.39								758	45.55		1664	
	FIFTH							Excluded		169	91.85								15	8.15		184	
		TOTAL								891	53.55								773	46.45		1664	
										Elected													
																							
Jennings                                                       																							
