House of Representatives - 2001 Election: New South Wales																																									
Distribution of Preferences																																									
By Polling Place																																									
																																									
Lindsay																																									
				PHILLIPS			BRADBURY			EDWARDS			COURTNEY			NIXON			WATERS			MITCHELL			WALKER			BROWN			KELLY			EYKAMP			LINDSAY-HENDERSON				
	SECOND			0	0.00		1	50.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	50.00		0	0.00		0	0.00		0	0.00		2	
		TOTAL		68	2.39		1156	40.59		52	1.83		34	1.19		139	4.88		40	1.40		7	0.25					166	5.83		1154	40.52		20	0.70		12	0.42		2848	
	THIRD			0	0.00		2	28.57		0	0.00		1	14.29		0	0.00		1	14.29			Excluded					1	14.29		1	14.29		0	0.00		1	14.29		7	
		TOTAL		68	2.39		1158	40.66		52	1.83		35	1.23		139	4.88		41	1.44								167	5.86		1155	40.55		20	0.70		13	0.46		2848	
	FOURTH			0	0.00		0	0.00		2	15.38		1	7.69		0	0.00		2	15.38								1	7.69		4	30.77		3	23.08			Excluded		13	
		TOTAL		68	2.39		1158	40.66		54	1.90		36	1.26		139	4.88		43	1.51								168	5.90		1159	40.70		23	0.81					2848	
	FIFTH			0	0.00		2	8.70		3	13.04		3	13.04		3	13.04		0	0.00								7	30.43		5	21.74			Excluded					23	
		TOTAL		68	2.39		1160	40.73		57	2.00		39	1.37		142	4.99		43	1.51								175	6.14		1164	40.87								2848	
	SIXTH			7	17.95		4	10.26		6	15.38			Excluded		2	5.13		6	15.38								5	12.82		9	23.08								39	
		TOTAL		75	2.63		1164	40.87		63	2.21					144	5.06		49	1.72								180	6.32		1173	41.19								2848	
	SEVENTH			6	12.24		15	30.61		10	20.41					4	8.16			Excluded								8	16.33		6	12.24								49	
		TOTAL		81	2.84		1179	41.40		73	2.56					148	5.20											188	6.60		1179	41.40								2848	
	EIGHTH				Excluded		32	39.51		11	13.58					4	4.94											13	16.05		21	25.93								81	
		TOTAL					1211	42.52		84	2.95					152	5.34											201	7.06		1200	42.13								2848	
	NINTH						26	30.95			Excluded					14	16.67											34	40.48		10	11.90								84	
		TOTAL					1237	43.43								166	5.83											235	8.25		1210	42.49								2848	
	TENTH						108	45.96								60	25.53												Excluded		67	28.51								235	
		TOTAL					1345	47.23								226	7.94														1277	44.84								2848	
	ELEVENTH						96	42.48									Excluded														130	57.52								226	
		TOTAL					1441	50.60																							1407	49.40								2848	
																															Elected										
																																									
Cambridge Gardens                                              																																									
	FIRST			60	2.73		799	36.33		37	1.68		18	0.82		95	4.32		28	1.27		15	0.68		0	0.00		191	8.69		926	42.11		19	0.86		11	0.50		2199	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		60	2.73		799	36.33		37	1.68		18	0.82		95	4.32		28	1.27		15	0.68					191	8.69		926	42.11		19	0.86		11	0.50		2199	
	THIRD			0	0.00		10	66.67		0	0.00		1	6.67		2	13.33		0	0.00			Excluded					0	0.00		0	0.00		0	0.00		2	13.33		15	
		TOTAL		60	2.73		809	36.79		37	1.68		19	0.86		97	4.41		28	1.27								191	8.69		926	42.11		19	0.86		13	0.59		2199	
	FOURTH			1	7.69		2	15.38		0	0.00		3	23.08		2	15.38		0	0.00								3	23.08		0	0.00		2	15.38			Excluded		13	
		TOTAL		61	2.77		811	36.88		37	1.68		22	1.00		99	4.50		28	1.27								194	8.82		926	42.11		21	0.95					2199	
	FIFTH			4	19.05		2	9.52		0	0.00		2	9.52		2	9.52		0	0.00								8	38.10		3	14.29			Excluded					21	
		TOTAL		65	2.96		813	36.97		37	1.68		24	1.09		101	4.59		28	1.27								202	9.19		929	42.25								2199	
	SIXTH			3	12.50		3	12.50		4	16.67			Excluded		1	4.17		4	16.67								6	25.00		3	12.50								24	
		TOTAL		68	3.09		816	37.11		41	1.86					102	4.64		32	1.46								208	9.46		932	42.38								2199	
	SEVENTH			2	6.25		7	21.88		8	25.00					1	3.13			Excluded								3	9.38		11	34.38								32	
		TOTAL		70	3.18		823	37.43		49	2.23					103	4.68											211	9.60		943	42.88								2199	
	EIGHTH				Excluded		23	32.86		3	4.29					3	4.29											26	37.14		15	21.43								70	
		TOTAL					846	38.47		52	2.36					106	4.82											237	10.78		958	43.57								2199	
	NINTH						21	40.38			Excluded					6	11.54											18	34.62		7	13.46								52	
		TOTAL					867	39.43								112	5.09											255	11.60		965	43.88								2199	
	TENTH						109	42.75								65	25.49												Excluded		81	31.76								255	
		TOTAL					976	44.38								177	8.05														1046	47.57								2199	
	ELEVENTH						90	50.85									Excluded														87	49.15								177	
		TOTAL					1066	48.48																							1133	51.52								2199	
																															Elected										
																																									
Cambridge Park                                                 																																									
	FIRST			59	2.18		1069	39.42		43	1.59		23	0.85		183	6.75		40	1.47		14	0.52		7	0.26		122	4.50		1123	41.41		12	0.44		17	0.63		2712	
	SECOND			1	14.29		1	14.29		0	0.00		0	0.00		0	0.00		2	28.57		0	0.00			Excluded		0	0.00		1	14.29		2	28.57		0	0.00		7	
		TOTAL		60	2.21		1070	39.45		43	1.59		23	0.85		183	6.75		42	1.55		14	0.52					122	4.50		1124	41.45		14	0.52		17	0.63		2712	
	THIRD			0	0.00		3	21.43		0	0.00		1	7.14		1	7.14		1	7.14			Excluded					3	21.43		3	21.43		0	0.00		2	14.29		14	
		TOTAL		60	2.21		1073	39.56		43	1.59		24	0.88		184	6.78		43	1.59								125	4.61		1127	41.56		14	0.52		19	0.70		2712	
	FOURTH			1	5.26		4	21.05		0	0.00		1	5.26		1	5.26		1	5.26								2	10.53		6	31.58		3	15.79			Excluded		19	
		TOTAL		61	2.25		1077	39.71		43	1.59		25	0.92		185	6.82		44	1.62								127	4.68		1133	41.78		17	0.63					2712	
	FIFTH			1	5.88		1	5.88		3	17.65		3	17.65		2	11.76		1	5.88								2	11.76		4	23.53			Excluded					17	
		TOTAL		62	2.29		1078	39.75		46	1.70		28	1.03		187	6.90		45	1.66								129	4.76		1137	41.92								2712	
	SIXTH			2	7.14		6	21.43		4	14.29			Excluded		3	10.71		4	14.29								5	17.86		4	14.29								28	
		TOTAL		64	2.36		1084	39.97		50	1.84					190	7.01		49	1.81								134	4.94		1141	42.07								2712	
	SEVENTH			0	0.00		15	30.61		16	32.65					3	6.12			Excluded								10	20.41		5	10.20								49	
		TOTAL		64	2.36		1099	40.52		66	2.43					193	7.12											144	5.31		1146	42.26								2712	
	EIGHTH				Excluded		26	40.63		5	7.81					3	4.69											10	15.63		20	31.25								64	
		TOTAL					1125	41.48		71	2.62					196	7.23											154	5.68		1166	42.99								2712	
	NINTH						32	45.07			Excluded					6	8.45											25	35.21		8	11.27								71	
		TOTAL					1157	42.66								202	7.45											179	6.60		1174	43.29								2712	
	TENTH						77	43.02								42	23.46												Excluded		60	33.52								179	
		TOTAL					1234	45.50								244	9.00														1234	45.50								2712	
	ELEVENTH						105	43.03									Excluded														139	56.97								244	
		TOTAL					1339	49.37																							1373	50.63								2712	
																															Elected										
																																									
Cambridge Park South                                           																																									
	FIRST			33	2.44		528	39.08		31	2.29		9	0.67		90	6.66		33	2.44		2	0.15		2	0.15		73	5.40		541	40.04		6	0.44		3	0.22		1351	
	SECOND			0	0.00		1	50.00		0	0.00		0	0.00		0	0.00		0	0.00		1	50.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		2	
		TOTAL		33	2.44		529	39.16		31	2.29		9	0.67		90	6.66		33	2.44		3	0.22					73	5.40		541	40.04		6	0.44		3	0.22		1351	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	33.33			Excluded					0	0.00		1	33.33		0	0.00		1	33.33		3	
		TOTAL		33	2.44		529	39.16		31	2.29		9	0.67		90	6.66		34	2.52								73	5.40		542	40.12		6	0.44		4	0.30		1351	
	FOURTH			0	0.00		1	25.00		0	0.00		0	0.00		0	0.00		0	0.00								1	25.00		1	25.00		1	25.00			Excluded		4	
		TOTAL		33	2.44		530	39.23		31	2.29		9	0.67		90	6.66		34	2.52								74	5.48		543	40.19		7	0.52					1351	
	FIFTH			0	0.00		0	0.00		2	28.57		0	0.00		0	0.00		1	14.29								3	42.86		1	14.29			Excluded					7	
		TOTAL		33	2.44		530	39.23		33	2.44		9	0.67		90	6.66		35	2.59								77	5.70		544	40.27								1351	
	SIXTH			0	0.00		3	33.33		1	11.11			Excluded		2	22.22		0	0.00								1	11.11		2	22.22								9	
		TOTAL		33	2.44		533	39.45		34	2.52					92	6.81		35	2.59								78	5.77		546	40.41								1351	
	SEVENTH			2	5.71		10	28.57		12	34.29					4	11.43			Excluded								3	8.57		4	11.43								35	
		TOTAL		35	2.59		543	40.19		46	3.40					96	7.11											81	6.00		550	40.71								1351	
	EIGHTH				Excluded		11	31.43		8	22.86					3	8.57											4	11.43		9	25.71								35	
		TOTAL					554	41.01		54	4.00					99	7.33											85	6.29		559	41.38								1351	
	NINTH						19	35.19			Excluded					4	7.41											24	44.44		7	12.96								54	
		TOTAL					573	42.41								103	7.62											109	8.07		566	41.89								1351	
	TENTH						60	55.05								17	15.60												Excluded		32	29.36								109	
		TOTAL					633	46.85								120	8.88														598	44.26								1351	
	ELEVENTH						53	44.17									Excluded														67	55.83								120	
		TOTAL					686	50.78																							665	49.22								1351	
																															Elected										
																																									
Castlereagh                                                    																																									
	FIRST			28	3.55		192	24.37		18	2.28		4	0.51		50	6.35		12	1.52		5	0.63		0	0.00		15	1.90		454	57.61		3	0.38		7	0.89		788	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		28	3.55		192	24.37		18	2.28		4	0.51		50	6.35		12	1.52		5	0.63					15	1.90		454	57.61		3	0.38		7	0.89		788	
	THIRD			1	20.00		0	0.00		1	20.00		0	0.00		3	60.00		0	0.00			Excluded					0	0.00		0	0.00		0	0.00		0	0.00		5	
		TOTAL		29	3.68		192	24.37		19	2.41		4	0.51		53	6.73		12	1.52								15	1.90		454	57.61		3	0.38		7	0.89		788	
	FOURTH			0	0.00		0	0.00		0	0.00		1	14.29		1	14.29		0	0.00								1	14.29		2	28.57		2	28.57			Excluded		7	
		TOTAL		29	3.68		192	24.37		19	2.41		5	0.63		54	6.85		12	1.52								16	2.03		456	57.87		5	0.63					788	
	FIFTH			0	0.00		1	20.00		0	0.00		0	0.00		2	40.00		1	20.00								0	0.00		1	20.00			Excluded					5	
		TOTAL		29	3.68		193	24.49		19	2.41		5	0.63		56	7.11		13	1.65								16	2.03		457	57.99								788	
	SIXTH			0	0.00		0	0.00		2	40.00			Excluded		1	20.00		1	20.00								1	20.00		0	0.00								5	
		TOTAL		29	3.68		193	24.49		21	2.66					57	7.23		14	1.78								17	2.16		457	57.99								788	
	SEVENTH			0	0.00		3	21.43		6	42.86					0	0.00			Excluded								2	14.29		3	21.43								14	
		TOTAL		29	3.68		196	24.87		27	3.43					57	7.23											19	2.41		460	58.38								788	
	EIGHTH				Excluded		5	17.24		3	10.34					1	3.45											9	31.03		11	37.93								29	
		TOTAL					201	25.51		30	3.81					58	7.36											28	3.55		471	59.77								788	
	NINTH						16	53.33			Excluded					2	6.67											7	23.33		5	16.67								30	
		TOTAL					217	27.54								60	7.61											35	4.44		476	60.41								788	
	TENTH						14	40.00								7	20.00												Excluded		14	40.00								35	
		TOTAL					231	29.31								67	8.50														490	62.18								788	
	ELEVENTH						28	41.79									Excluded														39	58.21								67	
		TOTAL					259	32.87																							529	67.13								788	
																															Elected										
																																									
Claremont Meadows                                              																																									
	FIRST			35	2.19		811	50.75		23	1.44		14	0.88		60	3.75		19	1.19		3	0.19		3	0.19		25	1.56		586	36.67		10	0.63		9	0.56		1598	
	SECOND			0	0.00		0	0.00		1	33.33		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	33.33		0	0.00		1	33.33		0	0.00		3	
		TOTAL		35	2.19		811	50.75		24	1.50		14	0.88		60	3.75		19	1.19		3	0.19					26	1.63		586	36.67		11	0.69		9	0.56		1598	
	THIRD			0	0.00		0	0.00		0	0.00		1	33.33		0	0.00		2	66.67			Excluded					0	0.00		0	0.00		0	0.00		0	0.00		3	
		TOTAL		35	2.19		811	50.75		24	1.50		15	0.94		60	3.75		21	1.31								26	1.63		586	36.67		11	0.69		9	0.56		1598	
	FOURTH			1	11.11		0	0.00		0	0.00		4	44.44		0	0.00		0	0.00								1	11.11		0	0.00		3	33.33			Excluded		9	
		TOTAL		36	2.25		811	50.75		24	1.50		19	1.19		60	3.75		21	1.31								27	1.69		586	36.67		14	0.88					1598	
	FIFTH			1	7.14		3	21.43		3	21.43		1	7.14		0	0.00		0	0.00								3	21.43		3	21.43			Excluded					14	
		TOTAL		37	2.32		814	50.94		27	1.69		20	1.25		60	3.75		21	1.31								30	1.88		589	36.86								1598	
	SIXTH			0	0.00		6	30.00		2	10.00			Excluded		4	20.00		2	10.00								3	15.00		3	15.00								20	
		TOTAL		37	2.32		820	51.31		29	1.81					64	4.01		23	1.44								33	2.07		592	37.05								1598	
	SEVENTH			1	4.35		8	34.78		6	26.09					1	4.35			Excluded								1	4.35		6	26.09								23	
		TOTAL		38	2.38		828	51.81		35	2.19					65	4.07											34	2.13		598	37.42								1598	
	EIGHTH				Excluded		19	50.00		3	7.89					4	10.53											4	10.53		8	21.05								38	
		TOTAL					847	53.00		38	2.38					69	4.32											38	2.38		606	37.92								1598	
	NINTH						15	39.47			Excluded					6	15.79											14	36.84		3	7.89								38	
		TOTAL					862	53.94								75	4.69											52	3.25		609	38.11								1598	
	TENTH						22	42.31								8	15.38												Excluded		22	42.31								52	
		TOTAL					884	55.32								83	5.19														631	39.49								1598	
	ELEVENTH						43	51.81									Excluded														40	48.19								83	
		TOTAL					927	58.01																							671	41.99								1598	
																															Elected										
																																									
Cranebrook                                                     																																									
	FIRST			67	2.24		895	29.98		66	2.21		74	2.48		133	4.46		48	1.61		9	0.30		3	0.10		206	6.90		1463	49.01		12	0.40		9	0.30		2985	
	SECOND			1	33.33		0	0.00		1	33.33		0	0.00		1	33.33		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		3	
		TOTAL		68	2.28		895	29.98		67	2.24		74	2.48		134	4.49		48	1.61		9	0.30					206	6.90		1463	49.01		12	0.40		9	0.30		2985	
	THIRD			1	11.11		2	22.22		1	11.11		1	11.11		0	0.00		1	11.11			Excluded					0	0.00		1	11.11		0	0.00		2	22.22		9	
		TOTAL		69	2.31		897	30.05		68	2.28		75	2.51		134	4.49		49	1.64								206	6.90		1464	49.05		12	0.40		11	0.37		2985	
	FOURTH			0	0.00		1	9.09		0	0.00		1	9.09		1	9.09		0	0.00								2	18.18		2	18.18		4	36.36			Excluded		11	
		TOTAL		69	2.31		898	30.08		68	2.28		76	2.55		135	4.52		49	1.64								208	6.97		1466	49.11		16	0.54					2985	
	FIFTH			1	6.25		3	18.75		4	25.00		0	0.00		3	18.75		0	0.00								4	25.00		1	6.25			Excluded					16	
		TOTAL		70	2.35		901	30.18		72	2.41		76	2.55		138	4.62		49	1.64								212	7.10		1467	49.15								2985	
	SIXTH			3	3.95		26	34.21		7	9.21			Excluded		8	10.53		5	6.58								15	19.74		12	15.79								76	
		TOTAL		73	2.45		927	31.06		79	2.65					146	4.89		54	1.81								227	7.60		1479	49.55								2985	
	SEVENTH			3	5.56		13	24.07		13	24.07					6	11.11			Excluded								12	22.22		7	12.96								54	
		TOTAL		76	2.55		940	31.49		92	3.08					152	5.09											239	8.01		1486	49.78								2985	
	EIGHTH				Excluded		20	26.32		10	13.16					5	6.58											15	19.74		26	34.21								76	
		TOTAL					960	32.16		102	3.42					157	5.26											254	8.51		1512	50.65								2985	
	NINTH						31	30.39			Excluded					7	6.86											57	55.88		7	6.86								102	
		TOTAL					991	33.20								164	5.49											311	10.42		1519	50.89								2985	
	TENTH						124	39.87								65	20.90												Excluded		122	39.23								311	
		TOTAL					1115	37.35								229	7.67														1641	54.97								2985	
	ELEVENTH						103	44.98									Excluded														126	55.02								229	
		TOTAL					1218	40.80																							1767	59.20								2985	
																															Elected										
																																									
Emu Heights                                                    																																									
	FIRST			67	4.16		554	34.39		35	2.17		18	1.12		94	5.83		41	2.55		6	0.37		2	0.12		39	2.42		735	45.62		11	0.68		9	0.56		1611	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		1	50.00		0	0.00		0	0.00			Excluded		0	0.00		1	50.00		0	0.00		0	0.00		2	
		TOTAL		67	4.16		554	34.39		35	2.17		18	1.12		95	5.90		41	2.55		6	0.37					39	2.42		736	45.69		11	0.68		9	0.56		1611	
	THIRD			0	0.00		3	50.00		0	0.00		2	33.33		1	16.67		0	0.00			Excluded					0	0.00		0	0.00		0	0.00		0	0.00		6	
		TOTAL		67	4.16		557	34.57		35	2.17		20	1.24		96	5.96		41	2.55								39	2.42		736	45.69		11	0.68		9	0.56		1611	
	FOURTH			2	22.22		0	0.00		0	0.00		2	22.22		0	0.00		1	11.11								2	22.22		2	22.22		0	0.00			Excluded		9	
		TOTAL		69	4.28		557	34.57		35	2.17		22	1.37		96	5.96		42	2.61								41	2.55		738	45.81		11	0.68					1611	
	FIFTH			1	9.09		2	18.18		2	18.18		1	9.09		2	18.18		0	0.00								0	0.00		3	27.27			Excluded					11	
		TOTAL		70	4.35		559	34.70		37	2.30		23	1.43		98	6.08		42	2.61								41	2.55		741	46.00								1611	
	SIXTH			0	0.00		2	8.70		6	26.09			Excluded		2	8.70		4	17.39								6	26.09		3	13.04								23	
		TOTAL		70	4.35		561	34.82		43	2.67					100	6.21		46	2.86								47	2.92		744	46.18								1611	
	SEVENTH			1	2.17		13	28.26		14	30.43					0	0.00			Excluded								7	15.22		11	23.91								46	
		TOTAL		71	4.41		574	35.63		57	3.54					100	6.21											54	3.35		755	46.87								1611	
	EIGHTH				Excluded		18	25.35		4	5.63					0	0.00											14	19.72		35	49.30								71	
		TOTAL					592	36.75		61	3.79					100	6.21											68	4.22		790	49.04								1611	
	NINTH						26	42.62			Excluded					1	1.64											21	34.43		13	21.31								61	
		TOTAL					618	38.36								101	6.27											89	5.52		803	49.84								1611	
	TENTH						48	53.93								14	15.73												Excluded		27	30.34								89	
		TOTAL					666	41.34								115	7.14														830	51.52								1611	
	ELEVENTH						38	33.04									Excluded														77	66.96								115	
		TOTAL					704	43.70																							907	56.30								1611	
																															Elected										
																																									
Emu Plains                                                     																																									
	FIRST			80	2.71		947	32.03		77	2.60		22	0.74		149	5.04		86	2.91		6	0.20		1	0.03		45	1.52		1527	51.64		12	0.41		5	0.17		2957	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		1	100.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		1	
		TOTAL		80	2.71		947	32.03		77	2.60		22	0.74		150	5.07		86	2.91		6	0.20					45	1.52		1527	51.64		12	0.41		5	0.17		2957	
	THIRD			0	0.00		3	50.00		1	16.67		1	16.67		0	0.00		0	0.00			Excluded					0	0.00		0	0.00		1	16.67		0	0.00		6	
		TOTAL		80	2.71		950	32.13		78	2.64		23	0.78		150	5.07		86	2.91								45	1.52		1527	51.64		13	0.44		5	0.17		2957	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00								0	0.00		2	40.00		3	60.00			Excluded		5	
		TOTAL		80	2.71		950	32.13		78	2.64		23	0.78		150	5.07		86	2.91								45	1.52		1529	51.71		16	0.54					2957	
	FIFTH			2	12.50		2	12.50		1	6.25		4	25.00		2	12.50		1	6.25								2	12.50		2	12.50			Excluded					16	
		TOTAL		82	2.77		952	32.19		79	2.67		27	0.91		152	5.14		87	2.94								47	1.59		1531	51.78								2957	
	SIXTH			5	18.52		10	37.04		2	7.41			Excluded		3	11.11		2	7.41								0	0.00		5	18.52								27	
		TOTAL		87	2.94		962	32.53		81	2.74					155	5.24		89	3.01								47	1.59		1536	51.94								2957	
	SEVENTH			5	5.62		11	12.36		30	33.71					8	8.99			Excluded								21	23.60		14	15.73								89	
		TOTAL		92	3.11		973	32.90		111	3.75					163	5.51											68	2.30		1550	52.42								2957	
	EIGHTH				Excluded		28	30.43		10	10.87					6	6.52											24	26.09		24	26.09								92	
		TOTAL					1001	33.85		121	4.09					169	5.72											92	3.11		1574	53.23								2957	
	NINTH						44	36.36			Excluded					8	6.61											58	47.93		11	9.09								121	
		TOTAL					1045	35.34								177	5.99											150	5.07		1585	53.60								2957	
	TENTH						80	53.33								14	9.33												Excluded		56	37.33								150	
		TOTAL					1125	38.05								191	6.46														1641	55.50								2957	
	ELEVENTH						63	32.98									Excluded														128	67.02								191	
		TOTAL					1188	40.18																							1769	59.82								2957	
																															Elected										
																																									
Floribunda                                                     																																									
	FIRST			51	2.21		665	28.84		34	1.47		21	0.91		67	2.91		43	1.86		4	0.17		6	0.26		36	1.56		1358	58.89		11	0.48		10	0.43		2306	
	SECOND			0	0.00		1	16.67		0	0.00		0	0.00		1	16.67		1	16.67		2	33.33			Excluded		0	0.00		0	0.00		0	0.00		1	16.67		6	
		TOTAL		51	2.21		666	28.88		34	1.47		21	0.91		68	2.95		44	1.91		6	0.26					36	1.56		1358	58.89		11	0.48		11	0.48		2306	
	THIRD			0	0.00		0	0.00		0	0.00		1	16.67		0	0.00		2	33.33			Excluded					1	16.67		1	16.67		0	0.00		1	16.67		6	
		TOTAL		51	2.21		666	28.88		34	1.47		22	0.95		68	2.95		46	1.99								37	1.60		1359	58.93		11	0.48		12	0.52		2306	
	FOURTH			1	8.33		0	0.00		0	0.00		6	50.00		0	0.00		0	0.00								0	0.00		2	16.67		3	25.00			Excluded		12	
		TOTAL		52	2.25		666	28.88		34	1.47		28	1.21		68	2.95		46	1.99								37	1.60		1361	59.02		14	0.61					2306	
	FIFTH			0	0.00		1	7.14		1	7.14		2	14.29		1	7.14		2	14.29								4	28.57		3	21.43			Excluded					14	
		TOTAL		52	2.25		667	28.92		35	1.52		30	1.30		69	2.99		48	2.08								41	1.78		1364	59.15								2306	
	SIXTH			6	20.00		3	10.00		4	13.33			Excluded		3	10.00		8	26.67								2	6.67		4	13.33								30	
		TOTAL		58	2.52		670	29.05		39	1.69					72	3.12		56	2.43								43	1.86		1368	59.32								2306	
	SEVENTH			3	5.36		15	26.79		12	21.43					6	10.71			Excluded								7	12.50		13	23.21								56	
