House of Representatives - 2001 Election: New South Wales																													
Distribution of Preferences																													
By Polling Place																													
																													
Mitchell																													
				MUDGEE			CADMAN			BAGGS			TAYLOR			MCSHANE			GREGORY			BURKE			EDER				
	FIRST			9	2.76		184	56.44		20	6.13		7	2.15		82	25.15		12	3.68		4	1.23		8	2.45		326	
	SECOND			0	0.00		0	0.00		1	25.00		1	25.00		1	25.00		0	0.00			Excluded		1	25.00		4	
		TOTAL		9	2.76		184	56.44		21	6.44		8	2.45		83	25.46		12	3.68					9	2.76		326	
	THIRD				Excluded		5	55.56		0	0.00		1	11.11		0	0.00		0	0.00					3	33.33		9	
		TOTAL					189	57.98		21	6.44		9	2.76		83	25.46		12	3.68					12	3.68		326	
	FOURTH						8	66.67		1	8.33		0	0.00		2	16.67			Excluded					1	8.33		12	
		TOTAL					197	60.43		22	6.75		9	2.76		85	26.07								13	3.99		326	
	FIFTH						5	38.46		3	23.08		1	7.69		4	30.77									Excluded		13	
		TOTAL					202	61.96		25	7.67		10	3.07		89	27.30											326	
	SIXTH						1	10.00		5	50.00			Excluded		4	40.00											10	
		TOTAL					203	62.27		30	9.20					93	28.53											326	
	SEVENTH						10	33.33			Excluded					20	66.67											30	
		TOTAL					213	65.34								113	34.66											326	
							Elected																						
																													
Baulkham Hills High                                            																													
	FIRST			24	1.73		781	56.19		76	5.47		53	3.81		383	27.55		28	2.01		10	0.72		35	2.52		1390	
	SECOND			2	20.00		2	20.00		2	20.00		1	10.00		0	0.00		0	0.00			Excluded		3	30.00		10	
		TOTAL		26	1.87		783	56.33		78	5.61		54	3.88		383	27.55		28	2.01					38	2.73		1390	
	THIRD				Excluded		8	30.77		3	11.54		3	11.54		4	15.38		2	7.69					6	23.08		26	
		TOTAL					791	56.91		81	5.83		57	4.10		387	27.84		30	2.16					44	3.17		1390	
	FOURTH						18	60.00		3	10.00		0	0.00		8	26.67			Excluded					1	3.33		30	
		TOTAL					809	58.20		84	6.04		57	4.10		395	28.42								45	3.24		1390	
	FIFTH						22	48.89		10	22.22		5	11.11		8	17.78									Excluded		45	
		TOTAL					831	59.78		94	6.76		62	4.46		403	28.99											1390	
	SIXTH						15	24.19		30	48.39			Excluded		17	27.42											62	
		TOTAL					846	60.86		124	8.92					420	30.22											1390	
	SEVENTH						49	39.52			Excluded					75	60.48											124	
		TOTAL					895	64.39								495	35.61											1390	
							Elected																						
																													
Baulkham Hills North                                           																													
	FIRST			45	1.62		1644	59.26		178	6.42		110	3.97		616	22.21		53	1.91		13	0.47		115	4.15		2774	
	SECOND			0	0.00		3	23.08		1	7.69		5	38.46		3	23.08		1	7.69			Excluded		0	0.00		13	
		TOTAL		45	1.62		1647	59.37		179	6.45		115	4.15		619	22.31		54	1.95					115	4.15		2774	
	THIRD				Excluded		19	42.22		6	13.33		6	13.33		4	8.89		3	6.67					7	15.56		45	
		TOTAL					1666	60.06		185	6.67		121	4.36		623	22.46		57	2.05					122	4.40		2774	
	FOURTH						29	50.88		8	14.04		5	8.77		12	21.05			Excluded					3	5.26		57	
		TOTAL					1695	61.10		193	6.96		126	4.54		635	22.89								125	4.51		2774	
	FIFTH						77	61.60		15	12.00		15	12.00		18	14.40									Excluded		125	
		TOTAL					1772	63.88		208	7.50		141	5.08		653	23.54											2774	
	SIXTH						28	19.86		58	41.13			Excluded		55	39.01											141	
		TOTAL					1800	64.89		266	9.59					708	25.52											2774	
	SEVENTH						85	31.95			Excluded					181	68.05											266	
		TOTAL					1885	67.95								889	32.05											2774	
							Elected																						
																													
Beaumont Hills                                                 																													
	FIRST			19	1.33		944	66.11		47	3.29		26	1.82		317	22.20		46	3.22		8	0.56		21	1.47		1428	
	SECOND			0	0.00		2	25.00		1	12.50		1	12.50		0	0.00		1	12.50			Excluded		3	37.50		8	
		TOTAL		19	1.33		946	66.25		48	3.36		27	1.89		317	22.20		47	3.29					24	1.68		1428	
	THIRD				Excluded		9	47.37		3	15.79		5	26.32		0	0.00		0	0.00					2	10.53		19	
		TOTAL					955	66.88		51	3.57		32	2.24		317	22.20		47	3.29					26	1.82		1428	
	FOURTH						38	80.85		3	6.38		2	4.26		4	8.51			Excluded					0	0.00		47	
		TOTAL					993	69.54		54	3.78		34	2.38		321	22.48								26	1.82		1428	
	FIFTH						14	53.85		2	7.69		2	7.69		8	30.77									Excluded		26	
		TOTAL					1007	70.52		56	3.92		36	2.52		329	23.04											1428	
	SIXTH						8	22.22		18	50.00			Excluded		10	27.78											36	
		TOTAL					1015	71.08		74	5.18					339	23.74											1428	
	SEVENTH						33	44.59			Excluded					41	55.41											74	
		TOTAL					1048	73.39								380	26.61											1428	
							Elected																						
																													
Castle Hill                                                    																													
	FIRST			46	1.23		2377	63.59		236	6.31		130	3.48		725	19.40		100	2.68		23	0.62		101	2.70		3738	
	SECOND			1	4.35		6	26.09		3	13.04		6	26.09		1	4.35		4	17.39			Excluded		2	8.70		23	
		TOTAL		47	1.26		2383	63.75		239	6.39		136	3.64		726	19.42		104	2.78					103	2.76		3738	
	THIRD				Excluded		20	42.55		4	8.51		4	8.51		5	10.64		0	0.00					14	29.79		47	
		TOTAL					2403	64.29		243	6.50		140	3.75		731	19.56		104	2.78					117	3.13		3738	
	FOURTH						71	68.27		7	6.73		8	7.69		9	8.65			Excluded					9	8.65		104	
		TOTAL					2474	66.19		250	6.69		148	3.96		740	19.80								126	3.37		3738	
	FIFTH						80	63.49		10	7.94		13	10.32		23	18.25									Excluded		126	
		TOTAL					2554	68.33		260	6.96		161	4.31		763	20.41											3738	
	SIXTH						32	19.88		83	51.55			Excluded		46	28.57											161	
		TOTAL					2586	69.18		343	9.18					809	21.64											3738	
	SEVENTH						112	32.65			Excluded					231	67.35											343	
		TOTAL					2698	72.18								1040	27.82											3738	
							Elected																						
																													
Castle Hill East                                               																													
	FIRST			10	0.80		839	66.85		65	5.18		39	3.11		249	19.84		17	1.35		13	1.04		23	1.83		1255	
	SECOND			1	7.69		3	23.08		4	30.77		1	7.69		1	7.69		3	23.08			Excluded		0	0.00		13	
		TOTAL		11	0.88		842	67.09		69	5.50		40	3.19		250	19.92		20	1.59					23	1.83		1255	
	THIRD				Excluded		3	27.27		1	9.09		2	18.18		0	0.00		0	0.00					5	45.45		11	
		TOTAL					845	67.33		70	5.58		42	3.35		250	19.92		20	1.59					28	2.23		1255	
	FOURTH						8	40.00		3	15.00		5	25.00		1	5.00			Excluded					3	15.00		20	
		TOTAL					853	67.97		73	5.82		47	3.75		251	20.00								31	2.47		1255	
	FIFTH						19	61.29		2	6.45		6	19.35		4	12.90									Excluded		31	
		TOTAL					872	69.48		75	5.98		53	4.22		255	20.32											1255	
	SIXTH						9	16.98		24	45.28			Excluded		20	37.74											53	
		TOTAL					881	70.20		99	7.89					275	21.91											1255	
	SEVENTH						41	41.41			Excluded					58	58.59											99	
		TOTAL					922	73.47								333	26.53											1255	
							Elected																						
																													
Castle Hill High                                               																													
	FIRST			31	1.26		1512	61.64		132	5.38		61	2.49		544	22.18		63	2.57		23	0.94		87	3.55		2453	
	SECOND			0	0.00		5	21.74		6	26.09		3	13.04		3	13.04		1	4.35			Excluded		5	21.74		23	
		TOTAL		31	1.26		1517	61.84		138	5.63		64	2.61		547	22.30		64	2.61					92	3.75		2453	
	THIRD				Excluded		11	35.48		5	16.13		7	22.58		5	16.13		0	0.00					3	9.68		31	
		TOTAL					1528	62.29		143	5.83		71	2.89		552	22.50		64	2.61					95	3.87		2453	
	FOURTH						43	67.19		7	10.94		5	7.81		4	6.25			Excluded					5	7.81		64	
		TOTAL					1571	64.04		150	6.11		76	3.10		556	22.67								100	4.08		2453	
	FIFTH						67	67.00		10	10.00		13	13.00		10	10.00									Excluded		100	
		TOTAL					1638	66.78		160	6.52		89	3.63		566	23.07											2453	
	SIXTH						23	25.84		32	35.96			Excluded		34	38.20											89	
		TOTAL					1661	67.71		192	7.83					600	24.46											2453	
	SEVENTH						73	38.02			Excluded					119	61.98											192	
		TOTAL					1734	70.69								719	29.31											2453	
							Elected																						
																													
Castle Hill West                                               																													
	FIRST			17	0.80		1392	65.35		86	4.04		74	3.47		439	20.61		44	2.07		23	1.08		55	2.58		2130	
	SECOND			0	0.00		5	21.74		5	21.74		9	39.13		1	4.35		1	4.35			Excluded		2	8.70		23	
		TOTAL		17	0.80		1397	65.59		91	4.27		83	3.90		440	20.66		45	2.11					57	2.68		2130	
	THIRD				Excluded		9	52.94		2	11.76		2	11.76		1	5.88		0	0.00					3	17.65		17	
		TOTAL					1406	66.01		93	4.37		85	3.99		441	20.70		45	2.11					60	2.82		2130	
	FOURTH						25	55.56		4	8.89		3	6.67		10	22.22			Excluded					3	6.67		45	
		TOTAL					1431	67.18		97	4.55		88	4.13		451	21.17								63	2.96		2130	
	FIFTH						34	53.97		4	6.35		11	17.46		14	22.22									Excluded		63	
		TOTAL					1465	68.78		101	4.74		99	4.65		465	21.83											2130	
	SIXTH						27	27.27		50	50.51			Excluded		22	22.22											99	
		TOTAL					1492	70.05		151	7.09					487	22.86											2130	
	SEVENTH						56	37.09			Excluded					95	62.91											151	
		TOTAL					1548	72.68								582	27.32											2130	
							Elected																						
																													
Crestwood                                                      																													
	FIRST			28	1.59		1098	62.53		77	4.38		55	3.13		403	22.95		24	1.37		22	1.25		49	2.79		1756	
	SECOND			1	4.55		3	13.64		3	13.64		5	22.73		5	22.73		3	13.64			Excluded		2	9.09		22	
		TOTAL		29	1.65		1101	62.70		80	4.56		60	3.42		408	23.23		27	1.54					51	2.90		1756	
	THIRD				Excluded		13	44.83		4	13.79		1	3.45		5	17.24		0	0.00					6	20.69		29	
		TOTAL					1114	63.44		84	4.78		61	3.47		413	23.52		27	1.54					57	3.25		1756	
	FOURTH						16	59.26		3	11.11		3	11.11		1	3.70			Excluded					4	14.81		27	
		TOTAL					1130	64.35		87	4.95		64	3.64		414	23.58								61	3.47		1756	
	FIFTH						28	45.90		8	13.11		9	14.75		16	26.23									Excluded		61	
		TOTAL					1158	65.95		95	5.41		73	4.16		430	24.49											1756	
	SIXTH						19	26.03		34	46.58			Excluded		20	27.40											73	
		TOTAL					1177	67.03		129	7.35					450	25.63											1756	
	SEVENTH						50	38.76			Excluded					79	61.24											129	
		TOTAL					1227	69.87								529	30.13											1756	
							Elected																						
																													
Crestwood High                                                 																													
	FIRST			59	1.39		2601	61.32		198	4.67		80	1.89		1081	25.48		95	2.24		25	0.59		103	2.43		4242	
	SECOND			1	4.00		8	32.00		2	8.00		9	36.00		2	8.00		2	8.00			Excluded		1	4.00		25	
		TOTAL		60	1.41		2609	61.50		200	4.71		89	2.10		1083	25.53		97	2.29					104	2.45		4242	
	THIRD				Excluded		29	48.33		8	13.33		5	8.33		5	8.33		0	0.00					13	21.67		60	
		TOTAL					2638	62.19		208	4.90		94	2.22		1088	25.65		97	2.29					117	2.76		4242	
	FOURTH						68	70.10		12	12.37		4	4.12		9	9.28			Excluded					4	4.12		97	
		TOTAL					2706	63.79		220	5.19		98	2.31		1097	25.86								121	2.85		4242	
	FIFTH						83	68.60		9	7.44		15	12.40		14	11.57									Excluded		121	
		TOTAL					2789	65.75		229	5.40		113	2.66		1111	26.19											4242	
	SIXTH						23	20.35		45	39.82			Excluded		45	39.82											113	
		TOTAL					2812	66.29		274	6.46					1156	27.25											4242	
	SEVENTH						106	38.69			Excluded					168	61.31											274	
		TOTAL					2918	68.79								1324	31.21											4242	
							Elected																						
																													
Dural (Mitchell)                                               																													
	FIRST			20	2.47		570	70.28		30	3.70		49	6.04		94	11.59		12	1.48		7	0.86		29	3.58		811	
	SECOND			0	0.00		2	28.57		3	42.86		1	14.29		0	0.00		0	0.00			Excluded		1	14.29		7	
		TOTAL		20	2.47		572	70.53		33	4.07		50	6.17		94	11.59		12	1.48					30	3.70		811	
	THIRD				Excluded		9	45.00		2	10.00		1	5.00		3	15.00		0	0.00					5	25.00		20	
		TOTAL					581	71.64		35	4.32		51	6.29		97	11.96		12	1.48					35	4.32		811	
	FOURTH						9	75.00		0	0.00		2	16.67		1	8.33			Excluded					0	0.00		12	
		TOTAL					590	72.75		35	4.32		53	6.54		98	12.08								35	4.32		811	
	FIFTH						21	60.00		3	8.57		5	14.29		6	17.14									Excluded		35	
		TOTAL					611	75.34		38	4.69		58	7.15		104	12.82											811	
	SIXTH						13	22.41		22	37.93			Excluded		23	39.66											58	
		TOTAL					624	76.94		60	7.40					127	15.66											811	
	SEVENTH						27	45.00			Excluded					33	55.00											60	
		TOTAL					651	80.27								160	19.73											811	
							Elected																						
																													
Eurambie Park                                                  																													
	FIRST			17	0.72		1521	64.07		140	5.90		56	2.36		544	22.91		60	2.53		18	0.76		18	0.76		2374	
	SECOND			0	0.00		5	27.78		1	5.56		6	33.33		1	5.56		1	5.56			Excluded		4	22.22		18	
		TOTAL		17	0.72		1526	64.28		141	5.94		62	2.61		545	22.96		61	2.57					22	0.93		2374	
	THIRD				Excluded		8	47.06		1	5.88		4	23.53		2	11.76		1	5.88					1	5.88		17	
		TOTAL					1534	64.62		142	5.98		66	2.78		547	23.04		62	2.61					23	0.97		2374	
	FOURTH						45	72.58		6	9.68		2	3.23		8	12.90			Excluded					1	1.61		62	
		TOTAL					1579	66.51		148	6.23		68	2.86		555	23.38								24	1.01		2374	
	FIFTH						12	50.00		3	12.50		5	20.83		4	16.67									Excluded		24	
		TOTAL					1591	67.02		151	6.36		73	3.07		559	23.55											2374	
	SIXTH						16	21.92		39	53.42			Excluded		18	24.66											73	
		TOTAL					1607	67.69		190	8.00					577	24.30											2374	
	SEVENTH						67	35.26			Excluded					123	64.74											190	
		TOTAL					1674	70.51								700	29.49											2374	
							Elected																						
																													
Glenhaven                                                      																													
	FIRST			34	1.29		1926	73.04		91	3.45		86	3.26		362	13.73		53	2.01		31	1.18		54	2.05		2637	
	SECOND			0	0.00		7	22.58		6	19.35		12	38.71		4	12.90		1	3.23			Excluded		1	3.23		31	
		TOTAL		34	1.29		1933	73.30		97	3.68		98	3.72		366	13.88		54	2.05					55	2.09		2637	
	THIRD				Excluded		17	50.00		0	0.00		2	5.88		3	8.82		1	2.94					11	32.35		34	
		TOTAL					1950	73.95		97	3.68		100	3.79		369	13.99		55	2.09					66	2.50		2637	
	FOURTH						39	70.91		4	7.27		2	3.64		7	12.73			Excluded					3	5.45		55	
		TOTAL					1989	75.43		101	3.83		102	3.87		376	14.26								69	2.62		2637	
	FIFTH						47	68.12		7	10.14		4	5.80		11	15.94									Excluded		69	
		TOTAL					2036	77.21		108	4.10		106	4.02		387	14.68											2637	
	SIXTH						22	20.75		46	43.40			Excluded		38	35.85											106	
		TOTAL					2058	78.04		154	5.84					425	16.12											2637	
	SEVENTH						49	31.82			Excluded					105	68.18											154	
		TOTAL					2107	79.90								530	20.10											2637	
							Elected																						
																													
Hopetoun                                                       																													
	FIRST			2	0.49		322	78.73		9	2.20		8	1.96		55	13.45		5	1.22		2	0.49		6	1.47		409	
	SECOND			0	0.00		1	50.00		0	0.00		0	0.00		0	0.00		1	50.00			Excluded		0	0.00		2	
		TOTAL		2	0.49		323	78.97		9	2.20		8	1.96		55	13.45		6	1.47					6	1.47		409	
	THIRD				Excluded		2	100.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		2	
		TOTAL					325	79.46		9	2.20		8	1.96		55	13.45		6	1.47					6	1.47		409	
	FOURTH						4	66.67		0	0.00		0	0.00		0	0.00			Excluded					2	33.33		6	
		TOTAL					329	80.44		9	2.20		8	1.96		55	13.45								8	1.96		409	
	FIFTH						2	25.00		0	0.00		1	12.50		5	62.50									Excluded		8	
		TOTAL					331	80.93		9	2.20		9	2.20		60	14.67											409	
	SIXTH						2	22.22		6	66.67			Excluded		1	11.11											9	
		TOTAL					333	81.42		15	3.67					61	14.91											409	
	SEVENTH						4	26.67			Excluded					11	73.33											15	
		TOTAL					337	82.40								72	17.60											409	
							Elected																						
																													
Jasper Road                                                    																													
	FIRST			68	1.45		2789	59.28		233	4.95		171	3.63		1152	24.48		98	2.08		43	0.91		151	3.21		4705	
	SECOND			2	4.65		10	23.26		9	20.93		9	20.93		7	16.28		1	2.33			Excluded		5	11.63		43	
		TOTAL		70	1.49		2799	59.49		242	5.14		180	3.83		1159	24.63		99	2.10					156	3.32		4705	
	THIRD				Excluded		34	48.57		3	4.29		8	11.43		5	7.14		4	5.71					16	22.86		70	
		TOTAL					2833	60.21		245	5.21		188	4.00		1164	24.74		103	2.19					172	3.66		4705	
	FOURTH						60	58.25		6	5.83		9	8.74		18	17.48			Excluded					10	9.71		103	
		TOTAL					2893	61.49		251	5.33		197	4.19		1182	25.12								182	3.87		4705	
	FIFTH						110	60.44		14	7.69		26	14.29		32	17.58									Excluded		182	
		TOTAL					3003	63.83		265	5.63		223	4.74		1214	25.80											4705	
	SIXTH						45	20.18		82	36.77			Excluded		96	43.05											223	
		TOTAL					3048	64.78		347	7.38					1310	27.84											4705	
	SEVENTH						129	37.18			Excluded					218	62.82											347	
		TOTAL					3177	67.52								1528	32.48											4705	
							Elected																						
																													
Kellyville                                                     																													
	FIRST			82	1.74		3109	65.98		227	4.82		133	2.82		903	19.16		108	2.29		37	0.79		113	2.40		4712	
	SECOND			3	8.11		12	32.43		8	21.62		4	10.81		5	13.51		1	2.70			Excluded		4	10.81		37	
		TOTAL		85	1.80		3121	66.24		235	4.99		137	2.91		908	19.27		109	2.31					117	2.48		4712	
	THIRD				Excluded		36	42.35		9	10.59		11	12.94		7	8.24		2	2.35					20	23.53		85	
		TOTAL					3157	67.00		244	5.18		148	3.14		915	19.42		111	2.36					137	2.91		4712	
	FOURTH						77	69.37		11	9.91		3	2.70		15	13.51			Excluded					5	4.50		111	
		TOTAL					3234	68.63		255	5.41		151	3.20		930	19.74								142	3.01		4712	
	FIFTH						69	48.59		11	7.75		22	15.49		40	28.17									Excluded		142	
		TOTAL					3303	70.10		266	5.65		173	3.67		970	20.59											4712	
	SIXTH						35	20.23		90	52.02			Excluded		48	27.75											173	
		TOTAL					3338	70.84		356	7.56					1018	21.60											4712	
	SEVENTH						128	35.96			Excluded					228	64.04											356	
		TOTAL					3466	73.56								1246	26.44											4712	
							Elected																						
																													
Kenthurst                                                      																													
	FIRST			20	0.83		1702	70.51		116	4.81		95	3.94		315	13.05		59	2.44		24	0.99		83	3.44		2414	
	SECOND			0	0.00		3	12.50		5	20.83		7	29.17		5	20.83		1	4.17			Excluded		3	12.50		24	
		TOTAL		20	0.83		1705	70.63		121	5.01		102	4.23		320	13.26		60	2.49					86	3.56		2414	
	THIRD				Excluded		9	45.00		1	5.00		4	20.00		1	5.00		0	0.00					5	25.00		20	
		TOTAL					1714	71.00		122	5.05		106	4.39		321	13.30		60	2.49					91	3.77		2414	
	FOURTH						47	78.33		1	1.67		3	5.00		4	6.67			Excluded					5	8.33		60	
		TOTAL					1761	72.95		123	5.10		109	4.52		325	13.46								96	3.98		2414	
	FIFTH						63	65.63		5	5.21		10	10.42		18	18.75									Excluded		96	
		TOTAL					1824	75.56		128	5.30		119	4.93		343	14.21											2414	
	SIXTH						17	14.29		67	56.30			Excluded		35	29.41											119	
		TOTAL					1841	76.26		195	8.08					378	15.66											2414	
	SEVENTH						78	40.00			Excluded					117	60.00											195	
		TOTAL					1919	79.49								495	20.51											2414	
							Elected																						
																													
Kilvinton                                                      																													
	FIRST			10	4.39		163	71.49		3	1.32		4	1.75		38	16.67		4	1.75		3	1.32		3	1.32		228	
	SECOND			0	0.00		1	33.33		0	0.00		2	66.67		0	0.00		0	0.00			Excluded		0	0.00		3	
		TOTAL		10	4.39		164	71.93		3	1.32		6	2.63		38	16.67		4	1.75					3	1.32		228	
	THIRD				Excluded		7	70.00		2	20.00		0	0.00		0	0.00		1	10.00					0	0.00		10	
		TOTAL					171	75.00		5	2.19		6	2.63		38	16.67		5	2.19					3	1.32		228	
	FOURTH						2	40.00		0	0.00		0	0.00		3	60.00			Excluded					0	0.00		5	
		TOTAL					173	75.88		5	2.19		6	2.63		41	17.98								3	1.32		228	
	FIFTH						0	0.00		0	0.00		1	33.33		2	66.67									Excluded		3	
		TOTAL					173	75.88		5	2.19		7	3.07		43	18.86											228	
	SIXTH						4	57.14		0	0.00			Excluded		3	42.86											7	
		TOTAL					177	77.63		5	2.19					46	20.18											228	
	SEVENTH						2	40.00			Excluded					3	60.00											5	
		TOTAL					179	78.51								49	21.49											228	
							Elected																						
																													
Maraylya (Mitchell)                                            																													
	FIRST			13	3.81		252	73.90		2	0.59		8	2.35		41	12.02		2	0.59		4	1.17		19	5.57		341	
	SECOND			0	0.00		0	0.00		0	0.00		4	100.00		0	0.00		0	0.00			Excluded		0	0.00		4	
		TOTAL		13	3.81		252	73.90		2	0.59		12	3.52		41	12.02		2	0.59					19	5.57		341	
	THIRD				Excluded		6	46.15		1	7.69		1	7.69		2	15.38		0	0.00					3	23.08		13	
		TOTAL					258	75.66		3	0.88		13	3.81		43	12.61		2	0.59					22	6.45		341	
	FOURTH						0	0.00		0	0.00		1	50.00		0	0.00			Excluded					1	50.00		2	
		TOTAL					258	75.66		3	0.88		14	4.11		43	12.61								23	6.74		341	
	FIFTH						14	60.87		1	4.35		5	21.74		3	13.04									Excluded		23	
		TOTAL					272	79.77		4	1.17		19	5.57		46	13.49											341	
	SIXTH						7	36.84		10	52.63			Excluded		2	10.53											19	
		TOTAL					279	81.82		14	4.11					48	14.08											341	
	SEVENTH						8	57.14			Excluded					6	42.86											14	
		TOTAL					287	84.16								54	15.84											341	
							Elected																						
																													
Matthew Pearce                                                 																													
	FIRST			26	1.71		897	58.90		47	3.09		40	2.63		448	29.42		23	1.51		9	0.59		33	2.17		1523	
	SECOND			1	11.11		2	22.22		1	11.11		3	33.33		2	22.22		0	0.00			Excluded		0	0.00		9	
		TOTAL		27	1.77		899	59.03		48	3.15		43	2.82		450	29.55		23	1.51					33	2.17		1523	
	THIRD				Excluded		9	33.33		3	11.11		2	7.41		4	14.81		1	3.70					8	29.63		27	
		TOTAL					908	59.62		51	3.35		45	2.95		454	29.81		24	1.58					41	2.69		1523	
	FOURTH						19	79.17		1	4.17		1	4.17		1	4.17			Excluded					2	8.33		24	
		TOTAL					927	60.87		52	3.41		46	3.02		455	29.88								43	2.82		1523	
	FIFTH						21	48.84		4	9.30		7	16.28		11	25.58									Excluded		43	
		TOTAL					948	62.25		56	3.68		53	3.48		466	30.60											1523	
	SIXTH						11	20.75		25	47.17			Excluded		17	32.08											53	
		TOTAL					959	62.97		81	5.32					483	31.71											1523	
	SEVENTH						33	40.74			Excluded					48	59.26											81	
		TOTAL					992	65.13								531	34.87											1523	
							Elected																						
																													
Model Farms                                                    																													
	FIRST			41	1.90		1278	59.14		106	4.91		53	2.45		559	25.87		27	1.25		22	1.02		75	3.47		2161	
	SECOND			3	13.64		2	9.09		4	18.18		5	22.73		2	9.09		4	18.18			Excluded		2	9.09		22	
		TOTAL		44	2.04		1280	59.23		110	5.09		58	2.68		561	25.96		31	1.43					77	3.56		2161	
	THIRD				Excluded		18	40.91		1	2.27		10	22.73		9	20.45		1	2.27					5	11.36		44	
		TOTAL					1298	60.06		111	5.14		68	3.15		570	26.38		32	1.48					82	3.79		2161	
	FOURTH						17	53.13		4	12.50		2	6.25		6	18.75			Excluded					3	9.38		32	
		TOTAL					1315	60.85		115	5.32		70	3.24		576	26.65								85	3.93		2161	
	FIFTH						43	50.59		13	15.29		8	9.41		21	24.71									Excluded		85	
		TOTAL					1358	62.84		128	5.92		78	3.61		597	27.63											2161	
	SIXTH						12	15.38		39	50.00			Excluded		27	34.62											78	
		TOTAL					1370	63.40		167	7.73					624	28.88											2161	
	SEVENTH						63	37.72			Excluded					104	62.28											167	
		TOTAL					1433	66.31								728	33.69											2161	
							Elected																						
																													
Mowll                                                          																													
	FIRST			4	0.94		333	77.99		7	1.64		7	1.64		59	13.82		11	2.58		1	0.23		5	1.17		427	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	100.00		1	
		TOTAL		4	0.94		333	77.99		7	1.64		7	1.64		59	13.82		11	2.58					6	1.41		427	
	THIRD				Excluded		4	100.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		4	
		TOTAL					337	78.92		7	1.64		7	1.64		59	13.82		11	2.58					6	1.41		427	
	FOURTH						7	63.64		1	9.09		0	0.00		1	9.09			Excluded					2	18.18		11	
		TOTAL					344	80.56		8	1.87		7	1.64		60	14.05								8	1.87		427	
	FIFTH						2	25.00		0	0.00		2	25.00		4	50.00									Excluded		8	
		TOTAL					346	81.03		8	1.87		9	2.11		64	14.99											427	
	SIXTH						2	22.22		6	66.67			Excluded		1	11.11											9	
		TOTAL					348	81.50		14	3.28					65	15.22											427	
	SEVENTH						5	35.71			Excluded					9	64.29											14	
		TOTAL					353	82.67								74	17.33											427	
							Elected																						
																													
Muirfield                                                      																													
	FIRST			17	1.30		757	57.83		103	7.87		49	3.74		322	24.60		29	2.22		5	0.38		27	2.06		1309	
	SECOND			1	20.00		0	0.00		1	20.00		1	20.00		1	20.00		0	0.00			Excluded		1	20.00		5	
