House of Representatives - 2001 Election: New South Wales																													
Distribution of Preferences																													
By Polling Place																													
																													
Reid																													
				CHAMAS			ARCHER			MAXWELL			LEDERMANN			MACDONALD			YUSUF			O'CONNOR			FERGUSON				
	FIRST			204	4.80		85	2.00		87	2.05		112	2.64		84	1.98		716	16.86		243	5.72		2715	63.94		4246	
	SECOND			6	7.14		6	7.14		25	29.76		5	5.95			Excluded		11	13.10		13	15.48		18	21.43		84	
		TOTAL		210	4.95		91	2.14		112	2.64		117	2.76					727	17.12		256	6.03		2733	64.37		4246	
	THIRD			6	5.13		11	9.40		7	5.98			Excluded					64	54.70		10	8.55		19	16.24		117	
		TOTAL		216	5.09		102	2.40		119	2.80								791	18.63		266	6.26		2752	64.81		4246	
	FOURTH			14	11.76		32	26.89			Excluded								11	9.24		11	9.24		51	42.86		119	
		TOTAL		230	5.42		134	3.16											802	18.89		277	6.52		2803	66.02		4246	
	FIFTH			43	32.09			Excluded											30	22.39		15	11.19		46	34.33		134	
		TOTAL		273	6.43														832	19.59		292	6.88		2849	67.10		4246	
	SIXTH			44	15.07														154	52.74			Excluded		94	32.19		292	
		TOTAL		317	7.47														986	23.22					2943	69.31		4246	
	SEVENTH				Excluded														222	70.03					95	29.97		317	
		TOTAL																	1208	28.45					3038	71.55		4246	
																									Elected				
																													
Cardinal Gilroy Village                                        																													
	FIRST			15	3.84		8	2.05		5	1.28		9	2.30		3	0.77		134	34.27		25	6.39		192	49.10		391	
	SECOND			1	33.33		0	0.00		0	0.00		1	33.33			Excluded		1	33.33		0	0.00		0	0.00		3	
		TOTAL		16	4.09		8	2.05		5	1.28		10	2.56					135	34.53		25	6.39		192	49.10		391	
	THIRD			0	0.00		2	20.00		1	10.00			Excluded					4	40.00		0	0.00		3	30.00		10	
		TOTAL		16	4.09		10	2.56		6	1.53								139	35.55		25	6.39		195	49.87		391	
	FOURTH			2	33.33		2	33.33			Excluded								0	0.00		1	16.67		1	16.67		6	
		TOTAL		18	4.60		12	3.07											139	35.55		26	6.65		196	50.13		391	
	FIFTH			3	25.00			Excluded											4	33.33		2	16.67		3	25.00		12	
		TOTAL		21	5.37														143	36.57		28	7.16		199	50.90		391	
	SIXTH			3	10.71														21	75.00			Excluded		4	14.29		28	
		TOTAL		24	6.14														164	41.94					203	51.92		391	
	SEVENTH				Excluded														14	58.33					10	41.67		24	
		TOTAL																	178	45.52					213	54.48		391	
																									Elected				
																													
Fowler Road                                                    																													
	FIRST			86	3.51		80	3.26		60	2.45		59	2.41		32	1.30		703	28.66		190	7.75		1243	50.67		2453	
	SECOND			2	6.25		2	6.25		10	31.25		3	9.38			Excluded		4	12.50		4	12.50		7	21.88		32	
		TOTAL		88	3.59		82	3.34		70	2.85		62	2.53					707	28.82		194	7.91		1250	50.96		2453	
	THIRD			2	3.23		9	14.52		11	17.74			Excluded					28	45.16		3	4.84		9	14.52		62	
		TOTAL		90	3.67		91	3.71		81	3.30								735	29.96		197	8.03		1259	51.32		2453	
	FOURTH			4	4.94		38	46.91			Excluded								8	9.88		7	8.64		24	29.63		81	
		TOTAL		94	3.83		129	5.26											743	30.29		204	8.32		1283	52.30		2453	
	FIFTH			28	21.71			Excluded											29	22.48		14	10.85		58	44.96		129	
		TOTAL		122	4.97														772	31.47		218	8.89		1341	54.67		2453	
	SIXTH			26	11.93														122	55.96			Excluded		70	32.11		218	
		TOTAL		148	6.03														894	36.45					1411	57.52		2453	
	SEVENTH				Excluded														96	64.86					52	35.14		148	
		TOTAL																	990	40.36					1463	59.64		2453	
																									Elected				
																													
Granville                                                      																													
	FIRST			176	6.16		78	2.73		91	3.19		87	3.05		48	1.68		506	17.71		91	3.19		1780	62.30		2857	
	SECOND			6	12.50		3	6.25		12	25.00		4	8.33			Excluded		11	22.92		4	8.33		8	16.67		48	
		TOTAL		182	6.37		81	2.84		103	3.61		91	3.19					517	18.10		95	3.33		1788	62.58		2857	
	THIRD			5	5.49		12	13.19		13	14.29			Excluded					29	31.87		9	9.89		23	25.27		91	
		TOTAL		187	6.55		93	3.26		116	4.06								546	19.11		104	3.64		1811	63.39		2857	
	FOURTH			17	14.66		49	42.24			Excluded								8	6.90		6	5.17		36	31.03		116	
		TOTAL		204	7.14		142	4.97											554	19.39		110	3.85		1847	64.65		2857	
	FIFTH			40	28.17			Excluded											27	19.01		9	6.34		66	46.48		142	
		TOTAL		244	8.54														581	20.34		119	4.17		1913	66.96		2857	
	SIXTH			30	25.21														44	36.97			Excluded		45	37.82		119	
		TOTAL		274	9.59														625	21.88					1958	68.53		2857	
	SEVENTH				Excluded														148	54.01					126	45.99		274	
		TOTAL																	773	27.06					2084	72.94		2857	
																									Elected				
																													
Granville North (Reid)                                         																													
	FIRST			33	5.25		19	3.02		17	2.70		14	2.23		6	0.95		141	22.42		20	3.18		379	60.25		629	
	SECOND			2	33.33		0	0.00		2	33.33		1	16.67			Excluded		0	0.00		0	0.00		1	16.67		6	
		TOTAL		35	5.56		19	3.02		19	3.02		15	2.38					141	22.42		20	3.18		380	60.41		629	
	THIRD			1	6.67		3	20.00		4	26.67			Excluded					4	26.67		1	6.67		2	13.33		15	
		TOTAL		36	5.72		22	3.50		23	3.66								145	23.05		21	3.34		382	60.73		629	
	FOURTH			5	21.74		13	56.52			Excluded								2	8.70		1	4.35		2	8.70		23	
		TOTAL		41	6.52		35	5.56											147	23.37		22	3.50		384	61.05		629	
	FIFTH			8	22.86			Excluded											15	42.86		2	5.71		10	28.57		35	
		TOTAL		49	7.79														162	25.76		24	3.82		394	62.64		629	
	SIXTH			3	12.50														11	45.83			Excluded		10	41.67		24	
		TOTAL		52	8.27														173	27.50					404	64.23		629	
	SEVENTH				Excluded														29	55.77					23	44.23		52	
		TOTAL																	202	32.11					427	67.89		629	
																									Elected				
																													
Granville South                                                																													
	FIRST			93	5.70		49	3.00		39	2.39		30	1.84		20	1.22		372	22.78		96	5.88		934	57.20		1633	
	SECOND			3	15.00		3	15.00		2	10.00		3	15.00			Excluded		1	5.00		5	25.00		3	15.00		20	
		TOTAL		96	5.88		52	3.18		41	2.51		33	2.02					373	22.84		101	6.18		937	57.38		1633	
	THIRD			1	3.03		3	9.09		7	21.21			Excluded					10	30.30		3	9.09		9	27.27		33	
		TOTAL		97	5.94		55	3.37		48	2.94								383	23.45		104	6.37		946	57.93		1633	
	FOURTH			6	12.50		25	52.08			Excluded								3	6.25		5	10.42		9	18.75		48	
		TOTAL		103	6.31		80	4.90											386	23.64		109	6.67		955	58.48		1633	
	FIFTH			25	31.25			Excluded											19	23.75		5	6.25		31	38.75		80	
		TOTAL		128	7.84														405	24.80		114	6.98		986	60.38		1633	
	SIXTH			15	13.16														47	41.23			Excluded		52	45.61		114	
		TOTAL		143	8.76														452	27.68					1038	63.56		1633	
	SEVENTH				Excluded														90	62.94					53	37.06		143	
		TOTAL																	542	33.19					1091	66.81		1633	
																									Elected				
																													
Guildford                                                      																													
	FIRST			90	4.77		60	3.18		51	2.70		59	3.13		26	1.38		444	23.54		103	5.46		1053	55.83		1886	
	SECOND			1	3.85		5	19.23		5	19.23		4	15.38			Excluded		4	15.38		4	15.38		3	11.54		26	
		TOTAL		91	4.83		65	3.45		56	2.97		63	3.34					448	23.75		107	5.67		1056	55.99		1886	
	THIRD			5	7.94		15	23.81		9	14.29			Excluded					18	28.57		5	7.94		11	17.46		63	
		TOTAL		96	5.09		80	4.24		65	3.45								466	24.71		112	5.94		1067	56.57		1886	
	FOURTH			7	10.77		33	50.77			Excluded								4	6.15		5	7.69		16	24.62		65	
		TOTAL		103	5.46		113	5.99											470	24.92		117	6.20		1083	57.42		1886	
	FIFTH			26	23.01			Excluded											26	23.01		13	11.50		48	42.48		113	
		TOTAL		129	6.84														496	26.30		130	6.89		1131	59.97		1886	
	SIXTH			16	12.31														63	48.46			Excluded		51	39.23		130	
		TOTAL		145	7.69														559	29.64					1182	62.67		1886	
	SEVENTH				Excluded														92	63.45					53	36.55		145	
		TOTAL																	651	34.52					1235	65.48		1886	
																									Elected				
																													
Guildford East                                                 																													
	FIRST			85	4.79		58	3.27		45	2.53		62	3.49		23	1.30		439	24.72		109	6.14		955	53.77		1776	
	SECOND			1	4.35		2	8.70		8	34.78		4	17.39			Excluded		2	8.70		4	17.39		2	8.70		23	
		TOTAL		86	4.84		60	3.38		53	2.98		66	3.72					441	24.83		113	6.36		957	53.89		1776	
	THIRD			3	4.55		8	12.12		10	15.15			Excluded					31	46.97		6	9.09		8	12.12		66	
		TOTAL		89	5.01		68	3.83		63	3.55								472	26.58		119	6.70		965	54.34		1776	
	FOURTH			15	23.81		26	41.27			Excluded								7	11.11		3	4.76		12	19.05		63	
		TOTAL		104	5.86		94	5.29											479	26.97		122	6.87		977	55.01		1776	
	FIFTH			30	31.91			Excluded											17	18.09		12	12.77		35	37.23		94	
		TOTAL		134	7.55														496	27.93		134	7.55		1012	56.98		1776	
	SIXTH			26	19.40														51	38.06			Excluded		57	42.54		134	
		TOTAL		160	9.01														547	30.80					1069	60.19		1776	
	SEVENTH				Excluded														112	70.00					48	30.00		160	
		TOTAL																	659	37.11					1117	62.89		1776	
																									Elected				
																													
Guildford West                                                 																													
	FIRST			55	2.24		82	3.34		61	2.49		47	1.92		38	1.55		665	27.10		301	12.27		1205	49.10		2454	
	SECOND			1	2.63		3	7.89		8	21.05		1	2.63			Excluded		7	18.42		9	23.68		9	23.68		38	
		TOTAL		56	2.28		85	3.46		69	2.81		48	1.96					672	27.38		310	12.63		1214	49.47		2454	
	THIRD			4	8.33		8	16.67		8	16.67			Excluded					16	33.33		5	10.42		7	14.58		48	
		TOTAL		60	2.44		93	3.79		77	3.14								688	28.04		315	12.84		1221	49.76		2454	
	FOURTH			7	9.09		38	49.35			Excluded								6	7.79		8	10.39		18	23.38		77	
		TOTAL		67	2.73		131	5.34											694	28.28		323	13.16		1239	50.49		2454	
	FIFTH			21	16.03			Excluded											34	25.95		17	12.98		59	45.04		131	
		TOTAL		88	3.59														728	29.67		340	13.85		1298	52.89		2454	
	SIXTH			32	9.41														204	60.00			Excluded		104	30.59		340	
		TOTAL		120	4.89														932	37.98					1402	57.13		2454	
	SEVENTH				Excluded														89	74.17					31	25.83		120	
		TOTAL																	1021	41.61					1433	58.39		2454	
																									Elected				
																													
Hilltop Road                                                   																													
	FIRST			147	4.27		115	3.34		89	2.58		107	3.11		51	1.48		983	28.53		254	7.37		1700	49.33		3446	
	SECOND			3	5.88		6	11.76		10	19.61		8	15.69			Excluded		12	23.53		8	15.69		4	7.84		51	
		TOTAL		150	4.35		121	3.51		99	2.87		115	3.34					995	28.87		262	7.60		1704	49.45		3446	
	THIRD			10	8.70		10	8.70		14	12.17			Excluded					54	46.96		6	5.22		21	18.26		115	
		TOTAL		160	4.64		131	3.80		113	3.28								1049	30.44		268	7.78		1725	50.06		3446	
	FOURTH			3	2.65		54	47.79			Excluded								15	13.27		7	6.19		34	30.09		113	
		TOTAL		163	4.73		185	5.37											1064	30.88		275	7.98		1759	51.04		3446	
	FIFTH			49	26.49			Excluded											41	22.16		16	8.65		79	42.70		185	
		TOTAL		212	6.15														1105	32.07		291	8.44		1838	53.34		3446	
	SIXTH			29	9.97														164	56.36			Excluded		98	33.68		291	
		TOTAL		241	6.99														1269	36.83					1936	56.18		3446	
	SEVENTH				Excluded														169	70.12					72	29.88		241	
		TOTAL																	1438	41.73					2008	58.27		3446	
																									Elected				
																													
Hyde Park                                                      																													
	FIRST			86	4.20		101	4.93		60	2.93		60	2.93		25	1.22		477	23.28		111	5.42		1129	55.10		2049	
	SECOND			0	0.00		3	12.00		7	28.00		3	12.00			Excluded		5	20.00		2	8.00		5	20.00		25	
		TOTAL		86	4.20		104	5.08		67	3.27		63	3.07					482	23.52		113	5.51		1134	55.34		2049	
	THIRD			7	11.11		3	4.76		8	12.70			Excluded					28	44.44		8	12.70		9	14.29		63	
		TOTAL		93	4.54		107	5.22		75	3.66								510	24.89		121	5.91		1143	55.78		2049	
	FOURTH			3	4.00		40	53.33			Excluded								10	13.33		8	10.67		14	18.67		75	
		TOTAL		96	4.69		147	7.17											520	25.38		129	6.30		1157	56.47		2049	
	FIFTH			23	15.65			Excluded											46	31.29		14	9.52		64	43.54		147	
		TOTAL		119	5.81														566	27.62		143	6.98		1221	59.59		2049	
	SIXTH			21	14.69														61	42.66			Excluded		61	42.66		143	
		TOTAL		140	6.83														627	30.60					1282	62.57		2049	
	SEVENTH				Excluded														75	53.57					65	46.43		140	
		TOTAL																	702	34.26					1347	65.74		2049	
																									Elected				
																													
Lidcombe                                                       																													
	FIRST			249	6.20		167	4.16		148	3.69		57	1.42		47	1.17		772	19.23		189	4.71		2385	59.42		4014	
	SECOND			5	10.64		3	6.38		14	29.79		7	14.89			Excluded		7	14.89		4	8.51		7	14.89		47	
		TOTAL		254	6.33		170	4.24		162	4.04		64	1.59					779	19.41		193	4.81		2392	59.59		4014	
	THIRD			7	10.94		14	21.88		15	23.44			Excluded					19	29.69		2	3.13		7	10.94		64	
		TOTAL		261	6.50		184	4.58		177	4.41								798	19.88		195	4.86		2399	59.77		4014	
	FOURTH			42	23.73		65	36.72			Excluded								17	9.60		11	6.21		42	23.73		177	
		TOTAL		303	7.55		249	6.20											815	20.30		206	5.13		2441	60.81		4014	
	FIFTH			76	30.52			Excluded											53	21.29		20	8.03		100	40.16		249	
		TOTAL		379	9.44														868	21.62		226	5.63		2541	63.30		4014	
	SIXTH			38	16.81														117	51.77			Excluded		71	31.42		226	
		TOTAL		417	10.39														985	24.54					2612	65.07		4014	
	SEVENTH				Excluded														183	43.88					234	56.12		417	
		TOTAL																	1168	29.10					2846	70.90		4014	
																									Elected				
																													
Lidcombe South                                                 																													
	FIRST			85	6.18		34	2.47		33	2.40		27	1.96		18	1.31		291	21.15		69	5.01		819	59.52		1376	
	SECOND			0	0.00		2	11.11		8	44.44		2	11.11			Excluded		4	22.22		1	5.56		1	5.56		18	
		TOTAL		85	6.18		36	2.62		41	2.98		29	2.11					295	21.44		70	5.09		820	59.59		1376	
	THIRD			4	13.79		2	6.90		11	37.93			Excluded					3	10.34		3	10.34		6	20.69		29	
		TOTAL		89	6.47		38	2.76		52	3.78								298	21.66		73	5.31		826	60.03		1376	
	FOURTH			9	17.31		17	32.69			Excluded								7	13.46		8	15.38		11	21.15		52	
		TOTAL		98	7.12		55	4.00											305	22.17		81	5.89		837	60.83		1376	
	FIFTH			20	36.36			Excluded											9	16.36		5	9.09		21	38.18		55	
		TOTAL		118	8.58														314	22.82		86	6.25		858	62.35		1376	
	SIXTH			14	16.28														34	39.53			Excluded		38	44.19		86	
		TOTAL		132	9.59														348	25.29					896	65.12		1376	
	SEVENTH				Excluded														66	50.00					66	50.00		132	
		TOTAL																	414	30.09					962	69.91		1376	
																									Elected				
																													
Merrylands                                                     																													
	FIRST			74	4.54		61	3.74		45	2.76		53	3.25		31	1.90		385	23.61		74	4.54		908	55.67		1631	
	SECOND			1	3.23		3	9.68		12	38.71		0	0.00			Excluded		3	9.68		5	16.13		7	22.58		31	
		TOTAL		75	4.60		64	3.92		57	3.49		53	3.25					388	23.79		79	4.84		915	56.10		1631	
	THIRD			0	0.00		6	11.32		8	15.09			Excluded					26	49.06		5	9.43		8	15.09		53	
		TOTAL		75	4.60		70	4.29		65	3.99								414	25.38		84	5.15		923	56.59		1631	
	FOURTH			5	7.69		28	43.08			Excluded								8	12.31		1	1.54		23	35.38		65	
		TOTAL		80	4.90		98	6.01											422	25.87		85	5.21		946	58.00		1631	
	FIFTH			26	26.53			Excluded											24	24.49		13	13.27		35	35.71		98	
		TOTAL		106	6.50														446	27.35		98	6.01		981	60.15		1631	
	SIXTH			17	17.35														46	46.94			Excluded		35	35.71		98	
		TOTAL		123	7.54														492	30.17					1016	62.29		1631	
	SEVENTH				Excluded														95	77.24					28	22.76		123	
		TOTAL																	587	35.99					1044	64.01		1631	
																									Elected				
																													
Merrylands East                                                																													
	FIRST			65	3.71		48	2.74		48	2.74		44	2.51		26	1.49		471	26.91		88	5.03		960	54.86		1750	
	SECOND			4	15.38		4	15.38		5	19.23		5	19.23			Excluded		6	23.08		1	3.85		1	3.85		26	
		TOTAL		69	3.94		52	2.97		53	3.03		49	2.80					477	27.26		89	5.09		961	54.91		1750	
	THIRD			2	4.08		8	16.33		4	8.16			Excluded					26	53.06		3	6.12		6	12.24		49	
		TOTAL		71	4.06		60	3.43		57	3.26								503	28.74		92	5.26		967	55.26		1750	
	FOURTH			7	12.28		27	47.37			Excluded								7	12.28		3	5.26		13	22.81		57	
		TOTAL		78	4.46		87	4.97											510	29.14		95	5.43		980	56.00		1750	
	FIFTH			24	27.59			Excluded											16	18.39		8	9.20		39	44.83		87	
		TOTAL		102	5.83														526	30.06		103	5.89		1019	58.23		1750	
	SIXTH			13	12.62														48	46.60			Excluded		42	40.78		103	
		TOTAL		115	6.57														574	32.80					1061	60.63		1750	
	SEVENTH				Excluded														73	63.48					42	36.52		115	
		TOTAL																	647	36.97					1103	63.03		1750	
																									Elected				
																													
Merrylands North                                               																													
	FIRST			78	3.97		72	3.66		54	2.75		44	2.24		16	0.81		511	25.98		83	4.22		1109	56.38		1967	
	SECOND			0	0.00		2	12.50		2	12.50		4	25.00			Excluded		5	31.25		1	6.25		2	12.50		16	
		TOTAL		78	3.97		74	3.76		56	2.85		48	2.44					516	26.23		84	4.27		1111	56.48		1967	
	THIRD			4	8.33		7	14.58		8	16.67			Excluded					17	35.42		2	4.17		10	20.83		48	
		TOTAL		82	4.17		81	4.12		64	3.25								533	27.10		86	4.37		1121	56.99		1967	
	FOURTH			9	14.06		25	39.06			Excluded								10	15.63		6	9.38		14	21.88		64	
		TOTAL		91	4.63		106	5.39											543	27.61		92	4.68		1135	57.70		1967	
	FIFTH			26	24.53			Excluded											25	23.58		15	14.15		40	37.74		106	
		TOTAL		117	5.95														568	28.88		107	5.44		1175	59.74		1967	
	SIXTH			23	21.50														38	35.51			Excluded		46	42.99		107	
		TOTAL		140	7.12														606	30.81					1221	62.07		1967	
	SEVENTH				Excluded														92	65.71					48	34.29		140	
		TOTAL																	698	35.49					1269	64.51		1967	
																									Elected				
																													
Merrylands West                                                																													
	FIRST			13	2.59		18	3.59		20	3.98		11	2.19		7	1.39		126	25.10		45	8.96		262	52.19		502	
	SECOND			0	0.00		1	14.29		1	14.29		1	14.29			Excluded		0	0.00		4	57.14		0	0.00		7	
		TOTAL		13	2.59		19	3.78		21	4.18		12	2.39					126	25.10		49	9.76		262	52.19		502	
	THIRD			0	0.00		2	16.67		1	8.33			Excluded					7	58.33		2	16.67		0	0.00		12	
		TOTAL		13	2.59		21	4.18		22	4.38								133	26.49		51	10.16		262	52.19		502	
	FOURTH			6	27.27		8	36.36			Excluded								4	18.18		1	4.55		3	13.64		22	
		TOTAL		19	3.78		29	5.78											137	27.29		52	10.36		265	52.79		502	
	FIFTH			6	20.69			Excluded											4	13.79		2	6.90		17	58.62		29	
		TOTAL		25	4.98														141	28.09		54	10.76		282	56.18		502	
	SIXTH			11	20.37														19	35.19			Excluded		24	44.44		54	
		TOTAL		36	7.17														160	31.87					306	60.96		502	
	SEVENTH				Excluded														30	83.33					6	16.67		36	
		TOTAL																	190	37.85					312	62.15		502	
																									Elected				
																													
Monterey Street                                                																													
	FIRST			12	4.00		6	2.00		9	3.00		5	1.67		5	1.67		83	27.67		19	6.33		161	53.67		300	
	SECOND			0	0.00		0	0.00		1	20.00		2	40.00			Excluded		2	40.00		0	0.00		0	0.00		5	
		TOTAL		12	4.00		6	2.00		10	3.33		7	2.33					85	28.33		19	6.33		161	53.67		300	
	THIRD			0	0.00		2	28.57		2	28.57			Excluded					2	28.57		1	14.29		0	0.00		7	
		TOTAL		12	4.00		8	2.67		12	4.00								87	29.00		20	6.67		161	53.67		300	
	FOURTH			3	25.00		6	50.00			Excluded								1	8.33		1	8.33		1	8.33		12	
		TOTAL		15	5.00		14	4.67											88	29.33		21	7.00		162	54.00		300	
	FIFTH			3	21.43			Excluded											2	14.29		3	21.43		6	42.86		14	
		TOTAL		18	6.00														90	30.00		24	8.00		168	56.00		300	
	SIXTH			5	20.83														12	50.00			Excluded		7	29.17		24	
		TOTAL		23	7.67														102	34.00					175	58.33		300	
	SEVENTH				Excluded														16	69.57					7	30.43		23	
		TOTAL																	118	39.33					182	60.67		300	
																									Elected				
																													
Old Guildford                                                  																													
	FIRST			35	4.03		29	3.34		13	1.50		22	2.53		12	1.38		211	24.31		44	5.07		502	57.83		868	
	SECOND			3	25.00		2	16.67		2	16.67		1	8.33			Excluded		1	8.33		3	25.00		0	0.00		12	
