House of Representatives - 2001 Election: New South Wales																																													
First Preference Votes and TCP																																													
By Candidate by Polling Place																																													

Blaxland (82779)																																													
	MCDERMOTT			VINNICOMBE			ANNY			# HATTON			SAYEGH			PETERSON			HAWAT			MCKAY			OSMOND			FORMAL			INFORMAL			TOTAL											
	Colin			Bob			Munther			Michael			Peter			Janne			Dario			Sonya			Les												Two Candidate Preferred								
	DEM			HAN			IND			ALP			IND			CTA			UNI			GRN			LP												# HATTON ALP			 OSMOND LP					
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%				
Condell Park North	36	5.03		39	5.45		6	0.84		325	45.39		4	0.56		28	3.91		13	1.82		16	2.23		249	34.78		716	91.68		65	8.32		781	1.00		395	55.17		321	44.83
Condell Park South	82	4.46		59	3.21		8	0.43		1189	64.62		42	2.28		25	1.36		35	1.90		39	2.12		361	19.62		1840	90.28		198	9.72		2038	2.62		1376	74.78		464	25.22
Enfield West	95	4.97		52	2.72		10	0.52		952	49.82		34	1.78		38	1.99		30	1.57		42	2.20		658	34.43		1911	91.74		172	8.26		2083	2.68		1130	59.13		781	40.87
Georges Hall	175	5.43		307	9.53		22	0.68		1310	40.67		34	1.06		102	3.17		8	0.25		129	4.00		1134	35.21		3221	92.53		260	7.47		3481	4.48		1668	51.79		1553	48.21
Gosling Park	66	4.91		78	5.80		14	1.04		681	50.67		46	3.42		15	1.12		24	1.79		30	2.23		390	29.02		1344	89.84		152	10.16		1496	1.92		816	60.71		528	39.29
Greenacre	232	5.49		128	3.03		22	0.52		2426	57.39		41	0.97		76	1.80		105	2.48		158	3.74		1039	24.58		4227	87.08		627	12.92		4854	6.25		2956	69.93		1271	30.07
Greenacre West	44	4.75		55	5.94		7	0.76		483	52.16		7	0.76		42	4.54		18	1.94		17	1.84		253	27.32		926	90.08		102	9.92		1028	1.32		583	62.96		343	37.04
Mount Lewis	68	4.61		55	3.73		5	0.34		794	53.79		25	1.69		38	2.57		40	2.71		33	2.24		418	28.32		1476	89.89		166	10.11		1642	2.11		933	63.21		543	36.79
Punchbowl (Blaxland)	119	5.22		65	2.85		12	0.53		1363	59.81		49	2.15		62	2.72		146	6.41		58	2.54		405	17.77		2279	88.68		291	11.32		2570	3.31		1633	71.65		646	28.35
Punchbowl Central	66	3.89		26	1.53		5	0.29		1004	59.23		39	2.30		57	3.36		70	4.13		27	1.59		401	23.66		1695	86.39		267	13.61		1962	2.52		1200	70.80		495	29.20
St Pauls	41	2.56		39	2.43		5	0.31		1071	66.77		11	0.69		22	1.37		36	2.24		29	1.81		350	21.82		1604	91.81		143	8.19		1747	2.25		1199	74.75		405	25.25			
Sefton	151	6.14		216	8.79		17	0.69		1245	50.65		26	1.06		24	0.98		39	1.59		42	1.71		698	28.40		2458	89.61		285	10.39		2743	3.53		1511	61.47		947	38.53			
Sydney (Blaxland)	9	9.89		4	4.40		2	2.20		47	51.65		1	1.10		3	3.30		0	0.00		7	7.69		18	19.78		91	91.92		8	8.08		99	0.13		70	76.92		21	23.08			
Villawood Central	18	4.23		20	4.69		3	0.70		326	76.53		3	0.70		3	0.70		10	2.35		4	0.94		39	9.15		426	90.45		45	9.55		471	0.61		366	85.92		60	14.08			
Villawood East	73	6.47		107	9.49		7	0.62		735	65.16		13	1.15		19	1.68		15	1.33		16	1.42		143	12.68		1128	88.40		148	11.60		1276	1.64		876	77.66		252	22.34			
Wiley Park West (Blaxland)	74	3.74		52	2.63		27	1.36		1303	65.84		34	1.72		30	1.52		121	6.11		54	2.73		284	14.35		1979	88.86		248	11.14		2227	2.87		1556	78.63		423	21.37			
Yagoona	117	4.56		175	6.83		11	0.43		1560	60.87		32	1.25		46	1.79		44	1.72		60	2.34		518	20.21		2563	88.72		326	11.28		2889	3.72		1799	70.19		764	29.81			
Yagoona West	55	4.07		93	6.89		10	0.74		798	59.11		15	1.11		24	1.78		20	1.48		28	2.07		307	22.74		1350	90.66		139	9.34		1489	1.92		918	68.00		432	32.00			
Special Hospitals	4	2.90		6	4.35		0	0.00		68	49.28		0	0.00		1	0.72		1	0.72		0	0.00		58	42.03		138	95.83		6	4.17		144	0.19		73	52.90		65	47.10			
Total Ordinary	2954	4.88		3573	5.90		354	0.58		33447	55.23		873	1.44		1273	2.10		1365	2.25		1492	2.46		15227	25.14		60558	89.84		6851	10.16		67409	86.73		39963	65.99		20595	34.01			
ABSENT	307	7.32		275	6.56		52	1.24		1842	43.94		56	1.34		149	3.55		73	1.74		225	5.37		1213	28.94		4192	90.21		455	9.79		4647	5.98		2555	60.95		1637	39.05			
POSTAL	68	2.80		204	8.40		11	0.45		1111	45.72		13	0.53		54	2.22		7	0.29		43	1.77		919	37.82		2430	97.67		58	2.33		2488	3.20		1322	54.40		1108	45.60			
PRE_POLL	94	4.08		169	7.34		20	0.87		1147	49.80		19	0.83		51	2.21		28	1.22		67	2.91		708	30.74		2303	94.62		131	5.38		2434	3.13		1395	60.57		908	39.43			
PROVISIONAL	38	5.97		27	4.24		6	0.94		409	64.21		14	2.20		8	1.26		20	3.14		12	1.88		103	16.17		637	85.27		110	14.73		747	0.96		490	76.92		147	23.08			
Division Summary	3461	4.94		4248	6.06		443	0.63		37956	54.13		975	1.39		1535	2.19		1493	2.13		1839	2.62		18170	25.91		70120	90.22		7605	9.78		77725	93.89		45725	65.21		24395	34.79			
																																												
																																									
																																									
																																									
																																									
