House of Representatives - 2001 Election: New South Wales											
Two Candidate Preferred Preference Flow Result											
By Polling Place by Division											
											
Parkes (83036)											
		Candidate		"KNAGGE, Joe"		                	"COBB, John"		                 	Total	
		Total	40	91	41.36		129	58.64		220	

	Dubbo North										
			1st Prefs	675	38.62		1073	61.38		1748	
		"REDFERN, Bob (HAN)"	276	137	49.64		139	50.36		276	
		"DUNLOP, Samantha (GRN)"	56	30	53.57		26	46.43		56	
		"WARD, Geoff (DEM)"	55	30	54.55		25	45.45		55	
		Total	387	872	40.84		1263	59.16		2135	

	Dubbo South										
			1st Prefs	580	36.27		1019	63.73		1599	
		"REDFERN, Bob (HAN)"	162	60	37.04		102	62.96		162	
		"DUNLOP, Samantha (GRN)"	86	59	68.60		27	31.40		86	
		"WARD, Geoff (DEM)"	70	37	52.86		33	47.14		70	
		Total	318	736	38.39		1181	61.61		1917	

	Dubbo West										
			1st Prefs	578	38.74		914	61.26		1492	
		"REDFERN, Bob (HAN)"	178	82	46.07		96	53.93		178	
		"DUNLOP, Samantha (GRN)"	50	27	54.00		23	46.00		50	
		"WARD, Geoff (DEM)"	59	30	50.85		29	49.15		59	
		Total	287	717	40.30		1062	59.70		1779	

	Emmagool										
			1st Prefs	9	9.38		87	90.63		96	
		"REDFERN, Bob (HAN)"	8	4	50.00		4	50.00		8	
		"DUNLOP, Samantha (GRN)"	2	1	50.00		1	50.00		2	
		"WARD, Geoff (DEM)"	2	0	0.00		2	100.00		2	
		Total	12	14	12.96		94	87.04		108	

	Euabalong										
			1st Prefs	35	34.31		67	65.69		102	
		"REDFERN, Bob (HAN)"	32	16	50.00		16	50.00		32	
		"DUNLOP, Samantha (GRN)"	2	0	0.00		2	100.00		2	
		"WARD, Geoff (DEM)"	4	4	100.00		0	0.00		4	
		Total	38	55	39.29		85	60.71		140	

	Eumungerie										
			1st Prefs	26	20.00		104	80.00		130	
		"REDFERN, Bob (HAN)"	50	26	52.00		24	48.00		50	
		"DUNLOP, Samantha (GRN)"	2	0	0.00		2	100.00		2	
		"WARD, Geoff (DEM)"	0	0	0.00		0	0.00		0	
		Total	52	52	28.57		130	71.43		182	

	Excelsior										
			1st Prefs	693	65.56		364	34.44		1057	
		"REDFERN, Bob (HAN)"	168	104	61.90		64	38.10		168	
		"DUNLOP, Samantha (GRN)"	28	15	53.57		13	46.43		28	
		"WARD, Geoff (DEM)"	27	14	51.85		13	48.15		27	
		Total	223	826	64.53		454	35.47		1280	

	Fifield										
			1st Prefs	13	24.07		41	75.93		54	
		"REDFERN, Bob (HAN)"	16	6	37.50		10	62.50		16	
		"DUNLOP, Samantha (GRN)"	0	0	0.00		0	0.00		0	
		"WARD, Geoff (DEM)"	2	2	100.00		0	0.00		2	
		Total	18	21	29.17		51	70.83		72	

	Forbes										
			1st Prefs	834	34.69		1570	65.31		2404	
		"REDFERN, Bob (HAN)"	318	175	55.03		143	44.97		318	
		"DUNLOP, Samantha (GRN)"	67	34	50.75		33	49.25		67	
		"WARD, Geoff (DEM)"	84	45	53.57		39	46.43		84	
		Total	469	1088	37.87		1785	62.13		2873	

	Forbes Hospital										
			1st Prefs	81	27.36		215	72.64		296	
		"REDFERN, Bob (HAN)"	30	16	53.33		14	46.67		30	
		"DUNLOP, Samantha (GRN)"	9	6	66.67		3	33.33		9	
		"WARD, Geoff (DEM)"	8	5	62.50		3	37.50		8	
		Total	47	108	31.49		235	68.51		343	

	Forbes North										
			1st Prefs	524	45.88		618	54.12		1142	
		"REDFERN, Bob (HAN)"	124	59	47.58		65	52.42		124	
		"DUNLOP, Samantha (GRN)"	29	10	34.48		19	65.52		29	
		"WARD, Geoff (DEM)"	23	16	69.57		7	30.43		23	
		Total	176	609	46.21		709	53.79		1318	

	Forbes South										
			1st Prefs	159	36.38		278	63.62		437	
		"REDFERN, Bob (HAN)"	45	22	48.89		23	51.11		45	
		"DUNLOP, Samantha (GRN)"	6	2	33.33		4	66.67		6	
		"WARD, Geoff (DEM)"	9	2	22.22		7	77.78		9	
		Total	60	185	37.22		312	62.78		497	

	Garema										
			1st Prefs	9	12.00		66	88.00		75	
		"REDFERN, Bob (HAN)"	8	3	37.50		5	62.50		8	
		"DUNLOP, Samantha (GRN)"	1	0	0.00		1	100.00		1	
		"WARD, Geoff (DEM)"	0	0	0.00		0	0.00		0	
		Total	9	12	14.29		72	85.71		84	

	Girilambone										
			1st Prefs	10	27.03		27	72.97		37	
		"REDFERN, Bob (HAN)"	12	6	50.00		6	50.00		12	
		"DUNLOP, Samantha (GRN)"	0	0	0.00		0	0.00		0	
		"WARD, Geoff (DEM)"	0	0	0.00		0	0.00		0	
		Total	12	16	32.65		33	67.35		49	

	Gordon Centre										
			1st Prefs	160	80.40		39	19.60		199	
		"REDFERN, Bob (HAN)"	7	4	57.14		3	42.86		7	
		"DUNLOP, Samantha (GRN)"	2	1	50.00		1	50.00		2	
		"WARD, Geoff (DEM)"	4	1	25.00		3	75.00		4	
		Total	13	166	78.30		46	21.70		212	

	Greenethorpe										
			1st Prefs	41	26.11		116	73.89		157	
		"REDFERN, Bob (HAN)"	20	9	45.00		11	55.00		20	
		"DUNLOP, Samantha (GRN)"	2	1	50.00		1	50.00		2	
		"WARD, Geoff (DEM)"	10	3	30.00		7	70.00		10	
		Total	32	54	28.57		135	71.43		189	

	Grenfell										
			1st Prefs	400	28.15		1021	71.85		1421	
		"REDFERN, Bob (HAN)"	164	67	40.85		97	59.15		164	
		"DUNLOP, Samantha (GRN)"	31	18	58.06		13	41.94		31	
		"WARD, Geoff (DEM)"	48	17	35.42		31	64.58		48	
		Total	243	502	30.17		1162	69.83		1664	

	Gunningbland										
			1st Prefs	7	8.05		80	91.95		87	
		"REDFERN, Bob (HAN)"	7	1	14.29		6	85.71		7	
		"DUNLOP, Samantha (GRN)"	1	0	0.00		1	100.00		1	
		"WARD, Geoff (DEM)"	0	0	0.00		0	0.00		0	
		Total	8	8	8.42		87	91.58		95	

	Hermidale										
			1st Prefs	7	7.22		90	92.78		97	
		"REDFERN, Bob (HAN)"	4	1	25.00		3	75.00		4	
		"DUNLOP, Samantha (GRN)"	1	0	0.00		1	100.00		1	
		"WARD, Geoff (DEM)"	1	0	0.00		1	100.00		1	
		Total	6	8	7.77		95	92.23		103	

	Hillside										
			1st Prefs	807	67.36		391	32.64		1198	
		"REDFERN, Bob (HAN)"	202	135	66.83		67	33.17		202	
		"DUNLOP, Samantha (GRN)"	21	12	57.14		9	42.86		21	
		"WARD, Geoff (DEM)"	25	15	60.00		10	40.00		25	
		Total	248	969	67.01		477	32.99		1446	

	Hillston										
			1st Prefs	260	34.62		491	65.38		751	
		"REDFERN, Bob (HAN)"	60	21	35.00		39	65.00		60	
		"DUNLOP, Samantha (GRN)"	21	10	47.62		11	52.38		21	
		"WARD, Geoff (DEM)"	24	13	54.17		11	45.83		24	
		Total	105	304	35.51		552	64.49		856	

	Ivanhoe										
			1st Prefs	30	24.19		94	75.81		124	
		"REDFERN, Bob (HAN)"	13	8	61.54		5	38.46		13	
		"DUNLOP, Samantha (GRN)"	2	2	100.00		0	0.00		2	
		"WARD, Geoff (DEM)"	4	3	75.00		1	25.00		4	
		Total	19	43	30.07		100	69.93		143	

	Lake Cargelligo										
			1st Prefs	228	29.84		536	70.16		764	
		"REDFERN, Bob (HAN)"	87	31	35.63		56	64.37		87	
		"DUNLOP, Samantha (GRN)"	24	14	58.33		10	41.67		24	
		"WARD, Geoff (DEM)"	16	10	62.50		6	37.50		16	
		Total	127	283	31.76		608	68.24		891	

	Lourdes Hospital										
			1st Prefs	196	42.42		266	57.58		462	
		"REDFERN, Bob (HAN)"	38	16	42.11		22	57.89		38	
		"DUNLOP, Samantha (GRN)"	8	2	25.00		6	75.00		8	
		"WARD, Geoff (DEM)"	13	9	69.23		4	30.77		13	
		Total	59	223	42.80		298	57.20		521	

	Menindee										
			1st Prefs	216	69.68		94	30.32		310	
		"REDFERN, Bob (HAN)"	59	37	62.71		22	37.29		59	
		"DUNLOP, Samantha (GRN)"	8	4	50.00		4	50.00		8	
		"WARD, Geoff (DEM)"	8	4	50.00		4	50.00		8	
		Total	75	261	67.79		124	32.21		385	

	Merriwagga										
			1st Prefs	9	18.37		40	81.63		49	
		"REDFERN, Bob (HAN)"	6	4	66.67		2	33.33		6	
		"DUNLOP, Samantha (GRN)"	0	0	0.00		0	0.00		0	
		"WARD, Geoff (DEM)"	1	0	0.00		1	100.00		1	
		Total	7	13	23.21		43	76.79		56	

	Mirrool										
			1st Prefs	2	3.17		61	96.83		63	
		"REDFERN, Bob (HAN)"	7	1	14.29		6	85.71		7	
		"DUNLOP, Samantha (GRN)"	1	1	100.00		0	0.00		1	
		"WARD, Geoff (DEM)"	0	0	0.00		0	0.00		0	
		Total	8	4	5.63		67	94.37		71	

	Morgan Street										
			1st Prefs	655	58.53		464	41.47		1119	
		"REDFERN, Bob (HAN)"	135	87	64.44		48	35.56		135	
		"DUNLOP, Samantha (GRN)"	24	14	58.33		10	41.67		24	
		"WARD, Geoff (DEM)"	45	22	48.89		23	51.11		45	
		Total	204	778	58.81		545	41.19		1323	

	Murrin Bridge										
			1st Prefs	41	83.67		8	16.33		49	
		"REDFERN, Bob (HAN)"	1	0	0.00		1	100.00		1	
		"DUNLOP, Samantha (GRN)"	0	0	0.00		0	0.00		0	
		"WARD, Geoff (DEM)"	3	1	33.33		2	66.67		3	
		Total	4	42	79.25		11	20.75		53	

	Narromine										
			1st Prefs	747	33.94		1454	66.06		2201	
		"REDFERN, Bob (HAN)"	254	144	56.69		110	43.31		254	
		"DUNLOP, Samantha (GRN)"	64	35	54.69		29	45.31		64	
		"WARD, Geoff (DEM)"	51	24	47.06		27	52.94		51	
		Total	369	950	36.96		1620	63.04		2570	

	Nevertire										
			1st Prefs	30	22.06		106	77.94		136	
		"REDFERN, Bob (HAN)"	20	8	40.00		12	60.00		20	
		"DUNLOP, Samantha (GRN)"	2	1	50.00		1	50.00		2	
		"WARD, Geoff (DEM)"	4	0	0.00		4	100.00		4	
		Total	26	39	24.07		123	75.93		162	

	Nymagee										
			1st Prefs	7	10.00		63	90.00		70	
		"REDFERN, Bob (HAN)"	14	4	28.57		10	71.43		14	
		"DUNLOP, Samantha (GRN)"	1	1	100.00		0	0.00		1	
		"WARD, Geoff (DEM)"	1	0	0.00		1	100.00		1	
		Total	16	12	13.95		74	86.05		86	

	Nyngan										
			1st Prefs	429	40.51		630	59.49		1059	
		"REDFERN, Bob (HAN)"	184	95	51.63		89	48.37		184	
		"DUNLOP, Samantha (GRN)"	21	9	42.86		12	57.14		21	
		"WARD, Geoff (DEM)"	28	11	39.29		17	60.71		28	
		Total	233	544	42.11		748	57.89		1292	

	Ootha										
			1st Prefs	1	2.78		35	97.22		36	
		"REDFERN, Bob (HAN)"	5	3	60.00		2	40.00		5	
		"DUNLOP, Samantha (GRN)"	1	0	0.00		1	100.00		1	
		"WARD, Geoff (DEM)"	1	0	0.00		1	100.00		1	
		Total	7	4	9.30		39	90.70		43	

	Orana Heights										
			1st Prefs	819	32.37		1711	67.63		2530	
		"REDFERN, Bob (HAN)"	234	107	45.73		127	54.27		234	
		"DUNLOP, Samantha (GRN)"	62	31	50.00		31	50.00		62	
		"WARD, Geoff (DEM)"	72	32	44.44		40	55.56		72	
		Total	368	989	34.13		1909	65.87		2898	

	Parkes										
			1st Prefs	532	37.86		873	62.14		1405	
		"REDFERN, Bob (HAN)"	151	61	40.40		90	59.60		151	
		"DUNLOP, Samantha (GRN)"	57	32	56.14		25	43.86		57	
		"WARD, Geoff (DEM)"	45	28	62.22		17	37.78		45	
		Total	253	653	39.38		1005	60.62		1658	

	Parkes East										
			1st Prefs	314	31.53		682	68.47		996	
		"REDFERN, Bob (HAN)"	90	45	50.00		45	50.00		90	
		"DUNLOP, Samantha (GRN)"	46	24	52.17		22	47.83		46	
		"WARD, Geoff (DEM)"	24	10	41.67		14	58.33		24	
		Total	160	393	34.00		763	66.00		1156	

	Parkes High										
			1st Prefs	229	36.82		393	63.18		622	
		"REDFERN, Bob (HAN)"	53	22	41.51		31	58.49		53	
		"DUNLOP, Samantha (GRN)"	37	24	64.86		13	35.14		37	
		"WARD, Geoff (DEM)"	20	9	45.00		11	55.00		20	
		Total	110	284	38.80		448	61.20		732	

	Parkes Hospital										
			1st Prefs	220	38.13		357	61.87		577	
		"REDFERN, Bob (HAN)"	44	10	22.73		34	77.27		44	
		"DUNLOP, Samantha (GRN)"	15	8	53.33		7	46.67		15	
		"WARD, Geoff (DEM)"	14	9	64.29		5	35.71		14	
		Total	73	247	38.00		403	62.00		650	

	Parkes South										
			1st Prefs	319	45.57		381	54.43		700	
		"REDFERN, Bob (HAN)"	91	42	46.15		49	53.85		91	
		"DUNLOP, Samantha (GRN)"	37	21	56.76		16	43.24		37	
		"WARD, Geoff (DEM)"	27	11	40.74		16	59.26		27	
		Total	155	393	45.96		462	54.04		855	

	Peak Hill										
			1st Prefs	229	34.44		436	65.56		665	
		"REDFERN, Bob (HAN)"	62	30	48.39		32	51.61		62	
		"DUNLOP, Samantha (GRN)"	10	6	60.00		4	40.00		10	
		"WARD, Geoff (DEM)"	23	8	34.78		15	65.22		23	
		Total	95	273	35.92		487	64.08		760	

	Quandialla										
			1st Prefs	39	22.81		132	77.19		171	
		"REDFERN, Bob (HAN)"	23	7	30.43		16	69.57		23	
		"DUNLOP, Samantha (GRN)"	7	3	42.86		4	57.14		7	
		"WARD, Geoff (DEM)"	6	3	50.00		3	50.00		6	
		Total	36	52	25.12		155	74.88		207	

	Rees Avenue										
			1st Prefs	364	42.57		491	57.43		855	
		"REDFERN, Bob (HAN)"	77	27	35.06		50	64.94		77	
		"DUNLOP, Samantha (GRN)"	22	13	59.09		9	40.91		22	
		"WARD, Geoff (DEM)"	24	8	33.33		16	66.67		24	
		Total	123	412	42.13		566	57.87		978	

	Sydney (Parkes)										
			1st Prefs	4	18.18		18	81.82		22	
		"REDFERN, Bob (HAN)"	1	0	0.00		1	100.00		1	
		"DUNLOP, Samantha (GRN)"	3	0	0.00		3	100.00		3	
		"WARD, Geoff (DEM)"	0	0	0.00		0	0.00		0	
		Total	4	4	15.38		22	84.62		26	

	Tallimba										
			1st Prefs	12	9.60		113	90.40		125	
		"REDFERN, Bob (HAN)"	21	5	23.81		16	76.19		21	
		"DUNLOP, Samantha (GRN)"	0	0	0.00		0	0.00		0	
		"WARD, Geoff (DEM)"	1	1	100.00		0	0.00		1	
		Total	22	18	12.24		129	87.76		147	

	Tibooburra										
			1st Prefs	25	40.32		37	59.68		62	
		"REDFERN, Bob (HAN)"	14	4	28.57		10	71.43		14	
		"DUNLOP, Samantha (GRN)"	3	2	66.67		1	33.33		3	
		"WARD, Geoff (DEM)"	3	1	33.33		2	66.67		3	
		Total	20	32	39.02		50	60.98		82	

	Tilpa										
			1st Prefs	7	20.00		28	80.00		35	
		"REDFERN, Bob (HAN)"	4	2	50.00		2	50.00		4	
		"DUNLOP, Samantha (GRN)"	1	1	100.00		0	0.00		1	
		"WARD, Geoff (DEM)"	3	2	66.67		1	33.33		3	
		Total	8	12	27.91		31	72.09		43	

	Tomingley										
			1st Prefs	35	22.01		124	77.99		159	
		"REDFERN, Bob (HAN)"	20	9	45.00		11	55.00		20	
		"DUNLOP, Samantha (GRN)"	2	0	0.00		2	100.00		2	
		"WARD, Geoff (DEM)"	3	2	66.67		1	33.33		3	
		Total	25	46	25.00		138	75.00		184	

	Tottenham										
			1st Prefs	75	21.49		274	78.51		349	
		"REDFERN, Bob (HAN)"	58	33	56.90		25	43.10		58	
		"DUNLOP, Samantha (GRN)"	2	2	100.00		0	0.00		2	
		"WARD, Geoff (DEM)"	8	3	37.50		5	62.50		8	
		Total	68	113	27.10		304	72.90		417	

	Trangie										
			1st Prefs	260	37.20		439	62.80		699	
		"REDFERN, Bob (HAN)"	57	25	43.86		32	56.14		57	
		"DUNLOP, Samantha (GRN)"	15	9	60.00		6	40.00		15	
		"WARD, Geoff (DEM)"	14	8	57.14		6	42.86		14	
		Total	86	302	38.47		483	61.53		785	

	Trundle										
			1st Prefs	80	18.87		344	81.13		424	
		"REDFERN, Bob (HAN)"	66	38	57.58		28	42.42		66	
		"DUNLOP, Samantha (GRN)"	3	2	66.67		1	33.33		3	
		"WARD, Geoff (DEM)"	5	1	20.00		4	80.00		5	
		Total	74	121	24.30		377	75.70		498	

	Tullamore										
			1st Prefs	56	22.76		190	77.24		246	
		"REDFERN, Bob (HAN)"	37	11	29.73		26	70.27		37	
		"DUNLOP, Samantha (GRN)"	3	0	0.00		3	100.00		3	
		"WARD, Geoff (DEM)"	6	1	16.67		5	83.33		6	
		Total	46	68	23.29		224	76.71		292	

	Tullibigeal										
			1st Prefs	13	7.47		161	92.53		174	
		"REDFERN, Bob (HAN)"	14	4	28.57		10	71.43		14	
		"DUNLOP, Samantha (GRN)"	5	2	40.00		3	60.00		5	
		"WARD, Geoff (DEM)"	0	0	0.00		0	0.00		0	
		Total	19	19	9.84		174	90.16		193	

	Ungarie										
			1st Prefs	74	22.49		255	77.51		329	
		"REDFERN, Bob (HAN)"	50	26	52.00		24	48.00		50	
		"DUNLOP, Samantha (GRN)"	8	1	12.50		7	87.50		8	
		"WARD, Geoff (DEM)"	9	3	33.33		6	66.67		9	
		Total	67	104	26.26		292	73.74		396	

	Warren										
			1st Prefs	424	40.61		620	59.39		1044	
		"REDFERN, Bob (HAN)"	140	66	47.14		74	52.86		140	
		"DUNLOP, Samantha (GRN)"	13	5	38.46		8	61.54		13	
		"WARD, Geoff (DEM)"	32	14	43.75		18	56.25		32	
		Total	185	509	41.42		720	58.58		1229	

	Warroo										
			1st Prefs	17	18.48		75	81.52		92	
		"REDFERN, Bob (HAN)"	11	5	45.45		6	54.55		11	
		"DUNLOP, Samantha (GRN)"	2	1	50.00		1	50.00		2	
		"WARD, Geoff (DEM)"	1	1	100.00		0	0.00		1	
		Total	14	24	22.64		82	77.36		106	

	Weethalle										
			1st Prefs	39	17.97		178	82.03		217	
		"REDFERN, Bob (HAN)"	25	12	48.00		13	52.00		25	
		"DUNLOP, Samantha (GRN)"	6	3	50.00		3	50.00		6	
		"WARD, Geoff (DEM)"	6	4	66.67		2	33.33		6	
		Total	37	58	22.83		196	77.17		254	

	West Wyalong										
			1st Prefs	386	29.44		925	70.56		1311	
		"REDFERN, Bob (HAN)"	248	149	60.08		99	39.92		248	
		"DUNLOP, Samantha (GRN)"	28	18	64.29		10	35.71		28	
		"WARD, Geoff (DEM)"	38	18	47.37		20	52.63		38	
		Total	314	571	35.14		1054	64.86		1625	

	White Cliffs										
			1st Prefs	23	28.40		58	71.60		81	
		"REDFERN, Bob (HAN)"	24	9	37.50		15	62.50		24	
		"DUNLOP, Samantha (GRN)"	3	1	33.33		2	66.67		3	
		"WARD, Geoff (DEM)"	2	1	50.00		1	50.00		2	
		Total	29	34	30.91		76	69.09		110	

	Wilcannia										
			1st Prefs	134	55.37		108	44.63		242	
		"REDFERN, Bob (HAN)"	23	10	43.48		13	56.52		23	
		"DUNLOP, Samantha (GRN)"	13	8	61.54		5	38.46		13	
		"WARD, Geoff (DEM)"	7	3	42.86		4	57.14		7	
		Total	43	155	54.39		130	45.61		285	

	Wirrinya										
			1st Prefs	6	7.23		77	92.77		83	
		"REDFERN, Bob (HAN)"	8	2	25.00		6	75.00		8	
		"DUNLOP, Samantha (GRN)"	4	3	75.00		1	25.00		4	
		"WARD, Geoff (DEM)"	1	0	0.00		1	100.00		1	
		Total	13	11	11.46		85	88.54		96	

	Wongarbon										
			1st Prefs	78	29.77		184	70.23		262	
		"REDFERN, Bob (HAN)"	41	15	36.59		26	63.41		41	
		"DUNLOP, Samantha (GRN)"	12	8	66.67		4	33.33		12	
		"WARD, Geoff (DEM)"	10	5	50.00		5	50.00		10	
		Total	63	106	32.62		219	67.38		325	

	Wyalong										
			1st Prefs	153	29.71		362	70.29		515	
		"REDFERN, Bob (HAN)"	119	64	53.78		55	46.22		119	
		"DUNLOP, Samantha (GRN)"	9	4	44.44		5	55.56		9	
		"WARD, Geoff (DEM)"	19	8	42.11		11	57.89		19	
		Total	147	229	34.59		433	65.41		662	

	Special Hospitals										
			1st Prefs	258	52.65		232	47.35		490	
		"REDFERN, Bob (HAN)"	23	8	34.78		15	65.22		23	
		"DUNLOP, Samantha (GRN)"	6	2	33.33		4	66.67		6	
