House of Representatives - 2001 Election: New South Wales																																							
First Preference Votes and TCP																																							
By Candidate by Polling Place																																							

Warringah (85405)																																							
	LAM			MACDONALD			HERAGHTY			# ABBOTT			BURRIDGE			FERGUSON			KELLY			FORMAL			INFORMAL			TOTAL											
	Keelah			Peter			Julie			Tony			Nina			Christine			David												Two Candidate Preferred								
	GRN			IND			ALP			LP			DEM			NGST			HAN												 MACDONALD IND			# ABBOTT LP					
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%				
Seaforth East	54	2.86		519	27.52		143	7.58		1102	58.43		40	2.12		10	0.53		18	0.95		1886	97.27		53	2.73		1939	2.42		731	38.76		1155	61.24			
Spit Junction	33	2.49		332	25.06		148	11.17		752	56.75		36	2.72		9	0.68		15	1.13		1325	96.79		44	3.21		1369	1.71		521	39.32		804	60.68			
Sydney (Warringah)	14	11.97		36	30.77		14	11.97		46	39.32		7	5.98		0	0.00		0	0.00		117	92.86		9	7.14		126	0.16		65	55.56		52	44.44			
Wingala	79	3.52		716	31.92		329	14.67		995	44.36		55	2.45		17	0.76		52	2.32		2243	95.65		102	4.35		2345	2.93		1157	51.58		1086	48.42			
Special Hospitals	2	1.08		24	12.90		36	19.35		120	64.52		1	0.54		0	0.00		3	1.61		186	93.94		12	6.06		198	0.25		57	30.65		129	69.35			
Total Ordinary	2180	3.42		18284	28.71		7488	11.76		32769	51.46		1559	2.45		313	0.49		1085	1.70		63678	96.61		2236	3.39		65914	82.37		28512	44.78		35166	55.22			
ABSENT	371	7.04		1112	21.10		736	13.97		2593	49.20		281	5.33		69	1.31		108	2.05		5270	95.87		227	4.13		5497	6.87		2257	42.83		3013	57.17			
POSTAL	63	2.17		611	21.07		345	11.90		1736	59.86		53	1.83		18	0.62		74	2.55		2900	98.81		35	1.19		2935	3.67		1026	35.38		1874	64.62			
PRE_POLL	207	4.03		1392	27.13		703	13.70		2539	49.48		182	3.55		33	0.64		75	1.46		5131	98.14		97	1.86		5228	6.53		2300	44.83		2831	55.17			
PROVISIONAL	38	9.18		91	21.98		80	19.32		179	43.24		17	4.11		4	0.97		5	1.21		414	92.83		32	7.17		446	0.56		213	51.45		201	48.55			
Division Summary	2859	3.69		21490	27.77		9352	12.08		39816	51.45		2092	2.70		437	0.56		1347	1.74		77393	96.72		2627	3.28		80020	93.69		34308	44.33		43085	55.67			
																																						
																																						
																																						
																																						
																																						
