House of Representatives - 2001 Election: New South Wales												
Two Candidate Preferred Preference Flow Result												
By Polling Place												
												
Bradfield (89832)												
		Candidate		"BLUNT, Kathie"		              	"NELSON, Brendan"		            	Total		
			1st Prefs	350	21.65		1267	78.35		1617		
		"BELL, David (GRN)"	122	81	66.39		41	33.61		122		
		"WEBECK, John (HAN)"	26	11	42.31		15	57.69		26		
		"WISZNIEWSKI, Witold (CTA)"	30	5	16.67		25	83.33		30		
		"BYRNE, Peter (DEM)"	111	58	52.25		53	47.75		111		
		Total	289	505	26.50		1401	73.50		1906		

	Gordon West											
			1st Prefs	319	22.25		1115	77.75		1434		
		"BELL, David (GRN)"	103	73	70.87		30	29.13		103		
		"WEBECK, John (HAN)"	31	9	29.03		22	70.97		31		
		"WISZNIEWSKI, Witold (CTA)"	33	6	18.18		27	81.82		33		
		"BYRNE, Peter (DEM)"	144	98	68.06		46	31.94		144		
		Total	311	505	28.94		1240	71.06		1745		

	Killara											
			1st Prefs	199	14.04		1218	85.96		1417		
		"BELL, David (GRN)"	81	53	65.43		28	34.57		81		
		"WEBECK, John (HAN)"	18	2	11.11		16	88.89		18		
		"WISZNIEWSKI, Witold (CTA)"	34	7	20.59		27	79.41		34		
		"BYRNE, Peter (DEM)"	71	41	57.75		30	42.25		71		
		Total	204	302	18.63		1319	81.37		1621		

	Killara East											
			1st Prefs	461	27.17		1236	72.83		1697		
		"BELL, David (GRN)"	148	123	83.11		25	16.89		148		
		"WEBECK, John (HAN)"	15	9	60.00		6	40.00		15		
		"WISZNIEWSKI, Witold (CTA)"	17	6	35.29		11	64.71		17		
		"BYRNE, Peter (DEM)"	103	62	60.19		41	39.81		103		
		Total	283	661	33.38		1319	66.62		1980		

	Kissing Point											
			1st Prefs	202	25.35		595	74.65		797		
		"BELL, David (GRN)"	65	43	66.15		22	33.85		65		
		"WEBECK, John (HAN)"	34	14	41.18		20	58.82		34		
		"WISZNIEWSKI, Witold (CTA)"	15	7	46.67		8	53.33		15		
		"BYRNE, Peter (DEM)"	55	38	69.09		17	30.91		55		
		Total	169	304	31.47		662	68.53		966		

	Lady Davidson Hospital											
			1st Prefs	18	13.74		113	86.26		131		
		"BELL, David (GRN)"	9	8	88.89		1	11.11		9		
		"WEBECK, John (HAN)"	5	2	40.00		3	60.00		5		
		"WISZNIEWSKI, Witold (CTA)"	2	0	0.00		2	100.00		2		
		"BYRNE, Peter (DEM)"	6	4	66.67		2	33.33		6		
		Total	22	32	20.92		121	79.08		153		

	Lindfield											
			1st Prefs	399	23.14		1325	76.86		1724		
		"BELL, David (GRN)"	144	111	77.08		33	22.92		144		
		"WEBECK, John (HAN)"	23	10	43.48		13	56.52		23		
		"WISZNIEWSKI, Witold (CTA)"	15	3	20.00		12	80.00		15		
		"BYRNE, Peter (DEM)"	148	103	69.59		45	30.41		148		
		Total	330	626	30.48		1428	69.52		2054		

	Lindfield East											
			1st Prefs	368	22.25		1286	77.75		1654		
		"BELL, David (GRN)"	133	97	72.93		36	27.07		133		
		"WEBECK, John (HAN)"	30	7	23.33		23	76.67		30		
		"WISZNIEWSKI, Witold (CTA)"	14	5	35.71		9	64.29		14		
		"BYRNE, Peter (DEM)"	160	100	62.50		60	37.50		160		
		Total	337	577	28.98		1414	71.02		1991		

	Lindfield North											
			1st Prefs	586	25.85		1681	74.15		2267		
		"BELL, David (GRN)"	214	160	74.77		54	25.23		214		
		"WEBECK, John (HAN)"	30	7	23.33		23	76.67		30		
		"WISZNIEWSKI, Witold (CTA)"	35	8	22.86		27	77.14		35		
		"BYRNE, Peter (DEM)"	196	136	69.39		60	30.61		196		
		Total	475	897	32.71		1845	67.29		2742		

	Lindfield West											
			1st Prefs	509	24.53		1566	75.47		2075		
		"BELL, David (GRN)"	162	126	77.78		36	22.22		162		
		"WEBECK, John (HAN)"	55	20	36.36		35	63.64		55		
		"WISZNIEWSKI, Witold (CTA)"	41	6	14.63		35	85.37		41		
		"BYRNE, Peter (DEM)"	151	101	66.89		50	33.11		151		
		Total	409	762	30.68		1722	69.32		2484		

	Mowbray (Bradfield)											
			1st Prefs	221	30.69		499	69.31		720		
		"BELL, David (GRN)"	59	41	69.49		18	30.51		59		
		"WEBECK, John (HAN)"	19	8	42.11		11	57.89		19		
		"WISZNIEWSKI, Witold (CTA)"	13	6	46.15		7	53.85		13		
		"BYRNE, Peter (DEM)"	86	50	58.14		36	41.86		86		
		Total	177	326	36.34		571	63.66		897		

	Pymble											
			1st Prefs	133	19.08		564	80.92		697		
		"BELL, David (GRN)"	33	22	66.67		11	33.33		33		
		"WEBECK, John (HAN)"	4	0	0.00		4	100.00		4		
		"WISZNIEWSKI, Witold (CTA)"	11	3	27.27		8	72.73		11		
		"BYRNE, Peter (DEM)"	51	33	64.71		18	35.29		51		
		Total	99	191	23.99		605	76.01		796		

	Pymble North											
			1st Prefs	362	17.56		1700	82.44		2062		
		"BELL, David (GRN)"	152	102	67.11		50	32.89		152		
		"WEBECK, John (HAN)"	29	6	20.69		23	79.31		29		
		"WISZNIEWSKI, Witold (CTA)"	32	12	37.50		20	62.50		32		
		"BYRNE, Peter (DEM)"	139	76	54.68		63	45.32		139		
		Total	352	558	23.12		1856	76.88		2414		

	Pymble West											
			1st Prefs	399	23.36		1309	76.64		1708		
		"BELL, David (GRN)"	155	112	72.26		43	27.74		155		
		"WEBECK, John (HAN)"	28	11	39.29		17	60.71		28		
		"WISZNIEWSKI, Witold (CTA)"	27	6	22.22		21	77.78		27		
		"BYRNE, Peter (DEM)"	182	113	62.09		69	37.91		182		
		Total	392	641	30.52		1459	69.48		2100		

	Roseville											
			1st Prefs	277	24.56		851	75.44		1128		
		"BELL, David (GRN)"	99	71	71.72		28	28.28		99		
		"WEBECK, John (HAN)"	21	10	47.62		11	52.38		21		
		"WISZNIEWSKI, Witold (CTA)"	11	1	9.09		10	90.91		11		
		"BYRNE, Peter (DEM)"	111	64	57.66		47	42.34		111		
		Total	242	423	30.88		947	69.12		1370		

	Roseville Chase											
			1st Prefs	189	22.34		657	77.66		846		
		"BELL, David (GRN)"	60	47	78.33		13	21.67		60		
		"WEBECK, John (HAN)"	12	6	50.00		6	50.00		12		
		"WISZNIEWSKI, Witold (CTA)"	13	5	38.46		8	61.54		13		
		"BYRNE, Peter (DEM)"	62	39	62.90		23	37.10		62		
		Total	147	286	28.80		707	71.20		993		

	Roseville East											
			1st Prefs	178	24.72		542	75.28		720		
		"BELL, David (GRN)"	59	41	69.49		18	30.51		59		
		"WEBECK, John (HAN)"	14	4	28.57		10	71.43		14		
		"WISZNIEWSKI, Witold (CTA)"	7	1	14.29		6	85.71		7		
		"BYRNE, Peter (DEM)"	76	54	71.05		22	28.95		76		
		Total	156	278	31.74		598	68.26		876		

	Roseville South											
			1st Prefs	328	31.72		706	68.28		1034		
		"BELL, David (GRN)"	89	63	70.79		26	29.21		89		
		"WEBECK, John (HAN)"	23	9	39.13		14	60.87		23		
		"WISZNIEWSKI, Witold (CTA)"	18	3	16.67		15	83.33		18		
		"BYRNE, Peter (DEM)"	83	57	68.67		26	31.33		83		
		Total	213	460	36.89		787	63.11		1247		

	St Ives											
			1st Prefs	216	17.39		1026	82.61		1242		
		"BELL, David (GRN)"	68	43	63.24		25	36.76		68		
		"WEBECK, John (HAN)"	23	5	21.74		18	78.26		23		
		"WISZNIEWSKI, Witold (CTA)"	7	0	0.00		7	100.00		7		
		"BYRNE, Peter (DEM)"	76	48	63.16		28	36.84		76		
		Total	174	312	22.03		1104	77.97		1416		

	St Ives Chase											
			1st Prefs	81	17.05		394	82.95		475		
		"BELL, David (GRN)"	34	24	70.59		10	29.41		34		
		"WEBECK, John (HAN)"	5	3	60.00		2	40.00		5		
		"WISZNIEWSKI, Witold (CTA)"	10	0	0.00		10	100.00		10		
		"BYRNE, Peter (DEM)"	31	19	61.29		12	38.71		31		
		Total	80	127	22.88		428	77.12		555		

	St Ives North											
			1st Prefs	390	15.52		2123	84.48		2513		
		"BELL, David (GRN)"	140	98	70.00		42	30.00		140		
		"WEBECK, John (HAN)"	32	7	21.88		25	78.13		32		
		"WISZNIEWSKI, Witold (CTA)"	44	8	18.18		36	81.82		44		
		"BYRNE, Peter (DEM)"	135	75	55.56		60	44.44		135		
		Total	351	578	20.18		2286	79.82		2864		

	St Ives Park											
			1st Prefs	238	15.17		1331	84.83		1569		
		"BELL, David (GRN)"	86	59	68.60		27	31.40		86		
		"WEBECK, John (HAN)"	21	3	14.29		18	85.71		21		
		"WISZNIEWSKI, Witold (CTA)"	23	6	26.09		17	73.91		23		
		"BYRNE, Peter (DEM)"	85	48	56.47		37	43.53		85		
		Total	215	354	19.84		1430	80.16		1784		

	St Ives South											
			1st Prefs	408	17.87		1875	82.13		2283		
		"BELL, David (GRN)"	110	82	74.55		28	25.45		110		
		"WEBECK, John (HAN)"	34	14	41.18		20	58.82		34		
		"WISZNIEWSKI, Witold (CTA)"	66	16	24.24		50	75.76		66		
		"BYRNE, Peter (DEM)"	137	72	52.55		65	47.45		137		
		Total	347	592	22.51		2038	77.49		2630		

	Sydney (Bradfield)											
			1st Prefs	35	36.84		60	63.16		95		
		"BELL, David (GRN)"	19	13	68.42		6	31.58		19		
		"WEBECK, John (HAN)"	1	0	0.00		1	100.00		1		
		"WISZNIEWSKI, Witold (CTA)"	2	0	0.00		2	100.00		2		
		"BYRNE, Peter (DEM)"	20	10	50.00		10	50.00		20		
		Total	42	58	42.34		79	57.66		137		

	Turramurra											
			1st Prefs	90	14.17		545	85.83		635		
		"BELL, David (GRN)"	31	22	70.97		9	29.03		31		
		"WEBECK, John (HAN)"	9	1	11.11		8	88.89		9		
		"WISZNIEWSKI, Witold (CTA)"	15	0	0.00		15	100.00		15		
		"BYRNE, Peter (DEM)"	17	8	47.06		9	52.94		17		
		Total	72	121	17.11		586	82.89		707		

	Turramurra Central											
			1st Prefs	283	18.61		1238	81.39		1521		
		"BELL, David (GRN)"	124	89	71.77		35	28.23		124		
		"WEBECK, John (HAN)"	40	10	25.00		30	75.00		40		
		"WISZNIEWSKI, Witold (CTA)"	24	5	20.83		19	79.17		24		
		"BYRNE, Peter (DEM)"	84	55	65.48		29	34.52		84		
		Total	272	442	24.65		1351	75.35		1793		

	Turramurra North											
			1st Prefs	375	17.64		1751	82.36		2126		
		"BELL, David (GRN)"	171	131	76.61		40	23.39		171		
		"WEBECK, John (HAN)"	45	14	31.11		31	68.89		45		
		"WISZNIEWSKI, Witold (CTA)"	54	5	9.26		49	90.74		54		
		"BYRNE, Peter (DEM)"	136	77	56.62		59	43.38		136		
		Total	406	602	23.78		1930	76.22		2532		

	Turramurra South											
			1st Prefs	554	25.86		1588	74.14		2142		
		"BELL, David (GRN)"	202	146	72.28		56	27.72		202		
		"WEBECK, John (HAN)"	47	15	31.91		32	68.09		47		
		"WISZNIEWSKI, Witold (CTA)"	54	15	27.78		39	72.22		54		
		"BYRNE, Peter (DEM)"	260	161	61.92		99	38.08		260		
		Total	563	891	32.94		1814	67.06		2705		

	Wahroonga											
			1st Prefs	298	15.18		1665	84.82		1963		
		"BELL, David (GRN)"	143	94	65.73		49	34.27		143		
		"WEBECK, John (HAN)"	42	16	38.10		26	61.90		42		
		"WISZNIEWSKI, Witold (CTA)"	38	13	34.21		25	65.79		38		
		"BYRNE, Peter (DEM)"	117	65	55.56		52	44.44		117		
		Total	340	486	21.10		1817	78.90		2303		

	Wahroonga East											
			1st Prefs	332	17.14		1605	82.86		1937		
		"BELL, David (GRN)"	142	100	70.42		42	29.58		142		
		"WEBECK, John (HAN)"	25	9	36.00		16	64.00		25		
		"WISZNIEWSKI, Witold (CTA)"	25	5	20.00		20	80.00		25		
		"BYRNE, Peter (DEM)"	126	72	57.14		54	42.86		126		
		Total	318	518	22.97		1737	77.03		2255		

	Warrawee											
			1st Prefs	482	20.71		1845	79.29		2327		
		"BELL, David (GRN)"	237	179	75.53		58	24.47		237		
		"WEBECK, John (HAN)"	51	13	25.49		38	74.51		51		
		"WISZNIEWSKI, Witold (CTA)"	53	8	15.09		45	84.91		53		
		"BYRNE, Peter (DEM)"	186	122	65.59		64	34.41		186		
		Total	527	804	28.17		2050	71.83		2854		

	Willoughby (Bradfield)											
			1st Prefs	140	31.04		311	68.96		451		
		"BELL, David (GRN)"	44	35	79.55		9	20.45		44		
		"WEBECK, John (HAN)"	8	4	50.00		4	50.00		8		
		"WISZNIEWSKI, Witold (CTA)"	8	3	37.50		5	62.50		8		
		"BYRNE, Peter (DEM)"	49	23	46.94		26	53.06		49		
		Total	109	205	36.61		355	63.39		560		

	Willoughby North (Bradfield)											
			1st Prefs	166	25.74		479	74.26		645		
		"BELL, David (GRN)"	70	62	88.57		8	11.43		70		
		"WEBECK, John (HAN)"	9	4	44.44		5	55.56		9		
		"WISZNIEWSKI, Witold (CTA)"	7	4	57.14		3	42.86		7		
		"BYRNE, Peter (DEM)"	73	45	61.64		28	38.36		73		
		Total	159	281	34.95		523	65.05		804		

	Special Hospitals											
			1st Prefs	146	12.72		1002	87.28		1148		
		"BELL, David (GRN)"	33	29	87.88		4	12.12		33		
		"WEBECK, John (HAN)"	12	5	41.67		7	58.33		12		
		"WISZNIEWSKI, Witold (CTA)"	14	4	28.57		10	71.43		14		
		"BYRNE, Peter (DEM)"	20	12	60.00		8	40.00		20		
		Total	79	196	15.97		1031	84.03		1227		

	Total Ordinary											
			1st Prefs	12921	22.78		43799	77.22		56720		
		"BELL, David (GRN)"	4456	3278	73.56		1178	26.44		4456		
		"WEBECK, John (HAN)"	1013	339	33.46		674	66.54		1013		
		"WISZNIEWSKI, Witold (CTA)"	980	226	23.06		754	76.94		980		
		"BYRNE, Peter (DEM)"	4450	2760	62.02		1690	37.98		4450		
		Total	10899	19524	28.87		48095	71.13		67619		

	ABSENT											
			1st Prefs	871	21.77		3130	78.23		4001		
		"BELL, David (GRN)"	545	381	69.91		164	30.09		545		
		"WEBECK, John (HAN)"	78	24	30.77		54	69.23		78		
		"WISZNIEWSKI, Witold (CTA)"	93	24	25.81		69	74.19		93		
		"BYRNE, Peter (DEM)"	444	271	61.04		173	38.96		444		
		Total	1160	1571	30.44		3590	69.56		5161		

	POSTAL											
			1st Prefs	532	16.25		2741	83.75		3273		
		"BELL, David (GRN)"	140	98	70.00		42	30.00		140		
		"WEBECK, John (HAN)"	79	27	34.18		52	65.82		79		
		"WISZNIEWSKI, Witold (CTA)"	44	10	22.73		34	77.27		44		
		"BYRNE, Peter (DEM)"	172	95	55.23		77	44.77		172		
		Total	435	762	20.55		2946	79.45		3708		

	PRE_POLL											
			1st Prefs	1073	27.70		2801	72.30		3874		
		"BELL, David (GRN)"	285	192	67.37		93	32.63		285		
		"WEBECK, John (HAN)"	71	24	33.80		47	66.20		71		
		"WISZNIEWSKI, Witold (CTA)"	78	24	30.77		54	69.23		78		
		"BYRNE, Peter (DEM)"	360	203	56.39		157	43.61		360		
		Total	794	1516	32.48		3152	67.52		4668		

	PROVISIONAL											
			1st Prefs	92	36.95		157	63.05		249		
		"BELL, David (GRN)"	25	15	60.00		10	40.00		25		
		"WEBECK, John (HAN)"	6	2	33.33		4	66.67		6		
		"WISZNIEWSKI, Witold (CTA)"	9	2	22.22		7	77.78		9		
		"BYRNE, Peter (DEM)"	17	9	52.94		8	47.06		17		
		Total	57	120	39.22		186	60.78		306		

	Division Summary											
			1st Prefs	15489	22.74		52628	77.26		68117		
		"BELL, David (GRN)"	5451	3964	72.72		1487	27.28		5451		
		"WEBECK, John (HAN)"	1247	416	33.36		831	66.64		1247		
		"WISZNIEWSKI, Witold (CTA)"	1204	286	23.75		918	76.25		1204		
		"BYRNE, Peter (DEM)"	5443	3338	61.33		2105	38.67		5443		
		Total	13345	23493	28.84		57969	71.16		81462		
												
