House of Representatives - 2001 Election: New South Wales 											
Two Candidate Preferred Preference Flow Result											
By Polling Place by Division											
											
Lyne (86901)											
		Candidate		"VAILE, Mark"		                	"STEVENS, Pat"		               	Total	
		"JIRMAN, Philip (DEM)"	9	7	77.78		2	22.22		9	
		"MULDOON, Graeme (CEC)"	1	1	100.00		0	0.00		1	
		Total	69	240	83.33		48	16.67		288	

	Coopernook										
			1st Prefs	162	55.86		128	44.14		290	
		"STANFIELD, Lynn (HAN)"	56	26	46.43		30	53.57		56	
		"SARA, Dane William (IND)"	6	1	16.67		5	83.33		6	
		"ISHERWOOD, Siobhan (GRN)"	4	2	50.00		2	50.00		4	
		"JIRMAN, Philip (DEM)"	15	11	73.33		4	26.67		15	
		"MULDOON, Graeme (CEC)"	1	1	100.00		0	0.00		1	
		Total	82	203	54.57		169	45.43		372	

	Crescent Head										
			1st Prefs	295	49.25		304	50.75		599	
		"STANFIELD, Lynn (HAN)"	122	58	47.54		64	52.46		122	
		"SARA, Dane William (IND)"	9	7	77.78		2	22.22		9	
		"ISHERWOOD, Siobhan (GRN)"	57	12	21.05		45	78.95		57	
		"JIRMAN, Philip (DEM)"	37	7	18.92		30	81.08		37	
		"MULDOON, Graeme (CEC)"	2	1	50.00		1	50.00		2	
		Total	227	380	46.00		446	54.00		826	

	Crowdy Head										
			1st Prefs	43	55.13		35	44.87		78	
		"STANFIELD, Lynn (HAN)"	16	5	31.25		11	68.75		16	
		"SARA, Dane William (IND)"	0	0	0.00		0	0.00		0	
		"ISHERWOOD, Siobhan (GRN)"	5	3	60.00		2	40.00		5	
		"JIRMAN, Philip (DEM)"	0	0	0.00		0	0.00		0	
		"MULDOON, Graeme (CEC)"	0	0	0.00		0	0.00		0	
		Total	21	51	51.52		48	48.48		99	

	Cundletown										
			1st Prefs	737	66.70		368	33.30		1105	
		"STANFIELD, Lynn (HAN)"	150	67	44.67		83	55.33		150	
		"SARA, Dane William (IND)"	18	12	66.67		6	33.33		18	
		"ISHERWOOD, Siobhan (GRN)"	27	8	29.63		19	70.37		27	
		"JIRMAN, Philip (DEM)"	30	13	43.33		17	56.67		30	
		"MULDOON, Graeme (CEC)"	2	0	0.00		2	100.00		2	
		Total	227	837	62.84		495	37.16		1332	

	Diamond Beach										
			1st Prefs	167	61.17		106	38.83		273	
		"STANFIELD, Lynn (HAN)"	24	18	75.00		6	25.00		24	
		"SARA, Dane William (IND)"	4	3	75.00		1	25.00		4	
		"ISHERWOOD, Siobhan (GRN)"	20	7	35.00		13	65.00		20	
		"JIRMAN, Philip (DEM)"	27	7	25.93		20	74.07		27	
		"MULDOON, Graeme (CEC)"	1	1	100.00		0	0.00		1	
		Total	76	203	58.17		146	41.83		349	

	Dunbogan										
			1st Prefs	274	54.04		233	45.96		507	
		"STANFIELD, Lynn (HAN)"	40	14	35.00		26	65.00		40	
		"SARA, Dane William (IND)"	16	11	68.75		5	31.25		16	
		"ISHERWOOD, Siobhan (GRN)"	22	10	45.45		12	54.55		22	
		"JIRMAN, Philip (DEM)"	12	2	16.67		10	83.33		12	
		"MULDOON, Graeme (CEC)"	0	0	0.00		0	0.00		0	
		Total	90	311	52.09		286	47.91		597	

	Dyers Crossing										
			1st Prefs	238	72.34		91	27.66		329	
		"STANFIELD, Lynn (HAN)"	45	19	42.22		26	57.78		45	
		"SARA, Dane William (IND)"	3	3	100.00		0	0.00		3	
		"ISHERWOOD, Siobhan (GRN)"	13	2	15.38		11	84.62		13	
		"JIRMAN, Philip (DEM)"	7	3	42.86		4	57.14		7	
		"MULDOON, Graeme (CEC)"	0	0	0.00		0	0.00		0	
		Total	68	265	66.75		132	33.25		397	

	Elands										
			1st Prefs	24	46.15		28	53.85		52	
		"STANFIELD, Lynn (HAN)"	13	7	53.85		6	46.15		13	
		"SARA, Dane William (IND)"	0	0	0.00		0	0.00		0	
		"ISHERWOOD, Siobhan (GRN)"	27	3	11.11		24	88.89		27	
		"JIRMAN, Philip (DEM)"	16	2	12.50		14	87.50		16	
		"MULDOON, Graeme (CEC)"	0	0	0.00		0	0.00		0	
		Total	56	36	33.33		72	66.67		108	

	Emerald Downs										
			1st Prefs	931	72.51		353	27.49		1284	
		"STANFIELD, Lynn (HAN)"	61	38	62.30		23	37.70		61	
		"SARA, Dane William (IND)"	9	2	22.22		7	77.78		9	
		"ISHERWOOD, Siobhan (GRN)"	34	16	47.06		18	52.94		34	
		"JIRMAN, Philip (DEM)"	31	8	25.81		23	74.19		31	
		"MULDOON, Graeme (CEC)"	1	1	100.00		0	0.00		1	
		Total	136	996	70.14		424	29.86		1420	

	Frederickton										
			1st Prefs	209	49.53		213	50.47		422	
		"STANFIELD, Lynn (HAN)"	109	51	46.79		58	53.21		109	
		"SARA, Dane William (IND)"	8	6	75.00		2	25.00		8	
		"ISHERWOOD, Siobhan (GRN)"	15	6	40.00		9	60.00		15	
		"JIRMAN, Philip (DEM)"	5	0	0.00		5	100.00		5	
		"MULDOON, Graeme (CEC)"	3	0	0.00		3	100.00		3	
		Total	140	272	48.40		290	51.60		562	

	Ghinni Ghinni										
			1st Prefs	58	73.42		21	26.58		79	
		"STANFIELD, Lynn (HAN)"	17	8	47.06		9	52.94		17	
		"SARA, Dane William (IND)"	0	0	0.00		0	0.00		0	
		"ISHERWOOD, Siobhan (GRN)"	0	0	0.00		0	0.00		0	
		"JIRMAN, Philip (DEM)"	2	1	50.00		1	50.00		2	
		"MULDOON, Graeme (CEC)"	1	1	100.00		0	0.00		1	
		Total	20	68	68.69		31	31.31		99	

	Gladstone (Lyne)										
			1st Prefs	133	79.17		35	20.83		168	
		"STANFIELD, Lynn (HAN)"	27	20	74.07		7	25.93		27	
		"SARA, Dane William (IND)"	2	1	50.00		1	50.00		2	
		"ISHERWOOD, Siobhan (GRN)"	4	2	50.00		2	50.00		4	
		"JIRMAN, Philip (DEM)"	4	2	50.00		2	50.00		4	
		"MULDOON, Graeme (CEC)"	1	1	100.00		0	0.00		1	
		Total	38	159	77.18		47	22.82		206	

	Hallidays Point										
			1st Prefs	381	66.61		191	33.39		572	
		"STANFIELD, Lynn (HAN)"	79	29	36.71		50	63.29		79	
		"SARA, Dane William (IND)"	4	4	100.00		0	0.00		4	
		"ISHERWOOD, Siobhan (GRN)"	24	5	20.83		19	79.17		24	
		"JIRMAN, Philip (DEM)"	37	16	43.24		21	56.76		37	
		"MULDOON, Graeme (CEC)"	2	1	50.00		1	50.00		2	
		Total	146	436	60.72		282	39.28		718	

	Hannam Vale										
			1st Prefs	91	63.19		53	36.81		144	
		"STANFIELD, Lynn (HAN)"	16	13	81.25		3	18.75		16	
		"SARA, Dane William (IND)"	4	2	50.00		2	50.00		4	
		"ISHERWOOD, Siobhan (GRN)"	18	5	27.78		13	72.22		18	
		"JIRMAN, Philip (DEM)"	8	2	25.00		6	75.00		8	
		"MULDOON, Graeme (CEC)"	1	1	100.00		0	0.00		1	
		Total	47	114	59.69		77	40.31		191	

	Harrington										
			1st Prefs	451	58.04		326	41.96		777	
		"STANFIELD, Lynn (HAN)"	175	80	45.71		95	54.29		175	
		"SARA, Dane William (IND)"	3	3	100.00		0	0.00		3	
		"ISHERWOOD, Siobhan (GRN)"	11	4	36.36		7	63.64		11	
		"JIRMAN, Philip (DEM)"	19	8	42.11		11	57.89		19	
		"MULDOON, Graeme (CEC)"	1	0	0.00		1	100.00		1	
		Total	209	546	55.38		440	44.62		986	

	Herons Creek										
			1st Prefs	87	62.59		52	37.41		139	
		"STANFIELD, Lynn (HAN)"	15	6	40.00		9	60.00		15	
		"SARA, Dane William (IND)"	1	1	100.00		0	0.00		1	
		"ISHERWOOD, Siobhan (GRN)"	2	0	0.00		2	100.00		2	
		"JIRMAN, Philip (DEM)"	9	2	22.22		7	77.78		9	
		"MULDOON, Graeme (CEC)"	1	0	0.00		1	100.00		1	
		Total	28	96	57.49		71	42.51		167	

	Hibbard										
			1st Prefs	604	66.23		308	33.77		912	
		"STANFIELD, Lynn (HAN)"	91	46	50.55		45	49.45		91	
		"SARA, Dane William (IND)"	12	9	75.00		3	25.00		12	
		"ISHERWOOD, Siobhan (GRN)"	17	6	35.29		11	64.71		17	
		"JIRMAN, Philip (DEM)"	22	9	40.91		13	59.09		22	
		"MULDOON, Graeme (CEC)"	3	1	33.33		2	66.67		3	
		Total	145	675	63.86		382	36.14		1057	

	Hollisdale										
			1st Prefs	67	77.91		19	22.09		86	
		"STANFIELD, Lynn (HAN)"	28	7	25.00		21	75.00		28	
		"SARA, Dane William (IND)"	3	1	33.33		2	66.67		3	
		"ISHERWOOD, Siobhan (GRN)"	10	1	10.00		9	90.00		10	
		"JIRMAN, Philip (DEM)"	2	1	50.00		1	50.00		2	
		"MULDOON, Graeme (CEC)"	0	0	0.00		0	0.00		0	
		Total	43	77	59.69		52	40.31		129	

	Huntingdon										
			1st Prefs	120	70.18		51	29.82		171	
		"STANFIELD, Lynn (HAN)"	13	6	46.15		7	53.85		13	
		"SARA, Dane William (IND)"	1	0	0.00		1	100.00		1	
		"ISHERWOOD, Siobhan (GRN)"	4	0	0.00		4	100.00		4	
		"JIRMAN, Philip (DEM)"	6	2	33.33		4	66.67		6	
		"MULDOON, Graeme (CEC)"	1	1	100.00		0	0.00		1	
		Total	25	129	65.82		67	34.18		196	

	Johns River										
			1st Prefs	123	69.89		53	30.11		176	
		"STANFIELD, Lynn (HAN)"	27	20	74.07		7	25.93		27	
		"SARA, Dane William (IND)"	6	3	50.00		3	50.00		6	
		"ISHERWOOD, Siobhan (GRN)"	4	2	50.00		2	50.00		4	
		"JIRMAN, Philip (DEM)"	5	1	20.00		4	80.00		5	
		"MULDOON, Graeme (CEC)"	2	2	100.00		0	0.00		2	
		Total	44	151	68.64		69	31.36		220	

	Kempsey										
			1st Prefs	388	56.81		295	43.19		683	
		"STANFIELD, Lynn (HAN)"	148	71	47.97		77	52.03		148	
		"SARA, Dane William (IND)"	19	9	47.37		10	52.63		19	
		"ISHERWOOD, Siobhan (GRN)"	33	9	27.27		24	72.73		33	
		"JIRMAN, Philip (DEM)"	26	9	34.62		17	65.38		26	
		"MULDOON, Graeme (CEC)"	1	1	100.00		0	0.00		1	
		Total	227	487	53.52		423	46.48		910	

	Kempsey East										
			1st Prefs	508	64.96		274	35.04		782	
		"STANFIELD, Lynn (HAN)"	122	53	43.44		69	56.56		122	
		"SARA, Dane William (IND)"	10	2	20.00		8	80.00		10	
		"ISHERWOOD, Siobhan (GRN)"	33	13	39.39		20	60.61		33	
		"JIRMAN, Philip (DEM)"	19	9	47.37		10	52.63		19	
		"MULDOON, Graeme (CEC)"	3	1	33.33		2	66.67		3	
		Total	187	586	60.47		383	39.53		969	

	Kempsey High										
			1st Prefs	627	57.58		462	42.42		1089	
		"STANFIELD, Lynn (HAN)"	216	95	43.98		121	56.02		216	
		"SARA, Dane William (IND)"	32	17	53.13		15	46.88		32	
		"ISHERWOOD, Siobhan (GRN)"	30	9	30.00		21	70.00		30	
		"JIRMAN, Philip (DEM)"	30	15	50.00		15	50.00		30	
		"MULDOON, Graeme (CEC)"	5	2	40.00		3	60.00		5	
		Total	313	765	54.56		637	45.44		1402	

	Kempsey Hospital										
			1st Prefs	100	50.00		100	50.00		200	
		"STANFIELD, Lynn (HAN)"	29	9	31.03		20	68.97		29	
		"SARA, Dane William (IND)"	5	5	100.00		0	0.00		5	
		"ISHERWOOD, Siobhan (GRN)"	0	0	0.00		0	0.00		0	
		"JIRMAN, Philip (DEM)"	7	3	42.86		4	57.14		7	
		"MULDOON, Graeme (CEC)"	1	0	0.00		1	100.00		1	
		Total	42	117	48.35		125	51.65		242	

	Kempsey South										
			1st Prefs	382	52.33		348	47.67		730	
		"STANFIELD, Lynn (HAN)"	188	74	39.36		114	60.64		188	
		"SARA, Dane William (IND)"	20	14	70.00		6	30.00		20	
		"ISHERWOOD, Siobhan (GRN)"	32	7	21.88		25	78.13		32	
		"JIRMAN, Philip (DEM)"	27	9	33.33		18	66.67		27	
		"MULDOON, Graeme (CEC)"	4	3	75.00		1	25.00		4	
		Total	271	489	48.85		512	51.15		1001	

	Kempsey West										
			1st Prefs	373	56.01		293	43.99		666	
		"STANFIELD, Lynn (HAN)"	122	49	40.16		73	59.84		122	
		"SARA, Dane William (IND)"	7	5	71.43		2	28.57		7	
		"ISHERWOOD, Siobhan (GRN)"	35	14	40.00		21	60.00		35	
		"JIRMAN, Philip (DEM)"	29	13	44.83		16	55.17		29	
		"MULDOON, Graeme (CEC)"	2	0	0.00		2	100.00		2	
		Total	195	454	52.73		407	47.27		861	

	Kendall										
			1st Prefs	381	64.36		211	35.64		592	
		"STANFIELD, Lynn (HAN)"	59	32	54.24		27	45.76		59	
		"SARA, Dane William (IND)"	10	6	60.00		4	40.00		10	
		"ISHERWOOD, Siobhan (GRN)"	34	5	14.71		29	85.29		34	
		"JIRMAN, Philip (DEM)"	36	11	30.56		25	69.44		36	
		"MULDOON, Graeme (CEC)"	3	1	33.33		2	66.67		3	
		Total	142	436	59.40		298	40.60		734	

	Kew										
			1st Prefs	200	66.89		99	33.11		299	
		"STANFIELD, Lynn (HAN)"	35	23	65.71		12	34.29		35	
		"SARA, Dane William (IND)"	7	3	42.86		4	57.14		7	
		"ISHERWOOD, Siobhan (GRN)"	14	5	35.71		9	64.29		14	
		"JIRMAN, Philip (DEM)"	10	0	0.00		10	100.00		10	
		"MULDOON, Graeme (CEC)"	1	1	100.00		0	0.00		1	
		Total	67	232	63.39		134	36.61		366	

	Killabakh										
			1st Prefs	65	65.66		34	34.34		99	
		"STANFIELD, Lynn (HAN)"	8	3	37.50		5	62.50		8	
		"SARA, Dane William (IND)"	1	1	100.00		0	0.00		1	
		"ISHERWOOD, Siobhan (GRN)"	11	2	18.18		9	81.82		11	
		"JIRMAN, Philip (DEM)"	3	1	33.33		2	66.67		3	
		"MULDOON, Graeme (CEC)"	0	0	0.00		0	0.00		0	
		Total	23	72	59.02		50	40.98		122	

	Kings Creek										
			1st Prefs	186	75.92		59	24.08		245	
		"STANFIELD, Lynn (HAN)"	36	19	52.78		17	47.22		36	
		"SARA, Dane William (IND)"	3	2	66.67		1	33.33		3	
		"ISHERWOOD, Siobhan (GRN)"	4	4	100.00		0	0.00		4	
		"JIRMAN, Philip (DEM)"	8	5	62.50		3	37.50		8	
		"MULDOON, Graeme (CEC)"	0	0	0.00		0	0.00		0	
		Total	51	216	72.97		80	27.03		296	

	Krambach										
			1st Prefs	170	66.15		87	33.85		257	
		"STANFIELD, Lynn (HAN)"	72	33	45.83		39	54.17		72	
		"SARA, Dane William (IND)"	6	3	50.00		3	50.00		6	
		"ISHERWOOD, Siobhan (GRN)"	10	2	20.00		8	80.00		10	
		"JIRMAN, Philip (DEM)"	10	3	30.00		7	70.00		10	
		"MULDOON, Graeme (CEC)"	6	2	33.33		4	66.67		6	
		Total	104	213	59.00		148	41.00		361	

	Kundabung										
			1st Prefs	80	64.52		44	35.48		124	
		"STANFIELD, Lynn (HAN)"	50	13	26.00		37	74.00		50	
		"SARA, Dane William (IND)"	6	6	100.00		0	0.00		6	
		"ISHERWOOD, Siobhan (GRN)"	8	3	37.50		5	62.50		8	
		"JIRMAN, Philip (DEM)"	7	1	14.29		6	85.71		7	
		"MULDOON, Graeme (CEC)"	0	0	0.00		0	0.00		0	
		Total	71	103	52.82		92	47.18		195	

	Lake Cathie										
			1st Prefs	570	55.77		452	44.23		1022	
		"STANFIELD, Lynn (HAN)"	98	48	48.98		50	51.02		98	
		"SARA, Dane William (IND)"	9	6	66.67		3	33.33		9	
		"ISHERWOOD, Siobhan (GRN)"	58	16	27.59		42	72.41		58	
		"JIRMAN, Philip (DEM)"	43	21	48.84		22	51.16		43	
		"MULDOON, Graeme (CEC)"	3	1	33.33		2	66.67		3	
		Total	211	662	53.69		571	46.31		1233	

	Lansdowne										
			1st Prefs	250	60.24		165	39.76		415	
		"STANFIELD, Lynn (HAN)"	93	36	38.71		57	61.29		93	
		"SARA, Dane William (IND)"	6	4	66.67		2	33.33		6	
		"ISHERWOOD, Siobhan (GRN)"	10	3	30.00		7	70.00		10	
		"JIRMAN, Philip (DEM)"	12	3	25.00		9	75.00		12	
		"MULDOON, Graeme (CEC)"	0	0	0.00		0	0.00		0	
		Total	121	296	55.22		240	44.78		536	

	Laurieton										
			1st Prefs	894	59.36		612	40.64		1506	
		"STANFIELD, Lynn (HAN)"	141	66	46.81		75	53.19		141	
		"SARA, Dane William (IND)"	29	21	72.41		8	27.59		29	
		"ISHERWOOD, Siobhan (GRN)"	38	11	28.95		27	71.05		38	
		"JIRMAN, Philip (DEM)"	40	11	27.50		29	72.50		40	
		"MULDOON, Graeme (CEC)"	1	1	100.00		0	0.00		1	
		Total	249	1004	57.21		751	42.79		1755	

	Long Flat										
			1st Prefs	136	72.34		52	27.66		188	
		"STANFIELD, Lynn (HAN)"	21	15	71.43		6	28.57		21	
		"SARA, Dane William (IND)"	0	0	0.00		0	0.00		0	
		"ISHERWOOD, Siobhan (GRN)"	7	1	14.29		6	85.71		7	
		"JIRMAN, Philip (DEM)"	4	2	50.00		2	50.00		4	
		"MULDOON, Graeme (CEC)"	0	0	0.00		0	0.00		0	
		Total	32	154	70.00		66	30.00		220	

	Lorne										
			1st Prefs	74	77.89		21	22.11		95	
		"STANFIELD, Lynn (HAN)"	8	8	100.00		0	0.00		8	
		"SARA, Dane William (IND)"	2	2	100.00		0	0.00		2	
		"ISHERWOOD, Siobhan (GRN)"	5	4	80.00		1	20.00		5	
		"JIRMAN, Philip (DEM)"	3	3	100.00		0	0.00		3	
		"MULDOON, Graeme (CEC)"	1	1	100.00		0	0.00		1	
		Total	19	92	80.70		22	19.30		114	

	Manning Point										
			1st Prefs	76	47.80		83	52.20		159	
		"STANFIELD, Lynn (HAN)"	20	12	60.00		8	40.00		20	
		"SARA, Dane William (IND)"	1	0	0.00		1	100.00		1	
		"ISHERWOOD, Siobhan (GRN)"	2	1	50.00		1	50.00		2	
		"JIRMAN, Philip (DEM)"	3	2	66.67		1	33.33		3	
		"MULDOON, Graeme (CEC)"	2	1	50.00		1	50.00		2	
		Total	28	92	49.20		95	50.80		187	

	Marlee										
			1st Prefs	74	50.00		74	50.00		148	
		"STANFIELD, Lynn (HAN)"	22	14	63.64		8	36.36		22	
		"SARA, Dane William (IND)"	3	2	66.67		1	33.33		3	
		"ISHERWOOD, Siobhan (GRN)"	24	1	4.17		23	95.83		24	
		"JIRMAN, Philip (DEM)"	8	0	0.00		8	100.00		8	
		"MULDOON, Graeme (CEC)"	0	0	0.00		0	0.00		0	
		Total	57	91	44.39		114	55.61		205	

	Mitchells Island										
			1st Prefs	121	64.02		68	35.98		189	
		"STANFIELD, Lynn (HAN)"	19	10	52.63		9	47.37		19	
		"SARA, Dane William (IND)"	2	1	50.00		1	50.00		2	
		"ISHERWOOD, Siobhan (GRN)"	9	3	33.33		6	66.67		9	
		"JIRMAN, Philip (DEM)"	6	4	66.67		2	33.33		6	
		"MULDOON, Graeme (CEC)"	0	0	0.00		0	0.00		0	
		Total	36	139	61.78		86	38.22		225	

	Moorland										
			1st Prefs	159	67.95		75	32.05		234	
		"STANFIELD, Lynn (HAN)"	40	26	65.00		14	35.00		40	
		"SARA, Dane William (IND)"	3	2	66.67		1	33.33		3	
		"ISHERWOOD, Siobhan (GRN)"	10	3	30.00		7	70.00		10	
		"JIRMAN, Philip (DEM)"	12	4	33.33		8	66.67		12	
		"MULDOON, Graeme (CEC)"	1	1	100.00		0	0.00		1	
		Total	66	195	65.00		105	35.00		300	

	Mount George										
			1st Prefs	111	67.68		53	32.32		164	
		"STANFIELD, Lynn (HAN)"	34	21	61.76		13	38.24		34	
		"SARA, Dane William (IND)"	6	4	66.67		2	33.33		6	
		"ISHERWOOD, Siobhan (GRN)"	7	4	57.14		3	42.86		7	
		"JIRMAN, Philip (DEM)"	4	0	0.00		4	100.00		4	
		"MULDOON, Graeme (CEC)"	2	0	0.00		2	100.00		2	
		Total	53	140	64.52		77	35.48		217	

	North Haven										
			1st Prefs	619	57.96		449	42.04		1068	
		"STANFIELD, Lynn (HAN)"	124	65	52.42		59	47.58		124	
		"SARA, Dane William (IND)"	12	8	66.67		4	33.33		12	
		"ISHERWOOD, Siobhan (GRN)"	19	8	42.11		11	57.89		19	
		"JIRMAN, Philip (DEM)"	20	8	40.00		12	60.00		20	
		"MULDOON, Graeme (CEC)"	1	1	100.00		0	0.00		1	
		Total	176	709	56.99		535	43.01		1244	

	Old Bar										
			1st Prefs	967	52.99		858	47.01		1825	
		"STANFIELD, Lynn (HAN)"	154	75	48.70		79	51.30		154	
		"SARA, Dane William (IND)"	14	10	71.43		4	28.57		14	
		"ISHERWOOD, Siobhan (GRN)"	50	16	32.00		34	68.00		50	
		"JIRMAN, Philip (DEM)"	80	29	36.25		51	63.75		80	
		"MULDOON, Graeme (CEC)"	1	0	0.00		1	100.00		1	
		Total	299	1097	51.65		1027	48.35		2124	

	Oxley Island										
			1st Prefs	93	65.96		48	34.04		141	
		"STANFIELD, Lynn (HAN)"	22	12	54.55		10	45.45		22	
		"SARA, Dane William (IND)"	0	0	0.00		0	0.00		0	
		"ISHERWOOD, Siobhan (GRN)"	4	1	25.00		3	75.00		4	
		"JIRMAN, Philip (DEM)"	10	3	30.00		7	70.00		10	
		"MULDOON, Graeme (CEC)"	1	1	100.00		0	0.00		1	
		Total	37	110	61.80		68	38.20		178	

	Pembrooke										
			1st Prefs	80	70.18		34	29.82		114	
		"STANFIELD, Lynn (HAN)"	20	18	90.00		2	10.00		20	
		"SARA, Dane William (IND)"	4	3	75.00		1	25.00		4	
		"ISHERWOOD, Siobhan (GRN)"	7	2	28.57		5	71.43		7	
		"JIRMAN, Philip (DEM)"	6	2	33.33		4	66.67		6	
		"MULDOON, Graeme (CEC)"	0	0	0.00		0	0.00		0	
		Total	37	105	69.54		46	30.46		151	

	Port Macquarie Central										
			1st Prefs	733	68.38		339	31.62		1072	
		"STANFIELD, Lynn (HAN)"	68	38	55.88		30	44.12		68	
		"SARA, Dane William (IND)"	16	11	68.75		5	31.25		16	
		"ISHERWOOD, Siobhan (GRN)"	51	20	39.22		31	60.78		51	
		"JIRMAN, Philip (DEM)"	30	12	40.00		18	60.00		30	
		"MULDOON, Graeme (CEC)"	1	0	0.00		1	100.00		1	
		Total	166	814	65.75		424	34.25		1238	

	Port Macquarie Civic										
			1st Prefs	1018	66.41		515	33.59		1533	
		"STANFIELD, Lynn (HAN)"	133	78	58.65		55	41.35		133	
		"SARA, Dane William (IND)"	22	18	81.82		4	18.18		22	
		"ISHERWOOD, Siobhan (GRN)"	61	21	34.43		40	65.57		61	
		"JIRMAN, Philip (DEM)"	50	23	46.00		27	54.00		50	
		"MULDOON, Graeme (CEC)"	4	3	75.00		1	25.00		4	
		Total	270	1161	64.39		642	35.61		1803	

	Port Macquarie East										
			1st Prefs	2306	66.04		1186	33.96		3492	
		"STANFIELD, Lynn (HAN)"	287	130	45.30		157	54.70		287	
		"SARA, Dane William (IND)"	34	21	61.76		13	38.24		34	
		"ISHERWOOD, Siobhan (GRN)"	124	39	31.45		85	68.55		124	
		"JIRMAN, Philip (DEM)"	110	46	41.82		64	58.18		110	
		"MULDOON, Graeme (CEC)"	6	3	50.00		3	50.00		6	
		Total	561	2545	62.79		1508	37.21		4053	

	Port Macquarie Hospital										
			1st Prefs	237	66.95		117	33.05		354	
		"STANFIELD, Lynn (HAN)"	35	19	54.29		16	45.71		35	
		"SARA, Dane William (IND)"	7	3	42.86		4	57.14		7	
		"ISHERWOOD, Siobhan (GRN)"	8	1	12.50		7	87.50		8	
		"JIRMAN, Philip (DEM)"	11	3	27.27		8	72.73		11	
		"MULDOON, Graeme (CEC)"	0	0	0.00		0	0.00		0	
		Total	61	263	63.37		152	36.63		415	

	Port Macquarie North Shore										
			1st Prefs	169	63.30		98	36.70		267	
		"STANFIELD, Lynn (HAN)"	34	21	61.76		13	38.24		34	
		"SARA, Dane William (IND)"	4	2	50.00		2	50.00		4	
		"ISHERWOOD, Siobhan (GRN)"	9	1	11.11		8	88.89		9	
		"JIRMAN, Philip (DEM)"	13	6	46.15		7	53.85		13	
		"MULDOON, Graeme (CEC)"	0	0	0.00		0	0.00		0	
		Total	60	199	60.86		128	39.14		327	

	Port Macquarie South										
			1st Prefs	1480	69.35		654	30.65		2134	
