House of Representatives - 2001 Election: New South Wales																										
Distribution of Preferences																										
By Polling Place																										
																										
Macquarie																										
				WILLIAMS			SEARLE			GRIGG			MAJOROS			BUCKLEY			BARTLETT			WARREN				
	THIRD			2	9.52		2	9.52			Excluded		3	14.29		2	9.52		12	57.14					21	
		TOTAL		89	10.34		314	36.47					40	4.65		35	4.07		383	44.48					861	
	FOURTH			10	28.57		9	25.71					5	14.29			Excluded		11	31.43					35	
		TOTAL		99	11.50		323	37.51					45	5.23					394	45.76					861	
	FIFTH			20	44.44		18	40.00						Excluded					7	15.56					45	
		TOTAL		119	13.82		341	39.61											401	46.57					861	
	SIXTH				Excluded		91	76.47											28	23.53					119	
		TOTAL					432	50.17											429	49.83					861	
																			Elected							
																										
Blaxland East                                                  																										
	FIRST			240	7.91		848	27.94		124	4.09		183	6.03		98	3.23		1489	49.06		53	1.75		3035	
	SECOND			28	52.83		11	20.75		0	0.00		4	7.55		3	5.66		7	13.21			Excluded		53	
		TOTAL		268	8.83		859	28.30		124	4.09		187	6.16		101	3.33		1496	49.29					3035	
	THIRD			5	4.03		12	9.68			Excluded		13	10.48		13	10.48		81	65.32					124	
		TOTAL		273	9.00		871	28.70					200	6.59		114	3.76		1577	51.96					3035	
	FOURTH			20	17.54		46	40.35					9	7.89			Excluded		39	34.21					114	
		TOTAL		293	9.65		917	30.21					209	6.89					1616	53.25					3035	
	FIFTH			121	57.89		58	27.75						Excluded					30	14.35					209	
		TOTAL		414	13.64		975	32.13											1646	54.23					3035	
	SIXTH				Excluded		313	75.60											101	24.40					414	
		TOTAL					1288	42.44											1747	57.56					3035	
																			Elected							
																										
Bligh Park                                                     																										
	FIRST			95	3.51		609	22.51		34	1.26		98	3.62		150	5.54		1639	60.57		81	2.99		2706	
	SECOND			48	59.26		7	8.64		1	1.23		6	7.41		5	6.17		14	17.28			Excluded		81	
		TOTAL		143	5.28		616	22.76		35	1.29		104	3.84		155	5.73		1653	61.09					2706	
	THIRD			5	14.29		4	11.43			Excluded		6	17.14		4	11.43		16	45.71					35	
		TOTAL		148	5.47		620	22.91					110	4.07		159	5.88		1669	61.68					2706	
	FOURTH			31	19.50		71	44.65					13	8.18			Excluded		44	27.67					159	
		TOTAL		179	6.61		691	25.54					123	4.55					1713	63.30					2706	
	FIFTH			65	52.85		34	27.64						Excluded					24	19.51					123	
		TOTAL		244	9.02		725	26.79											1737	64.19					2706	
	SIXTH				Excluded		153	62.70											91	37.30					244	
		TOTAL					878	32.45											1828	67.55					2706	
																			Elected							
																										
Bligh Park East                                                																										
	FIRST			41	3.75		264	24.18		9	0.82		29	2.66		48	4.40		690	63.19		11	1.01		1092	
	SECOND			5	45.45		2	18.18		0	0.00		1	9.09		2	18.18		1	9.09			Excluded		11	
		TOTAL		46	4.21		266	24.36		9	0.82		30	2.75		50	4.58		691	63.28					1092	
	THIRD			3	33.33		0	0.00			Excluded		0	0.00		0	0.00		6	66.67					9	
		TOTAL		49	4.49		266	24.36					30	2.75		50	4.58		697	63.83					1092	
	FOURTH			8	16.00		19	38.00					10	20.00			Excluded		13	26.00					50	
		TOTAL		57	5.22		285	26.10					40	3.66					710	65.02					1092	
	FIFTH			18	45.00		13	32.50						Excluded					9	22.50					40	
		TOTAL		75	6.87		298	27.29											719	65.84					1092	
	SIXTH				Excluded		49	65.33											26	34.67					75	
		TOTAL					347	31.78											745	68.22					1092	
																			Elected							
																										
Bullaburra                                                     																										
	FIRST			73	13.13		177	31.83		15	2.70		31	5.58		21	3.78		233	41.91		6	1.08		556	
	SECOND			3	50.00		1	16.67		0	0.00		0	0.00		1	16.67		1	16.67			Excluded		6	
		TOTAL		76	13.67		178	32.01		15	2.70		31	5.58		22	3.96		234	42.09					556	
	THIRD			2	13.33		1	6.67			Excluded		0	0.00		2	13.33		10	66.67					15	
		TOTAL		78	14.03		179	32.19					31	5.58		24	4.32		244	43.88					556	
	FOURTH			7	29.17		6	25.00					5	20.83			Excluded		6	25.00					24	
		TOTAL		85	15.29		185	33.27					36	6.47					250	44.96					556	
	FIFTH			16	44.44		12	33.33						Excluded					8	22.22					36	
		TOTAL		101	18.17		197	35.43											258	46.40					556	
	SIXTH				Excluded		87	86.14											14	13.86					101	
		TOTAL					284	51.08											272	48.92					556	
																			Elected							
																										
Cattai                                                         																										
	FIRST			8	5.76		9	6.47		1	0.72		9	6.47		8	5.76		102	73.38		2	1.44		139	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	100.00			Excluded		2	
		TOTAL		8	5.76		9	6.47		1	0.72		9	6.47		8	5.76		104	74.82					139	
	THIRD			0	0.00		0	0.00			Excluded		1	100.00		0	0.00		0	0.00					1	
		TOTAL		8	5.76		9	6.47					10	7.19		8	5.76		104	74.82					139	
	FOURTH			5	62.50		2	25.00					0	0.00			Excluded		1	12.50					8	
		TOTAL		13	9.35		11	7.91					10	7.19					105	75.54					139	
	FIFTH			2	20.00		4	40.00						Excluded					4	40.00					10	
		TOTAL		15	10.79		15	10.79											109	78.42					139	
	SIXTH				Excluded		12	80.00											3	20.00					15	
		TOTAL					27	19.42											112	80.58					139	
																			Elected							
																										
Colo Heights                                                   																										
	FIRST			20	13.51		28	18.92		5	3.38		7	4.73		10	6.76		74	50.00		4	2.70		148	
	SECOND			2	50.00		0	0.00		0	0.00		1	25.00		1	25.00		0	0.00			Excluded		4	
		TOTAL		22	14.86		28	18.92		5	3.38		8	5.41		11	7.43		74	50.00					148	
	THIRD			1	20.00		0	0.00			Excluded		0	0.00		3	60.00		1	20.00					5	
		TOTAL		23	15.54		28	18.92					8	5.41		14	9.46		75	50.68					148	
	FOURTH			1	7.14		2	14.29					2	14.29			Excluded		9	64.29					14	
		TOTAL		24	16.22		30	20.27					10	6.76					84	56.76					148	
	FIFTH			7	70.00		2	20.00						Excluded					1	10.00					10	
		TOTAL		31	20.95		32	21.62											85	57.43					148	
	SIXTH				Excluded		18	58.06											13	41.94					31	
		TOTAL					50	33.78											98	66.22					148	
																			Elected							
																										
Comleroy Road                                                  																										
	FIRST			67	8.25		132	16.26		8	0.99		16	1.97		57	7.02		524	64.53		8	0.99		812	
	SECOND			4	50.00		1	12.50		1	12.50		0	0.00		0	0.00		2	25.00			Excluded		8	
		TOTAL		71	8.74		133	16.38		9	1.11		16	1.97		57	7.02		526	64.78					812	
	THIRD			0	0.00		1	11.11			Excluded		0	0.00		1	11.11		7	77.78					9	
		TOTAL		71	8.74		134	16.50					16	1.97		58	7.14		533	65.64					812	
	FOURTH			8	13.79		27	46.55					5	8.62			Excluded		18	31.03					58	
		TOTAL		79	9.73		161	19.83					21	2.59					551	67.86					812	
	FIFTH			9	42.86		8	38.10						Excluded					4	19.05					21	
		TOTAL		88	10.84		169	20.81											555	68.35					812	
	SIXTH				Excluded		67	76.14											21	23.86					88	
		TOTAL					236	29.06											576	70.94					812	
																			Elected							
																										
Ebenezer                                                       																										
	FIRST			75	9.57		134	17.09		6	0.77		15	1.91		45	5.74		504	64.29		5	0.64		784	
	SECOND			0	0.00		0	0.00		0	0.00		1	20.00		0	0.00		4	80.00			Excluded		5	
		TOTAL		75	9.57		134	17.09		6	0.77		16	2.04		45	5.74		508	64.80					784	
	THIRD			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		6	100.00					6	
		TOTAL		75	9.57		134	17.09					16	2.04		45	5.74		514	65.56					784	
	FOURTH			9	20.00		13	28.89					8	17.78			Excluded		15	33.33					45	
		TOTAL		84	10.71		147	18.75					24	3.06					529	67.47					784	
	FIFTH			10	41.67		7	29.17						Excluded					7	29.17					24	
		TOTAL		94	11.99		154	19.64											536	68.37					784	
	SIXTH				Excluded		65	69.15											29	30.85					94	
		TOTAL					219	27.93											565	72.07					784	
																			Elected							
																										
Faulconbridge                                                  																										
	FIRST			182	8.05		664	29.37		60	2.65		165	7.30		96	4.25		1070	47.32		24	1.06		2261	
	SECOND			9	37.50		4	16.67		0	0.00		2	8.33		5	20.83		4	16.67			Excluded		24	
		TOTAL		191	8.45		668	29.54		60	2.65		167	7.39		101	4.47		1074	47.50					2261	
	THIRD			6	10.00		3	5.00			Excluded		7	11.67		12	20.00		32	53.33					60	
		TOTAL		197	8.71		671	29.68					174	7.70		113	5.00		1106	48.92					2261	
	FOURTH			12	10.62		40	35.40					14	12.39			Excluded		47	41.59					113	
		TOTAL		209	9.24		711	31.45					188	8.31					1153	51.00					2261	
	FIFTH			116	61.70		42	22.34						Excluded					30	15.96					188	
		TOTAL		325	14.37		753	33.30											1183	52.32					2261	
	SIXTH				Excluded		250	76.92											75	23.08					325	
		TOTAL					1003	44.36											1258	55.64					2261	
																			Elected							
																										
Freemans Reach                                                 																										
	FIRST			87	7.10		228	18.60		24	1.96		38	3.10		72	5.87		760	61.99		17	1.39		1226	
	SECOND			4	23.53		3	17.65		0	0.00		2	11.76		3	17.65		5	29.41			Excluded		17	
		TOTAL		91	7.42		231	18.84		24	1.96		40	3.26		75	6.12		765	62.40					1226	
	THIRD			0	0.00		1	4.17			Excluded		4	16.67		2	8.33		17	70.83					24	
		TOTAL		91	7.42		232	18.92					44	3.59		77	6.28		782	63.78					1226	
	FOURTH			11	14.29		21	27.27					10	12.99			Excluded		35	45.45					77	
		TOTAL		102	8.32		253	20.64					54	4.40					817	66.64					1226	
	FIFTH			27	50.00		19	35.19						Excluded					8	14.81					54	
		TOTAL		129	10.52		272	22.19											825	67.29					1226	
	SIXTH				Excluded		90	69.77											39	30.23					129	
		TOTAL					362	29.53											864	70.47					1226	
																			Elected							
																										
Glossodia                                                      																										
	FIRST			80	6.39		279	22.28		17	1.36		34	2.72		82	6.55		748	59.74		12	0.96		1252	
	SECOND			1	8.33		4	33.33		0	0.00		2	16.67		1	8.33		4	33.33			Excluded		12	
		TOTAL		81	6.47		283	22.60		17	1.36		36	2.88		83	6.63		752	60.06					1252	
	THIRD			0	0.00		2	11.76			Excluded		4	23.53		1	5.88		10	58.82					17	
		TOTAL		81	6.47		285	22.76					40	3.19		84	6.71		762	60.86					1252	
	FOURTH			20	23.81		19	22.62					7	8.33			Excluded		38	45.24					84	
		TOTAL		101	8.07		304	24.28					47	3.75					800	63.90					1252	
	FIFTH			17	36.17		19	40.43						Excluded					11	23.40					47	
		TOTAL		118	9.42		323	25.80											811	64.78					1252	
	SIXTH				Excluded		69	58.47											49	41.53					118	
		TOTAL					392	31.31											860	68.69					1252	
																			Elected							
																										
Grose View                                                     																										
	FIRST			47	7.31		98	15.24		14	2.18		48	7.47		21	3.27		407	63.30		8	1.24		643	
	SECOND			3	37.50		3	37.50		1	12.50		0	0.00		0	0.00		1	12.50			Excluded		8	
		TOTAL		50	7.78		101	15.71		15	2.33		48	7.47		21	3.27		408	63.45					643	
	THIRD			0	0.00		1	6.67			Excluded		2	13.33		1	6.67		11	73.33					15	
		TOTAL		50	7.78		102	15.86					50	7.78		22	3.42		419	65.16					643	
	FOURTH			2	9.09		5	22.73					7	31.82			Excluded		8	36.36					22	
		TOTAL		52	8.09		107	16.64					57	8.86					427	66.41					643	
	FIFTH			33	57.89		17	29.82						Excluded					7	12.28					57	
		TOTAL		85	13.22		124	19.28											434	67.50					643	
	SIXTH				Excluded		65	76.47											20	23.53					85	
		TOTAL					189	29.39											454	70.61					643	
																			Elected							
																										
Hazelbrook                                                     																										
	FIRST			261	10.75		824	33.94		66	2.72		209	8.61		122	5.02		922	37.97		24	0.99		2428	
	SECOND			8	33.33		4	16.67		2	8.33		1	4.17		2	8.33		7	29.17			Excluded		24	
		TOTAL		269	11.08		828	34.10		68	2.80		210	8.65		124	5.11		929	38.26					2428	
	THIRD			4	5.88		7	10.29			Excluded		5	7.35		4	5.88		48	70.59					68	
		TOTAL		273	11.24		835	34.39					215	8.86		128	5.27		977	40.24					2428	
	FOURTH			22	17.19		47	36.72					10	7.81			Excluded		49	38.28					128	
		TOTAL		295	12.15		882	36.33					225	9.27					1026	42.26					2428	
	FIFTH			120	53.33		64	28.44						Excluded					41	18.22					225	
		TOTAL		415	17.09		946	38.96											1067	43.95					2428	
	SIXTH				Excluded		342	82.41											73	17.59					415	
		TOTAL					1288	53.05											1140	46.95					2428	
																			Elected							
																										
Hobartville                                                    																										
	FIRST			87	5.56		421	26.88		24	1.53		48	3.07		78	4.98		872	55.68		36	2.30		1566	
	SECOND			12	33.33		5	13.89		0	0.00		4	11.11		5	13.89		10	27.78			Excluded		36	
		TOTAL		99	6.32		426	27.20		24	1.53		52	3.32		83	5.30		882	56.32					1566	
	THIRD			0	0.00		6	25.00			Excluded		0	0.00		0	0.00		18	75.00					24	
		TOTAL		99	6.32		432	27.59					52	3.32		83	5.30		900	57.47					1566	
	FOURTH			16	19.28		35	42.17					12	14.46			Excluded		20	24.10					83	
		TOTAL		115	7.34		467	29.82					64	4.09					920	58.75					1566	
	FIFTH			33	51.56		22	34.38						Excluded					9	14.06					64	
		TOTAL		148	9.45		489	31.23											929	59.32					1566	
	SIXTH				Excluded		97	65.54											51	34.46					148	
		TOTAL					586	37.42											980	62.58					1566	
																			Elected							
																										
Katoomba                                                       																										
	FIRST			134	16.30		338	41.12		15	1.82		87	10.58		28	3.41		218	26.52		2	0.24		822	
	SECOND			0	0.00		1	50.00		0	0.00		0	0.00		1	50.00		0	0.00			Excluded		2	
		TOTAL		134	16.30		339	41.24		15	1.82		87	10.58		29	3.53		218	26.52					822	
	THIRD			4	26.67		3	20.00			Excluded		2	13.33		0	0.00		6	40.00					15	
		TOTAL		138	16.79		342	41.61					89	10.83		29	3.53		224	27.25					822	
	FOURTH			6	20.69		9	31.03					3	10.34			Excluded		11	37.93					29	
		TOTAL		144	17.52		351	42.70					92	11.19					235	28.59					822	
	FIFTH			65	70.65		19	20.65						Excluded					8	8.70					92	
		TOTAL		209	25.43		370	45.01											243	29.56					822	
	SIXTH				Excluded		185	88.52											24	11.48					209	
		TOTAL					555	67.52											267	32.48					822	
																			Elected							
																										
Katoomba High                                                  																										
	FIRST			53	10.82		187	38.16		3	0.61		29	5.92		20	4.08		191	38.98		7	1.43		490	
	SECOND			3	42.86		1	14.29		0	0.00		0	0.00		1	14.29		2	28.57			Excluded		7	
		TOTAL		56	11.43		188	38.37		3	0.61		29	5.92		21	4.29		193	39.39					490	
	THIRD			0	0.00		0	0.00			Excluded		1	33.33		0	0.00		2	66.67					3	
		TOTAL		56	11.43		188	38.37					30	6.12		21	4.29		195	39.80					490	
	FOURTH			3	14.29		8	38.10					1	4.76			Excluded		9	42.86					21	
		TOTAL		59	12.04		196	40.00					31	6.33					204	41.63					490	
	FIFTH			20	64.52		6	19.35						Excluded					5	16.13					31	
		TOTAL		79	16.12		202	41.22											209	42.65					490	
	SIXTH				Excluded		68	86.08											11	13.92					79	
		TOTAL					270	55.10											220	44.90					490	
																			Elected							
																										
Katoomba Hospital                                              																										
	FIRST			14	8.70		60	37.27		3	1.86		21	13.04		1	0.62		60	37.27		2	1.24		161	
	SECOND			0	0.00		1	50.00		0	0.00		1	50.00		0	0.00		0	0.00			Excluded		2	
		TOTAL		14	8.70		61	37.89		3	1.86		22	13.66		1	0.62		60	37.27					161	
	THIRD			0	0.00		0	0.00			Excluded		1	33.33		0	0.00		2	66.67					3	
		TOTAL		14	8.70		61	37.89					23	14.29		1	0.62		62	38.51					161	
	FOURTH			1	100.00		0	0.00					0	0.00			Excluded		0	0.00					1	
		TOTAL		15	9.32		61	37.89					23	14.29					62	38.51					161	
	FIFTH			11	47.83		10	43.48						Excluded					2	8.70					23	
		TOTAL		26	16.15		71	44.10											64	39.75					161	
	SIXTH				Excluded		21	80.77											5	19.23					26	
		TOTAL					92	57.14											69	42.86					161	
																			Elected							
																										
Katoomba North                                                 																										
	FIRST			105	9.07		470	40.59		19	1.64		98	8.46		69	5.96		391	33.77		6	0.52		1158	
	SECOND			3	50.00		1	16.67		1	16.67		0	0.00		0	0.00		1	16.67			Excluded		6	
		TOTAL		108	9.33		471	40.67		20	1.73		98	8.46		69	5.96		392	33.85					1158	
	THIRD			3	15.00		2	10.00			Excluded		2	10.00		2	10.00		11	55.00					20	
		TOTAL		111	9.59		473	40.85					100	8.64		71	6.13		403	34.80					1158	
	FOURTH			11	15.49		25	35.21					10	14.08			Excluded		25	35.21					71	
		TOTAL		122	10.54		498	43.01					110	9.50					428	36.96					1158	
	FIFTH			59	53.64		32	29.09						Excluded					19	17.27					110	
		TOTAL		181	15.63		530	45.77											447	38.60					1158	
	SIXTH				Excluded		152	83.98											29	16.02					181	
		TOTAL					682	58.89											476	41.11					1158	
																			Elected							
																										
Katoomba Street                                                																										
	FIRST			309	21.12		548	37.46		20	1.37		135	9.23		58	3.96		378	25.84		15	1.03		1463	
	SECOND			12	80.00		1	6.67		0	0.00		0	0.00		1	6.67		1	6.67			Excluded		15	
		TOTAL		321	21.94		549	37.53		20	1.37		135	9.23		59	4.03		379	25.91					1463	
	THIRD			4	20.00		3	15.00			Excluded		2	10.00		3	15.00		8	40.00					20	
		TOTAL		325	22.21		552	37.73					137	9.36		62	4.24		387	26.45					1463	
	FOURTH			11	17.74		16	25.81					8	12.90			Excluded		27	43.55					62	
		TOTAL		336	22.97		568	38.82					145	9.91					414	28.30					1463	
	FIFTH			89	61.38		44	30.34						Excluded					12	8.28					145	
		TOTAL		425	29.05		612	41.83											426	29.12					1463	
	SIXTH				Excluded		382	89.88											43	10.12					425	
		TOTAL					994	67.94											469	32.06					1463	
																			Elected							
																										
Kurmond                                                        																										
	FIRST			48	7.07		126	18.56		5	0.74		13	1.91		39	5.74		440	64.80		8	1.18		679	
	SECOND			2	25.00		2	25.00		0	0.00		0	0.00		1	12.50		3	37.50			Excluded		8	
		TOTAL		50	7.36		128	18.85		5	0.74		13	1.91		40	5.89		443	65.24					679	
	THIRD			1	20.00		0	0.00			Excluded		1	20.00		0	0.00		3	60.00					5	
		TOTAL		51	7.51		128	18.85					14	2.06		40	5.89		446	65.68					679	
	FOURTH			9	22.50		9	22.50					3	7.50			Excluded		19	47.50					40	
		TOTAL		60	8.84		137	20.18					17	2.50					465	68.48					679	
	FIFTH			6	35.29		6	35.29						Excluded					5	29.41					17	
		TOTAL		66	9.72		143	21.06											470	69.22					679	
	SIXTH				Excluded		51	77.27											15	22.73					66	
		TOTAL					194	28.57											485	71.43					679	
																			Elected							
																										
Kurrajong                                                      																										
	FIRST			146	8.41		318	18.33		44	2.54		84	4.84		79	4.55		1047	60.35		17	0.98		1735	
	SECOND			9	52.94		2	11.76		0	0.00		2	11.76		3	17.65		1	5.88			Excluded		17	
		TOTAL		155	8.93		320	18.44		44	2.54		86	4.96		82	4.73		1048	60.40					1735	
	THIRD			3	6.82		3	6.82			Excluded		5	11.36		1	2.27		32	72.73					44	
		TOTAL		158	9.11		323	18.62					91	5.24		83	4.78		1080	62.25					1735	
	FOURTH			12	14.46		25	30.12					10	12.05			Excluded		36	43.37					83	
		TOTAL		170	9.80		348	20.06					101	5.82					1116	64.32					1735	
	FIFTH			61	60.40		27	26.73						Excluded					13	12.87					101	
		TOTAL		231	13.31		375	21.61											1129	65.07					1735	
	SIXTH				Excluded		158	68.40											73	31.60					231	
		TOTAL					533	30.72											1202	69.28					1735	
																			Elected							
																										
Kurrajong East                                                 																										
	FIRST			73	11.77		99	15.97		10	1.61		24	3.87		40	6.45		366	59.03		8	1.29		620	
	SECOND			2	25.00		2	25.00		0	0.00		1	12.50		0	0.00		3	37.50			Excluded		8	
		TOTAL		75	12.10		101	16.29		10	1.61		25	4.03		40	6.45		369	59.52					620	
	THIRD			0	0.00		0	0.00			Excluded		1	10.00		1	10.00		8	80.00					10	
		TOTAL		75	12.10		101	16.29					26	4.19		41	6.61		377	60.81					620	
	FOURTH			10	24.39		11	26.83					7	17.07			Excluded		13	31.71					41	
		TOTAL		85	13.71		112	18.06					33	5.32					390	62.90					620	
	FIFTH			18	54.55		11	33.33						Excluded					4	12.12					33	
		TOTAL		103	16.61		123	19.84											394	63.55					620	
	SIXTH				Excluded		68	66.02											35	33.98					103	
		TOTAL					191	30.81											429	69.19					620	
																			Elected							
																										
Kurrajong Heights                                              																										
	FIRST			52	10.68		103	21.15		10	2.05		12	2.46		30	6.16		270	55.44		10	2.05		487	
	SECOND			5	50.00		1	10.00		0	0.00		0	0.00		2	20.00		2	20.00			Excluded		10	
		TOTAL		57	11.70		104	21.36		10	2.05		12	2.46		32	6.57		272	55.85					487	
	THIRD			0	0.00		1	10.00			Excluded		0	0.00		2	20.00		7	70.00					10	
		TOTAL		57	11.70		105	21.56					12	2.46		34	6.98		279	57.29					487	
	FOURTH			7	20.59		11	32.35					2	5.88			Excluded		14	41.18					34	
		TOTAL		64	13.14		116	23.82					14	2.87					293	60.16					487	
	FIFTH			9	64.29		4	28.57						Excluded					1	7.14					14	
		TOTAL		73	14.99		120	24.64											294	60.37					487	
	SIXTH				Excluded		55	75.34											18	24.66					73	
		TOTAL					175	35.93											312	64.07					487	
																			Elected							
																										
Lawson                                                         																										
	FIRST			172	12.03		515	36.01		35	2.45		115	8.04		63	4.41		505	35.31		25	1.75		1430	
	SECOND			13	52.00		2	8.00		1	4.00		5	20.00		1	4.00		3	12.00			Excluded		25	
		TOTAL		185	12.94		517	36.15		36	2.52		120	8.39		64	4.48		508	35.52					1430	
	THIRD			1	2.78		4	11.11			Excluded		6	16.67		7	19.44		18	50.00					36	
		TOTAL		186	13.01		521	36.43					126	8.81		71	4.97		526	36.78					1430	
	FOURTH			14	19.72		19	26.76					9	12.68			Excluded		29	40.85					71	
		TOTAL		200	13.99		540	37.76					135	9.44					555	38.81					1430	
	FIFTH			73	54.07		43	31.85						Excluded					19	14.07					135	
		TOTAL		273	19.09		583	40.77											574	40.14					1430	
	SIXTH				Excluded		231	84.62											42	15.38					273	
		TOTAL					814	56.92											616	43.08					1430	
																			Elected							
																										
Leura                                                          																										
	FIRST			91	11.94		279	36.61		13	1.71		65	8.53		36	4.72		268	35.17		10	1.31		762	
	SECOND			5	50.00		0	0.00		1	10.00		1	10.00		0	0.00		3	30.00			Excluded		10	
		TOTAL		96	12.60		279	36.61		14	1.84		66	8.66		36	4.72		271	35.56					762	
	THIRD			2	14.29		4	28.57			Excluded		0	0.00		3	21.43		5	35.71					14	
		TOTAL		98	12.86		283	37.14					66	8.66		39	5.12		276	36.22					762	
	FOURTH			6	15.38		16	41.03					5	12.82			Excluded		12	30.77					39	
		TOTAL		104	13.65		299	39.24					71	9.32					288	37.80					762	
	FIFTH			43	60.56		17	23.94						Excluded					11	15.49					71	
		TOTAL		147	19.29		316	41.47											299	39.24					762	
	SIXTH				Excluded		126	85.71											21	14.29					147	
		TOTAL					442	58.01											320	41.99					762	
																			Elected							
																										
Leura Central                                                  																										
	FIRST			198	13.94		464	32.68		8	0.56		122	8.59		45	3.17		576	40.56		7	0.49		1420	
	SECOND			5	71.43		0	0.00		0	0.00		0	0.00		1	14.29		1	14.29			Excluded		7	
		TOTAL		203	14.30		464	32.68		8	0.56		122	8.59		46	3.24		577	40.63					1420	
	THIRD			4	50.00		1	12.50			Excluded		1	12.50		0	0.00		2	25.00					8	
		TOTAL		207	14.58		465	32.75					123	8.66		46	3.24		579	40.77					1420	
	FOURTH			12	26.09		17	36.96					2	4.35			Excluded		15	32.61					46	
		TOTAL		219	15.42		482	33.94					125	8.80					594	41.83					1420	
	FIFTH			90	72.00		27	21.60						Excluded					8	6.40					125	
		TOTAL		309	21.76		509	35.85											602	42.39					1420	
	SIXTH				Excluded		272	88.03											37	11.97					309	
		TOTAL					781	55.00											639	45.00					1420	
																			Elected							
																										
Maraylya (Macquarie)                                           																										
	FIRST			25	5.57		62	13.81		7	1.56		18	4.01		20	4.45		313	69.71		4	0.89		449	
	SECOND			1	25.00		0	0.00		0	0.00		0	0.00		2	50.00		1	25.00			Excluded		4	
		TOTAL		26	5.79		62	13.81		7	1.56		18	4.01		22	4.90		314	69.93					449	
	THIRD			0	0.00		0	0.00			Excluded		1	14.29		0	0.00		6	85.71					7	
		TOTAL		26	5.79		62	13.81					19	4.23		22	4.90		320	71.27					449	
	FOURTH			3	13.64		4	18.18					2	9.09			Excluded		13	59.09					22	
		TOTAL		29	6.46		66	14.70					21	4.68					333	74.16					449	
	FIFTH			11	52.38		6	28.57						Excluded					4	19.05					21	
		TOTAL		40	8.91		72	16.04											337	75.06					449	
	SIXTH				Excluded		22	55.00											18	45.00					40	
		TOTAL					94	20.94											355	79.06					449	
																			Elected							
																										
McGraths Hill                                                  																										
	FIRST			55	5.45		230	22.77		6	0.59		13	1.29		55	5.45		640	63.37		11	1.09		1010	
	SECOND			2	18.18		3	27.27		1	9.09		0	0.00		0	0.00		5	45.45			Excluded		11	
		TOTAL		57	5.64		233	23.07		7	0.69		13	1.29		55	5.45		645	63.86					1010	
	THIRD			3	42.86		0	0.00			Excluded		0	0.00		1	14.29		3	42.86					7	
		TOTAL		60	5.94		233	23.07					13	1.29		56	5.54		648	64.16					1010	
	FOURTH			7	12.50		21	37.50					4	7.14			Excluded		24	42.86					56	
		TOTAL		67	6.63		254	25.15					17	1.68					672	66.53					1010	
	FIFTH			6	35.29		6	35.29						Excluded					5	29.41					17	
		TOTAL		73	7.23		260	25.74											677	67.03					1010	
	SIXTH				Excluded		57	78.08											16	21.92					73	
		TOTAL					317	31.39											693	68.61					1010	
																			Elected							
																										
