House of Representatives - 2001 Election: New South Wales																												
Distribution of Preferences																												
By Polling Place																												
																												
Werriwa																												
				URI			MASINA			WOODGER			TAN			BLANCH			BARSONY			LATHAM			KOTARSKI			
		TOTAL		69	2.04		1105	32.64					98	2.90		94	2.78		73	2.16		1772	52.35		174	5.14		3385
	THIRD				Excluded		50	72.46					6	8.70		0	0.00		2	2.90		9	13.04		2	2.90		69
		TOTAL					1155	34.12					104	3.07		94	2.78		75	2.22		1781	52.61		176	5.20		3385
	FOURTH						63	60.58						Excluded		16	15.38		8	7.69		13	12.50		4	3.85		104
		TOTAL					1218	35.98								110	3.25		83	2.45		1794	53.00		180	5.32		3385
	FIFTH						14	16.87								50	60.24			Excluded		13	15.66		6	7.23		83
		TOTAL					1232	36.40								160	4.73					1807	53.38		186	5.49		3385
	SIXTH						46	28.75									Excluded					104	65.00		10	6.25		160
		TOTAL					1278	37.75														1911	56.45		196	5.79		3385
	SEVENTH						96	48.98														100	51.02			Excluded		196
		TOTAL					1374	40.59														2011	59.41					3385
																						Elected						
																												
Casula South                                                   																												
	FIRST			24	1.56		618	40.29		29	1.89		27	1.76		38	2.48		34	2.22		703	45.83		61	3.98		1534
	SECOND			2	6.90		6	20.69			Excluded		0	0.00		5	17.24		4	13.79		5	17.24		7	24.14		29
		TOTAL		26	1.69		624	40.68					27	1.76		43	2.80		38	2.48		708	46.15		68	4.43		1534
	THIRD				Excluded		14	53.85					2	7.69		2	7.69		1	3.85		6	23.08		1	3.85		26
		TOTAL					638	41.59					29	1.89		45	2.93		39	2.54		714	46.54		69	4.50		1534
	FOURTH						19	65.52						Excluded		3	10.34		2	6.90		2	6.90		3	10.34		29
		TOTAL					657	42.83								48	3.13		41	2.67		716	46.68		72	4.69		1534
	FIFTH						8	19.51								17	41.46			Excluded		9	21.95		7	17.07		41
		TOTAL					665	43.35								65	4.24					725	47.26		79	5.15		1534
	SIXTH						19	29.23									Excluded					39	60.00		7	10.77		65
		TOTAL					684	44.59														764	49.80		86	5.61		1534
	SEVENTH						50	58.14														36	41.86			Excluded		86
		TOTAL					734	47.85														800	52.15					1534
																						Elected						
																												
Cecil Hills                                                    																												
	FIRST			59	2.16		968	35.37		29	1.06		56	2.05		72	2.63		92	3.36		1386	50.64		75	2.74		2737
	SECOND			5	17.24		8	27.59			Excluded		0	0.00		3	10.34		6	20.69		5	17.24		2	6.90		29
		TOTAL		64	2.34		976	35.66					56	2.05		75	2.74		98	3.58		1391	50.82		77	2.81		2737
	THIRD				Excluded		41	64.06					1	1.56		4	6.25		7	10.94		10	15.63		1	1.56		64
		TOTAL					1017	37.16					57	2.08		79	2.89		105	3.84		1401	51.19		78	2.85		2737
	FOURTH						30	52.63						Excluded		6	10.53		6	10.53		9	15.79		6	10.53		57
		TOTAL					1047	38.25								85	3.11		111	4.06		1410	51.52		84	3.07		2737
	FIFTH						21	18.92								52	46.85			Excluded		33	29.73		5	4.50		111
		TOTAL					1068	39.02								137	5.01					1443	52.72		89	3.25		2737
	SIXTH						50	36.50									Excluded					75	54.74		12	8.76		137
		TOTAL					1118	40.85														1518	55.46		101	3.69		2737
	SEVENTH						43	42.57														58	57.43			Excluded		101
		TOTAL					1161	42.42														1576	57.58					2737
																						Elected						
																												
Curran                                                         																												
	FIRST			52	4.18		269	21.64		27	2.17		21	1.69		31	2.49		26	2.09		748	60.18		69	5.55		1243
	SECOND			4	14.81		4	14.81			Excluded		3	11.11		6	22.22		1	3.70		8	29.63		1	3.70		27
		TOTAL		56	4.51		273	21.96					24	1.93		37	2.98		27	2.17		756	60.82		70	5.63		1243
	THIRD				Excluded		34	60.71					2	3.57		8	14.29		0	0.00		10	17.86		2	3.57		56
		TOTAL					307	24.70					26	2.09		45	3.62		27	2.17		766	61.63		72	5.79		1243
	FOURTH						12	46.15						Excluded		3	11.54		1	3.85		9	34.62		1	3.85		26
		TOTAL					319	25.66								48	3.86		28	2.25		775	62.35		73	5.87		1243
	FIFTH						8	28.57								5	17.86			Excluded		11	39.29		4	14.29		28
		TOTAL					327	26.31								53	4.26					786	63.23		77	6.19		1243
	SIXTH						7	13.21									Excluded					39	73.58		7	13.21		53
		TOTAL					334	26.87														825	66.37		84	6.76		1243
	SEVENTH						38	45.24														46	54.76			Excluded		84
		TOTAL					372	29.93														871	70.07					1243
																						Elected						
																												
Glenfield                                                      																												
	FIRST			30	1.38		728	33.55		39	1.80		56	2.58		63	2.90		77	3.55		1066	49.12		111	5.12		2170
	SECOND			2	5.13		7	17.95			Excluded		1	2.56		5	12.82		3	7.69		5	12.82		16	41.03		39
		TOTAL		32	1.47		735	33.87					57	2.63		68	3.13		80	3.69		1071	49.35		127	5.85		2170
	THIRD				Excluded		17	53.13					6	18.75		1	3.13		1	3.13		3	9.38		4	12.50		32
		TOTAL					752	34.65					63	2.90		69	3.18		81	3.73		1074	49.49		131	6.04		2170
	FOURTH						32	50.79						Excluded		11	17.46		7	11.11		9	14.29		4	6.35		63
		TOTAL					784	36.13								80	3.69		88	4.06		1083	49.91		135	6.22		2170
	FIFTH						9	10.23								38	43.18			Excluded		34	38.64		7	7.95		88
		TOTAL					793	36.54								118	5.44					1117	51.47		142	6.54		2170
	SIXTH						37	31.36									Excluded					76	64.41		5	4.24		118
		TOTAL					830	38.25														1193	54.98		147	6.77		2170
	SEVENTH						67	45.58														80	54.42			Excluded		147
		TOTAL					897	41.34														1273	58.66					2170
																						Elected						
																												
Glenfield East                                                 																												
	FIRST			26	1.89		485	35.30		24	1.75		29	2.11		40	2.91		32	2.33		675	49.13		63	4.59		1374
	SECOND			1	4.17		1	4.17			Excluded		1	4.17		3	12.50		4	16.67		5	20.83		9	37.50		24
		TOTAL		27	1.97		486	35.37					30	2.18		43	3.13		36	2.62		680	49.49		72	5.24		1374
	THIRD				Excluded		24	88.89					0	0.00		2	7.41		1	3.70		0	0.00		0	0.00		27
		TOTAL					510	37.12					30	2.18		45	3.28		37	2.69		680	49.49		72	5.24		1374
	FOURTH						12	40.00						Excluded		5	16.67		2	6.67		8	26.67		3	10.00		30
		TOTAL					522	37.99								50	3.64		39	2.84		688	50.07		75	5.46		1374
	FIFTH						9	23.08								15	38.46			Excluded		11	28.21		4	10.26		39
		TOTAL					531	38.65								65	4.73					699	50.87		79	5.75		1374
	SIXTH						19	29.23									Excluded					40	61.54		6	9.23		65
		TOTAL					550	40.03														739	53.78		85	6.19		1374
	SEVENTH						48	56.47														37	43.53			Excluded		85
		TOTAL					598	43.52														776	56.48					1374
																						Elected						
																												
Green Valley                                                   																												
	FIRST			96	2.89		966	29.08		34	1.02		91	2.74		59	1.78		97	2.92		1889	56.86		90	2.71		3322
	SECOND			2	5.88		5	14.71			Excluded		5	14.71		5	14.71		6	17.65		5	14.71		6	17.65		34
		TOTAL		98	2.95		971	29.23					96	2.89		64	1.93		103	3.10		1894	57.01		96	2.89		3322
	THIRD				Excluded		54	55.10					12	12.24		6	6.12		13	13.27		10	10.20		3	3.06		98
		TOTAL					1025	30.85					108	3.25		70	2.11		116	3.49		1904	57.31		99	2.98		3322
	FOURTH						57	52.78						Excluded		18	16.67		11	10.19		20	18.52		2	1.85		108
		TOTAL					1082	32.57								88	2.65		127	3.82		1924	57.92		101	3.04		3322
	FIFTH						21	16.54								63	49.61			Excluded		27	21.26		16	12.60		127
		TOTAL					1103	33.20								151	4.55					1951	58.73		117	3.52		3322
	SIXTH						46	30.46									Excluded					101	66.89		4	2.65		151
		TOTAL					1149	34.59														2052	61.77		121	3.64		3322
	SEVENTH						71	58.68														50	41.32			Excluded		121
		TOTAL					1220	36.72														2102	63.28					3322
																						Elected						
																												
Greenway Park                                                  																												
	FIRST			26	1.82		539	37.82		19	1.33		29	2.04		40	2.81		29	2.04		709	49.75		34	2.39		1425
	SECOND			2	10.53		6	31.58			Excluded		1	5.26		2	10.53		4	21.05		2	10.53		2	10.53		19
		TOTAL		28	1.96		545	38.25					30	2.11		42	2.95		33	2.32		711	49.89		36	2.53		1425
	THIRD				Excluded		20	71.43					1	3.57		4	14.29		1	3.57		2	7.14		0	0.00		28
		TOTAL					565	39.65					31	2.18		46	3.23		34	2.39		713	50.04		36	2.53		1425
	FOURTH						11	35.48						Excluded		9	29.03		2	6.45		9	29.03		0	0.00		31
		TOTAL					576	40.42								55	3.86		36	2.53		722	50.67		36	2.53		1425
	FIFTH						10	27.78								13	36.11			Excluded		9	25.00		4	11.11		36
		TOTAL					586	41.12								68	4.77					731	51.30		40	2.81		1425
	SIXTH						20	29.41									Excluded					43	63.24		5	7.35		68
		TOTAL					606	42.53														774	54.32		45	3.16		1425
	SEVENTH						23	51.11														22	48.89			Excluded		45
		TOTAL					629	44.14														796	55.86					1425
																						Elected						
																												
Guise                                                          																												
	FIRST			27	2.44		188	17.01		22	1.99		21	1.90		15	1.36		20	1.81		754	68.24		58	5.25		1105
	SECOND			2	9.09		5	22.73			Excluded		1	4.55		3	13.64		3	13.64		4	18.18		4	18.18		22
		TOTAL		29	2.62		193	17.47					22	1.99		18	1.63		23	2.08		758	68.60		62	5.61		1105
	THIRD				Excluded		17	58.62					4	13.79		2	6.90		2	6.90		3	10.34		1	3.45		29
		TOTAL					210	19.00					26	2.35		20	1.81		25	2.26		761	68.87		63	5.70		1105
	FOURTH						14	53.85						Excluded		3	11.54		5	19.23		4	15.38		0	0.00		26
		TOTAL					224	20.27								23	2.08		30	2.71		765	69.23		63	5.70		1105
	FIFTH						5	16.67								6	20.00			Excluded		16	53.33		3	10.00		30
		TOTAL					229	20.72								29	2.62					781	70.68		66	5.97		1105
	SIXTH						6	20.69									Excluded					20	68.97		3	10.34		29
		TOTAL					235	21.27														801	72.49		69	6.24		1105
	SEVENTH						29	42.03														40	57.97			Excluded		69
		TOTAL					264	23.89														841	76.11					1105
																						Elected						
																												
Hinchinbrook                                                   																												
	FIRST			72	2.16		981	29.48		36	1.08		69	2.07		66	1.98		87	2.61		1896	56.97		121	3.64		3328
	SECOND			1	2.78		8	22.22			Excluded		5	13.89		1	2.78		8	22.22		6	16.67		7	19.44		36
		TOTAL		73	2.19		989	29.72					74	2.22		67	2.01		95	2.85		1902	57.15		128	3.85		3328
	THIRD				Excluded		46	63.01					6	8.22		6	8.22		4	5.48		9	12.33		2	2.74		73
		TOTAL					1035	31.10					80	2.40		73	2.19		99	2.97		1911	57.42		130	3.91		3328
	FOURTH						37	46.25						Excluded		15	18.75		9	11.25		14	17.50		5	6.25		80
		TOTAL					1072	32.21								88	2.64		108	3.25		1925	57.84		135	4.06		3328
	FIFTH						17	15.74								46	42.59			Excluded		37	34.26		8	7.41		108
		TOTAL					1089	32.72								134	4.03					1962	58.95		143	4.30		3328
	SIXTH						37	27.61									Excluded					83	61.94		14	10.45		134
		TOTAL					1126	33.83														2045	61.45		157	4.72		3328
	SEVENTH						90	57.32														67	42.68			Excluded		157
		TOTAL					1216	36.54														2112	63.46					3328
																						Elected						
																												
Hoxton Park                                                    																												
	FIRST			67	3.02		598	27.00		24	1.08		83	3.75		57	2.57		44	1.99		1267	57.20		75	3.39		2215
	SECOND			1	4.17		6	25.00			Excluded		1	4.17		5	20.83		3	12.50		4	16.67		4	16.67		24
		TOTAL		68	3.07		604	27.27					84	3.79		62	2.80		47	2.12		1271	57.38		79	3.57		2215
	THIRD				Excluded		27	39.71					8	11.76		7	10.29		5	7.35		16	23.53		5	7.35		68
		TOTAL					631	28.49					92	4.15		69	3.12		52	2.35		1287	58.10		84	3.79		2215
	FOURTH						51	55.43						Excluded		13	14.13		8	8.70		15	16.30		5	5.43		92
		TOTAL					682	30.79								82	3.70		60	2.71		1302	58.78		89	4.02		2215
	FIFTH						8	13.33								23	38.33			Excluded		26	43.33		3	5.00		60
		TOTAL					690	31.15								105	4.74					1328	59.95		92	4.15		2215
	SIXTH						25	23.81									Excluded					67	63.81		13	12.38		105
		TOTAL					715	32.28														1395	62.98		105	4.74		2215
	SEVENTH						56	53.33														49	46.67			Excluded		105
		TOTAL					771	34.81														1444	65.19					2215
																						Elected						
																												
Ingleburn                                                      																												
	FIRST			56	1.57		1319	37.07		70	1.97		124	3.49		77	2.16		141	3.96		1591	44.72		180	5.06		3558
	SECOND			3	4.29		21	30.00			Excluded		3	4.29		4	5.71		12	17.14		9	12.86		18	25.71		70
		TOTAL		59	1.66		1340	37.66					127	3.57		81	2.28		153	4.30		1600	44.97		198	5.56		3558
	THIRD				Excluded		23	38.98					7	11.86		5	8.47		8	13.56		10	16.95		6	10.17		59
		TOTAL					1363	38.31					134	3.77		86	2.42		161	4.53		1610	45.25		204	5.73		3558
	FOURTH						85	63.43						Excluded		7	5.22		7	5.22		23	17.16		12	8.96		134
		TOTAL					1448	40.70								93	2.61		168	4.72		1633	45.90		216	6.07		3558
	FIFTH						16	9.52								86	51.19			Excluded		54	32.14		12	7.14		168
		TOTAL					1464	41.15								179	5.03					1687	47.41		228	6.41		3558
	SIXTH						48	26.82									Excluded					120	67.04		11	6.15		179
		TOTAL					1512	42.50														1807	50.79		239	6.72		3558
	SEVENTH						129	53.97														110	46.03			Excluded		239
		TOTAL					1641	46.12														1917	53.88					3558
																						Elected						
																												
Ingleburn High                                                 																												
	FIRST			17	1.47		461	39.84		10	0.86		23	1.99		35	3.03		46	3.98		523	45.20		42	3.63		1157
	SECOND			2	20.00		2	20.00			Excluded		0	0.00		0	0.00		2	20.00		0	0.00		4	40.00		10
		TOTAL		19	1.64		463	40.02					23	1.99		35	3.03		48	4.15		523	45.20		46	3.98		1157
	THIRD				Excluded		4	21.05					2	10.53		3	15.79		3	15.79		5	26.32		2	10.53		19
		TOTAL					467	40.36					25	2.16		38	3.28		51	4.41		528	45.64		48	4.15		1157
	FOURTH						10	40.00						Excluded		4	16.00		3	12.00		6	24.00		2	8.00		25
		TOTAL					477	41.23								42	3.63		54	4.67		534	46.15		50	4.32		1157
	FIFTH						6	11.11								27	50.00			Excluded		18	33.33		3	5.56		54
		TOTAL					483	41.75								69	5.96					552	47.71		53	4.58		1157
	SIXTH						14	20.29									Excluded					51	73.91		4	5.80		69
		TOTAL					497	42.96														603	52.12		57	4.93		1157
	SEVENTH						32	56.14														25	43.86			Excluded		57
		TOTAL					529	45.72														628	54.28					1157
																						Elected						
																												
Ingleburn North                                                																												
	FIRST			5	0.78		390	60.94		8	1.25		3	0.47		18	2.81		16	2.50		174	27.19		26	4.06		640
	SECOND			1	12.50		4	50.00			Excluded		0	0.00		0	0.00		1	12.50		1	12.50		1	12.50		8
		TOTAL		6	0.94		394	61.56					3	0.47		18	2.81		17	2.66		175	27.34		27	4.22		640
	THIRD				Excluded		3	50.00					1	16.67		1	16.67		0	0.00		1	16.67		0	0.00		6
		TOTAL					397	62.03					4	0.63		19	2.97		17	2.66		176	27.50		27	4.22		640
	FOURTH						2	50.00						Excluded		1	25.00		0	0.00		0	0.00		1	25.00		4
		TOTAL					399	62.34								20	3.13		17	2.66		176	27.50		28	4.38		640
	FIFTH						1	5.88								7	41.18			Excluded		7	41.18		2	11.76		17
		TOTAL					400	62.50								27	4.22					183	28.59		30	4.69		640
	SIXTH						14	51.85									Excluded					12	44.44		1	3.70		27
		TOTAL					414	64.69														195	30.47		31	4.84		640
	SEVENTH						20	64.52														11	35.48			Excluded		31
		TOTAL					434	67.81														206	32.19					640
																						Elected						
																												
James Busby (Werriwa)                                          																												
	FIRST			65	4.54		288	20.10		17	1.19		24	1.67		30	2.09		25	1.74		946	66.02		38	2.65		1433
	SECOND			5	29.41		3	17.65			Excluded		6	35.29		0	0.00		0	0.00		0	0.00		3	17.65		17
		TOTAL		70	4.88		291	20.31					30	2.09		30	2.09		25	1.74		946	66.02		41	2.86		1433
	THIRD				Excluded		43	61.43					6	8.57		4	5.71		4	5.71		11	15.71		2	2.86		70
		TOTAL					334	23.31					36	2.51		34	2.37		29	2.02		957	66.78		43	3.00		1433
	FOURTH						16	44.44						Excluded		11	30.56		6	16.67		2	5.56		1	2.78		36
		TOTAL					350	24.42								45	3.14		35	2.44		959	66.92		44	3.07		1433
	FIFTH						9	25.71								9	25.71			Excluded		10	28.57		7	20.00		35
		TOTAL					359	25.05								54	3.77					969	67.62		51	3.56		1433
	SIXTH						19	35.19									Excluded					32	59.26		3	5.56		54
		TOTAL					378	26.38														1001	69.85		54	3.77		1433
	SEVENTH						20	37.04														34	62.96			Excluded		54
		TOTAL					398	27.77														1035	72.23					1433
																						Elected						
																												
Kemps Creek (Werriwa)                                          																												
	FIRST			19	2.82		380	56.38		12	1.78		5	0.74		10	1.48		10	1.48		192	28.49		46	6.82		674
	SECOND			0	0.00		4	33.33			Excluded		1	8.33		1	8.33		2	16.67		2	16.67		2	16.67		12
		TOTAL		19	2.82		384	56.97					6	0.89		11	1.63		12	1.78		194	28.78		48	7.12		674
	THIRD				Excluded		11	57.89					1	5.26		0	0.00		1	5.26		4	21.05		2	10.53		19
		TOTAL					395	58.61					7	1.04		11	1.63		13	1.93		198	29.38		50	7.42		674
	FOURTH						1	14.29						Excluded		2	28.57		1	14.29		1	14.29		2	28.57		7
		TOTAL					396	58.75								13	1.93		14	2.08		199	29.53		52	7.72		674
	FIFTH						3	21.43								6	42.86			Excluded		2	14.29		3	21.43		14
		TOTAL					399	59.20								19	2.82					201	29.82		55	8.16		674
	SIXTH						9	47.37									Excluded					6	31.58		4	21.05		19
		TOTAL					408	60.53														207	30.71		59	8.75		674
	SEVENTH						37	62.71														22	37.29			Excluded		59
		TOTAL					445	66.02														229	33.98					674
																						Elected						
																												
Leumeah (Werriwa)                                              																												
	FIRST			3	1.52		79	39.90		11	5.56		12	6.06		5	2.53		8	4.04		64	32.32		16	8.08		198
	SECOND			0	0.00		3	27.27			Excluded		1	9.09		1	9.09		1	9.09		0	0.00		5	45.45		11
		TOTAL		3	1.52		82	41.41					13	6.57		6	3.03		9	4.55		64	32.32		21	10.61		198
	THIRD				Excluded		0	0.00					1	33.33		1	33.33		1	33.33		0	0.00		0	0.00		3
		TOTAL					82	41.41					14	7.07		7	3.54		10	5.05		64	32.32		21	10.61		198
	FOURTH						6	42.86						Excluded		3	21.43		2	14.29		3	21.43		0	0.00		14
		TOTAL					88	44.44								10	5.05		12	6.06		67	33.84		21	10.61		198
	FIFTH						4	33.33								3	25.00			Excluded		3	25.00		2	16.67		12
		TOTAL					92	46.46								13	6.57					70	35.35		23	11.62		198
	SIXTH						2	15.38									Excluded					9	69.23		2	15.38		13
		TOTAL					94	47.47														79	39.90		25	12.63		198
	SEVENTH						15	60.00														10	40.00			Excluded		25
		TOTAL					109	55.05														89	44.95					198
																						Elected						
																												
Leumeah North (Werriwa)                                        																												
	FIRST			6	0.52		537	46.25		20	1.72		36	3.10		43	3.70		23	1.98		447	38.50		49	4.22		1161
	SECOND			3	15.00		6	30.00			Excluded		0	0.00		1	5.00		1	5.00		5	25.00		4	20.00		20
		TOTAL		9	0.78		543	46.77					36	3.10		44	3.79		24	2.07		452	38.93		53	4.57		1161
	THIRD				Excluded		6	66.67					1	11.11		0	0.00		2	22.22		0	0.00		0	0.00		9
		TOTAL					549	47.29					37	3.19		44	3.79		26	2.24		452	38.93		53	4.57		1161
	FOURTH						24	64.86						Excluded		8	21.62		0	0.00		3	8.11		2	5.41		37
		TOTAL					573	49.35								52	4.48		26	2.24		455	39.19		55	4.74		1161
	FIFTH						3	11.54								9	34.62			Excluded		11	42.31		3	11.54		26
		TOTAL					576	49.61								61	5.25					466	40.14		58	5.00		1161
	SIXTH						16	26.23									Excluded					38	62.30		7	11.48		61
		TOTAL					592	50.99														504	43.41		65	5.60		1161
	SEVENTH						27	41.54														38	58.46			Excluded		65
		TOTAL					619	53.32														542	46.68					1161
																						Elected						
																												
Liverpool West (Werriwa)                                       																												
	FIRST			24	4.04		154	25.93		12	2.02		21	3.54		14	2.36		15	2.53		319	53.70		35	5.89		594
	SECOND			0	0.00		3	25.00			Excluded		1	8.33		1	8.33		2	16.67		3	25.00		2	16.67		12
		TOTAL		24	4.04		157	26.43					22	3.70		15	2.53		17	2.86		322	54.21		37	6.23		594
	THIRD				Excluded		12	50.00					3	12.50		0	0.00		4	16.67		3	12.50		2	8.33		24
		TOTAL					169	28.45					25	4.21		15	2.53		21	3.54		325	54.71		39	6.57		594
	FOURTH						12	48.00						Excluded		4	16.00		1	4.00		7	28.00		1	4.00		25
		TOTAL					181	30.47								19	3.20		22	3.70		332	55.89		40	6.73		594
	FIFTH						0	0.00								11	50.00			Excluded		8	36.36		3	13.64		22
		TOTAL					181	30.47								30	5.05					340	57.24		43	7.24		594
	SIXTH						11	36.67									Excluded					12	40.00		7	23.33		30
		TOTAL					192	32.32														352	59.26		50	8.42		594
	SEVENTH						23	46.00														27	54.00			Excluded		50
		TOTAL					215	36.20														379	63.80					594
																						Elected						
																												
Lurnea                                                         																												
	FIRST			37	1.76		530	25.20		32	1.52		61	2.90		34	1.62		71	3.38		1193	56.73		145	6.89		2103
	SECOND			1	3.13		9	28.13			Excluded		2	6.25		7	21.88		1	3.13		3	9.38		9	28.13		32
		TOTAL		38	1.81		539	25.63					63	3.00		41	1.95		72	3.42		1196	56.87		154	7.32		2103
	THIRD				Excluded		26	68.42					2	5.26		2	5.26		4	10.53		2	5.26		2	5.26		38
		TOTAL					565	26.87					65	3.09		43	2.04		76	3.61		1198	56.97		156	7.42		2103
	FOURTH						32	49.23						Excluded		9	13.85		7	10.77		14	21.54		3	4.62		65
		TOTAL					597	28.39								52	2.47		83	3.95		1212	57.63		159	7.56		2103
	FIFTH						9	10.84								41	49.40			Excluded		28	33.73		5	6.02		83
		TOTAL					606	28.82								93	4.42					1240	58.96		164	7.80		2103
	SIXTH						30	32.26									Excluded					58	62.37		5	5.38		93
		TOTAL					636	30.24														1298	61.72		169	8.04		2103
	SEVENTH						81	47.93														88	52.07			Excluded		169
		TOTAL					717	34.09														1386	65.91					2103
																						Elected						
																												
Macquarie Fields                                               																												
	FIRST			51	2.01		807	31.77		58	2.28		58	2.28		70	2.76		68	2.68		1282	50.47		146	5.75		2540
	SECOND			4	6.90		13	22.41			Excluded		6	10.34		4	6.90		8	13.79		8	13.79		15	25.86		58
		TOTAL		55	2.17		820	32.28					64	2.52		74	2.91		76	2.99		1290	50.79		161	6.34		2540
	THIRD				Excluded		28	50.91					3	5.45		5	9.09		3	5.45		14	25.45		2	3.64		55
		TOTAL					848	33.39					67	2.64		79	3.11		79	3.11		1304	51.34		163	6.42		2540
	FOURTH						31	46.27						Excluded		13	19.40		4	5.97		15	22.39		4	5.97		67
		TOTAL					879	34.61								92	3.62		83	3.27		1319	51.93		167	6.57		2540
	FIFTH						11	13.25								24	28.92			Excluded		33	39.76		15	18.07		83
		TOTAL					890	35.04								116	4.57					1352	53.23		182	7.17		2540
	SIXTH						31	26.72									Excluded					73	62.93		12	10.34		116
		TOTAL					921	36.26														1425	56.10		194	7.64		2540
	SEVENTH						80	41.24														114	58.76			Excluded		194
		TOTAL					1001	39.41														1539	60.59					2540
																						Elected						
																												
Macquarie Fields North                                         																												
	FIRST			23	2.20		380	36.40		11	1.05		33	3.16		33	3.16		22	2.11		477	45.69		65	6.23		1044
	SECOND			0	0.00		5	45.45			Excluded		0	0.00		0	0.00		3	27.27		2	18.18		1	9.09		11
		TOTAL		23	2.20		385	36.88					33	3.16		33	3.16		25	2.39		479	45.88		66	6.32		1044
	THIRD				Excluded		12	52.17					0	0.00		3	13.04		2	8.70		6	26.09		0	0.00		23
		TOTAL					397	38.03					33	3.16		36	3.45		27	2.59		485	46.46		66	6.32		1044
	FOURTH						13	39.39						Excluded		3	9.09		2	6.06		9	27.27		6	18.18		33
		TOTAL					410	39.27								39	3.74		29	2.78		494	47.32		72	6.90		1044
	FIFTH						6	20.69								14	48.28			Excluded		6	20.69		3	10.34		29
		TOTAL					416	39.85								53	5.08					500	47.89		75	7.18		1044
	SIXTH						22	41.51									Excluded					24	45.28		7	13.21		53
