House of Representatives - 2001 Election: New South Wales											
Two Candidate Preferred Preference Flow Result											
By Polling Place by Division											
											
Lindsay (81618)											
		Candidate		"BRADBURY, David"		            	"KELLY, Jackie"		              	Total	
		"EYKAMP, Jean M (NGST)"	19	11	57.89		8	42.11		19	
		"LINDSAY-HENDERSON, Steve (IND)"	11	7	63.64		4	36.36		11	
		Total	474	1066	48.48		1133	51.52		2199	

	Cambridge Park										
			1st Prefs	1069	48.77		1123	51.23		2192	
		"PHILLIPS, John (CTA)"	59	32	54.24		27	45.76		59	
		"EDWARDS, Lesley (GRN)"	43	27	62.79		16	37.21		43	
		"COURTNEY, Anthony David (IND)"	23	15	65.22		8	34.78		23	
		"NIXON, Bill (HAN)"	183	58	31.69		125	68.31		183	
		"WATERS, Geraldine (DEM)"	40	31	77.50		9	22.50		40	
		"MITCHELL, Graham (IND)"	14	8	57.14		6	42.86		14	
		"WALKER, Stephen (NCP)"	7	5	71.43		2	28.57		7	
		"BROWN, Geoff (SAS)"	122	76	62.30		46	37.70		122	
		"EYKAMP, Jean M (NGST)"	12	9	75.00		3	25.00		12	
		"LINDSAY-HENDERSON, Steve (IND)"	17	9	52.94		8	47.06		17	
		Total	520	1339	49.37		1373	50.63		2712	

	Cambridge Park South										
			1st Prefs	528	49.39		541	50.61		1069	
		"PHILLIPS, John (CTA)"	33	16	48.48		17	51.52		33	
		"EDWARDS, Lesley (GRN)"	31	21	67.74		10	32.26		31	
		"COURTNEY, Anthony David (IND)"	9	7	77.78		2	22.22		9	
		"NIXON, Bill (HAN)"	90	34	37.78		56	62.22		90	
		"WATERS, Geraldine (DEM)"	33	24	72.73		9	27.27		33	
		"MITCHELL, Graham (IND)"	2	1	50.00		1	50.00		2	
		"WALKER, Stephen (NCP)"	2	2	100.00		0	0.00		2	
		"BROWN, Geoff (SAS)"	73	48	65.75		25	34.25		73	
		"EYKAMP, Jean M (NGST)"	6	4	66.67		2	33.33		6	
		"LINDSAY-HENDERSON, Steve (IND)"	3	1	33.33		2	66.67		3	
		Total	282	686	50.78		665	49.22		1351	

	Castlereagh										
			1st Prefs	192	29.72		454	70.28		646	
		"PHILLIPS, John (CTA)"	28	10	35.71		18	64.29		28	
		"EDWARDS, Lesley (GRN)"	18	15	83.33		3	16.67		18	
		"COURTNEY, Anthony David (IND)"	4	2	50.00		2	50.00		4	
		"NIXON, Bill (HAN)"	50	19	38.00		31	62.00		50	
		"WATERS, Geraldine (DEM)"	12	6	50.00		6	50.00		12	
		"MITCHELL, Graham (IND)"	5	2	40.00		3	60.00		5	
		"WALKER, Stephen (NCP)"	0	0	0.00		0	0.00		0	
		"BROWN, Geoff (SAS)"	15	10	66.67		5	33.33		15	
		"EYKAMP, Jean M (NGST)"	3	1	33.33		2	66.67		3	
		"LINDSAY-HENDERSON, Steve (IND)"	7	2	28.57		5	71.43		7	
		Total	142	259	32.87		529	67.13		788	

	Claremont Meadows										
			1st Prefs	811	58.05		586	41.95		1397	
		"PHILLIPS, John (CTA)"	35	23	65.71		12	34.29		35	
		"EDWARDS, Lesley (GRN)"	23	17	73.91		6	26.09		23	
		"COURTNEY, Anthony David (IND)"	14	10	71.43		4	28.57		14	
		"NIXON, Bill (HAN)"	60	24	40.00		36	60.00		60	
		"WATERS, Geraldine (DEM)"	19	11	57.89		8	42.11		19	
		"MITCHELL, Graham (IND)"	3	3	100.00		0	0.00		3	
		"WALKER, Stephen (NCP)"	3	1	33.33		2	66.67		3	
		"BROWN, Geoff (SAS)"	25	15	60.00		10	40.00		25	
		"EYKAMP, Jean M (NGST)"	10	8	80.00		2	20.00		10	
		"LINDSAY-HENDERSON, Steve (IND)"	9	4	44.44		5	55.56		9	
		Total	201	927	58.01		671	41.99		1598	

	Cranebrook										
			1st Prefs	895	37.96		1463	62.04		2358	
		"PHILLIPS, John (CTA)"	67	24	35.82		43	64.18		67	
		"EDWARDS, Lesley (GRN)"	66	46	69.70		20	30.30		66	
		"COURTNEY, Anthony David (IND)"	74	41	55.41		33	44.59		74	
		"NIXON, Bill (HAN)"	133	51	38.35		82	61.65		133	
		"WATERS, Geraldine (DEM)"	48	29	60.42		19	39.58		48	
		"MITCHELL, Graham (IND)"	9	7	77.78		2	22.22		9	
		"WALKER, Stephen (NCP)"	3	2	66.67		1	33.33		3	
		"BROWN, Geoff (SAS)"	206	112	54.37		94	45.63		206	
		"EYKAMP, Jean M (NGST)"	12	7	58.33		5	41.67		12	
		"LINDSAY-HENDERSON, Steve (IND)"	9	4	44.44		5	55.56		9	
		Total	627	1218	40.80		1767	59.20		2985	

	Emu Heights										
			1st Prefs	554	42.98		735	57.02		1289	
		"PHILLIPS, John (CTA)"	67	23	34.33		44	65.67		67	
		"EDWARDS, Lesley (GRN)"	35	23	65.71		12	34.29		35	
		"COURTNEY, Anthony David (IND)"	18	11	61.11		7	38.89		18	
		"NIXON, Bill (HAN)"	94	26	27.66		68	72.34		94	
		"WATERS, Geraldine (DEM)"	41	23	56.10		18	43.90		41	
		"MITCHELL, Graham (IND)"	6	4	66.67		2	33.33		6	
		"WALKER, Stephen (NCP)"	2	0	0.00		2	100.00		2	
		"BROWN, Geoff (SAS)"	39	31	79.49		8	20.51		39	
		"EYKAMP, Jean M (NGST)"	11	4	36.36		7	63.64		11	
		"LINDSAY-HENDERSON, Steve (IND)"	9	5	55.56		4	44.44		9	
		Total	322	704	43.70		907	56.30		1611	

	Emu Plains										
			1st Prefs	947	38.28		1527	61.72		2474	
		"PHILLIPS, John (CTA)"	80	27	33.75		53	66.25		80	
		"EDWARDS, Lesley (GRN)"	77	62	80.52		15	19.48		77	
		"COURTNEY, Anthony David (IND)"	22	14	63.64		8	36.36		22	
		"NIXON, Bill (HAN)"	149	39	26.17		110	73.83		149	
		"WATERS, Geraldine (DEM)"	86	58	67.44		28	32.56		86	
		"MITCHELL, Graham (IND)"	6	5	83.33		1	16.67		6	
		"WALKER, Stephen (NCP)"	1	0	0.00		1	100.00		1	
		"BROWN, Geoff (SAS)"	45	25	55.56		20	44.44		45	
		"EYKAMP, Jean M (NGST)"	12	8	66.67		4	33.33		12	
		"LINDSAY-HENDERSON, Steve (IND)"	5	3	60.00		2	40.00		5	
		Total	483	1188	40.18		1769	59.82		2957	

	Floribunda										
			1st Prefs	665	32.87		1358	67.13		2023	
		"PHILLIPS, John (CTA)"	51	27	52.94		24	47.06		51	
		"EDWARDS, Lesley (GRN)"	34	24	70.59		10	29.41		34	
		"COURTNEY, Anthony David (IND)"	21	11	52.38		10	47.62		21	
		"NIXON, Bill (HAN)"	67	21	31.34		46	68.66		67	
		"WATERS, Geraldine (DEM)"	43	26	60.47		17	39.53		43	
		"MITCHELL, Graham (IND)"	4	3	75.00		1	25.00		4	
		"WALKER, Stephen (NCP)"	6	5	83.33		1	16.67		6	
		"BROWN, Geoff (SAS)"	36	18	50.00		18	50.00		36	
		"EYKAMP, Jean M (NGST)"	11	5	45.45		6	54.55		11	
		"LINDSAY-HENDERSON, Steve (IND)"	10	3	30.00		7	70.00		10	
		Total	283	808	35.04		1498	64.96		2306	

	Glenbrook										
			1st Prefs	595	35.50		1081	64.50		1676	
		"PHILLIPS, John (CTA)"	65	24	36.92		41	63.08		65	
		"EDWARDS, Lesley (GRN)"	162	138	85.19		24	14.81		162	
		"COURTNEY, Anthony David (IND)"	9	5	55.56		4	44.44		9	
		"NIXON, Bill (HAN)"	78	35	44.87		43	55.13		78	
		"WATERS, Geraldine (DEM)"	106	80	75.47		26	24.53		106	
		"MITCHELL, Graham (IND)"	5	1	20.00		4	80.00		5	
		"WALKER, Stephen (NCP)"	1	1	100.00		0	0.00		1	
		"BROWN, Geoff (SAS)"	72	43	59.72		29	40.28		72	
		"EYKAMP, Jean M (NGST)"	7	5	71.43		2	28.57		7	
		"LINDSAY-HENDERSON, Steve (IND)"	4	2	50.00		2	50.00		4	
		Total	509	929	42.52		1256	57.48		2185	

	Glenmore Park										
			1st Prefs	1352	41.94		1872	58.06		3224	
		"PHILLIPS, John (CTA)"	68	36	52.94		32	47.06		68	
		"EDWARDS, Lesley (GRN)"	49	30	61.22		19	38.78		49	
		"COURTNEY, Anthony David (IND)"	25	15	60.00		10	40.00		25	
		"NIXON, Bill (HAN)"	108	42	38.89		66	61.11		108	
		"WATERS, Geraldine (DEM)"	67	41	61.19		26	38.81		67	
		"MITCHELL, Graham (IND)"	8	7	87.50		1	12.50		8	
		"WALKER, Stephen (NCP)"	5	3	60.00		2	40.00		5	
		"BROWN, Geoff (SAS)"	44	22	50.00		22	50.00		44	
		"EYKAMP, Jean M (NGST)"	27	14	51.85		13	48.15		27	
		"LINDSAY-HENDERSON, Steve (IND)"	17	5	29.41		12	70.59		17	
		Total	418	1567	43.03		2075	56.97		3642	

	Jamisontown										
			1st Prefs	622	43.68		802	56.32		1424	
		"PHILLIPS, John (CTA)"	31	17	54.84		14	45.16		31	
		"EDWARDS, Lesley (GRN)"	24	20	83.33		4	16.67		24	
		"COURTNEY, Anthony David (IND)"	41	24	58.54		17	41.46		41	
		"NIXON, Bill (HAN)"	94	26	27.66		68	72.34		94	
		"WATERS, Geraldine (DEM)"	30	18	60.00		12	40.00		30	
		"MITCHELL, Graham (IND)"	9	5	55.56		4	44.44		9	
		"WALKER, Stephen (NCP)"	4	3	75.00		1	25.00		4	
		"BROWN, Geoff (SAS)"	29	20	68.97		9	31.03		29	
		"EYKAMP, Jean M (NGST)"	14	8	57.14		6	42.86		14	
		"LINDSAY-HENDERSON, Steve (IND)"	10	4	40.00		6	60.00		10	
		Total	286	767	44.85		943	55.15		1710	

	Kingswood										
			1st Prefs	688	52.88		613	47.12		1301	
		"PHILLIPS, John (CTA)"	79	33	41.77		46	58.23		79	
		"EDWARDS, Lesley (GRN)"	44	35	79.55		9	20.45		44	
		"COURTNEY, Anthony David (IND)"	19	15	78.95		4	21.05		19	
		"NIXON, Bill (HAN)"	89	30	33.71		59	66.29		89	
		"WATERS, Geraldine (DEM)"	37	27	72.97		10	27.03		37	
		"MITCHELL, Graham (IND)"	4	4	100.00		0	0.00		4	
		"WALKER, Stephen (NCP)"	1	0	0.00		1	100.00		1	
		"BROWN, Geoff (SAS)"	27	19	70.37		8	29.63		27	
		"EYKAMP, Jean M (NGST)"	15	8	53.33		7	46.67		15	
		"LINDSAY-HENDERSON, Steve (IND)"	6	5	83.33		1	16.67		6	
		Total	321	864	53.27		758	46.73		1622	

	Kingswood Park										
			1st Prefs	618	50.20		613	49.80		1231	
		"PHILLIPS, John (CTA)"	42	24	57.14		18	42.86		42	
		"EDWARDS, Lesley (GRN)"	46	28	60.87		18	39.13		46	
		"COURTNEY, Anthony David (IND)"	23	15	65.22		8	34.78		23	
		"NIXON, Bill (HAN)"	92	42	45.65		50	54.35		92	
		"WATERS, Geraldine (DEM)"	31	20	64.52		11	35.48		31	
		"MITCHELL, Graham (IND)"	3	2	66.67		1	33.33		3	
		"WALKER, Stephen (NCP)"	2	2	100.00		0	0.00		2	
		"BROWN, Geoff (SAS)"	63	37	58.73		26	41.27		63	
		"EYKAMP, Jean M (NGST)"	16	7	43.75		9	56.25		16	
		"LINDSAY-HENDERSON, Steve (IND)"	9	5	55.56		4	44.44		9	
		Total	327	800	51.35		758	48.65		1558	

	Kingswood South										
			1st Prefs	572	49.96		573	50.04		1145	
		"PHILLIPS, John (CTA)"	43	20	46.51		23	53.49		43	
		"EDWARDS, Lesley (GRN)"	25	16	64.00		9	36.00		25	
		"COURTNEY, Anthony David (IND)"	7	4	57.14		3	42.86		7	
		"NIXON, Bill (HAN)"	90	32	35.56		58	64.44		90	
		"WATERS, Geraldine (DEM)"	35	25	71.43		10	28.57		35	
		"MITCHELL, Graham (IND)"	7	5	71.43		2	28.57		7	
		"WALKER, Stephen (NCP)"	3	1	33.33		2	66.67		3	
		"BROWN, Geoff (SAS)"	29	12	41.38		17	58.62		29	
		"EYKAMP, Jean M (NGST)"	6	5	83.33		1	16.67		6	
		"LINDSAY-HENDERSON, Steve (IND)"	5	2	40.00		3	60.00		5	
		Total	250	694	49.75		701	50.25		1395	

	Lapstone										
			1st Prefs	305	33.93		594	66.07		899	
		"PHILLIPS, John (CTA)"	28	11	39.29		17	60.71		28	
		"EDWARDS, Lesley (GRN)"	75	64	85.33		11	14.67		75	
		"COURTNEY, Anthony David (IND)"	3	2	66.67		1	33.33		3	
		"NIXON, Bill (HAN)"	43	22	51.16		21	48.84		43	
		"WATERS, Geraldine (DEM)"	56	37	66.07		19	33.93		56	
		"MITCHELL, Graham (IND)"	0	0	0.00		0	0.00		0	
		"WALKER, Stephen (NCP)"	1	0	0.00		1	100.00		1	
		"BROWN, Geoff (SAS)"	51	36	70.59		15	29.41		51	
		"EYKAMP, Jean M (NGST)"	2	2	100.00		0	0.00		2	
		"LINDSAY-HENDERSON, Steve (IND)"	3	1	33.33		2	66.67		3	
		Total	262	480	41.34		681	58.66		1161	

	Leonay										
			1st Prefs	455	33.48		904	66.52		1359	
		"PHILLIPS, John (CTA)"	39	12	30.77		27	69.23		39	
		"EDWARDS, Lesley (GRN)"	34	20	58.82		14	41.18		34	
		"COURTNEY, Anthony David (IND)"	9	3	33.33		6	66.67		9	
		"NIXON, Bill (HAN)"	80	29	36.25		51	63.75		80	
		"WATERS, Geraldine (DEM)"	38	25	65.79		13	34.21		38	
		"MITCHELL, Graham (IND)"	1	0	0.00		1	100.00		1	
		"WALKER, Stephen (NCP)"	2	0	0.00		2	100.00		2	
		"BROWN, Geoff (SAS)"	24	15	62.50		9	37.50		24	
		"EYKAMP, Jean M (NGST)"	7	5	71.43		2	28.57		7	
		"LINDSAY-HENDERSON, Steve (IND)"	5	2	40.00		3	60.00		5	
		Total	239	566	35.42		1032	64.58		1598	

	Llandilo										
			1st Prefs	244	31.00		543	69.00		787	
		"PHILLIPS, John (CTA)"	33	26	78.79		7	21.21		33	
		"EDWARDS, Lesley (GRN)"	16	12	75.00		4	25.00		16	
		"COURTNEY, Anthony David (IND)"	2	1	50.00		1	50.00		2	
		"NIXON, Bill (HAN)"	74	23	31.08		51	68.92		74	
		"WATERS, Geraldine (DEM)"	13	9	69.23		4	30.77		13	
		"MITCHELL, Graham (IND)"	2	0	0.00		2	100.00		2	
		"WALKER, Stephen (NCP)"	0	0	0.00		0	0.00		0	
		"BROWN, Geoff (SAS)"	104	56	53.85		48	46.15		104	
		"EYKAMP, Jean M (NGST)"	12	4	33.33		8	66.67		12	
		"LINDSAY-HENDERSON, Steve (IND)"	5	2	40.00		3	60.00		5	
		Total	261	377	35.97		671	64.03		1048	

	Londonderry										
			1st Prefs	498	38.07		810	61.93		1308	
		"PHILLIPS, John (CTA)"	59	26	44.07		33	55.93		59	
		"EDWARDS, Lesley (GRN)"	29	18	62.07		11	37.93		29	
		"COURTNEY, Anthony David (IND)"	9	3	33.33		6	66.67		9	
		"NIXON, Bill (HAN)"	147	39	26.53		108	73.47		147	
		"WATERS, Geraldine (DEM)"	26	17	65.38		9	34.62		26	
		"MITCHELL, Graham (IND)"	3	2	66.67		1	33.33		3	
		"WALKER, Stephen (NCP)"	3	2	66.67		1	33.33		3	
		"BROWN, Geoff (SAS)"	75	45	60.00		30	40.00		75	
		"EYKAMP, Jean M (NGST)"	31	17	54.84		14	45.16		31	
		"LINDSAY-HENDERSON, Steve (IND)"	14	7	50.00		7	50.00		14	
		Total	396	674	39.55		1030	60.45		1704	

	Mulgoa										
			1st Prefs	220	25.00		660	75.00		880	
		"PHILLIPS, John (CTA)"	26	9	34.62		17	65.38		26	
		"EDWARDS, Lesley (GRN)"	20	12	60.00		8	40.00		20	
		"COURTNEY, Anthony David (IND)"	5	3	60.00		2	40.00		5	
		"NIXON, Bill (HAN)"	34	10	29.41		24	70.59		34	
		"WATERS, Geraldine (DEM)"	10	6	60.00		4	40.00		10	
		"MITCHELL, Graham (IND)"	2	1	50.00		1	50.00		2	
		"WALKER, Stephen (NCP)"	0	0	0.00		0	0.00		0	
		"BROWN, Geoff (SAS)"	22	11	50.00		11	50.00		22	
		"EYKAMP, Jean M (NGST)"	6	4	66.67		2	33.33		6	
		"LINDSAY-HENDERSON, Steve (IND)"	6	1	16.67		5	83.33		6	
		Total	131	277	27.40		734	72.60		1011	

	Nepean High										
			1st Prefs	533	41.90		739	58.10		1272	
		"PHILLIPS, John (CTA)"	52	22	42.31		30	57.69		52	
		"EDWARDS, Lesley (GRN)"	40	29	72.50		11	27.50		40	
		"COURTNEY, Anthony David (IND)"	8	6	75.00		2	25.00		8	
		"NIXON, Bill (HAN)"	88	33	37.50		55	62.50		88	
		"WATERS, Geraldine (DEM)"	39	24	61.54		15	38.46		39	
		"MITCHELL, Graham (IND)"	6	4	66.67		2	33.33		6	
		"WALKER, Stephen (NCP)"	5	4	80.00		1	20.00		5	
		"BROWN, Geoff (SAS)"	46	26	56.52		20	43.48		46	
		"EYKAMP, Jean M (NGST)"	7	3	42.86		4	57.14		7	
		"LINDSAY-HENDERSON, Steve (IND)"	6	3	50.00		3	50.00		6	
		Total	297	687	43.79		882	56.21		1569	

	Nepean Hospital										
			1st Prefs	204	55.89		161	44.11		365	
		"PHILLIPS, John (CTA)"	9	4	44.44		5	55.56		9	
		"EDWARDS, Lesley (GRN)"	7	4	57.14		3	42.86		7	
		"COURTNEY, Anthony David (IND)"	5	3	60.00		2	40.00		5	
		"NIXON, Bill (HAN)"	17	11	64.71		6	35.29		17	
		"WATERS, Geraldine (DEM)"	8	7	87.50		1	12.50		8	
		"MITCHELL, Graham (IND)"	1	1	100.00		0	0.00		1	
		"WALKER, Stephen (NCP)"	0	0	0.00		0	0.00		0	
		"BROWN, Geoff (SAS)"	5	4	80.00		1	20.00		5	
		"EYKAMP, Jean M (NGST)"	0	0	0.00		0	0.00		0	
		"LINDSAY-HENDERSON, Steve (IND)"	1	0	0.00		1	100.00		1	
		Total	53	238	56.94		180	43.06		418	

	Orchard Hills										
			1st Prefs	192	25.36		565	74.64		757	
		"PHILLIPS, John (CTA)"	44	10	22.73		34	77.27		44	
		"EDWARDS, Lesley (GRN)"	14	11	78.57		3	21.43		14	
		"COURTNEY, Anthony David (IND)"	3	2	66.67		1	33.33		3	
		"NIXON, Bill (HAN)"	38	9	23.68		29	76.32		38	
		"WATERS, Geraldine (DEM)"	7	6	85.71		1	14.29		7	
		"MITCHELL, Graham (IND)"	1	1	100.00		0	0.00		1	
		"WALKER, Stephen (NCP)"	2	2	100.00		0	0.00		2	
		"BROWN, Geoff (SAS)"	20	12	60.00		8	40.00		20	
		"EYKAMP, Jean M (NGST)"	2	1	50.00		1	50.00		2	
		"LINDSAY-HENDERSON, Steve (IND)"	2	2	100.00		0	0.00		2	
		Total	133	248	27.87		642	72.13		890	

	Penrith										
			1st Prefs	607	46.51		698	53.49		1305	
		"PHILLIPS, John (CTA)"	47	24	51.06		23	48.94		47	
		"EDWARDS, Lesley (GRN)"	46	27	58.70		19	41.30		46	
		"COURTNEY, Anthony David (IND)"	19	13	68.42		6	31.58		19	
		"NIXON, Bill (HAN)"	55	29	52.73		26	47.27		55	
		"WATERS, Geraldine (DEM)"	34	25	73.53		9	26.47		34	
		"MITCHELL, Graham (IND)"	3	3	100.00		0	0.00		3	
		"WALKER, Stephen (NCP)"	6	2	33.33		4	66.67		6	
		"BROWN, Geoff (SAS)"	51	32	62.75		19	37.25		51	
		"EYKAMP, Jean M (NGST)"	13	9	69.23		4	30.77		13	
		"LINDSAY-HENDERSON, Steve (IND)"	4	2	50.00		2	50.00		4	
		Total	278	773	48.83		810	51.17		1583	

	Penrith Central										
			1st Prefs	346	50.22		343	49.78		689	
		"PHILLIPS, John (CTA)"	20	13	65.00		7	35.00		20	
		"EDWARDS, Lesley (GRN)"	30	20	66.67		10	33.33		30	
		"COURTNEY, Anthony David (IND)"	8	7	87.50		1	12.50		8	
		"NIXON, Bill (HAN)"	44	20	45.45		24	54.55		44	
		"WATERS, Geraldine (DEM)"	20	13	65.00		7	35.00		20	
		"MITCHELL, Graham (IND)"	3	2	66.67		1	33.33		3	
		"WALKER, Stephen (NCP)"	4	2	50.00		2	50.00		4	
		"BROWN, Geoff (SAS)"	30	22	73.33		8	26.67		30	
		"EYKAMP, Jean M (NGST)"	11	7	63.64		4	36.36		11	
		"LINDSAY-HENDERSON, Steve (IND)"	3	1	33.33		2	66.67		3	
		Total	173	453	52.55		409	47.45		862	

	Penrith East										
			1st Prefs	470	39.70		714	60.30		1184	
		"PHILLIPS, John (CTA)"	22	10	45.45		12	54.55		22	
		"EDWARDS, Lesley (GRN)"	29	21	72.41		8	27.59		29	
		"COURTNEY, Anthony David (IND)"	14	6	42.86		8	57.14		14	
		"NIXON, Bill (HAN)"	60	37	61.67		23	38.33		60	
		"WATERS, Geraldine (DEM)"	24	16	66.67		8	33.33		24	
		"MITCHELL, Graham (IND)"	2	1	50.00		1	50.00		2	
		"WALKER, Stephen (NCP)"	0	0	0.00		0	0.00		0	
		"BROWN, Geoff (SAS)"	36	23	63.89		13	36.11		36	
		"EYKAMP, Jean M (NGST)"	12	8	66.67		4	33.33		12	
		"LINDSAY-HENDERSON, Steve (IND)"	5	3	60.00		2	40.00		5	
		Total	204	595	42.87		793	57.13		1388	

	Penrith North										
			1st Prefs	322	44.11		408	55.89		730	
		"PHILLIPS, John (CTA)"	27	17	62.96		10	37.04		27	
		"EDWARDS, Lesley (GRN)"	19	14	73.68		5	26.32		19	
		"COURTNEY, Anthony David (IND)"	2	2	100.00		0	0.00		2	
		"NIXON, Bill (HAN)"	46	18	39.13		28	60.87		46	
		"WATERS, Geraldine (DEM)"	13	8	61.54		5	38.46		13	
		"MITCHELL, Graham (IND)"	3	2	66.67		1	33.33		3	
		"WALKER, Stephen (NCP)"	1	0	0.00		1	100.00		1	
		"BROWN, Geoff (SAS)"	32	16	50.00		16	50.00		32	
		"EYKAMP, Jean M (NGST)"	7	5	71.43		2	28.57		7	
		"LINDSAY-HENDERSON, Steve (IND)"	9	5	55.56		4	44.44		9	
		Total	159	409	46.01		480	53.99		889	

	Penrith South										
			1st Prefs	1240	46.17		1446	53.83		2686	
		"PHILLIPS, John (CTA)"	75	28	37.33		47	62.67		75	
		"EDWARDS, Lesley (GRN)"	90	60	66.67		30	33.33		90	
		"COURTNEY, Anthony David (IND)"	51	33	64.71		18	35.29		51	
		"NIXON, Bill (HAN)"	192	59	30.73		133	69.27		192	
		"WATERS, Geraldine (DEM)"	57	43	75.44		14	24.56		57	
		"MITCHELL, Graham (IND)"	12	7	58.33		5	41.67		12	
		"WALKER, Stephen (NCP)"	7	3	42.86		4	57.14		7	
		"BROWN, Geoff (SAS)"	79	52	65.82		27	34.18		79	
		"EYKAMP, Jean M (NGST)"	24	14	58.33		10	41.67		24	
		"LINDSAY-HENDERSON, Steve (IND)"	12	2	16.67		10	83.33		12	
		Total	599	1541	46.91		1744	53.09		3285	

	Regentville										
			1st Prefs	577	36.89		987	63.11		1564	
		"PHILLIPS, John (CTA)"	41	13	31.71		28	68.29		41	
		"EDWARDS, Lesley (GRN)"	31	19	61.29		12	38.71		31	
		"COURTNEY, Anthony David (IND)"	8	8	100.00		0	0.00		8	
		"NIXON, Bill (HAN)"	92	33	35.87		59	64.13		92	
		"WATERS, Geraldine (DEM)"	30	17	56.67		13	43.33		30	
		"MITCHELL, Graham (IND)"	4	3	75.00		1	25.00		4	
		"WALKER, Stephen (NCP)"	1	0	0.00		1	100.00		1	
		"BROWN, Geoff (SAS)"	27	16	59.26		11	40.74		27	
		"EYKAMP, Jean M (NGST)"	13	10	76.92		3	23.08		13	
		"LINDSAY-HENDERSON, Steve (IND)"	5	3	60.00		2	40.00		5	
		Total	252	699	38.49		1117	61.51		1816	

	Stuart Street										
			1st Prefs	286	37.09		485	62.91		771	
		"PHILLIPS, John (CTA)"	19	8	42.11		11	57.89		19	
		"EDWARDS, Lesley (GRN)"	9	7	77.78		2	22.22		9	
		"COURTNEY, Anthony David (IND)"	6	5	83.33		1	16.67		6	
		"NIXON, Bill (HAN)"	64	25	39.06		39	60.94		64	
		"WATERS, Geraldine (DEM)"	19	15	78.95		4	21.05		19	
		"MITCHELL, Graham (IND)"	1	1	100.00		0	0.00		1	
		"WALKER, Stephen (NCP)"	0	0	0.00		0	0.00		0	
		"BROWN, Geoff (SAS)"	19	11	57.89		8	42.11		19	
