House of Representatives - 2001 Election: New South Wales											
Two Candidate Preferred Preference Flow Result 											
By Polling Place											
											
Farrer (84423)											
		Candidate		"BOTT, Bill"		                 	"LEY, Sussan"			Total	
		"MILLEN, Frank (CLR)"	363	313	86.23		50	13.77		363	
		"CORBETT, David (IND)"	10	7	70.00		3	30.00		10	
		"PATERSON, Brett (DEM)"	42	21	50.00		21	50.00		42	
		"TAYLOR, Sue (IND)"	18	8	44.44		10	55.56		18	
		"GIBSON, Andrew (IND)"	9	3	33.33		6	66.67		9	
		Total	623	648	48.65		684	51.35		1332	

	Albury South										
			1st Prefs	211	26.15		596	73.85		807	
		"SOBEY, Chris (GRN)"	61	34	55.74		27	44.26		61	
		"WEYRICH, Tom (IND)"	6	5	83.33		1	16.67		6	
		"WILKINSON, Max (HAN)"	67	32	47.76		35	52.24		67	
		"WATSON, Stuart (IND)"	16	10	62.50		6	37.50		16	
		"KREUTZBERGER, Keith"	19	10	52.63		9	47.37		19	
		"MILLEN, Frank (CLR)"	323	277	85.76		46	14.24		323	
		"CORBETT, David (IND)"	7	5	71.43		2	28.57		7	
		"PATERSON, Brett (DEM)"	55	24	43.64		31	56.36		55	
		"TAYLOR, Sue (IND)"	12	9	75.00		3	25.00		12	
		"GIBSON, Andrew (IND)"	14	6	42.86		8	57.14		14	
		Total	580	623	44.92		764	55.08		1387	

	Albury West										
			1st Prefs	312	28.86		769	71.14		1081	
		"SOBEY, Chris (GRN)"	96	44	45.83		52	54.17		96	
		"WEYRICH, Tom (IND)"	11	11	100.00		0	0.00		11	
		"WILKINSON, Max (HAN)"	57	23	40.35		34	59.65		57	
		"WATSON, Stuart (IND)"	14	8	57.14		6	42.86		14	
		"KREUTZBERGER, Keith"	9	4	44.44		5	55.56		9	
		"MILLEN, Frank (CLR)"	356	274	76.97		82	23.03		356	
		"CORBETT, David (IND)"	7	3	42.86		4	57.14		7	
		"PATERSON, Brett (DEM)"	81	34	41.98		47	58.02		81	
		"TAYLOR, Sue (IND)"	18	10	55.56		8	44.44		18	
		"GIBSON, Andrew (IND)"	6	4	66.67		2	33.33		6	
		Total	655	727	41.88		1009	58.12		1736	

	Balldale										
			1st Prefs	44	49.44		45	50.56		89	
		"SOBEY, Chris (GRN)"	4	3	75.00		1	25.00		4	
		"WEYRICH, Tom (IND)"	1	1	100.00		0	0.00		1	
		"WILKINSON, Max (HAN)"	6	5	83.33		1	16.67		6	
		"WATSON, Stuart (IND)"	0	0	0.00		0	0.00		0	
		"KREUTZBERGER, Keith"	1	1	100.00		0	0.00		1	
		"MILLEN, Frank (CLR)"	13	10	76.92		3	23.08		13	
		"CORBETT, David (IND)"	2	2	100.00		0	0.00		2	
		"PATERSON, Brett (DEM)"	0	0	0.00		0	0.00		0	
		"TAYLOR, Sue (IND)"	1	1	100.00		0	0.00		1	
		"GIBSON, Andrew (IND)"	0	0	0.00		0	0.00		0	
		Total	28	67	57.26		50	42.74		117	

	Balranald										
			1st Prefs	102	25.63		296	74.37		398	
		"SOBEY, Chris (GRN)"	17	11	64.71		6	35.29		17	
		"WEYRICH, Tom (IND)"	4	4	100.00		0	0.00		4	
		"WILKINSON, Max (HAN)"	80	27	33.75		53	66.25		80	
		"WATSON, Stuart (IND)"	3	2	66.67		1	33.33		3	
		"KREUTZBERGER, Keith"	1	1	100.00		0	0.00		1	
		"MILLEN, Frank (CLR)"	233	208	89.27		25	10.73		233	
		"CORBETT, David (IND)"	1	0	0.00		1	100.00		1	
		"PATERSON, Brett (DEM)"	10	6	60.00		4	40.00		10	
		"TAYLOR, Sue (IND)"	6	2	33.33		4	66.67		6	
		"GIBSON, Andrew (IND)"	3	1	33.33		2	66.67		3	
		Total	358	364	48.15		392	51.85		756	

	Barham										
			1st Prefs	267	38.70		423	61.30		690	
		"SOBEY, Chris (GRN)"	24	17	70.83		7	29.17		24	
		"WEYRICH, Tom (IND)"	3	3	100.00		0	0.00		3	
		"WILKINSON, Max (HAN)"	68	13	19.12		55	80.88		68	
		"WATSON, Stuart (IND)"	11	8	72.73		3	27.27		11	
		"KREUTZBERGER, Keith"	0	0	0.00		0	0.00		0	
		"MILLEN, Frank (CLR)"	164	133	81.10		31	18.90		164	
		"CORBETT, David (IND)"	5	3	60.00		2	40.00		5	
		"PATERSON, Brett (DEM)"	17	10	58.82		7	41.18		17	
		"TAYLOR, Sue (IND)"	10	4	40.00		6	60.00		10	
		"GIBSON, Andrew (IND)"	18	13	72.22		5	27.78		18	
		Total	320	471	46.63		539	53.37		1010	

	Barooga										
			1st Prefs	195	34.03		378	65.97		573	
		"SOBEY, Chris (GRN)"	26	16	61.54		10	38.46		26	
		"WEYRICH, Tom (IND)"	3	3	100.00		0	0.00		3	
		"WILKINSON, Max (HAN)"	30	19	63.33		11	36.67		30	
		"WATSON, Stuart (IND)"	2	0	0.00		2	100.00		2	
		"KREUTZBERGER, Keith"	4	3	75.00		1	25.00		4	
		"MILLEN, Frank (CLR)"	206	182	88.35		24	11.65		206	
		"CORBETT, David (IND)"	1	1	100.00		0	0.00		1	
		"PATERSON, Brett (DEM)"	12	8	66.67		4	33.33		12	
		"TAYLOR, Sue (IND)"	20	4	20.00		16	80.00		20	
		"GIBSON, Andrew (IND)"	4	0	0.00		4	100.00		4	
		Total	308	431	48.92		450	51.08		881	

	Batlow										
			1st Prefs	117	31.62		253	68.38		370	
		"SOBEY, Chris (GRN)"	38	28	73.68		10	26.32		38	
		"WEYRICH, Tom (IND)"	3	2	66.67		1	33.33		3	
		"WILKINSON, Max (HAN)"	89	29	32.58		60	67.42		89	
		"WATSON, Stuart (IND)"	45	29	64.44		16	35.56		45	
		"KREUTZBERGER, Keith"	4	4	100.00		0	0.00		4	
		"MILLEN, Frank (CLR)"	294	253	86.05		41	13.95		294	
		"CORBETT, David (IND)"	2	2	100.00		0	0.00		2	
		"PATERSON, Brett (DEM)"	6	3	50.00		3	50.00		6	
		"TAYLOR, Sue (IND)"	8	3	37.50		5	62.50		8	
		"GIBSON, Andrew (IND)"	2	1	50.00		1	50.00		2	
		Total	491	471	54.70		390	45.30		861	

	Berrigan										
			1st Prefs	420	67.74		200	32.26		620	
		"SOBEY, Chris (GRN)"	18	17	94.44		1	5.56		18	
		"WEYRICH, Tom (IND)"	1	1	100.00		0	0.00		1	
		"WILKINSON, Max (HAN)"	66	35	53.03		31	46.97		66	
		"WATSON, Stuart (IND)"	11	8	72.73		3	27.27		11	
		"KREUTZBERGER, Keith"	1	1	100.00		0	0.00		1	
		"MILLEN, Frank (CLR)"	105	84	80.00		21	20.00		105	
		"CORBETT, David (IND)"	2	2	100.00		0	0.00		2	
		"PATERSON, Brett (DEM)"	4	2	50.00		2	50.00		4	
		"TAYLOR, Sue (IND)"	22	7	31.82		15	68.18		22	
		"GIBSON, Andrew (IND)"	3	1	33.33		2	66.67		3	
		Total	233	578	67.76		275	32.24		853	

	Blighty										
			1st Prefs	66	40.74		96	59.26		162	
		"SOBEY, Chris (GRN)"	0	0	0.00		0	0.00		0	
		"WEYRICH, Tom (IND)"	0	0	0.00		0	0.00		0	
		"WILKINSON, Max (HAN)"	6	5	83.33		1	16.67		6	
		"WATSON, Stuart (IND)"	2	2	100.00		0	0.00		2	
		"KREUTZBERGER, Keith"	0	0	0.00		0	0.00		0	
		"MILLEN, Frank (CLR)"	6	5	83.33		1	16.67		6	
		"CORBETT, David (IND)"	1	1	100.00		0	0.00		1	
		"PATERSON, Brett (DEM)"	0	0	0.00		0	0.00		0	
		"TAYLOR, Sue (IND)"	4	2	50.00		2	50.00		4	
		"GIBSON, Andrew (IND)"	3	1	33.33		2	66.67		3	
		Total	22	82	44.57		102	55.43		184	

	Boree Creek										
			1st Prefs	79	71.17		32	28.83		111	
		"SOBEY, Chris (GRN)"	2	1	50.00		1	50.00		2	
		"WEYRICH, Tom (IND)"	0	0	0.00		0	0.00		0	
		"WILKINSON, Max (HAN)"	7	4	57.14		3	42.86		7	
		"WATSON, Stuart (IND)"	1	1	100.00		0	0.00		1	
		"KREUTZBERGER, Keith"	0	0	0.00		0	0.00		0	
		"MILLEN, Frank (CLR)"	18	13	72.22		5	27.78		18	
		"CORBETT, David (IND)"	0	0	0.00		0	0.00		0	
		"PATERSON, Brett (DEM)"	3	2	66.67		1	33.33		3	
		"TAYLOR, Sue (IND)"	2	0	0.00		2	100.00		2	
		"GIBSON, Andrew (IND)"	0	0	0.00		0	0.00		0	
		Total	33	100	69.44		44	30.56		144	

	Brocklesby										
			1st Prefs	60	68.18		28	31.82		88	
		"SOBEY, Chris (GRN)"	1	1	100.00		0	0.00		1	
		"WEYRICH, Tom (IND)"	2	2	100.00		0	0.00		2	
		"WILKINSON, Max (HAN)"	7	4	57.14		3	42.86		7	
		"WATSON, Stuart (IND)"	1	1	100.00		0	0.00		1	
		"KREUTZBERGER, Keith"	0	0	0.00		0	0.00		0	
		"MILLEN, Frank (CLR)"	16	11	68.75		5	31.25		16	
		"CORBETT, David (IND)"	0	0	0.00		0	0.00		0	
		"PATERSON, Brett (DEM)"	2	1	50.00		1	50.00		2	
		"TAYLOR, Sue (IND)"	0	0	0.00		0	0.00		0	
		"GIBSON, Andrew (IND)"	2	0	0.00		2	100.00		2	
		Total	31	80	67.23		39	32.77		119	

	Brungle										
			1st Prefs	19	38.78		30	61.22		49	
		"SOBEY, Chris (GRN)"	4	1	25.00		3	75.00		4	
		"WEYRICH, Tom (IND)"	0	0	0.00		0	0.00		0	
		"WILKINSON, Max (HAN)"	5	1	20.00		4	80.00		5	
		"WATSON, Stuart (IND)"	5	3	60.00		2	40.00		5	
		"KREUTZBERGER, Keith"	0	0	0.00		0	0.00		0	
		"MILLEN, Frank (CLR)"	26	23	88.46		3	11.54		26	
		"CORBETT, David (IND)"	0	0	0.00		0	0.00		0	
		"PATERSON, Brett (DEM)"	2	2	100.00		0	0.00		2	
		"TAYLOR, Sue (IND)"	1	1	100.00		0	0.00		1	
		"GIBSON, Andrew (IND)"	0	0	0.00		0	0.00		0	
		Total	43	50	54.35		42	45.65		92	

	Bunnaloo										
			1st Prefs	93	64.14		52	35.86		145	
		"SOBEY, Chris (GRN)"	3	3	100.00		0	0.00		3	
		"WEYRICH, Tom (IND)"	4	1	25.00		3	75.00		4	
		"WILKINSON, Max (HAN)"	8	3	37.50		5	62.50		8	
		"WATSON, Stuart (IND)"	1	1	100.00		0	0.00		1	
		"KREUTZBERGER, Keith"	1	0	0.00		1	100.00		1	
		"MILLEN, Frank (CLR)"	11	7	63.64		4	36.36		11	
		"CORBETT, David (IND)"	3	0	0.00		3	100.00		3	
		"PATERSON, Brett (DEM)"	1	0	0.00		1	100.00		1	
		"TAYLOR, Sue (IND)"	3	2	66.67		1	33.33		3	
		"GIBSON, Andrew (IND)"	1	1	100.00		0	0.00		1	
		Total	36	111	61.33		70	38.67		181	

	Buronga										
			1st Prefs	206	42.83		275	57.17		481	
		"SOBEY, Chris (GRN)"	25	16	64.00		9	36.00		25	
		"WEYRICH, Tom (IND)"	4	2	50.00		2	50.00		4	
		"WILKINSON, Max (HAN)"	140	43	30.71		97	69.29		140	
		"WATSON, Stuart (IND)"	6	5	83.33		1	16.67		6	
		"KREUTZBERGER, Keith"	4	2	50.00		2	50.00		4	
		"MILLEN, Frank (CLR)"	101	88	87.13		13	12.87		101	
		"CORBETT, David (IND)"	5	3	60.00		2	40.00		5	
		"PATERSON, Brett (DEM)"	13	7	53.85		6	46.15		13	
		"TAYLOR, Sue (IND)"	6	4	66.67		2	33.33		6	
		"GIBSON, Andrew (IND)"	2	0	0.00		2	100.00		2	
		Total	306	376	47.78		411	52.22		787	

	Burrumbuttock										
			1st Prefs	47	32.64		97	67.36		144	
		"SOBEY, Chris (GRN)"	6	5	83.33		1	16.67		6	
		"WEYRICH, Tom (IND)"	0	0	0.00		0	0.00		0	
		"WILKINSON, Max (HAN)"	10	6	60.00		4	40.00		10	
		"WATSON, Stuart (IND)"	2	1	50.00		1	50.00		2	
		"KREUTZBERGER, Keith"	8	1	12.50		7	87.50		8	
		"MILLEN, Frank (CLR)"	14	10	71.43		4	28.57		14	
		"CORBETT, David (IND)"	0	0	0.00		0	0.00		0	
		"PATERSON, Brett (DEM)"	0	0	0.00		0	0.00		0	
		"TAYLOR, Sue (IND)"	0	0	0.00		0	0.00		0	
		"GIBSON, Andrew (IND)"	0	0	0.00		0	0.00		0	
		Total	40	70	38.04		114	61.96		184	

	Conargo										
			1st Prefs	42	56.76		32	43.24		74	
		"SOBEY, Chris (GRN)"	2	1	50.00		1	50.00		2	
		"WEYRICH, Tom (IND)"	1	1	100.00		0	0.00		1	
		"WILKINSON, Max (HAN)"	6	5	83.33		1	16.67		6	
		"WATSON, Stuart (IND)"	1	1	100.00		0	0.00		1	
		"KREUTZBERGER, Keith"	0	0	0.00		0	0.00		0	
		"MILLEN, Frank (CLR)"	8	6	75.00		2	25.00		8	
		"CORBETT, David (IND)"	0	0	0.00		0	0.00		0	
		"PATERSON, Brett (DEM)"	0	0	0.00		0	0.00		0	
		"TAYLOR, Sue (IND)"	4	0	0.00		4	100.00		4	
		"GIBSON, Andrew (IND)"	2	1	50.00		1	50.00		2	
		Total	24	57	58.16		41	41.84		98	

	Corowa										
			1st Prefs	735	62.45		442	37.55		1177	
		"SOBEY, Chris (GRN)"	40	37	92.50		3	7.50		40	
		"WEYRICH, Tom (IND)"	5	5	100.00		0	0.00		5	
		"WILKINSON, Max (HAN)"	90	51	56.67		39	43.33		90	
		"WATSON, Stuart (IND)"	11	6	54.55		5	45.45		11	
		"KREUTZBERGER, Keith"	23	13	56.52		10	43.48		23	
		"MILLEN, Frank (CLR)"	376	327	86.97		49	13.03		376	
		"CORBETT, David (IND)"	12	6	50.00		6	50.00		12	
		"PATERSON, Brett (DEM)"	34	16	47.06		18	52.94		34	
		"TAYLOR, Sue (IND)"	8	5	62.50		3	37.50		8	
		"GIBSON, Andrew (IND)"	9	4	44.44		5	55.56		9	
		Total	608	1205	67.51		580	32.49		1785	

	Corowa Hospital										
			1st Prefs	443	65.82		230	34.18		673	
		"SOBEY, Chris (GRN)"	15	13	86.67		2	13.33		15	
		"WEYRICH, Tom (IND)"	1	0	0.00		1	100.00		1	
		"WILKINSON, Max (HAN)"	41	27	65.85		14	34.15		41	
		"WATSON, Stuart (IND)"	5	3	60.00		2	40.00		5	
		"KREUTZBERGER, Keith"	11	9	81.82		2	18.18		11	
		"MILLEN, Frank (CLR)"	233	194	83.26		39	16.74		233	
		"CORBETT, David (IND)"	3	2	66.67		1	33.33		3	
		"PATERSON, Brett (DEM)"	7	3	42.86		4	57.14		7	
		"TAYLOR, Sue (IND)"	8	5	62.50		3	37.50		8	
		"GIBSON, Andrew (IND)"	1	0	0.00		1	100.00		1	
		Total	325	699	70.04		299	29.96		998	

	Corowa South										
			1st Prefs	252	63.80		143	36.20		395	
		"SOBEY, Chris (GRN)"	6	5	83.33		1	16.67		6	
		"WEYRICH, Tom (IND)"	1	1	100.00		0	0.00		1	
		"WILKINSON, Max (HAN)"	19	9	47.37		10	52.63		19	
		"WATSON, Stuart (IND)"	3	1	33.33		2	66.67		3	
		"KREUTZBERGER, Keith"	6	4	66.67		2	33.33		6	
		"MILLEN, Frank (CLR)"	132	118	89.39		14	10.61		132	
		"CORBETT, David (IND)"	1	1	100.00		0	0.00		1	
		"PATERSON, Brett (DEM)"	8	6	75.00		2	25.00		8	
		"TAYLOR, Sue (IND)"	3	0	0.00		3	100.00		3	
		"GIBSON, Andrew (IND)"	1	1	100.00		0	0.00		1	
		Total	180	398	69.22		177	30.78		575	

	Culcairn										
			1st Prefs	178	33.40		355	66.60		533	
		"SOBEY, Chris (GRN)"	25	18	72.00		7	28.00		25	
		"WEYRICH, Tom (IND)"	4	2	50.00		2	50.00		4	
		"WILKINSON, Max (HAN)"	41	23	56.10		18	43.90		41	
		"WATSON, Stuart (IND)"	12	7	58.33		5	41.67		12	
		"KREUTZBERGER, Keith"	8	4	50.00		4	50.00		8	
		"MILLEN, Frank (CLR)"	193	170	88.08		23	11.92		193	
		"CORBETT, David (IND)"	4	1	25.00		3	75.00		4	
		"PATERSON, Brett (DEM)"	19	11	57.89		8	42.11		19	
		"TAYLOR, Sue (IND)"	15	7	46.67		8	53.33		15	
		"GIBSON, Andrew (IND)"	2	2	100.00		0	0.00		2	
		Total	323	423	49.42		433	50.58		856	

	Curlwaa										
			1st Prefs	72	63.16		42	36.84		114	
		"SOBEY, Chris (GRN)"	8	7	87.50		1	12.50		8	
		"WEYRICH, Tom (IND)"	1	0	0.00		1	100.00		1	
		"WILKINSON, Max (HAN)"	33	7	21.21		26	78.79		33	
		"WATSON, Stuart (IND)"	7	2	28.57		5	71.43		7	
		"KREUTZBERGER, Keith"	0	0	0.00		0	0.00		0	
		"MILLEN, Frank (CLR)"	13	13	100.00		0	0.00		13	
		"CORBETT, David (IND)"	0	0	0.00		0	0.00		0	
		"PATERSON, Brett (DEM)"	3	2	66.67		1	33.33		3	
		"TAYLOR, Sue (IND)"	1	0	0.00		1	100.00		1	
		"GIBSON, Andrew (IND)"	2	2	100.00		0	0.00		2	
		Total	68	105	57.69		77	42.31		182	

	Dareton										
			1st Prefs	195	56.69		149	43.31		344	
		"SOBEY, Chris (GRN)"	10	10	100.00		0	0.00		10	
		"WEYRICH, Tom (IND)"	1	0	0.00		1	100.00		1	
		"WILKINSON, Max (HAN)"	149	32	21.48		117	78.52		149	
		"WATSON, Stuart (IND)"	3	2	66.67		1	33.33		3	
		"KREUTZBERGER, Keith"	1	1	100.00		0	0.00		1	
		"MILLEN, Frank (CLR)"	121	87	71.90		34	28.10		121	
		"CORBETT, David (IND)"	1	1	100.00		0	0.00		1	
		"PATERSON, Brett (DEM)"	3	3	100.00		0	0.00		3	
		"TAYLOR, Sue (IND)"	6	6	100.00		0	0.00		6	
		"GIBSON, Andrew (IND)"	7	0	0.00		7	100.00		7	
		Total	302	337	52.17		309	47.83		646	

	Daysdale										
			1st Prefs	59	75.64		19	24.36		78	
		"SOBEY, Chris (GRN)"	0	0	0.00		0	0.00		0	
		"WEYRICH, Tom (IND)"	0	0	0.00		0	0.00		0	
		"WILKINSON, Max (HAN)"	5	1	20.00		4	80.00		5	
		"WATSON, Stuart (IND)"	1	1	100.00		0	0.00		1	
		"KREUTZBERGER, Keith"	3	3	100.00		0	0.00		3	
		"MILLEN, Frank (CLR)"	6	3	50.00		3	50.00		6	
		"CORBETT, David (IND)"	0	0	0.00		0	0.00		0	
		"PATERSON, Brett (DEM)"	1	0	0.00		1	100.00		1	
		"TAYLOR, Sue (IND)"	0	0	0.00		0	0.00		0	
		"GIBSON, Andrew (IND)"	0	0	0.00		0	0.00		0	
		Total	16	67	71.28		27	28.72		94	

	Deniliquin										
			1st Prefs	294	37.64		487	62.36		781	
		"SOBEY, Chris (GRN)"	30	21	70.00		9	30.00		30	
		"WEYRICH, Tom (IND)"	11	6	54.55		5	45.45		11	
		"WILKINSON, Max (HAN)"	71	18	25.35		53	74.65		71	
		"WATSON, Stuart (IND)"	14	6	42.86		8	57.14		14	
		"KREUTZBERGER, Keith"	18	9	50.00		9	50.00		18	
		"MILLEN, Frank (CLR)"	241	196	81.33		45	18.67		241	
		"CORBETT, David (IND)"	10	6	60.00		4	40.00		10	
		"PATERSON, Brett (DEM)"	23	13	56.52		10	43.48		23	
		"TAYLOR, Sue (IND)"	93	38	40.86		55	59.14		93	
		"GIBSON, Andrew (IND)"	8	2	25.00		6	75.00		8	
		Total	519	609	46.85		691	53.15		1300	

	Deniliquin Hospital										
			1st Prefs	100	41.32		142	58.68		242	
		"SOBEY, Chris (GRN)"	9	4	44.44		5	55.56		9	
		"WEYRICH, Tom (IND)"	2	2	100.00		0	0.00		2	
		"WILKINSON, Max (HAN)"	15	8	53.33		7	46.67		15	
		"WATSON, Stuart (IND)"	2	2	100.00		0	0.00		2	
		"KREUTZBERGER, Keith"	4	2	50.00		2	50.00		4	
		"MILLEN, Frank (CLR)"	79	70	88.61		9	11.39		79	
		"CORBETT, David (IND)"	1	0	0.00		1	100.00		1	
		"PATERSON, Brett (DEM)"	6	1	16.67		5	83.33		6	
		"TAYLOR, Sue (IND)"	24	8	33.33		16	66.67		24	
		"GIBSON, Andrew (IND)"	3	0	0.00		3	100.00		3	
		Total	145	197	50.90		190	49.10		387	

	Deniliquin North										
			1st Prefs	241	37.19		407	62.81		648	
		"SOBEY, Chris (GRN)"	16	12	75.00		4	25.00		16	
		"WEYRICH, Tom (IND)"	10	9	90.00		1	10.00		10	
		"WILKINSON, Max (HAN)"	73	45	61.64		28	38.36		73	
		"WATSON, Stuart (IND)"	3	2	66.67		1	33.33		3	
		"KREUTZBERGER, Keith"	8	2	25.00		6	75.00		8	
		"MILLEN, Frank (CLR)"	183	145	79.23		38	20.77		183	
		"CORBETT, David (IND)"	4	3	75.00		1	25.00		4	
		"PATERSON, Brett (DEM)"	12	7	58.33		5	41.67		12	
		"TAYLOR, Sue (IND)"	60	30	50.00		30	50.00		60	
		"GIBSON, Andrew (IND)"	3	1	33.33		2	66.67		3	
		Total	372	497	48.73		523	51.27		1020	

	Deniliquin South										
			1st Prefs	142	31.00		316	69.00		458	
		"SOBEY, Chris (GRN)"	8	4	50.00		4	50.00		8	
		"WEYRICH, Tom (IND)"	6	3	50.00		3	50.00		6	
		"WILKINSON, Max (HAN)"	32	13	40.63		19	59.38		32	
		"WATSON, Stuart (IND)"	1	0	0.00		1	100.00		1	
		"KREUTZBERGER, Keith"	9	7	77.78		2	22.22		9	
		"MILLEN, Frank (CLR)"	136	105	77.21		31	22.79		136	
		"CORBETT, David (IND)"	2	2	100.00		0	0.00		2	
		"PATERSON, Brett (DEM)"	11	4	36.36		7	63.64		11	
		"TAYLOR, Sue (IND)"	57	23	40.35		34	59.65		57	
		"GIBSON, Andrew (IND)"	6	4	66.67		2	33.33		6	
		Total	268	307	42.29		419	57.71		726	

	Deniliquin West										
			1st Prefs	279	36.86		478	63.14		757	
		"SOBEY, Chris (GRN)"	32	21	65.63		11	34.38		32	
		"WEYRICH, Tom (IND)"	13	8	61.54		5	38.46		13	
		"WILKINSON, Max (HAN)"	81	34	41.98		47	58.02		81	
		"WATSON, Stuart (IND)"	11	5	45.45		6	54.55		11	
		"KREUTZBERGER, Keith"	9	3	33.33		6	66.67		9	
