House of Representatives - 2001 Election: New South Wales																							
Distribution of Preferences																							
By Polling Place																							
																							
Hunter																							
				MACAULAY			O'BRIEN			BENNISON			LAWLER			FOX			FITZGIBBON				
	FOURTH			3	33.33			Excluded								1	11.11		5	55.56		9	
		TOTAL		27	23.68											5	4.39		82	71.93		114	
	FIFTH			3	60.00												Excluded		2	40.00		5	
		TOTAL		30	26.32														84	73.68		114	
																			Elected				
																							
Ashtonfield                                                    																							
	FIRST			606	42.17		49	3.41		71	4.94		16	1.11		87	6.05		608	42.31		1437	
	SECOND			7	43.75		2	12.50		4	25.00			Excluded		1	6.25		2	12.50		16	
		TOTAL		613	42.66		51	3.55		75	5.22					88	6.12		610	42.45		1437	
	THIRD			16	21.33		32	42.67			Excluded					8	10.67		19	25.33		75	
		TOTAL		629	43.77		83	5.78								96	6.68		629	43.77		1437	
	FOURTH			36	43.37			Excluded								6	7.23		41	49.40		83	
		TOTAL		665	46.28											102	7.10		670	46.62		1437	
	FIFTH			70	68.63												Excluded		32	31.37		102	
		TOTAL		735	51.15														702	48.85		1437	
																			Elected				
																							
Bellbird                                                       																							
	FIRST			169	13.99		41	3.39		46	3.81		7	0.58		138	11.42		807	66.80		1208	
	SECOND			0	0.00		2	28.57		0	0.00			Excluded		3	42.86		2	28.57		7	
		TOTAL		169	13.99		43	3.56		46	3.81					141	11.67		809	66.97		1208	
	THIRD			15	32.61		15	32.61			Excluded					2	4.35		14	30.43		46	
		TOTAL		184	15.23		58	4.80								143	11.84		823	68.13		1208	
	FOURTH			19	32.76			Excluded								10	17.24		29	50.00		58	
		TOTAL		203	16.80											153	12.67		852	70.53		1208	
	FIFTH			114	74.51												Excluded		39	25.49		153	
		TOTAL		317	26.24														891	73.76		1208	
																			Elected				
																							
Black Hill                                                     																							
	FIRST			67	48.91		8	5.84		6	4.38		2	1.46		20	14.60		34	24.82		137	
	SECOND			2	100.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		2	
		TOTAL		69	50.36		8	5.84		6	4.38					20	14.60		34	24.82		137	
	THIRD			0	0.00		3	50.00			Excluded					1	16.67		2	33.33		6	
		TOTAL		69	50.36		11	8.03								21	15.33		36	26.28		137	
	FOURTH			1	9.09			Excluded								0	0.00		10	90.91		11	
		TOTAL		70	51.09											21	15.33		46	33.58		137	
	FIFTH			19	90.48												Excluded		2	9.52		21	
		TOTAL		89	64.96														48	35.04		137	
																			Elected				
																							
Bolwarra                                                       																							
	FIRST			516	52.23		51	5.16		51	5.16		26	2.63		76	7.69		268	27.13		988	
	SECOND			10	38.46		6	23.08		2	7.69			Excluded		5	19.23		3	11.54		26	
		TOTAL		526	53.24		57	5.77		53	5.36					81	8.20		271	27.43		988	
	THIRD			10	18.87		26	49.06			Excluded					0	0.00		17	32.08		53	
		TOTAL		536	54.25		83	8.40								81	8.20		288	29.15		988	
	FOURTH			35	42.17			Excluded								8	9.64		40	48.19		83	
		TOTAL		571	57.79											89	9.01		328	33.20		988	
	FIFTH			74	83.15												Excluded		15	16.85		89	
		TOTAL		645	65.28														343	34.72		988	
																			Elected				
																							
Branxton                                                       																							
	FIRST			439	26.82		88	5.38		46	2.81		9	0.55		172	10.51		883	53.94		1637	
	SECOND			4	44.44		2	22.22		1	11.11			Excluded		1	11.11		1	11.11		9	
		TOTAL		443	27.06		90	5.50		47	2.87					173	10.57		884	54.00		1637	
	THIRD			12	25.53		17	36.17			Excluded					3	6.38		15	31.91		47	
		TOTAL		455	27.79		107	6.54								176	10.75		899	54.92		1637	
	FOURTH			35	32.71			Excluded								9	8.41		63	58.88		107	
		TOTAL		490	29.93											185	11.30		962	58.77		1637	
	FIFTH			129	69.73												Excluded		56	30.27		185	
		TOTAL		619	37.81														1018	62.19		1637	
																			Elected				
																							
Broke                                                          																							
	FIRST			131	39.58		7	2.11		20	6.04		3	0.91		44	13.29		126	38.07		331	
	SECOND			0	0.00		2	66.67		0	0.00			Excluded		1	33.33		0	0.00		3	
		TOTAL		131	39.58		9	2.72		20	6.04					45	13.60		126	38.07		331	
	THIRD			2	10.00		10	50.00			Excluded					1	5.00		7	35.00		20	
		TOTAL		133	40.18		19	5.74								46	13.90		133	40.18		331	
	FOURTH			7	36.84			Excluded								4	21.05		8	42.11		19	
		TOTAL		140	42.30											50	15.11		141	42.60		331	
	FIFTH			32	64.00												Excluded		18	36.00		50	
		TOTAL		172	51.96														159	48.04		331	
																			Elected				
																							
Camberwell                                                     																							
	FIRST			38	36.89		4	3.88		3	2.91		2	1.94		20	19.42		36	34.95		103	
	SECOND			0	0.00		1	50.00		0	0.00			Excluded		0	0.00		1	50.00		2	
		TOTAL		38	36.89		5	4.85		3	2.91					20	19.42		37	35.92		103	
	THIRD			1	33.33		2	66.67			Excluded					0	0.00		0	0.00		3	
		TOTAL		39	37.86		7	6.80								20	19.42		37	35.92		103	
	FOURTH			2	28.57			Excluded								3	42.86		2	28.57		7	
		TOTAL		41	39.81											23	22.33		39	37.86		103	
	FIFTH			17	73.91												Excluded		6	26.09		23	
		TOTAL		58	56.31														45	43.69		103	
																			Elected				
																							
Cessnock                                                       																							
	FIRST			172	20.38		31	3.67		27	3.20		11	1.30		107	12.68		496	58.77		844	
	SECOND			4	36.36		3	27.27		0	0.00			Excluded		1	9.09		3	27.27		11	
		TOTAL		176	20.85		34	4.03		27	3.20					108	12.80		499	59.12		844	
	THIRD			4	14.81		12	44.44			Excluded					2	7.41		9	33.33		27	
		TOTAL		180	21.33		46	5.45								110	13.03		508	60.19		844	
	FOURTH			14	30.43			Excluded								4	8.70		28	60.87		46	
		TOTAL		194	22.99											114	13.51		536	63.51		844	
	FIFTH			81	71.05												Excluded		33	28.95		114	
		TOTAL		275	32.58														569	67.42		844	
																			Elected				
																							
Cessnock East                                                  																							
	FIRST			120	12.12		28	2.83		46	4.65		7	0.71		118	11.92		671	67.78		990	
	SECOND			2	28.57		0	0.00		4	57.14			Excluded		1	14.29		0	0.00		7	
		TOTAL		122	12.32		28	2.83		50	5.05					119	12.02		671	67.78		990	
	THIRD			9	18.00		33	66.00			Excluded					4	8.00		4	8.00		50	
		TOTAL		131	13.23		61	6.16								123	12.42		675	68.18		990	
	FOURTH			21	34.43			Excluded								7	11.48		33	54.10		61	
		TOTAL		152	15.35											130	13.13		708	71.52		990	
	FIFTH			88	67.69												Excluded		42	32.31		130	
		TOTAL		240	24.24														750	75.76		990	
																			Elected				
																							
Cessnock Hospital                                              																							
	FIRST			132	16.90		26	3.33		40	5.12		3	0.38		94	12.04		486	62.23		781	
	SECOND			0	0.00		2	66.67		1	33.33			Excluded		0	0.00		0	0.00		3	
		TOTAL		132	16.90		28	3.59		41	5.25					94	12.04		486	62.23		781	
	THIRD			10	24.39		24	58.54			Excluded					1	2.44		6	14.63		41	
		TOTAL		142	18.18		52	6.66								95	12.16		492	63.00		781	
	FOURTH			22	42.31			Excluded								8	15.38		22	42.31		52	
		TOTAL		164	21.00											103	13.19		514	65.81		781	
	FIFTH			77	74.76												Excluded		26	25.24		103	
		TOTAL		241	30.86														540	69.14		781	
																			Elected				
																							
Cessnock North                                                 																							
	FIRST			126	17.97		28	3.99		26	3.71		4	0.57		80	11.41		437	62.34		701	
	SECOND			0	0.00		2	50.00		0	0.00			Excluded		1	25.00		1	25.00		4	
		TOTAL		126	17.97		30	4.28		26	3.71					81	11.55		438	62.48		701	
	THIRD			4	15.38		9	34.62			Excluded					8	30.77		5	19.23		26	
		TOTAL		130	18.54		39	5.56								89	12.70		443	63.20		701	
	FOURTH			9	23.08			Excluded								6	15.38		24	61.54		39	
		TOTAL		139	19.83											95	13.55		467	66.62		701	
	FIFTH			64	67.37												Excluded		31	32.63		95	
		TOTAL		203	28.96														498	71.04		701	
																			Elected				
																							
Cessnock West                                                  																							
	FIRST			346	17.54		91	4.61		84	4.26		15	0.76		184	9.33		1253	63.51		1973	
	SECOND			2	13.33		3	20.00		0	0.00			Excluded		7	46.67		3	20.00		15	
		TOTAL		348	17.64		94	4.76		84	4.26					191	9.68		1256	63.66		1973	
	THIRD			21	25.00		37	44.05			Excluded					7	8.33		19	22.62		84	
		TOTAL		369	18.70		131	6.64								198	10.04		1275	64.62		1973	
	FOURTH			58	44.27			Excluded								14	10.69		59	45.04		131	
		TOTAL		427	21.64											212	10.75		1334	67.61		1973	
	FIFTH			138	65.09												Excluded		74	34.91		212	
		TOTAL		565	28.64														1408	71.36		1973	
																			Elected				
																							
Denman                                                         																							
	FIRST			437	40.31		23	2.12		34	3.14		9	0.83		105	9.69		476	43.91		1084	
	SECOND			3	33.33		0	0.00		2	22.22			Excluded		3	33.33		1	11.11		9	
		TOTAL		440	40.59		23	2.12		36	3.32					108	9.96		477	44.00		1084	
	THIRD			11	30.56		13	36.11			Excluded					4	11.11		8	22.22		36	
		TOTAL		451	41.61		36	3.32								112	10.33		485	44.74		1084	
	FOURTH			14	38.89			Excluded								7	19.44		15	41.67		36	
		TOTAL		465	42.90											119	10.98		500	46.13		1084	
	FIFTH			83	69.75												Excluded		36	30.25		119	
		TOTAL		548	50.55														536	49.45		1084	
																			Elected				
																							
East Maitland                                                  																							
	FIRST			305	29.53		44	4.26		63	6.10		34	3.29		91	8.81		496	48.02		1033	
	SECOND			10	29.41		2	5.88		3	8.82			Excluded		16	47.06		3	8.82		34	
		TOTAL		315	30.49		46	4.45		66	6.39					107	10.36		499	48.31		1033	
	THIRD			18	27.27		34	51.52			Excluded					3	4.55		11	16.67		66	
		TOTAL		333	32.24		80	7.74								110	10.65		510	49.37		1033	
	FOURTH			30	37.50			Excluded								4	5.00		46	57.50		80	
		TOTAL		363	35.14											114	11.04		556	53.82		1033	
	FIFTH			83	72.81												Excluded		31	27.19		114	
		TOTAL		446	43.18														587	56.82		1033	
																			Elected				
																							
East Maitland Heights                                          																							
	FIRST			494	32.93		82	5.47		68	4.53		37	2.47		159	10.60		660	44.00		1500	
	SECOND			13	35.14		3	8.11		5	13.51			Excluded		11	29.73		5	13.51		37	
		TOTAL		507	33.80		85	5.67		73	4.87					170	11.33		665	44.33		1500	
	THIRD			15	20.55		45	61.64			Excluded					3	4.11		10	13.70		73	
		TOTAL		522	34.80		130	8.67								173	11.53		675	45.00		1500	
	FOURTH			58	44.62			Excluded								16	12.31		56	43.08		130	
		TOTAL		580	38.67											189	12.60		731	48.73		1500	
	FIFTH			141	74.60												Excluded		48	25.40		189	
		TOTAL		721	48.07														779	51.93		1500	
																			Elected				
																							
East Maitland South                                            																							
	FIRST			639	37.39		88	5.15		90	5.27		29	1.70		141	8.25		722	42.25		1709	
	SECOND			9	31.03		4	13.79		4	13.79			Excluded		6	20.69		6	20.69		29	
		TOTAL		648	37.92		92	5.38		94	5.50					147	8.60		728	42.60		1709	
	THIRD			22	23.40		41	43.62			Excluded					6	6.38		25	26.60		94	
		TOTAL		670	39.20		133	7.78								153	8.95		753	44.06		1709	
	FOURTH			51	38.35			Excluded								20	15.04		62	46.62		133	
		TOTAL		721	42.19											173	10.12		815	47.69		1709	
	FIFTH			129	74.57												Excluded		44	25.43		173	
		TOTAL		850	49.74														859	50.26		1709	
																			Elected				
																							
Eastville                                                      																							
	FIRST			101	22.25		7	1.54		13	2.86		10	2.20		45	9.91		278	61.23		454	
	SECOND			3	30.00		1	10.00		3	30.00			Excluded		0	0.00		3	30.00		10	
		TOTAL		104	22.91		8	1.76		16	3.52					45	9.91		281	61.89		454	
	THIRD			4	25.00		8	50.00			Excluded					1	6.25		3	18.75		16	
		TOTAL		108	23.79		16	3.52								46	10.13		284	62.56		454	
	FOURTH			7	43.75			Excluded								0	0.00		9	56.25		16	
		TOTAL		115	25.33											46	10.13		293	64.54		454	
	FIFTH			32	69.57												Excluded		14	30.43		46	
		TOTAL		147	32.38														307	67.62		454	
																			Elected				
																							
Elderslie                                                      																							
	FIRST			67	36.81		8	4.40		5	2.75		2	1.10		32	17.58		68	37.36		182	
	SECOND			1	50.00		0	0.00		0	0.00			Excluded		1	50.00		0	0.00		2	
		TOTAL		68	37.36		8	4.40		5	2.75					33	18.13		68	37.36		182	
	THIRD			2	40.00		1	20.00			Excluded					1	20.00		1	20.00		5	
		TOTAL		70	38.46		9	4.95								34	18.68		69	37.91		182	
	FOURTH			7	77.78			Excluded								0	0.00		2	22.22		9	
		TOTAL		77	42.31											34	18.68		71	39.01		182	
	FIFTH			25	73.53												Excluded		9	26.47		34	
		TOTAL		102	56.04														80	43.96		182	
																			Elected				
																							
Ellalong                                                       																							
	FIRST			95	20.47		34	7.33		19	4.09		3	0.65		62	13.36		251	54.09		464	
	SECOND			1	33.33		1	33.33		0	0.00			Excluded		1	33.33		0	0.00		3	
		TOTAL		96	20.69		35	7.54		19	4.09					63	13.58		251	54.09		464	
	THIRD			0	0.00		12	63.16			Excluded					4	21.05		3	15.79		19	
		TOTAL		96	20.69		47	10.13								67	14.44		254	54.74		464	
	FOURTH			19	40.43			Excluded								5	10.64		23	48.94		47	
		TOTAL		115	24.78											72	15.52		277	59.70		464	
	FIFTH			43	59.72												Excluded		29	40.28		72	
		TOTAL		158	34.05														306	65.95		464	
																			Elected				
																							
Francis Street                                                 																							
	FIRST			116	16.36		22	3.10		21	2.96		6	0.85		111	15.66		433	61.07		709	
	SECOND			0	0.00		1	16.67		3	50.00			Excluded		1	16.67		1	16.67		6	
		TOTAL		116	16.36		23	3.24		24	3.39					112	15.80		434	61.21		709	
	THIRD			6	25.00		11	45.83			Excluded					2	8.33		5	20.83		24	
		TOTAL		122	17.21		34	4.80								114	16.08		439	61.92		709	
	FOURTH			10	29.41			Excluded								2	5.88		22	64.71		34	
		TOTAL		132	18.62											116	16.36		461	65.02		709	
	FIFTH			92	79.31												Excluded		24	20.69		116	
		TOTAL		224	31.59														485	68.41		709	
																			Elected				
																							
Gillieston Heights                                             																							
	FIRST			115	28.05		17	4.15		11	2.68		10	2.44		48	11.71		209	50.98		410	
	SECOND			3	30.00		1	10.00		2	20.00			Excluded		3	30.00		1	10.00		10	
		TOTAL		118	28.78		18	4.39		13	3.17					51	12.44		210	51.22		410	
	THIRD			1	7.69		9	69.23			Excluded					1	7.69		2	15.38		13	
		TOTAL		119	29.02		27	6.59								52	12.68		212	51.71		410	
	FOURTH			11	40.74			Excluded								3	11.11		13	48.15		27	
		TOTAL		130	31.71											55	13.41		225	54.88		410	
	FIFTH			36	65.45												Excluded		19	34.55		55	
		TOTAL		166	40.49														244	59.51		410	
																			Elected				
																							
Glendon                                                        																							
	FIRST			87	56.49		7	4.55		6	3.90		3	1.95		17	11.04		34	22.08		154	
	SECOND			1	33.33		1	33.33		0	0.00			Excluded		1	33.33		0	0.00		3	
		TOTAL		88	57.14		8	5.19		6	3.90					18	11.69		34	22.08		154	
	THIRD			1	16.67		2	33.33			Excluded					0	0.00		3	50.00		6	
		TOTAL		89	57.79		10	6.49								18	11.69		37	24.03		154	
	FOURTH			3	30.00			Excluded								2	20.00		5	50.00		10	
		TOTAL		92	59.74											20	12.99		42	27.27		154	
	FIFTH			15	75.00												Excluded		5	25.00		20	
		TOTAL		107	69.48														47	30.52		154	
																			Elected				
																							
Glendon Brook                                                  																							
	FIRST			76	53.15		3	2.10		5	3.50		0	0.00		26	18.18		33	23.08		143	
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	
		TOTAL		76	53.15		3	2.10		5	3.50					26	18.18		33	23.08		143	
	THIRD			0	0.00		0	0.00			Excluded					0	0.00		5	100.00		5	
		TOTAL		76	53.15		3	2.10								26	18.18		38	26.57		143	
	FOURTH			2	66.67			Excluded								0	0.00		1	33.33		3	
		TOTAL		78	54.55											26	18.18		39	27.27		143	
	FIFTH			22	84.62												Excluded		4	15.38		26	
		TOTAL		100	69.93														43	30.07		143	
																			Elected				
																							
Greenlands                                                     																							
	FIRST			103	59.54		4	2.31		5	2.89		2	1.16		10	5.78		49	28.32		173	
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		2	100.00		0	0.00		2	
		TOTAL		103	59.54		4	2.31		5	2.89					12	6.94		49	28.32		173	
	THIRD			2	40.00		1	20.00			Excluded					1	20.00		1	20.00		5	
		TOTAL		105	60.69		5	2.89								13	7.51		50	28.90		173	
	FOURTH			3	60.00			Excluded								1	20.00		1	20.00		5	
		TOTAL		108	62.43											14	8.09		51	29.48		173	
	FIFTH			11	78.57												Excluded		3	21.43		14	
		TOTAL		119	68.79														54	31.21		173	
																			Elected				
																							
Greta                                                          																							
	FIRST			242	20.20		42	3.51		31	2.59		11	0.92		157	13.11		715	59.68		1198	
	SECOND			2	18.18		3	27.27		0	0.00			Excluded		4	36.36		2	18.18		11	
		TOTAL		244	20.37		45	3.76		31	2.59					161	13.44		717	59.85		1198	
	THIRD			5	16.13		12	38.71			Excluded					7	22.58		7	22.58		31	
		TOTAL		249	20.78		57	4.76								168	14.02		724	60.43		1198	
	FOURTH			30	52.63			Excluded								5	8.77		22	38.60		57	
		TOTAL		279	23.29											173	14.44		746	62.27		1198	
	FIFTH			105	60.69												Excluded		68	39.31		173	
		TOTAL		384	32.05														814	67.95		1198	
																			Elected				
																							
Heddon Greta                                                   																							
	FIRST			131	17.82		35	4.76		29	3.95		16	2.18		86	11.70		438	59.59		735	
	SECOND			2	12.50		1	6.25		6	37.50			Excluded		4	25.00		3	18.75		16	
		TOTAL		133	18.10		36	4.90		35	4.76					90	12.24		441	60.00		735	
	THIRD			9	25.71		18	51.43			Excluded					1	2.86		7	20.00		35	
		TOTAL		142	19.32		54	7.35								91	12.38		448	60.95		735	
	FOURTH			18	33.33			Excluded								8	14.81		28	51.85		54	
		TOTAL		160	21.77											99	13.47		476	64.76		735	
	FIFTH			63	63.64												Excluded		36	36.36		99	
		TOTAL		223	30.34														512	69.66		735	
																			Elected				
																							
Jerrys Plains                                                  																							
	FIRST			98	41.70		5	2.13		5	2.13		4	1.70		52	22.13		71	30.21		235	
	SECOND			2	50.00		1	25.00		0	0.00			Excluded		0	0.00		1	25.00		4	
		TOTAL		100	42.55		6	2.55		5	2.13					52	22.13		72	30.64		235	
	THIRD			2	40.00		2	40.00			Excluded					0	0.00		1	20.00		5	
		TOTAL		102	43.40		8	3.40								52	22.13		73	31.06		235	
	FOURTH			3	37.50			Excluded								1	12.50		4	50.00		8	
		TOTAL		105	44.68											53	22.55		77	32.77		235	
	FIFTH			39	73.58												Excluded		14	26.42		53	
		TOTAL		144	61.28														91	38.72		235	
																			Elected				
																							
Kearsley                                                       																							
	FIRST			115	19.13		28	4.66		30	4.99		4	0.67		76	12.65		348	57.90		601	
	SECOND			1	25.00		0	0.00		1	25.00			Excluded		1	25.00		1	25.00		4	
		TOTAL		116	19.30		28	4.66		31	5.16					77	12.81		349	58.07		601	
	THIRD			6	19.35		11	35.48			Excluded					4	12.90		10	32.26		31	
		TOTAL		122	20.30		39	6.49								81	13.48		359	59.73		601	
	FOURTH			10	25.64			Excluded								6	15.38		23	58.97		39	
		TOTAL		132	21.96											87	14.48		382	63.56		601	
	FIFTH			49	56.32												Excluded		38	43.68		87	
		TOTAL		181	30.12														420	69.88		601	
																			Elected				
																							
Kitchener                                                      																							
	FIRST			67	19.71		17	5.00		20	5.88		1	0.29		33	9.71		202	59.41		340	
	SECOND			0	0.00		1	100.00		0	0.00			Excluded		0	0.00		0	0.00		1	
		TOTAL		67	19.71		18	5.29		20	5.88					33	9.71		202	59.41		340	
	THIRD			3	15.00		8	40.00			Excluded					4	20.00		5	25.00		20	
		TOTAL		70	20.59		26	7.65								37	10.88		207	60.88		340	
	FOURTH			8	30.77			Excluded								3	11.54		15	57.69		26	
		TOTAL		78	22.94											40	11.76		222	65.29		340	
	FIFTH			25	62.50												Excluded		15	37.50		40	
		TOTAL		103	30.29														237	69.71		340	
																			Elected				
																							
Kurri Kurri                                                    																							
	FIRST			242	14.09		106	6.17		42	2.44		14	0.81		214	12.46		1100	64.03		1718	
	SECOND			3	21.43		4	28.57		1	7.14			Excluded		4	28.57		2	14.29		14	
		TOTAL		245	14.26		110	6.40		43	2.50					218	12.69		1102	64.14		1718	
	THIRD			11	25.58		17	39.53			Excluded					6	13.95		9	20.93		43	
		TOTAL		256	14.90		127	7.39								224	13.04		1111	64.67		1718	
	FOURTH			37	29.13			Excluded								24	18.90		66	51.97		127	
		TOTAL		293	17.05											248	14.44		1177	68.51		1718	
	FIFTH			145	58.47												Excluded		103	41.53		248	
		TOTAL		438	25.49														1280	74.51		1718	
																			Elected				
																							
Kurri Kurri East                                               																							
	FIRST			226	14.26		87	5.49		39	2.46		14	0.88		199	12.56		1020	64.35		1585	
	SECOND			3	21.43		0	0.00		2	14.29			Excluded		8	57.14		1	7.14		14	
		TOTAL		229	14.45		87	5.49		41	2.59					207	13.06		1021	64.42		1585	
	THIRD			8	19.51		14	34.15			Excluded					7	17.07		12	29.27		41	
		TOTAL		237	14.95		101	6.37								214	13.50		1033	65.17		1585	
	FOURTH			27	26.73			Excluded								18	17.82		56	55.45		101	
		TOTAL		264	16.66											232	14.64		1089	68.71		1585	
	FIFTH			153	65.95												Excluded		79	34.05		232	
		TOTAL		417	26.31														1168	73.69		1585	
																			Elected				
																							
Largs                                                          																							
	FIRST			314	41.15		29	3.80		36	4.72		34	4.46		81	10.62		269	35.26		763	
	SECOND			6	17.65		3	8.82		3	8.82			Excluded		13	38.24		9	26.47		34	
		TOTAL		320	41.94		32	4.19		39	5.11					94	12.32		278	36.44		763	
	THIRD			17	43.59		12	30.77			Excluded					2	5.13		8	20.51		39	
		TOTAL		337	44.17		44	5.77								96	12.58		286	37.48		763	
	FOURTH			14	31.82			Excluded								5	11.36		25	56.82		44	
		TOTAL		351	46.00											101	13.24		311	40.76		763	
	FIFTH			80	79.21												Excluded		21	20.79		101	
		TOTAL		431	56.49														332	43.51		763	
																			Elected				
																							
Lochinvar                                                      																							
	FIRST			433	41.20		49	4.66		40	3.81		28	2.66		102	9.71		399	37.96		1051	
	SECOND			3	10.71		2	7.14		4	14.29			Excluded		15	53.57		4	14.29		28	
		TOTAL		436	41.48		51	4.85		44	4.19					117	11.13		403	38.34		1051	
	THIRD			15	34.09		20	45.45			Excluded					2	4.55		7	15.91		44	
		TOTAL		451	42.91		71	6.76								119	11.32		410	39.01		1051	
	FOURTH			37	52.11			Excluded								4	5.63		30	42.25		71	
		TOTAL		488	46.43											123	11.70		440	41.86		1051	
	FIFTH			86	69.92												Excluded		37	30.08		123	
		TOTAL		574	54.61														477	45.39		1051	
																			Elected				
																							
Lorn                                                           																							
	FIRST			500	42.44		90	7.64		66	5.60		26	2.21		82	6.96		414	35.14		1178	
	SECOND			11	42.31		3	11.54		4	15.38			Excluded		5	19.23		3	11.54		26	
		TOTAL		511	43.38		93	7.89		70	5.94					87	7.39		417	35.40		1178	
	THIRD			9	12.86		39	55.71			Excluded					5	7.14		17	24.29		70	
		TOTAL		520	44.14		132	11.21								92	7.81		434	36.84		1178	
	FOURTH			44	33.33			Excluded								12	9.09		76	57.58		132	
		TOTAL		564	47.88											104	8.83		510	43.29		1178	
	FIFTH			72	69.23												Excluded		32	30.77		104	
		TOTAL		636	53.99														542	46.01		1178	
																			Elected				
																							
Lower Belford                                                  																							
	FIRST			95	38.31		15	6.05		8	3.23		10	4.03		39	15.73		81	32.66		248	
	SECOND			4	40.00		0	0.00		1	10.00			Excluded		3	30.00		2	20.00		10	
		TOTAL		99	39.92		15	6.05		9	3.63					42	16.94		83	33.47		248	
	THIRD			3	33.33		0	0.00			Excluded					3	33.33		3	33.33		9	
		TOTAL		102	41.13		15	6.05								45	18.15		86	34.68		248	
	FOURTH			7	46.67			Excluded								4	26.67		4	26.67		15	
		TOTAL		109	43.95											49	19.76		90	36.29		248	
	FIFTH			35	71.43												Excluded		14	28.57		49	
		TOTAL		144	58.06														104	41.94		248	
																			Elected				
																							
Maitland                                                       																							
	FIRST			96	17.88		22	4.10		17	3.17		12	2.23		63	11.73		327	60.89		537	
	SECOND			4	33.33		1	8.33		1	8.33			Excluded		4	33.33		2	16.67		12	
		TOTAL		100	18.62		23	4.28		18	3.35					67	12.48		329	61.27		537	
	THIRD			4	22.22		6	33.33			Excluded					2	11.11		6	33.33		18	
		TOTAL		104	19.37		29	5.40								69	12.85		335	62.38		537	
	FOURTH			8	27.59			Excluded								6	20.69		15	51.72		29	
		TOTAL		112	20.86											75	13.97		350	65.18		537	
	FIFTH			47	62.67												Excluded		28	37.33		75	
		TOTAL		159	29.61														378	70.39		537	
																			Elected				
																							
Maitland Grossmann High                                        																							
	FIRST			132	32.12		28	6.81		32	7.79		4	0.97		31	7.54		184	44.77		411	
	SECOND			2	50.00		0	0.00		1	25.00			Excluded		1	25.00		0	0.00		4	
		TOTAL		134	32.60		28	6.81		33	8.03					32	7.79		184	44.77		411	
	THIRD			4	12.12		21	63.64			Excluded					2	6.06		6	18.18		33	
		TOTAL		138	33.58		49	11.92								34	8.27		190	46.23		411	
	FOURTH			18	36.73			Excluded								9	18.37		22	44.90		49	
		TOTAL		156	37.96											43	10.46		212	51.58		411	
