House of Representatives - 2001 Election: New South Wales																				
Distribution of Preferences																				
By Polling Place																				
																				
Parkes																				
				KNAGGE			COBB			REDFERN			DUNLOP			WARD				
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		7	19.44		25	69.44		4	11.11					0	0.00		36	
	THIRD			0	0.00		0	0.00		0	0.00						Excluded		0	
		TOTAL		7	19.44		25	69.44		4	11.11								36	
	FOURTH			2	50.00		2	50.00			Excluded								4	
		TOTAL		9	25.00		27	75.00											36	
							Elected													
																				
Dubbo                                                          																				
	FIRST			507	30.34		895	53.56		143	8.56		74	4.43		52	3.11		1671	
	SECOND			13	17.57		10	13.51		8	10.81			Excluded		43	58.11		74	
		TOTAL		520	31.12		905	54.16		151	9.04					95	5.69		1671	
	THIRD			60	63.16		26	27.37		9	9.47						Excluded		95	
		TOTAL		580	34.71		931	55.72		160	9.58								1671	
	FOURTH			74	46.25		86	53.75			Excluded								160	
		TOTAL		654	39.14		1017	60.86											1671	
							Elected													
																				
Dubbo East                                                     																				
	FIRST			792	29.66		1495	55.99		201	7.53		88	3.30		94	3.52		2670	
	SECOND			18	20.45		19	21.59		7	7.95			Excluded		44	50.00		88	
		TOTAL		810	30.34		1514	56.70		208	7.79					138	5.17		2670	
	THIRD			67	48.55		41	29.71		30	21.74						Excluded		138	
		TOTAL		877	32.85		1555	58.24		238	8.91								2670	
	FOURTH			119	50.00		119	50.00			Excluded								238	
		TOTAL		996	37.30		1674	62.70											2670	
							Elected													
																				
Dubbo Grove                                                    																				
	FIRST			668	26.70		1448	57.87		252	10.07		66	2.64		68	2.72		2502	
	SECOND			18	27.27		7	10.61		6	9.09			Excluded		35	53.03		66	
		TOTAL		686	27.42		1455	58.15		258	10.31					103	4.12		2502	
	THIRD			54	52.43		26	25.24		23	22.33						Excluded		103	
		TOTAL		740	29.58		1481	59.19		281	11.23								2502	
	FOURTH			137	48.75		144	51.25			Excluded								281	
		TOTAL		877	35.05		1625	64.95											2502	
							Elected													
																				
Dubbo Hospital                                                 																				
	FIRST			69	31.36		111	50.45		11	5.00		13	5.91		16	7.27		220	
	SECOND			5	38.46		2	15.38		0	0.00			Excluded		6	46.15		13	
		TOTAL		74	33.64		113	51.36		11	5.00					22	10.00		220	
	THIRD			12	54.55		5	22.73		5	22.73						Excluded		22	
		TOTAL		86	39.09		118	53.64		16	7.27								220	
	FOURTH			5	31.25		11	68.75			Excluded								16	
		TOTAL		91	41.36		129	58.64											220	
							Elected													
																				
Dubbo North                                                    																				
	FIRST			675	31.62		1073	50.26		276	12.93		56	2.62		55	2.58		2135	
	SECOND			18	32.14		8	14.29		11	19.64			Excluded		19	33.93		56	
		TOTAL		693	32.46		1081	50.63		287	13.44					74	3.47		2135	
	THIRD			31	41.89		22	29.73		21	28.38						Excluded		74	
		TOTAL		724	33.91		1103	51.66		308	14.43								2135	
	FOURTH			148	48.05		160	51.95			Excluded								308	
		TOTAL		872	40.84		1263	59.16											2135	
							Elected													
																				
Dubbo South                                                    																				
	FIRST			580	30.26		1019	53.16		162	8.45		86	4.49		70	3.65		1917	
	SECOND			17	19.77		10	11.63		5	5.81			Excluded		54	62.79		86	
		TOTAL		597	31.14		1029	53.68		167	8.71					124	6.47		1917	
	THIRD			72	58.06		38	30.65		14	11.29						Excluded		124	
		TOTAL		669	34.90		1067	55.66		181	9.44								1917	
	FOURTH			67	37.02		114	62.98			Excluded								181	
		TOTAL		736	38.39		1181	61.61											1917	
							Elected													
																				
Dubbo West                                                     																				
	FIRST			578	32.49		914	51.38		178	10.01		50	2.81		59	3.32		1779	
	SECOND			16	32.00		11	22.00		12	24.00			Excluded		11	22.00		50	
		TOTAL		594	33.39		925	52.00		190	10.68					70	3.93		1779	
	THIRD			35	50.00		26	37.14		9	12.86						Excluded		70	
		TOTAL		629	35.36		951	53.46		199	11.19								1779	
	FOURTH			88	44.22		111	55.78			Excluded								199	
		TOTAL		717	40.30		1062	59.70											1779	
							Elected													
																				
Emmagool                                                       																				
	FIRST			9	8.33		87	80.56		8	7.41		2	1.85		2	1.85		108	
	SECOND			1	50.00		1	50.00		0	0.00			Excluded		0	0.00		2	
		TOTAL		10	9.26		88	81.48		8	7.41					2	1.85		108	
	THIRD			0	0.00		2	100.00		0	0.00						Excluded		2	
		TOTAL		10	9.26		90	83.33		8	7.41								108	
	FOURTH			4	50.00		4	50.00			Excluded								8	
		TOTAL		14	12.96		94	87.04											108	
							Elected													
																				
Euabalong                                                      																				
	FIRST			35	25.00		67	47.86		32	22.86		2	1.43		4	2.86		140	
	SECOND			0	0.00		1	50.00		1	50.00			Excluded		0	0.00		2	
		TOTAL		35	25.00		68	48.57		33	23.57					4	2.86		140	
	THIRD			1	25.00		0	0.00		3	75.00						Excluded		4	
		TOTAL		36	25.71		68	48.57		36	25.71								140	
	FOURTH			19	52.78		17	47.22			Excluded								36	
		TOTAL		55	39.29		85	60.71											140	
							Elected													
																				
Eumungerie                                                     																				
	FIRST			26	14.29		104	57.14		50	27.47		2	1.10		0	0.00		182	
	SECOND			0	0.00		0	0.00		1	50.00			Excluded		1	50.00		2	
		TOTAL		26	14.29		104	57.14		51	28.02					1	0.55		182	
	THIRD			0	0.00		1	100.00		0	0.00						Excluded		1	
		TOTAL		26	14.29		105	57.69		51	28.02								182	
	FOURTH			26	50.98		25	49.02			Excluded								51	
		TOTAL		52	28.57		130	71.43											182	
							Elected													
																				
Excelsior                                                      																				
	FIRST			693	54.14		364	28.44		168	13.13		28	2.19		27	2.11		1280	
	SECOND			10	35.71		4	14.29		5	17.86			Excluded		9	32.14		28	
		TOTAL		703	54.92		368	28.75		173	13.52					36	2.81		1280	
	THIRD			17	47.22		11	30.56		8	22.22						Excluded		36	
		TOTAL		720	56.25		379	29.61		181	14.14								1280	
	FOURTH			106	58.56		75	41.44			Excluded								181	
		TOTAL		826	64.53		454	35.47											1280	
							Elected													
																				
Fifield                                                        																				
	FIRST			13	18.06		41	56.94		16	22.22		0	0.00		2	2.78		72	
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		13	18.06		41	56.94		16	22.22					2	2.78		72	
	THIRD			0	0.00		0	0.00		2	100.00						Excluded		2	
		TOTAL		13	18.06		41	56.94		18	25.00								72	
	FOURTH			8	44.44		10	55.56			Excluded								18	
		TOTAL		21	29.17		51	70.83											72	
							Elected													
																				
Forbes                                                         																				
	FIRST			834	29.03		1570	54.65		318	11.07		67	2.33		84	2.92		2873	
	SECOND			18	26.87		14	20.90		10	14.93			Excluded		25	37.31		67	
		TOTAL		852	29.66		1584	55.13		328	11.42					109	3.79		2873	
	THIRD			49	44.95		33	30.28		27	24.77						Excluded		109	
		TOTAL		901	31.36		1617	56.28		355	12.36								2873	
	FOURTH			187	52.68		168	47.32			Excluded								355	
		TOTAL		1088	37.87		1785	62.13											2873	
							Elected													
																				
Forbes Hospital                                                																				
	FIRST			81	23.62		215	62.68		30	8.75		9	2.62		8	2.33		343	
	SECOND			4	44.44		0	0.00		1	11.11			Excluded		4	44.44		9	
		TOTAL		85	24.78		215	62.68		31	9.04					12	3.50		343	
	THIRD			7	58.33		5	41.67		0	0.00						Excluded		12	
		TOTAL		92	26.82		220	64.14		31	9.04								343	
	FOURTH			16	51.61		15	48.39			Excluded								31	
		TOTAL		108	31.49		235	68.51											343	
							Elected													
																				
Forbes North                                                   																				
	FIRST			524	39.76		618	46.89		124	9.41		29	2.20		23	1.75		1318	
	SECOND			3	10.34		9	31.03		3	10.34			Excluded		14	48.28		29	
		TOTAL		527	39.98		627	47.57		127	9.64					37	2.81		1318	
	THIRD			19	51.35		8	21.62		10	27.03						Excluded		37	
		TOTAL		546	41.43		635	48.18		137	10.39								1318	
	FOURTH			63	45.99		74	54.01			Excluded								137	
		TOTAL		609	46.21		709	53.79											1318	
							Elected													
																				
Forbes South                                                   																				
	FIRST			159	31.99		278	55.94		45	9.05		6	1.21		9	1.81		497	
	SECOND			1	16.67		1	16.67		1	16.67			Excluded		3	50.00		6	
		TOTAL		160	32.19		279	56.14		46	9.26					12	2.41		497	
	THIRD			1	8.33		7	58.33		4	33.33						Excluded		12	
		TOTAL		161	32.39		286	57.55		50	10.06								497	
	FOURTH			24	48.00		26	52.00			Excluded								50	
		TOTAL		185	37.22		312	62.78											497	
							Elected													
																				
Garema                                                         																				
	FIRST			9	10.71		66	78.57		8	9.52		1	1.19		0	0.00		84	
	SECOND			0	0.00		1	100.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		9	10.71		67	79.76		8	9.52					0	0.00		84	
	THIRD			0	0.00		0	0.00		0	0.00						Excluded		0	
		TOTAL		9	10.71		67	79.76		8	9.52								84	
	FOURTH			3	37.50		5	62.50			Excluded								8	
		TOTAL		12	14.29		72	85.71											84	
							Elected													
																				
Girilambone                                                    																				
	FIRST			10	20.41		27	55.10		12	24.49		0	0.00		0	0.00		49	
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		10	20.41		27	55.10		12	24.49					0	0.00		49	
	THIRD			0	0.00		0	0.00		0	0.00						Excluded		0	
		TOTAL		10	20.41		27	55.10		12	24.49								49	
	FOURTH			6	50.00		6	50.00			Excluded								12	
		TOTAL		16	32.65		33	67.35											49	
							Elected													
																				
Gordon Centre                                                  																				
	FIRST			160	75.47		39	18.40		7	3.30		2	0.94		4	1.89		212	
	SECOND			1	50.00		1	50.00		0	0.00			Excluded		0	0.00		2	
		TOTAL		161	75.94		40	18.87		7	3.30					4	1.89		212	
	THIRD			1	25.00		2	50.00		1	25.00						Excluded		4	
		TOTAL		162	76.42		42	19.81		8	3.77								212	
	FOURTH			4	50.00		4	50.00			Excluded								8	
		TOTAL		166	78.30		46	21.70											212	
							Elected													
																				
Greenethorpe                                                   																				
	FIRST			41	21.69		116	61.38		20	10.58		2	1.06		10	5.29		189	
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		2	100.00		2	
		TOTAL		41	21.69		116	61.38		20	10.58					12	6.35		189	
	THIRD			3	25.00		8	66.67		1	8.33						Excluded		12	
		TOTAL		44	23.28		124	65.61		21	11.11								189	
	FOURTH			10	47.62		11	52.38			Excluded								21	
		TOTAL		54	28.57		135	71.43											189	
							Elected													
																				
Grenfell                                                       																				
	FIRST			400	24.04		1021	61.36		164	9.86		31	1.86		48	2.88		1664	
	SECOND			5	16.13		5	16.13		4	12.90			Excluded		17	54.84		31	
		TOTAL		405	24.34		1026	61.66		168	10.10					65	3.91		1664	
	THIRD			25	38.46		26	40.00		14	21.54						Excluded		65	
		TOTAL		430	25.84		1052	63.22		182	10.94								1664	
	FOURTH			72	39.56		110	60.44			Excluded								182	
		TOTAL		502	30.17		1162	69.83											1664	
							Elected													
																				
Gunningbland                                                   																				
	FIRST			7	7.37		80	84.21		7	7.37		1	1.05		0	0.00		95	
	SECOND			0	0.00		0	0.00		1	100.00			Excluded		0	0.00		1	
		TOTAL		7	7.37		80	84.21		8	8.42					0	0.00		95	
	THIRD			0	0.00		0	0.00		0	0.00						Excluded		0	
		TOTAL		7	7.37		80	84.21		8	8.42								95	
	FOURTH			1	12.50		7	87.50			Excluded								8	
		TOTAL		8	8.42		87	91.58											95	
							Elected													
																				
Hermidale                                                      																				
	FIRST			7	6.80		90	87.38		4	3.88		1	0.97		1	0.97		103	
	SECOND			0	0.00		1	100.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		7	6.80		91	88.35		4	3.88					1	0.97		103	
	THIRD			0	0.00		1	100.00		0	0.00						Excluded		1	
		TOTAL		7	6.80		92	89.32		4	3.88								103	
	FOURTH			1	25.00		3	75.00			Excluded								4	
		TOTAL		8	7.77		95	92.23											103	
							Elected													
																				
Hillside                                                       																				
	FIRST			807	55.81		391	27.04		202	13.97		21	1.45		25	1.73		1446	
	SECOND			2	9.52		2	9.52		4	19.05			Excluded		13	61.90		21	
		TOTAL		809	55.95		393	27.18		206	14.25					38	2.63		1446	
	THIRD			21	55.26		11	28.95		6	15.79						Excluded		38	
		TOTAL		830	57.40		404	27.94		212	14.66								1446	
	FOURTH			139	65.57		73	34.43			Excluded								212	
		TOTAL		969	67.01		477	32.99											1446	
							Elected													
																				
Hillston                                                       																				
	FIRST			260	30.37		491	57.36		60	7.01		21	2.45		24	2.80		856	
	SECOND			5	23.81		3	14.29		3	14.29			Excluded		10	47.62		21	
		TOTAL		265	30.96		494	57.71		63	7.36					34	3.97		856	
	THIRD			17	50.00		14	41.18		3	8.82						Excluded		34	
		TOTAL		282	32.94		508	59.35		66	7.71								856	
	FOURTH			22	33.33		44	66.67			Excluded								66	
		TOTAL		304	35.51		552	64.49											856	
							Elected													
																				
Ivanhoe                                                        																				
	FIRST			30	20.98		94	65.73		13	9.09		2	1.40		4	2.80		143	
	SECOND			1	50.00		0	0.00		1	50.00			Excluded		0	0.00		2	
		TOTAL		31	21.68		94	65.73		14	9.79					4	2.80		143	
	THIRD			3	75.00		0	0.00		1	25.00						Excluded		4	
		TOTAL		34	23.78		94	65.73		15	10.49								143	
	FOURTH			9	60.00		6	40.00			Excluded								15	
		TOTAL		43	30.07		100	69.93											143	
							Elected													
																				
Lake Cargelligo                                                																				
	FIRST			228	25.59		536	60.16		87	9.76		24	2.69		16	1.80		891	
	SECOND			10	41.67		6	25.00		2	8.33			Excluded		6	25.00		24	
		TOTAL		238	26.71		542	60.83		89	9.99					22	2.47		891	
	THIRD			12	54.55		9	40.91		1	4.55						Excluded		22	
		TOTAL		250	28.06		551	61.84		90	10.10								891	
	FOURTH			33	36.67		57	63.33			Excluded								90	
		TOTAL		283	31.76		608	68.24											891	
							Elected													
																				
Lourdes Hospital                                               																				
	FIRST			196	37.62		266	51.06		38	7.29		8	1.54		13	2.50		521	
	SECOND			0	0.00		4	50.00		0	0.00			Excluded		4	50.00		8	
		TOTAL		196	37.62		270	51.82		38	7.29					17	3.26		521	
	THIRD			8	47.06		3	17.65		6	35.29						Excluded		17	
		TOTAL		204	39.16		273	52.40		44	8.45								521	
	FOURTH			19	43.18		25	56.82			Excluded								44	
		TOTAL		223	42.80		298	57.20											521	
							Elected													
																				
Menindee                                                       																				
	FIRST			216	56.10		94	24.42		59	15.32		8	2.08		8	2.08		385	
	SECOND			1	12.50		1	12.50		1	12.50			Excluded		5	62.50		8	
		TOTAL		217	56.36		95	24.68		60	15.58					13	3.38		385	
	THIRD			4	30.77		5	38.46		4	30.77						Excluded		13	
		TOTAL		221	57.40		100	25.97		64	16.62								385	
	FOURTH			40	62.50		24	37.50			Excluded								64	
		TOTAL		261	67.79		124	32.21											385	
							Elected													
																				
Merriwagga                                                     																				
	FIRST			9	16.07		40	71.43		6	10.71		0	0.00		1	1.79		56	
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		9	16.07		40	71.43		6	10.71					1	1.79		56	
	THIRD			0	0.00		1	100.00		0	0.00						Excluded		1	
		TOTAL		9	16.07		41	73.21		6	10.71								56	
	FOURTH			4	66.67		2	33.33			Excluded								6	
		TOTAL		13	23.21		43	76.79											56	
							Elected													
																				
Mirrool                                                        																				
	FIRST			2	2.82		61	85.92		7	9.86		1	1.41		0	0.00		71	
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		1	100.00		1	
		TOTAL		2	2.82		61	85.92		7	9.86					1	1.41		71	
	THIRD			1	100.00		0	0.00		0	0.00						Excluded		1	
		TOTAL		3	4.23		61	85.92		7	9.86								71	
	FOURTH			1	14.29		6	85.71			Excluded								7	
		TOTAL		4	5.63		67	94.37											71	
							Elected													
																				
Morgan Street                                                  																				
	FIRST			655	49.51		464	35.07		135	10.20		24	1.81		45	3.40		1323	
	SECOND			7	29.17		2	8.33		5	20.83			Excluded		10	41.67		24	
		TOTAL		662	50.04		466	35.22		140	10.58					55	4.16		1323	
	THIRD			22	40.00		22	40.00		11	20.00						Excluded		55	
		TOTAL		684	51.70		488	36.89		151	11.41								1323	
	FOURTH			94	62.25		57	37.75			Excluded								151	
		TOTAL		778	58.81		545	41.19											1323	
							Elected													
																				
Murrin Bridge                                                  																				
	FIRST			41	77.36		8	15.09		1	1.89		0	0.00		3	5.66		53	
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		41	77.36		8	15.09		1	1.89					3	5.66		53	
	THIRD			1	33.33		2	66.67		0	0.00						Excluded		3	
		TOTAL		42	79.25		10	18.87		1	1.89								53	
	FOURTH			0	0.00		1	100.00			Excluded								1	
		TOTAL		42	79.25		11	20.75											53	
							Elected													
																				
Narromine                                                      																				
	FIRST			747	29.07		1454	56.58		254	9.88		64	2.49		51	1.98		2570	
	SECOND			18	28.13		14	21.88		11	17.19			Excluded		21	32.81		64	
		TOTAL		765	29.77		1468	57.12		265	10.31					72	2.80		2570	
	THIRD			29	40.28		27	37.50		16	22.22						Excluded		72	
		TOTAL		794	30.89		1495	58.17		281	10.93								2570	
	FOURTH			156	55.52		125	44.48			Excluded								281	
		TOTAL		950	36.96		1620	63.04											2570	
							Elected													
																				
Nevertire                                                      																				
	FIRST			30	18.52		106	65.43		20	12.35		2	1.23		4	2.47		162	
	SECOND			0	0.00		1	50.00		0	0.00			Excluded		1	50.00		2	
		TOTAL		30	18.52		107	66.05		20	12.35					5	3.09		162	
	THIRD			1	20.00		2	40.00		2	40.00						Excluded		5	
		TOTAL		31	19.14		109	67.28		22	13.58								162	
	FOURTH			8	36.36		14	63.64			Excluded								22	
		TOTAL		39	24.07		123	75.93											162	
							Elected													
																				
Nymagee                                                        																				
	FIRST			7	8.14		63	73.26		14	16.28		1	1.16		1	1.16		86	
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		1	100.00		1	
		TOTAL		7	8.14		63	73.26		14	16.28					2	2.33		86	
	THIRD			1	50.00		1	50.00		0	0.00						Excluded		2	
		TOTAL		8	9.30		64	74.42		14	16.28								86	
	FOURTH			4	28.57		10	71.43			Excluded								14	
		TOTAL		12	13.95		74	86.05											86	
							Elected													
																				
Nyngan                                                         																				
	FIRST			429	33.20		630	48.76		184	14.24		21	1.63		28	2.17		1292	
	SECOND			7	33.33		3	14.29		5	23.81			Excluded		6	28.57		21	
		TOTAL		436	33.75		633	48.99		189	14.63					34	2.63		1292	
	THIRD			13	38.24		17	50.00		4	11.76						Excluded		34	
		TOTAL		449	34.75		650	50.31		193	14.94								1292	
	FOURTH			95	49.22		98	50.78			Excluded								193	
		TOTAL		544	42.11		748	57.89											1292	
							Elected													
																				
Ootha                                                          																				
	FIRST			1	2.33		35	81.40		5	11.63		1	2.33		1	2.33		43	
	SECOND			0	0.00		1	100.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		1	2.33		36	83.72		5	11.63					1	2.33		43	
	THIRD			0	0.00		1	100.00		0	0.00						Excluded		1	
		TOTAL		1	2.33		37	86.05		5	11.63								43	
	FOURTH			3	60.00		2	40.00			Excluded								5	
		TOTAL		4	9.30		39	90.70											43	
							Elected													
																				
Orana Heights                                                  																				
	FIRST			819	28.26		1711	59.04		234	8.07		62	2.14		72	2.48		2898	
	SECOND			11	17.74		8	12.90		8	12.90			Excluded		35	56.45		62	
