House of Representatives - 2001 Election: New South Wales																												
Distribution of Preferences																												
By Polling Place																												
																												
Cunningham																												
				CURTIS			PINK			FIELDS			BERRY			MOTT			MARTIN			NEWMAN			SKINNER			
		TOTAL		100	5.87					356	20.88		95	5.57		61	3.58		940	55.13		126	7.39		27	1.58		1705
	THIRD			2	7.41					9	33.33		2	7.41		2	7.41		5	18.52		7	25.93			Excluded		27
		TOTAL		102	5.98					365	21.41		97	5.69		63	3.70		945	55.43		133	7.80					1705
	FOURTH				Excluded					46	45.10		18	17.65		10	9.80		19	18.63		9	8.82					102
		TOTAL								411	24.11		115	6.74		73	4.28		964	56.54		142	8.33					1705
	FIFTH									15	20.55		37	50.68			Excluded		10	13.70		11	15.07					73
		TOTAL								426	24.99		152	8.91					974	57.13		153	8.97					1705
	SIXTH									27	17.65		75	49.02					51	33.33			Excluded					153
		TOTAL								453	26.57		227	13.31					1025	60.12								1705
	SEVENTH									78	34.36			Excluded					149	65.64								227
		TOTAL								531	31.14								1174	68.86								1705
																			Elected									
																												
Cordeaux Heights                                               																												
	FIRST			32	2.89		7	0.63		381	34.42		27	2.44		42	3.79		457	41.28		95	8.58		66	5.96		1107
	SECOND			2	28.57			Excluded		1	14.29		2	28.57		0	0.00		2	28.57		0	0.00		0	0.00		7
		TOTAL		34	3.07					382	34.51		29	2.62		42	3.79		459	41.46		95	8.58		66	5.96		1107
	THIRD			12	18.18					25	37.88		4	6.06		7	10.61		6	9.09		12	18.18			Excluded		66
		TOTAL		46	4.16					407	36.77		33	2.98		49	4.43		465	42.01		107	9.67					1107
	FOURTH				Excluded					13	28.26		8	17.39		14	30.43		9	19.57		2	4.35					46
		TOTAL								420	37.94		41	3.70		63	5.69		474	42.82		109	9.85					1107
	FIFTH									25	39.68		12	19.05			Excluded		8	12.70		18	28.57					63
		TOTAL								445	40.20		53	4.79					482	43.54		127	11.47					1107
	SIXTH									34	26.77		58	45.67					35	27.56			Excluded					127
		TOTAL								479	43.27		111	10.03					517	46.70								1107
	SEVENTH									47	42.34			Excluded					64	57.66								111
		TOTAL								526	47.52								581	52.48								1107
																			Elected									
																												
Corrimal                                                       																												
	FIRST			121	5.11		33	1.39		587	24.79		93	3.93		98	4.14		1271	53.67		87	3.67		78	3.29		2368
	SECOND			6	18.18			Excluded		7	21.21		7	21.21		4	12.12		8	24.24		1	3.03		0	0.00		33
		TOTAL		127	5.36					594	25.08		100	4.22		102	4.31		1279	54.01		88	3.72		78	3.29		2368
	THIRD			20	25.64					25	32.05		5	6.41		2	2.56		12	15.38		14	17.95			Excluded		78
		TOTAL		147	6.21					619	26.14		105	4.43		104	4.39		1291	54.52		102	4.31					2368
	FOURTH				Excluded					34	23.13		50	34.01		41	27.89		17	11.56		5	3.40					147
		TOTAL								653	27.58		155	6.55		145	6.12		1308	55.24		107	4.52					2368
	FIFTH									24	16.55		69	47.59			Excluded		29	20.00		23	15.86					145
		TOTAL								677	28.59		224	9.46					1337	56.46		130	5.49					2368
	SIXTH									24	18.46		53	40.77					53	40.77			Excluded					130
		TOTAL								701	29.60		277	11.70					1390	58.70								2368
	SEVENTH									131	47.29			Excluded					146	52.71								277
		TOTAL								832	35.14								1536	64.86								2368
																			Elected									
																												
Corrimal East                                                  																												
	FIRST			161	5.32		37	1.22		690	22.79		142	4.69		162	5.35		1591	52.56		168	5.55		76	2.51		3027
	SECOND			11	29.73			Excluded		10	27.03		7	18.92		4	10.81		5	13.51		0	0.00		0	0.00		37
		TOTAL		172	5.68					700	23.13		149	4.92		166	5.48		1596	52.73		168	5.55		76	2.51		3027
	THIRD			27	35.53					18	23.68		4	5.26		5	6.58		10	13.16		12	15.79			Excluded		76
		TOTAL		199	6.57					718	23.72		153	5.05		171	5.65		1606	53.06		180	5.95					3027
	FOURTH				Excluded					52	26.13		68	34.17		42	21.11		28	14.07		9	4.52					199
		TOTAL								770	25.44		221	7.30		213	7.04		1634	53.98		189	6.24					3027
	FIFTH									54	25.35		95	44.60			Excluded		41	19.25		23	10.80					213
		TOTAL								824	27.22		316	10.44					1675	55.34		212	7.00					3027
	SIXTH									27	12.74		99	46.70					86	40.57			Excluded					212
		TOTAL								851	28.11		415	13.71					1761	58.18								3027
	SEVENTH									163	39.28			Excluded					252	60.72								415
		TOTAL								1014	33.50								2013	66.50								3027
																			Elected									
																												
Fairy Meadow                                                   																												
	FIRST			83	4.43		19	1.01		448	23.93		97	5.18		67	3.58		1007	53.79		115	6.14		36	1.92		1872
	SECOND			5	26.32			Excluded		2	10.53		3	15.79		4	21.05		5	26.32		0	0.00		0	0.00		19
		TOTAL		88	4.70					450	24.04		100	5.34		71	3.79		1012	54.06		115	6.14		36	1.92		1872
	THIRD			7	19.44					9	25.00		3	8.33		3	8.33		8	22.22		6	16.67			Excluded		36
		TOTAL		95	5.07					459	24.52		103	5.50		74	3.95		1020	54.49		121	6.46					1872
	FOURTH				Excluded					53	55.79		12	12.63		15	15.79		12	12.63		3	3.16					95
		TOTAL								512	27.35		115	6.14		89	4.75		1032	55.13		124	6.62					1872
	FIFTH									22	24.72		29	32.58			Excluded		21	23.60		17	19.10					89
		TOTAL								534	28.53		144	7.69					1053	56.25		141	7.53					1872
	SIXTH									18	12.77		77	54.61					46	32.62			Excluded					141
		TOTAL								552	29.49		221	11.81					1099	58.71								1872
	SEVENTH									64	28.96			Excluded					157	71.04								221
		TOTAL								616	32.91								1256	67.09								1872
																			Elected									
																												
Fairy Meadow South                                             																												
	FIRST			8	4.06		2	1.02		44	22.34		20	10.15		6	3.05		97	49.24		16	8.12		4	2.03		197
	SECOND			1	50.00			Excluded		0	0.00		1	50.00		0	0.00		0	0.00		0	0.00		0	0.00		2
		TOTAL		9	4.57					44	22.34		21	10.66		6	3.05		97	49.24		16	8.12		4	2.03		197
	THIRD			0	0.00					4	100.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		4
		TOTAL		9	4.57					48	24.37		21	10.66		6	3.05		97	49.24		16	8.12					197
	FOURTH				Excluded					3	33.33		2	22.22		2	22.22		2	22.22		0	0.00					9
		TOTAL								51	25.89		23	11.68		8	4.06		99	50.25		16	8.12					197
	FIFTH									1	12.50		3	37.50			Excluded		0	0.00		4	50.00					8
		TOTAL								52	26.40		26	13.20					99	50.25		20	10.15					197
	SIXTH									4	20.00		9	45.00					7	35.00			Excluded					20
		TOTAL								56	28.43		35	17.77					106	53.81								197
	SEVENTH									8	22.86			Excluded					27	77.14								35
		TOTAL								64	32.49								133	67.51								197
																			Elected									
																												
Figtree                                                        																												
	FIRST			155	4.65		40	1.20		1075	32.22		155	4.65		130	3.90		1370	41.07		275	8.24		136	4.08		3336
	SECOND			11	27.50			Excluded		6	15.00		5	12.50		3	7.50		13	32.50		0	0.00		2	5.00		40
		TOTAL		166	4.98					1081	32.40		160	4.80		133	3.99		1383	41.46		275	8.24		138	4.14		3336
	THIRD			36	26.09					54	39.13		3	2.17		15	10.87		16	11.59		14	10.14			Excluded		138
		TOTAL		202	6.06					1135	34.02		163	4.89		148	4.44		1399	41.94		289	8.66					3336
	FOURTH				Excluded					68	33.66		47	23.27		52	25.74		23	11.39		12	5.94					202
		TOTAL								1203	36.06		210	6.29		200	6.00		1422	42.63		301	9.02					3336
	FIFTH									86	43.00		64	32.00			Excluded		22	11.00		28	14.00					200
		TOTAL								1289	38.64		274	8.21					1444	43.29		329	9.86					3336
	SIXTH									56	17.02		184	55.93					89	27.05			Excluded					329
		TOTAL								1345	40.32		458	13.73					1533	45.95								3336
	SEVENTH									172	37.55			Excluded					286	62.45								458
		TOTAL								1517	45.47								1819	54.53								3336
																			Elected									
																												
Figtree Heights                                                																												
	FIRST			50	3.74		14	1.05		501	37.50		56	4.19		90	6.74		438	32.78		125	9.36		62	4.64		1336
	SECOND			4	28.57			Excluded		3	21.43		0	0.00		1	7.14		6	42.86		0	0.00		0	0.00		14
		TOTAL		54	4.04					504	37.72		56	4.19		91	6.81		444	33.23		125	9.36		62	4.64		1336
	THIRD			19	30.65					20	32.26		6	9.68		4	6.45		2	3.23		11	17.74			Excluded		62
		TOTAL		73	5.46					524	39.22		62	4.64		95	7.11		446	33.38		136	10.18					1336
	FOURTH				Excluded					19	26.03		7	9.59		31	42.47		14	19.18		2	2.74					73
		TOTAL								543	40.64		69	5.16		126	9.43		460	34.43		138	10.33					1336
	FIFTH									38	30.16		44	34.92			Excluded		18	14.29		26	20.63					126
		TOTAL								581	43.49		113	8.46					478	35.78		164	12.28					1336
	SIXTH									28	17.07		79	48.17					57	34.76			Excluded					164
		TOTAL								609	45.58		192	14.37					535	40.04								1336
	SEVENTH									77	40.10			Excluded					115	59.90								192
		TOTAL								686	51.35								650	48.65								1336
																			Elected									
																												
Gwynneville                                                    																												
	FIRST			50	3.41		8	0.54		338	23.02		106	7.22		66	4.50		686	46.73		163	11.10		51	3.47		1468
	SECOND			0	0.00			Excluded		0	0.00		4	50.00		0	0.00		3	37.50		1	12.50		0	0.00		8
		TOTAL		50	3.41					338	23.02		110	7.49		66	4.50		689	46.93		164	11.17		51	3.47		1468
	THIRD			13	25.49					14	27.45		6	11.76		6	11.76		6	11.76		6	11.76			Excluded		51
		TOTAL		63	4.29					352	23.98		116	7.90		72	4.90		695	47.34		170	11.58					1468
	FOURTH				Excluded					22	34.92		8	12.70		21	33.33		12	19.05		0	0.00					63
		TOTAL								374	25.48		124	8.45		93	6.34		707	48.16		170	11.58					1468
	FIFTH									34	36.56		29	31.18			Excluded		14	15.05		16	17.20					93
		TOTAL								408	27.79		153	10.42					721	49.11		186	12.67					1468
	SIXTH									24	12.90		113	60.75					49	26.34			Excluded					186
		TOTAL								432	29.43		266	18.12					770	52.45								1468
	SEVENTH									71	26.69			Excluded					195	73.31								266
		TOTAL								503	34.26								965	65.74								1468
																			Elected									
																												
Helensburgh                                                    																												
	FIRST			156	7.01		27	1.21		790	35.51		129	5.80		83	3.73		879	39.51		75	3.37		86	3.87		2225
	SECOND			6	22.22			Excluded		6	22.22		5	18.52		2	7.41		4	14.81		3	11.11		1	3.70		27
		TOTAL		162	7.28					796	35.78		134	6.02		85	3.82		883	39.69		78	3.51		87	3.91		2225
	THIRD			34	39.08					29	33.33		2	2.30		6	6.90		8	9.20		8	9.20			Excluded		87
		TOTAL		196	8.81					825	37.08		136	6.11		91	4.09		891	40.04		86	3.87					2225
	FOURTH				Excluded					75	38.27		28	14.29		56	28.57		28	14.29		9	4.59					196
		TOTAL								900	40.45		164	7.37		147	6.61		919	41.30		95	4.27					2225
	FIFTH									44	29.93		53	36.05			Excluded		25	17.01		25	17.01					147
		TOTAL								944	42.43		217	9.75					944	42.43		120	5.39					2225
	SIXTH									22	18.33		46	38.33					52	43.33			Excluded					120
		TOTAL								966	43.42		263	11.82					996	44.76								2225
	SEVENTH									77	29.28			Excluded					186	70.72								263
		TOTAL								1043	46.88								1182	53.12								2225
																			Elected									
																												
Helensburgh North                                              																												
	FIRST			50	6.19		12	1.49		256	31.68		44	5.45		60	7.43		325	40.22		33	4.08		28	3.47		808
	SECOND			3	25.00			Excluded		1	8.33		2	16.67		4	33.33		1	8.33		1	8.33		0	0.00		12
		TOTAL		53	6.56					257	31.81		46	5.69		64	7.92		326	40.35		34	4.21		28	3.47		808
	THIRD			6	21.43					7	25.00		3	10.71		0	0.00		7	25.00		5	17.86			Excluded		28
		TOTAL		59	7.30					264	32.67		49	6.06		64	7.92		333	41.21		39	4.83					808
	FOURTH				Excluded					22	37.29		9	15.25		13	22.03		13	22.03		2	3.39					59
		TOTAL								286	35.40		58	7.18		77	9.53		346	42.82		41	5.07					808
	FIFTH									19	24.68		31	40.26			Excluded		15	19.48		12	15.58					77
		TOTAL								305	37.75		89	11.01					361	44.68		53	6.56					808
	SIXTH									6	11.32		24	45.28					23	43.40			Excluded					53
		TOTAL								311	38.49		113	13.99					384	47.52								808
	SEVENTH									33	29.20			Excluded					80	70.80								113
		TOTAL								344	42.57								464	57.43								808
																			Elected									
																												
Keiraville                                                     																												
	FIRST			100	3.77		16	0.60		853	32.18		204	7.70		207	7.81		908	34.25		292	11.01		71	2.68		2651
	SECOND			5	31.25			Excluded		4	25.00		1	6.25		3	18.75		3	18.75		0	0.00		0	0.00		16
		TOTAL		105	3.96					857	32.33		205	7.73		210	7.92		911	34.36		292	11.01		71	2.68		2651
	THIRD			17	23.94					22	30.99		5	7.04		7	9.86		7	9.86		13	18.31			Excluded		71
		TOTAL		122	4.60					879	33.16		210	7.92		217	8.19		918	34.63		305	11.51					2651
	FOURTH				Excluded					35	28.69		28	22.95		36	29.51		17	13.93		6	4.92					122
		TOTAL								914	34.48		238	8.98		253	9.54		935	35.27		311	11.73					2651
	FIFTH									95	37.55		77	30.43			Excluded		38	15.02		43	17.00					253
		TOTAL								1009	38.06		315	11.88					973	36.70		354	13.35					2651
	SIXTH									60	16.95		199	56.21					95	26.84			Excluded					354
		TOTAL								1069	40.32		514	19.39					1068	40.29								2651
	SEVENTH									147	28.60			Excluded					367	71.40								514
		TOTAL								1216	45.87								1435	54.13								2651
																			Elected									
																												
Lindsay Park                                                   																												
	FIRST			104	4.43		15	0.64		832	35.43		103	4.39		120	5.11		887	37.78		198	8.43		89	3.79		2348
	SECOND			6	40.00			Excluded		1	6.67		5	33.33		1	6.67		0	0.00		0	0.00		2	13.33		15
		TOTAL		110	4.68					833	35.48		108	4.60		121	5.15		887	37.78		198	8.43		91	3.88		2348
	THIRD			30	32.97					32	35.16		2	2.20		3	3.30		8	8.79		16	17.58			Excluded		91
		TOTAL		140	5.96					865	36.84		110	4.68		124	5.28		895	38.12		214	9.11					2348
	FOURTH				Excluded					42	30.00		32	22.86		44	31.43		18	12.86		4	2.86					140
		TOTAL								907	38.63		142	6.05		168	7.16		913	38.88		218	9.28					2348
	FIFTH									67	39.88		56	33.33			Excluded		22	13.10		23	13.69					168
		TOTAL								974	41.48		198	8.43					935	39.82		241	10.26					2348
	SIXTH									54	22.41		130	53.94					57	23.65			Excluded					241
		TOTAL								1028	43.78		328	13.97					992	42.25								2348
	SEVENTH									131	39.94			Excluded					197	60.06								328
		TOTAL								1159	49.36								1189	50.64								2348
																			Elected									
																												
Mount Keira                                                    																												
	FIRST			26	4.41		0	0.00		206	34.97		42	7.13		37	6.28		212	35.99		40	6.79		26	4.41		589
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		26	4.41					206	34.97		42	7.13		37	6.28		212	35.99		40	6.79		26	4.41		589
	THIRD			13	50.00					8	30.77		0	0.00		2	7.69		1	3.85		2	7.69			Excluded		26
		TOTAL		39	6.62					214	36.33		42	7.13		39	6.62		213	36.16		42	7.13					589
	FOURTH				Excluded					14	35.90		6	15.38		15	38.46		3	7.69		1	2.56					39
		TOTAL								228	38.71		48	8.15		54	9.17		216	36.67		43	7.30					589
	FIFTH									26	48.15		14	25.93			Excluded		7	12.96		7	12.96					54
		TOTAL								254	43.12		62	10.53					223	37.86		50	8.49					589
	SIXTH									6	12.00		25	50.00					19	38.00			Excluded					50
		TOTAL								260	44.14		87	14.77					242	41.09								589
	SEVENTH									34	39.08			Excluded					53	60.92								87
		TOTAL								294	49.92								295	50.08								589
																			Elected									
																												
Mount Kembla                                                   																												
	FIRST			26	4.51		3	0.52		171	29.69		49	8.51		48	8.33		212	36.81		53	9.20		14	2.43		576
	SECOND			0	0.00			Excluded		1	33.33		0	0.00		1	33.33		0	0.00		1	33.33		0	0.00		3
		TOTAL		26	4.51					172	29.86		49	8.51		49	8.51		212	36.81		54	9.38		14	2.43		576
	THIRD			0	0.00					4	28.57		1	7.14		3	21.43		2	14.29		4	28.57			Excluded		14
		TOTAL		26	4.51					176	30.56		50	8.68		52	9.03		214	37.15		58	10.07					576
	FOURTH				Excluded					5	19.23		8	30.77		5	19.23		7	26.92		1	3.85					26
		TOTAL								181	31.42		58	10.07		57	9.90		221	38.37		59	10.24					576
	FIFTH									14	24.56		25	43.86			Excluded		9	15.79		9	15.79					57
		TOTAL								195	33.85		83	14.41					230	39.93		68	11.81					576
	SIXTH									9	13.24		42	61.76					17	25.00			Excluded					68
		TOTAL								204	35.42		125	21.70					247	42.88								576
	SEVENTH									42	33.60			Excluded					83	66.40								125
		TOTAL								246	42.71								330	57.29								576
																			Elected									
																												
Mount Ousley                                                   																												
	FIRST			54	2.94		18	0.98		641	34.89		117	6.37		84	4.57		732	39.85		142	7.73		49	2.67		1837
	SECOND			6	33.33			Excluded		1	5.56		4	22.22		1	5.56		5	27.78		1	5.56		0	0.00		18
		TOTAL		60	3.27					642	34.95		121	6.59		85	4.63		737	40.12		143	7.78		49	2.67		1837
	THIRD			11	22.45					22	44.90		2	4.08		2	4.08		5	10.20		7	14.29			Excluded		49
		TOTAL		71	3.86					664	36.15		123	6.70		87	4.74		742	40.39		150	8.17					1837
	FOURTH				Excluded					33	46.48		5	7.04		23	32.39		8	11.27		2	2.82					71
		TOTAL								697	37.94		128	6.97		110	5.99		750	40.83		152	8.27					1837
	FIFTH									41	37.27		38	34.55			Excluded		18	16.36		13	11.82					110
		TOTAL								738	40.17		166	9.04					768	41.81		165	8.98					1837
	SIXTH									24	14.55		91	55.15					50	30.30			Excluded					165
		TOTAL								762	41.48		257	13.99					818	44.53								1837
	SEVENTH									80	31.13			Excluded					177	68.87								257
		TOTAL								842	45.84								995	54.16								1837
																			Elected									
