House of Representatives - 2001 Election: New South Wales																																														
First Preference Votes and TCP																																														
By Candidate by Polling Place																																														

Banks (83122)																																														
	O'LEARY			WILCOX			ABRAHAMS			HANNOUN			WATZLAFF			MURPHY			COLE			# MELHAM			BAISSARI			FORMAL			INFORMAL			TOTAL												
	Ken			David			Lynn			Nazim			Marcus			Lynne			Stephen			Daryl			Sam												Two Candidate Preferred									
	AFI			GRN			HAN			IND			LP			UNI			DEM			ALP			CTA												 WATZLAFF LP			# MELHAM ALP						
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%					
Panania South	79	2.89		72	2.63		257	9.40		5	0.18		1081	39.52		7	0.26		76	2.78		1086	39.71		72	2.63		2735	94.18		169	5.82		2904	3.67		1438	52.58		1297	47.42
Peakhurst	13	2.51		12	2.32		39	7.54		1	0.19		181	35.01		1	0.19		14	2.71		247	47.78		9	1.74		517	94.00		33	6.00		550	0.70		232	44.87		285	55.13
Peakhurst East	58	3.54		40	2.44		86	5.25		5	0.31		566	34.58		24	1.47		60	3.67		742	45.33		56	3.42		1637	92.07		141	7.93		1778	2.25		757	46.24		880	53.76
Peakhurst South	45	2.61		51	2.96		129	7.49		1	0.06		863	50.12		3	0.17		84	4.88		511	29.67		35	2.03		1722	93.49		120	6.51		1842	2.33		1066	61.90		656	38.10
Peakhurst West	87	3.39		58	2.26		152	5.92		6	0.23		1112	43.32		7	0.27		100	3.90		986	38.41		59	2.30		2567	93.58		176	6.42		2743	3.47		1403	54.66		1164	45.34			
Penshurst	40	2.52		40	2.52		77	4.85		5	0.31		541	34.07		30	1.89		51	3.21		757	47.67		47	2.96		1588	91.74		143	8.26		1731	2.19		693	43.64		895	56.36			
Penshurst Central	49	2.53		67	3.46		76	3.92		20	1.03		594	30.63		22	1.13		95	4.90		946	48.79		70	3.61		1939	90.86		195	9.14		2134	2.70		794	40.95		1145	59.05			
Picnic Point North	57	2.76		53	2.57		179	8.67		8	0.39		882	42.73		7	0.34		71	3.44		741	35.90		66	3.20		2064	95.12		106	4.88		2170	2.75		1166	56.49		898	43.51			
Punchbowl (Banks)	61	3.11		38	1.94		54	2.75		58	2.96		355	18.09		38	1.94		24	1.22		1289	65.70		45	2.29		1962	88.90		245	11.10		2207	2.79		512	26.10		1450	73.90			
Revesby	54	3.44		29	1.84		101	6.42		10	0.64		387	24.62		25	1.59		38	2.42		887	56.42		41	2.61		1572	91.40		148	8.60		1720	2.18		540	34.35		1032	65.65			
Revesby North	154	5.41		77	2.70		192	6.74		18	0.63		822	28.85		16	0.56		58	2.04		1461	51.28		51	1.79		2849	92.08		245	7.92		3094	3.91		1148	40.29		1701	59.71			
Revesby South	93	3.77		79	3.20		233	9.43		2	0.08		877	35.51		16	0.65		71	2.87		1044	42.27		55	2.23		2470	92.51		200	7.49		2670	3.38		1189	48.14		1281	51.86			
Riverwood North	35	2.50		24	1.71		76	5.43		15	1.07		265	18.93		37	2.64		14	1.00		905	64.64		29	2.07		1400	89.12		171	10.88		1571	1.99		390	27.86		1010	72.14			
Riverwood South	42	2.86		40	2.72		71	4.84		7	0.48		496	33.79		28	1.91		34	2.32		721	49.11		29	1.98		1468	92.56		118	7.44		1586	2.01		620	42.23		848	57.77			
Sydney (Banks)	5	4.07		9	7.32		2	1.63		1	0.81		33	26.83		2	1.63		10	8.13		58	47.15		3	2.44		123	95.35		6	4.65		129	0.16		47	38.21		76	61.79			
Special Hospitals	1	0.74		0	0.00		3	2.22		0	0.00		65	48.15		0	0.00		0	0.00		64	47.41		2	1.48		135	97.83		3	2.17		138	0.17		68	50.37		67	49.63			
Total Ordinary	2018	3.22		1653	2.64		4015	6.41		315	0.50		22404	35.77		604	0.96		1974	3.15		28004	44.71		1654	2.64		62641	92.88		4803	7.12		67444	85.32		29431	46.98		33210	53.02			
ABSENT	266	5.49		269	5.56		246	5.08		77	1.59		1633	33.73		66	1.36		214	4.42		1915	39.56		155	3.20		4841	92.54		390	7.46		5231	6.62		2327	48.07		2514	51.93			
POSTAL	88	3.09		33	1.16		177	6.21		5	0.18		1150	40.37		15	0.53		57	2.00		1265	44.40		59	2.07		2849	97.77		65	2.23		2914	3.69		1370	48.09		1479	51.91			
PRE_POLL	123	4.16		98	3.31		192	6.49		20	0.68		1073	36.25		44	1.49		95	3.21		1223	41.32		92	3.11		2960	96.64		103	3.36		3063	3.87		1442	48.72		1518	51.28			
PROVISIONAL	27	7.44		13	3.58		19	5.23		1	0.28		98	27.00		2	0.55		10	2.75		185	50.96		8	2.20		363	90.75		37	9.25		400	0.51		132	36.36		231	63.64			
Division Summary	2522	3.42		2066	2.81		4649	6.31		418	0.57		26358	35.79		731	0.99		2350	3.19		32592	44.25		1968	2.67		73654	93.17		5398	6.83		79052	95.10		34702	47.11		38952	52.89			
																																												
																																												
																																												
																																												
																																												
