House of Representatives - 2001 Election: New South Wales																							
Distribution of Preferences																							
By Polling Place																							
																							
Hughes																							
				HEEMSTRA			VALE			RYAN			OZ			VAN DE WEG			HAWKINS				
	FIRST			131	4.34		1878	62.25		50	1.66		118	3.91		99	3.28		741	24.56		3017	
	SECOND			4	8.00		32	64.00			Excluded		5	10.00		5	10.00		4	8.00		50	
		TOTAL		135	4.47		1910	63.31					123	4.08		104	3.45		745	24.69		3017	
	THIRD			52	50.00		26	25.00					5	4.81			Excluded		21	20.19		104	
		TOTAL		187	6.20		1936	64.17					128	4.24					766	25.39		3017	
	FOURTH			45	35.16		54	42.19						Excluded					29	22.66		128	
		TOTAL		232	7.69		1990	65.96											795	26.35		3017	
	FIFTH				Excluded		74	31.90											158	68.10		232	
		TOTAL					2064	68.41											953	31.59		3017	
							Elected																
																							
Jannali East                                                   																							
	FIRST			71	4.49		739	46.71		28	1.77		106	6.70		51	3.22		587	37.10		1582	
	SECOND			1	3.57		17	60.71			Excluded		3	10.71		3	10.71		4	14.29		28	
		TOTAL		72	4.55		756	47.79					109	6.89		54	3.41		591	37.36		1582	
	THIRD			23	42.59		14	25.93					2	3.70			Excluded		15	27.78		54	
		TOTAL		95	6.01		770	48.67					111	7.02					606	38.31		1582	
	FOURTH			42	37.84		41	36.94						Excluded					28	25.23		111	
		TOTAL		137	8.66		811	51.26											634	40.08		1582	
	FIFTH				Excluded		44	32.12											93	67.88		137	
		TOTAL					855	54.05											727	45.95		1582	
							Elected																
																							
Jannali West                                                   																							
	FIRST			59	5.52		516	48.27		30	2.81		50	4.68		39	3.65		375	35.08		1069	
	SECOND			0	0.00		18	60.00			Excluded		3	10.00		4	13.33		5	16.67		30	
		TOTAL		59	5.52		534	49.95					53	4.96		43	4.02		380	35.55		1069	
	THIRD			23	53.49		8	18.60					3	6.98			Excluded		9	20.93		43	
		TOTAL		82	7.67		542	50.70					56	5.24					389	36.39		1069	
	FOURTH			27	48.21		18	32.14						Excluded					11	19.64		56	
		TOTAL		109	10.20		560	52.39											400	37.42		1069	
	FIFTH				Excluded		33	30.28											76	69.72		109	
		TOTAL					593	55.47											476	44.53		1069	
							Elected																
																							
Loftus                                                         																							
	FIRST			104	4.50		1168	50.58		79	3.42		138	5.98		88	3.81		732	31.70		2309	
	SECOND			3	3.80		58	73.42			Excluded		3	3.80		6	7.59		9	11.39		79	
		TOTAL		107	4.63		1226	53.10					141	6.11		94	4.07		741	32.09		2309	
	THIRD			44	46.81		15	15.96					4	4.26			Excluded		31	32.98		94	
		TOTAL		151	6.54		1241	53.75					145	6.28					772	33.43		2309	
	FOURTH			51	35.17		60	41.38						Excluded					34	23.45		145	
		TOTAL		202	8.75		1301	56.34											806	34.91		2309	
	FIFTH				Excluded		39	19.31											163	80.69		202	
		TOTAL					1340	58.03											969	41.97		2309	
							Elected																
																							
Marton                                                         																							
	FIRST			81	4.16		1113	57.19		33	1.70		121	6.22		52	2.67		546	28.06		1946	
	SECOND			2	6.06		21	63.64			Excluded		3	9.09		0	0.00		7	21.21		33	
		TOTAL		83	4.27		1134	58.27					124	6.37		52	2.67		553	28.42		1946	
	THIRD			22	42.31		12	23.08					0	0.00			Excluded		18	34.62		52	
		TOTAL		105	5.40		1146	58.89					124	6.37					571	29.34		1946	
	FOURTH			40	32.26		53	42.74						Excluded					31	25.00		124	
		TOTAL		145	7.45		1199	61.61											602	30.94		1946	
	FIFTH				Excluded		48	33.10											97	66.90		145	
		TOTAL					1247	64.08											699	35.92		1946	
							Elected																
																							
Menai                                                          																							
	FIRST			106	4.96		1082	50.68		58	2.72		90	4.22		84	3.93		715	33.49		2135	
	SECOND			6	10.34		30	51.72			Excluded		7	12.07		7	12.07		8	13.79		58	
		TOTAL		112	5.25		1112	52.08					97	4.54		91	4.26		723	33.86		2135	
	THIRD			43	47.25		19	20.88					4	4.40			Excluded		25	27.47		91	
		TOTAL		155	7.26		1131	52.97					101	4.73					748	35.04		2135	
	FOURTH			43	42.57		42	41.58						Excluded					16	15.84		101	
		TOTAL		198	9.27		1173	54.94											764	35.78		2135	
	FIFTH				Excluded		54	27.27											144	72.73		198	
		TOTAL					1227	57.47											908	42.53		2135	
							Elected																
																							
Menai Central                                                  																							
	FIRST			66	3.75		967	54.97		39	2.22		40	2.27		58	3.30		589	33.48		1759	
	SECOND			3	7.69		22	56.41			Excluded		2	5.13		4	10.26		8	20.51		39	
		TOTAL		69	3.92		989	56.23					42	2.39		62	3.52		597	33.94		1759	
	THIRD			39	62.90		9	14.52					0	0.00			Excluded		14	22.58		62	
		TOTAL		108	6.14		998	56.74					42	2.39					611	34.74		1759	
	FOURTH			9	21.43		14	33.33						Excluded					19	45.24		42	
		TOTAL		117	6.65		1012	57.53											630	35.82		1759	
	FIFTH				Excluded		29	24.79											88	75.21		117	
		TOTAL					1041	59.18											718	40.82		1759	
							Elected																
																							
Menai North                                                    																							
	FIRST			55	4.00		794	57.70		24	1.74		37	2.69		55	4.00		411	29.87		1376	
	SECOND			1	4.17		14	58.33			Excluded		0	0.00		1	4.17		8	33.33		24	
		TOTAL		56	4.07		808	58.72					37	2.69		56	4.07		419	30.45		1376	
	THIRD			24	42.86		12	21.43					2	3.57			Excluded		18	32.14		56	
		TOTAL		80	5.81		820	59.59					39	2.83					437	31.76		1376	
	FOURTH			12	30.77		15	38.46						Excluded					12	30.77		39	
		TOTAL		92	6.69		835	60.68											449	32.63		1376	
	FIFTH				Excluded		33	35.87											59	64.13		92	
		TOTAL					868	63.08											508	36.92		1376	
							Elected																
																							
Moorebank                                                      																							
	FIRST			123	3.30		1857	49.76		38	1.02		238	6.38		135	3.62		1341	35.93		3732	
	SECOND			5	13.16		18	47.37			Excluded		5	13.16		6	15.79		4	10.53		38	
		TOTAL		128	3.43		1875	50.24					243	6.51		141	3.78		1345	36.04		3732	
	THIRD			68	48.23		21	14.89					8	5.67			Excluded		44	31.21		141	
		TOTAL		196	5.25		1896	50.80					251	6.73					1389	37.22		3732	
	FOURTH			117	46.61		70	27.89						Excluded					64	25.50		251	
		TOTAL		313	8.39		1966	52.68											1453	38.93		3732	
	FIFTH				Excluded		107	34.19											206	65.81		313	
		TOTAL					2073	55.55											1659	44.45		3732	
							Elected																
																							
Newbridge Heights                                              																							
	FIRST			81	4.03		1032	51.32		38	1.89		117	5.82		59	2.93		684	34.01		2011	
	SECOND			1	2.63		24	63.16			Excluded		4	10.53		5	13.16		4	10.53		38	
		TOTAL		82	4.08		1056	52.51					121	6.02		64	3.18		688	34.21		2011	
	THIRD			27	42.19		10	15.63					0	0.00			Excluded		27	42.19		64	
		TOTAL		109	5.42		1066	53.01					121	6.02					715	35.55		2011	
	FOURTH			57	47.11		40	33.06						Excluded					24	19.83		121	
		TOTAL		166	8.25		1106	55.00											739	36.75		2011	
	FIFTH				Excluded		58	34.94											108	65.06		166	
		TOTAL					1164	57.88											847	42.12		2011	
							Elected																
																							
Oyster Bay                                                     																							
	FIRST			112	5.15		1212	55.72		35	1.61		91	4.18		89	4.09		636	29.24		2175	
	SECOND			2	5.71		18	51.43			Excluded		5	14.29		3	8.57		7	20.00		35	
		TOTAL		114	5.24		1230	56.55					96	4.41		92	4.23		643	29.56		2175	
	THIRD			56	60.87		15	16.30					1	1.09			Excluded		20	21.74		92	
		TOTAL		170	7.82		1245	57.24					97	4.46					663	30.48		2175	
	FOURTH			24	24.74		45	46.39						Excluded					28	28.87		97	
		TOTAL		194	8.92		1290	59.31											691	31.77		2175	
	FIFTH				Excluded		56	28.87											138	71.13		194	
		TOTAL					1346	61.89											829	38.11		2175	
							Elected																
																							
Prince Edward Park                                             																							
	FIRST			62	10.20		335	55.10		8	1.32		23	3.78		11	1.81		169	27.80		608	
	SECOND			1	12.50		3	37.50			Excluded		1	12.50		0	0.00		3	37.50		8	
		TOTAL		63	10.36		338	55.59					24	3.95		11	1.81		172	28.29		608	
	THIRD			4	36.36		3	27.27					1	9.09			Excluded		3	27.27		11	
		TOTAL		67	11.02		341	56.09					25	4.11					175	28.78		608	
	FOURTH			5	20.00		11	44.00						Excluded					9	36.00		25	
		TOTAL		72	11.84		352	57.89											184	30.26		608	
	FIFTH				Excluded		19	26.39											53	73.61		72	
		TOTAL					371	61.02											237	38.98		608	
							Elected																
																							
Sandy Point                                                    																							
	FIRST			12	3.73		208	64.60		3	0.93		16	4.97		9	2.80		74	22.98		322	
	SECOND			0	0.00		2	66.67			Excluded		1	33.33		0	0.00		0	0.00		3	
		TOTAL		12	3.73		210	65.22					17	5.28		9	2.80		74	22.98		322	
	THIRD			0	0.00		3	33.33					0	0.00			Excluded		6	66.67		9	
		TOTAL		12	3.73		213	66.15					17	5.28					80	24.84		322	
	FOURTH			6	35.29		10	58.82						Excluded					1	5.88		17	
		TOTAL		18	5.59		223	69.25											81	25.16		322	
	FIFTH				Excluded		7	38.89											11	61.11		18	
		TOTAL					230	71.43											92	28.57		322	
							Elected																
																							
Sutherland                                                     																							
	FIRST			122	5.50		1047	47.23		61	2.75		97	4.38		86	3.88		804	36.27		2217	
	SECOND			5	8.20		45	73.77			Excluded		0	0.00		9	14.75		2	3.28		61	
		TOTAL		127	5.73		1092	49.26					97	4.38		95	4.29		806	36.36		2217	
	THIRD			37	38.95		18	18.95					2	2.11			Excluded		38	40.00		95	
		TOTAL		164	7.40		1110	50.07					99	4.47					844	38.07		2217	
	FOURTH			43	43.43		32	32.32						Excluded					24	24.24		99	
		TOTAL		207	9.34		1142	51.51											868	39.15		2217	
	FIFTH				Excluded		54	26.09											153	73.91		207	
		TOTAL					1196	53.95											1021	46.05		2217	
							Elected																
																							
Sutherland East                                                																							
	FIRST			57	5.83		460	47.03		32	3.27		40	4.09		25	2.56		364	37.22		978	
	SECOND			1	3.13		21	65.63			Excluded		3	9.38		2	6.25		5	15.63		32	
		TOTAL		58	5.93		481	49.18					43	4.40		27	2.76		369	37.73		978	
	THIRD			7	25.93		6	22.22					3	11.11			Excluded		11	40.74		27	
		TOTAL		65	6.65		487	49.80					46	4.70					380	38.85		978	
	FOURTH			11	23.91		19	41.30						Excluded					16	34.78		46	
		TOTAL		76	7.77		506	51.74											396	40.49		978	
	FIFTH				Excluded		26	34.21											50	65.79		76	
		TOTAL					532	54.40											446	45.60		978	
							Elected																
																							
Sutherland North (Hughes)                                      																							
	FIRST			27	3.20		442	52.43		16	1.90		32	3.80		32	3.80		294	34.88		843	
	SECOND			0	0.00		8	50.00			Excluded		1	6.25		5	31.25		2	12.50		16	
		TOTAL		27	3.20		450	53.38					33	3.91		37	4.39		296	35.11		843	
	THIRD			13	35.14		10	27.03					1	2.70			Excluded		13	35.14		37	
		TOTAL		40	4.74		460	54.57					34	4.03					309	36.65		843	
	FOURTH			13	38.24		13	38.24						Excluded					8	23.53		34	
		TOTAL		53	6.29		473	56.11											317	37.60		843	
	FIFTH				Excluded		26	49.06											27	50.94		53	
		TOTAL					499	59.19											344	40.81		843	
							Elected																
																							
Sutherland West                                                																							
	FIRST			35	5.52		304	47.95		7	1.10		37	5.84		23	3.63		228	35.96		634	
	SECOND			0	0.00		4	57.14			Excluded		0	0.00		1	14.29		2	28.57		7	
		TOTAL		35	5.52		308	48.58					37	5.84		24	3.79		230	36.28		634	
	THIRD			7	29.17		5	20.83					0	0.00			Excluded		12	50.00		24	
		TOTAL		42	6.62		313	49.37					37	5.84					242	38.17		634	
	FOURTH			11	29.73		14	37.84						Excluded					12	32.43		37	
		TOTAL		53	8.36		327	51.58											254	40.06		634	
	FIFTH				Excluded		12	22.64											41	77.36		53	
		TOTAL					339	53.47											295	46.53		634	
							Elected																
																							
Sydney (Hughes)                                                																							
	FIRST			8	8.89		39	43.33		2	2.22		3	3.33		5	5.56		33	36.67		90	
	SECOND			0	0.00		1	50.00			Excluded		0	0.00		0	0.00		1	50.00		2	
		TOTAL		8	8.89		40	44.44					3	3.33		5	5.56		34	37.78		90	
	THIRD			4	80.00		0	0.00					0	0.00			Excluded		1	20.00		5	
		TOTAL		12	13.33		40	44.44					3	3.33					35	38.89		90	
	FOURTH			1	33.33		1	33.33						Excluded					1	33.33		3	
		TOTAL		13	14.44		41	45.56											36	40.00		90	
	FIFTH				Excluded		6	46.15											7	53.85		13	
		TOTAL					47	52.22											43	47.78		90	
							Elected																
																							
Waterfall                                                      																							
	FIRST			33	11.74		122	43.42		10	3.56		27	9.61		7	2.49		82	29.18		281	
	SECOND			0	0.00		5	50.00			Excluded		3	30.00		0	0.00		2	20.00		10	
		TOTAL		33	11.74		127	45.20					30	10.68		7	2.49		84	29.89		281	
	THIRD			4	57.14		0	0.00					1	14.29			Excluded		2	28.57		7	
		TOTAL		37	13.17		127	45.20					31	11.03					86	30.60		281	
	FOURTH			18	58.06		7	22.58						Excluded					6	19.35		31	
		TOTAL		55	19.57		134	47.69											92	32.74		281	
	FIFTH				Excluded		10	18.18											45	81.82		55	
		TOTAL					144	51.25											137	48.75		281	
							Elected																
																							
Wattle Grove                                                   																							
	FIRST			103	2.92		1749	49.65		95	2.70		138	3.92		153	4.34		1285	36.47		3523	
	SECOND			5	5.26		71	74.74			Excluded		6	6.32		4	4.21		9	9.47		95	
		TOTAL		108	3.07		1820	51.66					144	4.09		157	4.46		1294	36.73		3523	
	THIRD			72	45.86		30	19.11					7	4.46			Excluded		48	30.57		157	
		TOTAL		180	5.11		1850	52.51					151	4.29					1342	38.09		3523	
	FOURTH			45	29.80		67	44.37						Excluded					39	25.83		151	
		TOTAL		225	6.39		1917	54.41											1381	39.20		3523	
	FIFTH				Excluded		73	32.44											152	67.56		225	
		TOTAL					1990	56.49											1533	43.51		3523	
							Elected																
																							
Wattle Grove South                                             																							
	FIRST			27	3.62		400	53.69		10	1.34		26	3.49		20	2.68		262	35.17		745	
	SECOND			1	10.00		7	70.00			Excluded		0	0.00		0	0.00		2	20.00		10	
		TOTAL		28	3.76		407	54.63					26	3.49		20	2.68		264	35.44		745	
	THIRD			6	30.00		8	40.00					1	5.00			Excluded		5	25.00		20	
		TOTAL		34	4.56		415	55.70					27	3.62					269	36.11		745	
	FOURTH			6	22.22		10	37.04						Excluded					11	40.74		27	
		TOTAL		40	5.37		425	57.05											280	37.58		745	
	FIFTH				Excluded		12	30.00											28	70.00		40	
		TOTAL					437	58.66											308	41.34		745	
							Elected																
																							
Woronora Heights                                               																							
	FIRST			38	3.93		582	60.19		24	2.48		35	3.62		32	3.31		256	26.47		967	
	SECOND			2	8.33		16	66.67			Excluded		1	4.17		1	4.17		4	16.67		24	
		TOTAL		40	4.14		598	61.84					36	3.72		33	3.41		260	26.89		967	
	THIRD			12	36.36		7	21.21					1	3.03			Excluded		13	39.39		33	
		TOTAL		52	5.38		605	62.56					37	3.83					273	28.23		967	
	FOURTH			11	29.73		20	54.05						Excluded					6	16.22		37	
		TOTAL		63	6.51		625	64.63											279	28.85		967	
	FIFTH				Excluded		16	25.40											47	74.60		63	
		TOTAL					641	66.29											326	33.71		967	
							Elected																
																							
Woronora River                                                 																							
	FIRST			45	9.16		264	53.77		5	1.02		29	5.91		17	3.46		131	26.68		491	
	SECOND			0	0.00		1	20.00			Excluded		1	20.00		0	0.00		3	60.00		5	
		TOTAL		45	9.16		265	53.97					30	6.11		17	3.46		134	27.29		491	
	THIRD			9	52.94		4	23.53					0	0.00			Excluded		4	23.53		17	
		TOTAL		54	11.00		269	54.79					30	6.11					138	28.11		491	
	FOURTH			7	23.33		18	60.00						Excluded					5	16.67		30	
		TOTAL		61	12.42		287	58.45											143	29.12		491	
	FIFTH				Excluded		16	26.23											45	73.77		61	
		TOTAL					303	61.71											188	38.29		491	
							Elected																
																							
Yarrawarrah                                                    																							
	FIRST			63	3.91		860	53.35		26	1.61		88	5.46		57	3.54		518	32.13		1612	
	SECOND			2	7.69		19	73.08			Excluded		3	11.54		1	3.85		1	3.85		26	
		TOTAL		65	4.03		879	54.53					91	5.65		58	3.60		519	32.20		1612	
	THIRD			29	50.00		14	24.14					1	1.72			Excluded		14	24.14		58	
		TOTAL		94	5.83		893	55.40					92	5.71					533	33.06		1612	
	FOURTH			46	50.00		31	33.70						Excluded					15	16.30		92	
		TOTAL		140	8.68		924	57.32											548	34.00		1612	
	FIFTH				Excluded		39	27.86											101	72.14		140	
		TOTAL					963	59.74											649	40.26		1612	
							Elected																
																							
Special Hospital Team 1                                        																							
	FIRST			1	0.32		189	60.00		4	1.27		6	1.90		0	0.00		115	36.51		315	
	SECOND			0	0.00		4	100.00			Excluded		0	0.00		0	0.00		0	0.00		4	
		TOTAL		1	0.32		193	61.27					6	1.90		0	0.00		115	36.51		315	
