House of Representatives - 2001 Election: New South Wales																																																					
First Preference Votes and TCP 																																																					
By Candidate by Polling Place																																																					

Farrer (84423)																																																					
	SOBEY			WEYRICH			BOTT			WILKINSON			WATSON			KREUTZBERGER			MILLEN			# LEY			CORBETT			PATERSON			TAYLOR			GIBSON			FORMAL			INFORMAL			TOTAL			Two Candidate Preferred							
	Chris			Tom			Bill			Max			Stuart			Keith			Frank			Sussan			David			Brett			Sue			Andrew												 BOTT			# LEY				
	GRN			IND			NP			HAN			IND						CLR			LP			IND			DEM			IND			IND												NP			LP				
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%			
Culcairn	25	2.92		4	0.47		178	20.79		41	4.79		12	1.40		8	0.93		193	22.55		355	41.47		4	0.47		19	2.22		15	1.75		2	0.23		856	93.45		60	6.55		916	1.14		423	49.42		433	50.58
Curlwaa	8	4.40		1	0.55		72	39.56		33	18.13		7	3.85		0	0.00		13	7.14		42	23.08		0	0.00		3	1.65		1	0.55		2	1.10		182	93.81		12	6.19		194	0.24		105	57.69		77	42.31
Dareton	10	1.55		1	0.15		195	30.19		149	23.07		3	0.46		1	0.15		121	18.73		149	23.07		1	0.15		3	0.46		6	0.93		7	1.08		646	90.73		66	9.27		712	0.88		337	52.17		309	47.83
Daysdale	0	0.00		0	0.00		59	62.77		5	5.32		1	1.06		3	3.19		6	6.38		19	20.21		0	0.00		1	1.06		0	0.00		0	0.00		94	90.38		10	9.62		104	0.13		67	71.28		27	28.72
Deniliquin	30	2.31		11	0.85		294	22.62		71	5.46		14	1.08		18	1.38		241	18.54		487	37.46		10	0.77		23	1.77		93	7.15		8	0.62		1300	93.93		84	6.07		1384	1.72		609	46.85		691	53.15
Deniliquin Hospital	9	2.33		2	0.52		100	25.84		15	3.88		2	0.52		4	1.03		79	20.41		142	36.69		1	0.26		6	1.55		24	6.20		3	0.78		387	92.81		30	7.19		417	0.52		197	50.90		190	49.10
Deniliquin North	16	1.57		10	0.98		241	23.63		73	7.16		3	0.29		8	0.78		183	17.94		407	39.90		4	0.39		12	1.18		60	5.88		3	0.29		1020	93.07		76	6.93		1096	1.36		497	48.73		523	51.27
Deniliquin South	8	1.10		6	0.83		142	19.56		32	4.41		1	0.14		9	1.24		136	18.73		316	43.53		2	0.28		11	1.52		57	7.85		6	0.83		726	92.02		63	7.98		789	0.98		307	42.29		419	57.71
Deniliquin West	32	2.39		13	0.97		279	20.81		81	6.04		11	0.82		9	0.67		272	20.28		478	35.65		7	0.52		16	1.19		131	9.77		12	0.89		1341	90.36		143	9.64		1484	1.84		647	48.25		694	51.75
Emery	0	0.00		0	0.00		86	56.21		11	7.19		0	0.00		0	0.00		5	3.27		47	30.72		0	0.00		3	1.96		1	0.65		0	0.00		153	95.03		8	4.97		161	0.20		98	64.05		55	35.95
Euston	11	2.82		4	1.03		102	26.15		64	16.41		5	1.28		2	0.51		54	13.85		138	35.38		1	0.26		3	0.77		0	0.00		6	1.54		390	92.64		31	7.36		421	0.52		191	48.97		199	51.03
Finley	32	2.04		2	0.13		552	35.16		56	3.57		14	0.89		3	0.19		237	15.10		603	38.41		2	0.13		26	1.66		33	2.10		10	0.64		1570	94.52		91	5.48		1661	2.06		850	54.14		720	45.86
Gerogery	7	2.54		0	0.00		60	21.74		20	7.25		4	1.45		9	3.26		33	11.96		130	47.10		2	0.72		9	3.26		1	0.36		1	0.36		276	93.24		20	6.76		296	0.37		119	43.12		157	56.88
Glenroy	90	4.23		10	0.47		333	15.64		133	6.25		19	0.89		32	1.50		490	23.02		868	40.77		17	0.80		103	4.84		17	0.80		17	0.80		2129	92.48		173	7.52		2302	2.85		949	44.57		1180	55.43
Gol Gol	8	1.63		1	0.20		192	39.18		81	16.53		2	0.41		0	0.00		69	14.08		125	25.51		2	0.41		8	1.63		1	0.20		1	0.20		490	93.69		33	6.31		523	0.65		283	57.76		207	42.24
Hatfield	0	0.00		0	0.00		28	68.29		1	2.44		0	0.00		0	0.00		2	4.88		10	24.39		0	0.00		0	0.00		0	0.00		0	0.00		41	97.62		1	2.38		42	0.05		30	73.17		11	26.83
Henty	17	2.34		1	0.14		241	33.15		55	7.57		9	1.24		5	0.69		121	16.64		258	35.49		1	0.14		7	0.96		6	0.83		6	0.83		727	91.45		68	8.55		795	0.99		398	54.75		329	45.25
Holbrook	23	2.05		4	0.36		283	25.18		67	5.96		18	1.60		14	1.25		234	20.82		458	40.75		3	0.27		12	1.07		7	0.62		1	0.09		1124	91.98		98	8.02		1222	1.51		552	49.11		572	50.89
Howlong	50	3.80		7	0.53		253	19.24		70	5.32		11	0.84		26	1.98		353	26.84		477	36.27		12	0.91		27	2.05		17	1.29		12	0.91		1315	93.86		86	6.14		1401	1.74		696	52.93		619	47.07
Hume	38	2.65		11	0.77		209	14.59		69	4.82		22	1.54		18	1.26		365	25.49		618	43.16		9	0.63		47	3.28		19	1.33		7	0.49		1432	93.05		107	6.95		1539	1.91		651	45.46		781	54.54
Jerilderie	9	1.42		0	0.00		184	28.93		44	6.92		6	0.94		3	0.47		134	21.07		237	37.26		2	0.31		6	0.94		10	1.57		1	0.16		636	90.08		70	9.92		706	0.87		338	53.14		298	46.86
Jindera	40	4.26		2	0.21		170	18.09		62	6.60		8	0.85		19	2.02		153	16.28		437	46.49		7	0.74		25	2.66		16	1.70		1	0.11		940	96.11		38	3.89		978	1.21		396	42.13		544	57.87
Jingellic	3	2.73		0	0.00		23	20.91		13	11.82		0	0.00		7	6.36		11	10.00		50	45.45		0	0.00		0	0.00		3	2.73		0	0.00		110	95.65		5	4.35		115	0.14		45	40.91		65	59.09
Khancoban	4	1.60		1	0.40		46	18.40		17	6.80		1	0.40		2	0.80		74	29.60		76	30.40		1	0.40		16	6.40		12	4.80		0	0.00		250	95.06		13	4.94		263	0.33		132	52.80		118	47.20
Koraleigh	5	2.29		1	0.46		36	16.51		24	11.01		1	0.46		2	0.92		27	12.39		104	47.71		2	0.92		6	2.75		2	0.92		8	3.67		218	92.77		17	7.23		235	0.29		89	40.83		129	59.17
Lacmalac	7	4.61		1	0.66		26	17.11		11	7.24		8	5.26		0	0.00		17	11.18		78	51.32		1	0.66		2	1.32		1	0.66		0	0.00		152	94.41		9	5.59		161	0.20		56	36.84		96	63.16
Lavington	112	3.90		30	1.05		475	16.56		217	7.56		32	1.12		36	1.25		684	23.84		1119	39.00		17	0.59		93	3.24		36	1.25		18	0.63		2869	91.75		258	8.25		3127	3.88		1338	46.64		1531	53.36
Lavington East	64	3.30		7	0.36		309	15.92		127	6.54		28	1.44		27	1.39		455	23.44		812	41.83		10	0.52		69	3.55		26	1.34		7	0.36		1941	92.21		164	7.79		2105	2.61		862	44.41		1079	55.59
Lockhart	11	1.42		1	0.13		290	37.47		44	5.68		11	1.42		6	0.78		142	18.35		245	31.65		5	0.65		8	1.03		9	1.16		2	0.26		774	94.85		42	5.15		816	1.01		464	59.95		310	40.05
Lowesdale	2	1.56		0	0.00		90	70.31		5	3.91		0	0.00		1	0.78		5	3.91		24	18.75		0	0.00		0	0.00		1	0.78		0	0.00		128	98.46		2	1.54		130	0.16		101	78.91		27	21.09
Mathoura	8	1.50		42	7.88		127	23.83		34	6.38		4	0.75		4	0.75		141	26.45		150	28.14		2	0.38		4	0.75		13	2.44		4	0.75		533	92.21		45	7.79		578	0.72		310	58.16		223	41.84
Mayrung	2	1.69		0	0.00		58	49.15		6	5.08		0	0.00		0	0.00		3	2.54		42	35.59		1	0.85		3	2.54		3	2.54		0	0.00		118	94.40		7	5.60		125	0.15		70	59.32		48	40.68
Moama	50	2.34		80	3.75		476	22.31		85	3.98		19	0.89		6	0.28		428	20.06		905	42.41		8	0.37		33	1.55		30	1.41		14	0.66		2134	94.13		133	5.87		2267	2.81		1035	48.50		1099	51.50
Morundah	2	5.26		0	0.00		7	18.42		3	7.89		0	0.00		1	2.63		8	21.05		17	44.74		0	0.00		0	0.00		0	0.00		0	0.00		38	82.61		8	17.39		46	0.06		16	42.11		22	57.89
Morven	1	1.59		0	0.00		9	14.29		5	7.94		0	0.00		0	0.00		7	11.11		39	61.90		0	0.00		1	1.59		1	1.59		0	0.00		63	95.45		3	4.55		66	0.08		17	26.98		46	73.02
Moulamein	2	0.51		0	0.00		107	27.44		31	7.95		2	0.51		3	0.77		80	20.51		155	39.74		1	0.26		4	1.03		4	1.03		1	0.26		390	90.28		42	9.72		432	0.54		204	52.31		186	47.69
Mullengandra	6	5.22		0	0.00		34	29.57		15	13.04		1	0.87		2	1.74		11	9.57		41	35.65		1	0.87		2	1.74		2	1.74		0	0.00		115	94.26		7	5.74		122	0.15		61	53.04		54	46.96
Mulwala	14	1.18		3	0.25		453	38.26		39	3.29		5	0.42		5	0.42		292	24.66		350	29.56		2	0.17		16	1.35		3	0.25		2	0.17		1184	94.42		70	5.58		1254	1.55		769	64.95		415	35.05
Murray Downs	3	1.35		2	0.90		73	32.74		10	4.48		0	0.00		0	0.00		25	11.21		107	47.98		0	0.00		0	0.00		1	0.45		2	0.90		223	96.12		9	3.88		232	0.29		107	47.98		116	52.02
Oaklands	4	1.73		0	0.00		101	43.72		11	4.76		1	0.43		2	0.87		32	13.85		76	32.90		1	0.43		0	0.00		3	1.30		0	0.00		231	97.06		7	2.94		238	0.29		140	60.61		91	39.39
Pleasant Hills	1	0.63		0	0.00		105	66.04		1	0.63		0	0.00		2	1.26		7	4.40		41	25.79		0	0.00		0	0.00		2	1.26		0	0.00		159	96.36		6	3.64		165	0.20		115	72.33		44	27.67
Pooncarie	1	0.79		3	2.38		70	55.56		13	10.32		1	0.79		0	0.00		7	5.56		27	21.43		1	0.79		2	1.59		1	0.79		0	0.00		126	95.45		6	4.55		132	0.16		85	67.46		41	32.54
Pretty Pine	1	1.16		1	1.16		35	40.70		3	3.49		2	2.33		0	0.00		6	6.98		36	41.86		0	0.00		0	0.00		2	2.33		0	0.00		86	94.51		5	5.49		91	0.11		44	51.16		42	48.84
Rand	0	0.00		1	0.55		48	26.23		3	1.64		0	0.00		11	6.01		12	6.56		104	56.83		0	0.00		1	0.55		3	1.64		0	0.00		183	95.81		8	4.19		191	0.24		65	35.52		118	64.48
Rosewood	8	4.23		0	0.00		53	28.04		13	6.88		3	1.59		1	0.53		21	11.11		84	44.44		0	0.00		3	1.59		3	1.59		0	0.00		189	93.56		13	6.44		202	0.25		91	48.15		98	51.85
Springdale Heights	24	3.85		2	0.32		85	13.64		40	6.42		9	1.44		5	0.80		174	27.93		242	38.84		5	0.80		22	3.53		9	1.44		6	0.96		623	92.99		47	7.01		670	0.83		295	47.35		328	52.65
Sydney (Farrer)	3	15.79		0	0.00		6	31.58		0	0.00		0	0.00		0	0.00		4	21.05		5	26.32		0	0.00		1	5.26		0	0.00		0	0.00		19	95.00		1	5.00		20	0.02		11	57.89		8	42.11
Table Top	13	4.51		2	0.69		50	17.36		13	4.51		2	0.69		3	1.04		28	9.72		164	56.94		1	0.35		9	3.13		3	1.04		0	0.00		288	98.29		5	1.71		293	0.36		93	32.29		195	67.71
Talbingo	6	3.45		1	0.57		18	10.34		12	6.90		8	4.60		0	0.00		62	35.63		55	31.61		0	0.00		5	2.87		5	2.87		2	1.15		174	97.21		5	2.79		179	0.22		93	53.45		81	46.55
The Retreat	1	1.33		0	0.00		26	34.67		4	5.33		0	0.00		0	0.00		1	1.33		40	53.33		1	1.33		0	0.00		1	1.33		1	1.33		75	97.40		2	2.60		77	0.10		33	44.00		42	56.00
The Rock	26	4.05		3	0.47		131	20.40		46	7.17		8	1.25		4	0.62		180	28.04		211	32.87		4	0.62		17	2.65		9	1.40		3	0.47		642	92.91		49	7.09		691	0.86		357	55.61		285	44.39
Thurgoona	75	4.17		9	0.50		275	15.30		90	5.01		28	1.56		24	1.34		379	21.09		798	44.41		14	0.78		76	4.23		20	1.11		9	0.50		1797	93.40		127	6.60		1924	2.38		763	42.46		1034	57.54
Tocumwal	27	2.24		4	0.33		372	30.90		65	5.40		12	1.00		12	1.00		266	22.09		410	34.05		0	0.00		15	1.25		18	1.50		3	0.25		1204	94.65		68	5.35		1272	1.58		687	57.06		517	42.94
Tooleybuc	3	1.15		2	0.77		71	27.20		28	10.73		4	1.53		2	0.77		44	16.86		102	39.08		2	0.77		0	0.00		2	0.77		1	0.38		261	91.90		23	8.10		284	0.35		127	48.66		134	51.34
Tooma	4	3.60		0	0.00		43	38.74		2	1.80		2	1.80		0	0.00		2	1.80		57	51.35		0	0.00		1	0.90		0	0.00		0	0.00		111	95.69		5	4.31		116	0.14		51	45.95		60	54.05
Tumbarumba	49	3.88		3	0.24		165	13.07		102	8.08		33	2.61		10	0.79		376	29.79		480	38.03		2	0.16		21	1.66		16	1.27		5	0.40		1262	91.92		111	8.08		1373	1.70		612	48.49		650	51.51
Tumut	87	3.44		11	0.43		298	11.77		128	5.06		159	6.28		14	0.55		691	27.30		1067	42.16		7	0.28		34	1.34		25	0.99		10	0.40		2531	92.51		205	7.49		2736	3.39		1117	44.13		1414	55.87
Tumut East	49	4.03		5	0.41		137	11.26		73	6.00		67	5.51		9	0.74		400	32.87		442	36.32		1	0.08		20	1.64		9	0.74		5	0.41		1217	90.01		135	9.99		1352	1.68		607	49.88		610	50.12
Urana	3	1.10		0	0.00		64	23.44		21	7.69		4	1.47		1	0.37		95	34.80		82	30.04		0	0.00		0	0.00		3	1.10		0	0.00		273	89.51		32	10.49		305	0.38		171	62.64		102	37.36
Wakool	6	1.73		1	0.29		128	36.89		24	6.92		5	1.44		1	0.29		30	8.65		133	38.33		1	0.29		4	1.15		10	2.88		4	1.15		347	95.59		16	4.41		363	0.45		174	50.14		173	49.86
Walbundrie	2	1.17		0	0.00		55	32.16		9	5.26		2	1.17		5	2.92		7	4.09		89	52.05		1	0.58		0	0.00		1	0.58		0	0.00		171	96.61		6	3.39		177	0.22		74	43.27		97	56.73
Walla Walla	9	1.88		0	0.00		142	29.71		19	3.97		8	1.67		8	1.67		62	12.97		208	43.51		1	0.21		11	2.30		9	1.88		1	0.21		478	97.15		14	2.85		492	0.61		226	47.28		252	52.72			
Wanganella	0	0.00		0	0.00		15	33.33		2	4.44		2	4.44		1	2.22		1	2.22		20	44.44		0	0.00		0	0.00		4	8.89		0	0.00		45	97.83		1	2.17		46	0.06		20	44.44		25	55.56			
Wentworth	31	3.13		5	0.50		282	28.46		185	18.67		4	0.40		9	0.91		188	18.97		259	26.14		4	0.40		12	1.21		6	0.61		6	0.61		991	92.27		83	7.73		1074	1.33		539	54.39		452	45.61			
Woomargama	5	4.67		0	0.00		28	26.17		11	10.28		1	0.93		0	0.00		11	10.28		46	42.99		2	1.87		3	2.80		0	0.00		0	0.00		107	93.86		7	6.14		114	0.14		48	44.86		59	55.14			
Yerong Creek	4	2.30		0	0.00		54	31.03		18	10.34		2	1.15		0	0.00		34	19.54		59	33.91		0	0.00		2	1.15		1	0.57		0	0.00		174	93.55		12	6.45		186	0.23		102	58.62		72	41.38			
Special Hospitals	3	1.02		4	1.36		71	24.15		4	1.36		1	0.34		1	0.34		80	27.21		124	42.18		0	0.00		3	1.02		3	1.02		0	0.00		294	96.08		12	3.92		306	0.38		149	50.68		145	49.32			
Total Ordinary	2143	3.29		421	0.65		14971	23.01		4134	6.35		930	1.43		612	0.94		13789	21.19		24779	38.08		300	0.46		1578	2.42		1076	1.65		340	0.52		65073	93.21		4740	6.79		69813	86.52		32338	49.69		32735	50.31			
ABSENT	135	6.73		13	0.65		466	23.22		115	5.73		39	1.94		11	0.55		378	18.83		675	33.63		9	0.45		99	4.93		43	2.14		24	1.20		2007	94.98		106	5.02		2113	2.62		1021	50.87		986	49.13			
POSTAL	69	1.89		19	0.52		1197	32.76		258	7.06		51	1.40		25	0.68		696	19.05		1179	32.27		17	0.47		76	2.08		53	1.45		14	0.38		3654	97.47		95	2.53		3749	4.65		1997	54.65		1657	45.35			
PRE_POLL	215	4.97		26	0.60		924	21.34		254	5.87		42	0.97		36	0.83		843	19.47		1678	38.76		25	0.58		188	4.34		64	1.48		34	0.79		4329	95.99		181	4.01		4510	5.59		2052	47.40		2277	52.60			
PROVISIONAL	21	4.48		6	1.28		83	17.70		34	7.25		6	1.28		12	2.56		124	26.44		138	29.42		5	1.07		18	3.84		18	3.84		4	0.85		469	93.24		34	6.76		503	0.62		255	54.37		214	45.63			
Division Summary	2583	3.42		485	0.64		17641	23.36		4795	6.35		1068	1.41		696	0.92		15830	20.96		28449	37.66		356	0.47		1959	2.59		1254	1.66		416	0.55		75532	93.61		5156	6.39		80688	95.58		37663	49.86		37869	50.14			
																																																					
																																																					
																																																					
																																																					
																																																		
