Senate - 2001 Election: New South Wales																																																																																	
First Preference Votes by Group 																																																																																	
By Polling Place																																																																																	

Parkes (83036)																																																																																	
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Group R Total			Group S Total			Group T Total			Group U Total			Group V Total			Group W Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Broken Hill Hospital		15	9.20		1	0.61		1	0.61		0	0.00		5	3.07		1	0.61		9	5.52		1	0.61		0	0.00		89	54.60		1	0.61		1	0.61		1	0.61		0	0.00		0	0.00		0	0.00		29	17.79		6	3.68		0	0.00		3	1.84		0	0.00		0	0.00		0	0.00		0	0.00		163	96.45		6	3.55		169	0.21
Broken Hill North		232	11.16		34	1.64		2	0.10		4	0.19		54	2.60		1	0.05		60	2.89		17	0.82		6	0.29		1130	54.38		9	0.43		1	0.05		13	0.63		0	0.00		3	0.14		1	0.05		474	22.81		10	0.48		0	0.00		16	0.77		0	0.00		1	0.05		8	0.38		2	0.10		2078	95.63		95	4.37		2173	2.73
Broken Hill West		96	8.92		14	1.30		0	0.00		1	0.09		27	2.51		3	0.28		33	3.07		8	0.74		2	0.19		569	52.88		4	0.37		0	0.00		5	0.46		0	0.00		1	0.09		1	0.09		284	26.39		4	0.37		1	0.09		19	1.77		0	0.00		0	0.00		3	0.28		1	0.09		1076	96.59		38	3.41		1114	1.40
Burcher		1	1.30		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		3	3.90		1	1.30		0	0.00		3	3.90		1	1.30		0	0.00		0	0.00		1	1.30		0	0.00		0	0.00		66	85.71		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	1.30		0	0.00		77	100.00		0	0.00		77	0.10
Caragabal		14	8.70		4	2.48		0	0.00		0	0.00		4	2.48		0	0.00		4	2.48		0	0.00		0	0.00		17	10.56		2	1.24		0	0.00		1	0.62		0	0.00		1	0.62		0	0.00		110	68.32		3	1.86		0	0.00		0	0.00		0	0.00		0	0.00		1	0.62		0	0.00		161	96.99		5	3.01		166	0.21
Churchill Gardens		187	11.40		63	3.84		2	0.12		4	0.24		34	2.07		2	0.12		53	3.23		21	1.28		2	0.12		440	26.83		10	0.61		1	0.06		13	0.79		0	0.00		4	0.24		0	0.00		752	45.85		16	0.98		2	0.12		24	1.46		0	0.00		1	0.06		9	0.55		0	0.00		1640	96.70		56	3.30		1696	2.13
Cobar		321	15.61		25	1.22		0	0.00		1	0.05		46	2.24		3	0.15		60	2.92		24	1.17		2	0.10		637	30.98		18	0.88		3	0.15		23	1.12		0	0.00		2	0.10		2	0.10		820	39.88		18	0.88		0	0.00		34	1.65		0	0.00		5	0.24		10	0.49		2	0.10		2056	96.30		79	3.70		2135	2.69
Condobolin		183	9.55		31	1.62		1	0.05		0	0.00		36	1.88		1	0.05		33	1.72		7	0.37		5	0.26		644	33.61		12	0.63		1	0.05		11	0.57		0	0.00		4	0.21		3	0.16		907	47.34		11	0.57		3	0.16		16	0.84		1	0.05		0	0.00		1	0.05		5	0.26		1916	96.48		70	3.52		1986	2.50
Cookamidgera		4	5.88		1	1.47		0	0.00		0	0.00		1	1.47		0	0.00		0	0.00		1	1.47		0	0.00		17	25.00		1	1.47		0	0.00		2	2.94		1	1.47		0	0.00		0	0.00		37	54.41		1	1.47		0	0.00		0	0.00		0	0.00		0	0.00		2	2.94		0	0.00		68	100.00		0	0.00		68	0.09
Coolabah		6	16.22		1	2.70		0	0.00		0	0.00		1	2.70		0	0.00		0	0.00		0	0.00		0	0.00		5	13.51		0	0.00		0	0.00		1	2.70		0	0.00		0	0.00		0	0.00		22	59.46		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	2.70		0	0.00		37	100.00		0	0.00		37	0.05
Dubbo		127	7.58		72	4.30		0	0.00		2	0.12		21	1.25		1	0.06		90	5.37		11	0.66		4	0.24		422	25.19		16	0.96		2	0.12		17	1.01		0	0.00		0	0.00		1	0.06		799	47.70		18	1.07		2	0.12		53	3.16		0	0.00		3	0.18		9	0.54		5	0.30		1675	97.05		51	2.95		1726	2.17
Dubbo East		199	7.38		145	5.38		1	0.04		1	0.04		31	1.15		7	0.26		103	3.82		42	1.56		6	0.22		677	25.11		24	0.89		0	0.00		22	0.82		1	0.04		3	0.11		0	0.00		1349	50.04		13	0.48		4	0.15		40	1.48		0	0.00		1	0.04		22	0.82		5	0.19		2696	96.98		84	3.02		2780	3.50
Dubbo Grove		248	9.85		68	2.70		2	0.08		2	0.08		30	1.19		10	0.40		82	3.26		36	1.43		6	0.24		543	21.56		24	0.95		0	0.00		25	0.99		1	0.04		4	0.16		3	0.12		1357	53.89		16	0.64		1	0.04		40	1.59		0	0.00		0	0.00		16	0.64		4	0.16		2518	97.07		76	2.93		2594	3.26
Dubbo Hospital		15	6.58		6	2.63		0	0.00		0	0.00		3	1.32		0	0.00		19	8.33		3	1.32		2	0.88		63	27.63		2	0.88		0	0.00		3	1.32		0	0.00		0	0.00		1	0.44		100	43.86		4	1.75		0	0.00		5	2.19		0	0.00		1	0.44		1	0.44		0	0.00		228	97.85		5	2.15		233	0.29
Dubbo North		288	13.26		59	2.72		1	0.05		2	0.09		26	1.20		5	0.23		66	3.04		21	0.97		2	0.09		619	28.50		20	0.92		1	0.05		13	0.60		0	0.00		3	0.14		2	0.09		987	45.44		19	0.87		1	0.05		26	1.20		0	0.00		1	0.05		10	0.46		0	0.00		2172	97.01		67	2.99		2239	2.82
Dubbo South		147	7.68		75	3.92		0	0.00		1	0.05		25	1.31		3	0.16		98	5.12		22	1.15		4	0.21		483	25.22		16	0.84		0	0.00		21	1.10		1	0.05		1	0.05		1	0.05		932	48.67		13	0.68		4	0.21		58	3.03		0	0.00		2	0.10		7	0.37		1	0.05		1915	96.91		61	3.09		1976	2.49
Dubbo West		215	12.13		53	2.99		0	0.00		1	0.06		27	1.52		0	0.00		66	3.72		15	0.85		3	0.17		496	27.99		15	0.85		0	0.00		14	0.79		0	0.00		4	0.23		2	0.11		791	44.64		16	0.90		0	0.00		37	2.09		0	0.00		1	0.06		13	0.73		3	0.17		1772	96.46		65	3.54		1837	2.31
Emmagool		12	11.21		0	0.00		0	0.00		4	3.74		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		6	5.61		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		81	75.70		0	0.00		0	0.00		3	2.80		0	0.00		0	0.00		0	0.00		1	0.93		107	99.07		1	0.93		108	0.14
Euabalong		32	23.19		0	0.00		0	0.00		1	0.72		4	2.90		0	0.00		3	2.17		1	0.72		1	0.72		36	26.09		1	0.72		0	0.00		0	0.00		0	0.00		1	0.72		1	0.72		53	38.41		1	0.72		0	0.00		0	0.00		0	0.00		0	0.00		1	0.72		2	1.45		138	97.18		4	2.82		142	0.18
Eumungerie		38	20.21		1	0.53		0	0.00		0	0.00		3	1.60		0	0.00		4	2.13		2	1.06		0	0.00		32	17.02		1	0.53		0	0.00		2	1.06		0	0.00		1	0.53		1	0.53		99	52.66		0	0.00		0	0.00		1	0.53		0	0.00		0	0.00		3	1.60		0	0.00		188	96.41		7	3.59		195	0.25
Excelsior		157	12.36		13	1.02		2	0.16		1	0.08		32	2.52		1	0.08		36	2.83		12	0.94		3	0.24		641	50.47		3	0.24		0	0.00		9	0.71		0	0.00		3	0.24		1	0.08		323	25.43		8	0.63		0	0.00		12	0.94		0	0.00		0	0.00		12	0.94		1	0.08		1270	95.99		53	4.01		1323	1.66
Fifield		20	27.78		1	1.39		0	0.00		0	0.00		1	1.39		0	0.00		1	1.39		0	0.00		0	0.00		10	13.89		5	6.94		0	0.00		1	1.39		0	0.00		0	0.00		0	0.00		31	43.06		1	1.39		0	0.00		1	1.39		0	0.00		0	0.00		0	0.00		0	0.00		72	98.63		1	1.37		73	0.09
Forbes		290	10.14		49	1.71		0	0.00		2	0.07		55	1.92		2	0.07		94	3.29		20	0.70		2	0.07		820	28.66		22	0.77		1	0.03		32	1.12		1	0.03		3	0.10		3	0.10		1392	48.65		28	0.98		1	0.03		31	1.08		1	0.03		0	0.00		10	0.35		2	0.07		2861	96.14		115	3.86		2976	3.74
Forbes Hospital		28	8.14		7	2.03		0	0.00		0	0.00		6	1.74		3	0.87		10	2.91		1	0.29		0	0.00		77	22.38		2	0.58		0	0.00		5	1.45		0	0.00		0	0.00		0	0.00		191	55.52		6	1.74		1	0.29		5	1.45		0	0.00		0	0.00		2	0.58		0	0.00		344	96.09		14	3.91		358	0.45
Forbes North		98	7.45		17	1.29		1	0.08		1	0.08		40	3.04		2	0.15		33	2.51		17	1.29		4	0.30		499	37.92		9	0.68		0	0.00		13	0.99		0	0.00		1	0.08		1	0.08		536	40.73		15	1.14		2	0.15		17	1.29		0	0.00		0	0.00		10	0.76		0	0.00		1316	96.20		52	3.80		1368	1.72
Forbes South		37	7.47		10	2.02		0	0.00		1	0.20		9	1.82		1	0.20		11	2.22		2	0.40		4	0.81		138	27.88		0	0.00		0	0.00		6	1.21		0	0.00		0	0.00		0	0.00		262	52.93		3	0.61		0	0.00		8	1.62		0	0.00		0	0.00		3	0.61		0	0.00		495	96.30		19	3.70		514	0.65
Garema		8	9.64		0	0.00		0	0.00		0	0.00		1	1.20		0	0.00		2	2.41		0	0.00		1	1.20		4	4.82		0	0.00		0	0.00		2	2.41		0	0.00		0	0.00		0	0.00		64	77.11		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	1.20		0	0.00		83	98.81		1	1.19		84	0.11
Girilambone		10	20.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	4.00		1	2.00		0	0.00		6	12.00		2	4.00		0	0.00		4	8.00		0	0.00		1	2.00		0	0.00		20	40.00		3	6.00		0	0.00		0	0.00		0	0.00		0	0.00		1	2.00		0	0.00		50	98.04		1	1.96		51	0.06
Gordon Centre		9	4.19		3	1.40		0	0.00		0	0.00		17	7.91		0	0.00		4	1.86		3	1.40		0	0.00		145	67.44		3	1.40		0	0.00		1	0.47		0	0.00		1	0.47		0	0.00		28	13.02		0	0.00		1	0.47		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		215	96.85		7	3.15		222	0.28
Greenethorpe		20	10.64		3	1.60		0	0.00		2	1.06		6	3.19		0	0.00		5	2.66		4	2.13		0	0.00		28	14.89		0	0.00		0	0.00		1	0.53		0	0.00		0	0.00		0	0.00		113	60.11		1	0.53		0	0.00		3	1.60		0	0.00		0	0.00		2	1.06		0	0.00		188	95.92		8	4.08		196	0.25
Grenfell		176	10.64		93	5.62		2	0.12		0	0.00		31	1.87		9	0.54		43	2.60		10	0.60		2	0.12		341	20.62		10	0.60		1	0.06		10	0.60		0	0.00		1	0.06		2	0.12		881	53.26		13	0.79		1	0.06		21	1.27		0	0.00		0	0.00		5	0.30		2	0.12		1654	95.66		75	4.34		1729	2.17
Gunningbland		7	7.37		2	2.11		0	0.00		0	0.00		1	1.05		0	0.00		1	1.05		0	0.00		0	0.00		9	9.47		3	3.16		0	0.00		2	2.11		0	0.00		0	0.00		0	0.00		67	70.53		1	1.05		0	0.00		2	2.11		0	0.00		0	0.00		0	0.00		0	0.00		95	100.00		0	0.00		95	0.12
Hermidale		2	1.92		1	0.96		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		9	8.65		0	0.00		0	0.00		1	0.96		0	0.00		0	0.00		0	0.00		90	86.54		0	0.00		0	0.00		1	0.96		0	0.00		0	0.00		0	0.00		0	0.00		104	99.05		1	0.95		105	0.13
Hillside		171	11.88		14	0.97		2	0.14		0	0.00		33	2.29		0	0.00		37	2.57		13	0.90		2	0.14		783	54.41		5	0.35		0	0.00		9	0.63		0	0.00		3	0.21		1	0.07		329	22.86		10	0.69		0	0.00		18	1.25		0	0.00		1	0.07		7	0.49		1	0.07		1439	94.86		78	5.14		1517	1.91
Hillston		75	8.68		9	1.04		1	0.12		0	0.00		19	2.20		0	0.00		25	2.89		14	1.62		2	0.23		222	25.69		15	1.74		0	0.00		23	2.66		0	0.00		1	0.12		1	0.12		430	49.77		8	0.93		0	0.00		7	0.81		0	0.00		0	0.00		6	0.69		6	0.69		864	94.53		50	5.47		914	1.15
Ivanhoe		15	10.56		1	0.70		0	0.00		0	0.00		1	0.70		0	0.00		6	4.23		0	0.00		0	0.00		28	19.72		0	0.00		0	0.00		0	0.00		0	0.00		1	0.70		0	0.00		88	61.97		1	0.70		0	0.00		1	0.70		0	0.00		0	0.00		0	0.00		0	0.00		142	96.60		5	3.40		147	0.18
Lake Cargelligo		86	9.94		8	0.92		1	0.12		0	0.00		19	2.20		1	0.12		17	1.97		10	1.16		3	0.35		197	22.77		7	0.81		1	0.12		17	1.97		0	0.00		2	0.23		3	0.35		471	54.45		8	0.92		1	0.12		10	1.16		0	0.00		0	0.00		2	0.23		1	0.12		865	93.92		56	6.08		921	1.16
Lourdes Hospital		49	9.28		10	1.89		0	0.00		0	0.00		2	0.38		0	0.00		17	3.22		3	0.57		0	0.00		174	32.95		5	0.95		0	0.00		4	0.76		0	0.00		1	0.19		0	0.00		252	47.73		2	0.38		0	0.00		7	1.33		0	0.00		0	0.00		2	0.38		0	0.00		528	97.78		12	2.22		540	0.68
Menindee		62	15.50		2	0.50		0	0.00		0	0.00		24	6.00		0	0.00		8	2.00		2	0.50		1	0.25		189	47.25		3	0.75		0	0.00		3	0.75		0	0.00		0	0.00		0	0.00		92	23.00		8	2.00		0	0.00		4	1.00		0	0.00		0	0.00		2	0.50		0	0.00		400	94.79		22	5.21		422	0.53
Merriwagga		6	10.71		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		10	17.86		0	0.00		0	0.00		1	1.79		0	0.00		0	0.00		0	0.00		38	67.86		1	1.79		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		56	98.25		1	1.75		57	0.07
Mirrool		8	11.59		7	10.14		0	0.00		0	0.00		1	1.45		0	0.00		1	1.45		0	0.00		0	0.00		1	1.45		1	1.45		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		49	71.01		1	1.45		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		69	94.52		4	5.48		73	0.09
Morgan Street		121	9.13		35	2.64		0	0.00		0	0.00		26	1.96		2	0.15		53	4.00		10	0.75		3	0.23		595	44.91		8	0.60		0	0.00		7	0.53		0	0.00		0	0.00		1	0.08		441	33.28		4	0.30		0	0.00		15	1.13		0	0.00		0	0.00		4	0.30		0	0.00		1325	96.93		42	3.07		1367	1.72
Murrin Bridge		0	0.00		0	0.00		0	0.00		0	0.00		3	5.56		1	1.85		0	0.00		2	3.70		0	0.00		36	66.67		1	1.85		0	0.00		0	0.00		1	1.85		0	0.00		0	0.00		4	7.41		6	11.11		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		54	100.00		0	0.00		54	0.07
Narromine		264	10.24		65	2.52		0	0.00		0	0.00		35	1.36		1	0.04		57	2.21		16	0.62		5	0.19		670	26.00		24	0.93		3	0.12		31	1.20		0	0.00		2	0.08		4	0.16		1328	51.53		22	0.85		0	0.00		28	1.09		1	0.04		0	0.00		17	0.66		4	0.16		2577	97.43		68	2.57		2645	3.33
Nevertire		18	11.04		2	1.23		0	0.00		2	1.23		4	2.45		0	0.00		4	2.45		1	0.61		0	0.00		27	16.56		2	1.23		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		99	60.74		3	1.84		0	0.00		1	0.61		0	0.00		0	0.00		0	0.00		0	0.00		163	97.60		4	2.40		167	0.21
Nymagee		17	20.24		1	1.19		0	0.00		1	1.19		1	1.19		0	0.00		0	0.00		2	2.38		1	1.19		8	9.52		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		50	59.52		1	1.19		0	0.00		1	1.19		0	0.00		0	0.00		1	1.19		0	0.00		84	97.67		2	2.33		86	0.11
Nyngan		191	14.58		12	0.92		0	0.00		2	0.15		35	2.67		1	0.08		26	1.98		17	1.30		1	0.08		374	28.55		11	0.84		1	0.08		9	0.69		0	0.00		2	0.15		4	0.31		598	45.65		11	0.84		0	0.00		3	0.23		0	0.00		0	0.00		9	0.69		3	0.23		1310	95.13		67	4.87		1377	1.73
Ootha		7	17.50		6	15.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		26	65.00		0	0.00		0	0.00		1	2.50		0	0.00		0	0.00		0	0.00		0	0.00		40	93.02		3	6.98		43	0.05
Orana Heights		244	8.34		128	4.38		4	0.14		1	0.03		43	1.47		3	0.10		103	3.52		28	0.96		6	0.21		671	22.95		26	0.89		0	0.00		20	0.68		1	0.03		3	0.10		4	0.14		1554	53.15		26	0.89		3	0.10		38	1.30		0	0.00		0	0.00		17	0.58		1	0.03		2924	97.27		82	2.73		3006	3.78
Parkes		146	8.77		38	2.28		1	0.06		2	0.12		46	2.76		0	0.00		63	3.79		26	1.56		5	0.30		511	30.71		18	1.08		0	0.00		17	1.02		0	0.00		2	0.12		3	0.18		744	44.71		8	0.48		0	0.00		23	1.38		1	0.06		1	0.06		8	0.48		1	0.06		1664	95.91		71	4.09		1735	2.18
Parkes East		86	7.43		59	5.10		0	0.00		0	0.00		13	1.12		0	0.00		43	3.72		4	0.35		1	0.09		296	25.58		7	0.61		1	0.09		11	0.95		1	0.09		3	0.26		0	0.00		580	50.13		7	0.61		0	0.00		33	2.85		1	0.09		1	0.09		9	0.78		1	0.09		1157	97.72		27	2.28		1184	1.49
Parkes High		57	7.83		29	3.98		0	0.00		0	0.00		14	1.92		3	0.41		34	4.67		5	0.69		0	0.00		204	28.02		13	1.79		0	0.00		10	1.37		0	0.00		0	0.00		0	0.00		329	45.19		6	0.82		2	0.27		16	2.20		1	0.14		0	0.00		4	0.55		1	0.14		728	98.11		14	1.89		742	0.93
Parkes Hospital		58	8.96		19	2.94		0	0.00		1	0.15		18	2.78		0	0.00		18	2.78		7	1.08		1	0.15		189	29.21		3	0.46		0	0.00		7	1.08		0	0.00		2	0.31		0	0.00		301	46.52		4	0.62		0	0.00		14	2.16		0	0.00		0	0.00		4	0.62		1	0.15		647	95.99		27	4.01		674	0.85
Parkes South		107	12.50		25	2.92		1	0.12		0	0.00		19	2.22		0	0.00		25	2.92		15	1.75		2	0.23		293	34.23		6	0.70		3	0.35		9	1.05		1	0.12		0	0.00		2	0.23		310	36.21		7	0.82		1	0.12		19	2.22		0	0.00		1	0.12		10	1.17		0	0.00		856	96.40		32	3.60		888	1.12
Peak Hill		65	8.56		24	3.16		0	0.00		1	0.13		21	2.77		0	0.00		23	3.03		4	0.53		6	0.79		219	28.85		6	0.79		0	0.00		4	0.53		1	0.13		0	0.00		1	0.13		358	47.17		7	0.92		0	0.00		13	1.71		0	0.00		0	0.00		4	0.53		2	0.26		759	96.44		28	3.56		787	0.99
Quandialla		21	10.05		1	0.48		0	0.00		0	0.00		3	1.44		0	0.00		6	2.87		1	0.48		0	0.00		35	16.75		0	0.00		1	0.48		5	2.39		0	0.00		0	0.00		1	0.48		124	59.33		4	1.91		0	0.00		6	2.87		0	0.00		0	0.00		1	0.48		0	0.00		209	97.66		5	2.34		214	0.27
Rees Avenue		88	9.04		36	3.70		1	0.10		1	0.10		27	2.77		0	0.00		31	3.19		7	0.72		0	0.00		324	33.30		12	1.23		0	0.00		7	0.72		0	0.00		1	0.10		3	0.31		401	41.21		10	1.03		0	0.00		18	1.85		0	0.00		0	0.00		6	0.62		0	0.00		973	97.01		30	2.99		1003	1.26
Sydney (Parkes)		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		3	11.54		0	0.00		0	0.00		2	7.69		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		18	69.23		0	0.00		0	0.00		2	7.69		0	0.00		0	0.00		1	3.85		0	0.00		26	96.30		1	3.70		27	0.03
Tallimba		19	13.19		4	2.78		0	0.00		3	2.08		1	0.69		0	0.00		1	0.69		0	0.00		0	0.00		9	6.25		1	0.69		0	0.00		2	1.39		0	0.00		0	0.00		0	0.00		102	70.83		1	0.69		0	0.00		0	0.00		0	0.00		0	0.00		1	0.69		0	0.00		144	94.12		9	5.88		153	0.19
Tibooburra		14	16.09		0	0.00		0	0.00		0	0.00		2	2.30		0	0.00		3	3.45		1	1.15		0	0.00		21	24.14		2	2.30		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		39	44.83		2	2.30		0	0.00		2	2.30		0	0.00		1	1.15		0	0.00		0	0.00		87	97.75		2	2.25		89	0.11
Tilpa		5	11.90		1	2.38		0	0.00		0	0.00		0	0.00		0	0.00		1	2.38		0	0.00		0	0.00		5	11.90		0	0.00		0	0.00		2	4.76		0	0.00		0	0.00		0	0.00		27	64.29		0	0.00		0	0.00		1	2.38		0	0.00		0	0.00		0	0.00		0	0.00		42	100.00		0	0.00		42	0.05
Tomingley		23	12.43		13	7.03		0	0.00		1	0.54		2	1.08		0	0.00		6	3.24		2	1.08		0	0.00		33	17.84		1	0.54		0	0.00		3	1.62		0	0.00		1	0.54		0	0.00		97	52.43		1	0.54		0	0.00		1	0.54		0	0.00		0	0.00		1	0.54		0	0.00		185	97.88		4	2.12		189	0.24
Tottenham		61	14.77		8	1.94		0	0.00		0	0.00		8	1.94		0	0.00		10	2.42		1	0.24		2	0.48		64	15.50		6	1.45		0	0.00		1	0.24		1	0.24		3	0.73		0	0.00		242	58.60		2	0.48		0	0.00		1	0.24		0	0.00		0	0.00		3	0.73		0	0.00		413	94.29		25	5.71		438	0.55
Trangie		89	11.48		7	0.90		0	0.00		0	0.00		21	2.71		0	0.00		17	2.19		3	0.39		2	0.26		212	27.35		6	0.77		1	0.13		9	1.16		2	0.26		1	0.13		0	0.00		380	49.03		9	1.16		0	0.00		13	1.68		0	0.00		1	0.13		2	0.26		0	0.00		775	95.80		34	4.20		809	1.02
Trundle		55	10.91		10	1.98		0	0.00		1	0.20		10	1.98		0	0.00		16	3.17		6	1.19		1	0.20		89	17.66		2	0.40		0	0.00		3	0.60		0	0.00		0	0.00		0	0.00		296	58.73		3	0.60		0	0.00		5	0.99		0	0.00		1	0.20		1	0.20		5	0.99		504	97.67		12	2.33		516	0.65
Tullamore		41	14.70		2	0.72		0	0.00		0	0.00		1	0.36		0	0.00		12	4.30		3	1.08		0	0.00		43	15.41		0	0.00		0	0.00		2	0.72		0	0.00		0	0.00		0	0.00		169	60.57		0	0.00		0	0.00		3	1.08		0	0.00		1	0.36		0	0.00		2	0.72		279	93.62		19	6.38		298	0.37
Tullibigeal		12	6.38		2	1.06		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.53		13	6.91		0	0.00		0	0.00		1	0.53		0	0.00		0	0.00		0	0.00		158	84.04		0	0.00		0	0.00		1	0.53		0	0.00		0	0.00		0	0.00		0	0.00		188	96.41		7	3.59		195	0.25
Ungarie		48	11.97		4	1.00		0	0.00		1	0.25		5	1.25		1	0.25		11	2.74		1	0.25		1	0.25		74	18.45		7	1.75		0	0.00		5	1.25		0	0.00		0	0.00		0	0.00		231	57.61		5	1.25		0	0.00		4	1.00		0	0.00		0	0.00		2	0.50		1	0.25		401	96.86		13	3.14		414	0.52
Warren		170	14.04		14	1.16		0	0.00		1	0.08		37	3.06		0	0.00		24	1.98		12	0.99		1	0.08		358	29.56		12	0.99		1	0.08		27	2.23		0	0.00		1	0.08		2	0.17		520	42.94		13	1.07		1	0.08		4	0.33		0	0.00		0	0.00		11	0.91		2	0.17		1211	94.61		69	5.39		1280	1.61
Warroo		13	12.04		0	0.00		0	0.00		0	0.00		3	2.78		2	1.85		5	4.63		0	0.00		0	0.00		9	8.33		0	0.00		1	0.93		2	1.85		0	0.00		0	0.00		0	0.00		71	65.74		0	0.00		0	0.00		2	1.85		0	0.00		0	0.00		0	0.00		0	0.00		108	100.00		0	0.00		108	0.14
