House of Representatives - 2001 Election: New South Wales																																													
First Preference Votes and TCP 																																													
By Candidate by Polling Place																																													

Chifley (83474)																																													
	ASARLOGLOU			BUTLER			HYLAND			DAMJANOVIC			BATES			CLACK			CUNNINGHAM			# PRICE			WYNESS			FORMAL			INFORMAL			TOTAL											
	Costa			Lindsey			Wayne			Joe			Barbie			S J			David			Roger			Joseph												Two Candidate Preferred								
	LP			AFI			IND			HAN			SAS			DEM			GRN			ALP			CTA												 ASARLOGLOU LP			# PRICE ALP					
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%				
Marayong (Chifley)	122	27.79		5	1.14		4	0.91		48	10.93		8	1.82		12	2.73		11	2.51		214	48.75		15	3.42		439	84.91		78	15.09		517	0.66		164	37.36		275	62.64
Marayong South	243	26.10		27	2.90		10	1.07		75	8.06		11	1.18		31	3.33		21	2.26		485	52.09		28	3.01		931	93.57		64	6.43		995	1.27		350	37.59		581	62.41
Marayong West (Chifley)	96	30.87		5	1.61		3	0.96		12	3.86		4	1.29		10	3.22		8	2.57		161	51.77		12	3.86		311	87.61		44	12.39		355	0.45		119	38.26		192	61.74
Minchinbury	830	34.37		38	1.57		16	0.66		110	4.55		38	1.57		67	2.77		45	1.86		1199	49.65		72	2.98		2415	89.74		276	10.26		2691	3.42		1042	43.15		1373	56.85
Mount Druitt Hospital	100	16.16		3	0.48		4	0.65		21	3.39		9	1.45		6	0.97		4	0.65		439	70.92		33	5.33		619	91.43		58	8.57		677	0.86		139	22.46		480	77.54
Mount Druitt North	341	21.10		11	0.68		9	0.56		77	4.76		55	3.40		25	1.55		35	2.17		1022	63.24		41	2.54		1616	87.68		227	12.32		1843	2.34		461	28.53		1155	71.47
Mount Druitt South	716	28.94		37	1.50		14	0.57		177	7.15		166	6.71		41	1.66		37	1.50		1224	49.47		62	2.51		2474	89.25		298	10.75		2772	3.52		997	40.30		1477	59.70
O.L.C. Home	198	33.39		9	1.52		6	1.01		42	7.08		9	1.52		10	1.69		11	1.85		287	48.40		21	3.54		593	91.51		55	8.49		648	0.82		264	44.52		329	55.48
Oxley Park	727	32.81		58	2.62		17	0.77		158	7.13		108	4.87		58	2.62		37	1.67		1019	45.98		34	1.53		2216	90.49		233	9.51		2449	3.11		951	42.92		1265	57.08
Plumpton	771	21.13		54	1.48		28	0.77		154	4.22		74	2.03		65	1.78		73	2.00		2292	62.83		137	3.76		3648	91.04		359	8.96		4007	5.10		1078	29.55		2570	70.45			
Rooty Hill North	821	27.09		34	1.12		19	0.63		190	6.27		59	1.95		56	1.85		45	1.48		1782	58.79		25	0.82		3031	90.99		300	9.01		3331	4.24		1067	35.20		1964	64.80			
Rooty Hill South	379	23.28		19	1.17		8	0.49		120	7.37		26	1.60		28	1.72		21	1.29		968	59.46		59	3.62		1628	90.65		168	9.35		1796	2.28		526	32.31		1102	67.69			
St Marys	365	30.02		24	1.97		15	1.23		73	6.00		48	3.95		20	1.64		20	1.64		631	51.89		20	1.64		1216	88.31		161	11.69		1377	1.75		481	39.56		735	60.44			
St Marys North	450	24.08		38	2.03		17	0.91		175	9.36		113	6.05		23	1.23		19	1.02		1004	53.72		30	1.61		1869	91.35		177	8.65		2046	2.60		668	35.74		1201	64.26			
St Marys South	705	30.89		55	2.41		13	0.57		156	6.84		124	5.43		39	1.71		26	1.14		1114	48.82		50	2.19		2282	89.74		261	10.26		2543	3.23		944	41.37		1338	58.63			
Shalvey	319	21.60		22	1.49		6	0.41		84	5.69		69	4.67		24	1.62		53	3.59		870	58.90		30	2.03		1477	89.79		168	10.21		1645	2.09		449	30.40		1028	69.60			
Sydney (Chifley)	20	27.03		0	0.00		0	0.00		2	2.70		1	1.35		2	2.70		1	1.35		45	60.81		3	4.05		74	87.06		11	12.94		85	0.11		25	33.78		49	66.22			
Tregear	332	20.12		29	1.76		9	0.55		136	8.24		120	7.27		16	0.97		17	1.03		956	57.94		35	2.12		1650	90.51		173	9.49		1823	2.32		517	31.33		1133	68.67			
Walters Road (Chifley)	679	28.41		49	2.05		13	0.54		110	4.60		44	1.84		54	2.26		47	1.97		1291	54.02		103	4.31		2390	91.08		234	8.92		2624	3.34		884	36.99		1506	63.01			
Whalan	303	18.68		24	1.48		11	0.68		120	7.40		77	4.75		25	1.54		18	1.11		1028	63.38		16	0.99		1622	89.96		181	10.04		1803	2.29		448	27.62		1174	72.38			
Willmot	208	19.92		11	1.05		7	0.67		78	7.47		120	11.49		18	1.72		13	1.25		571	54.69		18	1.72		1044	87.66		147	12.34		1191	1.51		318	30.46		726	69.54			
Woodcroft	182	25.45		8	1.12		5	0.70		26	3.64		5	0.70		12	1.68		11	1.54		445	62.24		21	2.94		715	95.59		33	4.41		748	0.95		229	32.03		486	67.97			
Special Hospitals	1	12.50		1	12.50		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		6	75.00		0	0.00		8	80.00		2	20.00		10	0.01		2	25.00		6	75.00			
Total Ordinary	15571	25.25		992	1.61		435	0.71		3852	6.25		2108	3.42		1136	1.84		972	1.58		35092	56.90		1520	2.46		61678	90.51		6468	9.49		68146	86.65		21180	34.34		40498	65.66			
ABSENT	1380	29.41		164	3.49		69	1.47		267	5.69		124	2.64		132	2.81		164	3.49		2263	48.22		130	2.77		4693	91.14		456	8.86		5149	6.55		1885	40.17		2808	59.83			
POSTAL	486	29.24		33	1.99		18	1.08		101	6.08		27	1.62		31	1.87		23	1.38		908	54.63		35	2.11		1662	96.63		58	3.37		1720	2.19		592	35.62		1070	64.38			
PRE_POLL	642	23.90		57	2.12		36	1.34		178	6.63		60	2.23		56	2.08		45	1.68		1532	57.04		80	2.98		2686	93.92		174	6.08		2860	3.64		912	33.95		1774	66.05			
PROVISIONAL	146	21.04		16	2.31		7	1.01		44	6.34		28	4.03		10	1.44		16	2.31		408	58.79		19	2.74		694	90.13		76	9.87		770	0.98		216	31.12		478	68.88			
Division Summary	18225	25.52		1262	1.77		565	0.79		4442	6.22		2347	3.29		1365	1.91		1220	1.71		40203	56.30		1784	2.50		71413	90.80		7232	9.20		78645	94.21		24785	34.71		46628	65.29			
																																												
																																												
																																												
																																												
																																												
