House of Representatives - 2001 Election: New South Wales																										
Distribution of Preferences																										
By Polling Place																										
																										
Mackellar																										
				PAPE			BISHOP			CUTHBERTSON			DIMOND			MOODY			CARPENTIER			MAY				
		TOTAL		189	9.78		1143	59.13		45	2.33		226	11.69					330	17.07					1933	
	FOURTH			15	33.33		15	33.33			Excluded		7	15.56					8	17.78					45	
		TOTAL		204	10.55		1158	59.91					233	12.05					338	17.49					1933	
	FIFTH				Excluded		41	20.10					118	57.84					45	22.06					204	
		TOTAL					1199	62.03					351	18.16					383	19.81					1933	
	SIXTH						97	27.64						Excluded					254	72.36					351	
		TOTAL					1296	67.05											637	32.95					1933	
							Elected																			
																										
Collaroy                                                       																										
	FIRST			135	8.97		894	59.40		17	1.13		127	8.44		22	1.46		285	18.94		25	1.66		1505	
	SECOND			2	9.09		7	31.82		4	18.18		4	18.18			Excluded		2	9.09		3	13.64		22	
		TOTAL		137	9.10		901	59.87		21	1.40		131	8.70					287	19.07		28	1.86		1505	
	THIRD			7	25.00		2	7.14		3	10.71		4	14.29					12	42.86			Excluded		28	
		TOTAL		144	9.57		903	60.00		24	1.59		135	8.97					299	19.87					1505	
	FOURTH			4	16.67		8	33.33			Excluded		7	29.17					5	20.83					24	
		TOTAL		148	9.83		911	60.53					142	9.44					304	20.20					1505	
	FIFTH				Excluded		29	19.59					88	59.46					31	20.95					148	
		TOTAL					940	62.46					230	15.28					335	22.26					1505	
	SIXTH						67	29.13						Excluded					163	70.87					230	
		TOTAL					1007	66.91											498	33.09					1505	
							Elected																			
																										
Collaroy Plateau                                               																										
	FIRST			163	6.49		1484	59.08		73	2.91		234	9.32		42	1.67		472	18.79		44	1.75		2512	
	SECOND			3	7.14		10	23.81		9	21.43		6	14.29			Excluded		11	26.19		3	7.14		42	
		TOTAL		166	6.61		1494	59.47		82	3.26		240	9.55					483	19.23		47	1.87		2512	
	THIRD			17	36.17		8	17.02		6	12.77		10	21.28					6	12.77			Excluded		47	
		TOTAL		183	7.29		1502	59.79		88	3.50		250	9.95					489	19.47					2512	
	FOURTH			15	17.05		49	55.68			Excluded		11	12.50					13	14.77					88	
		TOTAL		198	7.88		1551	61.74					261	10.39					502	19.98					2512	
	FIFTH				Excluded		55	27.78					86	43.43					57	28.79					198	
		TOTAL					1606	63.93					347	13.81					559	22.25					2512	
	SIXTH						103	29.68						Excluded					244	70.32					347	
		TOTAL					1709	68.03											803	31.97					2512	
							Elected																			
																										
Coster Street                                                  																										
	FIRST			60	5.90		599	58.90		19	1.87		92	9.05		23	2.26		209	20.55		15	1.47		1017	
	SECOND			2	8.70		6	26.09		1	4.35		2	8.70			Excluded		10	43.48		2	8.70		23	
		TOTAL		62	6.10		605	59.49		20	1.97		94	9.24					219	21.53		17	1.67		1017	
	THIRD			5	29.41		3	17.65		3	17.65		3	17.65					3	17.65			Excluded		17	
		TOTAL		67	6.59		608	59.78		23	2.26		97	9.54					222	21.83					1017	
	FOURTH			5	21.74		8	34.78			Excluded		4	17.39					6	26.09					23	
		TOTAL		72	7.08		616	60.57					101	9.93					228	22.42					1017	
	FIFTH				Excluded		20	27.78					42	58.33					10	13.89					72	
		TOTAL					636	62.54					143	14.06					238	23.40					1017	
	SIXTH						35	24.48						Excluded					108	75.52					143	
		TOTAL					671	65.98											346	34.02					1017	
							Elected																			
																										
Cromer                                                         																										
	FIRST			171	6.11		1627	58.15		83	2.97		254	9.08		46	1.64		569	20.34		48	1.72		2798	
	SECOND			5	10.87		12	26.09		10	21.74		4	8.70			Excluded		10	21.74		5	10.87		46	
		TOTAL		176	6.29		1639	58.58		93	3.32		258	9.22					579	20.69		53	1.89		2798	
	THIRD			8	15.09		13	24.53		10	18.87		11	20.75					11	20.75			Excluded		53	
		TOTAL		184	6.58		1652	59.04		103	3.68		269	9.61					590	21.09					2798	
	FOURTH			24	23.30		46	44.66			Excluded		15	14.56					18	17.48					103	
		TOTAL		208	7.43		1698	60.69					284	10.15					608	21.73					2798	
	FIFTH				Excluded		36	17.31					122	58.65					50	24.04					208	
		TOTAL					1734	61.97					406	14.51					658	23.52					2798	
	SIXTH						132	32.51						Excluded					274	67.49					406	
		TOTAL					1866	66.69											932	33.31					2798	
							Elected																			
																										
Cromer East                                                    																										
	FIRST			56	5.94		539	57.16		21	2.23		73	7.74		19	2.01		218	23.12		17	1.80		943	
	SECOND			4	21.05		3	15.79		7	36.84		1	5.26			Excluded		2	10.53		2	10.53		19	
		TOTAL		60	6.36		542	57.48		28	2.97		74	7.85					220	23.33		19	2.01		943	
	THIRD			3	15.79		4	21.05		0	0.00		1	5.26					11	57.89			Excluded		19	
		TOTAL		63	6.68		546	57.90		28	2.97		75	7.95					231	24.50					943	
	FOURTH			10	35.71		9	32.14			Excluded		4	14.29					5	17.86					28	
		TOTAL		73	7.74		555	58.85					79	8.38					236	25.03					943	
	FIFTH				Excluded		24	32.88					38	52.05					11	15.07					73	
		TOTAL					579	61.40					117	12.41					247	26.19					943	
	SIXTH						30	25.64						Excluded					87	74.36					117	
		TOTAL					609	64.58											334	35.42					943	
							Elected																			
																										
Dee Why (Mackellar)                                            																										
	FIRST			233	8.52		1343	49.09		58	2.12		234	8.55		39	1.43		747	27.30		82	3.00		2736	
	SECOND			10	25.64		7	17.95		10	25.64		3	7.69			Excluded		6	15.38		3	7.69		39	
		TOTAL		243	8.88		1350	49.34		68	2.49		237	8.66					753	27.52		85	3.11		2736	
	THIRD			18	21.18		15	17.65		8	9.41		10	11.76					34	40.00			Excluded		85	
		TOTAL		261	9.54		1365	49.89		76	2.78		247	9.03					787	28.76					2736	
	FOURTH			21	27.63		31	40.79			Excluded		14	18.42					10	13.16					76	
		TOTAL		282	10.31		1396	51.02					261	9.54					797	29.13					2736	
	FIFTH				Excluded		72	25.53					151	53.55					59	20.92					282	
		TOTAL					1468	53.65					412	15.06					856	31.29					2736	
	SIXTH						108	26.21						Excluded					304	73.79					412	
		TOTAL					1576	57.60											1160	42.40					2736	
							Elected																			
																										
Dee Why Central (Mackellar)                                    																										
	FIRST			40	7.50		263	49.34		21	3.94		38	7.13		14	2.63		141	26.45		16	3.00		533	
	SECOND			0	0.00		6	42.86		2	14.29		4	28.57			Excluded		2	14.29		0	0.00		14	
		TOTAL		40	7.50		269	50.47		23	4.32		42	7.88					143	26.83		16	3.00		533	
	THIRD			4	25.00		4	25.00		0	0.00		5	31.25					3	18.75			Excluded		16	
		TOTAL		44	8.26		273	51.22		23	4.32		47	8.82					146	27.39					533	
	FOURTH			10	43.48		7	30.43			Excluded		1	4.35					5	21.74					23	
		TOTAL		54	10.13		280	52.53					48	9.01					151	28.33					533	
	FIFTH				Excluded		18	33.33					24	44.44					12	22.22					54	
		TOTAL					298	55.91					72	13.51					163	30.58					533	
	SIXTH						22	30.56						Excluded					50	69.44					72	
		TOTAL					320	60.04											213	39.96					533	
							Elected																			
																										
Elanora                                                        																										
	FIRST			204	9.46		1261	58.49		59	2.74		268	12.43		28	1.30		305	14.15		31	1.44		2156	
	SECOND			5	17.86		4	14.29		14	50.00		0	0.00			Excluded		4	14.29		1	3.57		28	
		TOTAL		209	9.69		1265	58.67		73	3.39		268	12.43					309	14.33		32	1.48		2156	
	THIRD			7	21.88		7	21.88		2	6.25		7	21.88					9	28.13			Excluded		32	
		TOTAL		216	10.02		1272	59.00		75	3.48		275	12.76					318	14.75					2156	
	FOURTH			20	26.67		32	42.67			Excluded		8	10.67					15	20.00					75	
		TOTAL		236	10.95		1304	60.48					283	13.13					333	15.45					2156	
	FIFTH				Excluded		63	26.69					132	55.93					41	17.37					236	
		TOTAL					1367	63.40					415	19.25					374	17.35					2156	
	SIXTH						117	28.19						Excluded					298	71.81					415	
		TOTAL					1484	68.83											672	31.17					2156	
							Elected																			
																										
Forest High                                                    																										
	FIRST			87	6.44		786	58.22		30	2.22		135	10.00		21	1.56		257	19.04		34	2.52		1350	
	SECOND			4	19.05		6	28.57		1	4.76		5	23.81			Excluded		4	19.05		1	4.76		21	
		TOTAL		91	6.74		792	58.67		31	2.30		140	10.37					261	19.33		35	2.59		1350	
	THIRD			7	20.00		5	14.29		4	11.43		13	37.14					6	17.14			Excluded		35	
		TOTAL		98	7.26		797	59.04		35	2.59		153	11.33					267	19.78					1350	
	FOURTH			7	20.00		18	51.43			Excluded		4	11.43					6	17.14					35	
		TOTAL		105	7.78		815	60.37					157	11.63					273	20.22					1350	
	FIFTH				Excluded		20	19.05					71	67.62					14	13.33					105	
		TOTAL					835	61.85					228	16.89					287	21.26					1350	
	SIXTH						66	28.95						Excluded					162	71.05					228	
		TOTAL					901	66.74											449	33.26					1350	
							Elected																			
																										
Frenchs Forest (Mackellar)                                     																										
	FIRST			78	6.61		704	59.66		30	2.54		109	9.24		12	1.02		222	18.81		25	2.12		1180	
	SECOND			0	0.00		5	41.67		3	25.00		0	0.00			Excluded		1	8.33		3	25.00		12	
		TOTAL		78	6.61		709	60.08		33	2.80		109	9.24					223	18.90		28	2.37		1180	
	THIRD			7	25.00		6	21.43		3	10.71		3	10.71					9	32.14			Excluded		28	
		TOTAL		85	7.20		715	60.59		36	3.05		112	9.49					232	19.66					1180	
	FOURTH			6	16.67		18	50.00			Excluded		7	19.44					5	13.89					36	
		TOTAL		91	7.71		733	62.12					119	10.08					237	20.08					1180	
	FIFTH				Excluded		17	18.68					57	62.64					17	18.68					91	
		TOTAL					750	63.56					176	14.92					254	21.53					1180	
	SIXTH						58	32.95						Excluded					118	67.05					176	
		TOTAL					808	68.47											372	31.53					1180	
							Elected																			
																										
Kambora                                                        																										
	FIRST			43	5.09		581	68.76		12	1.42		55	6.51		10	1.18		127	15.03		17	2.01		845	
	SECOND			0	0.00		2	20.00		4	40.00		0	0.00			Excluded		3	30.00		1	10.00		10	
		TOTAL		43	5.09		583	68.99		16	1.89		55	6.51					130	15.38		18	2.13		845	
	THIRD			4	22.22		5	27.78		0	0.00		6	33.33					3	16.67			Excluded		18	
		TOTAL		47	5.56		588	69.59		16	1.89		61	7.22					133	15.74					845	
	FOURTH			1	6.25		9	56.25			Excluded		3	18.75					3	18.75					16	
		TOTAL		48	5.68		597	70.65					64	7.57					136	16.09					845	
	FIFTH				Excluded		5	10.42					26	54.17					17	35.42					48	
		TOTAL					602	71.24					90	10.65					153	18.11					845	
	SIXTH						32	35.56						Excluded					58	64.44					90	
		TOTAL					634	75.03											211	24.97					845	
							Elected																			
																										
Lagoon Street                                                  																										
	FIRST			104	8.14		700	54.77		40	3.13		139	10.88		14	1.10		266	20.81		15	1.17		1278	
	SECOND			6	42.86		4	28.57		2	14.29		0	0.00			Excluded		1	7.14		1	7.14		14	
		TOTAL		110	8.61		704	55.09		42	3.29		139	10.88					267	20.89		16	1.25		1278	
	THIRD			6	37.50		3	18.75		1	6.25		2	12.50					4	25.00			Excluded		16	
		TOTAL		116	9.08		707	55.32		43	3.36		141	11.03					271	21.21					1278	
	FOURTH			9	20.93		20	46.51			Excluded		7	16.28					7	16.28					43	
		TOTAL		125	9.78		727	56.89					148	11.58					278	21.75					1278	
	FIFTH				Excluded		31	24.80					67	53.60					27	21.60					125	
		TOTAL					758	59.31					215	16.82					305	23.87					1278	
	SIXTH						65	30.23						Excluded					150	69.77					215	
		TOTAL					823	64.40											455	35.60					1278	
							Elected																			
																										
Mimosa                                                         																										
	FIRST			134	5.50		1555	63.78		53	2.17		187	7.67		42	1.72		417	17.10		50	2.05		2438	
	SECOND			5	11.90		15	35.71		4	9.52		2	4.76			Excluded		6	14.29		10	23.81		42	
		TOTAL		139	5.70		1570	64.40		57	2.34		189	7.75					423	17.35		60	2.46		2438	
	THIRD			9	15.00		13	21.67		6	10.00		14	23.33					18	30.00			Excluded		60	
		TOTAL		148	6.07		1583	64.93		63	2.58		203	8.33					441	18.09					2438	
	FOURTH			11	17.46		34	53.97			Excluded		11	17.46					7	11.11					63	
		TOTAL		159	6.52		1617	66.32					214	8.78					448	18.38					2438	
	FIFTH				Excluded		43	27.04					85	53.46					31	19.50					159	
		TOTAL					1660	68.09					299	12.26					479	19.65					2438	
	SIXTH						109	36.45						Excluded					190	63.55					299	
		TOTAL					1769	72.56											669	27.44					2438	
							Elected																			
																										
Mona Vale                                                      																										
	FIRST			288	6.96		2515	60.78		149	3.60		393	9.50		46	1.11		704	17.01		43	1.04		4138	
	SECOND			4	8.70		11	23.91		9	19.57		5	10.87			Excluded		10	21.74		7	15.22		46	
		TOTAL		292	7.06		2526	61.04		158	3.82		398	9.62					714	17.25		50	1.21		4138	
	THIRD			7	14.00		12	24.00		8	16.00		9	18.00					14	28.00			Excluded		50	
		TOTAL		299	7.23		2538	61.33		166	4.01		407	9.84					728	17.59					4138	
	FOURTH			25	15.06		63	37.95			Excluded		58	34.94					20	12.05					166	
		TOTAL		324	7.83		2601	62.86					465	11.24					748	18.08					4138	
	FIFTH				Excluded		96	29.63					172	53.09					56	17.28					324	
		TOTAL					2697	65.18					637	15.39					804	19.43					4138	
	SIXTH						236	37.05						Excluded					401	62.95					637	
		TOTAL					2933	70.88											1205	29.12					4138	
							Elected																			
																										
Mona Vale Beach                                                																										
	FIRST			138	9.45		846	57.95		33	2.26		174	11.92		27	1.85		227	15.55		15	1.03		1460	
	SECOND			4	14.81		7	25.93		7	25.93		4	14.81			Excluded		4	14.81		1	3.70		27	
		TOTAL		142	9.73		853	58.42		40	2.74		178	12.19					231	15.82		16	1.10		1460	
	THIRD			5	31.25		4	25.00		0	0.00		4	25.00					3	18.75			Excluded		16	
		TOTAL		147	10.07		857	58.70		40	2.74		182	12.47					234	16.03					1460	
	FOURTH			10	25.00		23	57.50			Excluded		5	12.50					2	5.00					40	
		TOTAL		157	10.75		880	60.27					187	12.81					236	16.16					1460	
	FIFTH				Excluded		28	17.83					98	62.42					31	19.75					157	
		TOTAL					908	62.19					285	19.52					267	18.29					1460	
	SIXTH						76	26.67						Excluded					209	73.33					285	
		TOTAL					984	67.40											476	32.60					1460	
							Elected																			
																										
Mona Vale Hospital                                             																										
	FIRST			36	5.18		323	46.47		28	4.03		104	14.96		11	1.58		186	26.76		7	1.01		695	
	SECOND			2	18.18		3	27.27		1	9.09		1	9.09			Excluded		2	18.18		2	18.18		11	
		TOTAL		38	5.47		326	46.91		29	4.17		105	15.11					188	27.05		9	1.29		695	
	THIRD			3	33.33		0	0.00		0	0.00		2	22.22					4	44.44			Excluded		9	
		TOTAL		41	5.90		326	46.91		29	4.17		107	15.40					192	27.63					695	
	FOURTH			5	17.24		14	48.28			Excluded		9	31.03					1	3.45					29	
		TOTAL		46	6.62		340	48.92					116	16.69					193	27.77					695	
	FIFTH				Excluded		14	30.43					18	39.13					14	30.43					46	
		TOTAL					354	50.94					134	19.28					207	29.78					695	
	SIXTH						44	32.84						Excluded					90	67.16					134	
		TOTAL					398	57.27											297	42.73					695	
							Elected																			
																										
Mona Vale North                                                																										
	FIRST			94	7.00		850	63.34		29	2.16		137	10.21		10	0.75		207	15.42		15	1.12		1342	
	SECOND			1	10.00		3	30.00		3	30.00		1	10.00			Excluded		1	10.00		1	10.00		10	
		TOTAL		95	7.08		853	63.56		32	2.38		138	10.28					208	15.50		16	1.19		1342	
	THIRD			5	31.25		0	0.00		3	18.75		5	31.25					3	18.75			Excluded		16	
		TOTAL		100	7.45		853	63.56		35	2.61		143	10.66					211	15.72					1342	
	FOURTH			7	20.00		17	48.57			Excluded		6	17.14					5	14.29					35	
		TOTAL		107	7.97		870	64.83					149	11.10					216	16.10					1342	
	FIFTH				Excluded		21	19.63					61	57.01					25	23.36					107	
		TOTAL					891	66.39					210	15.65					241	17.96					1342	
	SIXTH						54	25.71						Excluded					156	74.29					210	
		TOTAL					945	70.42											397	29.58					1342	
							Elected																			
																										
Narrabeen                                                      																										
	FIRST			202	8.85		1237	54.21		67	2.94		252	11.04		30	1.31		457	20.03		37	1.62		2282	
	SECOND			2	6.67		11	36.67		8	26.67		1	3.33			Excluded		4	13.33		4	13.33		30	
		TOTAL		204	8.94		1248	54.69		75	3.29		253	11.09					461	20.20		41	1.80		2282	
	THIRD			12	29.27		7	17.07		3	7.32		6	14.63					13	31.71			Excluded		41	
		TOTAL		216	9.47		1255	55.00		78	3.42		259	11.35					474	20.77					2282	
	FOURTH			17	21.79		22	28.21			Excluded		27	34.62					12	15.38					78	
		TOTAL		233	10.21		1277	55.96					286	12.53					486	21.30					2282	
	FIFTH				Excluded		50	21.46					124	53.22					59	25.32					233	
		TOTAL					1327	58.15					410	17.97					545	23.88					2282	
	SIXTH						128	31.22						Excluded					282	68.78					410	
		TOTAL					1455	63.76											827	36.24					2282	
							Elected																			
																										
Narrabeen North                                                																										
	FIRST			172	6.77		1324	52.15		87	3.43		306	12.05		61	2.40		551	21.70		38	1.50		2539	
	SECOND			8	13.11		9	14.75		19	31.15		6	9.84			Excluded		15	24.59		4	6.56		61	
		TOTAL		180	7.09		1333	52.50		106	4.17		312	12.29					566	22.29		42	1.65		2539	
	THIRD			8	19.05		8	19.05		5	11.90		12	28.57					9	21.43			Excluded		42	
		TOTAL		188	7.40		1341	52.82		111	4.37		324	12.76					575	22.65					2539	
	FOURTH			25	22.52		48	43.24			Excluded		19	17.12					19	17.12					111	
		TOTAL		213	8.39		1389	54.71					343	13.51					594	23.40					2539	
	FIFTH				Excluded		46	21.60					101	47.42					66	30.99					213	
		TOTAL					1435	56.52					444	17.49					660	25.99					2539	
	SIXTH						156	35.14						Excluded					288	64.86					444	
		TOTAL					1591	62.66											948	37.34					2539	
							Elected																			
																										
Narraweena                                                     																										
	FIRST			265	7.43		1911	53.56		128	3.59		252	7.06		69	1.93		888	24.89		55	1.54		3568	
	SECOND			4	5.80		9	13.04		18	26.09		9	13.04			Excluded		17	24.64		12	17.39		69	
		TOTAL		269	7.54		1920	53.81		146	4.09		261	7.32					905	25.36		67	1.88		3568	
	THIRD			13	19.40		6	8.96		12	17.91		12	17.91					24	35.82			Excluded		67	
		TOTAL		282	7.90		1926	53.98		158	4.43		273	7.65					929	26.04					3568	
	FOURTH			38	24.05		52	32.91			Excluded		35	22.15					33	20.89					158	
		TOTAL		320	8.97		1978	55.44					308	8.63					962	26.96					3568	
	FIFTH				Excluded		104	32.50					146	45.63					70	21.88					320	
		TOTAL					2082	58.35					454	12.72					1032	28.92					3568	
	SIXTH						143	31.50						Excluded					311	68.50					454	
		TOTAL					2225	62.36											1343	37.64					3568	
							Elected																			
																										
Newport                                                        																										
	FIRST			225	10.33		1314	60.30		49	2.25		197	9.04		29	1.33		339	15.56		26	1.19		2179	
	SECOND			6	20.69		7	24.14		9	31.03		2	6.90			Excluded		2	6.90		3	10.34		29	
		TOTAL		231	10.60		1321	60.62		58	2.66		199	9.13					341	15.65		29	1.33		2179	
	THIRD			4	13.79		7	24.14		6	20.69		3	10.34					9	31.03			Excluded		29	
		TOTAL		235	10.78		1328	60.95		64	2.94		202	9.27					350	16.06					2179	
	FOURTH			13	20.31		35	54.69			Excluded		9	14.06					7	10.94					64	
		TOTAL		248	11.38		1363	62.55					211	9.68					357	16.38					2179	
	FIFTH				Excluded		34	13.71					159	64.11					55	22.18					248	
		TOTAL					1397	64.11					370	16.98					412	18.91					2179	
	SIXTH						98	26.49						Excluded					272	73.51					370	
		TOTAL					1495	68.61											684	31.39					2179	
							Elected																			
																										
Newport Beach                                                  																										
	FIRST			220	11.31		1123	57.74		26	1.34		201	10.33		23	1.18		329	16.92		23	1.18		1945	
	SECOND			3	13.04		8	34.78		4	17.39		3	13.04			Excluded		3	13.04		2	8.70		23	
		TOTAL		223	11.47		1131	58.15		30	1.54		204	10.49					332	17.07		25	1.29		1945	
	THIRD			8	32.00		5	20.00		2	8.00		4	16.00					6	24.00			Excluded		25	
		TOTAL		231	11.88		1136	58.41		32	1.65		208	10.69					338	17.38					1945	
	FOURTH			8	25.00		16	50.00			Excluded		4	12.50					4	12.50					32	
		TOTAL		239	12.29		1152	59.23					212	10.90					342	17.58					1945	
	FIFTH				Excluded		32	13.39					156	65.27					51	21.34					239	
		TOTAL					1184	60.87					368	18.92					393	20.21					1945	
	SIXTH						107	29.08						Excluded					261	70.92					368	
		TOTAL					1291	66.38											654	33.62					1945	
							Elected																			
																										
Palm Beach                                                     																										
	FIRST			130	12.91		613	60.87		17	1.69		71	7.05		7	0.70		159	15.79		10	0.99		1007	
	SECOND			1	14.29		3	42.86		0	0.00		1	14.29			Excluded		1	14.29		1	14.29		7	
		TOTAL		131	13.01		616	61.17		17	1.69		72	7.15					160	15.89		11	1.09		1007	
	THIRD			2	18.18		3	27.27		2	18.18		2	18.18					2	18.18			Excluded		11	
		TOTAL		133	13.21		619	61.47		19	1.89		74	7.35					162	16.09					1007	
	FOURTH			3	15.79		8	42.11			Excluded		3	15.79					5	26.32					19	
		TOTAL		136	13.51		627	62.26					77	7.65					167	16.58					1007	
	FIFTH				Excluded		22	16.18					78	57.35					36	26.47					136	
		TOTAL					649	64.45					155	15.39					203	20.16					1007	
	SIXTH						40	25.81						Excluded					115	74.19					155	
		TOTAL					689	68.42											318	31.58					1007	
							Elected																			
																										
RSL Retirement Village                                         																										
	FIRST			18	2.62		458	66.57		34	4.94		25	3.63		3	0.44		143	20.78		7	1.02		688	
	SECOND			0	0.00		2	66.67		1	33.33		0	0.00			Excluded		0	0.00		0	0.00		3	
		TOTAL		18	2.62		460	66.86		35	5.09		25	3.63					143	20.78		7	1.02		688	
	THIRD			2	28.57		1	14.29		1	14.29		1	14.29					2	28.57			Excluded		7	
		TOTAL		20	2.91		461	67.01		36	5.23		26	3.78					145	21.08					688	
	FOURTH			7	19.44		13	36.11			Excluded		6	16.67					10	27.78					36	
