House of Representatives - 2001 Election: New South Wales																																								
Distribution of Preferences 																																								
By Polling Place																																								
																																								
Farrer																																								
				SOBEY			WEYRICH			BOTT			WILKINSON			WATSON			KREUTZBERGER			MILLEN			LEY			CORBETT			PATERSON			TAYLOR			GIBSON			
	FOURTH			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					0
		TOTAL		3	3.37					15	16.85		3	3.37		1	1.12		0	0.00		24	26.97		39	43.82					2	2.25		2	2.25					89
	FIFTH			0	0.00					0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00					0
		TOTAL		3	3.37					15	16.85		3	3.37		1	1.12					24	26.97		39	43.82					2	2.25		2	2.25					89
	SIXTH			0	0.00					0	0.00		0	0.00			Excluded					0	0.00		0	0.00					1	100.00		0	0.00					1
		TOTAL		3	3.37					15	16.85		3	3.37								24	26.97		39	43.82					3	3.37		2	2.25					89
	SEVENTH			0	0.00					0	0.00		1	33.33								0	0.00		0	0.00						Excluded		2	66.67					3
		TOTAL		3	3.37					15	16.85		4	4.49								24	26.97		39	43.82								4	4.49					89
	EIGHTH			1	25.00					0	0.00		0	0.00								0	0.00		3	75.00									Excluded					4
		TOTAL		4	4.49					15	16.85		4	4.49								24	26.97		42	47.19														89
	NINTH				Excluded					2	50.00		0	0.00								2	50.00		0	0.00														4
		TOTAL								17	19.10		4	4.49								26	29.21		42	47.19														89
	TENTH									0	0.00			Excluded								4	100.00		0	0.00														4
		TOTAL								17	19.10											30	33.71		42	47.19														89
	ELEVENTH									21	70.00												Excluded		9	30.00														30
		TOTAL								38	42.70														51	57.30														89
																									Elected															
																																								
Albury North                                                   																																								
	FIRST			85	5.06		11	0.66		285	16.97		101	6.02		21	1.25		26	1.55		355	21.14		660	39.31		14	0.83		81	4.82		24	1.43		16	0.95		1679
	SECOND			1	7.14		0	0.00		1	7.14		0	0.00		1	7.14		1	7.14		2	14.29		2	14.29			Excluded		0	0.00		5	35.71		1	7.14		14
		TOTAL		86	5.12		11	0.66		286	17.03		101	6.02		22	1.31		27	1.61		357	21.26		662	39.43					81	4.82		29	1.73		17	1.01		1679
	THIRD			0	0.00		1	5.88		1	5.88		0	0.00		0	0.00		4	23.53		0	0.00		0	0.00					2	11.76		9	52.94			Excluded		17
		TOTAL		86	5.12		12	0.71		287	17.09		101	6.02		22	1.31		31	1.85		357	21.26		662	39.43					83	4.94		38	2.26					1679
	FOURTH			1	8.33			Excluded		4	33.33		0	0.00		5	41.67		1	8.33		0	0.00		0	0.00					1	8.33		0	0.00					12
		TOTAL		87	5.18					291	17.33		101	6.02		27	1.61		32	1.91		357	21.26		662	39.43					84	5.00		38	2.26					1679
	FIFTH			1	3.13					4	12.50		6	18.75		5	15.63			Excluded		5	15.63		2	6.25					3	9.38		6	18.75					32
		TOTAL		88	5.24					295	17.57		107	6.37		32	1.91					362	21.56		664	39.55					87	5.18		44	2.62					1679
	SIXTH			7	21.88					5	15.63		5	15.63			Excluded					3	9.38		2	6.25					6	18.75		4	12.50					32
		TOTAL		95	5.66					300	17.87		112	6.67								365	21.74		666	39.67					93	5.54		48	2.86					1679
	SEVENTH			39	41.94					9	9.68		4	4.30								14	15.05		10	10.75						Excluded		17	18.28					93
		TOTAL		134	7.98					309	18.40		116	6.91								379	22.57		676	40.26								65	3.87					1679
	EIGHTH			22	33.85					9	13.85		10	15.38								11	16.92		13	20.00									Excluded					65
		TOTAL		156	9.29					318	18.94		126	7.50								390	23.23		689	41.04														1679
	NINTH				Excluded					57	36.54		13	8.33								55	35.26		31	19.87														156
		TOTAL								375	22.33		139	8.28								445	26.50		720	42.88														1679
	TENTH									49	35.25			Excluded								29	20.86		61	43.88														139
		TOTAL								424	25.25											474	28.23		781	46.52														1679
	ELEVENTH									353	74.47												Excluded		121	25.53														474
		TOTAL								777	46.28														902	53.72														1679
																									Elected															
																																								
Albury North Central                                           																																								
	FIRST			38	2.85		12	0.90		199	14.94		96	7.21		17	1.28		18	1.35		363	27.25		510	38.29		10	0.75		42	3.15		18	1.35		9	0.68		1332
	SECOND			0	0.00		3	30.00		0	0.00		0	0.00		2	20.00		2	20.00		1	10.00		1	10.00			Excluded		1	10.00		0	0.00		0	0.00		10
		TOTAL		38	2.85		15	1.13		199	14.94		96	7.21		19	1.43		20	1.50		364	27.33		511	38.36					43	3.23		18	1.35		9	0.68		1332
	THIRD			0	0.00		2	22.22		0	0.00		0	0.00		1	11.11		0	0.00		1	11.11		0	0.00					0	0.00		5	55.56			Excluded		9
		TOTAL		38	2.85		17	1.28		199	14.94		96	7.21		20	1.50		20	1.50		365	27.40		511	38.36					43	3.23		23	1.73					1332
	FOURTH			2	11.76			Excluded		5	29.41		3	17.65		5	29.41		0	0.00		1	5.88		0	0.00					0	0.00		1	5.88					17
		TOTAL		40	3.00					204	15.32		99	7.43		25	1.88		20	1.50		366	27.48		511	38.36					43	3.23		24	1.80					1332
	FIFTH			2	10.00					6	30.00		3	15.00		1	5.00			Excluded		2	10.00		0	0.00					1	5.00		5	25.00					20
		TOTAL		42	3.15					210	15.77		102	7.66		26	1.95					368	27.63		511	38.36					44	3.30		29	2.18					1332
	SIXTH			2	7.69					3	11.54		5	19.23			Excluded					4	15.38		2	7.69					0	0.00		10	38.46					26
		TOTAL		44	3.30					213	15.99		107	8.03								372	27.93		513	38.51					44	3.30		39	2.93					1332
	SEVENTH			22	50.00					6	13.64		2	4.55								5	11.36		3	6.82						Excluded		6	13.64					44
		TOTAL		66	4.95					219	16.44		109	8.18								377	28.30		516	38.74								45	3.38					1332
	EIGHTH			13	28.89					4	8.89		6	13.33								7	15.56		15	33.33									Excluded					45
		TOTAL		79	5.93					223	16.74		115	8.63								384	28.83		531	39.86														1332
	NINTH				Excluded					31	39.24		5	6.33								23	29.11		20	25.32														79
		TOTAL								254	19.07		120	9.01								407	30.56		551	41.37														1332
	TENTH									48	40.00			Excluded								26	21.67		46	38.33														120
		TOTAL								302	22.67											433	32.51		597	44.82														1332
	ELEVENTH									346	79.91												Excluded		87	20.09														433
		TOTAL								648	48.65														684	51.35														1332
																									Elected															
																																								
Albury South                                                   																																								
	FIRST			61	4.40		6	0.43		211	15.21		67	4.83		16	1.15		19	1.37		323	23.29		596	42.97		7	0.50		55	3.97		12	0.87		14	1.01		1387
	SECOND			0	0.00		3	42.86		0	0.00		1	14.29		1	14.29		0	0.00		0	0.00		2	28.57			Excluded		0	0.00		0	0.00		0	0.00		7
		TOTAL		61	4.40		9	0.65		211	15.21		68	4.90		17	1.23		19	1.37		323	23.29		598	43.11					55	3.97		12	0.87		14	1.01		1387
	THIRD			1	7.14		4	28.57		0	0.00		0	0.00		4	28.57		0	0.00		0	0.00		0	0.00					0	0.00		5	35.71			Excluded		14
		TOTAL		62	4.47		13	0.94		211	15.21		68	4.90		21	1.51		19	1.37		323	23.29		598	43.11					55	3.97		17	1.23					1387
	FOURTH			2	15.38			Excluded		1	7.69		2	15.38		3	23.08		0	0.00		1	7.69		1	7.69					0	0.00		3	23.08					13
		TOTAL		64	4.61					212	15.28		70	5.05		24	1.73		19	1.37		324	23.36		599	43.19					55	3.97		20	1.44					1387
	FIFTH			3	15.79					2	10.53		6	31.58		1	5.26			Excluded		2	10.53		1	5.26					0	0.00		4	21.05					19
		TOTAL		67	4.83					214	15.43		76	5.48		25	1.80					326	23.50		600	43.26					55	3.97		24	1.73					1387
	SIXTH			2	8.00					6	24.00		7	28.00			Excluded					5	20.00		0	0.00					1	4.00		4	16.00					25
		TOTAL		69	4.97					220	15.86		83	5.98								331	23.86		600	43.26					56	4.04		28	2.02					1387
	SEVENTH			32	57.14					3	5.36		0	0.00								9	16.07		9	16.07						Excluded		3	5.36					56
		TOTAL		101	7.28					223	16.08		83	5.98								340	24.51		609	43.91								31	2.24					1387
	EIGHTH			5	16.13					5	16.13		11	35.48								4	12.90		6	19.35									Excluded					31
		TOTAL		106	7.64					228	16.44		94	6.78								344	24.80		615	44.34														1387
	NINTH				Excluded					26	24.53		10	9.43								43	40.57		27	25.47														106
		TOTAL								254	18.31		104	7.50								387	27.90		642	46.29														1387
	TENTH									37	35.58			Excluded								30	28.85		37	35.58														104
		TOTAL								291	20.98											417	30.06		679	48.95														1387
	ELEVENTH									332	79.62												Excluded		85	20.38														417
		TOTAL								623	44.92														764	55.08														1387
																									Elected															
																																								
Albury West                                                    																																								
	FIRST			96	5.53		11	0.63		312	17.97		57	3.28		14	0.81		9	0.52		356	20.51		769	44.30		7	0.40		81	4.67		18	1.04		6	0.35		1736
	SECOND			1	14.29		0	0.00		0	0.00		0	0.00		0	0.00		2	28.57		1	14.29		1	14.29			Excluded		1	14.29		1	14.29		0	0.00		7
		TOTAL		97	5.59		11	0.63		312	17.97		57	3.28		14	0.81		11	0.63		357	20.56		770	44.35					82	4.72		19	1.09		6	0.35		1736
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	16.67		2	33.33		0	0.00					0	0.00		3	50.00			Excluded		6
		TOTAL		97	5.59		11	0.63		312	17.97		57	3.28		14	0.81		12	0.69		359	20.68		770	44.35					82	4.72		22	1.27					1736
	FOURTH			5	45.45			Excluded		1	9.09		0	0.00		0	0.00		0	0.00		3	27.27		0	0.00					2	18.18		0	0.00					11
		TOTAL		102	5.88					313	18.03		57	3.28		14	0.81		12	0.69		362	20.85		770	44.35					84	4.84		22	1.27					1736
	FIFTH			2	16.67					1	8.33		2	16.67		3	25.00			Excluded		2	16.67		0	0.00					0	0.00		2	16.67					12
		TOTAL		104	5.99					314	18.09		59	3.40		17	0.98					364	20.97		770	44.35					84	4.84		24	1.38					1736
	SIXTH			3	17.65					2	11.76		1	5.88			Excluded					1	5.88		5	29.41					0	0.00		5	29.41					17
		TOTAL		107	6.16					316	18.20		60	3.46								365	21.03		775	44.64					84	4.84		29	1.67					1736
	SEVENTH			41	48.81					8	9.52		3	3.57								15	17.86		9	10.71						Excluded		8	9.52					84
		TOTAL		148	8.53					324	18.66		63	3.63								380	21.89		784	45.16								37	2.13					1736
	EIGHTH			9	24.32					5	13.51		3	8.11								9	24.32		11	29.73									Excluded					37
		TOTAL		157	9.04					329	18.95		66	3.80								389	22.41		795	45.79														1736
	NINTH				Excluded					41	26.11		6	3.82								71	45.22		39	24.84														157
		TOTAL								370	21.31		72	4.15								460	26.50		834	48.04														1736
	TENTH									21	29.17			Excluded								24	33.33		27	37.50														72
		TOTAL								391	22.52											484	27.88		861	49.60														1736
	ELEVENTH									336	69.42												Excluded		148	30.58														484
		TOTAL								727	41.88														1009	58.12														1736
																									Elected															
																																								
Balldale                                                       																																								
	FIRST			4	3.42		1	0.85		44	37.61		6	5.13		0	0.00		1	0.85		13	11.11		45	38.46		2	1.71		0	0.00		1	0.85		0	0.00		117
	SECOND			0	0.00		1	50.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	50.00		0	0.00		2
		TOTAL		4	3.42		2	1.71		44	37.61		6	5.13		0	0.00		1	0.85		13	11.11		45	38.46					0	0.00		2	1.71		0	0.00		117
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00			Excluded		0
		TOTAL		4	3.42		2	1.71		44	37.61		6	5.13		0	0.00		1	0.85		13	11.11		45	38.46					0	0.00		2	1.71					117
	FOURTH			0	0.00			Excluded		0	0.00		0	0.00		1	50.00		0	0.00		0	0.00		0	0.00					0	0.00		1	50.00					2
		TOTAL		4	3.42					44	37.61		6	5.13		1	0.85		1	0.85		13	11.11		45	38.46					0	0.00		3	2.56					117
	FIFTH			0	0.00					0	0.00		1	100.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00					1
		TOTAL		4	3.42					44	37.61		7	5.98		1	0.85					13	11.11		45	38.46					0	0.00		3	2.56					117
	SIXTH			0	0.00					0	0.00		0	0.00			Excluded					0	0.00		0	0.00					1	100.00		0	0.00					1
		TOTAL		4	3.42					44	37.61		7	5.98								13	11.11		45	38.46					1	0.85		3	2.56					117
	SEVENTH			0	0.00					0	0.00		0	0.00								0	0.00		0	0.00						Excluded		1	100.00					1
		TOTAL		4	3.42					44	37.61		7	5.98								13	11.11		45	38.46								4	3.42					117
	EIGHTH			2	50.00					1	25.00		1	25.00								0	0.00		0	0.00									Excluded					4
		TOTAL		6	5.13					45	38.46		8	6.84								13	11.11		45	38.46														117
	NINTH				Excluded					4	66.67		0	0.00								2	33.33		0	0.00														6
		TOTAL								49	41.88		8	6.84								15	12.82		45	38.46														117
	TENTH									6	75.00			Excluded								1	12.50		1	12.50														8
		TOTAL								55	47.01											16	13.68		46	39.32														117
	ELEVENTH									12	75.00												Excluded		4	25.00														16
		TOTAL								67	57.26														50	42.74														117
																									Elected															
																																								
Balranald                                                      																																								
	FIRST			17	2.25		4	0.53		102	13.49		80	10.58		3	0.40		1	0.13		233	30.82		296	39.15		1	0.13		10	1.32		6	0.79		3	0.40		756
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		1	100.00		1
		TOTAL		17	2.25		4	0.53		102	13.49		80	10.58		3	0.40		1	0.13		233	30.82		296	39.15					10	1.32		6	0.79		4	0.53		756
	THIRD			0	0.00		0	0.00		1	25.00		0	0.00		2	50.00		0	0.00		0	0.00		0	0.00					0	0.00		1	25.00			Excluded		4
		TOTAL		17	2.25		4	0.53		103	13.62		80	10.58		5	0.66		1	0.13		233	30.82		296	39.15					10	1.32		7	0.93					756
	FOURTH			1	25.00			Excluded		1	25.00		1	25.00		0	0.00		0	0.00		1	25.00		0	0.00					0	0.00		0	0.00					4
		TOTAL		18	2.38					104	13.76		81	10.71		5	0.66		1	0.13		234	30.95		296	39.15					10	1.32		7	0.93					756
	FIFTH			0	0.00					0	0.00		0	0.00		1	100.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00					1
		TOTAL		18	2.38					104	13.76		81	10.71		6	0.79					234	30.95		296	39.15					10	1.32		7	0.93					756
	SIXTH			1	16.67					0	0.00		2	33.33			Excluded					0	0.00		1	16.67					0	0.00		2	33.33					6
		TOTAL		19	2.51					104	13.76		83	10.98								234	30.95		297	39.29					10	1.32		9	1.19					756
	SEVENTH			2	20.00					1	10.00		0	0.00								1	10.00		1	10.00						Excluded		5	50.00					10
		TOTAL		21	2.78					105	13.89		83	10.98								235	31.08		298	39.42								14	1.85					756
	EIGHTH			7	50.00					1	7.14		0	0.00								3	21.43		3	21.43									Excluded					14
		TOTAL		28	3.70					106	14.02		83	10.98								238	31.48		301	39.81														756
	NINTH				Excluded					14	50.00		6	21.43								6	21.43		2	7.14														28
		TOTAL								120	15.87		89	11.77								244	32.28		303	40.08														756
	TENTH									24	26.97			Excluded								20	22.47		45	50.56														89
		TOTAL								144	19.05											264	34.92		348	46.03														756
	ELEVENTH									220	83.33												Excluded		44	16.67														264
		TOTAL								364	48.15														392	51.85														756
																									Elected															
																																								
Barham                                                         																																								
	FIRST			24	2.38		3	0.30		267	26.44		68	6.73		11	1.09		0	0.00		164	16.24		423	41.88		5	0.50		17	1.68		10	0.99		18	1.78		1010
	SECOND			0	0.00		3	60.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	20.00			Excluded		0	0.00		1	20.00		0	0.00		5
		TOTAL		24	2.38		6	0.59		267	26.44		68	6.73		11	1.09		0	0.00		164	16.24		424	41.98					17	1.68		11	1.09		18	1.78		1010
	THIRD			0	0.00		5	27.78		2	11.11		1	5.56		1	5.56		0	0.00		0	0.00		2	11.11					0	0.00		7	38.89			Excluded		18
		TOTAL		24	2.38		11	1.09		269	26.63		69	6.83		12	1.19		0	0.00		164	16.24		426	42.18					17	1.68		18	1.78					1010
	FOURTH			2	18.18			Excluded		1	9.09		0	0.00		6	54.55		0	0.00		0	0.00		0	0.00					1	9.09		1	9.09					11
		TOTAL		26	2.57					270	26.73		69	6.83		18	1.78		0	0.00		164	16.24		426	42.18					18	1.78		19	1.88					1010
	FIFTH			0	0.00					0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00					0
		TOTAL		26	2.57					270	26.73		69	6.83		18	1.78					164	16.24		426	42.18					18	1.78		19	1.88					1010
	SIXTH			2	11.11					3	16.67		7	38.89			Excluded					0	0.00		0	0.00					1	5.56		5	27.78					18
		TOTAL		28	2.77					273	27.03		76	7.52								164	16.24		426	42.18					19	1.88		24	2.38					1010
	SEVENTH			6	31.58					2	10.53		1	5.26								6	31.58		2	10.53						Excluded		2	10.53					19
		TOTAL		34	3.37					275	27.23		77	7.62								170	16.83		428	42.38								26	2.57					1010
	EIGHTH			8	30.77					4	15.38		4	15.38								2	7.69		8	30.77									Excluded					26
		TOTAL		42	4.16					279	27.62		81	8.02								172	17.03		436	43.17														1010
	NINTH				Excluded					21	50.00		4	9.52								15	35.71		2	4.76														42
		TOTAL								300	29.70		85	8.42								187	18.51		438	43.37														1010
	TENTH									15	17.65			Excluded								16	18.82		54	63.53														85
		TOTAL								315	31.19											203	20.10		492	48.71														1010
	ELEVENTH									156	76.85												Excluded		47	23.15														203
		TOTAL								471	46.63														539	53.37														1010
																									Elected															
																																								
Barooga                                                        																																								
	FIRST			26	2.95		3	0.34		195	22.13		30	3.41		2	0.23		4	0.45		206	23.38		378	42.91		1	0.11		12	1.36		20	2.27		4	0.45		881
