House of Representatives - 2001 Election: New South Wales											
Two Candidate Preferred Preference Flow Result											
By Polling Place by Division											
											
Page (82272)											
		Candidate		"FLANAGAN, Terry"		            	"CAUSLEY, Ian"		               	Total	
		"FELSCH, Arthur James (CTA)"	9	1	11.11		8	88.89		9	
		"CORKILL, John (GRN)"	35	26	74.29		9	25.71		35	
		"GRIFFITHS, Angela (CEC)"	1	0	0.00		1	100.00		1	
		"MATHEW, Marie (HAN)"	13	7	53.85		6	46.15		13	
		Total	124	216	55.24		175	44.76		391	

	Caniaba										
			1st Prefs	55	27.50		145	72.50		200	
		"POLLARD-O'HARA, Kathryn (IND)"	7	2	28.57		5	71.43		7	
		"COOPER, Tom (IND)"	30	7	23.33		23	76.67		30	
		"LAMPIS, Edda ()"	1	1	100.00		0	0.00		1	
		"BEHN, Doug (IND)"	4	3	75.00		1	25.00		4	
		"JEFFREYS, Allan (DEM)"	5	2	40.00		3	60.00		5	
		"CANALES, Judy (HMP)"	7	4	57.14		3	42.86		7	
		"FELSCH, Arthur James (CTA)"	4	2	50.00		2	50.00		4	
		"CORKILL, John (GRN)"	8	8	100.00		0	0.00		8	
		"GRIFFITHS, Angela (CEC)"	0	0	0.00		0	0.00		0	
		"MATHEW, Marie (HAN)"	11	4	36.36		7	63.64		11	
		Total	77	88	31.77		189	68.23		277	

	Casino										
			1st Prefs	846	38.75		1337	61.25		2183	
		"POLLARD-O'HARA, Kathryn (IND)"	36	28	77.78		8	22.22		36	
		"COOPER, Tom (IND)"	477	267	55.97		210	44.03		477	
		"LAMPIS, Edda ()"	10	9	90.00		1	10.00		10	
		"BEHN, Doug (IND)"	20	13	65.00		7	35.00		20	
		"JEFFREYS, Allan (DEM)"	35	23	65.71		12	34.29		35	
		"CANALES, Judy (HMP)"	34	22	64.71		12	35.29		34	
		"FELSCH, Arthur James (CTA)"	49	13	26.53		36	73.47		49	
		"CORKILL, John (GRN)"	58	40	68.97		18	31.03		58	
		"GRIFFITHS, Angela (CEC)"	1	0	0.00		1	100.00		1	
		"MATHEW, Marie (HAN)"	158	73	46.20		85	53.80		158	
		Total	878	1334	43.58		1727	56.42		3061	

	Casino High										
			1st Prefs	282	47.64		310	52.36		592	
		"POLLARD-O'HARA, Kathryn (IND)"	14	13	92.86		1	7.14		14	
		"COOPER, Tom (IND)"	100	57	57.00		43	43.00		100	
		"LAMPIS, Edda ()"	0	0	0.00		0	0.00		0	
		"BEHN, Doug (IND)"	2	2	100.00		0	0.00		2	
		"JEFFREYS, Allan (DEM)"	8	6	75.00		2	25.00		8	
		"CANALES, Judy (HMP)"	12	10	83.33		2	16.67		12	
		"FELSCH, Arthur James (CTA)"	14	2	14.29		12	85.71		14	
		"CORKILL, John (GRN)"	15	11	73.33		4	26.67		15	
		"GRIFFITHS, Angela (CEC)"	0	0	0.00		0	0.00		0	
		"MATHEW, Marie (HAN)"	42	18	42.86		24	57.14		42	
		Total	207	401	50.19		398	49.81		799	

	Casino Hospital										
			1st Prefs	170	42.93		226	57.07		396	
		"POLLARD-O'HARA, Kathryn (IND)"	6	5	83.33		1	16.67		6	
		"COOPER, Tom (IND)"	68	33	48.53		35	51.47		68	
		"LAMPIS, Edda ()"	1	0	0.00		1	100.00		1	
		"BEHN, Doug (IND)"	2	1	50.00		1	50.00		2	
		"JEFFREYS, Allan (DEM)"	12	10	83.33		2	16.67		12	
		"CANALES, Judy (HMP)"	5	3	60.00		2	40.00		5	
		"FELSCH, Arthur James (CTA)"	10	1	10.00		9	90.00		10	
		"CORKILL, John (GRN)"	10	9	90.00		1	10.00		10	
		"GRIFFITHS, Angela (CEC)"	1	0	0.00		1	100.00		1	
		"MATHEW, Marie (HAN)"	26	10	38.46		16	61.54		26	
		Total	141	242	45.07		295	54.93		537	

	Casino South										
			1st Prefs	287	38.16		465	61.84		752	
		"POLLARD-O'HARA, Kathryn (IND)"	7	5	71.43		2	28.57		7	
		"COOPER, Tom (IND)"	128	72	56.25		56	43.75		128	
		"LAMPIS, Edda ()"	3	2	66.67		1	33.33		3	
		"BEHN, Doug (IND)"	7	6	85.71		1	14.29		7	
		"JEFFREYS, Allan (DEM)"	11	9	81.82		2	18.18		11	
		"CANALES, Judy (HMP)"	10	7	70.00		3	30.00		10	
		"FELSCH, Arthur James (CTA)"	20	5	25.00		15	75.00		20	
		"CORKILL, John (GRN)"	32	25	78.13		7	21.88		32	
		"GRIFFITHS, Angela (CEC)"	2	1	50.00		1	50.00		2	
		"MATHEW, Marie (HAN)"	55	24	43.64		31	56.36		55	
		Total	275	443	43.14		584	56.86		1027	

	Casino West										
			1st Prefs	274	47.24		306	52.76		580	
		"POLLARD-O'HARA, Kathryn (IND)"	12	10	83.33		2	16.67		12	
		"COOPER, Tom (IND)"	106	65	61.32		41	38.68		106	
		"LAMPIS, Edda ()"	4	1	25.00		3	75.00		4	
		"BEHN, Doug (IND)"	5	3	60.00		2	40.00		5	
		"JEFFREYS, Allan (DEM)"	11	8	72.73		3	27.27		11	
		"CANALES, Judy (HMP)"	6	5	83.33		1	16.67		6	
		"FELSCH, Arthur James (CTA)"	17	9	52.94		8	47.06		17	
		"CORKILL, John (GRN)"	7	7	100.00		0	0.00		7	
		"GRIFFITHS, Angela (CEC)"	0	0	0.00		0	0.00		0	
		"MATHEW, Marie (HAN)"	45	23	51.11		22	48.89		45	
		Total	213	405	51.07		388	48.93		793	

	Cawongla										
			1st Prefs	85	59.03		59	40.97		144	
		"POLLARD-O'HARA, Kathryn (IND)"	1	1	100.00		0	0.00		1	
		"COOPER, Tom (IND)"	29	16	55.17		13	44.83		29	
		"LAMPIS, Edda ()"	2	2	100.00		0	0.00		2	
		"BEHN, Doug (IND)"	1	1	100.00		0	0.00		1	
		"JEFFREYS, Allan (DEM)"	21	15	71.43		6	28.57		21	
		"CANALES, Judy (HMP)"	21	21	100.00		0	0.00		21	
		"FELSCH, Arthur James (CTA)"	1	0	0.00		1	100.00		1	
		"CORKILL, John (GRN)"	130	124	95.38		6	4.62		130	
		"GRIFFITHS, Angela (CEC)"	1	1	100.00		0	0.00		1	
		"MATHEW, Marie (HAN)"	8	5	62.50		3	37.50		8	
		Total	215	271	75.49		88	24.51		359	

	Chatsworth Island										
			1st Prefs	92	34.98		171	65.02		263	
		"POLLARD-O'HARA, Kathryn (IND)"	3	1	33.33		2	66.67		3	
		"COOPER, Tom (IND)"	11	4	36.36		7	63.64		11	
		"LAMPIS, Edda ()"	0	0	0.00		0	0.00		0	
		"BEHN, Doug (IND)"	1	1	100.00		0	0.00		1	
		"JEFFREYS, Allan (DEM)"	8	8	100.00		0	0.00		8	
		"CANALES, Judy (HMP)"	8	6	75.00		2	25.00		8	
		"FELSCH, Arthur James (CTA)"	6	0	0.00		6	100.00		6	
		"CORKILL, John (GRN)"	16	12	75.00		4	25.00		16	
		"GRIFFITHS, Angela (CEC)"	0	0	0.00		0	0.00		0	
		"MATHEW, Marie (HAN)"	42	18	42.86		24	57.14		42	
		Total	95	142	39.66		216	60.34		358	

	Clovass										
			1st Prefs	39	19.21		164	80.79		203	
		"POLLARD-O'HARA, Kathryn (IND)"	6	2	33.33		4	66.67		6	
		"COOPER, Tom (IND)"	31	19	61.29		12	38.71		31	
		"LAMPIS, Edda ()"	0	0	0.00		0	0.00		0	
		"BEHN, Doug (IND)"	0	0	0.00		0	0.00		0	
		"JEFFREYS, Allan (DEM)"	3	2	66.67		1	33.33		3	
		"CANALES, Judy (HMP)"	1	1	100.00		0	0.00		1	
		"FELSCH, Arthur James (CTA)"	7	0	0.00		7	100.00		7	
		"CORKILL, John (GRN)"	6	3	50.00		3	50.00		6	
		"GRIFFITHS, Angela (CEC)"	0	0	0.00		0	0.00		0	
		"MATHEW, Marie (HAN)"	6	2	33.33		4	66.67		6	
		Total	60	68	25.86		195	74.14		263	

	Clunes										
			1st Prefs	93	37.96		152	62.04		245	
		"POLLARD-O'HARA, Kathryn (IND)"	4	1	25.00		3	75.00		4	
		"COOPER, Tom (IND)"	29	18	62.07		11	37.93		29	
		"LAMPIS, Edda ()"	0	0	0.00		0	0.00		0	
		"BEHN, Doug (IND)"	0	0	0.00		0	0.00		0	
		"JEFFREYS, Allan (DEM)"	27	22	81.48		5	18.52		27	
		"CANALES, Judy (HMP)"	9	8	88.89		1	11.11		9	
		"FELSCH, Arthur James (CTA)"	6	0	0.00		6	100.00		6	
		"CORKILL, John (GRN)"	57	48	84.21		9	15.79		57	
		"GRIFFITHS, Angela (CEC)"	0	0	0.00		0	0.00		0	
		"MATHEW, Marie (HAN)"	6	1	16.67		5	83.33		6	
		Total	138	191	49.87		192	50.13		383	

	Copmanhurst										
			1st Prefs	100	36.10		177	63.90		277	
		"POLLARD-O'HARA, Kathryn (IND)"	3	2	66.67		1	33.33		3	
		"COOPER, Tom (IND)"	13	6	46.15		7	53.85		13	
		"LAMPIS, Edda ()"	0	0	0.00		0	0.00		0	
		"BEHN, Doug (IND)"	0	0	0.00		0	0.00		0	
		"JEFFREYS, Allan (DEM)"	5	4	80.00		1	20.00		5	
		"CANALES, Judy (HMP)"	4	2	50.00		2	50.00		4	
		"FELSCH, Arthur James (CTA)"	2	0	0.00		2	100.00		2	
		"CORKILL, John (GRN)"	20	18	90.00		2	10.00		20	
		"GRIFFITHS, Angela (CEC)"	0	0	0.00		0	0.00		0	
		"MATHEW, Marie (HAN)"	20	12	60.00		8	40.00		20	
		Total	67	144	41.86		200	58.14		344	

	Coraki										
			1st Prefs	213	34.41		406	65.59		619	
		"POLLARD-O'HARA, Kathryn (IND)"	21	12	57.14		9	42.86		21	
		"COOPER, Tom (IND)"	97	55	56.70		42	43.30		97	
		"LAMPIS, Edda ()"	2	1	50.00		1	50.00		2	
		"BEHN, Doug (IND)"	17	10	58.82		7	41.18		17	
		"JEFFREYS, Allan (DEM)"	9	5	55.56		4	44.44		9	
		"CANALES, Judy (HMP)"	23	19	82.61		4	17.39		23	
		"FELSCH, Arthur James (CTA)"	15	1	6.67		14	93.33		15	
		"CORKILL, John (GRN)"	51	41	80.39		10	19.61		51	
		"GRIFFITHS, Angela (CEC)"	0	0	0.00		0	0.00		0	
		"MATHEW, Marie (HAN)"	57	25	43.86		32	56.14		57	
		Total	292	382	41.93		529	58.07		911	

	Corndale										
			1st Prefs	32	37.65		53	62.35		85	
		"POLLARD-O'HARA, Kathryn (IND)"	1	1	100.00		0	0.00		1	
		"COOPER, Tom (IND)"	21	15	71.43		6	28.57		21	
		"LAMPIS, Edda ()"	0	0	0.00		0	0.00		0	
		"BEHN, Doug (IND)"	0	0	0.00		0	0.00		0	
		"JEFFREYS, Allan (DEM)"	3	3	100.00		0	0.00		3	
		"CANALES, Judy (HMP)"	3	1	33.33		2	66.67		3	
		"FELSCH, Arthur James (CTA)"	0	0	0.00		0	0.00		0	
		"CORKILL, John (GRN)"	24	18	75.00		6	25.00		24	
		"GRIFFITHS, Angela (CEC)"	0	0	0.00		0	0.00		0	
		"MATHEW, Marie (HAN)"	3	1	33.33		2	66.67		3	
		Total	55	71	50.71		69	49.29		140	

	Coutts Crossing										
			1st Prefs	166	39.34		256	60.66		422	
		"POLLARD-O'HARA, Kathryn (IND)"	5	3	60.00		2	40.00		5	
		"COOPER, Tom (IND)"	19	12	63.16		7	36.84		19	
		"LAMPIS, Edda ()"	2	1	50.00		1	50.00		2	
		"BEHN, Doug (IND)"	4	2	50.00		2	50.00		4	
		"JEFFREYS, Allan (DEM)"	15	13	86.67		2	13.33		15	
		"CANALES, Judy (HMP)"	9	7	77.78		2	22.22		9	
		"FELSCH, Arthur James (CTA)"	16	1	6.25		15	93.75		16	
		"CORKILL, John (GRN)"	27	22	81.48		5	18.52		27	
		"GRIFFITHS, Angela (CEC)"	2	0	0.00		2	100.00		2	
		"MATHEW, Marie (HAN)"	51	22	43.14		29	56.86		51	
		Total	150	249	43.53		323	56.47		572	

	Cowper (Page)										
			1st Prefs	70	38.67		111	61.33		181	
		"POLLARD-O'HARA, Kathryn (IND)"	1	1	100.00		0	0.00		1	
		"COOPER, Tom (IND)"	5	3	60.00		2	40.00		5	
		"LAMPIS, Edda ()"	0	0	0.00		0	0.00		0	
		"BEHN, Doug (IND)"	0	0	0.00		0	0.00		0	
		"JEFFREYS, Allan (DEM)"	3	3	100.00		0	0.00		3	
		"CANALES, Judy (HMP)"	3	3	100.00		0	0.00		3	
		"FELSCH, Arthur James (CTA)"	4	0	0.00		4	100.00		4	
		"CORKILL, John (GRN)"	7	5	71.43		2	28.57		7	
		"GRIFFITHS, Angela (CEC)"	0	0	0.00		0	0.00		0	
		"MATHEW, Marie (HAN)"	20	7	35.00		13	65.00		20	
		Total	43	92	41.07		132	58.93		224	

	Dundurrabin										
			1st Prefs	57	57.00		43	43.00		100	
		"POLLARD-O'HARA, Kathryn (IND)"	0	0	0.00		0	0.00		0	
		"COOPER, Tom (IND)"	1	1	100.00		0	0.00		1	
		"LAMPIS, Edda ()"	1	1	100.00		0	0.00		1	
		"BEHN, Doug (IND)"	1	1	100.00		0	0.00		1	
		"JEFFREYS, Allan (DEM)"	6	6	100.00		0	0.00		6	
		"CANALES, Judy (HMP)"	3	2	66.67		1	33.33		3	
		"FELSCH, Arthur James (CTA)"	2	1	50.00		1	50.00		2	
		"CORKILL, John (GRN)"	14	10	71.43		4	28.57		14	
		"GRIFFITHS, Angela (CEC)"	0	0	0.00		0	0.00		0	
		"MATHEW, Marie (HAN)"	9	2	22.22		7	77.78		9	
		Total	37	81	59.12		56	40.88		137	

	Dunoon										
			1st Prefs	135	45.92		159	54.08		294	
		"POLLARD-O'HARA, Kathryn (IND)"	14	9	64.29		5	35.71		14	
		"COOPER, Tom (IND)"	54	33	61.11		21	38.89		54	
		"LAMPIS, Edda ()"	1	1	100.00		0	0.00		1	
		"BEHN, Doug (IND)"	1	0	0.00		1	100.00		1	
		"JEFFREYS, Allan (DEM)"	33	25	75.76		8	24.24		33	
		"CANALES, Judy (HMP)"	11	9	81.82		2	18.18		11	
		"FELSCH, Arthur James (CTA)"	13	5	38.46		8	61.54		13	
		"CORKILL, John (GRN)"	99	92	92.93		7	7.07		99	
		"GRIFFITHS, Angela (CEC)"	1	1	100.00		0	0.00		1	
		"MATHEW, Marie (HAN)"	25	9	36.00		16	64.00		25	
		Total	252	319	58.42		227	41.58		546	

	Eltham										
			1st Prefs	51	30.72		115	69.28		166	
		"POLLARD-O'HARA, Kathryn (IND)"	2	0	0.00		2	100.00		2	
		"COOPER, Tom (IND)"	19	9	47.37		10	52.63		19	
		"LAMPIS, Edda ()"	0	0	0.00		0	0.00		0	
		"BEHN, Doug (IND)"	0	0	0.00		0	0.00		0	
		"JEFFREYS, Allan (DEM)"	4	3	75.00		1	25.00		4	
		"CANALES, Judy (HMP)"	3	1	33.33		2	66.67		3	
		"FELSCH, Arthur James (CTA)"	9	1	11.11		8	88.89		9	
		"CORKILL, John (GRN)"	28	25	89.29		3	10.71		28	
		"GRIFFITHS, Angela (CEC)"	0	0	0.00		0	0.00		0	
		"MATHEW, Marie (HAN)"	7	0	0.00		7	100.00		7	
		Total	72	90	37.82		148	62.18		238	

	Empire Vale										
			1st Prefs	55	38.46		88	61.54		143	
		"POLLARD-O'HARA, Kathryn (IND)"	5	5	100.00		0	0.00		5	
		"COOPER, Tom (IND)"	18	13	72.22		5	27.78		18	
		"LAMPIS, Edda ()"	0	0	0.00		0	0.00		0	
		"BEHN, Doug (IND)"	1	0	0.00		1	100.00		1	
		"JEFFREYS, Allan (DEM)"	9	7	77.78		2	22.22		9	
		"CANALES, Judy (HMP)"	10	6	60.00		4	40.00		10	
		"FELSCH, Arthur James (CTA)"	23	4	17.39		19	82.61		23	
		"CORKILL, John (GRN)"	15	10	66.67		5	33.33		15	
		"GRIFFITHS, Angela (CEC)"	0	0	0.00		0	0.00		0	
		"MATHEW, Marie (HAN)"	14	7	50.00		7	50.00		14	
		Total	95	107	44.96		131	55.04		238	

	Evans Head										
			1st Prefs	434	42.84		579	57.16		1013	
		"POLLARD-O'HARA, Kathryn (IND)"	13	10	76.92		3	23.08		13	
		"COOPER, Tom (IND)"	88	54	61.36		34	38.64		88	
		"LAMPIS, Edda ()"	2	1	50.00		1	50.00		2	
		"BEHN, Doug (IND)"	230	154	66.96		76	33.04		230	
		"JEFFREYS, Allan (DEM)"	22	11	50.00		11	50.00		22	
		"CANALES, Judy (HMP)"	18	9	50.00		9	50.00		18	
		"FELSCH, Arthur James (CTA)"	42	6	14.29		36	85.71		42	
		"CORKILL, John (GRN)"	68	59	86.76		9	13.24		68	
		"GRIFFITHS, Angela (CEC)"	4	2	50.00		2	50.00		4	
		"MATHEW, Marie (HAN)"	78	42	53.85		36	46.15		78	
		Total	565	782	49.56		796	50.44		1578	

	Fairy Hill										
			1st Prefs	69	24.47		213	75.53		282	
		"POLLARD-O'HARA, Kathryn (IND)"	3	2	66.67		1	33.33		3	
		"COOPER, Tom (IND)"	69	40	57.97		29	42.03		69	
		"LAMPIS, Edda ()"	2	1	50.00		1	50.00		2	
		"BEHN, Doug (IND)"	1	0	0.00		1	100.00		1	
		"JEFFREYS, Allan (DEM)"	2	1	50.00		1	50.00		2	
		"CANALES, Judy (HMP)"	0	0	0.00		0	0.00		0	
		"FELSCH, Arthur James (CTA)"	7	1	14.29		6	85.71		7	
		"CORKILL, John (GRN)"	6	4	66.67		2	33.33		6	
		"GRIFFITHS, Angela (CEC)"	1	0	0.00		1	100.00		1	
		"MATHEW, Marie (HAN)"	17	6	35.29		11	64.71		17	
		Total	108	124	31.79		266	68.21		390	

	Gillwinga										
			1st Prefs	229	48.93		239	51.07		468	
		"POLLARD-O'HARA, Kathryn (IND)"	6	4	66.67		2	33.33		6	
		"COOPER, Tom (IND)"	11	3	27.27		8	72.73		11	
		"LAMPIS, Edda ()"	0	0	0.00		0	0.00		0	
		"BEHN, Doug (IND)"	0	0	0.00		0	0.00		0	
		"JEFFREYS, Allan (DEM)"	6	5	83.33		1	16.67		6	
		"CANALES, Judy (HMP)"	4	3	75.00		1	25.00		4	
		"FELSCH, Arthur James (CTA)"	5	2	40.00		3	60.00		5	
		"CORKILL, John (GRN)"	10	6	60.00		4	40.00		10	
		"GRIFFITHS, Angela (CEC)"	2	2	100.00		0	0.00		2	
		"MATHEW, Marie (HAN)"	34	10	29.41		24	70.59		34	
		Total	78	264	48.35		282	51.65		546	

	Goolmangar										
			1st Prefs	96	34.16		185	65.84		281	
		"POLLARD-O'HARA, Kathryn (IND)"	3	1	33.33		2	66.67		3	
		"COOPER, Tom (IND)"	67	33	49.25		34	50.75		67	
		"LAMPIS, Edda ()"	2	1	50.00		1	50.00		2	
		"BEHN, Doug (IND)"	0	0	0.00		0	0.00		0	
		"JEFFREYS, Allan (DEM)"	7	6	85.71		1	14.29		7	
		"CANALES, Judy (HMP)"	8	7	87.50		1	12.50		8	
		"FELSCH, Arthur James (CTA)"	0	0	0.00		0	0.00		0	
		"CORKILL, John (GRN)"	32	31	96.88		1	3.13		32	
		"GRIFFITHS, Angela (CEC)"	0	0	0.00		0	0.00		0	
		"MATHEW, Marie (HAN)"	21	9	42.86		12	57.14		21	
		Total	140	184	43.71		237	56.29		421	

	Goonellabah										
			1st Prefs	609	36.80		1046	63.20		1655	
		"POLLARD-O'HARA, Kathryn (IND)"	39	19	48.72		20	51.28		39	
		"COOPER, Tom (IND)"	165	93	56.36		72	43.64		165	
		"LAMPIS, Edda ()"	13	11	84.62		2	15.38		13	
		"BEHN, Doug (IND)"	10	4	40.00		6	60.00		10	
		"JEFFREYS, Allan (DEM)"	75	52	69.33		23	30.67		75	
		"CANALES, Judy (HMP)"	37	27	72.97		10	27.03		37	
		"FELSCH, Arthur James (CTA)"	57	14	24.56		43	75.44		57	
		"CORKILL, John (GRN)"	134	104	77.61		30	22.39		134	
		"GRIFFITHS, Angela (CEC)"	5	2	40.00		3	60.00		5	
		"MATHEW, Marie (HAN)"	77	38	49.35		39	50.65		77	
		Total	612	973	42.92		1294	57.08		2267	

	Goonellabah South										
			1st Prefs	571	39.79		864	60.21		1435	
		"POLLARD-O'HARA, Kathryn (IND)"	39	24	61.54		15	38.46		39	
		"COOPER, Tom (IND)"	149	74	49.66		75	50.34		149	
		"LAMPIS, Edda ()"	6	6	100.00		0	0.00		6	
		"BEHN, Doug (IND)"	4	2	50.00		2	50.00		4	
		"JEFFREYS, Allan (DEM)"	60	45	75.00		15	25.00		60	
		"CANALES, Judy (HMP)"	17	15	88.24		2	11.76		17	
