House of Representatives - 2001 Election: New South Wales																																		
Distribution of Preferences																																		
By Polling Place																																		
																																		
Cowper																																		
				MAGUIRE			BONFIELD			WILLEY			NEUSS			HARTSUYKER			VAN BLADEL			CRANNY			FENTON			KORN			STOKES			
	FIRST			37	1.84		661	32.79		20	0.99		213	10.57		450	22.32		6	0.30		380	18.85		122	6.05		57	2.83		70	3.47		2016
	SECOND			0	0.00		1	16.67		3	50.00		0	0.00		0	0.00			Excluded		1	16.67		0	0.00		0	0.00		1	16.67		6
		TOTAL		37	1.84		662	32.84		23	1.14		213	10.57		450	22.32					381	18.90		122	6.05		57	2.83		71	3.52		2016
	THIRD			3	13.04		4	17.39			Excluded		2	8.70		5	21.74					2	8.70		2	8.70		0	0.00		5	21.74		23
		TOTAL		40	1.98		666	33.04					215	10.66		455	22.57					383	19.00		124	6.15		57	2.83		76	3.77		2016
	FOURTH			2	3.51		4	7.02					4	7.02		37	64.91					5	8.77		2	3.51			Excluded		3	5.26		57
		TOTAL		42	2.08		670	33.23					219	10.86		492	24.40					388	19.25		126	6.25					79	3.92		2016
	FIFTH			8	6.35		19	15.08					2	1.59		9	7.14					84	66.67			Excluded					4	3.17		126
		TOTAL		50	2.48		689	34.18					221	10.96		501	24.85					472	23.41								83	4.12		2016
	SIXTH				Excluded		18	36.00					7	14.00		9	18.00					4	8.00								12	24.00		50
		TOTAL					707	35.07					228	11.31		510	25.30					476	23.61								95	4.71		2016
	SEVENTH						417	87.61					18	3.78		32	6.72						Excluded								9	1.89		476
		TOTAL					1124	55.75					246	12.20		542	26.88														104	5.16		2016
	EIGHTH						29	27.88					43	41.35		32	30.77															Excluded		104
		TOTAL					1153	57.19					289	14.34		574	28.47																	2016
	NINTH						36	12.46						Excluded		253	87.54																	289
		TOTAL					1189	58.98								827	41.02																	2016
																Elected																		
																																		
Bellingen Hospital                                             																																		
	FIRST			2	1.05		76	39.79		1	0.52		12	6.28		51	26.70		0	0.00		28	14.66		6	3.14		10	5.24		5	2.62		191
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		2	1.05		76	39.79		1	0.52		12	6.28		51	26.70					28	14.66		6	3.14		10	5.24		5	2.62		191
	THIRD			0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		1	100.00		1
		TOTAL		2	1.05		76	39.79					12	6.28		51	26.70					28	14.66		6	3.14		10	5.24		6	3.14		191
	FOURTH			0	0.00		0	0.00					2	20.00		8	80.00					0	0.00		0	0.00			Excluded		0	0.00		10
		TOTAL		2	1.05		76	39.79					14	7.33		59	30.89					28	14.66		6	3.14					6	3.14		191
	FIFTH			0	0.00		3	50.00					0	0.00		0	0.00					3	50.00			Excluded					0	0.00		6
		TOTAL		2	1.05		79	41.36					14	7.33		59	30.89					31	16.23								6	3.14		191
	SIXTH				Excluded		0	0.00					1	50.00		1	50.00					0	0.00								0	0.00		2
		TOTAL					79	41.36					15	7.85		60	31.41					31	16.23								6	3.14		191
	SEVENTH						25	80.65					1	3.23		4	12.90						Excluded								1	3.23		31
		TOTAL					104	54.45					16	8.38		64	33.51														7	3.66		191
	EIGHTH						3	42.86					2	28.57		2	28.57															Excluded		7
		TOTAL					107	56.02					18	9.42		66	34.55																	191
	NINTH						4	22.22						Excluded		14	77.78																	18
		TOTAL					111	58.12								80	41.88																	191
																Elected																		
																																		
Boambee                                                        																																		
	FIRST			32	2.44		273	20.78		12	0.91		270	20.55		500	38.05		8	0.61		45	3.42		53	4.03		61	4.64		60	4.57		1314
	SECOND			1	12.50		1	12.50		4	50.00		0	0.00		0	0.00			Excluded		1	12.50		0	0.00		0	0.00		1	12.50		8
		TOTAL		33	2.51		274	20.85		16	1.22		270	20.55		500	38.05					46	3.50		53	4.03		61	4.64		61	4.64		1314
	THIRD			3	18.75		1	6.25			Excluded		2	12.50		3	18.75					3	18.75		1	6.25		2	12.50		1	6.25		16
		TOTAL		36	2.74		275	20.93					272	20.70		503	38.28					49	3.73		54	4.11		63	4.79		62	4.72		1314
	FOURTH			4	6.35		7	11.11					8	12.70		29	46.03					5	7.94		3	4.76			Excluded		7	11.11		63
		TOTAL		40	3.04		282	21.46					280	21.31		532	40.49					54	4.11		57	4.34					69	5.25		1314
	FIFTH			3	5.26		4	7.02					3	5.26		9	15.79					36	63.16			Excluded					2	3.51		57
		TOTAL		43	3.27		286	21.77					283	21.54		541	41.17					90	6.85								71	5.40		1314
	SIXTH				Excluded		9	20.93					2	4.65		11	25.58					12	27.91								9	20.93		43
		TOTAL					295	22.45					285	21.69		552	42.01					102	7.76								80	6.09		1314
	SEVENTH						65	63.73					7	6.86		16	15.69						Excluded								14	13.73		102
		TOTAL					360	27.40					292	22.22		568	43.23														94	7.15		1314
	EIGHTH						26	27.66					30	31.91		38	40.43															Excluded		94
		TOTAL					386	29.38					322	24.51		606	46.12																	1314
	NINTH						37	11.49						Excluded		285	88.51																	322
		TOTAL					423	32.19								891	67.81																	1314
																Elected																		
																																		
Bonville                                                       																																		
	FIRST			19	2.26		179	21.31		13	1.55		159	18.93		328	39.05		3	0.36		38	4.52		24	2.86		24	2.86		53	6.31		840
	SECOND			1	33.33		1	33.33		0	0.00		0	0.00		1	33.33			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		3
		TOTAL		20	2.38		180	21.43		13	1.55		159	18.93		329	39.17					38	4.52		24	2.86		24	2.86		53	6.31		840
	THIRD			2	15.38		2	15.38			Excluded		3	23.08		2	15.38					0	0.00		1	7.69		1	7.69		2	15.38		13
		TOTAL		22	2.62		182	21.67					162	19.29		331	39.40					38	4.52		25	2.98		25	2.98		55	6.55		840
	FOURTH			1	4.00		0	0.00					2	8.00		18	72.00					1	4.00		1	4.00			Excluded		2	8.00		25
		TOTAL		23	2.74		182	21.67					164	19.52		349	41.55					39	4.64		26	3.10					57	6.79		840
	FIFTH			2	7.69		2	7.69					3	11.54		4	15.38					13	50.00			Excluded					2	7.69		26
		TOTAL		25	2.98		184	21.90					167	19.88		353	42.02					52	6.19								59	7.02		840
	SIXTH				Excluded		4	16.00					4	16.00		5	20.00					4	16.00								8	32.00		25
		TOTAL					188	22.38					171	20.36		358	42.62					56	6.67								67	7.98		840
	SEVENTH						33	58.93					9	16.07		9	16.07						Excluded								5	8.93		56
		TOTAL					221	26.31					180	21.43		367	43.69														72	8.57		840
	EIGHTH						22	30.56					14	19.44		36	50.00															Excluded		72
		TOTAL					243	28.93					194	23.10		403	47.98																	840
	NINTH						18	9.28						Excluded		176	90.72																	194
		TOTAL					261	31.07								579	68.93																	840
																Elected																		
																																		
Bostobrick                                                     																																		
	FIRST			2	2.06		22	22.68		2	2.06		4	4.12		41	42.27		1	1.03		8	8.25		4	4.12		2	2.06		11	11.34		97
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	100.00		0	0.00		0	0.00		1
		TOTAL		2	2.06		22	22.68		2	2.06		4	4.12		41	42.27					8	8.25		5	5.15		2	2.06		11	11.34		97
	THIRD			2	100.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		2
		TOTAL		4	4.12		22	22.68					4	4.12		41	42.27					8	8.25		5	5.15		2	2.06		11	11.34		97
	FOURTH			0	0.00		0	0.00					1	50.00		0	0.00					0	0.00		0	0.00			Excluded		1	50.00		2
		TOTAL		4	4.12		22	22.68					5	5.15		41	42.27					8	8.25		5	5.15					12	12.37		97
	FIFTH			0	0.00		1	20.00					0	0.00		1	20.00					3	60.00			Excluded					0	0.00		5
		TOTAL		4	4.12		23	23.71					5	5.15		42	43.30					11	11.34								12	12.37		97
	SIXTH				Excluded		1	25.00					1	25.00		1	25.00					0	0.00								1	25.00		4
		TOTAL					24	24.74					6	6.19		43	44.33					11	11.34								13	13.40		97
	SEVENTH						6	54.55					0	0.00		2	18.18						Excluded								3	27.27		11
		TOTAL					30	30.93					6	6.19		45	46.39														16	16.49		97
	EIGHTH						7	43.75					3	18.75		6	37.50															Excluded		16
		TOTAL					37	38.14					9	9.28		51	52.58																	97
	NINTH						1	11.11						Excluded		8	88.89																	9
		TOTAL					38	39.18								59	60.82																	97
																Elected																		
																																		
Bowraville                                                     																																		
	FIRST			26	2.52		318	30.81		37	3.59		148	14.34		267	25.87		2	0.19		96	9.30		16	1.55		9	0.87		113	10.95		1032
	SECOND			1	50.00		0	0.00		1	50.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		2
		TOTAL		27	2.62		318	30.81		38	3.68		148	14.34		267	25.87					96	9.30		16	1.55		9	0.87		113	10.95		1032
	THIRD			5	13.16		10	26.32			Excluded		1	2.63		5	13.16					1	2.63		0	0.00		1	2.63		15	39.47		38
		TOTAL		32	3.10		328	31.78					149	14.44		272	26.36					97	9.40		16	1.55		10	0.97		128	12.40		1032
	FOURTH			2	20.00		0	0.00					0	0.00		5	50.00					1	10.00		1	10.00			Excluded		1	10.00		10
		TOTAL		34	3.29		328	31.78					149	14.44		277	26.84					98	9.50		17	1.65					129	12.50		1032
	FIFTH			2	11.76		1	5.88					0	0.00		0	0.00					10	58.82			Excluded					4	23.53		17
		TOTAL		36	3.49		329	31.88					149	14.44		277	26.84					108	10.47								133	12.89		1032
	SIXTH				Excluded		15	41.67					8	22.22		4	11.11					4	11.11								5	13.89		36
		TOTAL					344	33.33					157	15.21		281	27.23					112	10.85								138	13.37		1032
	SEVENTH						76	67.86					9	8.04		14	12.50						Excluded								13	11.61		112
		TOTAL					420	40.70					166	16.09		295	28.59														151	14.63		1032
	EIGHTH						43	28.48					60	39.74		48	31.79															Excluded		151
		TOTAL					463	44.86					226	21.90		343	33.24																	1032
	NINTH						32	14.16						Excluded		194	85.84																	226
		TOTAL					495	47.97								537	52.03																	1032
																Elected																		
																																		
Brooms Head                                                    																																		
	FIRST			0	0.00		70	39.11		0	0.00		15	8.38		45	25.14		2	1.12		7	3.91		2	1.12		0	0.00		38	21.23		179
	SECOND			0	0.00		0	0.00		1	50.00		1	50.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		2
		TOTAL		0	0.00		70	39.11		1	0.56		16	8.94		45	25.14					7	3.91		2	1.12		0	0.00		38	21.23		179
	THIRD			1	100.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		1	0.56		70	39.11					16	8.94		45	25.14					7	3.91		2	1.12		0	0.00		38	21.23		179
	FOURTH			0	0.00		0	0.00					0	0.00		0	0.00					0	0.00		0	0.00			Excluded		0	0.00		0
		TOTAL		1	0.56		70	39.11					16	8.94		45	25.14					7	3.91		2	1.12					38	21.23		179
	FIFTH			0	0.00		0	0.00					0	0.00		0	0.00					2	100.00			Excluded					0	0.00		2
		TOTAL		1	0.56		70	39.11					16	8.94		45	25.14					9	5.03								38	21.23		179
	SIXTH				Excluded		0	0.00					1	100.00		0	0.00					0	0.00								0	0.00		1
		TOTAL					70	39.11					17	9.50		45	25.14					9	5.03								38	21.23		179
	SEVENTH						6	66.67					0	0.00		2	22.22						Excluded								1	11.11		9
		TOTAL					76	42.46					17	9.50		47	26.26														39	21.79		179
	EIGHTH						8	20.51					19	48.72		12	30.77															Excluded		39
		TOTAL					84	46.93					36	20.11		59	32.96																	179
	NINTH						6	16.67						Excluded		30	83.33																	36
		TOTAL					90	50.28								89	49.72																	179
																Elected																		
																																		
Coffs Harbour                                                  																																		
	FIRST			60	3.75		420	26.27		14	0.88		246	15.38		581	36.34		14	0.88		88	5.50		40	2.50		42	2.63		94	5.88		1599
	SECOND			1	7.14		2	14.29		5	35.71		2	14.29		2	14.29			Excluded		0	0.00		0	0.00		2	14.29		0	0.00		14
		TOTAL		61	3.81		422	26.39		19	1.19		248	15.51		583	36.46					88	5.50		40	2.50		44	2.75		94	5.88		1599
	THIRD			2	10.53		1	5.26			Excluded		3	15.79		5	26.32					2	10.53		0	0.00		1	5.26		5	26.32		19
		TOTAL		63	3.94		423	26.45					251	15.70		588	36.77					90	5.63		40	2.50		45	2.81		99	6.19		1599
	FOURTH			2	4.44		5	11.11					4	8.89		27	60.00					3	6.67		1	2.22			Excluded		3	6.67		45
		TOTAL		65	4.07		428	26.77					255	15.95		615	38.46					93	5.82		41	2.56					102	6.38		1599
	FIFTH			1	2.44		6	14.63					2	4.88		5	12.20					24	58.54			Excluded					3	7.32		41
		TOTAL		66	4.13		434	27.14					257	16.07		620	38.77					117	7.32								105	6.57		1599
	SIXTH				Excluded		26	39.39					8	12.12		13	19.70					8	12.12								11	16.67		66
		TOTAL					460	28.77					265	16.57		633	39.59					125	7.82								116	7.25		1599
	SEVENTH						74	59.20					15	12.00		27	21.60						Excluded								9	7.20		125
		TOTAL					534	33.40					280	17.51		660	41.28														125	7.82		1599
	EIGHTH						27	21.60					51	40.80		47	37.60															Excluded		125
		TOTAL					561	35.08					331	20.70		707	44.22																	1599
	NINTH						30	9.06						Excluded		301	90.94																	331
		TOTAL					591	36.96								1008	63.04																	1599
																Elected																		
																																		
Coffs Harbour East                                             																																		
	FIRST			57	3.42		560	33.55		15	0.90		278	16.66		502	30.08		19	1.14		68	4.07		36	2.16		32	1.92		102	6.11		1669
	SECOND			2	10.53		3	15.79		5	26.32		2	10.53		2	10.53			Excluded		2	10.53		2	10.53		0	0.00		1	5.26		19
		TOTAL		59	3.54		563	33.73		20	1.20		280	16.78		504	30.20					70	4.19		38	2.28		32	1.92		103	6.17		1669
	THIRD			6	30.00		4	20.00			Excluded		2	10.00		3	15.00					2	10.00		1	5.00		0	0.00		2	10.00		20
		TOTAL		65	3.89		567	33.97					282	16.90		507	30.38					72	4.31		39	2.34		32	1.92		105	6.29		1669
	FOURTH			1	3.13		3	9.38					2	6.25		20	62.50					4	12.50		1	3.13			Excluded		1	3.13		32
		TOTAL		66	3.95		570	34.15					284	17.02		527	31.58					76	4.55		40	2.40					106	6.35		1669
	FIFTH			6	15.00		4	10.00					4	10.00		3	7.50					20	50.00			Excluded					3	7.50		40
		TOTAL		72	4.31		574	34.39					288	17.26		530	31.76					96	5.75								109	6.53		1669
	SIXTH				Excluded		23	31.94					11	15.28		3	4.17					18	25.00								17	23.61		72
		TOTAL					597	35.77					299	17.91		533	31.94					114	6.83								126	7.55		1669
	SEVENTH						68	59.65					11	9.65		17	14.91						Excluded								18	15.79		114
		TOTAL					665	39.84					310	18.57		550	32.95														144	8.63		1669
	EIGHTH						40	27.78					57	39.58		47	32.64															Excluded		144
		TOTAL					705	42.24					367	21.99		597	35.77																	1669
	NINTH						42	11.44						Excluded		325	88.56																	367
		TOTAL					747	44.76								922	55.24																	1669
																Elected																		
																																		
Coffs Harbour Hospital                                         																																		
	FIRST			11	4.60		91	38.08		2	0.84		38	15.90		60	25.10		0	0.00		14	5.86		6	2.51		8	3.35		9	3.77		239
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		11	4.60		91	38.08		2	0.84		38	15.90		60	25.10					14	5.86		6	2.51		8	3.35		9	3.77		239
	THIRD			1	50.00		0	0.00			Excluded		1	50.00		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		2
		TOTAL		12	5.02		91	38.08					39	16.32		60	25.10					14	5.86		6	2.51		8	3.35		9	3.77		239
	FOURTH			0	0.00		0	0.00					1	12.50		3	37.50					0	0.00		0	0.00			Excluded		4	50.00		8
		TOTAL		12	5.02		91	38.08					40	16.74		63	26.36					14	5.86		6	2.51					13	5.44		239
	FIFTH			0	0.00		1	16.67					1	16.67		0	0.00					4	66.67			Excluded					0	0.00		6
		TOTAL		12	5.02		92	38.49					41	17.15		63	26.36					18	7.53								13	5.44		239
	SIXTH				Excluded		6	50.00					0	0.00		1	8.33					3	25.00								2	16.67		12
		TOTAL					98	41.00					41	17.15		64	26.78					21	8.79								15	6.28		239
	SEVENTH						13	61.90					2	9.52		5	23.81						Excluded								1	4.76		21
		TOTAL					111	46.44					43	17.99		69	28.87														16	6.69		239
	EIGHTH						7	43.75					0	0.00		9	56.25															Excluded		16
		TOTAL					118	49.37					43	17.99		78	32.64																	239
	NINTH						12	27.91						Excluded		31	72.09																	43
		TOTAL					130	54.39								109	45.61																	239
																Elected																		
																																		
Coffs Harbour Jetty                                            																																		
	FIRST			27	2.29		334	28.33		7	0.59		224	19.00		374	31.72		15	1.27		66	5.60		36	3.05		37	3.14		59	5.00		1179
	SECOND			2	13.33		3	20.00		2	13.33		1	6.67		4	26.67			Excluded		2	13.33		1	6.67		0	0.00		0	0.00		15
		TOTAL		29	2.46		337	28.58		9	0.76		225	19.08		378	32.06					68	5.77		37	3.14		37	3.14		59	5.00		1179
	THIRD			1	11.11		1	11.11			Excluded		3	33.33		3	33.33					0	0.00		1	11.11		0	0.00		0	0.00		9
		TOTAL		30	2.54		338	28.67					228	19.34		381	32.32					68	5.77		38	3.22		37	3.14		59	5.00		1179
	FOURTH			0	0.00		0	0.00					4	10.81		25	67.57					2	5.41		2	5.41			Excluded		4	10.81		37
		TOTAL		30	2.54		338	28.67					232	19.68		406	34.44					70	5.94		40	3.39					63	5.34		1179
	FIFTH			5	12.50		7	17.50					3	7.50		6	15.00					19	47.50			Excluded					0	0.00		40
		TOTAL		35	2.97		345	29.26					235	19.93		412	34.94					89	7.55								63	5.34		1179
	SIXTH				Excluded		15	42.86					4	11.43		4	11.43					6	17.14								6	17.14		35
		TOTAL					360	30.53					239	20.27		416	35.28					95	8.06								69	5.85		1179
	SEVENTH						53	55.79					16	16.84		15	15.79						Excluded								11	11.58		95
		TOTAL					413	35.03					255	21.63		431	36.56														80	6.79		1179
	EIGHTH						16	20.00					36	45.00		28	35.00															Excluded		80
		TOTAL					429	36.39					291	24.68		459	38.93																	1179
	NINTH						26	8.93						Excluded		265	91.07																	291
		TOTAL					455	38.59								724	61.41																	1179
																Elected																		
																																		
Coffs Harbour Narranga                                         																																		
	FIRST			56	2.81		562	28.16		14	0.70		297	14.88		781	39.13		19	0.95		64	3.21		45	2.25		45	2.25		113	5.66		1996
	SECOND			0	0.00		3	15.79		6	31.58		0	0.00		2	10.53			Excluded		1	5.26		1	5.26		3	15.79		3	15.79		19
		TOTAL		56	2.81		565	28.31		20	1.00		297	14.88		783	39.23					65	3.26		46	2.30		48	2.40		116	5.81		1996
	THIRD			3	15.00		1	5.00			Excluded		4	20.00		3	15.00					4	20.00		3	15.00		0	0.00		2	10.00		20
		TOTAL		59	2.96		566	28.36					301	15.08		786	39.38					69	3.46		49	2.45		48	2.40		118	5.91		1996
	FOURTH			1	2.08		3	6.25					3	6.25		32	66.67					4	8.33		2	4.17			Excluded		3	6.25		48
		TOTAL		60	3.01		569	28.51					304	15.23		818	40.98					73	3.66		51	2.56					121	6.06		1996
	FIFTH			8	15.69		14	27.45					3	5.88		6	11.76					18	35.29			Excluded					2	3.92		51
		TOTAL		68	3.41		583	29.21					307	15.38		824	41.28					91	4.56								123	6.16		1996
	SIXTH				Excluded		19	27.94					11	16.18		12	17.65					15	22.06								11	16.18		68
		TOTAL					602	30.16					318	15.93		836	41.88					106	5.31								134	6.71		1996
	SEVENTH						62	58.49					9	8.49		24	22.64						Excluded								11	10.38		106
		TOTAL					664	33.27					327	16.38		860	43.09														145	7.26		1996
	EIGHTH						48	33.10					50	34.48		47	32.41															Excluded		145
		TOTAL					712	35.67					377	18.89		907	45.44																	1996
	NINTH						45	11.94						Excluded		332	88.06																	377
		TOTAL					757	37.93								1239	62.07																	1996
																Elected																		
																																		
Coffs Harbour South                                            																																		
	FIRST			31	2.53		405	33.01		15	1.22		183	14.91		395	32.19		16	1.30		52	4.24		28	2.28		39	3.18		63	5.13		1227
	SECOND			0	0.00		0	0.00		10	62.50		0	0.00		2	12.50			Excluded		2	12.50		1	6.25		1	6.25		0	0.00		16
		TOTAL		31	2.53		405	33.01		25	2.04		183	14.91		397	32.36					54	4.40		29	2.36		40	3.26		63	5.13		1227
	THIRD			10	40.00		5	20.00			Excluded		1	4.00		2	8.00					0	0.00		4	16.00		1	4.00		2	8.00		25
		TOTAL		41	3.34		410	33.41					184	15.00		399	32.52					54	4.40		33	2.69		41	3.34		65	5.30		1227
	FOURTH			1	2.44		4	9.76					2	4.88		27	65.85					0	0.00		2	4.88			Excluded		5	12.20		41
		TOTAL		42	3.42		414	33.74					186	15.16		426	34.72					54	4.40		35	2.85					70	5.70		1227
	FIFTH			3	8.57		11	31.43					4	11.43		2	5.71					14	40.00			Excluded					1	2.86		35
		TOTAL		45	3.67		425	34.64					190	15.48		428	34.88					68	5.54								71	5.79		1227
	SIXTH				Excluded		14	31.11					9	20.00		5	11.11					6	13.33								11	24.44		45
