House of Representatives - 2001 Election: New South Wales																													
Distribution of Preferences																													
By Polling Place																													
																													
Paterson																													
				HORNE			SHAW			DAVIES			RANKE			HENNELLY			BALDWIN			KING			CARY				
	FIRST			107	41.47		15	5.81		10	3.88		13	5.04		2	0.78		90	34.88		1	0.39		20	7.75		258	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		1	100.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		107	41.47		15	5.81		10	3.88		13	5.04		3	1.16		90	34.88					20	7.75		258	
	THIRD			0	0.00		0	0.00		0	0.00		1	33.33			Excluded		0	0.00					2	66.67		3	
		TOTAL		107	41.47		15	5.81		10	3.88		14	5.43					90	34.88					22	8.53		258	
	FOURTH			2	20.00		1	10.00			Excluded		6	60.00					0	0.00					1	10.00		10	
		TOTAL		109	42.25		16	6.20					20	7.75					90	34.88					23	8.91		258	
	FIFTH			9	45.00		8	40.00						Excluded					2	10.00					1	5.00		20	
		TOTAL		118	45.74		24	9.30											92	35.66					24	9.30		258	
	SIXTH			3	12.50		9	37.50											12	50.00						Excluded		24	
		TOTAL		121	46.90		33	12.79											104	40.31								258	
	SEVENTH			7	21.21			Excluded											26	78.79								33	
		TOTAL		128	49.61														130	50.39								258	
																			Elected										
																													
Bunyah                                                         																													
	FIRST			6	13.64		2	4.55		2	4.55		2	4.55		0	0.00		27	61.36		0	0.00		5	11.36		44	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		6	13.64		2	4.55		2	4.55		2	4.55		0	0.00		27	61.36					5	11.36		44	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00					0	0.00		0	
		TOTAL		6	13.64		2	4.55		2	4.55		2	4.55					27	61.36					5	11.36		44	
	FOURTH			1	50.00		0	0.00			Excluded		1	50.00					0	0.00					0	0.00		2	
		TOTAL		7	15.91		2	4.55					3	6.82					27	61.36					5	11.36		44	
	FIFTH			2	66.67		0	0.00						Excluded					0	0.00					1	33.33		3	
		TOTAL		9	20.45		2	4.55											27	61.36					6	13.64		44	
	SIXTH			1	16.67		4	66.67											1	16.67						Excluded		6	
		TOTAL		10	22.73		6	13.64											28	63.64								44	
	SEVENTH			2	33.33			Excluded											4	66.67								6	
		TOTAL		12	27.27														32	72.73								44	
																			Elected										
																													
Clarence Town                                                  																													
	FIRST			411	44.77		45	4.90		32	3.49		32	3.49		10	1.09		306	33.33		4	0.44		78	8.50		918	
	SECOND			2	50.00		0	0.00		0	0.00		1	25.00		0	0.00		0	0.00			Excluded		1	25.00		4	
		TOTAL		413	44.99		45	4.90		32	3.49		33	3.59		10	1.09		306	33.33					79	8.61		918	
	THIRD			2	20.00		1	10.00		2	20.00		3	30.00			Excluded		2	20.00					0	0.00		10	
		TOTAL		415	45.21		46	5.01		34	3.70		36	3.92					308	33.55					79	8.61		918	
	FOURTH			9	26.47		4	11.76			Excluded		17	50.00					3	8.82					1	2.94		34	
		TOTAL		424	46.19		50	5.45					53	5.77					311	33.88					80	8.71		918	
	FIFTH			27	50.94		12	22.64						Excluded					5	9.43					9	16.98		53	
		TOTAL		451	49.13		62	6.75											316	34.42					89	9.69		918	
	SIXTH			38	42.70		32	35.96											19	21.35						Excluded		89	
		TOTAL		489	53.27		94	10.24											335	36.49								918	
	SEVENTH			30	31.91			Excluded											64	68.09								94	
		TOTAL		519	56.54														399	43.46								918	
																			Elected										
																													
Coolongolook                                                   																													
	FIRST			56	33.53		15	8.98		1	0.60		6	3.59		0	0.00		68	40.72		0	0.00		21	12.57		167	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		56	33.53		15	8.98		1	0.60		6	3.59		0	0.00		68	40.72					21	12.57		167	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00					0	0.00		0	
		TOTAL		56	33.53		15	8.98		1	0.60		6	3.59					68	40.72					21	12.57		167	
	FOURTH			1	100.00		0	0.00			Excluded		0	0.00					0	0.00					0	0.00		1	
		TOTAL		57	34.13		15	8.98					6	3.59					68	40.72					21	12.57		167	
	FIFTH			3	50.00		2	33.33						Excluded					0	0.00					1	16.67		6	
		TOTAL		60	35.93		17	10.18											68	40.72					22	13.17		167	
	SIXTH			4	18.18		14	63.64											4	18.18						Excluded		22	
		TOTAL		64	38.32		31	18.56											72	43.11								167	
	SEVENTH			6	19.35			Excluded											25	80.65								31	
		TOTAL		70	41.92														97	58.08								167	
																			Elected										
																													
Coomba Park                                                    																													
	FIRST			121	37.23		17	5.23		13	4.00		5	1.54		3	0.92		143	44.00		0	0.00		23	7.08		325	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		121	37.23		17	5.23		13	4.00		5	1.54		3	0.92		143	44.00					23	7.08		325	
	THIRD			0	0.00		1	33.33		1	33.33		1	33.33			Excluded		0	0.00					0	0.00		3	
		TOTAL		121	37.23		18	5.54		14	4.31		6	1.85					143	44.00					23	7.08		325	
	FOURTH			4	28.57		4	28.57			Excluded		6	42.86					0	0.00					0	0.00		14	
		TOTAL		125	38.46		22	6.77					12	3.69					143	44.00					23	7.08		325	
	FIFTH			9	75.00		0	0.00						Excluded					0	0.00					3	25.00		12	
		TOTAL		134	41.23		22	6.77											143	44.00					26	8.00		325	
	SIXTH			4	15.38		19	73.08											3	11.54						Excluded		26	
		TOTAL		138	42.46		41	12.62											146	44.92								325	
	SEVENTH			6	14.63			Excluded											35	85.37								41	
		TOTAL		144	44.31														181	55.69								325	
																			Elected										
																													
Corlette                                                       																													
	FIRST			465	29.66		76	4.85		35	2.23		35	2.23		5	0.32		894	57.02		3	0.19		55	3.51		1568	
	SECOND			2	66.67		0	0.00		0	0.00		1	33.33		0	0.00		0	0.00			Excluded		0	0.00		3	
		TOTAL		467	29.78		76	4.85		35	2.23		36	2.30		5	0.32		894	57.02					55	3.51		1568	
	THIRD			1	20.00		0	0.00		0	0.00		1	20.00			Excluded		1	20.00					2	40.00		5	
		TOTAL		468	29.85		76	4.85		35	2.23		37	2.36					895	57.08					57	3.64		1568	
	FOURTH			8	22.86		6	17.14			Excluded		11	31.43					8	22.86					2	5.71		35	
		TOTAL		476	30.36		82	5.23					48	3.06					903	57.59					59	3.76		1568	
	FIFTH			24	50.00		11	22.92						Excluded					7	14.58					6	12.50		48	
		TOTAL		500	31.89		93	5.93											910	58.04					65	4.15		1568	
	SIXTH			25	38.46		29	44.62											11	16.92						Excluded		65	
		TOTAL		525	33.48		122	7.78											921	58.74								1568	
	SEVENTH			31	25.41			Excluded											91	74.59								122	
		TOTAL		556	35.46														1012	64.54								1568	
																			Elected										
																													
Dungog                                                         																													
	FIRST			656	37.90		117	6.76		42	2.43		67	3.87		17	0.98		737	42.58		12	0.69		83	4.79		1731	
	SECOND			4	33.33		1	8.33		1	8.33		2	16.67		0	0.00		2	16.67			Excluded		2	16.67		12	
		TOTAL		660	38.13		118	6.82		43	2.48		69	3.99		17	0.98		739	42.69					85	4.91		1731	
	THIRD			7	41.18		2	11.76		0	0.00		4	23.53			Excluded		0	0.00					4	23.53		17	
		TOTAL		667	38.53		120	6.93		43	2.48		73	4.22					739	42.69					89	5.14		1731	
	FOURTH			15	34.88		8	18.60			Excluded		18	41.86					2	4.65					0	0.00		43	
		TOTAL		682	39.40		128	7.39					91	5.26					741	42.81					89	5.14		1731	
	FIFTH			64	70.33		15	16.48						Excluded					5	5.49					7	7.69		91	
		TOTAL		746	43.10		143	8.26											746	43.10					96	5.55		1731	
	SIXTH			28	29.17		51	53.13											17	17.71						Excluded		96	
		TOTAL		774	44.71		194	11.21											763	44.08								1731	
	SEVENTH			42	21.65			Excluded											152	78.35								194	
		TOTAL		816	47.14														915	52.86								1731	
																			Elected										
																													
Failford                                                       																													
	FIRST			73	30.80		25	10.55		2	0.84		0	0.00		0	0.00		121	51.05		0	0.00		16	6.75		237	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		73	30.80		25	10.55		2	0.84		0	0.00		0	0.00		121	51.05					16	6.75		237	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00					0	0.00		0	
		TOTAL		73	30.80		25	10.55		2	0.84		0	0.00					121	51.05					16	6.75		237	
	FOURTH			1	50.00		1	50.00			Excluded		0	0.00					0	0.00					0	0.00		2	
		TOTAL		74	31.22		26	10.97					0	0.00					121	51.05					16	6.75		237	
	FIFTH			0	0.00		0	0.00						Excluded					0	0.00					0	0.00		0	
		TOTAL		74	31.22		26	10.97											121	51.05					16	6.75		237	
	SIXTH			6	37.50		10	62.50											0	0.00						Excluded		16	
		TOTAL		80	33.76		36	15.19											121	51.05								237	
	SEVENTH			3	8.33			Excluded											33	91.67								36	
		TOTAL		83	35.02														154	64.98								237	
																			Elected										
																													
Fern Bay                                                       																													
	FIRST			461	62.55		36	4.88		12	1.63		23	3.12		7	0.95		166	22.52		0	0.00		32	4.34		737	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		461	62.55		36	4.88		12	1.63		23	3.12		7	0.95		166	22.52					32	4.34		737	
	THIRD			3	42.86		0	0.00		0	0.00		3	42.86			Excluded		1	14.29					0	0.00		7	
		TOTAL		464	62.96		36	4.88		12	1.63		26	3.53					167	22.66					32	4.34		737	
	FOURTH			5	41.67		3	25.00			Excluded		1	8.33					1	8.33					2	16.67		12	
		TOTAL		469	63.64		39	5.29					27	3.66					168	22.80					34	4.61		737	
	FIFTH			16	59.26		3	11.11						Excluded					3	11.11					5	18.52		27	
		TOTAL		485	65.81		42	5.70											171	23.20					39	5.29		737	
	SIXTH			18	46.15		13	33.33											8	20.51						Excluded		39	
		TOTAL		503	68.25		55	7.46											179	24.29								737	
	SEVENTH			16	29.09			Excluded											39	70.91								55	
		TOTAL		519	70.42														218	29.58								737	
																			Elected										
																													
Fingal Bay                                                     																													
	FIRST			360	43.69		38	4.61		17	2.06		16	1.94		4	0.49		354	42.96		0	0.00		35	4.25		824	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		360	43.69		38	4.61		17	2.06		16	1.94		4	0.49		354	42.96					35	4.25		824	
	THIRD			1	25.00		0	0.00		0	0.00		1	25.00			Excluded		2	50.00					0	0.00		4	
		TOTAL		361	43.81		38	4.61		17	2.06		17	2.06					356	43.20					35	4.25		824	
	FOURTH			8	47.06		2	11.76			Excluded		6	35.29					1	5.88					0	0.00		17	
		TOTAL		369	44.78		40	4.85					23	2.79					357	43.33					35	4.25		824	
	FIFTH			10	43.48		7	30.43						Excluded					3	13.04					3	13.04		23	
		TOTAL		379	46.00		47	5.70											360	43.69					38	4.61		824	
	SIXTH			15	39.47		17	44.74											6	15.79						Excluded		38	
		TOTAL		394	47.82		64	7.77											366	44.42								824	
	SEVENTH			17	26.56			Excluded											47	73.44								64	
		TOTAL		411	49.88														413	50.12								824	
																			Elected										
																													
Forster                                                        																													
	FIRST			496	42.36		79	6.75		19	1.62		28	2.39		12	1.02		460	39.28		2	0.17		75	6.40		1171	
	SECOND			0	0.00		1	50.00		0	0.00		0	0.00		0	0.00		1	50.00			Excluded		0	0.00		2	
		TOTAL		496	42.36		80	6.83		19	1.62		28	2.39		12	1.02		461	39.37					75	6.40		1171	
	THIRD			6	50.00		1	8.33		0	0.00		4	33.33			Excluded		0	0.00					1	8.33		12	
		TOTAL		502	42.87		81	6.92		19	1.62		32	2.73					461	39.37					76	6.49		1171	
	FOURTH			6	31.58		2	10.53			Excluded		9	47.37					2	10.53					0	0.00		19	
		TOTAL		508	43.38		83	7.09					41	3.50					463	39.54					76	6.49		1171	
	FIFTH			21	51.22		10	24.39						Excluded					5	12.20					5	12.20		41	
		TOTAL		529	45.18		93	7.94											468	39.97					81	6.92		1171	
	SIXTH			25	30.86		37	45.68											19	23.46						Excluded		81	
		TOTAL		554	47.31		130	11.10											487	41.59								1171	
	SEVENTH			16	12.31			Excluded											114	87.69								130	
		TOTAL		570	48.68														601	51.32								1171	
																			Elected										
																													
Forster East                                                   																													
	FIRST			475	32.60		177	12.15		32	2.20		38	2.61		7	0.48		644	44.20		0	0.00		84	5.77		1457	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		475	32.60		177	12.15		32	2.20		38	2.61		7	0.48		644	44.20					84	5.77		1457	
	THIRD			2	28.57		0	0.00		0	0.00		2	28.57			Excluded		1	14.29					2	28.57		7	
		TOTAL		477	32.74		177	12.15		32	2.20		40	2.75					645	44.27					86	5.90		1457	
	FOURTH			8	25.00		3	9.38			Excluded		17	53.13					3	9.38					1	3.13		32	
		TOTAL		485	33.29		180	12.35					57	3.91					648	44.47					87	5.97		1457	
	FIFTH			26	45.61		14	24.56						Excluded					13	22.81					4	7.02		57	
		TOTAL		511	35.07		194	13.32											661	45.37					91	6.25		1457	
	SIXTH			24	26.37		44	48.35											23	25.27						Excluded		91	
		TOTAL		535	36.72		238	16.33											684	46.95								1457	
	SEVENTH			28	11.76			Excluded											210	88.24								238	
		TOTAL		563	38.64														894	61.36								1457	
																			Elected										
																													
Forster Keys                                                   																													
	FIRST			478	31.16		143	9.32		24	1.56		22	1.43		8	0.52		748	48.76		0	0.00		111	7.24		1534	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		478	31.16		143	9.32		24	1.56		22	1.43		8	0.52		748	48.76					111	7.24		1534	
	THIRD			0	0.00		2	25.00		0	0.00		1	12.50			Excluded		2	25.00					3	37.50		8	
		TOTAL		478	31.16		145	9.45		24	1.56		23	1.50					750	48.89					114	7.43		1534	
	FOURTH			7	29.17		4	16.67			Excluded		11	45.83					0	0.00					2	8.33		24	
		TOTAL		485	31.62		149	9.71					34	2.22					750	48.89					116	7.56		1534	
	FIFTH			17	50.00		9	26.47						Excluded					3	8.82					5	14.71		34	
		TOTAL		502	32.72		158	10.30											753	49.09					121	7.89		1534	
	SIXTH			30	24.79		61	50.41											30	24.79						Excluded		121	
		TOTAL		532	34.68		219	14.28											783	51.04								1534	
	SEVENTH			25	11.42			Excluded											194	88.58								219	
		TOTAL		557	36.31														977	63.69								1534	
																			Elected										
																													
Forster South                                                  																													
	FIRST			913	35.96		236	9.29		63	2.48		56	2.21		11	0.43		1118	44.03		2	0.08		140	5.51		2539	
	SECOND			1	50.00		1	50.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		2	
		TOTAL		914	36.00		237	9.33		63	2.48		56	2.21		11	0.43		1118	44.03					140	5.51		2539	
	THIRD			2	18.18		0	0.00		1	9.09		3	27.27			Excluded		0	0.00					5	45.45		11	
		TOTAL		916	36.08		237	9.33		64	2.52		59	2.32					1118	44.03					145	5.71		2539	
	FOURTH			18	28.13		8	12.50			Excluded		26	40.63					6	9.38					6	9.38		64	
		TOTAL		934	36.79		245	9.65					85	3.35					1124	44.27					151	5.95		2539	
	FIFTH			51	60.00		19	22.35						Excluded					9	10.59					6	7.06		85	
		TOTAL		985	38.79		264	10.40											1133	44.62					157	6.18		2539	
	SIXTH			39	24.84		76	48.41											42	26.75						Excluded		157	
		TOTAL		1024	40.33		340	13.39											1175	46.28								2539	
	SEVENTH			58	17.06			Excluded											282	82.94								340	
		TOTAL		1082	42.62														1457	57.38								2539	
																			Elected										
																													
Glen William                                                   																													
	FIRST			42	34.43		5	4.10		1	0.82		5	4.10		2	1.64		50	40.98		2	1.64		15	12.30		122	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		2	100.00		2	
		TOTAL		42	34.43		5	4.10		1	0.82		5	4.10		2	1.64		50	40.98					17	13.93		122	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	50.00					1	50.00		2	
		TOTAL		42	34.43		5	4.10		1	0.82		5	4.10					51	41.80					18	14.75		122	
	FOURTH			1	100.00		0	0.00			Excluded		0	0.00					0	0.00					0	0.00		1	
		TOTAL		43	35.25		5	4.10					5	4.10					51	41.80					18	14.75		122	
	FIFTH			5	100.00		0	0.00						Excluded					0	0.00					0	0.00		5	
		TOTAL		48	39.34		5	4.10											51	41.80					18	14.75		122	
	SIXTH			1	5.56		11	61.11											6	33.33						Excluded		18	
		TOTAL		49	40.16		16	13.11											57	46.72								122	
	SEVENTH			2	12.50			Excluded											14	87.50								16	
		TOTAL		51	41.80														71	58.20								122	
																			Elected										
																													
Gloucester                                                     																													
	FIRST			350	22.29		469	29.87		19	1.21		21	1.34		9	0.57		591	37.64		1	0.06		110	7.01		1570	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		1	100.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		350	22.29		469	29.87		19	1.21		21	1.34		10	0.64		591	37.64					110	7.01		1570	
	THIRD			2	20.00		0	0.00		0	0.00		1	10.00			Excluded		4	40.00					3	30.00		10	
		TOTAL		352	22.42		469	29.87		19	1.21		22	1.40					595	37.90					113	7.20		1570	
	FOURTH			8	42.11		4	21.05			Excluded		5	26.32					1	5.26					1	5.26		19	
		TOTAL		360	22.93		473	30.13					27	1.72					596	37.96					114	7.26		1570	
	FIFTH			18	66.67		4	14.81						Excluded					4	14.81					1	3.70		27	
		TOTAL		378	24.08		477	30.38											600	38.22					115	7.32		1570	
	SIXTH			23	20.00		70	60.87											22	19.13						Excluded		115	
		TOTAL		401	25.54		547	34.84											622	39.62								1570	
	SEVENTH			68	12.43			Excluded											479	87.57								547	
		TOTAL		469	29.87														1101	70.13								1570	
																			Elected										
																													
Gloucester Hospital                                            																													
	FIRST			87	18.91		157	34.13		4	0.87		7	1.52		1	0.22		182	39.57		0	0.00		22	4.78		460	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		87	18.91		157	34.13		4	0.87		7	1.52		1	0.22		182	39.57					22	4.78		460	
	THIRD			1	100.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00					0	0.00		1	
		TOTAL		88	19.13		157	34.13		4	0.87		7	1.52					182	39.57					22	4.78		460	
	FOURTH			1	25.00		2	50.00			Excluded		1	25.00					0	0.00					0	0.00		4	
		TOTAL		89	19.35		159	34.57					8	1.74					182	39.57					22	4.78		460	
	FIFTH			5	62.50		1	12.50						Excluded					2	25.00					0	0.00		8	
		TOTAL		94	20.43		160	34.78											184	40.00					22	4.78		460	
	SIXTH			3	13.64		15	68.18											4	18.18						Excluded		22	
		TOTAL		97	21.09		175	38.04											188	40.87								460	
	SEVENTH			22	12.57			Excluded											153	87.43								175	
		TOTAL		119	25.87														341	74.13								460	
																			Elected										
																													
Grahamstown                                                    																													
	FIRST			372	44.13		37	4.39		24	2.85		12	1.42		8	0.95		355	42.11		5	0.59		30	3.56		843	
	SECOND			1	20.00		1	20.00		0	0.00		0	0.00		0	0.00		2	40.00			Excluded		1	20.00		5	
		TOTAL		373	44.25		38	4.51		24	2.85		12	1.42		8	0.95		357	42.35					31	3.68		843	
	THIRD			1	12.50		0	0.00		1	12.50		2	25.00			Excluded		2	25.00					2	25.00		8	
		TOTAL		374	44.37		38	4.51		25	2.97		14	1.66					359	42.59					33	3.91		843	
	FOURTH			8	32.00		3	12.00			Excluded		8	32.00					4	16.00					2	8.00		25	
