House of Representatives - 2001 Election: New South Wales																															
Distribution of Preferences																															
By Polling Place																															
																															
Blaxland																															
				MCDERMOTT			VINNICOMBE			ANNY			HATTON			SAYEGH			PETERSON			HAWAT			MCKAY			OSMOND			
	SECOND			1	9.09		1	9.09			Excluded		3	27.27		3	27.27		1	9.09		0	0.00		0	0.00		2	18.18		11
		TOTAL		83	5.13		93	5.74					929	57.38		20	1.24		21	1.30		27	1.67		46	2.84		400	24.71		1619
	THIRD			1	5.00		2	10.00					3	15.00			Excluded		3	15.00		3	15.00		0	0.00		8	40.00		20
		TOTAL		84	5.19		95	5.87					932	57.57					24	1.48		30	1.85		46	2.84		408	25.20		1619
	FOURTH			4	13.33		0	0.00					12	40.00					0	0.00			Excluded		10	33.33		4	13.33		30
		TOTAL		88	5.44		95	5.87					944	58.31					24	1.48					56	3.46		412	25.45		1619
	FIFTH			2	8.33		9	37.50					2	8.33						Excluded					4	16.67		7	29.17		24
		TOTAL		90	5.56		104	6.42					946	58.43											60	3.71		419	25.88		1619
	SIXTH			19	31.67		5	8.33					20	33.33												Excluded		16	26.67		60
		TOTAL		109	6.73		109	6.73					966	59.67														435	26.87		1619
	SEVENTH			23	21.10			Excluded					15	13.76														71	65.14		109
		TOTAL		132	8.15								981	60.59														506	31.25		1619
	EIGHTH				Excluded								104	78.79														28	21.21		132
		TOTAL											1085	67.02														534	32.98		1619
													Elected																		
																															
Bankstown West                                                 																															
	FIRST			90	5.32		88	5.20		8	0.47		998	58.98		39	2.30		42	2.48		36	2.13		43	2.54		348	20.57		1692
	SECOND			1	12.50		4	50.00			Excluded		1	12.50		0	0.00		1	12.50		0	0.00		0	0.00		1	12.50		8
		TOTAL		91	5.38		92	5.44					999	59.04		39	2.30		43	2.54		36	2.13		43	2.54		349	20.63		1692
	THIRD			4	10.26		1	2.56					14	35.90			Excluded		0	0.00		4	10.26		0	0.00		16	41.03		39
		TOTAL		95	5.61		93	5.50					1013	59.87					43	2.54		40	2.36		43	2.54		365	21.57		1692
	FOURTH			7	17.50		0	0.00					15	37.50					1	2.50			Excluded		10	25.00		7	17.50		40
		TOTAL		102	6.03		93	5.50					1028	60.76					44	2.60					53	3.13		372	21.99		1692
	FIFTH			5	11.36		18	40.91					7	15.91						Excluded					3	6.82		11	25.00		44
		TOTAL		107	6.32		111	6.56					1035	61.17											56	3.31		383	22.64		1692
	SIXTH			16	28.57		3	5.36					23	41.07												Excluded		14	25.00		56
		TOTAL		123	7.27		114	6.74					1058	62.53														397	23.46		1692
	SEVENTH			23	20.18			Excluded					16	14.04														75	65.79		114
		TOTAL		146	8.63								1074	63.48														472	27.90		1692
	EIGHTH				Excluded								108	73.97														38	26.03		146
		TOTAL											1182	69.86														510	30.14		1692
													Elected																		
																															
Bass Hill                                                      																															
	FIRST			126	5.70		210	9.49		8	0.36		1098	49.64		46	2.08		39	1.76		28	1.27		38	1.72		619	27.98		2212
	SECOND			0	0.00		2	25.00			Excluded		2	25.00		2	25.00		1	12.50		0	0.00		1	12.50		0	0.00		8
		TOTAL		126	5.70		212	9.58					1100	49.73		48	2.17		40	1.81		28	1.27		39	1.76		619	27.98		2212
	THIRD			6	12.50		3	6.25					13	27.08			Excluded		5	10.42		2	4.17		2	4.17		17	35.42		48
		TOTAL		132	5.97		215	9.72					1113	50.32					45	2.03		30	1.36		41	1.85		636	28.75		2212
	FOURTH			5	16.67		0	0.00					14	46.67					3	10.00			Excluded		7	23.33		1	3.33		30
		TOTAL		137	6.19		215	9.72					1127	50.95					48	2.17					48	2.17		637	28.80		2212
	FIFTH			6	12.50		3	6.25					10	20.83						Excluded					9	18.75		20	41.67		48
		TOTAL		143	6.46		218	9.86					1137	51.40											57	2.58		657	29.70		2212
	SIXTH			19	33.33		5	8.77					15	26.32												Excluded		18	31.58		57
		TOTAL		162	7.32		223	10.08					1152	52.08														675	30.52		2212
	SEVENTH			45	20.18			Excluded					47	21.08														131	58.74		223
		TOTAL		207	9.36								1199	54.20														806	36.44		2212
	EIGHTH				Excluded								159	76.81														48	23.19		207
		TOTAL											1358	61.39														854	38.61		2212
													Elected																		
																															
Bass Hill Central                                              																															
	FIRST			73	4.92		135	9.10		4	0.27		692	46.66		26	1.75		29	1.96		13	0.88		39	2.63		472	31.83		1483
	SECOND			1	25.00		2	50.00			Excluded		0	0.00		1	25.00		0	0.00		0	0.00		0	0.00		0	0.00		4
		TOTAL		74	4.99		137	9.24					692	46.66		27	1.82		29	1.96		13	0.88		39	2.63		472	31.83		1483
	THIRD			4	14.81		1	3.70					3	11.11			Excluded		1	3.70		0	0.00		2	7.41		16	59.26		27
		TOTAL		78	5.26		138	9.31					695	46.86					30	2.02		13	0.88		41	2.76		488	32.91		1483
	FOURTH			2	15.38		1	7.69					6	46.15					0	0.00			Excluded		1	7.69		3	23.08		13
		TOTAL		80	5.39		139	9.37					701	47.27					30	2.02					42	2.83		491	33.11		1483
	FIFTH			3	10.00		10	33.33					2	6.67						Excluded					5	16.67		10	33.33		30
		TOTAL		83	5.60		149	10.05					703	47.40											47	3.17		501	33.78		1483
	SIXTH			24	51.06		2	4.26					11	23.40												Excluded		10	21.28		47
		TOTAL		107	7.22		151	10.18					714	48.15														511	34.46		1483
	SEVENTH			23	15.23			Excluded					23	15.23														105	69.54		151
		TOTAL		130	8.77								737	49.70														616	41.54		1483
	EIGHTH				Excluded								97	74.62														33	25.38		130
		TOTAL											834	56.24														649	43.76		1483
													Elected																		
																															
Bass Hill West                                                 																															
	FIRST			160	6.08		234	8.89		13	0.49		1101	41.83		36	1.37		66	2.51		22	0.84		89	3.38		911	34.61		2632
	SECOND			2	15.38		3	23.08			Excluded		1	7.69		6	46.15		1	7.69		0	0.00		0	0.00		0	0.00		13
		TOTAL		162	6.16		237	9.00					1102	41.87		42	1.60		67	2.55		22	0.84		89	3.38		911	34.61		2632
	THIRD			4	9.52		0	0.00					4	9.52			Excluded		6	14.29		1	2.38		5	11.90		22	52.38		42
		TOTAL		166	6.31		237	9.00					1106	42.02					73	2.77		23	0.87		94	3.57		933	35.45		2632
	FOURTH			6	26.09		1	4.35					5	21.74					3	13.04			Excluded		6	26.09		2	8.70		23
		TOTAL		172	6.53		238	9.04					1111	42.21					76	2.89					100	3.80		935	35.52		2632
	FIFTH			7	9.21		19	25.00					10	13.16						Excluded					7	9.21		33	43.42		76
		TOTAL		179	6.80		257	9.76					1121	42.59											107	4.07		968	36.78		2632
	SIXTH			52	48.60		7	6.54					27	25.23												Excluded		21	19.63		107
		TOTAL		231	8.78		264	10.03					1148	43.62														989	37.58		2632
	SEVENTH			53	20.08			Excluded					42	15.91														169	64.02		264
		TOTAL		284	10.79								1190	45.21														1158	44.00		2632
	EIGHTH				Excluded								198	69.72														86	30.28		284
		TOTAL											1388	52.74														1244	47.26		2632
													Elected																		
																															
Birrong                                                        																															
	FIRST			150	5.39		200	7.18		11	0.39		1421	51.02		26	0.93		80	2.87		67	2.41		50	1.80		780	28.01		2785
	SECOND			0	0.00		1	9.09			Excluded		2	18.18		5	45.45		0	0.00		2	18.18		1	9.09		0	0.00		11
		TOTAL		150	5.39		201	7.22					1423	51.10		31	1.11		80	2.87		69	2.48		51	1.83		780	28.01		2785
	THIRD			3	9.68		1	3.23					5	16.13			Excluded		2	6.45		3	9.68		5	16.13		12	38.71		31
		TOTAL		153	5.49		202	7.25					1428	51.27					82	2.94		72	2.59		56	2.01		792	28.44		2785
	FOURTH			9	12.50		0	0.00					34	47.22					3	4.17			Excluded		14	19.44		12	16.67		72
		TOTAL		162	5.82		202	7.25					1462	52.50					85	3.05					70	2.51		804	28.87		2785
	FIFTH			17	20.00		24	28.24					15	17.65						Excluded					10	11.76		19	22.35		85
		TOTAL		179	6.43		226	8.11					1477	53.03											80	2.87		823	29.55		2785
	SIXTH			33	41.25		8	10.00					19	23.75												Excluded		20	25.00		80
		TOTAL		212	7.61		234	8.40					1496	53.72														843	30.27		2785
	SEVENTH			34	14.53			Excluded					34	14.53														166	70.94		234
		TOTAL		246	8.83								1530	54.94														1009	36.23		2785
	EIGHTH				Excluded								172	69.92														74	30.08		246
		TOTAL											1702	61.11														1083	38.89		2785
													Elected																		
																															
Chester Hill                                                   																															
	FIRST			107	3.91		191	6.97		15	0.55		1517	55.36		19	0.69		76	2.77		30	1.09		69	2.52		716	26.13		2740
	SECOND			2	13.33		3	20.00			Excluded		3	20.00		5	33.33		0	0.00		2	13.33		0	0.00		0	0.00		15
		TOTAL		109	3.98		194	7.08					1520	55.47		24	0.88		76	2.77		32	1.17		69	2.52		716	26.13		2740
	THIRD			3	12.50		1	4.17					7	29.17			Excluded		6	25.00		1	4.17		2	8.33		4	16.67		24
		TOTAL		112	4.09		195	7.12					1527	55.73					82	2.99		33	1.20		71	2.59		720	26.28		2740
	FOURTH			3	9.09		0	0.00					12	36.36					6	18.18			Excluded		2	6.06		10	30.30		33
		TOTAL		115	4.20		195	7.12					1539	56.17					88	3.21					73	2.66		730	26.64		2740
	FIFTH			7	7.95		23	26.14					19	21.59						Excluded					10	11.36		29	32.95		88
		TOTAL		122	4.45		218	7.96					1558	56.86											83	3.03		759	27.70		2740
	SIXTH			42	50.60		11	13.25					15	18.07												Excluded		15	18.07		83
		TOTAL		164	5.99		229	8.36					1573	57.41														774	28.25		2740
	SEVENTH			50	21.83			Excluded					38	16.59														141	61.57		229
		TOTAL		214	7.81								1611	58.80														915	33.39		2740
	EIGHTH				Excluded								160	74.77														54	25.23		214
		TOTAL											1771	64.64														969	35.36		2740
													Elected																		
																															
Chester Hill North                                             																															
	FIRST			90	4.08		219	9.92		23	1.04		1091	49.41		37	1.68		43	1.95		41	1.86		40	1.81		624	28.26		2208
	SECOND			5	21.74		4	17.39			Excluded		3	13.04		8	34.78		0	0.00		0	0.00		2	8.70		1	4.35		23
		TOTAL		95	4.30		223	10.10					1094	49.55		45	2.04		43	1.95		41	1.86		42	1.90		625	28.31		2208
	THIRD			7	15.56		4	8.89					7	15.56			Excluded		6	13.33		7	15.56		4	8.89		10	22.22		45
		TOTAL		102	4.62		227	10.28					1101	49.86					49	2.22		48	2.17		46	2.08		635	28.76		2208
	FOURTH			7	14.58		0	0.00					24	50.00					4	8.33			Excluded		10	20.83		3	6.25		48
		TOTAL		109	4.94		227	10.28					1125	50.95					53	2.40					56	2.54		638	28.89		2208
	FIFTH			9	16.98		6	11.32					10	18.87						Excluded					13	24.53		15	28.30		53
		TOTAL		118	5.34		233	10.55					1135	51.40											69	3.13		653	29.57		2208
	SIXTH			25	36.23		5	7.25					22	31.88												Excluded		17	24.64		69
		TOTAL		143	6.48		238	10.78					1157	52.40														670	30.34		2208
	SEVENTH			41	17.23			Excluded					34	14.29														163	68.49		238
		TOTAL		184	8.33								1191	53.94														833	37.73		2208
	EIGHTH				Excluded								133	72.28														51	27.72		184
		TOTAL											1324	59.96														884	40.04		2208
													Elected																		
																															
Chullora                                                       																															
	FIRST			80	3.70		155	7.17		20	0.92		1103	50.99		38	1.76		61	2.82		45	2.08		55	2.54		606	28.02		2163
	SECOND			3	15.00		6	30.00			Excluded		6	30.00		1	5.00		1	5.00		0	0.00		2	10.00		1	5.00		20
		TOTAL		83	3.84		161	7.44					1109	51.27		39	1.80		62	2.87		45	2.08		57	2.64		607	28.06		2163
	THIRD			2	5.13		1	2.56					10	25.64			Excluded		3	7.69		5	12.82		2	5.13		16	41.03		39
		TOTAL		85	3.93		162	7.49					1119	51.73					65	3.01		50	2.31		59	2.73		623	28.80		2163
	FOURTH			5	10.00		0	0.00					24	48.00					4	8.00			Excluded		13	26.00		4	8.00		50
		TOTAL		90	4.16		162	7.49					1143	52.84					69	3.19					72	3.33		627	28.99		2163
	FIFTH			4	5.80		20	28.99					10	14.49						Excluded					9	13.04		26	37.68		69
		TOTAL		94	4.35		182	8.41					1153	53.31											81	3.74		653	30.19		2163
	SIXTH			27	33.33		10	12.35					24	29.63												Excluded		20	24.69		81
		TOTAL		121	5.59		192	8.88					1177	54.42														673	31.11		2163
	SEVENTH			38	19.79			Excluded					36	18.75														118	61.46		192
		TOTAL		159	7.35								1213	56.08														791	36.57		2163
	EIGHTH				Excluded								124	77.99														35	22.01		159
		TOTAL											1337	61.81														826	38.19		2163
													Elected																		
																															
Condell Park                                                   																															
	FIRST			175	4.67		268	7.15		18	0.48		1932	51.55		42	1.12		102	2.72		42	1.12		115	3.07		1054	28.12		3748
	SECOND			3	16.67		2	11.11			Excluded		7	38.89		4	22.22		1	5.56		0	0.00		0	0.00		1	5.56		18
		TOTAL		178	4.75		270	7.20					1939	51.73		46	1.23		103	2.75		42	1.12		115	3.07		1055	28.15		3748
	THIRD			4	8.70		1	2.17					14	30.43			Excluded		8	17.39		7	15.22		1	2.17		11	23.91		46
		TOTAL		182	4.86		271	7.23					1953	52.11					111	2.96		49	1.31		116	3.09		1066	28.44		3748
	FOURTH			13	26.53		2	4.08					17	34.69					4	8.16			Excluded		7	14.29		6	12.24		49
		TOTAL		195	5.20		273	7.28					1970	52.56					115	3.07					123	3.28		1072	28.60		3748
	FIFTH			11	9.57		40	34.78					27	23.48						Excluded					12	10.43		25	21.74		115
		TOTAL		206	5.50		313	8.35					1997	53.28											135	3.60		1097	29.27		3748
	SIXTH			75	55.56		6	4.44					32	23.70												Excluded		22	16.30		135
		TOTAL		281	7.50		319	8.51					2029	54.14														1119	29.86		3748
	SEVENTH			64	20.06			Excluded					51	15.99														204	63.95		319
		TOTAL		345	9.20								2080	55.50														1323	35.30		3748
	EIGHTH				Excluded								283	82.03														62	17.97		345
		TOTAL											2363	63.05														1385	36.95		3748
													Elected																		
																															
Condell Park North                                             																															
	FIRST			36	5.03		39	5.45		6	0.84		325	45.39		4	0.56		28	3.91		13	1.82		16	2.23		249	34.78		716
	SECOND			1	16.67		1	16.67			Excluded		0	0.00		1	16.67		0	0.00		0	0.00		1	16.67		2	33.33		6
		TOTAL		37	5.17		40	5.59					325	45.39		5	0.70		28	3.91		13	1.82		17	2.37		251	35.06		716
	THIRD			0	0.00		0	0.00					2	40.00			Excluded		0	0.00		0	0.00		0	0.00		3	60.00		5
		TOTAL		37	5.17		40	5.59					327	45.67					28	3.91		13	1.82		17	2.37		254	35.47		716
	FOURTH			4	30.77		0	0.00					7	53.85					0	0.00			Excluded		2	15.38		0	0.00		13
		TOTAL		41	5.73		40	5.59					334	46.65					28	3.91					19	2.65		254	35.47		716
	FIFTH			3	10.71		10	35.71					0	0.00						Excluded					2	7.14		13	46.43		28
		TOTAL		44	6.15		50	6.98					334	46.65											21	2.93		267	37.29		716
	SIXTH			8	38.10		2	9.52					5	23.81												Excluded		6	28.57		21
		TOTAL		52	7.26		52	7.26					339	47.35														273	38.13		716
	SEVENTH			7	13.46			Excluded					8	15.38														37	71.15		52
		TOTAL		59	8.24								347	48.46														310	43.30		716
	EIGHTH				Excluded								48	81.36														11	18.64		59
		TOTAL											395	55.17														321	44.83		716
													Elected																		
																															
Condell Park South                                             																															
	FIRST			82	4.46		59	3.21		8	0.43		1189	64.62		42	2.28		25	1.36		35	1.90		39	2.12		361	19.62		1840
	SECOND			2	25.00		2	25.00			Excluded		0	0.00		3	37.50		0	0.00		0	0.00		0	0.00		1	12.50		8
		TOTAL		84	4.57		61	3.32					1189	64.62		45	2.45		25	1.36		35	1.90		39	2.12		362	19.67		1840
	THIRD			3	6.67		3	6.67					11	24.44			Excluded		6	13.33		5	11.11		1	2.22		16	35.56		45
		TOTAL		87	4.73		64	3.48					1200	65.22					31	1.68		40	2.17		40	2.17		378	20.54		1840
	FOURTH			6	15.00		1	2.50					22	55.00					2	5.00			Excluded		7	17.50		2	5.00		40
		TOTAL		93	5.05		65	3.53					1222	66.41					33	1.79					47	2.55		380	20.65		1840
	FIFTH			4	12.12		4	12.12					4	12.12						Excluded					5	15.15		16	48.48		33
		TOTAL		97	5.27		69	3.75					1226	66.63											52	2.83		396	21.52		1840
	SIXTH			16	30.77		5	9.62					18	34.62												Excluded		13	25.00		52
		TOTAL		113	6.14		74	4.02					1244	67.61														409	22.23		1840
	SEVENTH			28	37.84			Excluded					19	25.68														27	36.49		74
		TOTAL		141	7.66								1263	68.64														436	23.70		1840
	EIGHTH				Excluded								113	80.14														28	19.86		141
		TOTAL											1376	74.78														464	25.22		1840
													Elected																		
																															
Enfield West                                                   																															
	FIRST			95	4.97		52	2.72		10	0.52		952	49.82		34	1.78		38	1.99		30	1.57		42	2.20		658	34.43		1911
	SECOND			2	20.00		2	20.00			Excluded		0	0.00		4	40.00		0	0.00		0	0.00		2	20.00		0	0.00		10
		TOTAL		97	5.08		54	2.83					952	49.82		38	1.99		38	1.99		30	1.57		44	2.30		658	34.43		1911
	THIRD			2	5.26		3	7.89					3	7.89			Excluded		2	5.26		2	5.26		3	7.89		23	60.53		38
		TOTAL		99	5.18		57	2.98					955	49.97					40	2.09		32	1.67		47	2.46		681	35.64		1911
	FOURTH			2	6.25		2	6.25					13	40.63					1	3.13			Excluded		8	25.00		6	18.75		32
		TOTAL		101	5.29		59	3.09					968	50.65					41	2.15					55	2.88		687	35.95		1911
	FIFTH			2	4.88		8	19.51					8	19.51						Excluded					6	14.63		17	41.46		41
		TOTAL		103	5.39		67	3.51					976	51.07											61	3.19		704	36.84		1911
	SIXTH			22	36.07		3	4.92					21	34.43												Excluded		15	24.59		61
		TOTAL		125	6.54		70	3.66					997	52.17														719	37.62		1911
	SEVENTH			24	34.29			Excluded					12	17.14														34	48.57		70
		TOTAL		149	7.80								1009	52.80														753	39.40		1911
	EIGHTH				Excluded								121	81.21														28	18.79		149
		TOTAL											1130	59.13														781	40.87		1911
													Elected																		
																															
Georges Hall                                                   																															
	FIRST			175	5.43		307	9.53		22	0.68		1310	40.67		34	1.06		102	3.17		8	0.25		129	4.00		1134	35.21		3221
	SECOND			2	9.09		1	4.55			Excluded		8	36.36		6	27.27		0	0.00		0	0.00		2	9.09		3	13.64		22
		TOTAL		177	5.50		308	9.56					1318	40.92		40	1.24		102	3.17		8	0.25		131	4.07		1137	35.30		3221
	THIRD			7	17.50		3	7.50					8	20.00			Excluded		2	5.00		0	0.00		4	10.00		16	40.00		40
		TOTAL		184	5.71		311	9.66					1326	41.17					104	3.23		8	0.25		135	4.19		1153	35.80		3221
	FOURTH			2	25.00		0	0.00					2	25.00					1	12.50			Excluded		3	37.50		0	0.00		8
		TOTAL		186	5.77		311	9.66					1328	41.23					105	3.26					138	4.28		1153	35.80		3221
	FIFTH			13	12.38		19	18.10					20	19.05						Excluded					9	8.57		44	41.90		105
		TOTAL		199	6.18		330	10.25					1348	41.85											147	4.56		1197	37.16		3221
	SIXTH			72	48.98		15	10.20					33	22.45												Excluded		27	18.37		147
		TOTAL		271	8.41		345	10.71					1381	42.87														1224	38.00		3221
	SEVENTH			75	21.74			Excluded					41	11.88														229	66.38		345
		TOTAL		346	10.74								1422	44.15														1453	45.11		3221
	EIGHTH				Excluded								246	71.10														100	28.90		346
		TOTAL											1668	51.79														1553	48.21		3221
													Elected																		
																															
Gosling Park                                                   																															
	FIRST			66	4.91		78	5.80		14	1.04		681	50.67		46	3.42		15	1.12		24	1.79		30	2.23		390	29.02		1344
	SECOND			3	21.43		3	21.43			Excluded		1	7.14		2	14.29		0	0.00		1	7.14		3	21.43		1	7.14		14
		TOTAL		69	5.13		81	6.03					682	50.74		48	3.57		15	1.12		25	1.86		33	2.46		391	29.09		1344
	THIRD			1	2.08		0	0.00					7	14.58			Excluded		2	4.17		4	8.33		5	10.42		29	60.42		48
		TOTAL		70	5.21		81	6.03					689	51.26					17	1.26		29	2.16		38	2.83		420	31.25		1344
	FOURTH			10	34.48		2	6.90					5	17.24					1	3.45			Excluded		2	6.90		9	31.03		29
		TOTAL		80	5.95		83	6.18					694	51.64					18	1.34					40	2.98		429	31.92		1344
	FIFTH			3	16.67		3	16.67					1	5.56						Excluded					5	27.78		6	33.33		18
		TOTAL		83	6.18		86	6.40					695	51.71											45	3.35		435	32.37		1344
	SIXTH			13	28.89		5	11.11					9	20.00												Excluded		18	40.00		45
		TOTAL		96	7.14		91	6.77					704	52.38														453	33.71		1344
	SEVENTH			40	43.96			Excluded					23	25.27														28	30.77		91
		TOTAL		136	10.12								727	54.09														481	35.79		1344
	EIGHTH				Excluded								89	65.44														47	34.56		136
		TOTAL											816	60.71														528	39.29		1344
													Elected																		
																															
Greenacre                                                      																															
	FIRST			232	5.49		128	3.03		22	0.52		2426	57.39		41	0.97		76	1.80		105	2.48		158	3.74		1039	24.58		4227
	SECOND			4	18.18		5	22.73			Excluded		5	22.73		2	9.09		0	0.00		5	22.73		0	0.00		1	4.55		22
		TOTAL		236	5.58		133	3.15					2431	57.51		43	1.02		76	1.80		110	2.60		158	3.74		1040	24.60		4227
	THIRD			8	18.60		2	4.65					11	25.58			Excluded		8	18.60		1	2.33		0	0.00		13	30.23		43
		TOTAL		244	5.77		135	3.19					2442	57.77					84	1.99		111	2.63		158	3.74		1053	24.91		4227
	FOURTH			17	15.32		3	2.70					36	32.43					12	10.81			Excluded		30	27.03		13	11.71		111
		TOTAL		261	6.17		138	3.26					2478	58.62					96	2.27					188	4.45		1066	25.22		4227
	FIFTH			12	12.50		20	20.83					23	23.96						Excluded					17	17.71		24	25.00		96
		TOTAL		273	6.46		158	3.74					2501	59.17											205	4.85		1090	25.79		4227
	SIXTH			110	53.66		6	2.93					58	28.29												Excluded		31	15.12		205
		TOTAL		383	9.06		164	3.88					2559	60.54														1121	26.52		4227
	SEVENTH			46	28.05			Excluded					40	24.39														78	47.56		164
		TOTAL		429	10.15								2599	61.49														1199	28.37		4227
	EIGHTH				Excluded								357	83.22														72	16.78		429
		TOTAL											2956	69.93														1271	30.07		4227
													Elected																		
																															
Greenacre West                                                 																															
	FIRST			44	4.75		55	5.94		7	0.76		483	52.16		7	0.76		42	4.54		18	1.94		17	1.84		253	27.32		926
	SECOND			1	14.29		3	42.86			Excluded		2	28.57		0	0.00		0	0.00		1	14.29		0	0.00		0	0.00		7
		TOTAL		45	4.86		58	6.26					485	52.38		7	0.76		42	4.54		19	2.05		17	1.84		253	27.32		926
	THIRD			0	0.00		0	0.00					1	14.29			Excluded		2	28.57		2	28.57		2	28.57		0	0.00		7
		TOTAL		45	4.86		58	6.26					486	52.48					44	4.75		21	2.27		19	2.05		253	27.32		926
	FOURTH			4	19.05		0	0.00					5	23.81					2	9.52			Excluded		5	23.81		5	23.81		21
		TOTAL		49	5.29		58	6.26					491	53.02					46	4.97					24	2.59		258	27.86		926
	FIFTH			3	6.52		16	34.78					11	23.91						Excluded					4	8.70		12	26.09		46
		TOTAL		52	5.62		74	7.99					502	54.21											28	3.02		270	29.16		926
	SIXTH			5	17.86		2	7.14					11	39.29												Excluded		10	35.71		28
		TOTAL		57	6.16		76	8.21					513	55.40														280	30.24		926
	SEVENTH			18	23.68			Excluded					17	22.37														41	53.95		76
		TOTAL		75	8.10								530	57.24														321	34.67		926
	EIGHTH				Excluded								53	70.67														22	29.33		75
		TOTAL											583	62.96														343	37.04		926
													Elected																		
																															
Mount Lewis                                                    																															
