House of Representatives - 2001 Election: New South Wales																										
Distribution of Preferences																										
By Polling Place																										
																										
Lowe																										
				MURPHY			DOUST			GARRETT			WONG			KRUMINS			LANE			SOULOS				
	FIRST			1540	54.17		917	32.25		140	4.92		79	2.78		47	1.65		12	0.42		108	3.80		2843	
	SECOND			1	8.33		3	25.00		0	0.00		1	8.33		2	16.67			Excluded		5	41.67		12	
		TOTAL		1541	54.20		920	32.36		140	4.92		80	2.81		49	1.72					113	3.97		2843	
	THIRD			17	34.69		13	26.53		3	6.12		2	4.08			Excluded					14	28.57		49	
		TOTAL		1558	54.80		933	32.82		143	5.03		82	2.88								127	4.47		2843	
	FOURTH			22	26.83		14	17.07		31	37.80			Excluded								15	18.29		82	
		TOTAL		1580	55.58		947	33.31		174	6.12											142	4.99		2843	
	FIFTH			50	35.21		9	6.34		83	58.45												Excluded		142	
		TOTAL		1630	57.33		956	33.63		257	9.04														2843	
	SIXTH			186	72.37		71	27.63			Excluded														257	
		TOTAL		1816	63.88		1027	36.12																	2843	
				Elected																						
																										
Burwood North                                                  																										
	FIRST			187	51.80		130	36.01		8	2.22		17	4.71		12	3.32		1	0.28		6	1.66		361	
	SECOND			1	100.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		188	52.08		130	36.01		8	2.22		17	4.71		12	3.32					6	1.66		361	
	THIRD			1	8.33		8	66.67		0	0.00		0	0.00			Excluded					3	25.00		12	
		TOTAL		189	52.35		138	38.23		8	2.22		17	4.71								9	2.49		361	
	FOURTH			14	82.35		0	0.00		1	5.88			Excluded								2	11.76		17	
		TOTAL		203	56.23		138	38.23		9	2.49											11	3.05		361	
	FIFTH			1	9.09		1	9.09		9	81.82												Excluded		11	
		TOTAL		204	56.51		139	38.50		18	4.99														361	
	SIXTH			14	77.78		4	22.22			Excluded														18	
		TOTAL		218	60.39		143	39.61																	361	
				Elected																						
																										
Burwood Park                                                   																										
	FIRST			445	51.68		284	32.98		30	3.48		49	5.69		24	2.79		1	0.12		28	3.25		861	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	100.00		1	
		TOTAL		445	51.68		284	32.98		30	3.48		49	5.69		24	2.79					29	3.37		861	
	THIRD			5	20.83		11	45.83		3	12.50		1	4.17			Excluded					4	16.67		24	
		TOTAL		450	52.26		295	34.26		33	3.83		50	5.81								33	3.83		861	
	FOURTH			19	38.00		6	12.00		18	36.00			Excluded								7	14.00		50	
		TOTAL		469	54.47		301	34.96		51	5.92											40	4.65		861	
	FIFTH			14	35.00		4	10.00		22	55.00												Excluded		40	
		TOTAL		483	56.10		305	35.42		73	8.48														861	
	SIXTH			54	73.97		19	26.03			Excluded														73	
		TOTAL		537	62.37		324	37.63																	861	
				Elected																						
																										
Canada Bay                                                     																										
	FIRST			339	48.85		283	40.78		30	4.32		8	1.15		11	1.59		0	0.00		23	3.31		694	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		339	48.85		283	40.78		30	4.32		8	1.15		11	1.59					23	3.31		694	
	THIRD			2	18.18		3	27.27		2	18.18		1	9.09			Excluded					3	27.27		11	
		TOTAL		341	49.14		286	41.21		32	4.61		9	1.30								26	3.75		694	
	FOURTH			5	55.56		0	0.00		3	33.33			Excluded								1	11.11		9	
		TOTAL		346	49.86		286	41.21		35	5.04											27	3.89		694	
	FIFTH			10	37.04		3	11.11		14	51.85												Excluded		27	
		TOTAL		356	51.30		289	41.64		49	7.06														694	
	SIXTH			34	69.39		15	30.61			Excluded														49	
		TOTAL		390	56.20		304	43.80																	694	
				Elected																						
																										
Chiswick                                                       																										
	FIRST			623	40.12		746	48.04		61	3.93		16	1.03		30	1.93		3	0.19		74	4.76		1553	
	SECOND			1	33.33		0	0.00		2	66.67		0	0.00		0	0.00			Excluded		0	0.00		3	
		TOTAL		624	40.18		746	48.04		63	4.06		16	1.03		30	1.93					74	4.76		1553	
	THIRD			9	30.00		13	43.33		3	10.00		2	6.67			Excluded					3	10.00		30	
		TOTAL		633	40.76		759	48.87		66	4.25		18	1.16								77	4.96		1553	
	FOURTH			3	16.67		3	16.67		6	33.33			Excluded								6	33.33		18	
		TOTAL		636	40.95		762	49.07		72	4.64											83	5.34		1553	
	FIFTH			20	24.10		7	8.43		56	67.47												Excluded		83	
		TOTAL		656	42.24		769	49.52		128	8.24														1553	
	SIXTH			83	64.84		45	35.16			Excluded														128	
		TOTAL		739	47.59		814	52.41																	1553	
				Elected																						
																										
Concord                                                        																										
	FIRST			555	54.20		363	35.45		29	2.83		27	2.64		23	2.25		3	0.29		24	2.34		1024	
	SECOND			0	0.00		0	0.00		2	66.67		0	0.00		1	33.33			Excluded		0	0.00		3	
		TOTAL		555	54.20		363	35.45		31	3.03		27	2.64		24	2.34					24	2.34		1024	
	THIRD			4	16.67		12	50.00		3	12.50		1	4.17			Excluded					4	16.67		24	
		TOTAL		559	54.59		375	36.62		34	3.32		28	2.73								28	2.73		1024	
	FOURTH			13	46.43		3	10.71		6	21.43			Excluded								6	21.43		28	
		TOTAL		572	55.86		378	36.91		40	3.91											34	3.32		1024	
	FIFTH			11	32.35		3	8.82		20	58.82												Excluded		34	
		TOTAL		583	56.93		381	37.21		60	5.86														1024	
	SIXTH			44	73.33		16	26.67			Excluded														60	
		TOTAL		627	61.23		397	38.77																	1024	
				Elected																						
																										
Concord Central                                                																										
	FIRST			400	47.90		358	42.87		28	3.35		6	0.72		13	1.56		2	0.24		28	3.35		835	
	SECOND			0	0.00		1	50.00		0	0.00		0	0.00		0	0.00			Excluded		1	50.00		2	
		TOTAL		400	47.90		359	42.99		28	3.35		6	0.72		13	1.56					29	3.47		835	
	THIRD			3	23.08		4	30.77		2	15.38		1	7.69			Excluded					3	23.08		13	
		TOTAL		403	48.26		363	43.47		30	3.59		7	0.84								32	3.83		835	
	FOURTH			3	42.86		1	14.29		1	14.29			Excluded								2	28.57		7	
		TOTAL		406	48.62		364	43.59		31	3.71											34	4.07		835	
	FIFTH			10	29.41		4	11.76		20	58.82												Excluded		34	
		TOTAL		416	49.82		368	44.07		51	6.11														835	
	SIXTH			26	50.98		25	49.02			Excluded														51	
		TOTAL		442	52.93		393	47.07																	835	
				Elected																						
																										
Concord East                                                   																										
	FIRST			1001	43.56		1028	44.73		79	3.44		58	2.52		30	1.31		10	0.44		92	4.00		2298	
	SECOND			1	10.00		0	0.00		1	10.00		0	0.00		0	0.00			Excluded		8	80.00		10	
		TOTAL		1002	43.60		1028	44.73		80	3.48		58	2.52		30	1.31					100	4.35		2298	
	THIRD			3	10.00		10	33.33		1	3.33		1	3.33			Excluded					15	50.00		30	
		TOTAL		1005	43.73		1038	45.17		81	3.52		59	2.57								115	5.00		2298	
	FOURTH			33	55.93		8	13.56		10	16.95			Excluded								8	13.56		59	
		TOTAL		1038	45.17		1046	45.52		91	3.96											123	5.35		2298	
	FIFTH			38	30.89		24	19.51		61	49.59												Excluded		123	
		TOTAL		1076	46.82		1070	46.56		152	6.61														2298	
	SIXTH			111	73.03		41	26.97			Excluded														152	
		TOTAL		1187	51.65		1111	48.35																	2298	
				Elected																						
																										
Concord North                                                  																										
	FIRST			536	43.61		522	42.47		57	4.64		27	2.20		35	2.85		5	0.41		47	3.82		1229	
	SECOND			1	20.00		1	20.00		0	0.00		1	20.00		1	20.00			Excluded		1	20.00		5	
		TOTAL		537	43.69		523	42.55		57	4.64		28	2.28		36	2.93					48	3.91		1229	
	THIRD			4	11.11		14	38.89		2	5.56		4	11.11			Excluded					12	33.33		36	
		TOTAL		541	44.02		537	43.69		59	4.80		32	2.60								60	4.88		1229	
	FOURTH			14	43.75		3	9.38		9	28.13			Excluded								6	18.75		32	
		TOTAL		555	45.16		540	43.94		68	5.53											66	5.37		1229	
	FIFTH			24	36.36		4	6.06		38	57.58												Excluded		66	
		TOTAL		579	47.11		544	44.26		106	8.62														1229	
	SIXTH			69	65.09		37	34.91			Excluded														106	
		TOTAL		648	52.73		581	47.27																	1229	
				Elected																						
																										
Concord Repatriation Hospital                                  																										
	FIRST			71	50.00		60	42.25		7	4.93		0	0.00		2	1.41		0	0.00		2	1.41		142	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		71	50.00		60	42.25		7	4.93		0	0.00		2	1.41					2	1.41		142	
	THIRD			1	50.00		0	0.00		0	0.00		0	0.00			Excluded					1	50.00		2	
		TOTAL		72	50.70		60	42.25		7	4.93		0	0.00								3	2.11		142	
	FOURTH			0	0.00		0	0.00		0	0.00			Excluded								0	0.00		0	
		TOTAL		72	50.70		60	42.25		7	4.93											3	2.11		142	
	FIFTH			1	33.33		2	66.67		0	0.00												Excluded		3	
		TOTAL		73	51.41		62	43.66		7	4.93														142	
	SIXTH			4	57.14		3	42.86			Excluded														7	
		TOTAL		77	54.23		65	45.77																	142	
				Elected																						
																										
Concord West                                                   																										
	FIRST			756	43.05		734	41.80		107	6.09		26	1.48		38	2.16		10	0.57		85	4.84		1756	
	SECOND			3	30.00		0	0.00		0	0.00		1	10.00		0	0.00			Excluded		6	60.00		10	
		TOTAL		759	43.22		734	41.80		107	6.09		27	1.54		38	2.16					91	5.18		1756	
	THIRD			10	26.32		13	34.21		4	10.53		1	2.63			Excluded					10	26.32		38	
		TOTAL		769	43.79		747	42.54		111	6.32		28	1.59								101	5.75		1756	
	FOURTH			9	32.14		3	10.71		11	39.29			Excluded								5	17.86		28	
		TOTAL		778	44.31		750	42.71		122	6.95											106	6.04		1756	
	FIFTH			31	29.25		8	7.55		67	63.21												Excluded		106	
		TOTAL		809	46.07		758	43.17		189	10.76														1756	
	SIXTH			138	73.02		51	26.98			Excluded														189	
		TOTAL		947	53.93		809	46.07																	1756	
				Elected																						
																										
Croydon                                                        																										
	FIRST			444	52.98		290	34.61		48	5.73		14	1.67		8	0.95		2	0.24		32	3.82		838	
	SECOND			1	50.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	50.00		2	
		TOTAL		445	53.10		290	34.61		48	5.73		14	1.67		8	0.95					33	3.94		838	
	THIRD			2	25.00		3	37.50		1	12.50		0	0.00			Excluded					2	25.00		8	
		TOTAL		447	53.34		293	34.96		49	5.85		14	1.67								35	4.18		838	
	FOURTH			5	35.71		2	14.29		4	28.57			Excluded								3	21.43		14	
		TOTAL		452	53.94		295	35.20		53	6.32											38	4.53		838	
	FIFTH			17	44.74		8	21.05		13	34.21												Excluded		38	
		TOTAL		469	55.97		303	36.16		66	7.88														838	
	SIXTH			46	69.70		20	30.30			Excluded														66	
		TOTAL		515	61.46		323	38.54																	838	
				Elected																						
																										
Croydon Park                                                   																										
	FIRST			896	48.30		746	40.22		82	4.42		25	1.35		36	1.94		3	0.16		67	3.61		1855	
	SECOND			1	33.33		0	0.00		1	33.33		0	0.00		0	0.00			Excluded		1	33.33		3	
		TOTAL		897	48.36		746	40.22		83	4.47		25	1.35		36	1.94					68	3.67		1855	
	THIRD			6	16.67		12	33.33		2	5.56		3	8.33			Excluded					13	36.11		36	
		TOTAL		903	48.68		758	40.86		85	4.58		28	1.51								81	4.37		1855	
	FOURTH			11	39.29		4	14.29		10	35.71			Excluded								3	10.71		28	
		TOTAL		914	49.27		762	41.08		95	5.12											84	4.53		1855	
	FIFTH			31	36.90		6	7.14		47	55.95												Excluded		84	
		TOTAL		945	50.94		768	41.40		142	7.65														1855	
	SIXTH			98	69.01		44	30.99			Excluded														142	
		TOTAL		1043	56.23		812	43.77																	1855	
				Elected																						
																										
Croydon South                                                  																										
	FIRST			427	51.57		293	35.39		39	4.71		13	1.57		19	2.29		2	0.24		35	4.23		828	
	SECOND			0	0.00		0	0.00		0	0.00		1	50.00		0	0.00			Excluded		1	50.00		2	
		TOTAL		427	51.57		293	35.39		39	4.71		14	1.69		19	2.29					36	4.35		828	
	THIRD			4	21.05		7	36.84		0	0.00		3	15.79			Excluded					5	26.32		19	
		TOTAL		431	52.05		300	36.23		39	4.71		17	2.05								41	4.95		828	
	FOURTH			8	47.06		1	5.88		7	41.18			Excluded								1	5.88		17	
		TOTAL		439	53.02		301	36.35		46	5.56											42	5.07		828	
	FIFTH			12	28.57		9	21.43		21	50.00												Excluded		42	
		TOTAL		451	54.47		310	37.44		67	8.09														828	
	SIXTH			47	70.15		20	29.85			Excluded														67	
		TOTAL		498	60.14		330	39.86																	828	
				Elected																						
																										
Dobroyd Point                                                  																										
	FIRST			626	45.53		533	38.76		86	6.25		10	0.73		16	1.16		1	0.07		103	7.49		1375	
	SECOND			0	0.00		0	0.00		0	0.00		1	100.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		626	45.53		533	38.76		86	6.25		11	0.80		16	1.16					103	7.49		1375	
	THIRD			8	50.00		1	6.25		1	6.25		2	12.50			Excluded					4	25.00		16	
		TOTAL		634	46.11		534	38.84		87	6.33		13	0.95								107	7.78		1375	
	FOURTH			2	15.38		1	7.69		6	46.15			Excluded								4	30.77		13	
		TOTAL		636	46.25		535	38.91		93	6.76											111	8.07		1375	
	FIFTH			39	35.14		8	7.21		64	57.66												Excluded		111	
		TOTAL		675	49.09		543	39.49		157	11.42														1375	
	SIXTH			117	74.52		40	25.48			Excluded														157	
		TOTAL		792	57.60		583	42.40																	1375	
				Elected																						
																										
Drummoyne                                                      																										
	FIRST			891	41.40		994	46.19		115	5.34		15	0.70		26	1.21		4	0.19		107	4.97		2152	
	SECOND			1	25.00		0	0.00		0	0.00		1	25.00		0	0.00			Excluded		2	50.00		4	
		TOTAL		892	41.45		994	46.19		115	5.34		16	0.74		26	1.21					109	5.07		2152	
	THIRD			5	19.23		5	19.23		8	30.77		1	3.85			Excluded					7	26.92		26	
		TOTAL		897	41.68		999	46.42		123	5.72		17	0.79								116	5.39		2152	
	FOURTH			6	35.29		4	23.53		6	35.29			Excluded								1	5.88		17	
		TOTAL		903	41.96		1003	46.61		129	5.99											117	5.44		2152	
	FIFTH			33	28.21		15	12.82		69	58.97												Excluded		117	
		TOTAL		936	43.49		1018	47.30		198	9.20														2152	
	SIXTH			159	80.30		39	19.70			Excluded														198	
		TOTAL		1095	50.88		1057	49.12																	2152	
				Elected																						
																										
Drummoyne East                                                 																										
	FIRST			342	30.51		656	58.52		62	5.53		4	0.36		10	0.89		2	0.18		45	4.01		1121	
	SECOND			0	0.00		0	0.00		0	0.00		1	50.00		1	50.00			Excluded		0	0.00		2	
		TOTAL		342	30.51		656	58.52		62	5.53		5	0.45		11	0.98					45	4.01		1121	
	THIRD			2	18.18		7	63.64		0	0.00		1	9.09			Excluded					1	9.09		11	
		TOTAL		344	30.69		663	59.14		62	5.53		6	0.54								46	4.10		1121	
	FOURTH			2	33.33		2	33.33		2	33.33			Excluded								0	0.00		6	
		TOTAL		346	30.87		665	59.32		64	5.71											46	4.10		1121	
	FIFTH			8	17.39		5	10.87		33	71.74												Excluded		46	
		TOTAL		354	31.58		670	59.77		97	8.65														1121	
	SIXTH			67	69.07		30	30.93			Excluded														97	
		TOTAL		421	37.56		700	62.44																	1121	
				Elected																						
																										
Drummoyne North                                                																										
	FIRST			877	34.37		1298	50.86		162	6.35		21	0.82		42	1.65		9	0.35		143	5.60		2552	
	SECOND			0	0.00		0	0.00		4	44.44		1	11.11		0	0.00			Excluded		4	44.44		9	
		TOTAL		877	34.37		1298	50.86		166	6.50		22	0.86		42	1.65					147	5.76		2552	
	THIRD			10	23.81		16	38.10		1	2.38		1	2.38			Excluded					14	33.33		42	
		TOTAL		887	34.76		1314	51.49		167	6.54		23	0.90								161	6.31		2552	
	FOURTH			10	43.48		5	21.74		6	26.09			Excluded								2	8.70		23	
		TOTAL		897	35.15		1319	51.68		173	6.78											163	6.39		2552	
	FIFTH			42	25.77		24	14.72		97	59.51												Excluded		163	
		TOTAL		939	36.79		1343	52.63		270	10.58														2552	
	SIXTH			203	75.19		67	24.81			Excluded														270	
		TOTAL		1142	44.75		1410	55.25																	2552	
				Elected																						
																										
Enfield                                                        																										
	FIRST			997	53.83		625	33.75		57	3.08		56	3.02		40	2.16		7	0.38		70	3.78		1852	
	SECOND			1	14.29		0	0.00		1	14.29		0	0.00		0	0.00			Excluded		5	71.43		7	
		TOTAL		998	53.89		625	33.75		58	3.13		56	3.02		40	2.16					75	4.05		1852	
	THIRD			7	17.50		12	30.00		2	5.00		4	10.00			Excluded					15	37.50		40	
		TOTAL		1005	54.27		637	34.40		60	3.24		60	3.24								90	4.86		1852	
	FOURTH			16	26.67		6	10.00		33	55.00			Excluded								5	8.33		60	
		TOTAL		1021	55.13		643	34.72		93	5.02											95	5.13		1852	
	FIFTH			27	28.42		16	16.84		52	54.74												Excluded		95	
		TOTAL		1048	56.59		659	35.58		145	7.83														1852	
	SIXTH			107	73.79		38	26.21			Excluded														145	
		TOTAL		1155	62.37		697	37.63																	1852	
				Elected																						
																										
Enfield South                                                  																										
	FIRST			341	44.69		325	42.60		27	3.54		19	2.49		21	2.75		2	0.26		28	3.67		763	
	SECOND			0	0.00		0	0.00		1	50.00		1	50.00		0	0.00			Excluded		0	0.00		2	
		TOTAL		341	44.69		325	42.60		28	3.67		20	2.62		21	2.75					28	3.67		763	
	THIRD			6	28.57		9	42.86		2	9.52		0	0.00			Excluded					4	19.05		21	
		TOTAL		347	45.48		334	43.77		30	3.93		20	2.62								32	4.19		763	
	FOURTH			7	35.00		2	10.00		8	40.00			Excluded								3	15.00		20	
		TOTAL		354	46.40		336	44.04		38	4.98											35	4.59		763	
	FIFTH			9	25.71		7	20.00		19	54.29												Excluded		35	
		TOTAL		363	47.58		343	44.95		57	7.47														763	
	SIXTH			39	68.42		18	31.58			Excluded														57	
		TOTAL		402	52.69		361	47.31																	763	
				Elected																						
																										
Five Dock                                                      																										
	FIRST			981	51.44		712	37.34		80	4.20		8	0.42		32	1.68		7	0.37		87	4.56		1907	
	SECOND			0	0.00		0	0.00		2	28.57		0	0.00		1	14.29			Excluded		4	57.14		7	
		TOTAL		981	51.44		712	37.34		82	4.30		8	0.42		33	1.73					91	4.77		1907	
	THIRD			9	27.27		10	30.30		1	3.03		5	15.15			Excluded					8	24.24		33	
		TOTAL		990	51.91		722	37.86		83	4.35		13	0.68								99	5.19		1907	
	FOURTH			7	53.85		3	23.08		2	15.38			Excluded								1	7.69		13	
		TOTAL		997	52.28		725	38.02		85	4.46											100	5.24		1907	
	FIFTH			42	42.00		15	15.00		43	43.00												Excluded		100	
		TOTAL		1039	54.48		740	38.80		128	6.71														1907	
	SIXTH			79	61.72		49	38.28			Excluded														128	
		TOTAL		1118	58.63		789	41.37																	1907	
				Elected																						
																										
Five Dock Central                                              																										
	FIRST			1019	47.95		843	39.67		117	5.51		19	0.89		26	1.22		8	0.38		93	4.38		2125	
	SECOND			2	25.00		0	0.00		2	25.00		0	0.00		1	12.50			Excluded		3	37.50		8	
		TOTAL		1021	48.05		843	39.67		119	5.60		19	0.89		27	1.27					96	4.52		2125	
	THIRD			8	29.63		14	51.85		0	0.00		2	7.41			Excluded					3	11.11		27	
		TOTAL		1029	48.42		857	40.33		119	5.60		21	0.99								99	4.66		2125	
	FOURTH			5	23.81		5	23.81		8	38.10			Excluded								3	14.29		21	
		TOTAL		1034	48.66		862	40.56		127	5.98											102	4.80		2125	
	FIFTH			29	28.43		15	14.71		58	56.86												Excluded		102	
		TOTAL		1063	50.02		877	41.27		185	8.71														2125	
	SIXTH			140	75.68		45	24.32			Excluded														185	
		TOTAL		1203	56.61		922	43.39																	2125	
				Elected																						
																										
Flemington                                                     																										
	FIRST			676	61.23		278	25.18		19	1.72		75	6.79		31	2.81		2	0.18		23	2.08		1104	
	SECOND			1	50.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	50.00		2	
		TOTAL		677	61.32		278	25.18		19	1.72		75	6.79		31	2.81					24	2.17		1104	
	THIRD			4	12.90		8	25.81		2	6.45		4	12.90			Excluded					13	41.94		31	
		TOTAL		681	61.68		286	25.91		21	1.90		79	7.16								37	3.35		1104	
	FOURTH			33	41.77		5	6.33		34	43.04			Excluded								7	8.86		79	
		TOTAL		714	64.67		291	26.36		55	4.98											44	3.99		1104	
	FIFTH			12	27.27		10	22.73		22	50.00												Excluded		44	
		TOTAL		726	65.76		301	27.26		77	6.97														1104	
	SIXTH			55	71.43		22	28.57			Excluded														77	
		TOTAL		781	70.74		323	29.26																	1104	
				Elected																						
																										
Haberfield                                                     																										
	FIRST			705	49.30		531	37.13		57	3.99		13	0.91		24	1.68		10	0.70		90	6.29		1430	
	SECOND			1	10.00		0	0.00		2	20.00		0	0.00		1	10.00			Excluded		6	60.00		10	
		TOTAL		706	49.37		531	37.13		59	4.13		13	0.91		25	1.75					96	6.71		1430	
	THIRD			3	12.00		4	16.00		2	8.00		0	0.00			Excluded					16	64.00		25	
		TOTAL		709	49.58		535	37.41		61	4.27		13	0.91								112	7.83		1430	
	FOURTH			5	38.46		0	0.00		2	15.38			Excluded								6	46.15		13	
		TOTAL		714	49.93		535	37.41		63	4.41											118	8.25		1430	
	FIFTH			35	29.66		15	12.71		68	57.63												Excluded		118	
		TOTAL		749	52.38		550	38.46		131	9.16														1430	
	SIXTH			100	76.34		31	23.66			Excluded														131	
		TOTAL		849	59.37		581	40.63																	1430	
				Elected																						
																										
Haberfield West                                                																										
	FIRST			483	49.24		382	38.94		48	4.89		7	0.71		13	1.33		2	0.20		46	4.69		981	
	SECOND			0	0.00		1	50.00		1	50.00		0	0.00		0	0.00			Excluded		0	0.00		2	
		TOTAL		483	49.24		383	39.04		49	4.99		7	0.71		13	1.33					46	4.69		981	
	THIRD			6	46.15		2	15.38		1	7.69		2	15.38			Excluded					2	15.38		13	
		TOTAL		489	49.85		385	39.25		50	5.10		9	0.92								48	4.89		981	
	FOURTH			3	33.33		2	22.22		2	22.22			Excluded								2	22.22		9	
		TOTAL		492	50.15		387	39.45		52	5.30											50	5.10		981	
	FIFTH			15	30.00		6	12.00		29	58.00												Excluded		50	
		TOTAL		507	51.68		393	40.06		81	8.26														981	
	SIXTH			64	79.01		17	20.99			Excluded														81	
		TOTAL		571	58.21		410	41.79																	981	
				Elected																						
																										
Homebush                                                       																										
	FIRST			1111	48.49		912	39.81		84	3.67		53	2.31		32	1.40		19	0.83		80	3.49		2291	
	SECOND			5	26.32		0	0.00		1	5.26		4	21.05		0	0.00			Excluded		9	47.37		19	
		TOTAL		1116	48.71		912	39.81		85	3.71		57	2.49		32	1.40					89	3.88		2291	
	THIRD			4	12.50		17	53.13		5	15.63		1	3.13			Excluded					5	15.63		32	
		TOTAL		1120	48.89		929	40.55		90	3.93		58	2.53								94	4.10		2291	
	FOURTH			21	36.21		4	6.90		23	39.66			Excluded								10	17.24		58	
		TOTAL		1141	49.80		933	40.72		113	4.93											104	4.54		2291	
	FIFTH			31	29.81		12	11.54		61	58.65												Excluded		104	
		TOTAL		1172	51.16		945	41.25		174	7.59														2291	
	SIXTH			129	74.14		45	25.86			Excluded														174	
		TOTAL		1301	56.79		990	43.21																	2291	
				Elected																						
																										
Homebush North                                                 																										
	FIRST			251	55.16		142	31.21		21	4.62		15	3.30		11	2.42		0	0.00		15	3.30		455	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		251	55.16		142	31.21		21	4.62		15	3.30		11	2.42					15	3.30		455	
	THIRD			1	9.09		6	54.55		4	36.36		0	0.00			Excluded					0	0.00		11	
		TOTAL		252	55.38		148	32.53		25	5.49		15	3.30								15	3.30		455	
	FOURTH			7	46.67		2	13.33		1	6.67			Excluded								5	33.33		15	
		TOTAL		259	56.92		150	32.97		26	5.71											20	4.40		455	
	FIFTH			4	20.00		5	25.00		11	55.00												Excluded		20	
		TOTAL		263	57.80		155	34.07		37	8.13														455	
	SIXTH			32	86.49		5	13.51			Excluded														37	
		TOTAL		295	64.84		160	35.16																	455	
				Elected																						
																										
Homebush South                                                 																										
	FIRST			202	33.78		345	57.69		17	2.84		4	0.67		11	1.84		1	0.17		18	3.01		598	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	100.00		1	
		TOTAL		202	33.78		345	57.69		17	2.84		4	0.67		11	1.84					19	3.18		598	
	THIRD			1	9.09		6	54.55		2	18.18		0	0.00			Excluded					2	18.18		11	
		TOTAL		203	33.95		351	58.70		19	3.18		4	0.67								21	3.51		598	
	FOURTH			3	75.00		1	25.00		0	0.00			Excluded								0	0.00		4	
		TOTAL		206	34.45		352	58.86		19	3.18											21	3.51		598	
	FIFTH			10	47.62		2	9.52		9	42.86												Excluded		21	
		TOTAL		216	36.12		354	59.20		28	4.68														598	
