House of Representatives - 2001 Election: New South Wales																									
Distribution of Preferences 																									
By Polling Place																									
																									
Barton																									
				BRENNAN			LAU			RYDSTRAND			HARRIS			BARKER			MCCLELLAND			ADAIR			
Athelstane                                                     																									
	FIRST			616	24.63		27	1.08		82	3.28		101	4.04		23	0.92		1558	62.30		94	3.76		2501
	SECOND			10	43.48		3	13.04		2	8.70		4	17.39			Excluded		1	4.35		3	13.04		23
		TOTAL		626	25.03		30	1.20		84	3.36		105	4.20					1559	62.34		97	3.88		2501
	THIRD			6	20.00			Excluded		4	13.33		6	20.00					5	16.67		9	30.00		30
		TOTAL		632	25.27					88	3.52		111	4.44					1564	62.53		106	4.24		2501
	FOURTH			17	15.32					5	4.50			Excluded					38	34.23		51	45.95		111
		TOTAL		649	25.95					93	3.72								1602	64.05		157	6.28		2501
	FIFTH			60	64.52						Excluded								21	22.58		12	12.90		93
		TOTAL		709	28.35														1623	64.89		169	6.76		2501
	SIXTH			52	30.77														117	69.23			Excluded		169
		TOTAL		761	30.43														1740	69.57					2501
																			Elected						
																									
Bald Face                                                      																									
	FIRST			1063	67.88		25	1.60		39	2.49		22	1.40		24	1.53		338	21.58		55	3.51		1566
	SECOND			8	33.33		1	4.17		10	41.67		0	0.00			Excluded		2	8.33		3	12.50		24
		TOTAL		1071	68.39		26	1.66		49	3.13		22	1.40					340	21.71		58	3.70		1566
	THIRD			9	34.62			Excluded		1	3.85		4	15.38					11	42.31		1	3.85		26
		TOTAL		1080	68.97					50	3.19		26	1.66					351	22.41		59	3.77		1566
	FOURTH			3	11.54					3	11.54			Excluded					8	30.77		12	46.15		26
		TOTAL		1083	69.16					53	3.38								359	22.92		71	4.53		1566
	FIFTH			42	79.25						Excluded								6	11.32		5	9.43		53
		TOTAL		1125	71.84														365	23.31		76	4.85		1566
	SIXTH			24	31.58														52	68.42			Excluded		76
		TOTAL		1149	73.37														417	26.63					1566
																			Elected						
																									
Banksia                                                        																									
	FIRST			347	20.65		11	0.65		83	4.94		40	2.38		18	1.07		1146	68.21		35	2.08		1680
	SECOND			6	33.33		2	11.11		2	11.11		2	11.11			Excluded		5	27.78		1	5.56		18
		TOTAL		353	21.01		13	0.77		85	5.06		42	2.50					1151	68.51		36	2.14		1680
	THIRD			3	23.08			Excluded		2	15.38		1	7.69					3	23.08		4	30.77		13
		TOTAL		356	21.19					87	5.18		43	2.56					1154	68.69		40	2.38		1680
	FOURTH			8	18.60					7	16.28			Excluded					12	27.91		16	37.21		43
		TOTAL		364	21.67					94	5.60								1166	69.40		56	3.33		1680
	FIFTH			57	60.64						Excluded								18	19.15		19	20.21		94
		TOTAL		421	25.06														1184	70.48		75	4.46		1680
	SIXTH			17	22.67														58	77.33			Excluded		75
		TOTAL		438	26.07														1242	73.93					1680
																			Elected						
																									
Bell Park                                                      																									
	FIRST			276	39.60		15	2.15		34	4.88		44	6.31		12	1.72		287	41.18		29	4.16		697
	SECOND			7	58.33		0	0.00		4	33.33		1	8.33			Excluded		0	0.00		0	0.00		12
		TOTAL		283	40.60		15	2.15		38	5.45		45	6.46					287	41.18		29	4.16		697
	THIRD			1	6.67			Excluded		0	0.00		2	13.33					9	60.00		3	20.00		15
		TOTAL		284	40.75					38	5.45		47	6.74					296	42.47		32	4.59		697
	FOURTH			4	8.51					4	8.51			Excluded					21	44.68		18	38.30		47
		TOTAL		288	41.32					42	6.03								317	45.48		50	7.17		697
	FIFTH			27	64.29						Excluded								8	19.05		7	16.67		42
		TOTAL		315	45.19														325	46.63		57	8.18		697
	SIXTH			25	43.86														32	56.14			Excluded		57
		TOTAL		340	48.78														357	51.22					697
																			Elected						
																									
Bexley                                                         																									
	FIRST			769	33.08		34	1.46		95	4.09		51	2.19		28	1.20		1209	52.00		139	5.98		2325
	SECOND			8	28.57		2	7.14		6	21.43		3	10.71			Excluded		6	21.43		3	10.71		28
		TOTAL		777	33.42		36	1.55		101	4.34		54	2.32					1215	52.26		142	6.11		2325
	THIRD			6	16.67			Excluded		1	2.78		3	8.33					9	25.00		17	47.22		36
		TOTAL		783	33.68					102	4.39		57	2.45					1224	52.65		159	6.84		2325
	FOURTH			3	5.26					5	8.77			Excluded					22	38.60		27	47.37		57
		TOTAL		786	33.81					107	4.60								1246	53.59		186	8.00		2325
	FIFTH			73	68.22						Excluded								23	21.50		11	10.28		107
		TOTAL		859	36.95														1269	54.58		197	8.47		2325
	SIXTH			57	28.93														140	71.07			Excluded		197
		TOTAL		916	39.40														1409	60.60					2325
																			Elected						
																									
Bexley Central                                                 																									
	FIRST			277	32.21		5	0.58		38	4.42		23	2.67		9	1.05		472	54.88		36	4.19		860
	SECOND			2	22.22		0	0.00		1	11.11		2	22.22			Excluded		3	33.33		1	11.11		9
		TOTAL		279	32.44		5	0.58		39	4.53		25	2.91					475	55.23		37	4.30		860
	THIRD			1	20.00			Excluded		0	0.00		0	0.00					2	40.00		2	40.00		5
		TOTAL		280	32.56					39	4.53		25	2.91					477	55.47		39	4.53		860
	FOURTH			4	16.00					0	0.00			Excluded					11	44.00		10	40.00		25
		TOTAL		284	33.02					39	4.53								488	56.74		49	5.70		860
	FIFTH			18	46.15						Excluded								18	46.15		3	7.69		39
		TOTAL		302	35.12														506	58.84		52	6.05		860
	SIXTH			13	25.00														39	75.00			Excluded		52
		TOTAL		315	36.63														545	63.37					860
																			Elected						
																									
Bexley East                                                    																									
	FIRST			334	27.47		19	1.56		43	3.54		34	2.80		25	2.06		712	58.55		49	4.03		1216
	SECOND			12	48.00		0	0.00		4	16.00		2	8.00			Excluded		5	20.00		2	8.00		25
		TOTAL		346	28.45		19	1.56		47	3.87		36	2.96					717	58.96		51	4.19		1216
	THIRD			2	10.53			Excluded		1	5.26		5	26.32					7	36.84		4	21.05		19
		TOTAL		348	28.62					48	3.95		41	3.37					724	59.54		55	4.52		1216
	FOURTH			8	19.51					2	4.88			Excluded					14	34.15		17	41.46		41
		TOTAL		356	29.28					50	4.11								738	60.69		72	5.92		1216
	FIFTH			29	58.00						Excluded								12	24.00		9	18.00		50
		TOTAL		385	31.66														750	61.68		81	6.66		1216
	SIXTH			20	24.69														61	75.31			Excluded		81
		TOTAL		405	33.31														811	66.69					1216
																			Elected						
																									
Bexley South                                                   																									
	FIRST			104	27.08		15	3.91		9	2.34		8	2.08		8	2.08		213	55.47		27	7.03		384
	SECOND			3	37.50		0	0.00		2	25.00		0	0.00			Excluded		2	25.00		1	12.50		8
		TOTAL		107	27.86		15	3.91		11	2.86		8	2.08					215	55.99		28	7.29		384
	THIRD			0	0.00			Excluded		2	13.33		1	6.67					11	73.33		1	6.67		15
		TOTAL		107	27.86					13	3.39		9	2.34					226	58.85		29	7.55		384
	FOURTH			0	0.00					0	0.00			Excluded					6	66.67		3	33.33		9
		TOTAL		107	27.86					13	3.39								232	60.42		32	8.33		384
	FIFTH			6	46.15						Excluded								3	23.08		4	30.77		13
		TOTAL		113	29.43														235	61.20		36	9.38		384
	SIXTH			10	27.78														26	72.22			Excluded		36
		TOTAL		123	32.03														261	67.97					384
																			Elected						
																									
Blakehurst                                                     																									
	FIRST			402	48.85		11	1.34		24	2.92		26	3.16		23	2.79		297	36.09		40	4.86		823
	SECOND			3	13.04		4	17.39		10	43.48		3	13.04			Excluded		3	13.04		0	0.00		23
		TOTAL		405	49.21		15	1.82		34	4.13		29	3.52					300	36.45		40	4.86		823
	THIRD			3	20.00			Excluded		0	0.00		1	6.67					10	66.67		1	6.67		15
		TOTAL		408	49.57					34	4.13		30	3.65					310	37.67		41	4.98		823
	FOURTH			7	23.33					1	3.33			Excluded					8	26.67		14	46.67		30
		TOTAL		415	50.43					35	4.25								318	38.64		55	6.68		823
	FIFTH			24	68.57						Excluded								7	20.00		4	11.43		35
		TOTAL		439	53.34														325	39.49		59	7.17		823
	SIXTH			13	22.03														46	77.97			Excluded		59
		TOTAL		452	54.92														371	45.08					823
																			Elected						
																									
Bona Park                                                      																									
	FIRST			313	44.52		1	0.14		30	4.27		12	1.71		8	1.14		321	45.66		18	2.56		703
	SECOND			1	12.50		0	0.00		6	75.00		1	12.50			Excluded		0	0.00		0	0.00		8
		TOTAL		314	44.67		1	0.14		36	5.12		13	1.85					321	45.66		18	2.56		703
	THIRD			0	0.00			Excluded		0	0.00		0	0.00					1	100.00		0	0.00		1
		TOTAL		314	44.67					36	5.12		13	1.85					322	45.80		18	2.56		703
	FOURTH			3	23.08					1	7.69			Excluded					5	38.46		4	30.77		13
		TOTAL		317	45.09					37	5.26								327	46.51		22	3.13		703
	FIFTH			28	75.68						Excluded								7	18.92		2	5.41		37
		TOTAL		345	49.08														334	47.51		24	3.41		703
	SIXTH			6	25.00														18	75.00			Excluded		24
		TOTAL		351	49.93														352	50.07					703
																			Elected						
																									
Brighton North                                                 																									
	FIRST			453	40.88		5	0.45		49	4.42		20	1.81		14	1.26		515	46.48		52	4.69		1108
	SECOND			4	28.57		0	0.00		2	14.29		3	21.43			Excluded		3	21.43		2	14.29		14
		TOTAL		457	41.25		5	0.45		51	4.60		23	2.08					518	46.75		54	4.87		1108
	THIRD			2	40.00			Excluded		0	0.00		2	40.00					1	20.00		0	0.00		5
		TOTAL		459	41.43					51	4.60		25	2.26					519	46.84		54	4.87		1108
	FOURTH			3	12.00					2	8.00			Excluded					6	24.00		14	56.00		25
		TOTAL		462	41.70					53	4.78								525	47.38		68	6.14		1108
	FIFTH			37	69.81						Excluded								12	22.64		4	7.55		53
		TOTAL		499	45.04														537	48.47		72	6.50		1108
	SIXTH			23	31.94														49	68.06			Excluded		72
		TOTAL		522	47.11														586	52.89					1108
																			Elected						
																									
Brighton-Le-Sands                                              																									
	FIRST			885	34.61		28	1.10		98	3.83		62	2.42		24	0.94		1333	52.13		127	4.97		2557
	SECOND			9	37.50		1	4.17		7	29.17		3	12.50			Excluded		4	16.67		0	0.00		24
		TOTAL		894	34.96		29	1.13		105	4.11		65	2.54					1337	52.29		127	4.97		2557
	THIRD			7	24.14			Excluded		1	3.45		8	27.59					9	31.03		4	13.79		29
		TOTAL		901	35.24					106	4.15		73	2.85					1346	52.64		131	5.12		2557
	FOURTH			9	12.33					10	13.70			Excluded					24	32.88		30	41.10		73
		TOTAL		910	35.59					116	4.54								1370	53.58		161	6.30		2557
	FIFTH			82	70.69						Excluded								21	18.10		13	11.21		116
		TOTAL		992	38.80														1391	54.40		174	6.80		2557
	SIXTH			52	29.89														122	70.11			Excluded		174
		TOTAL		1044	40.83														1513	59.17					2557
																			Elected						
																									
Carlton                                                        																									
	FIRST			704	27.23		84	3.25		68	2.63		77	2.98		32	1.24		1527	59.07		93	3.60		2585
	SECOND			12	37.50		3	9.38		3	9.38		6	18.75			Excluded		6	18.75		2	6.25		32
		TOTAL		716	27.70		87	3.37		71	2.75		83	3.21					1533	59.30		95	3.68		2585
	THIRD			33	37.93			Excluded		5	5.75		6	6.90					29	33.33		14	16.09		87
		TOTAL		749	28.97					76	2.94		89	3.44					1562	60.43		109	4.22		2585
	FOURTH			14	15.73					8	8.99			Excluded					20	22.47		47	52.81		89
		TOTAL		763	29.52					84	3.25								1582	61.20		156	6.03		2585
	FIFTH			58	69.05						Excluded								17	20.24		9	10.71		84
		TOTAL		821	31.76														1599	61.86		165	6.38		2585
	SIXTH			51	30.91														114	69.09			Excluded		165
		TOTAL		872	33.73														1713	66.27					2585
																			Elected						
																									
Carlton North                                                  																									
	FIRST			308	27.87		46	4.16		49	4.43		24	2.17		12	1.09		614	55.57		52	4.71		1105
	SECOND			8	66.67		0	0.00		0	0.00		2	16.67			Excluded		1	8.33		1	8.33		12
		TOTAL		316	28.60		46	4.16		49	4.43		26	2.35					615	55.66		53	4.80		1105
	THIRD			9	19.57			Excluded		2	4.35		5	10.87					25	54.35		5	10.87		46
		TOTAL		325	29.41					51	4.62		31	2.81					640	57.92		58	5.25		1105
	FOURTH			6	19.35					1	3.23			Excluded					13	41.94		11	35.48		31
		TOTAL		331	29.95					52	4.71								653	59.10		69	6.24		1105
	FIFTH			27	51.92						Excluded								19	36.54		6	11.54		52
		TOTAL		358	32.40														672	60.81		75	6.79		1105
	SIXTH			18	24.00														57	76.00			Excluded		75
		TOTAL		376	34.03														729	65.97					1105
																			Elected						
																									
Carss Park                                                     																									
	FIRST			504	58.33		2	0.23		24	2.78		26	3.01		8	0.93		267	30.90		33	3.82		864
	SECOND			4	50.00		0	0.00		2	25.00		1	12.50			Excluded		0	0.00		1	12.50		8
		TOTAL		508	58.80		2	0.23		26	3.01		27	3.13					267	30.90		34	3.94		864
	THIRD			1	50.00			Excluded		0	0.00		1	50.00					0	0.00		0	0.00		2
		TOTAL		509	58.91					26	3.01		28	3.24					267	30.90		34	3.94		864
	FOURTH			4	14.29					1	3.57			Excluded					12	42.86		11	39.29		28
		TOTAL		513	59.38					27	3.13								279	32.29		45	5.21		864
	FIFTH			16	59.26						Excluded								8	29.63		3	11.11		27
		TOTAL		529	61.23														287	33.22		48	5.56		864
	SIXTH			16	33.33														32	66.67			Excluded		48
		TOTAL		545	63.08														319	36.92					864
																			Elected						
																									
Clareville Park                                                																									
	FIRST			1113	52.20		7	0.33		91	4.27		52	2.44		19	0.89		782	36.68		68	3.19		2132
	SECOND			7	36.84		1	5.26		9	47.37		0	0.00			Excluded		2	10.53		0	0.00		19
		TOTAL		1120	52.53		8	0.38		100	4.69		52	2.44					784	36.77		68	3.19		2132
	THIRD			2	25.00			Excluded		1	12.50		3	37.50					1	12.50		1	12.50		8
		TOTAL		1122	52.63					101	4.74		55	2.58					785	36.82		69	3.24		2132
	FOURTH			9	16.36					7	12.73			Excluded					16	29.09		23	41.82		55
		TOTAL		1131	53.05					108	5.07								801	37.57		92	4.32		2132
	FIFTH			62	57.41						Excluded								29	26.85		17	15.74		108
		TOTAL		1193	55.96														830	38.93		109	5.11		2132
	SIXTH			42	38.53														67	61.47			Excluded		109
		TOTAL		1235	57.93														897	42.07					2132
																			Elected						
																									
Connells Point                                                 																									
	FIRST			1671	60.13		23	0.83		74	2.66		63	2.27		46	1.66		767	27.60		135	4.86		2779
	SECOND			28	60.87		1	2.17		7	15.22		0	0.00			Excluded		7	15.22		3	6.52		46
		TOTAL		1699	61.14		24	0.86		81	2.91		63	2.27					774	27.85		138	4.97		2779
	THIRD			4	16.67			Excluded		3	12.50		1	4.17					14	58.33		2	8.33		24
		TOTAL		1703	61.28					84	3.02		64	2.30					788	28.36		140	5.04		2779
	FOURTH			11	17.19					2	3.13			Excluded					21	32.81		30	46.88		64
		TOTAL		1714	61.68					86	3.09								809	29.11		170	6.12		2779
	FIFTH			61	70.93						Excluded								16	18.60		9	10.47		86
		TOTAL		1775	63.87														825	29.69		179	6.44		2779
	SIXTH			54	30.17														125	69.83			Excluded		179
		TOTAL		1829	65.82														950	34.18					2779
																			Elected						
																									
Hurstville Central                                             																									
	FIRST			460	33.24		81	5.85		53	3.83		28	2.02		15	1.08		687	49.64		60	4.34		1384
	SECOND			6	40.00		1	6.67		0	0.00		4	26.67			Excluded		2	13.33		2	13.33		15
		TOTAL		466	33.67		82	5.92		53	3.83		32	2.31					689	49.78		62	4.48		1384
	THIRD			27	32.93			Excluded		1	1.22		5	6.10					36	43.90		13	15.85		82
		TOTAL		493	35.62					54	3.90		37	2.67					725	52.38		75	5.42		1384
	FOURTH			4	10.81					1	2.70			Excluded					13	35.14		19	51.35		37
		TOTAL		497	35.91					55	3.97								738	53.32		94	6.79		1384
	FIFTH			25	45.45						Excluded								19	34.55		11	20.00		55
		TOTAL		522	37.72														757	54.70		105	7.59		1384
	SIXTH			27	25.71														78	74.29			Excluded		105
		TOTAL		549	39.67														835	60.33					1384
																			Elected						
																									
Hurstville Grove                                               																									
	FIRST			957	44.06		18	0.83		103	4.74		59	2.72		54	2.49		826	38.03		155	7.14		2172
	SECOND			18	33.33		1	1.85		9	16.67		7	12.96			Excluded		9	16.67		10	18.52		54
		TOTAL		975	44.89		19	0.87		112	5.16		66	3.04					835	38.44		165	7.60		2172
	THIRD			5	26.32			Excluded		2	10.53		0	0.00					8	42.11		4	21.05		19
		TOTAL		980	45.12					114	5.25		66	3.04					843	38.81		169	7.78		2172
	FOURTH			10	15.15					7	10.61			Excluded					21	31.82		28	42.42		66
		TOTAL		990	45.58					121	5.57								864	39.78		197	9.07		2172
	FIFTH			81	66.94						Excluded								26	21.49		14	11.57		121
		TOTAL		1071	49.31														890	40.98		211	9.71		2172
	SIXTH			77	36.49														134	63.51			Excluded		211
		TOTAL		1148	52.85														1024	47.15					2172
																			Elected						
																									
Hurstville South                                               																									
	FIRST			206	37.05		16	2.88		17	3.06		17	3.06		13	2.34		256	46.04		31	5.58		556
	SECOND			3	23.08		1	7.69		4	30.77		1	7.69			Excluded		3	23.08		1	7.69		13
		TOTAL		209	37.59		17	3.06		21	3.78		18	3.24					259	46.58		32	5.76		556
	THIRD			10	58.82			Excluded		1	5.88		1	5.88					4	23.53		1	5.88		17
		TOTAL		219	39.39					22	3.96		19	3.42					263	47.30		33	5.94		556
	FOURTH			2	10.53					0	0.00			Excluded					11	57.89		6	31.58		19
		TOTAL		221	39.75					22	3.96								274	49.28		39	7.01		556
	FIFTH			15	68.18						Excluded								3	13.64		4	18.18		22
		TOTAL		236	42.45														277	49.82		43	7.73		556
	SIXTH			13	30.23														30	69.77			Excluded		43
		TOTAL		249	44.78														307	55.22					556
																			Elected						
																									
Jubilee                                                        																									
	FIRST			1066	35.24		58	1.92		88	2.91		94	3.11		44	1.45		1546	51.11		129	4.26		3025
	SECOND			17	38.64		4	9.09		6	13.64		4	9.09			Excluded		5	11.36		8	18.18		44
		TOTAL		1083	35.80		62	2.05		94	3.11		98	3.24					1551	51.27		137	4.53		3025
	THIRD			9	14.52			Excluded		2	3.23		9	14.52					25	40.32		17	27.42		62
		TOTAL		1092	36.10					96	3.17		107	3.54					1576	52.10		154	5.09		3025
	FOURTH			19	17.76					7	6.54			Excluded					51	47.66		30	28.04		107
		TOTAL		1111	36.73					103	3.40								1627	53.79		184	6.08		3025
	FIFTH			72	69.90						Excluded								22	21.36		9	8.74		103
		TOTAL		1183	39.11														1649	54.51		193	6.38		3025
	SIXTH			50	25.91														143	74.09			Excluded		193
		TOTAL		1233	40.76														1792	59.24					3025
																			Elected						
																									
Kogarah                                                        																									
	FIRST			222	27.17		21	2.57		31	3.79		22	2.69		14	1.71		472	57.77		35	4.28		817
	SECOND			4	28.57		0	0.00		3	21.43		1	7.14			Excluded		4	28.57		2	14.29		14
		TOTAL		226	27.66		21	2.57		34	4.16		23	2.82					476	58.26		37	4.53		817
	THIRD			5	23.81			Excluded		0	0.00		3	14.29					11	52.38		2	9.52		21
		TOTAL		231	28.27					34	4.16		26	3.18					487	59.61		39	4.77		817
	FOURTH			1	3.85					1	3.85			Excluded					13	50.00		11	42.31		26
		TOTAL		232	28.40					35	4.28								500	61.20		50	6.12		817
	FIFTH			19	54.29						Excluded								7	20.00		9	25.71		35
		TOTAL		251	30.72														507	62.06		59	7.22		817
	SIXTH			16	27.12														43	72.88			Excluded		59
		TOTAL		267	32.68														550	67.32					817
																			Elected						
																									
Kogarah Bay                                                    																									
	FIRST			478	49.90		9	0.94		47	4.91		11	1.15		9	0.94		379	39.56		25	2.61		958
	SECOND			5	55.56		0	0.00		0	0.00		1	11.11			Excluded		1	11.11		2	22.22		9
		TOTAL		483	50.42		9	0.94		47	4.91		12	1.25					380	39.67		27	2.82		958
	THIRD			1	11.11			Excluded		2	22.22		0	0.00					6	66.67		0	0.00		9
		TOTAL		484	50.52					49	5.11		12	1.25					386	40.29		27	2.82		958
	FOURTH			3	25.00					4	33.33			Excluded					2	16.67		3	25.00		12
		TOTAL		487	50.84					53	5.53								388	40.50		30	3.13		958
	FIFTH			38	71.70						Excluded								10	18.87		5	9.43		53
		TOTAL		525	54.80														398	41.54		35	3.65		958
	SIXTH			14	40.00														21	60.00			Excluded		35
		TOTAL		539	56.26														419	43.74					958
																			Elected						
																									
Kogarah Central                                                																									
	FIRST			367	23.04		78	4.90		33	2.07		52	3.26		25	1.57		945	59.32		93	5.84		1593
	SECOND			7	28.00		4	16.00		3	12.00		2	8.00			Excluded		3	12.00		6	24.00		25
		TOTAL		374	23.48		82	5.15		36	2.26		54	3.39					948	59.51		99	6.21		1593
	THIRD			11	13.41			Excluded		0	0.00		12	14.63					43	52.44		16	19.51		82
		TOTAL		385	24.17					36	2.26		66	4.14					991	62.21		115	7.22		1593
	FOURTH			2	3.03					9	13.64			Excluded					26	39.39		29	43.94		66
		TOTAL		387	24.29					45	2.82								1017	63.84		144	9.04		1593
	FIFTH			23	51.11						Excluded								13	28.89		9	20.00		45
		TOTAL		410	25.74														1030	64.66		153	9.60		1593
	SIXTH			43	28.10														110	71.90			Excluded		153
		TOTAL		453	28.44														1140	71.56					1593
																			Elected						
																									
Kyeemagh                                                       																									
	FIRST			364	37.96		4	0.42		25	2.61		27	2.82		5	0.52		504	52.55		30	3.13		959
	SECOND			4	80.00		0	0.00		0	0.00		0	0.00			Excluded		1	20.00		0	0.00		5
		TOTAL		368	38.37		4	0.42		25	2.61		27	2.82					505	52.66		30	3.13		959
	THIRD			2	50.00			Excluded		1	25.00		1	25.00					0	0.00		0	0.00		4
		TOTAL		370	38.58					26	2.71		28	2.92					505	52.66		30	3.13		959
	FOURTH			5	17.86					4	14.29			Excluded					11	39.29		8	28.57		28
		TOTAL		375	39.10					30	3.13								516	53.81		38	3.96		959
	FIFTH			17	56.67						Excluded								8	26.67		5	16.67		30
		TOTAL		392	40.88														524	54.64		43	4.48		959
	SIXTH			9	20.93														34	79.07			Excluded		43
		TOTAL		401	41.81														558	58.19					959
																			Elected						
																									
Monterey                                                       																									
	FIRST			812	41.34		14	0.71		70	3.56		38	1.93		18	0.92		903	45.98		109	5.55		1964
	SECOND			5	27.78		1	5.56		2	11.11		5	27.78			Excluded		1	5.56		4	22.22		18
		TOTAL		817	41.60		15	0.76		72	3.67		43	2.19					904	46.03		113	5.75		1964
	THIRD			3	20.00			Excluded		2	13.33		1	6.67					8	53.33		1	6.67		15
		TOTAL		820	41.75					74	3.77		44	2.24					912	46.44		114	5.80		1964
	FOURTH			4	9.09					3	6.82			Excluded					17	38.64		20	45.45		44
		TOTAL		824	41.96					77	3.92								929	47.30		134	6.82		1964
	FIFTH			43	55.84						Excluded								27	35.06		7	9.09		77
		TOTAL		867	44.14														956	48.68		141	7.18		1964
	SIXTH			48	34.04														93	65.96			Excluded		141
		TOTAL		915	46.59														1049	53.41					1964
																			Elected						
																									
Moorefield                                                     																									
	FIRST			302	36.61		5	0.61		28	3.39		14	1.70		9	1.09		437	52.97		30	3.64		825
	SECOND			1	11.11		1	11.11		0	0.00		1	11.11			Excluded		2	22.22		4	44.44		9
		TOTAL		303	36.73		6	0.73		28	3.39		15	1.82					439	53.21		34	4.12		825
	THIRD			1	16.67			Excluded		0	0.00		1	16.67					3	50.00		1	16.67		6
		TOTAL		304	36.85					28	3.39		16	1.94					442	53.58		35	4.24		825
	FOURTH			3	18.75					3	18.75			Excluded					6	37.50		4	25.00		16
		TOTAL		307	37.21					31	3.76								448	54.30		39	4.73		825
	FIFTH			19	61.29						Excluded								5	16.13		7	22.58		31
		TOTAL		326	39.52														453	54.91		46	5.58		825
	SIXTH			14	30.43														32	69.57			Excluded		46
		TOTAL		340	41.21														485	58.79					825
																			Elected						
																									
Mortdale East                                                  																									
	FIRST			445	40.90		9	0.83		55	5.06		39	3.58		21	1.93		441	40.53		78	7.17		1088
	SECOND			11	52.38		1	4.76		4	19.05		0	0.00			Excluded		5	23.81		0	0.00		21
		TOTAL		456	41.91		10	0.92		59	5.42		39	3.58					446	40.99		78	7.17		1088
	THIRD			2	20.00			Excluded		1	10.00		2	20.00					4	40.00		1	10.00		10
		TOTAL		458	42.10					60	5.51		41	3.77					450	41.36		79	7.26		1088
	FOURTH			3	7.32					2	4.88			Excluded					15	36.59		21	51.22		41
		TOTAL		461	42.37					62	5.70								465	42.74		100	9.19		1088
	FIFTH			40	64.52						Excluded								12	19.35		10	16.13		62
		TOTAL		501	46.05														477	43.84		110	10.11		1088
	SIXTH			31	28.18														79	71.82			Excluded		110
		TOTAL		532	48.90														556	51.10					1088
																			Elected						
																									
Oatley (Barton)                                                																									
	FIRST			1130	51.48		15	0.68		92	4.19		74	3.37		30	1.37		654	29.79		200	9.11		2195
	SECOND			12	40.00		0	0.00		4	13.33		4	13.33			Excluded		3	10.00		7	23.33		30
		TOTAL		1142	52.03		15	0.68		96	4.37		78	3.55					657	29.93		207	9.43		2195
	THIRD			4	26.67			Excluded		1	6.67		1	6.67					3	20.00		6	40.00		15
		TOTAL		1146	52.21					97	4.42		79	3.60					660	30.07		213	9.70		2195
	FOURTH			10	12.66					6	7.59			Excluded					21	26.58		42	53.16		79
		TOTAL		1156	52.67					103	4.69								681	31.03		255	11.62		2195
