House of Representatives - 2001 Election: New South Wales											
Two Candidate Preferred Preference Flow Result											
By Polling Place by Division											
											
Parramatta (87286)											
		Candidate		"BORGER, David"		              	"CAMERON, Ross"		              	Total	
		"SATCHWELL, John M (HAN)"	69	20	28.99		49	71.01		69	
		Total	419	1264	48.80		1326	51.20		2590	

	Dundas Valley										
			1st Prefs	316	47.81		345	52.19		661	
		"TONGSUMRITH, Somchai (UNI)"	3	3	100.00		0	0.00		3	
		"JONSSON, Dee (CTA)"	16	7	43.75		9	56.25		16	
		"CLARK, Anthony (DEM)"	33	23	69.70		10	30.30		33	
		"WATSON, Will (NCP)"	0	0	0.00		0	0.00		0	
		"GEORGE, Felicity (GRN)"	24	18	75.00		6	25.00		24	
		"SATCHWELL, John M (HAN)"	24	11	45.83		13	54.17		24	
		Total	100	378	49.67		383	50.33		761	

	Ermington										
			1st Prefs	260	46.10		304	53.90		564	
		"TONGSUMRITH, Somchai (UNI)"	2	2	100.00		0	0.00		2	
		"JONSSON, Dee (CTA)"	4	2	50.00		2	50.00		4	
		"CLARK, Anthony (DEM)"	17	11	64.71		6	35.29		17	
		"WATSON, Will (NCP)"	2	0	0.00		2	100.00		2	
		"GEORGE, Felicity (GRN)"	17	14	82.35		3	17.65		17	
		"SATCHWELL, John M (HAN)"	34	8	23.53		26	76.47		34	
		Total	76	297	46.41		343	53.59		640	

	Ermington Central										
			1st Prefs	578	51.56		543	48.44		1121	
		"TONGSUMRITH, Somchai (UNI)"	15	15	100.00		0	0.00		15	
		"JONSSON, Dee (CTA)"	11	4	36.36		7	63.64		11	
		"CLARK, Anthony (DEM)"	19	10	52.63		9	47.37		19	
		"WATSON, Will (NCP)"	5	5	100.00		0	0.00		5	
		"GEORGE, Felicity (GRN)"	37	30	81.08		7	18.92		37	
		"SATCHWELL, John M (HAN)"	46	18	39.13		28	60.87		46	
		Total	133	660	52.63		594	47.37		1254	

	Ermington West										
			1st Prefs	1051	50.70		1022	49.30		2073	
		"TONGSUMRITH, Somchai (UNI)"	10	8	80.00		2	20.00		10	
		"JONSSON, Dee (CTA)"	38	15	39.47		23	60.53		38	
		"CLARK, Anthony (DEM)"	67	36	53.73		31	46.27		67	
		"WATSON, Will (NCP)"	6	2	33.33		4	66.67		6	
		"GEORGE, Felicity (GRN)"	41	25	60.98		16	39.02		41	
		"SATCHWELL, John M (HAN)"	81	16	19.75		65	80.25		81	
		Total	243	1153	49.78		1163	50.22		2316	

	Girraween										
			1st Prefs	990	54.58		824	45.42		1814	
		"TONGSUMRITH, Somchai (UNI)"	20	16	80.00		4	20.00		20	
		"JONSSON, Dee (CTA)"	40	9	22.50		31	77.50		40	
		"CLARK, Anthony (DEM)"	49	32	65.31		17	34.69		49	
		"WATSON, Will (NCP)"	0	0	0.00		0	0.00		0	
		"GEORGE, Felicity (GRN)"	71	61	85.92		10	14.08		71	
		"SATCHWELL, John M (HAN)"	55	20	36.36		35	63.64		55	
		Total	235	1128	55.05		921	44.95		2049	

	Granville North (Parramatta)										
			1st Prefs	184	70.77		76	29.23		260	
		"TONGSUMRITH, Somchai (UNI)"	7	7	100.00		0	0.00		7	
		"JONSSON, Dee (CTA)"	4	2	50.00		2	50.00		4	
		"CLARK, Anthony (DEM)"	7	5	71.43		2	28.57		7	
		"WATSON, Will (NCP)"	0	0	0.00		0	0.00		0	
		"GEORGE, Felicity (GRN)"	6	1	16.67		5	83.33		6	
		"SATCHWELL, John M (HAN)"	8	5	62.50		3	37.50		8	
		Total	32	204	69.86		88	30.14		292	

	Lake Parramatta										
			1st Prefs	506	44.70		626	55.30		1132	
		"TONGSUMRITH, Somchai (UNI)"	12	10	83.33		2	16.67		12	
		"JONSSON, Dee (CTA)"	20	6	30.00		14	70.00		20	
		"CLARK, Anthony (DEM)"	39	31	79.49		8	20.51		39	
		"WATSON, Will (NCP)"	3	0	0.00		3	100.00		3	
		"GEORGE, Felicity (GRN)"	53	46	86.79		7	13.21		53	
		"SATCHWELL, John M (HAN)"	22	4	18.18		18	81.82		22	
		Total	149	603	47.07		678	52.93		1281	

	Macarthur High										
			1st Prefs	806	53.99		687	46.01		1493	
		"TONGSUMRITH, Somchai (UNI)"	43	35	81.40		8	18.60		43	
		"JONSSON, Dee (CTA)"	21	5	23.81		16	76.19		21	
		"CLARK, Anthony (DEM)"	57	40	70.18		17	29.82		57	
		"WATSON, Will (NCP)"	2	2	100.00		0	0.00		2	
		"GEORGE, Felicity (GRN)"	48	35	72.92		13	27.08		48	
		"SATCHWELL, John M (HAN)"	36	6	16.67		30	83.33		36	
		Total	207	929	54.65		771	45.35		1700	

	Noller Park										
			1st Prefs	222	52.36		202	47.64		424	
		"TONGSUMRITH, Somchai (UNI)"	7	6	85.71		1	14.29		7	
		"JONSSON, Dee (CTA)"	4	1	25.00		3	75.00		4	
		"CLARK, Anthony (DEM)"	17	14	82.35		3	17.65		17	
		"WATSON, Will (NCP)"	0	0	0.00		0	0.00		0	
		"GEORGE, Felicity (GRN)"	5	5	100.00		0	0.00		5	
		"SATCHWELL, John M (HAN)"	5	3	60.00		2	40.00		5	
		Total	38	251	54.33		211	45.67		462	

	Northmead										
			1st Prefs	1078	39.50		1651	60.50		2729	
		"TONGSUMRITH, Somchai (UNI)"	12	9	75.00		3	25.00		12	
		"JONSSON, Dee (CTA)"	74	16	21.62		58	78.38		74	
		"CLARK, Anthony (DEM)"	97	60	61.86		37	38.14		97	
		"WATSON, Will (NCP)"	3	1	33.33		2	66.67		3	
		"GEORGE, Felicity (GRN)"	100	79	79.00		21	21.00		100	
		"SATCHWELL, John M (HAN)"	113	41	36.28		72	63.72		113	
		Total	399	1284	41.05		1844	58.95		3128	

	North Rocks (Parramatta)										
			1st Prefs	254	31.83		544	68.17		798	
		"TONGSUMRITH, Somchai (UNI)"	25	19	76.00		6	24.00		25	
		"JONSSON, Dee (CTA)"	19	6	31.58		13	68.42		19	
		"CLARK, Anthony (DEM)"	26	11	42.31		15	57.69		26	
		"WATSON, Will (NCP)"	1	0	0.00		1	100.00		1	
		"GEORGE, Felicity (GRN)"	37	25	67.57		12	32.43		37	
		"SATCHWELL, John M (HAN)"	20	5	25.00		15	75.00		20	
		Total	128	320	34.56		606	65.44		926	

	Oatlands										
			1st Prefs	598	27.03		1614	72.97		2212	
		"TONGSUMRITH, Somchai (UNI)"	44	37	84.09		7	15.91		44	
		"JONSSON, Dee (CTA)"	24	7	29.17		17	70.83		24	
		"CLARK, Anthony (DEM)"	99	73	73.74		26	26.26		99	
		"WATSON, Will (NCP)"	1	1	100.00		0	0.00		1	
		"GEORGE, Felicity (GRN)"	80	58	72.50		22	27.50		80	
		"SATCHWELL, John M (HAN)"	73	18	24.66		55	75.34		73	
		Total	321	792	31.27		1741	68.73		2533	

	Old Toongabbie										
			1st Prefs	1834	48.97		1911	51.03		3745	
		"TONGSUMRITH, Somchai (UNI)"	52	36	69.23		16	30.77		52	
		"JONSSON, Dee (CTA)"	77	16	20.78		61	79.22		77	
		"CLARK, Anthony (DEM)"	134	92	68.66		42	31.34		134	
		"WATSON, Will (NCP)"	5	3	60.00		2	40.00		5	
		"GEORGE, Felicity (GRN)"	118	91	77.12		27	22.88		118	
		"SATCHWELL, John M (HAN)"	138	35	25.36		103	74.64		138	
		Total	524	2107	49.36		2162	50.64		4269	

	Parramatta										
			1st Prefs	1097	65.03		590	34.97		1687	
		"TONGSUMRITH, Somchai (UNI)"	92	83	90.22		9	9.78		92	
		"JONSSON, Dee (CTA)"	14	6	42.86		8	57.14		14	
		"CLARK, Anthony (DEM)"	79	65	82.28		14	17.72		79	
		"WATSON, Will (NCP)"	3	2	66.67		1	33.33		3	
		"GEORGE, Felicity (GRN)"	88	78	88.64		10	11.36		88	
		"SATCHWELL, John M (HAN)"	35	13	37.14		22	62.86		35	
		Total	311	1344	67.27		654	32.73		1998	

	Parramatta East										
			1st Prefs	471	48.81		494	51.19		965	
		"TONGSUMRITH, Somchai (UNI)"	9	5	55.56		4	44.44		9	
		"JONSSON, Dee (CTA)"	15	4	26.67		11	73.33		15	
		"CLARK, Anthony (DEM)"	28	21	75.00		7	25.00		28	
		"WATSON, Will (NCP)"	1	1	100.00		0	0.00		1	
		"GEORGE, Felicity (GRN)"	38	29	76.32		9	23.68		38	
		"SATCHWELL, John M (HAN)"	18	9	50.00		9	50.00		18	
		Total	109	540	50.28		534	49.72		1074	

	Parramatta High										
			1st Prefs	267	51.35		253	48.65		520	
		"TONGSUMRITH, Somchai (UNI)"	12	9	75.00		3	25.00		12	
		"JONSSON, Dee (CTA)"	3	0	0.00		3	100.00		3	
		"CLARK, Anthony (DEM)"	25	18	72.00		7	28.00		25	
		"WATSON, Will (NCP)"	2	0	0.00		2	100.00		2	
		"GEORGE, Felicity (GRN)"	21	8	38.10		13	61.90		21	
		"SATCHWELL, John M (HAN)"	13	6	46.15		7	53.85		13	
		Total	76	308	51.68		288	48.32		596	

	Parramatta North										
			1st Prefs	764	51.90		708	48.10		1472	
		"TONGSUMRITH, Somchai (UNI)"	11	11	100.00		0	0.00		11	
		"JONSSON, Dee (CTA)"	16	6	37.50		10	62.50		16	
		"CLARK, Anthony (DEM)"	65	44	67.69		21	32.31		65	
		"WATSON, Will (NCP)"	8	3	37.50		5	62.50		8	
		"GEORGE, Felicity (GRN)"	70	53	75.71		17	24.29		70	
		"SATCHWELL, John M (HAN)"	34	16	47.06		18	52.94		34	
		Total	204	897	53.52		779	46.48		1676	

	Pendle Hill										
			1st Prefs	1136	55.63		906	44.37		2042	
		"TONGSUMRITH, Somchai (UNI)"	15	13	86.67		2	13.33		15	
		"JONSSON, Dee (CTA)"	42	12	28.57		30	71.43		42	
		"CLARK, Anthony (DEM)"	79	56	70.89		23	29.11		79	
		"WATSON, Will (NCP)"	11	2	18.18		9	81.82		11	
		"GEORGE, Felicity (GRN)"	71	59	83.10		12	16.90		71	
		"SATCHWELL, John M (HAN)"	89	25	28.09		64	71.91		89	
		Total	307	1303	55.47		1046	44.53		2349	

	Pendle Hill Central										
			1st Prefs	161	55.14		131	44.86		292	
		"TONGSUMRITH, Somchai (UNI)"	2	2	100.00		0	0.00		2	
		"JONSSON, Dee (CTA)"	3	1	33.33		2	66.67		3	
		"CLARK, Anthony (DEM)"	9	4	44.44		5	55.56		9	
		"WATSON, Will (NCP)"	3	1	33.33		2	66.67		3	
		"GEORGE, Felicity (GRN)"	4	2	50.00		2	50.00		4	
		"SATCHWELL, John M (HAN)"	9	5	55.56		4	44.44		9	
		Total	30	176	54.66		146	45.34		322	

	Pendle Hill North										
			1st Prefs	333	47.10		374	52.90		707	
		"TONGSUMRITH, Somchai (UNI)"	2	1	50.00		1	50.00		2	
		"JONSSON, Dee (CTA)"	25	5	20.00		20	80.00		25	
		"CLARK, Anthony (DEM)"	21	15	71.43		6	28.57		21	
		"WATSON, Will (NCP)"	1	1	100.00		0	0.00		1	
		"GEORGE, Felicity (GRN)"	30	23	76.67		7	23.33		30	
		"SATCHWELL, John M (HAN)"	29	16	55.17		13	44.83		29	
		Total	108	394	48.34		421	51.66		815	

	Pitt Row										
			1st Prefs	468	53.73		403	46.27		871	
		"TONGSUMRITH, Somchai (UNI)"	9	6	66.67		3	33.33		9	
		"JONSSON, Dee (CTA)"	7	3	42.86		4	57.14		7	
		"CLARK, Anthony (DEM)"	19	15	78.95		4	21.05		19	
		"WATSON, Will (NCP)"	0	0	0.00		0	0.00		0	
		"GEORGE, Felicity (GRN)"	21	16	76.19		5	23.81		21	
		"SATCHWELL, John M (HAN)"	25	6	24.00		19	76.00		25	
		Total	81	514	53.99		438	46.01		952	

	Rosehill										
			1st Prefs	719	57.98		521	42.02		1240	
		"TONGSUMRITH, Somchai (UNI)"	30	28	93.33		2	6.67		30	
		"JONSSON, Dee (CTA)"	14	5	35.71		9	64.29		14	
		"CLARK, Anthony (DEM)"	31	21	67.74		10	32.26		31	
		"WATSON, Will (NCP)"	4	2	50.00		2	50.00		4	
		"GEORGE, Felicity (GRN)"	45	36	80.00		9	20.00		45	
		"SATCHWELL, John M (HAN)"	39	19	48.72		20	51.28		39	
		Total	163	830	59.16		573	40.84		1403	

	Rowland Hassall										
			1st Prefs	503	58.02		364	41.98		867	
		"TONGSUMRITH, Somchai (UNI)"	17	15	88.24		2	11.76		17	
		"JONSSON, Dee (CTA)"	16	9	56.25		7	43.75		16	
		"CLARK, Anthony (DEM)"	29	18	62.07		11	37.93		29	
		"WATSON, Will (NCP)"	1	1	100.00		0	0.00		1	
		"GEORGE, Felicity (GRN)"	19	15	78.95		4	21.05		19	
		"SATCHWELL, John M (HAN)"	19	8	42.11		11	57.89		19	
		Total	101	569	58.78		399	41.22		968	

	Rydalmere										
			1st Prefs	610	50.54		597	49.46		1207	
		"TONGSUMRITH, Somchai (UNI)"	17	16	94.12		1	5.88		17	
		"JONSSON, Dee (CTA)"	11	0	0.00		11	100.00		11	
		"CLARK, Anthony (DEM)"	33	22	66.67		11	33.33		33	
		"WATSON, Will (NCP)"	2	0	0.00		2	100.00		2	
		"GEORGE, Felicity (GRN)"	41	30	73.17		11	26.83		41	
		"SATCHWELL, John M (HAN)"	43	15	34.88		28	65.12		43	
		Total	147	693	51.18		661	48.82		1354	

	Sydney (Parramatta)										
			1st Prefs	53	50.00		53	50.00		106	
		"TONGSUMRITH, Somchai (UNI)"	6	4	66.67		2	33.33		6	
		"JONSSON, Dee (CTA)"	3	0	0.00		3	100.00		3	
		"CLARK, Anthony (DEM)"	10	8	80.00		2	20.00		10	
		"WATSON, Will (NCP)"	0	0	0.00		0	0.00		0	
		"GEORGE, Felicity (GRN)"	6	5	83.33		1	16.67		6	
		"SATCHWELL, John M (HAN)"	4	2	50.00		2	50.00		4	
		Total	29	72	53.33		63	46.67		135	

	Telopea										
			1st Prefs	952	47.89		1036	52.11		1988	
		"TONGSUMRITH, Somchai (UNI)"	48	44	91.67		4	8.33		48	
		"JONSSON, Dee (CTA)"	38	10	26.32		28	73.68		38	
		"CLARK, Anthony (DEM)"	68	49	72.06		19	27.94		68	
		"WATSON, Will (NCP)"	5	0	0.00		5	100.00		5	
		"GEORGE, Felicity (GRN)"	78	56	71.79		22	28.21		78	
		"SATCHWELL, John M (HAN)"	68	25	36.76		43	63.24		68	
		Total	305	1136	49.54		1157	50.46		2293	

	Toongabbie East										
			1st Prefs	446	57.55		329	42.45		775	
		"TONGSUMRITH, Somchai (UNI)"	9	5	55.56		4	44.44		9	
		"JONSSON, Dee (CTA)"	8	1	12.50		7	87.50		8	
		"CLARK, Anthony (DEM)"	11	10	90.91		1	9.09		11	
		"WATSON, Will (NCP)"	2	1	50.00		1	50.00		2	
		"GEORGE, Felicity (GRN)"	15	12	80.00		3	20.00		15	
		"SATCHWELL, John M (HAN)"	18	6	33.33		12	66.67		18	
		Total	63	481	57.40		357	42.60		838	

	Wentworthville										
			1st Prefs	1133	58.31		810	41.69		1943	
		"TONGSUMRITH, Somchai (UNI)"	23	19	82.61		4	17.39		23	
		"JONSSON, Dee (CTA)"	21	9	42.86		12	57.14		21	
		"CLARK, Anthony (DEM)"	61	41	67.21		20	32.79		61	
		"WATSON, Will (NCP)"	0	0	0.00		0	0.00		0	
		"GEORGE, Felicity (GRN)"	43	32	74.42		11	25.58		43	
		"SATCHWELL, John M (HAN)"	43	19	44.19		24	55.81		43	
		Total	191	1253	58.72		881	41.28		2134	

	Wentworthville Central										
			1st Prefs	339	59.47		231	40.53		570	
		"TONGSUMRITH, Somchai (UNI)"	12	11	91.67		1	8.33		12	
		"JONSSON, Dee (CTA)"	6	3	50.00		3	50.00		6	
		"CLARK, Anthony (DEM)"	14	10	71.43		4	28.57		14	
		"WATSON, Will (NCP)"	1	0	0.00		1	100.00		1	
		"GEORGE, Felicity (GRN)"	14	11	78.57		3	21.43		14	
		"SATCHWELL, John M (HAN)"	15	8	53.33		7	46.67		15	
		Total	62	382	60.44		250	39.56		632	

	Westmead										
			1st Prefs	1345	59.83		903	40.17		2248	
		"TONGSUMRITH, Somchai (UNI)"	38	34	89.47		4	10.53		38	
		"JONSSON, Dee (CTA)"	30	16	53.33		14	46.67		30	
		"CLARK, Anthony (DEM)"	83	55	66.27		28	33.73		83	
		"WATSON, Will (NCP)"	7	3	42.86		4	57.14		7	
		"GEORGE, Felicity (GRN)"	108	82	75.93		26	24.07		108	
		"SATCHWELL, John M (HAN)"	46	19	41.30		27	58.70		46	
		Total	312	1554	60.70		1006	39.30		2560	

	Westmead Hospital										
			1st Prefs	124	49.01		129	50.99		253	
		"TONGSUMRITH, Somchai (UNI)"	3	3	100.00		0	0.00		3	
		"JONSSON, Dee (CTA)"	4	4	100.00		0	0.00		4	
		"CLARK, Anthony (DEM)"	15	12	80.00		3	20.00		15	
		"WATSON, Will (NCP)"	0	0	0.00		0	0.00		0	
		"GEORGE, Felicity (GRN)"	4	4	100.00		0	0.00		4	
		"SATCHWELL, John M (HAN)"	3	1	33.33		2	66.67		3	
		Total	29	148	52.48		134	47.52		282	

	Westmead North										
			1st Prefs	291	51.69		272	48.31		563	
		"TONGSUMRITH, Somchai (UNI)"	15	11	73.33		4	26.67		15	
		"JONSSON, Dee (CTA)"	14	7	50.00		7	50.00		14	
		"CLARK, Anthony (DEM)"	31	23	74.19		8	25.81		31	
		"WATSON, Will (NCP)"	1	1	100.00		0	0.00		1	
		"GEORGE, Felicity (GRN)"	37	26	70.27		11	29.73		37	
		"SATCHWELL, John M (HAN)"	4	2	50.00		2	50.00		4	
		Total	102	361	54.29		304	45.71		665	

	Winston Heights										
			1st Prefs	475	34.30		910	65.70		1385	
		"TONGSUMRITH, Somchai (UNI)"	8	7	87.50		1	12.50		8	
		"JONSSON, Dee (CTA)"	27	2	7.41		25	92.59		27	
		"CLARK, Anthony (DEM)"	66	44	66.67		22	33.33		66	
		"WATSON, Will (NCP)"	2	1	50.00		1	50.00		2	
		"GEORGE, Felicity (GRN)"	52	36	69.23		16	30.77		52	
		"SATCHWELL, John M (HAN)"	36	16	44.44		20	55.56		36	
		Total	191	581	36.87		995	63.13		1576	

	Winston Hills										
			1st Prefs	942	32.18		1985	67.82		2927	
		"TONGSUMRITH, Somchai (UNI)"	17	12	70.59		5	29.41		17	
		"JONSSON, Dee (CTA)"	47	9	19.15		38	80.85		47	
		"CLARK, Anthony (DEM)"	125	85	68.00		40	32.00		125	
		"WATSON, Will (NCP)"	8	5	62.50		3	37.50		8	
		"GEORGE, Felicity (GRN)"	99	80	80.81		19	19.19		99	
		"SATCHWELL, John M (HAN)"	86	24	27.91		62	72.09		86	
		Total	382	1157	34.97		2152	65.03		3309	

	Winston Hills South										
			1st Prefs	132	40.74		192	59.26		324	
		"TONGSUMRITH, Somchai (UNI)"	0	0	0.00		0	0.00		0	
		"JONSSON, Dee (CTA)"	5	3	60.00		2	40.00		5	
		"CLARK, Anthony (DEM)"	12	10	83.33		2	16.67		12	
		"WATSON, Will (NCP)"	1	1	100.00		0	0.00		1	
		"GEORGE, Felicity (GRN)"	20	15	75.00		5	25.00		20	
		"SATCHWELL, John M (HAN)"	9	2	22.22		7	77.78		9	
		Total	47	163	43.94		208	56.06		371	

	Woodberry Village										
			1st Prefs	85	26.40		237	73.60		322	
		"TONGSUMRITH, Somchai (UNI)"	2	2	100.00		0	0.00		2	
		"JONSSON, Dee (CTA)"	4	1	25.00		3	75.00		4	
		"CLARK, Anthony (DEM)"	7	3	42.86		4	57.14		7	
		"WATSON, Will (NCP)"	0	0	0.00		0	0.00		0	
		"GEORGE, Felicity (GRN)"	11	8	72.73		3	27.27		11	
		"SATCHWELL, John M (HAN)"	13	5	38.46		8	61.54		13	
		Total	37	104	28.97		255	71.03		359	

	Yates Avenue										
			1st Prefs	800	47.73		876	52.27		1676	
		"TONGSUMRITH, Somchai (UNI)"	14	11	78.57		3	21.43		14	
		"JONSSON, Dee (CTA)"	12	4	33.33		8	66.67		12	
		"CLARK, Anthony (DEM)"	71	43	60.56		28	39.44		71	
		"WATSON, Will (NCP)"	2	1	50.00		1	50.00		2	
		"GEORGE, Felicity (GRN)"	59	46	77.97		13	22.03		59	
		"SATCHWELL, John M (HAN)"	113	26	23.01		87	76.99		113	
		Total	271	931	47.82		1016	52.18		1947	

	Prison Mobiles										
			1st Prefs	0			0				
		"TONGSUMRITH, Somchai (UNI)"	0	0	0.00		0	0.00		0	
		"JONSSON, Dee (CTA)"	0	0	0.00		0	0.00		0	
		"CLARK, Anthony (DEM)"	0	0	0.00		0	0.00		0	
		"WATSON, Will (NCP)"	0	0	0.00		0	0.00		0	
		"GEORGE, Felicity (GRN)"	0	0	0.00		0	0.00		0	
		"SATCHWELL, John M (HAN)"	0	0	0.00		0	0.00		0	
		Total	0	0	0.00		0	0.00		0	

	Special Hospitals										
			1st Prefs	113	39.24		175	60.76		288	
		"TONGSUMRITH, Somchai (UNI)"	0	0	0.00		0	0.00		0	
		"JONSSON, Dee (CTA)"	4	2	50.00		2	50.00		4	
		"CLARK, Anthony (DEM)"	1	0	0.00		1	100.00		1	
		"WATSON, Will (NCP)"	0	0	0.00		0	0.00		0	
		"GEORGE, Felicity (GRN)"	0	0	0.00		0	0.00		0	
		"SATCHWELL, John M (HAN)"	3	0	0.00		3	100.00		3	
		Total	8	115	38.85		181	61.15		296	

	Total Ordinary										
			1st Prefs	26417	47.56		29131	52.44		55548	
		"TONGSUMRITH, Somchai (UNI)"	941	788	83.74		153	16.26		941	
		"JONSSON, Dee (CTA)"	931	270	29.00		661	71.00		931	
		"CLARK, Anthony (DEM)"	2067	1421	68.75		646	31.25		2067	
		"WATSON, Will (NCP)"	110	45	40.91		65	59.09		110	
		"GEORGE, Felicity (GRN)"	1912	1470	76.88		442	23.12		1912	
		"SATCHWELL, John M (HAN)"	1752	595	33.96		1157	66.04		1752	
		Total	7713	31006	49.01		32255	50.99		63261	

	ABSENT										
			1st Prefs	2220	45.07		2706	54.93		4926	
		"TONGSUMRITH, Somchai (UNI)"	92	63	68.48		29	31.52		92	
		"JONSSON, Dee (CTA)"	144	56	38.89		88	61.11		144	
		"CLARK, Anthony (DEM)"	340	189	55.59		151	44.41		340	
		"WATSON, Will (NCP)"	25	12	48.00		13	52.00		25	
		"GEORGE, Felicity (GRN)"	316	201	63.61		115	36.39		316	
		"SATCHWELL, John M (HAN)"	281	137	48.75		144	51.25		281	
		Total	1198	2878	47.00		3246	53.00		6124	

	POSTAL										
			1st Prefs	1634	45.53		1955	54.47		3589	
		"TONGSUMRITH, Somchai (UNI)"	43	36	83.72		7	16.28		43	
		"JONSSON, Dee (CTA)"	45	15	33.33		30	66.67		45	
		"CLARK, Anthony (DEM)"	84	56	66.67		28	33.33		84	
		"WATSON, Will (NCP)"	7	2	28.57		5	71.43		7	
		"GEORGE, Felicity (GRN)"	46	38	82.61		8	17.39		46	
		"SATCHWELL, John M (HAN)"	127	50	39.37		77	60.63		127	
		Total	352	1831	46.46		2110	53.54		3941	

	PRE_POLL										
			1st Prefs	1323	48.95		1380	51.05		2703	
		"TONGSUMRITH, Somchai (UNI)"	45	32	71.11		13	28.89		45	
		"JONSSON, Dee (CTA)"	46	13	28.26		33	71.74		46	
		"CLARK, Anthony (DEM)"	119	85	71.43		34	28.57		119	
		"WATSON, Will (NCP)"	6	1	16.67		5	83.33		6	
		"GEORGE, Felicity (GRN)"	86	58	67.44		28	32.56		86	
		"SATCHWELL, John M (HAN)"	106	50	47.17		56	52.83		106	
		Total	408	1562	50.21		1549	49.79		3111	

	PROVISIONAL										
			1st Prefs	273	59.74		184	40.26		457	
		"TONGSUMRITH, Somchai (UNI)"	10	10	100.00		0	0.00		10	
		"JONSSON, Dee (CTA)"	11	5	45.45		6	54.55		11	
		"CLARK, Anthony (DEM)"	12	7	58.33		5	41.67		12	
		"WATSON, Will (NCP)"	0	0	0.00		0	0.00		0	
		"GEORGE, Felicity (GRN)"	20	17	85.00		3	15.00		20	
		"SATCHWELL, John M (HAN)"	13	4	30.77		9	69.23		13	
		Total	66	316	60.42		207	39.58		523	

	Division Summary										
			1st Prefs	31867	47.40		35356	52.60		67223	
		"TONGSUMRITH, Somchai (UNI)"	1131	929	82.14		202	17.86		1131	
		"JONSSON, Dee (CTA)"	1177	359	30.50		818	69.50		1177	
		"CLARK, Anthony (DEM)"	2622	1758	67.05		864	32.95		2622	
