House of Representatives - 2001 Election: New South Wales																																			
Distribution of Preferences																																			
By Polling Place																																			
																																			
Gwydir																																			
				WITTEN			HAIGH			GRAHAM			ROGERS			STRACHAN			WEBER			ANDERSON			MURNAIN			EDWARDS			O'REGAN				
		TOTAL					5	3.38					22	14.86		1	0.68					94	63.51		26	17.57								148	
	SEVENTH						1	100.00					0	0.00			Excluded					0	0.00		0	0.00								1	
		TOTAL					6	4.05					22	14.86								94	63.51		26	17.57								148	
	EIGHTH							Excluded					4	66.67								2	33.33		0	0.00								6	
		TOTAL											26	17.57								96	64.86		26	17.57								148	
	NINTH													Excluded								12	46.15		14	53.85								26	
		TOTAL																				108	72.97		40	27.03								148	
																						Elected													
																																			
Baan Baa                                                       																																			
	FIRST			1	0.74		9	6.62		0	0.00		12	8.82		2	1.47		2	1.47		89	65.44		10	7.35		1	0.74		10	7.35		136	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	100.00		1	
		TOTAL		1	0.74		9	6.62		0	0.00		12	8.82		2	1.47		2	1.47		89	65.44		10	7.35					11	8.09		136	
	THIRD			0	0.00		0	0.00		0	0.00		2	100.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		2	
		TOTAL		1	0.74		9	6.62		0	0.00		14	10.29		2	1.47					89	65.44		10	7.35					11	8.09		136	
	FOURTH				Excluded		1	100.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00		1	
		TOTAL					10	7.35		0	0.00		14	10.29		2	1.47					89	65.44		10	7.35					11	8.09		136	
	FIFTH						0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00		0	
		TOTAL					10	7.35					14	10.29		2	1.47					89	65.44		10	7.35					11	8.09		136	
	SIXTH						1	9.09					0	0.00		1	9.09					7	63.64		2	18.18						Excluded		11	
		TOTAL					11	8.09					14	10.29		3	2.21					96	70.59		12	8.82								136	
	SEVENTH						0	0.00					1	33.33			Excluded					2	66.67		0	0.00								3	
		TOTAL					11	8.09					15	11.03								98	72.06		12	8.82								136	
	EIGHTH							Excluded					6	54.55								4	36.36		1	9.09								11	
		TOTAL											21	15.44								102	75.00		13	9.56								136	
	NINTH													Excluded								11	52.38		10	47.62								21	
		TOTAL																				113	83.09		23	16.91								136	
																						Elected													
																																			
Balladoran                                                     																																			
	FIRST			0	0.00		6	6.12		0	0.00		31	31.63		0	0.00		0	0.00		55	56.12		6	6.12		0	0.00		0	0.00		98	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		0	0.00		6	6.12		0	0.00		31	31.63		0	0.00		0	0.00		55	56.12		6	6.12					0	0.00		98	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	
		TOTAL		0	0.00		6	6.12		0	0.00		31	31.63		0	0.00					55	56.12		6	6.12					0	0.00		98	
	FOURTH				Excluded		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00		0	
		TOTAL					6	6.12		0	0.00		31	31.63		0	0.00					55	56.12		6	6.12					0	0.00		98	
	FIFTH						0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00		0	
		TOTAL					6	6.12					31	31.63		0	0.00					55	56.12		6	6.12					0	0.00		98	
	SIXTH						0	0.00					0	0.00		0	0.00					0	0.00		0	0.00						Excluded		0	
		TOTAL					6	6.12					31	31.63		0	0.00					55	56.12		6	6.12								98	
	SEVENTH						0	0.00					0	0.00			Excluded					0	0.00		0	0.00								0	
		TOTAL					6	6.12					31	31.63								55	56.12		6	6.12								98	
	EIGHTH							Excluded					1	16.67								2	33.33		3	50.00								6	
		TOTAL											32	32.65								57	58.16		9	9.18								98	
	NINTH													Excluded								8	25.00		24	75.00								32	
		TOTAL																				65	66.33		33	33.67								98	
																						Elected													
																																			
Baradine                                                       																																			
	FIRST			19	3.10		19	3.10		1	0.16		75	12.23		1	0.16		6	0.98		382	62.32		106	17.29		1	0.16		3	0.49		613	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	100.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		19	3.10		19	3.10		1	0.16		75	12.23		1	0.16		6	0.98		383	62.48		106	17.29					3	0.49		613	
	THIRD			0	0.00		1	16.67		0	0.00		1	16.67		0	0.00			Excluded		4	66.67		0	0.00					0	0.00		6	
		TOTAL		19	3.10		20	3.26		1	0.16		76	12.40		1	0.16					387	63.13		106	17.29					3	0.49		613	
	FOURTH				Excluded		14	73.68		2	10.53		1	5.26		0	0.00					0	0.00		0	0.00					2	10.53		19	
		TOTAL					34	5.55		3	0.49		77	12.56		1	0.16					387	63.13		106	17.29					5	0.82		613	
	FIFTH						2	66.67			Excluded		1	33.33		0	0.00					0	0.00		0	0.00					0	0.00		3	
		TOTAL					36	5.87					78	12.72		1	0.16					387	63.13		106	17.29					5	0.82		613	
	SIXTH						1	20.00					1	20.00		0	0.00					3	60.00		0	0.00						Excluded		5	
		TOTAL					37	6.04					79	12.89		1	0.16					390	63.62		106	17.29								613	
	SEVENTH						0	0.00					0	0.00			Excluded					0	0.00		1	100.00								1	
		TOTAL					37	6.04					79	12.89								390	63.62		107	17.46								613	
	EIGHTH							Excluded					26	70.27								7	18.92		4	10.81								37	
		TOTAL											105	17.13								397	64.76		111	18.11								613	
	NINTH													Excluded								43	40.95		62	59.05								105	
		TOTAL																				440	71.78		173	28.22								613	
																						Elected													
																																			
Bellata                                                        																																			
	FIRST			2	0.91		13	5.91		2	0.91		25	11.36		2	0.91		3	1.36		140	63.64		12	5.45		2	0.91		19	8.64		220	
	SECOND			0	0.00		0	0.00		1	50.00		0	0.00		0	0.00		0	0.00		1	50.00		0	0.00			Excluded		0	0.00		2	
		TOTAL		2	0.91		13	5.91		3	1.36		25	11.36		2	0.91		3	1.36		141	64.09		12	5.45					19	8.64		220	
	THIRD			0	0.00		0	0.00		0	0.00		1	33.33		2	66.67			Excluded		0	0.00		0	0.00					0	0.00		3	
		TOTAL		2	0.91		13	5.91		3	1.36		26	11.82		4	1.82					141	64.09		12	5.45					19	8.64		220	
	FOURTH				Excluded		0	0.00		1	50.00		0	0.00		0	0.00					0	0.00		1	50.00					0	0.00		2	
		TOTAL					13	5.91		4	1.82		26	11.82		4	1.82					141	64.09		13	5.91					19	8.64		220	
	FIFTH						4	100.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00		4	
		TOTAL					17	7.73					26	11.82		4	1.82					141	64.09		13	5.91					19	8.64		220	
	SIXTH						4	21.05					4	21.05		0	0.00					10	52.63		1	5.26						Excluded		19	
		TOTAL					21	9.55					30	13.64		4	1.82					151	68.64		14	6.36								220	
	SEVENTH						2	50.00					1	25.00			Excluded					0	0.00		1	25.00								4	
		TOTAL					23	10.45					31	14.09								151	68.64		15	6.82								220	
	EIGHTH							Excluded					14	60.87								4	17.39		5	21.74								23	
		TOTAL											45	20.45								155	70.45		20	9.09								220	
	NINTH													Excluded								25	55.56		20	44.44								45	
		TOTAL																				180	81.82		40	18.18								220	
																						Elected													
																																			
Binnaway                                                       																																			
	FIRST			18	3.99		35	7.76		8	1.77		75	16.63		9	2.00		10	2.22		165	36.59		127	28.16		1	0.22		3	0.67		451	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	100.00		1	
		TOTAL		18	3.99		35	7.76		8	1.77		75	16.63		9	2.00		10	2.22		165	36.59		127	28.16					4	0.89		451	
	THIRD			2	20.00		0	0.00		1	10.00		2	20.00		0	0.00			Excluded		1	10.00		4	40.00					0	0.00		10	
		TOTAL		20	4.43		35	7.76		9	2.00		77	17.07		9	2.00					166	36.81		131	29.05					4	0.89		451	
	FOURTH				Excluded		12	60.00		1	5.00		1	5.00		0	0.00					1	5.00		1	5.00					4	20.00		20	
		TOTAL					47	10.42		10	2.22		78	17.29		9	2.00					167	37.03		132	29.27					8	1.77		451	
	FIFTH						3	30.00			Excluded		1	10.00		3	30.00					2	20.00		0	0.00					1	10.00		10	
		TOTAL					50	11.09					79	17.52		12	2.66					169	37.47		132	29.27					9	2.00		451	
	SIXTH						2	22.22					3	33.33		0	0.00					1	11.11		3	33.33						Excluded		9	
		TOTAL					52	11.53					82	18.18		12	2.66					170	37.69		135	29.93								451	
	SEVENTH						5	41.67					0	0.00			Excluded					2	16.67		5	41.67								12	
		TOTAL					57	12.64					82	18.18								172	38.14		140	31.04								451	
	EIGHTH							Excluded					26	45.61								18	31.58		13	22.81								57	
		TOTAL											108	23.95								190	42.13		153	33.92								451	
	NINTH													Excluded								49	45.37		59	54.63								108	
		TOTAL																				239	52.99		212	47.01								451	
																						Elected													
																																			
Blackville                                                     																																			
	FIRST			4	4.60		1	1.15		0	0.00		5	5.75		3	3.45		0	0.00		67	77.01		4	4.60		1	1.15		2	2.30		87	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	100.00		1	
		TOTAL		4	4.60		1	1.15		0	0.00		5	5.75		3	3.45		0	0.00		67	77.01		4	4.60					3	3.45		87	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	
		TOTAL		4	4.60		1	1.15		0	0.00		5	5.75		3	3.45					67	77.01		4	4.60					3	3.45		87	
	FOURTH				Excluded		2	50.00		1	25.00		0	0.00		0	0.00					1	25.00		0	0.00					0	0.00		4	
		TOTAL					3	3.45		1	1.15		5	5.75		3	3.45					68	78.16		4	4.60					3	3.45		87	
	FIFTH						0	0.00			Excluded		0	0.00		1	100.00					0	0.00		0	0.00					0	0.00		1	
		TOTAL					3	3.45					5	5.75		4	4.60					68	78.16		4	4.60					3	3.45		87	
	SIXTH						1	33.33					0	0.00		0	0.00					0	0.00		2	66.67						Excluded		3	
		TOTAL					4	4.60					5	5.75		4	4.60					68	78.16		6	6.90								87	
	SEVENTH						3	75.00					1	25.00			Excluded					0	0.00		0	0.00								4	
		TOTAL					7	8.05					6	6.90								68	78.16		6	6.90								87	
	EIGHTH							Excluded					1	14.29								5	71.43		1	14.29								7	
		TOTAL											7	8.05								73	83.91		7	8.05								87	
	NINTH													Excluded								1	14.29		6	85.71								7	
		TOTAL																				74	85.06		13	14.94								87	
																						Elected													
																																			
Blandford                                                      																																			
	FIRST			2	1.02		8	4.06		1	0.51		18	9.14		2	1.02		2	1.02		120	60.91		41	20.81		2	1.02		1	0.51		197	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		2	100.00		2	
		TOTAL		2	1.02		8	4.06		1	0.51		18	9.14		2	1.02		2	1.02		120	60.91		41	20.81					3	1.52		197	
	THIRD			0	0.00		0	0.00		0	0.00		1	50.00		0	0.00			Excluded		0	0.00		1	50.00					0	0.00		2	
		TOTAL		2	1.02		8	4.06		1	0.51		19	9.64		2	1.02					120	60.91		42	21.32					3	1.52		197	
	FOURTH				Excluded		1	50.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					1	50.00		2	
		TOTAL					9	4.57		1	0.51		19	9.64		2	1.02					120	60.91		42	21.32					4	2.03		197	
	FIFTH						1	100.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00		1	
		TOTAL					10	5.08					19	9.64		2	1.02					120	60.91		42	21.32					4	2.03		197	
	SIXTH						2	50.00					1	25.00		0	0.00					0	0.00		1	25.00						Excluded		4	
		TOTAL					12	6.09					20	10.15		2	1.02					120	60.91		43	21.83								197	
	SEVENTH						0	0.00					0	0.00			Excluded					1	50.00		1	50.00								2	
		TOTAL					12	6.09					20	10.15								121	61.42		44	22.34								197	
	EIGHTH							Excluded					6	50.00								1	8.33		5	41.67								12	
		TOTAL											26	13.20								122	61.93		49	24.87								197	
	NINTH													Excluded								15	57.69		11	42.31								26	
		TOTAL																				137	69.54		60	30.46								197	
																						Elected													
																																			
Boggabilla                                                     																																			
	FIRST			10	2.62		7	1.83		13	3.40		57	14.92		4	1.05		7	1.83		176	46.07		100	26.18		3	0.79		5	1.31		382	
	SECOND			0	0.00		0	0.00		0	0.00		1	33.33		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		2	66.67		3	
		TOTAL		10	2.62		7	1.83		13	3.40		58	15.18		4	1.05		7	1.83		176	46.07		100	26.18					7	1.83		382	
	THIRD			0	0.00		0	0.00		0	0.00		1	14.29		1	14.29			Excluded		2	28.57		1	14.29					2	28.57		7	
		TOTAL		10	2.62		7	1.83		13	3.40		59	15.45		5	1.31					178	46.60		101	26.44					9	2.36		382	
	FOURTH				Excluded		6	60.00		1	10.00		2	20.00		0	0.00					0	0.00		0	0.00					1	10.00		10	
		TOTAL					13	3.40		14	3.66		61	15.97		5	1.31					178	46.60		101	26.44					10	2.62		382	
	FIFTH						4	28.57			Excluded		0	0.00		6	42.86					2	14.29		2	14.29					0	0.00		14	
		TOTAL					17	4.45					61	15.97		11	2.88					180	47.12		103	26.96					10	2.62		382	
	SIXTH						3	30.00					4	40.00		0	0.00					1	10.00		2	20.00						Excluded		10	
		TOTAL					20	5.24					65	17.02		11	2.88					181	47.38		105	27.49								382	
	SEVENTH						3	27.27					3	27.27			Excluded					2	18.18		3	27.27								11	
		TOTAL					23	6.02					68	17.80								183	47.91		108	28.27								382	
	EIGHTH							Excluded					11	47.83								8	34.78		4	17.39								23	
		TOTAL											79	20.68								191	50.00		112	29.32								382	
	NINTH													Excluded								34	43.04		45	56.96								79	
		TOTAL																				225	58.90		157	41.10								382	
																						Elected													
																																			
Boggabri                                                       																																			
	FIRST			5	0.72		42	6.02		12	1.72		66	9.46		3	0.43		6	0.86		377	54.01		137	19.63		2	0.29		48	6.88		698	
	SECOND			0	0.00		1	50.00		1	50.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		2	
		TOTAL		5	0.72		43	6.16		13	1.86		66	9.46		3	0.43		6	0.86		377	54.01		137	19.63					48	6.88		698	
	THIRD			1	16.67		0	0.00		1	16.67		0	0.00		1	16.67			Excluded		2	33.33		1	16.67					0	0.00		6	
		TOTAL		6	0.86		43	6.16		14	2.01		66	9.46		4	0.57					379	54.30		138	19.77					48	6.88		698	
	FOURTH				Excluded		2	33.33		1	16.67		1	16.67		0	0.00					1	16.67		0	0.00					1	16.67		6	
		TOTAL					45	6.45		15	2.15		67	9.60		4	0.57					380	54.44		138	19.77					49	7.02		698	
	FIFTH						4	26.67			Excluded		1	6.67		2	13.33					4	26.67		1	6.67					3	20.00		15	
		TOTAL					49	7.02					68	9.74		6	0.86					384	55.01		139	19.91					52	7.45		698	
	SIXTH						15	28.85					8	15.38		0	0.00					15	28.85		14	26.92						Excluded		52	
		TOTAL					64	9.17					76	10.89		6	0.86					399	57.16		153	21.92								698	
	SEVENTH						1	16.67					1	16.67			Excluded					0	0.00		4	66.67								6	
		TOTAL					65	9.31					77	11.03								399	57.16		157	22.49								698	
	EIGHTH							Excluded					35	53.85								13	20.00		17	26.15								65	
		TOTAL											112	16.05								412	59.03		174	24.93								698	
	NINTH													Excluded								56	50.00		56	50.00								112	
		TOTAL																				468	67.05		230	32.95								698	
																						Elected													
																																			
Boomi                                                          																																			
	FIRST			2	1.39		7	4.86		0	0.00		15	10.42		1	0.69		1	0.69		94	65.28		21	14.58		2	1.39		1	0.69		144	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		1	50.00		1	50.00		0	0.00		0	0.00			Excluded		0	0.00		2	
		TOTAL		2	1.39		7	4.86		0	0.00		15	10.42		2	1.39		2	1.39		94	65.28		21	14.58					1	0.69		144	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	50.00		1	50.00					0	0.00		2	
		TOTAL		2	1.39		7	4.86		0	0.00		15	10.42		2	1.39					95	65.97		22	15.28					1	0.69		144	
	FOURTH				Excluded		0	0.00		1	50.00		0	0.00		0	0.00					1	50.00		0	0.00					0	0.00		2	
		TOTAL					7	4.86		1	0.69		15	10.42		2	1.39					96	66.67		22	15.28					1	0.69		144	
	FIFTH						1	100.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00		1	
		TOTAL					8	5.56					15	10.42		2	1.39					96	66.67		22	15.28					1	0.69		144	
	SIXTH						0	0.00					0	0.00		0	0.00					0	0.00		1	100.00						Excluded		1	
		TOTAL					8	5.56					15	10.42		2	1.39					96	66.67		23	15.97								144	
	SEVENTH						0	0.00					1	50.00			Excluded					0	0.00		1	50.00								2	
		TOTAL					8	5.56					16	11.11								96	66.67		24	16.67								144	
	EIGHTH							Excluded					4	50.00								4	50.00		0	0.00								8	
		TOTAL											20	13.89								100	69.44		24	16.67								144	
	NINTH													Excluded								11	55.00		9	45.00								20	
		TOTAL																				111	77.08		33	22.92								144	
																						Elected													
																																			
Bourke                                                         																																			
	FIRST			25	2.00		30	2.40		27	2.16		172	13.74		17	1.36		30	2.40		651	52.00		282	22.52		9	0.72		9	0.72		1252	
	SECOND			1	11.11		1	11.11		1	11.11		2	22.22		0	0.00		0	0.00		1	11.11		0	0.00			Excluded		3	33.33		9	
		TOTAL		26	2.08		31	2.48		28	2.24		174	13.90		17	1.36		30	2.40		652	52.08		282	22.52					12	0.96		1252	
	THIRD			3	10.00		3	10.00		1	3.33		5	16.67		4	13.33			Excluded		9	30.00		3	10.00					2	6.67		30	
		TOTAL		29	2.32		34	2.72		29	2.32		179	14.30		21	1.68					661	52.80		285	22.76					14	1.12		1252	
	FOURTH				Excluded		21	72.41		4	13.79		1	3.45		1	3.45					1	3.45		1	3.45					0	0.00		29	
		TOTAL					55	4.39		33	2.64		180	14.38		22	1.76					662	52.88		286	22.84					14	1.12		1252	
	FIFTH						14	42.42			Excluded		6	18.18		2	6.06					4	12.12		5	15.15					2	6.06		33	
		TOTAL					69	5.51					186	14.86		24	1.92					666	53.19		291	23.24					16	1.28		1252	
	SIXTH						8	50.00					0	0.00		2	12.50					2	12.50		4	25.00						Excluded		16	
		TOTAL					77	6.15					186	14.86		26	2.08					668	53.35		295	23.56								1252	
	SEVENTH						4	15.38					3	11.54			Excluded					13	50.00		6	23.08								26	
		TOTAL					81	6.47					189	15.10								681	54.39		301	24.04								1252	
	EIGHTH							Excluded					37	45.68								22	27.16		22	27.16								81	
		TOTAL											226	18.05								703	56.15		323	25.80								1252	
	NINTH													Excluded								132	58.41		94	41.59								226	
		TOTAL																				835	66.69		417	33.31								1252	
																						Elected													
																																			
Breeza                                                         																																			
	FIRST			0	0.00		17	14.78		3	2.61		7	6.09		0	0.00		3	2.61		64	55.65		16	13.91		2	1.74		3	2.61		115	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		2	100.00		2	
		TOTAL		0	0.00		17	14.78		3	2.61		7	6.09		0	0.00		3	2.61		64	55.65		16	13.91					5	4.35		115	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		2	66.67		0	0.00					1	33.33		3	
		TOTAL		0	0.00		17	14.78		3	2.61		7	6.09		0	0.00					66	57.39		16	13.91					6	5.22		115	
	FOURTH				Excluded		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00		0	
		TOTAL					17	14.78		3	2.61		7	6.09		0	0.00					66	57.39		16	13.91					6	5.22		115	
	FIFTH						0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00					3	100.00		3	
		TOTAL					17	14.78					7	6.09		0	0.00					66	57.39		16	13.91					9	7.83		115	
	SIXTH						2	22.22					0	0.00		1	11.11					1	11.11		5	55.56						Excluded		9	
		TOTAL					19	16.52					7	6.09		1	0.87					67	58.26		21	18.26								115	
	SEVENTH						0	0.00					0	0.00			Excluded					0	0.00		1	100.00								1	
		TOTAL					19	16.52					7	6.09								67	58.26		22	19.13								115	
	EIGHTH							Excluded					9	47.37								5	26.32		5	26.32								19	
		TOTAL											16	13.91								72	62.61		27	23.48								115	
	NINTH													Excluded								10	62.50		6	37.50								16	
		TOTAL																				82	71.30		33	28.70								115	
																						Elected													
																																			
Brewarrina                                                     																																			
	FIRST			18	3.35		12	2.23		4	0.74		55	10.24		4	0.74		8	1.49		236	43.95		194	36.13		3	0.56		3	0.56		537	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		3	100.00		3	
		TOTAL		18	3.35		12	2.23		4	0.74		55	10.24		4	0.74		8	1.49		236	43.95		194	36.13					6	1.12		537	
	THIRD			1	12.50		0	0.00		1	12.50		1	12.50		4	50.00			Excluded		0	0.00		1	12.50					0	0.00		8	
		TOTAL		19	3.54		12	2.23		5	0.93		56	10.43		8	1.49					236	43.95		195	36.31					6	1.12		537	
	FOURTH				Excluded		15	78.95		1	5.26		2	10.53		0	0.00					0	0.00		1	5.26					0	0.00		19	
		TOTAL					27	5.03		6	1.12		58	10.80		8	1.49					236	43.95		196	36.50					6	1.12		537	
	FIFTH						1	16.67			Excluded		1	16.67		3	50.00					1	16.67		0	0.00					0	0.00		6	
		TOTAL					28	5.21					59	10.99		11	2.05					237	44.13		196	36.50					6	1.12		537	
	SIXTH						3	50.00					0	0.00		1	16.67					0	0.00		2	33.33						Excluded		6	
		TOTAL					31	5.77					59	10.99		12	2.23					237	44.13		198	36.87								537	
	SEVENTH						5	41.67					2	16.67			Excluded					1	8.33		4	33.33								12	
		TOTAL					36	6.70					61	11.36								238	44.32		202	37.62								537	
	EIGHTH							Excluded					27	75.00								4	11.11		5	13.89								36	
		TOTAL											88	16.39								242	45.07		207	38.55								537	
	NINTH													Excluded								67	76.14		21	23.86								88	
		TOTAL																				309	57.54		228	42.46								537	
																						Elected													
																																			
Bugaldie                                                       																																			
	FIRST			1	1.09		4	4.35		1	1.09		11	11.96		5	5.43		0	0.00		65	70.65		3	3.26		0	0.00		2	2.17		92	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		1	1.09		4	4.35		1	1.09		11	11.96		5	5.43		0	0.00		65	70.65		3	3.26					2	2.17		92	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	
		TOTAL		1	1.09		4	4.35		1	1.09		11	11.96		5	5.43					65	70.65		3	3.26					2	2.17		92	
	FOURTH				Excluded		0	0.00		1	100.00		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00		1	
		TOTAL					4	4.35		2	2.17		11	11.96		5	5.43					65	70.65		3	3.26					2	2.17		92	
	FIFTH						0	0.00			Excluded		0	0.00		1	50.00					1	50.00		0	0.00					0	0.00		2	
		TOTAL					4	4.35					11	11.96		6	6.52					66	71.74		3	3.26					2	2.17		92	
	SIXTH						1	50.00					1	50.00		0	0.00					0	0.00		0	0.00						Excluded		2	
		TOTAL					5	5.43					12	13.04		6	6.52					66	71.74		3	3.26								92	
	SEVENTH						1	16.67					0	0.00			Excluded					2	33.33		3	50.00								6	
		TOTAL					6	6.52					12	13.04								68	73.91		6	6.52								92	
	EIGHTH							Excluded					3	50.00								3	50.00		0	0.00								6	
		TOTAL											15	16.30								71	77.17		6	6.52								92	
	NINTH													Excluded								7	46.67		8	53.33								15	
		TOTAL																				78	84.78		14	15.22								92	
																						Elected													
																																			
Bullarah                                                       																																			
	FIRST			0	0.00		4	3.60		0	0.00		13	11.71		0	0.00		2	1.80		83	74.77		4	3.60		0	0.00		5	4.50		111	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		0	0.00		4	3.60		0	0.00		13	11.71		0	0.00		2	1.80		83	74.77		4	3.60					5	4.50		111	
	THIRD			1	50.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	50.00					0	0.00		2	
		TOTAL		1	0.90		4	3.60		0	0.00		13	11.71		0	0.00					83	74.77		5	4.50					5	4.50		111	
	FOURTH				Excluded		1	100.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00		1	
		TOTAL					5	4.50		0	0.00		13	11.71		0	0.00					83	74.77		5	4.50					5	4.50		111	
