House of Representatives - 2001 Election: New South Wales											
Two Candidate Preferred Preference Flow Result											
By Polling Place by Division											
											
Hughes (85741)											
		Candidate		"VALE, Danna"		                	"HAWKINS, Christine"		         	Total	
			1st Prefs	967	62.15		589	37.85		1556	
		"HEEMSTRA, Simon (GRN)"	66	16	24.24		50	75.76		66	
		"RYAN, William (CTA)"	39	26	66.67		13	33.33		39	
		"OZ, Susan (HAN)"	40	15	37.50		25	62.50		40	
		"VAN DE WEG, Bruce (DEM)"	58	17	29.31		41	70.69		58	
		Total	203	1041	59.18		718	40.82		1759	

	Menai North										
			1st Prefs	794	65.89		411	34.11		1205	
		"HEEMSTRA, Simon (GRN)"	55	20	36.36		35	63.64		55	
		"RYAN, William (CTA)"	24	14	58.33		10	41.67		24	
		"OZ, Susan (HAN)"	37	19	51.35		18	48.65		37	
		"VAN DE WEG, Bruce (DEM)"	55	21	38.18		34	61.82		55	
		Total	171	868	63.08		508	36.92		1376	

	Moorebank										
			1st Prefs	1857	58.07		1341	41.93		3198	
		"HEEMSTRA, Simon (GRN)"	123	56	45.53		67	54.47		123	
		"RYAN, William (CTA)"	38	23	60.53		15	39.47		38	
		"OZ, Susan (HAN)"	238	91	38.24		147	61.76		238	
		"VAN DE WEG, Bruce (DEM)"	135	46	34.07		89	65.93		135	
		Total	534	2073	55.55		1659	44.45		3732	

	Newbridge Heights										
			1st Prefs	1032	60.14		684	39.86		1716	
		"HEEMSTRA, Simon (GRN)"	81	37	45.68		44	54.32		81	
		"RYAN, William (CTA)"	38	31	81.58		7	18.42		38	
		"OZ, Susan (HAN)"	117	52	44.44		65	55.56		117	
		"VAN DE WEG, Bruce (DEM)"	59	12	20.34		47	79.66		59	
		Total	295	1164	57.88		847	42.12		2011	

	Oyster Bay										
			1st Prefs	1212	65.58		636	34.42		1848	
		"HEEMSTRA, Simon (GRN)"	112	24	21.43		88	78.57		112	
		"RYAN, William (CTA)"	35	26	74.29		9	25.71		35	
		"OZ, Susan (HAN)"	91	49	53.85		42	46.15		91	
		"VAN DE WEG, Bruce (DEM)"	89	35	39.33		54	60.67		89	
		Total	327	1346	61.89		829	38.11		2175	

	Prince Edward Park										
			1st Prefs	335	66.47		169	33.53		504	
		"HEEMSTRA, Simon (GRN)"	62	14	22.58		48	77.42		62	
		"RYAN, William (CTA)"	8	4	50.00		4	50.00		8	
		"OZ, Susan (HAN)"	23	13	56.52		10	43.48		23	
		"VAN DE WEG, Bruce (DEM)"	11	5	45.45		6	54.55		11	
		Total	104	371	61.02		237	38.98		608	

	Sandy Point										
			1st Prefs	208	73.76		74	26.24		282	
		"HEEMSTRA, Simon (GRN)"	12	3	25.00		9	75.00		12	
		"RYAN, William (CTA)"	3	3	100.00		0	0.00		3	
		"OZ, Susan (HAN)"	16	13	81.25		3	18.75		16	
		"VAN DE WEG, Bruce (DEM)"	9	3	33.33		6	66.67		9	
		Total	40	230	71.43		92	28.57		322	

	Sutherland										
			1st Prefs	1047	56.56		804	43.44		1851	
		"HEEMSTRA, Simon (GRN)"	122	32	26.23		90	73.77		122	
		"RYAN, William (CTA)"	61	53	86.89		8	13.11		61	
		"OZ, Susan (HAN)"	97	40	41.24		57	58.76		97	
		"VAN DE WEG, Bruce (DEM)"	86	24	27.91		62	72.09		86	
		Total	366	1196	53.95		1021	46.05		2217	

	Sutherland East										
			1st Prefs	460	55.83		364	44.17		824	
		"HEEMSTRA, Simon (GRN)"	57	21	36.84		36	63.16		57	
		"RYAN, William (CTA)"	32	23	71.88		9	28.13		32	
		"OZ, Susan (HAN)"	40	19	47.50		21	52.50		40	
		"VAN DE WEG, Bruce (DEM)"	25	9	36.00		16	64.00		25	
		Total	154	532	54.40		446	45.60		978	

	Sutherland North (Hughes)										
			1st Prefs	442	60.05		294	39.95		736	
		"HEEMSTRA, Simon (GRN)"	27	10	37.04		17	62.96		27	
		"RYAN, William (CTA)"	16	11	68.75		5	31.25		16	
		"OZ, Susan (HAN)"	32	20	62.50		12	37.50		32	
		"VAN DE WEG, Bruce (DEM)"	32	16	50.00		16	50.00		32	
		Total	107	499	59.19		344	40.81		843	

	Sutherland West										
			1st Prefs	304	57.14		228	42.86		532	
		"HEEMSTRA, Simon (GRN)"	35	8	22.86		27	77.14		35	
		"RYAN, William (CTA)"	7	3	42.86		4	57.14		7	
		"OZ, Susan (HAN)"	37	18	48.65		19	51.35		37	
		"VAN DE WEG, Bruce (DEM)"	23	6	26.09		17	73.91		23	
		Total	102	339	53.47		295	46.53		634	

	Sydney (Hughes)										
			1st Prefs	39	54.17		33	45.83		72	
		"HEEMSTRA, Simon (GRN)"	8	4	50.00		4	50.00		8	
		"RYAN, William (CTA)"	2	1	50.00		1	50.00		2	
		"OZ, Susan (HAN)"	3	1	33.33		2	66.67		3	
		"VAN DE WEG, Bruce (DEM)"	5	2	40.00		3	60.00		5	
		Total	18	47	52.22		43	47.78		90	

	Waterfall										
			1st Prefs	122	59.80		82	40.20		204	
		"HEEMSTRA, Simon (GRN)"	33	8	24.24		25	75.76		33	
		"RYAN, William (CTA)"	10	6	60.00		4	40.00		10	
		"OZ, Susan (HAN)"	27	7	25.93		20	74.07		27	
		"VAN DE WEG, Bruce (DEM)"	7	1	14.29		6	85.71		7	
		Total	77	144	51.25		137	48.75		281	

	Wattle Grove										
			1st Prefs	1749	57.65		1285	42.35		3034	
		"HEEMSTRA, Simon (GRN)"	103	35	33.98		68	66.02		103	
		"RYAN, William (CTA)"	95	81	85.26		14	14.74		95	
		"OZ, Susan (HAN)"	138	75	54.35		63	45.65		138	
		"VAN DE WEG, Bruce (DEM)"	153	50	32.68		103	67.32		153	
		Total	489	1990	56.49		1533	43.51		3523	

	Wattle Grove South										
			1st Prefs	400	60.42		262	39.58		662	
		"HEEMSTRA, Simon (GRN)"	27	8	29.63		19	70.37		27	
		"RYAN, William (CTA)"	10	7	70.00		3	30.00		10	
		"OZ, Susan (HAN)"	26	11	42.31		15	57.69		26	
		"VAN DE WEG, Bruce (DEM)"	20	11	55.00		9	45.00		20	
		Total	83	437	58.66		308	41.34		745	

	Woronora Heights										
			1st Prefs	582	69.45		256	30.55		838	
		"HEEMSTRA, Simon (GRN)"	38	9	23.68		29	76.32		38	
		"RYAN, William (CTA)"	24	18	75.00		6	25.00		24	
		"OZ, Susan (HAN)"	35	21	60.00		14	40.00		35	
		"VAN DE WEG, Bruce (DEM)"	32	11	34.38		21	65.63		32	
		Total	129	641	66.29		326	33.71		967	

	Woronora River										
			1st Prefs	264	66.84		131	33.16		395	
		"HEEMSTRA, Simon (GRN)"	45	10	22.22		35	77.78		45	
		"RYAN, William (CTA)"	5	2	40.00		3	60.00		5	
		"OZ, Susan (HAN)"	29	20	68.97		9	31.03		29	
		"VAN DE WEG, Bruce (DEM)"	17	7	41.18		10	58.82		17	
		Total	96	303	61.71		188	38.29		491	

	Yarrawarrah										
			1st Prefs	860	62.41		518	37.59		1378	
		"HEEMSTRA, Simon (GRN)"	63	21	33.33		42	66.67		63	
		"RYAN, William (CTA)"	26	21	80.77		5	19.23		26	
		"OZ, Susan (HAN)"	88	37	42.05		51	57.95		88	
		"VAN DE WEG, Bruce (DEM)"	57	24	42.11		33	57.89		57	
		Total	234	963	59.74		649	40.26		1612	

	Special Hospitals										
			1st Prefs	189	62.17		115	37.83		304	
		"HEEMSTRA, Simon (GRN)"	1	1	100.00		0	0.00		1	
		"RYAN, William (CTA)"	4	4	100.00		0	0.00		4	
		"OZ, Susan (HAN)"	6	4	66.67		2	33.33		6	
		"VAN DE WEG, Bruce (DEM)"	0	0	0.00		0	0.00		0	
		Total	11	198	62.86		117	37.14		315	

	Total Ordinary										
			1st Prefs	35648	62.79		21124	37.21		56772	
		"HEEMSTRA, Simon (GRN)"	2987	897	30.03		2090	69.97		2987	
		"RYAN, William (CTA)"	1418	1107	78.07		311	21.93		1418	
		"OZ, Susan (HAN)"	3196	1540	48.19		1656	51.81		3196	
		"VAN DE WEG, Bruce (DEM)"	2336	825	35.32		1511	64.68		2336	
		Total	9937	40017	59.99		26692	40.01		66709	

	ABSENT										
			1st Prefs	2774	62.80		1643	37.20		4417	
		"HEEMSTRA, Simon (GRN)"	371	165	44.47		206	55.53		371	
		"RYAN, William (CTA)"	152	118	77.63		34	22.37		152	
		"OZ, Susan (HAN)"	285	153	53.68		132	46.32		285	
		"VAN DE WEG, Bruce (DEM)"	243	93	38.27		150	61.73		243	
		Total	1051	3303	60.41		2165	39.59		5468	

	POSTAL										
			1st Prefs	1652	68.86		747	31.14		2399	
		"HEEMSTRA, Simon (GRN)"	72	31	43.06		41	56.94		72	
		"RYAN, William (CTA)"	37	35	94.59		2	5.41		37	
		"OZ, Susan (HAN)"	142	82	57.75		60	42.25		142	
		"VAN DE WEG, Bruce (DEM)"	76	30	39.47		46	60.53		76	
		Total	327	1830	67.13		896	32.87		2726	

	PRE_POLL										
			1st Prefs	2149	66.31		1092	33.69		3241	
		"HEEMSTRA, Simon (GRN)"	152	56	36.84		96	63.16		152	
		"RYAN, William (CTA)"	64	47	73.44		17	26.56		64	
		"OZ, Susan (HAN)"	244	121	49.59		123	50.41		244	
		"VAN DE WEG, Bruce (DEM)"	145	55	37.93		90	62.07		145	
		Total	605	2428	63.13		1418	36.87		3846	

	PROVISIONAL										
			1st Prefs	170	62.96		100	37.04		270	
		"HEEMSTRA, Simon (GRN)"	22	9	40.91		13	59.09		22	
		"RYAN, William (CTA)"	5	2	40.00		3	60.00		5	
		"OZ, Susan (HAN)"	18	9	50.00		9	50.00		18	
		"VAN DE WEG, Bruce (DEM)"	11	5	45.45		6	54.55		11	
		Total	56	195	59.82		131	40.18		326	

	Division Summary										
			1st Prefs	42393	63.18		24706	36.82		67099	
		"HEEMSTRA, Simon (GRN)"	3604	1158	32.13		2446	67.87		3604	
		"RYAN, William (CTA)"	1676	1309	78.10		367	21.90		1676	
		"OZ, Susan (HAN)"	3885	1905	49.03		1980	50.97		3885	
		"VAN DE WEG, Bruce (DEM)"	2811	1008	35.86		1803	64.14		2811	
		Total	11976	47773	60.41		31302	39.59		79075	
