House of Representatives - 2001 Election: New South Wales											
Two Candidate Preferred Preference Flow Result											
By Polling Place by Division											
											
Kingsford Smith (86647)											
		Candidate		"NOTLEY-SMITH, Bruce"		        	"BRERETON, Laurie"		           	Total	
		Total	305	1043	49.93		1046	50.07		2089	

	Kingsford										
			1st Prefs	185	35.04		343	64.96		528	
		"BROWN, Jill (HAN)"	18	11	61.11		7	38.89		18	
		"HURWITZ, Arthur (GRN)"	43	9	20.93		34	79.07		43	
		"CARMAN, Marina ()"	3	1	33.33		2	66.67		3	
		"ZAKRZEWSKI, Peter (DEM)"	22	5	22.73		17	77.27		22	
		Total	86	211	34.36		403	65.64		614	

	Kingsford South										
			1st Prefs	541	37.36		907	62.64		1448	
		"BROWN, Jill (HAN)"	80	61	76.25		19	23.75		80	
		"HURWITZ, Arthur (GRN)"	100	21	21.00		79	79.00		100	
		"CARMAN, Marina ()"	9	5	55.56		4	44.44		9	
		"ZAKRZEWSKI, Peter (DEM)"	68	20	29.41		48	70.59		68	
		Total	257	648	38.01		1057	61.99		1705	

	La Perouse										
			1st Prefs	363	41.16		519	58.84		882	
		"BROWN, Jill (HAN)"	102	75	73.53		27	26.47		102	
		"HURWITZ, Arthur (GRN)"	73	14	19.18		59	80.82		73	
		"CARMAN, Marina ()"	12	3	25.00		9	75.00		12	
		"ZAKRZEWSKI, Peter (DEM)"	38	7	18.42		31	81.58		38	
		Total	225	462	41.73		645	58.27		1107	

	Malabar										
			1st Prefs	726	44.13		919	55.87		1645	
		"BROWN, Jill (HAN)"	146	111	76.03		35	23.97		146	
		"HURWITZ, Arthur (GRN)"	136	28	20.59		108	79.41		136	
		"CARMAN, Marina ()"	6	2	33.33		4	66.67		6	
		"ZAKRZEWSKI, Peter (DEM)"	74	21	28.38		53	71.62		74	
		Total	362	888	44.25		1119	55.75		2007	

	Maroubra										
			1st Prefs	636	49.42		651	50.58		1287	
		"BROWN, Jill (HAN)"	51	34	66.67		17	33.33		51	
		"HURWITZ, Arthur (GRN)"	134	32	23.88		102	76.12		134	
		"CARMAN, Marina ()"	7	5	71.43		2	28.57		7	
		"ZAKRZEWSKI, Peter (DEM)"	65	19	29.23		46	70.77		65	
		Total	257	726	47.02		818	52.98		1544	

	Maroubra Bay										
			1st Prefs	542	45.47		650	54.53		1192	
		"BROWN, Jill (HAN)"	50	37	74.00		13	26.00		50	
		"HURWITZ, Arthur (GRN)"	215	39	18.14		176	81.86		215	
		"CARMAN, Marina ()"	9	2	22.22		7	77.78		9	
		"ZAKRZEWSKI, Peter (DEM)"	78	24	30.77		54	69.23		78	
		Total	352	644	41.71		900	58.29		1544	

	Maroubra East										
			1st Prefs	583	66.55		293	33.45		876	
		"BROWN, Jill (HAN)"	45	35	77.78		10	22.22		45	
		"HURWITZ, Arthur (GRN)"	70	16	22.86		54	77.14		70	
		"CARMAN, Marina ()"	6	3	50.00		3	50.00		6	
		"ZAKRZEWSKI, Peter (DEM)"	40	12	30.00		28	70.00		40	
		Total	161	649	62.58		388	37.42		1037	

	Maroubra Junction										
			1st Prefs	1571	45.39		1890	54.61		3461	
		"BROWN, Jill (HAN)"	185	140	75.68		45	24.32		185	
		"HURWITZ, Arthur (GRN)"	251	60	23.90		191	76.10		251	
		"CARMAN, Marina ()"	39	13	33.33		26	66.67		39	
		"ZAKRZEWSKI, Peter (DEM)"	213	56	26.29		157	73.71		213	
		Total	688	1840	44.35		2309	55.65		4149	

	Mascot										
			1st Prefs	363	26.02		1032	73.98		1395	
		"BROWN, Jill (HAN)"	146	107	73.29		39	26.71		146	
		"HURWITZ, Arthur (GRN)"	93	21	22.58		72	77.42		93	
		"CARMAN, Marina ()"	9	3	33.33		6	66.67		9	
		"ZAKRZEWSKI, Peter (DEM)"	67	24	35.82		43	64.18		67	
		Total	315	518	30.29		1192	69.71		1710	

	Mascot East										
			1st Prefs	673	27.16		1805	72.84		2478	
		"BROWN, Jill (HAN)"	167	137	82.04		30	17.96		167	
		"HURWITZ, Arthur (GRN)"	119	25	21.01		94	78.99		119	
		"CARMAN, Marina ()"	13	5	38.46		8	61.54		13	
		"ZAKRZEWSKI, Peter (DEM)"	75	19	25.33		56	74.67		75	
		Total	374	859	30.12		1993	69.88		2852	

	Mascot North										
			1st Prefs	178	24.35		553	75.65		731	
		"BROWN, Jill (HAN)"	47	29	61.70		18	38.30		47	
		"HURWITZ, Arthur (GRN)"	22	4	18.18		18	81.82		22	
		"CARMAN, Marina ()"	5	5	100.00		0	0.00		5	
		"ZAKRZEWSKI, Peter (DEM)"	23	6	26.09		17	73.91		23	
		Total	97	222	26.81		606	73.19		828	

	Matraville										
			1st Prefs	431	37.77		710	62.23		1141	
		"BROWN, Jill (HAN)"	104	79	75.96		25	24.04		104	
		"HURWITZ, Arthur (GRN)"	47	16	34.04		31	65.96		47	
		"CARMAN, Marina ()"	8	2	25.00		6	75.00		8	
		"ZAKRZEWSKI, Peter (DEM)"	38	15	39.47		23	60.53		38	
		Total	197	543	40.58		795	59.42		1338	

	Nagle Park										
			1st Prefs	687	43.76		883	56.24		1570	
		"BROWN, Jill (HAN)"	105	80	76.19		25	23.81		105	
		"HURWITZ, Arthur (GRN)"	115	21	18.26		94	81.74		115	
		"CARMAN, Marina ()"	11	5	45.45		6	54.55		11	
		"ZAKRZEWSKI, Peter (DEM)"	77	27	35.06		50	64.94		77	
		Total	308	820	43.66		1058	56.34		1878	

	Ocean View Park										
			1st Prefs	1120	42.90		1491	57.10		2611	
		"BROWN, Jill (HAN)"	159	114	71.70		45	28.30		159	
		"HURWITZ, Arthur (GRN)"	230	43	18.70		187	81.30		230	
		"CARMAN, Marina ()"	18	10	55.56		8	44.44		18	
		"ZAKRZEWSKI, Peter (DEM)"	170	50	29.41		120	70.59		170	
		Total	577	1337	41.94		1851	58.06		3188	

	Peters Corner (Kingsford Smith)										
			1st Prefs	483	45.78		572	54.22		1055	
		"BROWN, Jill (HAN)"	29	21	72.41		8	27.59		29	
		"HURWITZ, Arthur (GRN)"	170	43	25.29		127	74.71		170	
		"CARMAN, Marina ()"	21	5	23.81		16	76.19		21	
		"ZAKRZEWSKI, Peter (DEM)"	119	27	22.69		92	77.31		119	
		Total	339	579	41.54		815	58.46		1394	

	Prince Henry										
			1st Prefs	206	38.94		323	61.06		529	
		"BROWN, Jill (HAN)"	65	42	64.62		23	35.38		65	
		"HURWITZ, Arthur (GRN)"	21	7	33.33		14	66.67		21	
		"CARMAN, Marina ()"	1	1	100.00		0	0.00		1	
		"ZAKRZEWSKI, Peter (DEM)"	22	4	18.18		18	81.82		22	
		Total	109	260	40.75		378	59.25		638	

	Prince Of Wales										
			1st Prefs	82	38.50		131	61.50		213	
		"BROWN, Jill (HAN)"	10	9	90.00		1	10.00		10	
		"HURWITZ, Arthur (GRN)"	19	9	47.37		10	52.63		19	
		"CARMAN, Marina ()"	2	0	0.00		2	100.00		2	
		"ZAKRZEWSKI, Peter (DEM)"	21	9	42.86		12	57.14		21	
		Total	52	109	41.13		156	58.87		265	

	Qantas										
			1st Prefs	15	38.46		24	61.54		39	
		"BROWN, Jill (HAN)"	2	2	100.00		0	0.00		2	
		"HURWITZ, Arthur (GRN)"	3	1	33.33		2	66.67		3	
		"CARMAN, Marina ()"	0	0	0.00		0	0.00		0	
		"ZAKRZEWSKI, Peter (DEM)"	0	0	0.00		0	0.00		0	
		Total	5	18	40.91		26	59.09		44	

	Randwick Girls High										
			1st Prefs	729	48.76		766	51.24		1495	
		"BROWN, Jill (HAN)"	63	50	79.37		13	20.63		63	
		"HURWITZ, Arthur (GRN)"	175	41	23.43		134	76.57		175	
		"CARMAN, Marina ()"	15	4	26.67		11	73.33		15	
		"ZAKRZEWSKI, Peter (DEM)"	141	44	31.21		97	68.79		141	
		Total	394	868	45.95		1021	54.05		1889	

	Sydney (Kingsford Smith)										
			1st Prefs	56	40.58		82	59.42		138	
		"BROWN, Jill (HAN)"	6	3	50.00		3	50.00		6	
		"HURWITZ, Arthur (GRN)"	17	3	17.65		14	82.35		17	
		"CARMAN, Marina ()"	4	2	50.00		2	50.00		4	
		"ZAKRZEWSKI, Peter (DEM)"	16	6	37.50		10	62.50		16	
		Total	43	70	38.67		111	61.33		181	

	The Rainbow										
			1st Prefs	442	46.82		502	53.18		944	
		"BROWN, Jill (HAN)"	30	20	66.67		10	33.33		30	
		"HURWITZ, Arthur (GRN)"	104	13	12.50		91	87.50		104	
		"CARMAN, Marina ()"	6	3	50.00		3	50.00		6	
		"ZAKRZEWSKI, Peter (DEM)"	72	19	26.39		53	73.61		72	
		Total	212	497	42.99		659	57.01		1156	

	The Spot										
			1st Prefs	373	47.22		417	52.78		790	
		"BROWN, Jill (HAN)"	29	23	79.31		6	20.69		29	
		"HURWITZ, Arthur (GRN)"	138	23	16.67		115	83.33		138	
		"CARMAN, Marina ()"	9	6	66.67		3	33.33		9	
		"ZAKRZEWSKI, Peter (DEM)"	114	37	32.46		77	67.54		114	
		Total	290	462	42.78		618	57.22		1080	

	Special Hospitals										
			1st Prefs	88	48.35		94	51.65		182	
		"BROWN, Jill (HAN)"	10	8	80.00		2	20.00		10	
		"HURWITZ, Arthur (GRN)"	12	5	41.67		7	58.33		12	
		"CARMAN, Marina ()"	1	0	0.00		1	100.00		1	
		"ZAKRZEWSKI, Peter (DEM)"	3	1	33.33		2	66.67		3	
		Total	26	102	49.04		106	50.96		208	

	Total Ordinary										
			1st Prefs	21720	41.10		31132	58.90		52852	
		"BROWN, Jill (HAN)"	3147	2347	74.58		800	25.42		3147	
		"HURWITZ, Arthur (GRN)"	4596	902	19.63		3694	80.37		4596	
		"CARMAN, Marina ()"	418	180	43.06		238	56.94		418	
		"ZAKRZEWSKI, Peter (DEM)"	3132	887	28.32		2245	71.68		3132	
		Total	11293	26036	40.59		38109	59.41		64145	

	ABSENT										
			1st Prefs	1754	47.04		1975	52.96		3729	
		"BROWN, Jill (HAN)"	220	155	70.45		65	29.55		220	
		"HURWITZ, Arthur (GRN)"	547	125	22.85		422	77.15		547	
		"CARMAN, Marina ()"	84	29	34.52		55	65.48		84	
		"ZAKRZEWSKI, Peter (DEM)"	414	110	26.57		304	73.43		414	
		Total	1265	2173	43.51		2821	56.49		4994	

	POSTAL										
			1st Prefs	1079	46.05		1264	53.95		2343	
		"BROWN, Jill (HAN)"	132	72	54.55		60	45.45		132	
		"HURWITZ, Arthur (GRN)"	99	33	33.33		66	66.67		99	
		"CARMAN, Marina ()"	15	8	53.33		7	46.67		15	
		"ZAKRZEWSKI, Peter (DEM)"	121	36	29.75		85	70.25		121	
		Total	367	1228	45.31		1482	54.69		2710	

	PRE_POLL										
			1st Prefs	1426	45.21		1728	54.79		3154	
		"BROWN, Jill (HAN)"	180	129	71.67		51	28.33		180	
		"HURWITZ, Arthur (GRN)"	267	62	23.22		205	76.78		267	
		"CARMAN, Marina ()"	34	16	47.06		18	52.94		34	
		"ZAKRZEWSKI, Peter (DEM)"	278	87	31.29		191	68.71		278	
		Total	759	1720	43.96		2193	56.04		3913	

	PROVISIONAL										
			1st Prefs	190	36.61		329	63.39		519	
		"BROWN, Jill (HAN)"	31	24	77.42		7	22.58		31	
		"HURWITZ, Arthur (GRN)"	42	12	28.57		30	71.43		42	
		"CARMAN, Marina ()"	7	3	42.86		4	57.14		7	
		"ZAKRZEWSKI, Peter (DEM)"	29	9	31.03		20	68.97		29	
		Total	109	238	37.90		390	62.10		628	

	Division Summary										
			1st Prefs	26169	41.81		36428	58.19		62597	
		"BROWN, Jill (HAN)"	3710	2727	73.50		983	26.50		3710	
		"HURWITZ, Arthur (GRN)"	5551	1134	20.43		4417	79.57		5551	
		"CARMAN, Marina ()"	558	236	42.29		322	57.71		558	
		"ZAKRZEWSKI, Peter (DEM)"	3974	1129	28.41		2845	71.59		3974	
		Total	13793	31395	41.10		44995	58.90		76390	
