Senate - 2001 Election: New South Wales																																																																																	
First Preference Votes by Group 																																																																																	
By Polling Place																																																																																	

Lindsay (81618)																																																																																	
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Group R Total			Group S Total			Group T Total			Group U Total			Group V Total			Group W Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Cranebrook		170	5.51		61	1.98		1	0.03		1	0.03		53	1.72		0	0.00		137	4.44		21	0.68		3	0.10		812	26.30		23	0.75		0	0.00		37	1.20		4	0.13		1	0.03		2	0.06		1563	50.63		27	0.87		7	0.23		123	3.98		0	0.00		0	0.00		41	1.33		0	0.00		3087	96.77		103	3.23		3190	4.07
Emu Heights		131	7.98		74	4.51		0	0.00		0	0.00		18	1.10		0	0.00		102	6.22		13	0.79		1	0.06		485	29.56		15	0.91		2	0.12		11	0.67		0	0.00		3	0.18		1	0.06		709	43.21		6	0.37		1	0.06		58	3.53		0	0.00		0	0.00		11	0.67		0	0.00		1641	97.16		48	2.84		1689	2.16
Emu Plains		183	6.05		79	2.61		1	0.03		1	0.03		29	0.96		0	0.00		175	5.78		20	0.66		5	0.17		827	27.32		20	0.66		2	0.07		26	0.86		0	0.00		3	0.10		0	0.00		1516	50.08		20	0.66		0	0.00		101	3.34		0	0.00		0	0.00		18	0.59		1	0.03		3027	96.99		94	3.01		3121	3.98
Floribunda		103	4.31		46	1.92		0	0.00		0	0.00		22	0.92		0	0.00		100	4.18		13	0.54		1	0.04		603	25.21		7	0.29		3	0.13		10	0.42		1	0.04		3	0.13		5	0.21		1396	58.36		15	0.63		4	0.17		47	1.96		0	0.00		1	0.04		12	0.50		0	0.00		2392	97.47		62	2.53		2454	3.13
Glenbrook		120	5.38		96	4.30		1	0.04		0	0.00		9	0.40		0	0.00		209	9.37		13	0.58		3	0.13		487	21.83		10	0.45		1	0.04		14	0.63		1	0.04		4	0.18		4	0.18		1038	46.53		3	0.13		4	0.18		203	9.10		1	0.04		0	0.00		7	0.31		3	0.13		2231	98.11		43	1.89		2274	2.90
Glenmore Park		144	3.85		54	1.44		2	0.05		2	0.05		52	1.39		2	0.05		165	4.41		18	0.48		10	0.27		1175	31.38		25	0.67		0	0.00		15	0.40		1	0.03		5	0.13		6	0.16		1962	52.40		20	0.53		5	0.13		50	1.34		1	0.03		0	0.00		28	0.75		2	0.05		3744	98.01		76	1.99		3820	4.87
Jamisontown		102	5.83		23	1.31		3	0.17		0	0.00		27	1.54		0	0.00		89	5.08		21	1.20		3	0.17		555	31.70		18	1.03		1	0.06		6	0.34		1	0.06		3	0.17		1	0.06		818	46.72		13	0.74		2	0.11		40	2.28		1	0.06		1	0.06		23	1.31		0	0.00		1751	96.95		55	3.05		1806	2.30
Kingswood		110	6.58		63	3.77		3	0.18		0	0.00		36	2.15		3	0.18		88	5.26		26	1.56		4	0.24		613	36.66		13	0.78		0	0.00		14	0.84		0	0.00		2	0.12		2	0.12		595	35.59		18	1.08		0	0.00		56	3.35		1	0.06		0	0.00		25	1.50		0	0.00		1672	96.65		58	3.35		1730	2.21
Kingswood Park		127	7.72		30	1.82		1	0.06		0	0.00		42	2.55		0	0.00		67	4.07		21	1.28		4	0.24		575	34.93		17	1.03		2	0.12		13	0.79		0	0.00		0	0.00		0	0.00		650	39.49		16	0.97		4	0.24		58	3.52		0	0.00		0	0.00		19	1.15		0	0.00		1646	95.48		78	4.52		1724	2.20
Kingswood South		109	7.47		28	1.92		0	0.00		1	0.07		24	1.64		0	0.00		56	3.84		18	1.23		1	0.07		544	37.29		8	0.55		0	0.00		8	0.55		0	0.00		2	0.14		3	0.21		599	41.06		10	0.69		0	0.00		28	1.92		1	0.07		1	0.07		16	1.10		2	0.14		1459	96.62		51	3.38		1510	1.93
Lapstone		55	4.64		37	3.12		3	0.25		1	0.08		3	0.25		2	0.17		126	10.63		4	0.34		0	0.00		254	21.43		6	0.51		0	0.00		4	0.34		0	0.00		2	0.17		1	0.08		566	47.76		0	0.00		1	0.08		109	9.20		0	0.00		1	0.08		6	0.51		4	0.34		1185	98.10		23	1.90		1208	1.54
Leonay		88	5.32		44	2.66		1	0.06		0	0.00		14	0.85		1	0.06		97	5.87		10	0.60		2	0.12		400	24.20		12	0.73		0	0.00		10	0.60		1	0.06		2	0.12		1	0.06		901	54.51		7	0.42		2	0.12		45	2.72		0	0.00		1	0.06		11	0.67		3	0.18		1653	97.87		36	2.13		1689	2.16
Llandilo		105	9.58		9	0.82		3	0.27		1	0.09		13	1.19		3	0.27		35	3.19		7	0.64		4	0.36		242	22.08		4	0.36		4	0.36		11	1.00		1	0.09		1	0.09		0	0.00		576	52.55		21	1.92		1	0.09		49	4.47		0	0.00		0	0.00		6	0.55		0	0.00		1096	95.14		56	4.86		1152	1.47
Londonderry		194	10.78		36	2.00		1	0.06		2	0.11		35	1.94		2	0.11		54	3.00		15	0.83		7	0.39		477	26.50		21	1.17		2	0.11		19	1.06		0	0.00		0	0.00		1	0.06		829	46.06		35	1.94		2	0.11		50	2.78		0	0.00		0	0.00		18	1.00		0	0.00		1800	94.44		106	5.56		1906	2.43
Mulgoa		54	5.26		33	3.21		0	0.00		0	0.00		10	0.97		1	0.10		35	3.41		11	1.07		0	0.00		169	16.46		5	0.49		0	0.00		8	0.78		0	0.00		1	0.10		2	0.19		654	63.68		8	0.78		2	0.19		28	2.73		1	0.10		0	0.00		5	0.49		0	0.00		1027	95.71		46	4.29		1073	1.37
Nepean High		113	6.94		48	2.95		1	0.06		0	0.00		18	1.11		0	0.00		105	6.45		23	1.41		4	0.25		480	29.48		11	0.68		0	0.00		9	0.55		0	0.00		8	0.49		1	0.06		730	44.84		7	0.43		0	0.00		60	3.69		0	0.00		0	0.00		8	0.49		2	0.12		1628	96.56		58	3.44		1686	2.15
Nepean Hospital		25	5.72		5	1.14		1	0.23		0	0.00		15	3.43		0	0.00		15	3.43		7	1.60		1	0.23		182	41.65		2	0.46		0	0.00		2	0.46		0	0.00		1	0.23		0	0.00		163	37.30		5	1.14		0	0.00		10	2.29		0	0.00		0	0.00		3	0.69		0	0.00		437	96.68		15	3.32		452	0.58
Orchard Hills		50	5.40		38	4.10		0	0.00		0	0.00		11	1.19		0	0.00		29	3.13		2	0.22		0	0.00		187	20.19		6	0.65		0	0.00		2	0.22		0	0.00		1	0.11		0	0.00		568	61.34		5	0.54		0	0.00		19	2.05		1	0.11		0	0.00		7	0.76		0	0.00		926	94.97		49	5.03		975	1.24
Penrith		91	5.59		39	2.40		3	0.18		1	0.06		37	2.27		2	0.12		84	5.16		25	1.54		1	0.06		538	33.05		8	0.49		4	0.25		12	0.74		0	0.00		8	0.49		0	0.00		681	41.83		12	0.74		4	0.25		58	3.56		1	0.06		1	0.06		18	1.11		0	0.00		1628	95.15		83	4.85		1711	2.18
Penrith Central		66	7.52		14	1.59		4	0.46		4	0.46		18	2.05		1	0.11		47	5.35		14	1.59		0	0.00		307	34.97		6	0.68		0	0.00		4	0.46		1	0.11		0	0.00		3	0.34		323	36.79		14	1.59		3	0.34		38	4.33		0	0.00		1	0.11		10	1.14		0	0.00		878	95.96		37	4.04		915	1.17
Penrith East		79	5.52		28	1.96		1	0.07		0	0.00		21	1.47		2	0.14		68	4.76		9	0.63		5	0.35		417	29.16		14	0.98		1	0.07		20	1.40		0	0.00		2	0.14		2	0.14		706	49.37		7	0.49		1	0.07		41	2.87		0	0.00		0	0.00		6	0.42		0	0.00		1430	97.15		42	2.85		1472	1.88
Penrith North		46	5.07		20	2.21		1	0.11		0	0.00		17	1.87		2	0.22		40	4.41		14	1.54		1	0.11		292	32.19		12	1.32		0	0.00		11	1.21		0	0.00		2	0.22		0	0.00		405	44.65		13	1.43		2	0.22		24	2.65		1	0.11		0	0.00		4	0.44		0	0.00		907	95.88		39	4.12		946	1.21
Penrith South		222	6.64		66	1.98		1	0.03		2	0.06		58	1.74		5	0.15		162	4.85		38	1.14		9	0.27		1067	31.94		26	0.78		2	0.06		24	0.72		1	0.03		6	0.18		6	0.18		1465	43.85		21	0.63		1	0.03		131	3.92		2	0.06		1	0.03		25	0.75		0	0.00		3341	96.14		134	3.86		3475	4.43
Regentville		120	6.40		40	2.13		0	0.00		1	0.05		20	1.07		0	0.00		58	3.09		9	0.48		1	0.05		524	27.95		21	1.12		0	0.00		15	0.80		1	0.05		3	0.16		2	0.11		1002	53.44		9	0.48		0	0.00		34	1.81		0	0.00		0	0.00		15	0.80		0	0.00		1875	97.15		55	2.85		1930	2.46
Stuart Street		62	6.52		16	1.68		0	0.00		0	0.00		10	1.05		1	0.11		41	4.31		6	0.63		0	0.00		273	28.71		6	0.63		0	0.00		7	0.74		0	0.00		0	0.00		2	0.21		497	52.26		6	0.63		0	0.00		20	2.10		0	0.00		0	0.00		3	0.32		1	0.11		951	97.24		27	2.76		978	1.25
Sydney (Lindsay)		2	2.33		2	2.33		0	0.00		1	1.16		1	1.16		0	0.00		4	4.65		1	1.16		0	0.00		30	34.88		1	1.16		0	0.00		0	0.00		0	0.00		0	0.00		1	1.16		32	37.21		1	1.16		1	1.16		9	10.47		0	0.00		0	0.00		0	0.00		0	0.00		86	94.51		5	5.49		91	0.12
Wallacia		51	7.19		19	2.68		0	0.00		0	0.00		11	1.55		1	0.14		39	5.50		5	0.71		1	0.14		148	20.87		7	0.99		0	0.00		10	1.41		0	0.00		2	0.28		2	0.28		383	54.02		6	0.85		0	0.00		14	1.97		0	0.00		0	0.00		10	1.41		0	0.00		709	97.12		21	2.88		730	0.93
Werrington		145	6.86		50	2.37		4	0.19		1	0.05		54	2.56		0	0.00		85	4.02		22	1.04		5	0.24		826	39.09		19	0.90		1	0.05		18	0.85		0	0.00		5	0.24		1	0.05		791	37.43		11	0.52		3	0.14		50	2.37		1	0.05		1	0.05		20	0.95		0	0.00		2113	95.83		92	4.17		2205	2.81
Werrington County		121	6.49		22	1.18		2	0.11		1	0.05		27	1.45		1	0.05		65	3.49		12	0.64		5	0.27		654	35.09		8	0.43		1	0.05		15	0.80		0	0.00		6	0.32		2	0.11		812	43.56		10	0.54		2	0.11		73	3.92		0	0.00		0	0.00		22	1.18		3	0.16		1864	97.13		55	2.87		1919	2.45
York		215	6.45		60	1.80		1	0.03		0	0.00		42	1.26		1	0.03		119	3.57		27	0.81		2	0.06		1044	31.32		27	0.81		0	0.00		33	0.99		1	0.03		4	0.12		2	0.06		1586	47.58		23	0.69		2	0.06		105	3.15		0	0.00		2	0.06		37	1.11		0	0.00		3333	96.52		120	3.48		3453	4.41
Special Hospitals		1	0.83		2	1.65		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		55	45.45		1	0.83		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		62	51.24		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		121	97.58		3	2.42		124	0.16
Total Ordinary		4062	6.28		1448	2.24		51	0.08		30	0.05		1011	1.56		35	0.05		2987	4.62		584	0.90		101	0.16		19687	30.44		485	0.75		40	0.06		500	0.77		18	0.03		99	0.15		67	0.10		30132	46.59		498	0.77		72	0.11		2170	3.36		15	0.02		14	0.02		544	0.84		24	0.04		64674	96.68		2221	3.32		66895	85.37
ABSENT		358	6.66		108	2.01		11	0.20		2	0.04		134	2.49		4	0.07		305	5.67		83	1.54		5	0.09		1473	27.38		49	0.91		4	0.07		87	1.62		2	0.04		22	0.41		6	0.11		2325	43.22		75	1.39		11	0.20		235	4.37		8	0.15		2	0.04		70	1.30		0	0.00		5379	97.75		124	2.25		5503	7.02
POSTAL		145	7.71		24	1.28		1	0.05		1	0.05		25	1.33		1	0.05		106	5.64		4	0.21		3	0.16		550	29.24		8	0.43		1	0.05		13	0.69		0	0.00		4	0.21		3	0.16		923	49.07		14	0.74		3	0.16		31	1.65		1	0.05		0	0.00		20	1.06		0	0.00		1881	98.58		27	1.42		1908	2.43
PRE_POLL		229	7.81		57	1.94		2	0.07		2	0.07		49	1.67		3	0.10		190	6.48		22	0.75		9	0.31		811	27.64		15	0.51		1	0.03		22	0.75		0	0.00		6	0.20		4	0.14		1373	46.80		18	0.61		7	0.24		84	2.86		1	0.03		1	0.03		27	0.92		1	0.03		2934	98.95		31	1.05		2965	3.78
PROVISIONAL		64	6.03		17	1.60		0	0.00		0	0.00		32	3.01		1	0.09		31	2.92		20	1.88		1	0.09		354	33.33		9	0.85		0	0.00		19	1.79		0	0.00		3	0.28		3	0.28		420	39.55		29	2.73		3	0.28		39	3.67		1	0.09		1	0.09		14	1.32		1	0.09		1062	97.43		28	2.57		1090	1.39
Division Summary		4858	6.4		1654	2.18		65	0.09		35	0.05		1251	1.65		44	0.06		3619	4.77		713	0.94		119	0.16		22875	30.13		566	0.75		46	0.06		641	0.84		20	0.03		134	0.18		83	0.11		35173	46.32		634	0.83		96	0.13		2559	3.37		26	0.03		18	0.02		675	0.89		26	0.03		75930	96.9		2431	3.1		78361	96.01
