House of Representatives - 2001 Election: New South Wales											
Two Candidate Preferred Preference Flow Result											
By Polling Place											
											
Eden-Monaro (85815)											
		Candidate		"WHAN, Steve"		                	"NAIRN, Gary"		                	Total	
		"COCHRAN, Peter (IND)"	18	3	16.67		15	83.33		18	
		"BRIDGES, Barry (HAN)"	1	1	100.00		0	0.00		1	
		Total	24	40	31.75		86	68.25		126	
											
	Bimbimbie										
			1st Prefs	116	36.48		202	63.52		318	
		"CHAPMAN, Linda (DEM)"	4	3	75.00		1	25.00		4	
		"PHILLIPS, Frank (CTA)"	4	1	25.00		3	75.00		4	
		"BEAUMONT, Rosemary (GRN)"	6	5	83.33		1	16.67		6	
		"SWIFT, Matthew (IND)"	0	0	0.00		0	0.00		0	
		"VLUG, Peter (NCP)"	0	0	0.00		0	0.00		0	
		"URQUHART, Steve (IND)"	0	0	0.00		0	0.00		0	
		"COCHRAN, Peter (IND)"	12	3	25.00		9	75.00		12	
		"BRIDGES, Barry (HAN)"	8	2	25.00		6	75.00		8	
		Total	34	130	36.93		222	63.07		352	

	Bodalla										
			1st Prefs	162	43.78		208	56.22		370	
		"CHAPMAN, Linda (DEM)"	11	8	72.73		3	27.27		11	
		"PHILLIPS, Frank (CTA)"	8	2	25.00		6	75.00		8	
		"BEAUMONT, Rosemary (GRN)"	36	32	88.89		4	11.11		36	
		"SWIFT, Matthew (IND)"	2	1	50.00		1	50.00		2	
		"VLUG, Peter (NCP)"	1	0	0.00		1	100.00		1	
		"URQUHART, Steve (IND)"	1	1	100.00		0	0.00		1	
		"COCHRAN, Peter (IND)"	31	7	22.58		24	77.42		31	
		"BRIDGES, Barry (HAN)"	20	5	25.00		15	75.00		20	
		Total	110	218	45.42		262	54.58		480	

	Bombala										
			1st Prefs	341	43.49		443	56.51		784	
		"CHAPMAN, Linda (DEM)"	11	6	54.55		5	45.45		11	
		"PHILLIPS, Frank (CTA)"	5	3	60.00		2	40.00		5	
		"BEAUMONT, Rosemary (GRN)"	13	11	84.62		2	15.38		13	
		"SWIFT, Matthew (IND)"	3	2	66.67		1	33.33		3	
		"VLUG, Peter (NCP)"	0	0	0.00		0	0.00		0	
		"URQUHART, Steve (IND)"	4	1	25.00		3	75.00		4	
		"COCHRAN, Peter (IND)"	153	21	13.73		132	86.27		153	
		"BRIDGES, Barry (HAN)"	60	16	26.67		44	73.33		60	
		Total	249	401	38.82		632	61.18		1033	

	Braidwood										
			1st Prefs	347	43.70		447	56.30		794	
		"CHAPMAN, Linda (DEM)"	44	40	90.91		4	9.09		44	
		"PHILLIPS, Frank (CTA)"	5	2	40.00		3	60.00		5	
		"BEAUMONT, Rosemary (GRN)"	96	93	96.88		3	3.13		96	
		"SWIFT, Matthew (IND)"	1	1	100.00		0	0.00		1	
		"VLUG, Peter (NCP)"	2	1	50.00		1	50.00		2	
		"URQUHART, Steve (IND)"	2	2	100.00		0	0.00		2	
		"COCHRAN, Peter (IND)"	135	25	18.52		110	81.48		135	
		"BRIDGES, Barry (HAN)"	50	20	40.00		30	60.00		50	
		Total	335	531	47.03		598	52.97		1129	
											
	Bredbo										
			1st Prefs	76	45.24		92	54.76		168	
		"CHAPMAN, Linda (DEM)"	6	4	66.67		2	33.33		6	
		"PHILLIPS, Frank (CTA)"	0	0	0.00		0	0.00		0	
		"BEAUMONT, Rosemary (GRN)"	6	6	100.00		0	0.00		6	
		"SWIFT, Matthew (IND)"	1	0	0.00		1	100.00		1	
		"VLUG, Peter (NCP)"	0	0	0.00		0	0.00		0	
		"URQUHART, Steve (IND)"	1	0	0.00		1	100.00		1	
		"COCHRAN, Peter (IND)"	42	7	16.67		35	83.33		42	
		"BRIDGES, Barry (HAN)"	16	12	75.00		4	25.00		16	
		Total	72	105	43.75		135	56.25		240	

	Brogo										
			1st Prefs	58	43.61		75	56.39		133	
		"CHAPMAN, Linda (DEM)"	10	7	70.00		3	30.00		10	
		"PHILLIPS, Frank (CTA)"	0	0	0.00		0	0.00		0	
		"BEAUMONT, Rosemary (GRN)"	32	30	93.75		2	6.25		32	
		"SWIFT, Matthew (IND)"	1	1	100.00		0	0.00		1	
		"VLUG, Peter (NCP)"	0	0	0.00		0	0.00		0	
		"URQUHART, Steve (IND)"	1	1	100.00		0	0.00		1	
		"COCHRAN, Peter (IND)"	11	3	27.27		8	72.73		11	
		"BRIDGES, Barry (HAN)"	10	6	60.00		4	40.00		10	
		Total	65	106	53.54		92	46.46		198	

	Broulee										
			1st Prefs	321	54.78		265	45.22		586	
		"CHAPMAN, Linda (DEM)"	26	19	73.08		7	26.92		26	
		"PHILLIPS, Frank (CTA)"	8	2	25.00		6	75.00		8	
		"BEAUMONT, Rosemary (GRN)"	112	98	87.50		14	12.50		112	
		"SWIFT, Matthew (IND)"	3	2	66.67		1	33.33		3	
		"VLUG, Peter (NCP)"	1	1	100.00		0	0.00		1	
		"URQUHART, Steve (IND)"	0	0	0.00		0	0.00		0	
		"COCHRAN, Peter (IND)"	25	6	24.00		19	76.00		25	
		"BRIDGES, Barry (HAN)"	27	14	51.85		13	48.15		27	
		Total	202	463	58.76		325	41.24		788	

	Bungendore										
			1st Prefs	688	51.69		643	48.31		1331	
		"CHAPMAN, Linda (DEM)"	120	94	78.33		26	21.67		120	
		"PHILLIPS, Frank (CTA)"	11	6	54.55		5	45.45		11	
		"BEAUMONT, Rosemary (GRN)"	136	122	89.71		14	10.29		136	
		"SWIFT, Matthew (IND)"	4	2	50.00		2	50.00		4	
		"VLUG, Peter (NCP)"	1	1	100.00		0	0.00		1	
		"URQUHART, Steve (IND)"	2	2	100.00		0	0.00		2	
		"COCHRAN, Peter (IND)"	183	55	30.05		128	69.95		183	
		"BRIDGES, Barry (HAN)"	44	13	29.55		31	70.45		44	
		Total	501	983	53.66		849	46.34		1832	
											
	Candelo										
			1st Prefs	186	47.81		203	52.19		389	
		"CHAPMAN, Linda (DEM)"	11	8	72.73		3	27.27		11	
		"PHILLIPS, Frank (CTA)"	9	5	55.56		4	44.44		9	
		"BEAUMONT, Rosemary (GRN)"	64	57	89.06		7	10.94		64	
		"SWIFT, Matthew (IND)"	1	1	100.00		0	0.00		1	
		"VLUG, Peter (NCP)"	1	1	100.00		0	0.00		1	
		"URQUHART, Steve (IND)"	0	0	0.00		0	0.00		0	
		"COCHRAN, Peter (IND)"	31	8	25.81		23	74.19		31	
		"BRIDGES, Barry (HAN)"	17	7	41.18		10	58.82		17	
		Total	134	273	52.20		250	47.80		523	

	Captains Flat										
			1st Prefs	162	69.23		72	30.77		234	
		"CHAPMAN, Linda (DEM)"	16	15	93.75		1	6.25		16	
		"PHILLIPS, Frank (CTA)"	0	0	0.00		0	0.00		0	
		"BEAUMONT, Rosemary (GRN)"	19	18	94.74		1	5.26		19	
		"SWIFT, Matthew (IND)"	2	1	50.00		1	50.00		2	
		"VLUG, Peter (NCP)"	0	0	0.00		0	0.00		0	
		"URQUHART, Steve (IND)"	2	1	50.00		1	50.00		2	
		"COCHRAN, Peter (IND)"	33	13	39.39		20	60.61		33	
		"BRIDGES, Barry (HAN)"	30	11	36.67		19	63.33		30	
		Total	102	221	65.77		115	34.23		336	

	Central Tilba										
			1st Prefs	103	55.98		81	44.02		184	
		"CHAPMAN, Linda (DEM)"	11	9	81.82		2	18.18		11	
		"PHILLIPS, Frank (CTA)"	7	3	42.86		4	57.14		7	
		"BEAUMONT, Rosemary (GRN)"	50	47	94.00		3	6.00		50	
		"SWIFT, Matthew (IND)"	0	0	0.00		0	0.00		0	
		"VLUG, Peter (NCP)"	2	2	100.00		0	0.00		2	
		"URQUHART, Steve (IND)"	2	0	0.00		2	100.00		2	
		"COCHRAN, Peter (IND)"	26	5	19.23		21	80.77		26	
		"BRIDGES, Barry (HAN)"	6	4	66.67		2	33.33		6	
		Total	104	173	60.07		115	39.93		288	

	Cobargo										
			1st Prefs	208	45.81		246	54.19		454	
		"CHAPMAN, Linda (DEM)"	16	16	100.00		0	0.00		16	
		"PHILLIPS, Frank (CTA)"	12	5	41.67		7	58.33		12	
		"BEAUMONT, Rosemary (GRN)"	66	62	93.94		4	6.06		66	
		"SWIFT, Matthew (IND)"	6	3	50.00		3	50.00		6	
		"VLUG, Peter (NCP)"	1	0	0.00		1	100.00		1	
		"URQUHART, Steve (IND)"	3	1	33.33		2	66.67		3	
		"COCHRAN, Peter (IND)"	39	11	28.21		28	71.79		39	
		"BRIDGES, Barry (HAN)"	43	16	37.21		27	62.79		43	
		Total	186	322	50.31		318	49.69		640	
											
	Cooma										
			1st Prefs	598	45.51		716	54.49		1314	
		"CHAPMAN, Linda (DEM)"	58	43	74.14		15	25.86		58	
		"PHILLIPS, Frank (CTA)"	38	11	28.95		27	71.05		38	
		"BEAUMONT, Rosemary (GRN)"	54	45	83.33		9	16.67		54	
		"SWIFT, Matthew (IND)"	4	1	25.00		3	75.00		4	
		"VLUG, Peter (NCP)"	3	0	0.00		3	100.00		3	
		"URQUHART, Steve (IND)"	7	6	85.71		1	14.29		7	
		"COCHRAN, Peter (IND)"	171	39	22.81		132	77.19		171	
		"BRIDGES, Barry (HAN)"	79	28	35.44		51	64.56		79	
		Total	414	771	44.62		957	55.38		1728	

	Cooma Hospital										
			1st Prefs	123	48.62		130	51.38		253	
		"CHAPMAN, Linda (DEM)"	7	5	71.43		2	28.57		7	
		"PHILLIPS, Frank (CTA)"	1	0	0.00		1	100.00		1	
		"BEAUMONT, Rosemary (GRN)"	11	8	72.73		3	27.27		11	
		"SWIFT, Matthew (IND)"	2	1	50.00		1	50.00		2	
		"VLUG, Peter (NCP)"	0	0	0.00		0	0.00		0	
		"URQUHART, Steve (IND)"	1	1	100.00		0	0.00		1	
		"COCHRAN, Peter (IND)"	26	8	30.77		18	69.23		26	
		"BRIDGES, Barry (HAN)"	5	0	0.00		5	100.00		5	
		Total	53	146	47.71		160	52.29		306	

	Cooma North										
			1st Prefs	434	47.64		477	52.36		911	
		"CHAPMAN, Linda (DEM)"	40	34	85.00		6	15.00		40	
		"PHILLIPS, Frank (CTA)"	48	14	29.17		34	70.83		48	
		"BEAUMONT, Rosemary (GRN)"	53	47	88.68		6	11.32		53	
		"SWIFT, Matthew (IND)"	5	4	80.00		1	20.00		5	
		"VLUG, Peter (NCP)"	0	0	0.00		0	0.00		0	
		"URQUHART, Steve (IND)"	6	6	100.00		0	0.00		6	
		"COCHRAN, Peter (IND)"	123	31	25.20		92	74.80		123	
		"BRIDGES, Barry (HAN)"	60	21	35.00		39	65.00		60	
		Total	335	591	47.43		655	52.57		1246	

	Cooma South										
			1st Prefs	208	44.83		256	55.17		464	
		"CHAPMAN, Linda (DEM)"	8	5	62.50		3	37.50		8	
		"PHILLIPS, Frank (CTA)"	9	5	55.56		4	44.44		9	
		"BEAUMONT, Rosemary (GRN)"	19	16	84.21		3	15.79		19	
		"SWIFT, Matthew (IND)"	1	0	0.00		1	100.00		1	
		"VLUG, Peter (NCP)"	0	0	0.00		0	0.00		0	
		"URQUHART, Steve (IND)"	1	1	100.00		0	0.00		1	
		"COCHRAN, Peter (IND)"	68	18	26.47		50	73.53		68	
		"BRIDGES, Barry (HAN)"	32	13	40.63		19	59.38		32	
		Total	138	266	44.19		336	55.81		602	
											
	Dalgety										
			1st Prefs	48	41.38		68	58.62		116	
		"CHAPMAN, Linda (DEM)"	1	1	100.00		0	0.00		1	
		"PHILLIPS, Frank (CTA)"	0	0	0.00		0	0.00		0	
		"BEAUMONT, Rosemary (GRN)"	2	2	100.00		0	0.00		2	
		"SWIFT, Matthew (IND)"	1	1	100.00		0	0.00		1	
		"VLUG, Peter (NCP)"	0	0	0.00		0	0.00		0	
		"URQUHART, Steve (IND)"	1	0	0.00		1	100.00		1	
		"COCHRAN, Peter (IND)"	36	2	5.56		34	94.44		36	
		"BRIDGES, Barry (HAN)"	9	1	11.11		8	88.89		9	
		Total	50	55	33.13		111	66.87		166	

	Dalmeny										
			1st Prefs	457	47.90		497	52.10		954	
		"CHAPMAN, Linda (DEM)"	20	16	80.00		4	20.00		20	
		"PHILLIPS, Frank (CTA)"	35	11	31.43		24	68.57		35	
		"BEAUMONT, Rosemary (GRN)"	35	26	74.29		9	25.71		35	
		"SWIFT, Matthew (IND)"	2	2	100.00		0	0.00		2	
		"VLUG, Peter (NCP)"	0	0	0.00		0	0.00		0	
		"URQUHART, Steve (IND)"	26	18	69.23		8	30.77		26	
		"COCHRAN, Peter (IND)"	50	16	32.00		34	68.00		50	
		"BRIDGES, Barry (HAN)"	62	22	35.48		40	64.52		62	
		Total	230	568	47.97		616	52.03		1184	

	Delegate										
			1st Prefs	73	38.83		115	61.17		188	
		"CHAPMAN, Linda (DEM)"	4	3	75.00		1	25.00		4	
		"PHILLIPS, Frank (CTA)"	1	0	0.00		1	100.00		1	
		"BEAUMONT, Rosemary (GRN)"	3	2	66.67		1	33.33		3	
		"SWIFT, Matthew (IND)"	0	0	0.00		0	0.00		0	
		"VLUG, Peter (NCP)"	0	0	0.00		0	0.00		0	
		"URQUHART, Steve (IND)"	0	0	0.00		0	0.00		0	
		"COCHRAN, Peter (IND)"	67	8	11.94		59	88.06		67	
		"BRIDGES, Barry (HAN)"	9	1	11.11		8	88.89		9	
		Total	84	87	31.99		185	68.01		272	

	Eden										
			1st Prefs	565	37.15		956	62.85		1521	
		"CHAPMAN, Linda (DEM)"	23	17	73.91		6	26.09		23	
		"PHILLIPS, Frank (CTA)"	29	13	44.83		16	55.17		29	
		"BEAUMONT, Rosemary (GRN)"	46	45	97.83		1	2.17		46	
		"SWIFT, Matthew (IND)"	5	3	60.00		2	40.00		5	
		"VLUG, Peter (NCP)"	0	0	0.00		0	0.00		0	
		"URQUHART, Steve (IND)"	13	8	61.54		5	38.46		13	
		"COCHRAN, Peter (IND)"	208	44	21.15		164	78.85		208	
		"BRIDGES, Barry (HAN)"	81	26	32.10		55	67.90		81	
		Total	405	721	37.44		1205	62.56		1926	
											
	Jerangle										
			1st Prefs	13	30.95		29	69.05		42	
		"CHAPMAN, Linda (DEM)"	2	2	100.00		0	0.00		2	
		"PHILLIPS, Frank (CTA)"	1	1	100.00		0	0.00		1	
		"BEAUMONT, Rosemary (GRN)"	0	0	0.00		0	0.00		0	
		"SWIFT, Matthew (IND)"	0	0	0.00		0	0.00		0	
		"VLUG, Peter (NCP)"	0	0	0.00		0	0.00		0	
		"URQUHART, Steve (IND)"	0	0	0.00		0	0.00		0	
		"COCHRAN, Peter (IND)"	22	7	31.82		15	68.18		22	
		"BRIDGES, Barry (HAN)"	3	0	0.00		3	100.00		3	
		Total	28	23	32.86		47	67.14		70	

	Jerrabomberra										
			1st Prefs	935	40.81		1356	59.19		2291	
		"CHAPMAN, Linda (DEM)"	125	96	76.80		29	23.20		125	
		"PHILLIPS, Frank (CTA)"	25	9	36.00		16	64.00		25	
		"BEAUMONT, Rosemary (GRN)"	81	68	83.95		13	16.05		81	
		"SWIFT, Matthew (IND)"	4	2	50.00		2	50.00		4	
		"VLUG, Peter (NCP)"	7	6	85.71		1	14.29		7	
		"URQUHART, Steve (IND)"	2	0	0.00		2	100.00		2	
		"COCHRAN, Peter (IND)"	172	50	29.07		122	70.93		172	
		"BRIDGES, Barry (HAN)"	26	17	65.38		9	34.62		26	
		Total	442	1183	43.29		1550	56.71		2733	

	Jindabyne										
			1st Prefs	329	39.03		514	60.97		843	
		"CHAPMAN, Linda (DEM)"	45	32	71.11		13	28.89		45	
		"PHILLIPS, Frank (CTA)"	14	0	0.00		14	100.00		14	
		"BEAUMONT, Rosemary (GRN)"	69	52	75.36		17	24.64		69	
		"SWIFT, Matthew (IND)"	2	0	0.00		2	100.00		2	
		"VLUG, Peter (NCP)"	1	0	0.00		1	100.00		1	
		"URQUHART, Steve (IND)"	1	1	100.00		0	0.00		1	
		"COCHRAN, Peter (IND)"	164	40	24.39		124	75.61		164	
		"BRIDGES, Barry (HAN)"	35	6	17.14		29	82.86		35	
		Total	331	460	39.18		714	60.82		1174	

	Letchworth										
			1st Prefs	146	66.36		74	33.64		220	
		"CHAPMAN, Linda (DEM)"	9	7	77.78		2	22.22		9	
		"PHILLIPS, Frank (CTA)"	6	1	16.67		5	83.33		6	
		"BEAUMONT, Rosemary (GRN)"	5	4	80.00		1	20.00		5	
		"SWIFT, Matthew (IND)"	1	1	100.00		0	0.00		1	
		"VLUG, Peter (NCP)"	0	0	0.00		0	0.00		0	
		"URQUHART, Steve (IND)"	0	0	0.00		0	0.00		0	
		"COCHRAN, Peter (IND)"	23	8	34.78		15	65.22		23	
		"BRIDGES, Barry (HAN)"	5	3	60.00		2	40.00		5	
		Total	49	170	63.20		99	36.80		269	
											
	Long Beach										
			1st Prefs	117	46.99		132	53.01		249	
		"CHAPMAN, Linda (DEM)"	5	3	60.00		2	40.00		5	
		"PHILLIPS, Frank (CTA)"	11	2	18.18		9	81.82		11	
		"BEAUMONT, Rosemary (GRN)"	18	14	77.78		4	22.22		18	
		"SWIFT, Matthew (IND)"	1	0	0.00		1	100.00		1	
		"VLUG, Peter (NCP)"	0	0	0.00		0	0.00		0	
		"URQUHART, Steve (IND)"	0	0	0.00		0	0.00		0	
		"COCHRAN, Peter (IND)"	23	7	30.43		16	69.57		23	
		"BRIDGES, Barry (HAN)"	17	8	47.06		9	52.94		17	
		Total	75	151	46.60		173	53.40		324	

	Majors Creek										
			1st Prefs	54	64.29		30	35.71		84	
		"CHAPMAN, Linda (DEM)"	3	1	33.33		2	66.67		3	
		"PHILLIPS, Frank (CTA)"	2	0	0.00		2	100.00		2	
		"BEAUMONT, Rosemary (GRN)"	5	4	80.00		1	20.00		5	
		"SWIFT, Matthew (IND)"	1	0	0.00		1	100.00		1	
		"VLUG, Peter (NCP)"	0	0	0.00		0	0.00		0	
		"URQUHART, Steve (IND)"	0	0	0.00		0	0.00		0	
		"COCHRAN, Peter (IND)"	15	3	20.00		12	80.00		15	
		"BRIDGES, Barry (HAN)"	2	1	50.00		1	50.00		2	
		Total	28	63	56.25		49	43.75		112	

	Malua Bay										
			1st Prefs	306	39.95		460	60.05		766	
		"CHAPMAN, Linda (DEM)"	27	20	74.07		7	25.93		27	
		"PHILLIPS, Frank (CTA)"	9	4	44.44		5	55.56		9	
		"BEAUMONT, Rosemary (GRN)"	33	32	96.97		1	3.03		33	
		"SWIFT, Matthew (IND)"	3	0	0.00		3	100.00		3	
		"VLUG, Peter (NCP)"	0	0	0.00		0	0.00		0	
		"URQUHART, Steve (IND)"	1	0	0.00		1	100.00		1	
		"COCHRAN, Peter (IND)"	35	6	17.14		29	82.86		35	
		"BRIDGES, Barry (HAN)"	36	16	44.44		20	55.56		36	
		Total	144	384	42.20		526	57.80		910	

	Merimbula										
			1st Prefs	616	35.65		1112	64.35		1728	
		"CHAPMAN, Linda (DEM)"	42	30	71.43		12	28.57		42	
		"PHILLIPS, Frank (CTA)"	7	4	57.14		3	42.86		7	
		"BEAUMONT, Rosemary (GRN)"	107	94	87.85		13	12.15		107	
		"SWIFT, Matthew (IND)"	1	1	100.00		0	0.00		1	
		"VLUG, Peter (NCP)"	0	0	0.00		0	0.00		0	
		"URQUHART, Steve (IND)"	1	0	0.00		1	100.00		1	
		"COCHRAN, Peter (IND)"	113	27	23.89		86	76.11		113	
		"BRIDGES, Barry (HAN)"	53	26	49.06		27	50.94		53	
		Total	324	798	38.89		1254	61.11		2052	
											
	Michelago										
			1st Prefs	54	40.91		78	59.09		132	
		"CHAPMAN, Linda (DEM)"	11	7	63.64		4	36.36		11	
		"PHILLIPS, Frank (CTA)"	2	0	0.00		2	100.00		2	
		"BEAUMONT, Rosemary (GRN)"	11	10	90.91		1	9.09		11	
		"SWIFT, Matthew (IND)"	1	1	100.00		0	0.00		1	
		"VLUG, Peter (NCP)"	0	0	0.00		0	0.00		0	
		"URQUHART, Steve (IND)"	0	0	0.00		0	0.00		0	
		"COCHRAN, Peter (IND)"	61	10	16.39		51	83.61		61	
		"BRIDGES, Barry (HAN)"	8	3	37.50		5	62.50		8	
		Total	94	85	37.61		141	62.39		226	

	Mogo										
			1st Prefs	137	52.29		125	47.71		262	
		"CHAPMAN, Linda (DEM)"	22	20	90.91		2	9.09		22	
		"PHILLIPS, Frank (CTA)"	5	2	40.00		3	60.00		5	
		"BEAUMONT, Rosemary (GRN)"	41	38	92.68		3	7.32		41	
		"SWIFT, Matthew (IND)"	1	1	100.00		0	0.00		1	
		"VLUG, Peter (NCP)"	2	0	0.00		2	100.00		2	
		"URQUHART, Steve (IND)"	2	2	100.00		0	0.00		2	
		"COCHRAN, Peter (IND)"	21	7	33.33		14	66.67		21	
		"BRIDGES, Barry (HAN)"	19	7	36.84		12	63.16		19	
		Total	113	214	57.07		161	42.93		375	

	Moruya										
			1st Prefs	1052	52.05		969	47.95		2021	
		"CHAPMAN, Linda (DEM)"	78	62	79.49		16	20.51		78	
		"PHILLIPS, Frank (CTA)"	39	13	33.33		26	66.67		39	
