House of Representatives - 2001 Election: New South Wales																				
Distribution of Preferences																				
By Polling Place																				
																				
Hume																				
				SCHULTZ			WATCHIRS			ROXBURGH			PRELL			MERRIMAN				
	THIRD			1	7.14						Excluded		5	35.71		8	57.14		14	
		TOTAL		148	63.79								10	4.31		74	31.90		232	
	FOURTH			6	60.00									Excluded		4	40.00		10	
		TOTAL		154	66.38											78	33.62		232	
				Elected																
																				
Bowral                                                         																				
	FIRST			2120	61.74		230	6.70		233	6.79		121	3.52		730	21.26		3434	
	SECOND			34	14.78			Excluded		141	61.30		9	3.91		46	20.00		230	
		TOTAL		2154	62.73					374	10.89		130	3.79		776	22.60		3434	
	THIRD			102	27.27						Excluded		14	3.74		258	68.98		374	
		TOTAL		2256	65.70								144	4.19		1034	30.11		3434	
	FOURTH			64	44.44									Excluded		80	55.56		144	
		TOTAL		2320	67.56											1114	32.44		3434	
				Elected																
																				
Bowral South                                                   																				
	FIRST			1262	60.07		107	5.09		141	6.71		92	4.38		499	23.75		2101	
	SECOND			14	13.08			Excluded		59	55.14		6	5.61		28	26.17		107	
		TOTAL		1276	60.73					200	9.52		98	4.66		527	25.08		2101	
	THIRD			56	28.00						Excluded		11	5.50		133	66.50		200	
		TOTAL		1332	63.40								109	5.19		660	31.41		2101	
	FOURTH			39	35.78									Excluded		70	64.22		109	
		TOTAL		1371	65.25											730	34.75		2101	
				Elected																
																				
Bradfordville                                                  																				
	FIRST			716	42.44		47	2.79		75	4.45		185	10.97		664	39.36		1687	
	SECOND			13	27.66			Excluded		22	46.81		4	8.51		8	17.02		47	
		TOTAL		729	43.21					97	5.75		189	11.20		672	39.83		1687	
	THIRD			36	37.11						Excluded		9	9.28		52	53.61		97	
		TOTAL		765	45.35								198	11.74		724	42.92		1687	
	FOURTH			80	40.40									Excluded		118	59.60		198	
		TOTAL		845	50.09											842	49.91		1687	
				Elected																
																				
Bribbaree                                                      																				
	FIRST			129	78.66		0	0.00		1	0.61		19	11.59		15	9.15		164	
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		129	78.66					1	0.61		19	11.59		15	9.15		164	
	THIRD			0	0.00						Excluded		0	0.00		1	100.00		1	
		TOTAL		129	78.66								19	11.59		16	9.76		164	
	FOURTH			7	36.84									Excluded		12	63.16		19	
		TOTAL		136	82.93											28	17.07		164	
				Elected																
																				
Bungonia                                                       																				
	FIRST			89	46.84		9	4.74		12	6.32		31	16.32		49	25.79		190	
	SECOND			1	11.11			Excluded		4	44.44		3	33.33		1	11.11		9	
		TOTAL		90	47.37					16	8.42		34	17.89		50	26.32		190	
	THIRD			6	37.50						Excluded		1	6.25		9	56.25		16	
		TOTAL		96	50.53								35	18.42		59	31.05		190	
	FOURTH			7	20.00									Excluded		28	80.00		35	
		TOTAL		103	54.21											87	45.79		190	
				Elected																
																				
Buxton                                                         																				
	FIRST			332	40.24		48	5.82		44	5.33		102	12.36		299	36.24		825	
	SECOND			8	16.67			Excluded		17	35.42		7	14.58		16	33.33		48	
		TOTAL		340	41.21					61	7.39		109	13.21		315	38.18		825	
	THIRD			23	37.70						Excluded		7	11.48		31	50.82		61	
		TOTAL		363	44.00								116	14.06		346	41.94		825	
	FOURTH			63	54.31									Excluded		53	45.69		116	
		TOTAL		426	51.64											399	48.36		825	
				Elected																
																				
Canyonleigh                                                    																				
	FIRST			67	56.78		14	11.86		0	0.00		10	8.47		27	22.88		118	
	SECOND			0	0.00			Excluded		10	71.43		2	14.29		2	14.29		14	
		TOTAL		67	56.78					10	8.47		12	10.17		29	24.58		118	
	THIRD			2	20.00						Excluded		1	10.00		7	70.00		10	
		TOTAL		69	58.47								13	11.02		36	30.51		118	
	FOURTH			7	53.85									Excluded		6	46.15		13	
		TOTAL		76	64.41											42	35.59		118	
				Elected																
																				
Cawdor (Hume)                                                  																				
	FIRST			270	74.18		15	4.12		14	3.85		15	4.12		50	13.74		364	
	SECOND			3	20.00			Excluded		12	80.00		0	0.00		0	0.00		15	
		TOTAL		273	75.00					26	7.14		15	4.12		50	13.74		364	
	THIRD			6	23.08						Excluded		1	3.85		19	73.08		26	
		TOTAL		279	76.65								16	4.40		69	18.96		364	
	FOURTH			13	81.25									Excluded		3	18.75		16	
		TOTAL		292	80.22											72	19.78		364	
				Elected																
																				
Cobbitty (Hume)                                                																				
	FIRST			218	66.26		15	4.56		8	2.43		29	8.81		59	17.93		329	
	SECOND			7	46.67			Excluded		8	53.33		0	0.00		0	0.00		15	
		TOTAL		225	68.39					16	4.86		29	8.81		59	17.93		329	
	THIRD			2	12.50						Excluded		3	18.75		11	68.75		16	
		TOTAL		227	69.00								32	9.73		70	21.28		329	
	FOURTH			13	40.63									Excluded		19	59.38		32	
		TOTAL		240	72.95											89	27.05		329	
				Elected																
																				
Collector                                                      																				
	FIRST			84	52.17		9	5.59		17	10.56		18	11.18		33	20.50		161	
	SECOND			3	33.33			Excluded		5	55.56		0	0.00		1	11.11		9	
		TOTAL		87	54.04					22	13.66		18	11.18		34	21.12		161	
	THIRD			9	40.91						Excluded		0	0.00		13	59.09		22	
		TOTAL		96	59.63								18	11.18		47	29.19		161	
	FOURTH			12	66.67									Excluded		6	33.33		18	
		TOTAL		108	67.08											53	32.92		161	
				Elected																
																				
Colo Vale                                                      																				
	FIRST			366	47.91		49	6.41		42	5.50		54	7.07		253	33.12		764	
	SECOND			6	12.24			Excluded		28	57.14		4	8.16		11	22.45		49	
		TOTAL		372	48.69					70	9.16		58	7.59		264	34.55		764	
	THIRD			18	25.71						Excluded		9	12.86		43	61.43		70	
		TOTAL		390	51.05								67	8.77		307	40.18		764	
	FOURTH			28	41.79									Excluded		39	58.21		67	
		TOTAL		418	54.71											346	45.29		764	
				Elected																
																				
Crookwell                                                      																				
	FIRST			846	51.55		24	1.46		59	3.60		224	13.65		488	29.74		1641	
	SECOND			4	16.67			Excluded		13	54.17		2	8.33		5	20.83		24	
		TOTAL		850	51.80					72	4.39		226	13.77		493	30.04		1641	
	THIRD			26	36.11						Excluded		6	8.33		40	55.56		72	
		TOTAL		876	53.38								232	14.14		533	32.48		1641	
	FOURTH			95	40.95									Excluded		137	59.05		232	
		TOTAL		971	59.17											670	40.83		1641	
				Elected																
																				
Dalton                                                         																				
	FIRST			131	60.09		14	6.42		4	1.83		19	8.72		50	22.94		218	
	SECOND			2	14.29			Excluded		8	57.14		2	14.29		2	14.29		14	
		TOTAL		133	61.01					12	5.50		21	9.63		52	23.85		218	
	THIRD			2	16.67						Excluded		1	8.33		9	75.00		12	
		TOTAL		135	61.93								22	10.09		61	27.98		218	
	FOURTH			8	36.36									Excluded		14	63.64		22	
		TOTAL		143	65.60											75	34.40		218	
				Elected																
																				
Douglas Park                                                   																				
	FIRST			369	50.20		32	4.35		30	4.08		90	12.24		214	29.12		735	
	SECOND			5	15.63			Excluded		18	56.25		3	9.38		6	18.75		32	
		TOTAL		374	50.88					48	6.53		93	12.65		220	29.93		735	
	THIRD			15	31.25						Excluded		4	8.33		29	60.42		48	
		TOTAL		389	52.93								97	13.20		249	33.88		735	
	FOURTH			33	34.02									Excluded		64	65.98		97	
		TOTAL		422	57.41											313	42.59		735	
				Elected																
																				
Frogmore                                                       																				
	FIRST			73	70.19		1	0.96		3	2.88		10	9.62		17	16.35		104	
	SECOND			0	0.00			Excluded		1	100.00		0	0.00		0	0.00		1	
		TOTAL		73	70.19					4	3.85		10	9.62		17	16.35		104	
	THIRD			0	0.00						Excluded		2	50.00		2	50.00		4	
		TOTAL		73	70.19								12	11.54		19	18.27		104	
	FOURTH			4	33.33									Excluded		8	66.67		12	
		TOTAL		77	74.04											27	25.96		104	
				Elected																
																				
Galong                                                         																				
	FIRST			93	72.66		3	2.34		0	0.00		4	3.13		28	21.88		128	
	SECOND			0	0.00			Excluded		1	33.33		0	0.00		2	66.67		3	
		TOTAL		93	72.66					1	0.78		4	3.13		30	23.44		128	
	THIRD			0	0.00						Excluded		0	0.00		1	100.00		1	
		TOTAL		93	72.66								4	3.13		31	24.22		128	
	FOURTH			3	75.00									Excluded		1	25.00		4	
		TOTAL		96	75.00											32	25.00		128	
				Elected																
																				
Glenquarry                                                     																				
	FIRST			83	67.48		1	0.81		5	4.07		3	2.44		31	25.20		123	
	SECOND			1	100.00			Excluded		0	0.00		0	0.00		0	0.00		1	
		TOTAL		84	68.29					5	4.07		3	2.44		31	25.20		123	
	THIRD			1	20.00						Excluded		1	20.00		3	60.00		5	
		TOTAL		85	69.11								4	3.25		34	27.64		123	
	FOURTH			2	50.00									Excluded		2	50.00		4	
		TOTAL		87	70.73											36	29.27		123	
				Elected																
																				
Goulburn                                                       																				
	FIRST			722	41.66		109	6.29		102	5.89		147	8.48		653	37.68		1733	
	SECOND			17	15.60			Excluded		61	55.96		8	7.34		23	21.10		109	
		TOTAL		739	42.64					163	9.41		155	8.94		676	39.01		1733	
	THIRD			37	22.70						Excluded		22	13.50		104	63.80		163	
		TOTAL		776	44.78								177	10.21		780	45.01		1733	
	FOURTH			71	40.11									Excluded		106	59.89		177	
		TOTAL		847	48.87											886	51.13		1733	
				Elected																
																				
Goulburn East                                                  																				
	FIRST			300	42.49		20	2.83		30	4.25		93	13.17		263	37.25		706	
	SECOND			7	35.00			Excluded		7	35.00		3	15.00		3	15.00		20	
		TOTAL		307	43.48					37	5.24		96	13.60		266	37.68		706	
	THIRD			11	29.73						Excluded		4	10.81		22	59.46		37	
		TOTAL		318	45.04								100	14.16		288	40.79		706	
	FOURTH			44	44.00									Excluded		56	56.00		100	
		TOTAL		362	51.27											344	48.73		706	
				Elected																
																				
Goulburn High                                                  																				
	FIRST			1129	47.04		70	2.92		166	6.92		236	9.83		799	33.29		2400	
	SECOND			6	8.57			Excluded		40	57.14		7	10.00		17	24.29		70	
		TOTAL		1135	47.29					206	8.58		243	10.13		816	34.00		2400	
	THIRD			59	28.64						Excluded		21	10.19		126	61.17		206	
		TOTAL		1194	49.75								264	11.00		942	39.25		2400	
	FOURTH			111	42.05									Excluded		153	57.95		264	
		TOTAL		1305	54.38											1095	45.63		2400	
				Elected																
																				
Goulburn North                                                 																				
	FIRST			629	41.06		55	3.59		69	4.50		186	12.14		593	38.71		1532	
	SECOND			8	14.55			Excluded		32	58.18		6	10.91		9	16.36		55	
		TOTAL		637	41.58					101	6.59		192	12.53		602	39.30		1532	
	THIRD			23	22.77						Excluded		14	13.86		64	63.37		101	
		TOTAL		660	43.08								206	13.45		666	43.47		1532	
	FOURTH			67	32.52									Excluded		139	67.48		206	
		TOTAL		727	47.45											805	52.55		1532	
				Elected																
																				
Goulburn South                                                 																				
	FIRST			1016	41.44		66	2.69		102	4.16		298	12.15		970	39.56		2452	
	SECOND			16	24.24			Excluded		27	40.91		10	15.15		13	19.70		66	
		TOTAL		1032	42.09					129	5.26		308	12.56		983	40.09		2452	
	THIRD			35	27.13						Excluded		19	14.73		75	58.14		129	
		TOTAL		1067	43.52								327	13.34		1058	43.15		2452	
	FOURTH			136	41.59									Excluded		191	58.41		327	
		TOTAL		1203	49.06											1249	50.94		2452	
				Elected																
																				
Goulburn West                                                  																				
	FIRST			851	48.71		42	2.40		85	4.87		168	9.62		601	34.40		1747	
	SECOND			5	11.90			Excluded		24	57.14		5	11.90		8	19.05		42	
		TOTAL		856	49.00					109	6.24		173	9.90		609	34.86		1747	
	THIRD			34	31.19						Excluded		11	10.09		64	58.72		109	
		TOTAL		890	50.94								184	10.53		673	38.52		1747	
	FOURTH			82	44.57									Excluded		102	55.43		184	
		TOTAL		972	55.64											775	44.36		1747	
				Elected																
																				
Grabben Gullen                                                 																				
	FIRST			140	72.16		0	0.00		3	1.55		30	15.46		21	10.82		194	
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		140	72.16					3	1.55		30	15.46		21	10.82		194	
	THIRD			2	66.67						Excluded		0	0.00		1	33.33		3	
		TOTAL		142	73.20								30	15.46		22	11.34		194	
	FOURTH			15	50.00									Excluded		15	50.00		30	
		TOTAL		157	80.93											37	19.07		194	
				Elected																
																				
Gundaroo                                                       																				
	FIRST			179	40.04		40	8.95		38	8.50		16	3.58		174	38.93		447	
	SECOND			2	5.00			Excluded		28	70.00		0	0.00		10	25.00		40	
		TOTAL		181	40.49					66	14.77		16	3.58		184	41.16		447	
	THIRD			17	25.76						Excluded		6	9.09		43	65.15		66	
		TOTAL		198	44.30								22	4.92		227	50.78		447	
	FOURTH			15	68.18									Excluded		7	31.82		22	
		TOTAL		213	47.65											234	52.35		447	
				Elected																
																				
Gunning                                                        																				
	FIRST			326	59.82		14	2.57		22	4.04		47	8.62		136	24.95		545	
	SECOND			2	14.29			Excluded		8	57.14		0	0.00		4	28.57		14	
		TOTAL		328	60.18					30	5.50		47	8.62		140	25.69		545	
	THIRD			8	26.67						Excluded		6	20.00		16	53.33		30	
		TOTAL		336	61.65								53	9.72		156	28.62		545	
	FOURTH			26	49.06									Excluded		27	50.94		53	
		TOTAL		362	66.42											183	33.58		545	
				Elected																
																				
Harden                                                         																				
	FIRST			515	54.96		9	0.96		10	1.07		54	5.76		349	37.25		937	
	SECOND			4	44.44			Excluded		3	33.33		2	22.22		0	0.00		9	
		TOTAL		519	55.39					13	1.39		56	5.98		349	37.25		937	
	THIRD			1	7.69						Excluded		4	30.77		8	61.54		13	
		TOTAL		520	55.50								60	6.40		357	38.10		937	
	FOURTH			20	33.33									Excluded		40	66.67		60	
		TOTAL		540	57.63											397	42.37		937	
				Elected																
																				
Hill Top                                                       																				
	FIRST			411	39.60		72	6.94		57	5.49		117	11.27		381	36.71		1038	
	SECOND			9	12.50			Excluded		38	52.78		10	13.89		15	20.83		72	
		TOTAL		420	40.46					95	9.15		127	12.24		396	38.15		1038	
	THIRD			26	27.37						Excluded		12	12.63		57	60.00		95	
		TOTAL		446	42.97								139	13.39		453	43.64		1038	
	FOURTH			39	28.06									Excluded		100	71.94		139	
		TOTAL		485	46.72											553	53.28		1038	
				Elected																
																				
Jugiong                                                        																				
	FIRST			114	61.29		2	1.08		3	1.61		11	5.91		56	30.11		186	
	SECOND			0	0.00			Excluded		0	0.00		1	50.00		1	50.00		2	
		TOTAL		114	61.29					3	1.61		12	6.45		57	30.65		186	
	THIRD			2	66.67						Excluded		0	0.00		1	33.33		3	
		TOTAL		116	62.37								12	6.45		58	31.18		186	
	FOURTH			7	58.33									Excluded		5	41.67		12	
		TOTAL		123	66.13											63	33.87		186	
				Elected																
																				
Kangaloon                                                      																				
	FIRST			82	62.60		8	6.11		11	8.40		6	4.58		24	18.32		131	
	SECOND			1	12.50			Excluded		5	62.50		0	0.00		2	25.00		8	
		TOTAL		83	63.36					16	12.21		6	4.58		26	19.85		131	
	THIRD			3	18.75						Excluded		3	18.75		10	62.50		16	
		TOTAL		86	65.65								9	6.87		36	27.48		131	
	FOURTH			6	66.67									Excluded		3	33.33		9	
		TOTAL		92	70.23											39	29.77		131	
				Elected																
																				
Koorawatha                                                     																				
	FIRST			87	49.43		3	1.70		4	2.27		30	17.05		52	29.55		176	
	SECOND			1	33.33			Excluded		1	33.33		1	33.33		0	0.00		3	
		TOTAL		88	50.00					5	2.84		31	17.61		52	29.55		176	
	THIRD			2	40.00						Excluded		1	20.00		2	40.00		5	
		TOTAL		90	51.14								32	18.18		54	30.68		176	
	FOURTH			7	21.88									Excluded		25	78.13		32	
		TOTAL		97	55.11											79	44.89		176	
				Elected																
																				
Laggan                                                         																				
	FIRST			188	72.31		8	3.08		6	2.31		23	8.85		35	13.46		260	
	SECOND			0	0.00			Excluded		6	75.00		0	0.00		2	25.00		8	
		TOTAL		188	72.31					12	4.62		23	8.85		37	14.23		260	
	THIRD			0	0.00						Excluded		3	25.00		9	75.00		12	
		TOTAL		188	72.31								26	10.00		46	17.69		260	
	FOURTH			13	50.00									Excluded		13	50.00		26	
		TOTAL		201	77.31											59	22.69		260	
				Elected																
																				
Maimuru                                                        																				
	FIRST			69	77.53		0	0.00		2	2.25		3	3.37		15	16.85		89	
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		69	77.53					2	2.25		3	3.37		15	16.85		89	
	THIRD			0	0.00						Excluded		0	0.00		2	100.00		2	
		TOTAL		69	77.53								3	3.37		17	19.10		89	
	FOURTH			3	100.00									Excluded		0	0.00		3	
		TOTAL		72	80.90											17	19.10		89	
				Elected																
																				
Marulan                                                        																				
	FIRST			269	48.91		11	2.00		17	3.09		62	11.27		191	34.73		550	
	SECOND			2	18.18			Excluded		6	54.55		0	0.00		3	27.27		11	
		TOTAL		271	49.27					23	4.18		62	11.27		194	35.27		550	
	THIRD			8	34.78						Excluded		3	13.04		12	52.17		23	
		TOTAL		279	50.73								65	11.82		206	37.45		550	
	FOURTH			28	43.08									Excluded		37	56.92		65	
		TOTAL		307	55.82											243	44.18		550	
				Elected																
																				
Menangle (Hume)                                                																				
	FIRST			196	61.06		18	5.61		18	5.61		28	8.72		61	19.00		321	
	SECOND			3	16.67			Excluded		6	33.33		4	22.22		5	27.78		18	
		TOTAL		199	61.99					24	7.48		32	9.97		66	20.56		321	
	THIRD			7	29.17						Excluded		4	16.67		13	54.17		24	
		TOTAL		206	64.17								36	11.21		79	24.61		321	
	FOURTH			20	55.56									Excluded		16	44.44		36	
		TOTAL		226	70.40											95	29.60		321	
				Elected																
																				
Milvale                                                        																				
	FIRST			60	88.24		1	1.47		1	1.47		2	2.94		4	5.88		68	
	SECOND			0	0.00			Excluded		1	100.00		0	0.00		0	0.00		1	
		TOTAL		60	88.24					2	2.94		2	2.94		4	5.88		68	
	THIRD			1	50.00						Excluded		0	0.00		1	50.00		2	
		TOTAL		61	89.71								2	2.94		5	7.35		68	
	FOURTH			2	100.00									Excluded		0	0.00		2	
		TOTAL		63	92.65											5	7.35		68	
				Elected																
																				
Mittagong                                                      																				
	FIRST			1245	49.60		182	7.25		193	7.69		130	5.18		760	30.28		2510	
	SECOND			17	9.34			Excluded		110	60.44		7	3.85		48	26.37		182	
		TOTAL		1262	50.28					303	12.07		137	5.46		808	32.19		2510	
	THIRD			69	22.77						Excluded		22	7.26		212	69.97		303	
		TOTAL		1331	53.03								159	6.33		1020	40.64		2510	
	FOURTH			60	37.74									Excluded		99	62.26		159	
		TOTAL		1391	55.42											1119	44.58		2510	
				Elected																
																				
Mittagong South                                                																				
	FIRST			501	58.73		47	5.51		66	7.74		33	3.87		206	24.15		853	
	SECOND			7	14.89			Excluded		31	65.96		3	6.38		6	12.77		47	
		TOTAL		508	59.55					97	11.37		36	4.22		212	24.85		853	
	THIRD			25	25.77						Excluded		7	7.22		65	67.01		97	
		TOTAL		533	62.49								43	5.04		277	32.47		853	
	FOURTH			23	53.49									Excluded		20	46.51		43	
		TOTAL		556	65.18											297	34.82		853	
				Elected																
																				
Monteagle                                                      																				
	FIRST			90	70.31		1	0.78		0	0.00		8	6.25		29	22.66		128	
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		1	100.00		1	
		TOTAL		90	70.31					0	0.00		8	6.25		30	23.44		128	
	THIRD			0	0.00						Excluded		0	0.00		0	0.00		0	
		TOTAL		90	70.31								8	6.25		30	23.44		128	
	FOURTH			6	75.00									Excluded		2	25.00		8	
		TOTAL		96	75.00											32	25.00		128	
				Elected																
																				
Mount Hunter                                                   																				
	FIRST			381	65.13		21	3.59		23	3.93		32	5.47		128	21.88		585	
	SECOND			4	19.05			Excluded		14	66.67		2	9.52		1	4.76		21	
		TOTAL		385	65.81					37	6.32		34	5.81		129	22.05		585	
	THIRD			5	13.51						Excluded		7	18.92		25	67.57		37	
		TOTAL		390	66.67								41	7.01		154	26.32		585	
	FOURTH			17	41.46									Excluded		24	58.54		41	
		TOTAL		407	69.57											178	30.43		585	
				Elected																
																				
Murringo                                                       																				
	FIRST			116	67.84		1	0.58		5	2.92		15	8.77		34	19.88		171	
	SECOND			1	100.00			Excluded		0	0.00		0	0.00		0	0.00		1	
		TOTAL		117	68.42					5	2.92		15	8.77		34	19.88		171	
	THIRD			0	0.00						Excluded		1	20.00		4	80.00		5	
		TOTAL		117	68.42								16	9.36		38	22.22		171	
	FOURTH			6	37.50									Excluded		10	62.50		16	
		TOTAL		123	71.93											48	28.07		171	
				Elected																
																				
Murrumbateman                                                  																				
	FIRST			533	48.63		55	5.02		106	9.67		61	5.57		341	31.11		1096	
	SECOND			8	14.55			Excluded		29	52.73		3	5.45		15	27.27		55	
		TOTAL		541	49.36					135	12.32		64	5.84		356	32.48		1096	
	THIRD			40	29.63						Excluded		13	9.63		82	60.74		135	
		TOTAL		581	53.01								77	7.03		438	39.96		1096	
	FOURTH			35	45.45									Excluded		42	54.55		77	
		TOTAL		616	56.20											480	43.80		1096	
				Elected																
																				
Murrumburrah                                                   																				
	FIRST			308	55.80		7	1.27		5	0.91		50	9.06		182	32.97		552	
	SECOND			5	71.43			Excluded		0	0.00		1	14.29		1	14.29		7	
		TOTAL		313	56.70					5	0.91		51	9.24		183	33.15		552	
	THIRD			2	40.00						Excluded		1	20.00		2	40.00		5	
		TOTAL		315	57.07								52	9.42		185	33.51		552	
	FOURTH			21	40.38									Excluded		31	59.62		52	
		TOTAL		336	60.87											216	39.13		552	
				Elected																
																				
New Berrima                                                    																				
	FIRST			110	41.35		14	5.26		15	5.64		29	10.90		98	36.84		266	
	SECOND			1	7.14			Excluded		6	42.86		3	21.43		4	28.57		14	
		TOTAL		111	41.73					21	7.89		32	12.03		102	38.35		266	
	THIRD			5	23.81						Excluded		8	38.10		8	38.10		21	
		TOTAL		116	43.61								40	15.04		110	41.35		266	
	FOURTH			16	40.00									Excluded		24	60.00		40	
		TOTAL		132	49.62											134	50.38		266	
				Elected																
																				
Oakdale                                                        																				
	FIRST			467	52.12		38	4.24		33	3.68		111	12.39		247	27.57		896	
	SECOND			8	21.05			Excluded		17	44.74		6	15.79		7	18.42		38	
		TOTAL		475	53.01					50	5.58		117	13.06		254	28.35		896	
	THIRD			15	30.00						Excluded		5	10.00		30	60.00		50	
		TOTAL		490	54.69								122	13.62		284	31.70		896	
	FOURTH			61	50.00									Excluded		61	50.00		122	
		TOTAL		551	61.50											345	38.50		896	
				Elected																
																				
Orangeville                                                    																				
	FIRST			381	71.21		23	4.30		14	2.62		46	8.60		71	13.27		535	
	SECOND			7	30.43			Excluded		12	52.17		2	8.70		2	8.70		23	
		TOTAL		388	72.52					26	4.86		48	8.97		73	13.64		535	
	THIRD			9	34.62						Excluded		2	7.69		15	57.69		26	
		TOTAL		397	74.21								50	9.35		88	16.45		535	
	FOURTH			36	72.00									Excluded		14	28.00		50	
		TOTAL		433	80.93											102	19.07		535	
				Elected																
																				
Picton                                                         																				
	FIRST			1113	52.80		134	6.36		111	5.27		146	6.93		604	28.65		2108	
	SECOND			19	14.18			Excluded		91	67.91		6	4.48		18	13.43		134	
		TOTAL		1132	53.70					202	9.58		152	7.21		622	29.51		2108	
