House of Representatives - 2001 Election: New South Wales											
Two Candidate Preferred Preference Flow Result											
By Polling Place											
											
Wentworth (86457)											
		Candidate		"KING, Peter"		                	"NEILSON, Carolyn"		           	Total	
		Total	225	389	46.53		447	53.47		836	

	Parsley Bay										
			1st Prefs	402	87.39		58	12.61		460	
		"GOLDEN, Aub (HAN)"	4	2	50.00		2	50.00		4	
		"LYSSA, Alison (GRN)"	20	9	45.00		11	55.00		20	
		"COLLINGS, Margaret (DEM)"	12	9	75.00		3	25.00		12	
		"JACOBS, Alan (UNI)"	5	3	60.00		2	40.00		5	
		Total	41	425	84.83		76	15.17		501	

	Peters Corner (Wentworth)										
			1st Prefs	459	47.76		502	52.24		961	
		"GOLDEN, Aub (HAN)"	29	19	65.52		10	34.48		29	
		"LYSSA, Alison (GRN)"	122	20	16.39		102	83.61		122	
		"COLLINGS, Margaret (DEM)"	81	40	49.38		41	50.62		81	
		"JACOBS, Alan (UNI)"	12	1	8.33		11	91.67		12	
		Total	244	539	44.73		666	55.27		1205	

	Randwick										
			1st Prefs	602	53.94		514	46.06		1116	
		"GOLDEN, Aub (HAN)"	19	15	78.95		4	21.05		19	
		"LYSSA, Alison (GRN)"	141	27	19.15		114	80.85		141	
		"COLLINGS, Margaret (DEM)"	95	38	40.00		57	60.00		95	
		"JACOBS, Alan (UNI)"	15	2	13.33		13	86.67		15	
		Total	270	684	49.35		702	50.65		1386	

	Randwick East										
			1st Prefs	502	57.97		364	42.03		866	
		"GOLDEN, Aub (HAN)"	19	15	78.95		4	21.05		19	
		"LYSSA, Alison (GRN)"	84	15	17.86		69	82.14		84	
		"COLLINGS, Margaret (DEM)"	67	33	49.25		34	50.75		67	
		"JACOBS, Alan (UNI)"	7	3	42.86		4	57.14		7	
		Total	177	568	54.46		475	45.54		1043	

	Randwick North										
			1st Prefs	1074	54.19		908	45.81		1982	
		"GOLDEN, Aub (HAN)"	55	35	63.64		20	36.36		55	
		"LYSSA, Alison (GRN)"	216	87	40.28		129	59.72		216	
		"COLLINGS, Margaret (DEM)"	151	58	38.41		93	61.59		151	
		"JACOBS, Alan (UNI)"	6	3	50.00		3	50.00		6	
		Total	428	1257	52.16		1153	47.84		2410	

	Rose Bay										
			1st Prefs	1393	74.89		467	25.11		1860	
		"GOLDEN, Aub (HAN)"	39	28	71.79		11	28.21		39	
		"LYSSA, Alison (GRN)"	152	45	29.61		107	70.39		152	
		"COLLINGS, Margaret (DEM)"	107	43	40.19		64	59.81		107	
		"JACOBS, Alan (UNI)"	36	12	33.33		24	66.67		36	
		Total	334	1521	69.33		673	30.67		2194	

	Rose Bay Central										
			1st Prefs	721	78.03		203	21.97		924	
		"GOLDEN, Aub (HAN)"	19	16	84.21		3	15.79		19	
		"LYSSA, Alison (GRN)"	56	17	30.36		39	69.64		56	
		"COLLINGS, Margaret (DEM)"	48	16	33.33		32	66.67		48	
		"JACOBS, Alan (UNI)"	13	7	53.85		6	46.15		13	
		Total	136	777	73.30		283	26.70		1060	

	Sydney (Wentworth)										
			1st Prefs	91	57.23		68	42.77		159	
		"GOLDEN, Aub (HAN)"	3	2	66.67		1	33.33		3	
		"LYSSA, Alison (GRN)"	24	5	20.83		19	79.17		24	
		"COLLINGS, Margaret (DEM)"	18	9	50.00		9	50.00		18	
		"JACOBS, Alan (UNI)"	3	1	33.33		2	66.67		3	
		Total	48	108	52.17		99	47.83		207	

	Vaucluse										
			1st Prefs	734	84.37		136	15.63		870	
		"GOLDEN, Aub (HAN)"	4	3	75.00		1	25.00		4	
		"LYSSA, Alison (GRN)"	72	20	27.78		52	72.22		72	
		"COLLINGS, Margaret (DEM)"	29	12	41.38		17	58.62		29	
		"JACOBS, Alan (UNI)"	4	4	100.00		0	0.00		4	
		Total	109	773	78.96		206	21.04		979	

	Watsons Bay										
			1st Prefs	591	74.25		205	25.75		796	
		"GOLDEN, Aub (HAN)"	21	15	71.43		6	28.57		21	
		"LYSSA, Alison (GRN)"	70	14	20.00		56	80.00		70	
		"COLLINGS, Margaret (DEM)"	27	8	29.63		19	70.37		27	
		"JACOBS, Alan (UNI)"	8	1	12.50		7	87.50		8	
		Total	126	629	68.22		293	31.78		922	

	Waverley										
			1st Prefs	691	53.52		600	46.48		1291	
		"GOLDEN, Aub (HAN)"	32	23	71.88		9	28.13		32	
		"LYSSA, Alison (GRN)"	219	43	19.63		176	80.37		219	
		"COLLINGS, Margaret (DEM)"	116	42	36.21		74	63.79		116	
		"JACOBS, Alan (UNI)"	8	3	37.50		5	62.50		8	
		Total	375	802	48.14		864	51.86		1666	

	Waverley College										
			1st Prefs	524	59.41		358	40.59		882	
		"GOLDEN, Aub (HAN)"	24	18	75.00		6	25.00		24	
		"LYSSA, Alison (GRN)"	145	35	24.14		110	75.86		145	
		"COLLINGS, Margaret (DEM)"	78	28	35.90		50	64.10		78	
		"JACOBS, Alan (UNI)"	3	1	33.33		2	66.67		3	
		Total	250	606	53.53		526	46.47		1132	

	Woollahra										
			1st Prefs	986	68.95		444	31.05		1430	
		"GOLDEN, Aub (HAN)"	17	7	41.18		10	58.82		17	
		"LYSSA, Alison (GRN)"	175	34	19.43		141	80.57		175	
		"COLLINGS, Margaret (DEM)"	106	48	45.28		58	54.72		106	
		"JACOBS, Alan (UNI)"	18	9	50.00		9	50.00		18	
		Total	316	1084	62.08		662	37.92		1746	

	Woollahra East										
			1st Prefs	626	67.46		302	32.54		928	
		"GOLDEN, Aub (HAN)"	13	7	53.85		6	46.15		13	
		"LYSSA, Alison (GRN)"	100	19	19.00		81	81.00		100	
		"COLLINGS, Margaret (DEM)"	73	29	39.73		44	60.27		73	
		"JACOBS, Alan (UNI)"	5	2	40.00		3	60.00		5	
		Total	191	683	61.04		436	38.96		1119	

	Special Hospitals										
			1st Prefs	128	59.53		87	40.47		215	
		"GOLDEN, Aub (HAN)"	8	7	87.50		1	12.50		8	
		"LYSSA, Alison (GRN)"	2	1	50.00		1	50.00		2	
		"COLLINGS, Margaret (DEM)"	6	4	66.67		2	33.33		6	
		"JACOBS, Alan (UNI)"	0	0	0.00		0	0.00		0	
		Total	16	140	60.61		91	39.39		231	

	Total Ordinary										
			1st Prefs	30457	63.64		17405	36.36		47862	
		"GOLDEN, Aub (HAN)"	938	632	67.38		306	32.62		938	
		"LYSSA, Alison (GRN)"	5690	1157	20.33		4533	79.67		5690	
		"COLLINGS, Margaret (DEM)"	3493	1335	38.22		2158	61.78		3493	
		"JACOBS, Alan (UNI)"	477	178	37.32		299	62.68		477	
		Total	10598	33759	57.75		24701	42.25		58460	

	ABSENT										
			1st Prefs	2511	58.99		1746	41.01		4257	
		"GOLDEN, Aub (HAN)"	117	84	71.79		33	28.21		117	
		"LYSSA, Alison (GRN)"	845	223	26.39		622	73.61		845	
		"COLLINGS, Margaret (DEM)"	472	148	31.36		324	68.64		472	
		"JACOBS, Alan (UNI)"	46	16	34.78		30	65.22		46	
		Total	1480	2982	51.98		2755	48.02		5737	

	POSTAL										
			1st Prefs	2659	73.76		946	26.24		3605	
		"GOLDEN, Aub (HAN)"	67	46	68.66		21	31.34		67	
		"LYSSA, Alison (GRN)"	166	39	23.49		127	76.51		166	
		"COLLINGS, Margaret (DEM)"	189	58	30.69		131	69.31		189	
		"JACOBS, Alan (UNI)"	53	23	43.40		30	56.60		53	
		Total	475	2825	69.24		1255	30.76		4080	

	PRE_POLL										
			1st Prefs	3408	63.01		2001	36.99		5409	
		"GOLDEN, Aub (HAN)"	99	69	69.70		30	30.30		99	
		"LYSSA, Alison (GRN)"	569	130	22.85		439	77.15		569	
		"COLLINGS, Margaret (DEM)"	439	148	33.71		291	66.29		439	
		"JACOBS, Alan (UNI)"	64	24	37.50		40	62.50		64	
		Total	1171	3779	57.43		2801	42.57		6580	

	PROVISIONAL										
			1st Prefs	263	59.50		179	40.50		442	
		"GOLDEN, Aub (HAN)"	12	11	91.67		1	8.33		12	
		"LYSSA, Alison (GRN)"	101	25	24.75		76	75.25		101	
		"COLLINGS, Margaret (DEM)"	46	16	34.78		30	65.22		46	
		"JACOBS, Alan (UNI)"	2	0	0.00		2	100.00		2	
		Total	161	315	52.24		288	47.76		603	

	Division Summary										
			1st Prefs	39298	63.82		22277	36.18		61575	
		"GOLDEN, Aub (HAN)"	1233	842	68.29		391	31.71		1233	
		"LYSSA, Alison (GRN)"	7371	1574	21.35		5797	78.65		7371	
		"COLLINGS, Margaret (DEM)"	4639	1705	36.75		2934	63.25		4639	
		"JACOBS, Alan (UNI)"	642	241	37.54		401	62.46		642	
		Total	13885	43660	57.86		31800	42.14		75460	
