House of Representatives - 2001 Election: New South Wales																															
Distribution of Preferences																															
By Polling Place																															
																															
Cook																															
				FREW			POULOS			STRANG			PETERS-POWER			BAIRD			BAILEY			YOUNG			SMITH			JAMES			
	SECOND			0	0.00		2	22.22			Excluded		3	33.33		3	33.33		0	0.00		1	11.11		0	0.00		0	0.00		9
		TOTAL		117	6.21		11	0.58					98	5.20		1024	54.35		75	3.98		501	26.59		33	1.75		25	1.33		1884
	THIRD			3	27.27			Excluded					1	9.09		2	18.18		1	9.09		4	36.36		0	0.00		0	0.00		11
		TOTAL		120	6.37								99	5.25		1026	54.46		76	4.03		505	26.80		33	1.75		25	1.33		1884
	FOURTH			5	20.00								1	4.00		8	32.00		2	8.00		6	24.00		3	12.00			Excluded		25
		TOTAL		125	6.63								100	5.31		1034	54.88		78	4.14		511	27.12		36	1.91					1884
	FIFTH			3	8.33								3	8.33		20	55.56		6	16.67		4	11.11			Excluded					36
		TOTAL		128	6.79								103	5.47		1054	55.94		84	4.46		515	27.34								1884
	SIXTH			1	1.19								28	33.33		22	26.19			Excluded		33	39.29								84
		TOTAL		129	6.85								131	6.95		1076	57.11					548	29.09								1884
	SEVENTH			18	13.74									Excluded		35	26.72					78	59.54								131
		TOTAL		147	7.80											1111	58.97					626	33.23								1884
	EIGHTH				Excluded											70	47.62					77	52.38								147
		TOTAL														1181	62.69					703	37.31								1884
																Elected															
																															
Cronulla North                                                 																															
	FIRST			90	6.44		5	0.36		12	0.86		94	6.72		620	44.35		51	3.65		473	33.83		30	2.15		23	1.65		1398
	SECOND			1	8.33		2	16.67			Excluded		0	0.00		5	41.67		1	8.33		2	16.67		1	8.33		0	0.00		12
		TOTAL		91	6.51		7	0.50					94	6.72		625	44.71		52	3.72		475	33.98		31	2.22		23	1.65		1398
	THIRD			6	85.71			Excluded					0	0.00		0	0.00		0	0.00		1	14.29		0	0.00		0	0.00		7
		TOTAL		97	6.94								94	6.72		625	44.71		52	3.72		476	34.05		31	2.22		23	1.65		1398
	FOURTH			7	30.43								3	13.04		7	30.43		0	0.00		4	17.39		2	8.70			Excluded		23
		TOTAL		104	7.44								97	6.94		632	45.21		52	3.72		480	34.33		33	2.36					1398
	FIFTH			2	6.06								2	6.06		24	72.73		2	6.06		3	9.09			Excluded					33
		TOTAL		106	7.58								99	7.08		656	46.92		54	3.86		483	34.55								1398
	SIXTH			1	1.85								25	46.30		11	20.37			Excluded		17	31.48								54
		TOTAL		107	7.65								124	8.87		667	47.71					500	35.77								1398
	SEVENTH			11	8.87									Excluded		33	26.61					80	64.52								124
		TOTAL		118	8.44											700	50.07					580	41.49								1398
	EIGHTH				Excluded											56	47.46					62	52.54								118
		TOTAL														756	54.08					642	45.92								1398
																Elected															
																															
Cronulla South                                                 																															
	FIRST			123	5.01		16	0.65		14	0.57		99	4.04		1520	61.96		74	3.02		537	21.89		42	1.71		28	1.14		2453
	SECOND			3	21.43		1	7.14			Excluded		2	14.29		2	14.29		3	21.43		1	7.14		0	0.00		2	14.29		14
		TOTAL		126	5.14		17	0.69					101	4.12		1522	62.05		77	3.14		538	21.93		42	1.71		30	1.22		2453
	THIRD			5	29.41			Excluded					3	17.65		3	17.65		2	11.76		1	5.88		1	5.88		2	11.76		17
		TOTAL		131	5.34								104	4.24		1525	62.17		79	3.22		539	21.97		43	1.75		32	1.30		2453
	FOURTH			15	46.88								5	15.63		4	12.50		0	0.00		5	15.63		3	9.38			Excluded		32
		TOTAL		146	5.95								109	4.44		1529	62.33		79	3.22		544	22.18		46	1.88					2453
	FIFTH			7	15.22								3	6.52		32	69.57		0	0.00		4	8.70			Excluded					46
		TOTAL		153	6.24								112	4.57		1561	63.64		79	3.22		548	22.34								2453
	SIXTH			6	7.59								33	41.77		19	24.05			Excluded		21	26.58								79
		TOTAL		159	6.48								145	5.91		1580	64.41					569	23.20								2453
	SEVENTH			10	6.90									Excluded		28	19.31					107	73.79								145
		TOTAL		169	6.89											1608	65.55					676	27.56								2453
	EIGHTH				Excluded											96	56.80					73	43.20								169
		TOTAL														1704	69.47					749	30.53								2453
																Elected															
																															
Dolans Bay                                                     																															
	FIRST			44	4.19		3	0.29		4	0.38		28	2.66		664	63.18		28	2.66		259	24.64		15	1.43		6	0.57		1051
	SECOND			0	0.00		0	0.00			Excluded		1	25.00		1	25.00		0	0.00		2	50.00		0	0.00		0	0.00		4
		TOTAL		44	4.19		3	0.29					29	2.76		665	63.27		28	2.66		261	24.83		15	1.43		6	0.57		1051
	THIRD			0	0.00			Excluded					0	0.00		2	66.67		0	0.00		1	33.33		0	0.00		0	0.00		3
		TOTAL		44	4.19								29	2.76		667	63.46		28	2.66		262	24.93		15	1.43		6	0.57		1051
	FOURTH			0	0.00								1	16.67		3	50.00		1	16.67		0	0.00		1	16.67			Excluded		6
		TOTAL		44	4.19								30	2.85		670	63.75		29	2.76		262	24.93		16	1.52					1051
	FIFTH			0	0.00								3	18.75		11	68.75		2	12.50		0	0.00			Excluded					16
		TOTAL		44	4.19								33	3.14		681	64.80		31	2.95		262	24.93								1051
	SIXTH			2	6.45								12	38.71		10	32.26			Excluded		7	22.58								31
		TOTAL		46	4.38								45	4.28		691	65.75					269	25.59								1051
	SEVENTH			5	11.11									Excluded		7	15.56					33	73.33								45
		TOTAL		51	4.85											698	66.41					302	28.73								1051
	EIGHTH				Excluded											37	72.55					14	27.45								51
		TOTAL														735	69.93					316	30.07								1051
																Elected															
																															
Grays Point                                                    																															
	FIRST			92	6.01		2	0.13		9	0.59		67	4.37		788	51.44		61	3.98		448	29.24		49	3.20		16	1.04		1532
	SECOND			0	0.00		1	11.11			Excluded		2	22.22		2	22.22		2	22.22		1	11.11		0	0.00		1	11.11		9
		TOTAL		92	6.01		3	0.20					69	4.50		790	51.57		63	4.11		449	29.31		49	3.20		17	1.11		1532
	THIRD			1	33.33			Excluded					1	33.33		1	33.33		0	0.00		0	0.00		0	0.00		0	0.00		3
		TOTAL		93	6.07								70	4.57		791	51.63		63	4.11		449	29.31		49	3.20		17	1.11		1532
	FOURTH			5	29.41								5	29.41		4	23.53		1	5.88		2	11.76		0	0.00			Excluded		17
		TOTAL		98	6.40								75	4.90		795	51.89		64	4.18		451	29.44		49	3.20					1532
	FIFTH			3	6.12								0	0.00		40	81.63		4	8.16		2	4.08			Excluded					49
		TOTAL		101	6.59								75	4.90		835	54.50		68	4.44		453	29.57								1532
	SIXTH			2	2.94								23	33.82		18	26.47			Excluded		25	36.76								68
		TOTAL		103	6.72								98	6.40		853	55.68					478	31.20								1532
	SEVENTH			15	15.31									Excluded		15	15.31					68	69.39								98
		TOTAL		118	7.70											868	56.66					546	35.64								1532
	EIGHTH				Excluded											61	51.69					57	48.31								118
		TOTAL														929	60.64					603	39.36								1532
																Elected															
																															
Gymea                                                          																															
	FIRST			149	5.42		24	0.87		13	0.47		86	3.13		1348	49.00		102	3.71		935	33.99		68	2.47		26	0.95		2751
	SECOND			3	23.08		2	15.38			Excluded		1	7.69		2	15.38		2	15.38		3	23.08		0	0.00		0	0.00		13
		TOTAL		152	5.53		26	0.95					87	3.16		1350	49.07		104	3.78		938	34.10		68	2.47		26	0.95		2751
	THIRD			7	26.92			Excluded					2	7.69		8	30.77		2	7.69		2	7.69		2	7.69		3	11.54		26
		TOTAL		159	5.78								89	3.24		1358	49.36		106	3.85		940	34.17		70	2.54		29	1.05		2751
	FOURTH			10	34.48								6	20.69		3	10.34		1	3.45		6	20.69		3	10.34			Excluded		29
		TOTAL		169	6.14								95	3.45		1361	49.47		107	3.89		946	34.39		73	2.65					2751
	FIFTH			7	9.59								4	5.48		47	64.38		8	10.96		7	9.59			Excluded					73
		TOTAL		176	6.40								99	3.60		1408	51.18		115	4.18		953	34.64								2751
	SIXTH			2	1.74								61	53.04		19	16.52			Excluded		33	28.70								115
		TOTAL		178	6.47								160	5.82		1427	51.87					986	35.84								2751
	SEVENTH			25	15.63									Excluded		42	26.25					93	58.13								160
		TOTAL		203	7.38											1469	53.40					1079	39.22								2751
	EIGHTH				Excluded											96	47.29					107	52.71								203
		TOTAL														1565	56.89					1186	43.11								2751
																Elected															
																															
Gymea North                                                    																															
	FIRST			68	6.63		1	0.10		9	0.88		21	2.05		587	57.27		42	4.10		272	26.54		16	1.56		9	0.88		1025
	SECOND			2	22.22		2	22.22			Excluded		3	33.33		1	11.11		0	0.00		0	0.00		0	0.00		1	11.11		9
		TOTAL		70	6.83		3	0.29					24	2.34		588	57.37		42	4.10		272	26.54		16	1.56		10	0.98		1025
	THIRD			3	100.00			Excluded					0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		3
		TOTAL		73	7.12								24	2.34		588	57.37		42	4.10		272	26.54		16	1.56		10	0.98		1025
	FOURTH			2	20.00								3	30.00		0	0.00		2	20.00		1	10.00		2	20.00			Excluded		10
		TOTAL		75	7.32								27	2.63		588	57.37		44	4.29		273	26.63		18	1.76					1025
	FIFTH			2	11.11								2	11.11		11	61.11		0	0.00		3	16.67			Excluded					18
		TOTAL		77	7.51								29	2.83		599	58.44		44	4.29		276	26.93								1025
	SIXTH			1	2.27								18	40.91		4	9.09			Excluded		21	47.73								44
		TOTAL		78	7.61								47	4.59		603	58.83					297	28.98								1025
	SEVENTH			2	4.26									Excluded		13	27.66					32	68.09								47
		TOTAL		80	7.80											616	60.10					329	32.10								1025
	EIGHTH				Excluded											31	38.75					49	61.25								80
		TOTAL														647	63.12					378	36.88								1025
																Elected															
																															
Gymea South                                                    																															
	FIRST			189	5.60		19	0.56		20	0.59		127	3.77		1888	55.99		164	4.86		872	25.86		52	1.54		41	1.22		3372
	SECOND			2	10.00		5	25.00			Excluded		2	10.00		2	10.00		4	20.00		4	20.00		0	0.00		1	5.00		20
		TOTAL		191	5.66		24	0.71					129	3.83		1890	56.05		168	4.98		876	25.98		52	1.54		42	1.25		3372
	THIRD			2	8.33			Excluded					7	29.17		7	29.17		2	8.33		2	8.33		0	0.00		4	16.67		24
		TOTAL		193	5.72								136	4.03		1897	56.26		170	5.04		878	26.04		52	1.54		46	1.36		3372
	FOURTH			12	26.09								3	6.52		14	30.43		2	4.35		11	23.91		4	8.70			Excluded		46
		TOTAL		205	6.08								139	4.12		1911	56.67		172	5.10		889	26.36		56	1.66					3372
	FIFTH			7	12.50								3	5.36		36	64.29		5	8.93		5	8.93			Excluded					56
		TOTAL		212	6.29								142	4.21		1947	57.74		177	5.25		894	26.51								3372
	SIXTH			9	5.08								93	52.54		32	18.08			Excluded		43	24.29								177
		TOTAL		221	6.55								235	6.97		1979	58.69					937	27.79								3372
	SEVENTH			19	8.09									Excluded		48	20.43					168	71.49								235
		TOTAL		240	7.12											2027	60.11					1105	32.77								3372
	EIGHTH				Excluded											107	44.58					133	55.42								240
		TOTAL														2134	63.29					1238	36.71								3372
																Elected															
																															
Kareela                                                        																															
	FIRST			98	4.40		15	0.67		7	0.31		67	3.01		1393	62.55		68	3.05		548	24.61		16	0.72		15	0.67		2227
	SECOND			2	28.57		1	14.29			Excluded		1	14.29		0	0.00		1	14.29		1	14.29		0	0.00		1	14.29		7
		TOTAL		100	4.49		16	0.72					68	3.05		1393	62.55		69	3.10		549	24.65		16	0.72		16	0.72		2227
	THIRD			2	12.50			Excluded					2	12.50		1	6.25		1	6.25		5	31.25		3	18.75		2	12.50		16
		TOTAL		102	4.58								70	3.14		1394	62.60		70	3.14		554	24.88		19	0.85		18	0.81		2227
	FOURTH			4	22.22								1	5.56		3	16.67		4	22.22		5	27.78		1	5.56			Excluded		18
		TOTAL		106	4.76								71	3.19		1397	62.73		74	3.32		559	25.10		20	0.90					2227
	FIFTH			3	15.00								2	10.00		12	60.00		1	5.00		2	10.00			Excluded					20
		TOTAL		109	4.89								73	3.28		1409	63.27		75	3.37		561	25.19								2227
	SIXTH			2	2.67								27	36.00		24	32.00			Excluded		22	29.33								75
		TOTAL		111	4.98								100	4.49		1433	64.35					583	26.18								2227
	SEVENTH			10	10.00									Excluded		30	30.00					60	60.00								100
		TOTAL		121	5.43											1463	65.69					643	28.87								2227
	EIGHTH				Excluded											63	52.07					58	47.93								121
		TOTAL														1526	68.52					701	31.48								2227
																Elected															
																															
Kirrawee                                                       																															
	FIRST			151	8.40		9	0.50		9	0.50		54	3.01		965	53.70		64	3.56		483	26.88		43	2.39		19	1.06		1797
	SECOND			2	22.22		0	0.00			Excluded		2	22.22		1	11.11		0	0.00		2	22.22		0	0.00		2	22.22		9
		TOTAL		153	8.51		9	0.50					56	3.12		966	53.76		64	3.56		485	26.99		43	2.39		21	1.17		1797
	THIRD			3	33.33			Excluded					2	22.22		1	11.11		1	11.11		1	11.11		1	11.11		0	0.00		9
		TOTAL		156	8.68								58	3.23		967	53.81		65	3.62		486	27.05		44	2.45		21	1.17		1797
	FOURTH			11	52.38								1	4.76		6	28.57		2	9.52		1	4.76		0	0.00			Excluded		21
		TOTAL		167	9.29								59	3.28		973	54.15		67	3.73		487	27.10		44	2.45					1797
	FIFTH			3	6.82								3	6.82		29	65.91		4	9.09		5	11.36			Excluded					44
		TOTAL		170	9.46								62	3.45		1002	55.76		71	3.95		492	27.38								1797
	SIXTH			3	4.23								38	53.52		13	18.31			Excluded		17	23.94								71
		TOTAL		173	9.63								100	5.56		1015	56.48					509	28.32								1797
	SEVENTH			13	13.00									Excluded		30	30.00					57	57.00								100
		TOTAL		186	10.35											1045	58.15					566	31.50								1797
	EIGHTH				Excluded											70	37.63					116	62.37								186
		TOTAL														1115	62.05					682	37.95								1797
																Elected															
																															
Kirrawee South                                                 																															
	FIRST			75	5.21		2	0.14		10	0.69		38	2.64		832	57.82		52	3.61		382	26.55		31	2.15		17	1.18		1439
	SECOND			1	10.00		1	10.00			Excluded		6	60.00		0	0.00		1	10.00		0	0.00		0	0.00		1	10.00		10
		TOTAL		76	5.28		3	0.21					44	3.06		832	57.82		53	3.68		382	26.55		31	2.15		18	1.25		1439
	THIRD			0	0.00			Excluded					1	33.33		2	66.67		0	0.00		0	0.00		0	0.00		0	0.00		3
		TOTAL		76	5.28								45	3.13		834	57.96		53	3.68		382	26.55		31	2.15		18	1.25		1439
	FOURTH			6	33.33								5	27.78		3	16.67		1	5.56		1	5.56		2	11.11			Excluded		18
		TOTAL		82	5.70								50	3.47		837	58.17		54	3.75		383	26.62		33	2.29					1439
	FIFTH			2	6.06								0	0.00		23	69.70		8	24.24		0	0.00			Excluded					33
		TOTAL		84	5.84								50	3.47		860	59.76		62	4.31		383	26.62								1439
	SIXTH			0	0.00								30	48.39		6	9.68			Excluded		26	41.94								62
		TOTAL		84	5.84								80	5.56		866	60.18					409	28.42								1439
	SEVENTH			8	10.00									Excluded		26	32.50					46	57.50								80
		TOTAL		92	6.39											892	61.99					455	31.62								1439
	EIGHTH				Excluded											49	53.26					43	46.74								92
		TOTAL														941	65.39					498	34.61								1439
																Elected															
																															
Kurnell                                                        																															
	FIRST			142	12.76		8	0.72		8	0.72		53	4.76		501	45.01		33	2.96		330	29.65		23	2.07		15	1.35		1113
	SECOND			1	12.50		0	0.00			Excluded		3	37.50		3	37.50		0	0.00		1	12.50		0	0.00		0	0.00		8
		TOTAL		143	12.85		8	0.72					56	5.03		504	45.28		33	2.96		331	29.74		23	2.07		15	1.35		1113
	THIRD			3	37.50			Excluded					3	37.50		0	0.00		0	0.00		1	12.50		0	0.00		1	12.50		8
		TOTAL		146	13.12								59	5.30		504	45.28		33	2.96		332	29.83		23	2.07		16	1.44		1113
	FOURTH			3	18.75								3	18.75		4	25.00		0	0.00		6	37.50		0	0.00			Excluded		16
		TOTAL		149	13.39								62	5.57		508	45.64		33	2.96		338	30.37		23	2.07					1113
	FIFTH			2	8.70								2	8.70		12	52.17		1	4.35		6	26.09			Excluded					23
		TOTAL		151	13.57								64	5.75		520	46.72		34	3.05		344	30.91								1113
	SIXTH			1	2.94								19	55.88		7	20.59			Excluded		7	20.59								34
		TOTAL		152	13.66								83	7.46		527	47.35					351	31.54								1113
	SEVENTH			9	10.84									Excluded		18	21.69					56	67.47								83
		TOTAL		161	14.47											545	48.97					407	36.57								1113
	EIGHTH				Excluded											65	40.37					96	59.63								161
		TOTAL														610	54.81					503	45.19								1113
																Elected															
																															
Lilli Pilli                                                    																															
	FIRST			45	3.63		2	0.16		5	0.40		27	2.18		865	69.70		39	3.14		248	19.98		4	0.32		6	0.48		1241
	SECOND			1	20.00		0	0.00			Excluded		2	40.00		0	0.00		2	40.00		0	0.00		0	0.00		0	0.00		5
		TOTAL		46	3.71		2	0.16					29	2.34		865	69.70		41	3.30		248	19.98		4	0.32		6	0.48		1241
	THIRD			1	50.00			Excluded					0	0.00		0	0.00		0	0.00		1	50.00		0	0.00		0	0.00		2
		TOTAL		47	3.79								29	2.34		865	69.70		41	3.30		249	20.06		4	0.32		6	0.48		1241
	FOURTH			3	50.00								0	0.00		2	33.33		0	0.00		1	16.67		0	0.00			Excluded		6
		TOTAL		50	4.03								29	2.34		867	69.86		41	3.30		250	20.15		4	0.32					1241
	FIFTH			0	0.00								0	0.00		2	50.00		1	25.00		1	25.00			Excluded					4
		TOTAL		50	4.03								29	2.34		869	70.02		42	3.38		251	20.23								1241
	SIXTH			0	0.00								20	47.62		5	11.90			Excluded		17	40.48								42
		TOTAL		50	4.03								49	3.95		874	70.43					268	21.60								1241
	SEVENTH			4	8.16									Excluded		12	24.49					33	67.35								49
		TOTAL		54	4.35											886	71.39					301	24.25								1241
	EIGHTH				Excluded											32	59.26					22	40.74								54
		TOTAL														918	73.97					323	26.03								1241
																Elected															
																															
Maianbar                                                       																															
	FIRST			17	6.91		0	0.00		3	1.22		28	11.38		97	39.43		16	6.50		83	33.74		1	0.41		1	0.41		246
