House of Representatives - 2001 Election: New South Wales											
Two Candidate Preferred Preference Flow Result											
By Polling Place											
											
Werriwa (83153)											
		Candidate		"MASINA, Paul"		               	"LATHAM, Mark"		               	Total	
		"KOTARSKI, P (HAN)"	26	16	61.54		10	38.46		26	
		Total	76	434	67.81		206	32.19		640	

	James Busby (Werriwa)										
			1st Prefs	288	23.34		946	76.66		1234	
		"URI, John (UNI)"	65	49	75.38		16	24.62		65	
		"WOODGER, Janey (AFI)"	17	10	58.82		7	41.18		17	
		"TAN, Greg (CTA)"	24	14	58.33		10	41.67		24	
		"BLANCH, Glenda (DEM)"	30	12	40.00		18	60.00		30	
		"BARSONY, Roger (GRN)"	25	10	40.00		15	60.00		25	
		"KOTARSKI, P (HAN)"	38	15	39.47		23	60.53		38	
		Total	199	398	27.77		1035	72.23		1433	

	Kemps Creek (Werriwa)										
			1st Prefs	380	66.43		192	33.57		572	
		"URI, John (UNI)"	19	13	68.42		6	31.58		19	
		"WOODGER, Janey (AFI)"	12	6	50.00		6	50.00		12	
		"TAN, Greg (CTA)"	5	2	40.00		3	60.00		5	
		"BLANCH, Glenda (DEM)"	10	6	60.00		4	40.00		10	
		"BARSONY, Roger (GRN)"	10	6	60.00		4	40.00		10	
		"KOTARSKI, P (HAN)"	46	32	69.57		14	30.43		46	
		Total	102	445	66.02		229	33.98		674	

	Leumeah (Werriwa)										
			1st Prefs	79	55.24		64	44.76		143	
		"URI, John (UNI)"	3	2	66.67		1	33.33		3	
		"WOODGER, Janey (AFI)"	11	8	72.73		3	27.27		11	
		"TAN, Greg (CTA)"	12	7	58.33		5	41.67		12	
		"BLANCH, Glenda (DEM)"	5	2	40.00		3	60.00		5	
		"BARSONY, Roger (GRN)"	8	3	37.50		5	62.50		8	
		"KOTARSKI, P (HAN)"	16	8	50.00		8	50.00		16	
		Total	55	109	55.05		89	44.95		198	

	Leumeah North (Werriwa)										
			1st Prefs	537	54.57		447	45.43		984	
		"URI, John (UNI)"	6	6	100.00		0	0.00		6	
		"WOODGER, Janey (AFI)"	20	12	60.00		8	40.00		20	
		"TAN, Greg (CTA)"	36	26	72.22		10	27.78		36	
		"BLANCH, Glenda (DEM)"	43	14	32.56		29	67.44		43	
		"BARSONY, Roger (GRN)"	23	4	17.39		19	82.61		23	
		"KOTARSKI, P (HAN)"	49	20	40.82		29	59.18		49	
		Total	177	619	53.32		542	46.68		1161	

	Liverpool West (Werriwa)										
			1st Prefs	154	32.56		319	67.44		473	
		"URI, John (UNI)"	24	16	66.67		8	33.33		24	
		"WOODGER, Janey (AFI)"	12	6	50.00		6	50.00		12	
		"TAN, Greg (CTA)"	21	11	52.38		10	47.62		21	
		"BLANCH, Glenda (DEM)"	14	9	64.29		5	35.71		14	
		"BARSONY, Roger (GRN)"	15	4	26.67		11	73.33		15	
		"KOTARSKI, P (HAN)"	35	15	42.86		20	57.14		35	
		Total	121	215	36.20		379	63.80		594	

	Lurnea										
			1st Prefs	530	30.76		1193	69.24		1723	
		"URI, John (UNI)"	37	31	83.78		6	16.22		37	
		"WOODGER, Janey (AFI)"	32	17	53.13		15	46.88		32	
		"TAN, Greg (CTA)"	61	41	67.21		20	32.79		61	
		"BLANCH, Glenda (DEM)"	34	15	44.12		19	55.88		34	
		"BARSONY, Roger (GRN)"	71	12	16.90		59	83.10		71	
		"KOTARSKI, P (HAN)"	145	71	48.97		74	51.03		145	
		Total	380	717	34.09		1386	65.91		2103	

	Macquarie Fields										
			1st Prefs	807	38.63		1282	61.37		2089	
		"URI, John (UNI)"	51	32	62.75		19	37.25		51	
		"WOODGER, Janey (AFI)"	58	33	56.90		25	43.10		58	
		"TAN, Greg (CTA)"	58	37	63.79		21	36.21		58	
		"BLANCH, Glenda (DEM)"	70	18	25.71		52	74.29		70	
		"BARSONY, Roger (GRN)"	68	14	20.59		54	79.41		68	
		"KOTARSKI, P (HAN)"	146	60	41.10		86	58.90		146	
		Total	451	1001	39.41		1539	60.59		2540	

	Macquarie Fields North										
			1st Prefs	380	44.34		477	55.66		857	
		"URI, John (UNI)"	23	16	69.57		7	30.43		23	
		"WOODGER, Janey (AFI)"	11	6	54.55		5	45.45		11	
		"TAN, Greg (CTA)"	33	24	72.73		9	27.27		33	
		"BLANCH, Glenda (DEM)"	33	14	42.42		19	57.58		33	
		"BARSONY, Roger (GRN)"	22	7	31.82		15	68.18		22	
		"KOTARSKI, P (HAN)"	65	28	43.08		37	56.92		65	
		Total	187	475	45.50		569	54.50		1044	

	Miller (Werriwa)										
			1st Prefs	263	22.75		893	77.25		1156	
		"URI, John (UNI)"	49	37	75.51		12	24.49		49	
		"WOODGER, Janey (AFI)"	19	10	52.63		9	47.37		19	
		"TAN, Greg (CTA)"	25	9	36.00		16	64.00		25	
		"BLANCH, Glenda (DEM)"	19	5	26.32		14	73.68		19	
		"BARSONY, Roger (GRN)"	24	9	37.50		15	62.50		24	
		"KOTARSKI, P (HAN)"	71	30	42.25		41	57.75		71	
		Total	207	363	26.63		1000	73.37		1363	

	Minto										
			1st Prefs	624	35.64		1127	64.36		1751	
		"URI, John (UNI)"	36	27	75.00		9	25.00		36	
		"WOODGER, Janey (AFI)"	36	20	55.56		16	44.44		36	
		"TAN, Greg (CTA)"	47	28	59.57		19	40.43		47	
		"BLANCH, Glenda (DEM)"	69	22	31.88		47	68.12		69	
		"BARSONY, Roger (GRN)"	65	16	24.62		49	75.38		65	
		"KOTARSKI, P (HAN)"	105	46	43.81		59	56.19		105	
		Total	358	783	37.13		1326	62.87		2109	

	Prestons										
			1st Prefs	1227	38.93		1925	61.07		3152	
		"URI, John (UNI)"	57	48	84.21		9	15.79		57	
		"WOODGER, Janey (AFI)"	27	13	48.15		14	51.85		27	
		"TAN, Greg (CTA)"	80	57	71.25		23	28.75		80	
		"BLANCH, Glenda (DEM)"	85	27	31.76		58	68.24		85	
		"BARSONY, Roger (GRN)"	95	29	30.53		66	69.47		95	
		"KOTARSKI, P (HAN)"	103	50	48.54		53	51.46		103	
		Total	447	1451	40.32		2148	59.68		3599	

	Prestons West										
			1st Prefs	590	46.13		689	53.87		1279	
		"URI, John (UNI)"	19	12	63.16		7	36.84		19	
		"WOODGER, Janey (AFI)"	27	20	74.07		7	25.93		27	
		"TAN, Greg (CTA)"	97	64	65.98		33	34.02		97	
		"BLANCH, Glenda (DEM)"	35	8	22.86		27	77.14		35	
		"BARSONY, Roger (GRN)"	25	7	28.00		18	72.00		25	
		"KOTARSKI, P (HAN)"	56	36	64.29		20	35.71		56	
		Total	259	737	47.92		801	52.08		1538	

	Robert Townson (Werriwa)										
			1st Prefs	1054	45.31		1272	54.69		2326	
		"URI, John (UNI)"	26	17	65.38		9	34.62		26	
		"WOODGER, Janey (AFI)"	53	29	54.72		24	45.28		53	
		"TAN, Greg (CTA)"	45	25	55.56		20	44.44		45	
		"BLANCH, Glenda (DEM)"	94	29	30.85		65	69.15		94	
		"BARSONY, Roger (GRN)"	69	21	30.43		48	69.57		69	
		"KOTARSKI, P (HAN)"	132	62	46.97		70	53.03		132	
		Total	419	1237	45.06		1508	54.94		2745	

	Sackville Street										
			1st Prefs	928	48.41		989	51.59		1917	
		"URI, John (UNI)"	40	27	67.50		13	32.50		40	
		"WOODGER, Janey (AFI)"	42	21	50.00		21	50.00		42	
		"TAN, Greg (CTA)"	35	24	68.57		11	31.43		35	
		"BLANCH, Glenda (DEM)"	66	26	39.39		40	60.61		66	
		"BARSONY, Roger (GRN)"	35	10	28.57		25	71.43		35	
		"KOTARSKI, P (HAN)"	153	110	71.90		43	28.10		153	
		Total	371	1146	50.09		1142	49.91		2288	

	St Andrews										
			1st Prefs	964	43.58		1248	56.42		2212	
		"URI, John (UNI)"	28	24	85.71		4	14.29		28	
		"WOODGER, Janey (AFI)"	40	17	42.50		23	57.50		40	
		"TAN, Greg (CTA)"	50	28	56.00		22	44.00		50	
		"BLANCH, Glenda (DEM)"	67	24	35.82		43	64.18		67	
		"BARSONY, Roger (GRN)"	63	14	22.22		49	77.78		63	
		"KOTARSKI, P (HAN)"	115	64	55.65		51	44.35		115	
		Total	363	1135	44.08		1440	55.92		2575	

	St Andrews South										
			1st Prefs	396	39.76		600	60.24		996	
		"URI, John (UNI)"	17	10	58.82		7	41.18		17	
		"WOODGER, Janey (AFI)"	30	17	56.67		13	43.33		30	
		"TAN, Greg (CTA)"	23	19	82.61		4	17.39		23	
		"BLANCH, Glenda (DEM)"	44	12	27.27		32	72.73		44	
		"BARSONY, Roger (GRN)"	28	10	35.71		18	64.29		28	
		"KOTARSKI, P (HAN)"	59	26	44.07		33	55.93		59	
		Total	201	490	40.94		707	59.06		1197	

	Sydney (Werriwa)										
			1st Prefs	24	33.33		48	66.67		72	
		"URI, John (UNI)"	5	4	80.00		1	20.00		5	
		"WOODGER, Janey (AFI)"	1	1	100.00		0	0.00		1	
		"TAN, Greg (CTA)"	3	3	100.00		0	0.00		3	
		"BLANCH, Glenda (DEM)"	4	1	25.00		3	75.00		4	
		"BARSONY, Roger (GRN)"	5	0	0.00		5	100.00		5	
		"KOTARSKI, P (HAN)"	4	0	0.00		4	100.00		4	
		Total	22	33	35.11		61	64.89		94	

	The Grange										
			1st Prefs	358	33.24		719	66.76		1077	
		"URI, John (UNI)"	27	19	70.37		8	29.63		27	
		"WOODGER, Janey (AFI)"	33	12	36.36		21	63.64		33	
		"TAN, Greg (CTA)"	33	18	54.55		15	45.45		33	
		"BLANCH, Glenda (DEM)"	29	12	41.38		17	58.62		29	
		"BARSONY, Roger (GRN)"	25	7	28.00		18	72.00		25	
		"KOTARSKI, P (HAN)"	57	17	29.82		40	70.18		57	
		Total	204	443	34.58		838	65.42		1281	

	West Hoxton										
			1st Prefs	272	58.12		196	41.88		468	
		"URI, John (UNI)"	8	6	75.00		2	25.00		8	
		"WOODGER, Janey (AFI)"	6	2	33.33		4	66.67		6	
		"TAN, Greg (CTA)"	27	25	92.59		2	7.41		27	
		"BLANCH, Glenda (DEM)"	3	1	33.33		2	66.67		3	
		"BARSONY, Roger (GRN)"	12	3	25.00		9	75.00		12	
		"KOTARSKI, P (HAN)"	30	23	76.67		7	23.33		30	
		Total	86	332	59.93		222	40.07		554	

	Whiddon Homes										
			1st Prefs	77	48.43		82	51.57		159	
		"URI, John (UNI)"	9	8	88.89		1	11.11		9	
		"WOODGER, Janey (AFI)"	2	2	100.00		0	0.00		2	
		"TAN, Greg (CTA)"	2	1	50.00		1	50.00		2	
		"BLANCH, Glenda (DEM)"	4	1	25.00		3	75.00		4	
		"BARSONY, Roger (GRN)"	2	1	50.00		1	50.00		2	
		"KOTARSKI, P (HAN)"	5	4	80.00		1	20.00		5	
		Total	24	94	51.37		89	48.63		183	

	Special Hospitals										
			1st Prefs	24	34.78		45	65.22		69	
		"URI, John (UNI)"	1	1	100.00		0	0.00		1	
		"WOODGER, Janey (AFI)"	0	0	0.00		0	0.00		0	
		"TAN, Greg (CTA)"	0	0	0.00		0	0.00		0	
		"BLANCH, Glenda (DEM)"	0	0	0.00		0	0.00		0	
		"BARSONY, Roger (GRN)"	0	0	0.00		0	0.00		0	
		"KOTARSKI, P (HAN)"	0	0	0.00		0	0.00		0	
		Total	1	25	35.71		45	64.29		70	

	Total Ordinary										
			1st Prefs	20601	39.60		31427	60.40		52028	
		"URI, John (UNI)"	1266	920	72.67		346	27.33		1266	
		"WOODGER, Janey (AFI)"	964	517	53.63		447	46.37		964	
		"TAN, Greg (CTA)"	1493	982	65.77		511	34.23		1493	
		"BLANCH, Glenda (DEM)"	1530	531	34.71		999	65.29		1530	
		"BARSONY, Roger (GRN)"	1574	405	25.73		1169	74.27		1574	
		"KOTARSKI, P (HAN)"	2768	1438	51.95		1330	48.05		2768	
		Total	9595	25394	41.21		36229	58.79		61623	

	ABSENT										
			1st Prefs	1760	41.27		2505	58.73		4265	
		"URI, John (UNI)"	183	141	77.05		42	22.95		183	
		"WOODGER, Janey (AFI)"	178	93	52.25		85	47.75		178	
		"TAN, Greg (CTA)"	157	99	63.06		58	36.94		157	
		"BLANCH, Glenda (DEM)"	230	86	37.39		144	62.61		230	
		"BARSONY, Roger (GRN)"	236	89	37.71		147	62.29		236	
		"KOTARSKI, P (HAN)"	343	163	47.52		180	52.48		343	
		Total	1327	2431	43.47		3161	56.53		5592	

	POSTAL										
			1st Prefs	542	42.05		747	57.95		1289	
		"URI, John (UNI)"	19	10	52.63		9	47.37		19	
		"WOODGER, Janey (AFI)"	48	31	64.58		17	35.42		48	
		"TAN, Greg (CTA)"	31	22	70.97		9	29.03		31	
		"BLANCH, Glenda (DEM)"	44	13	29.55		31	70.45		44	
		"BARSONY, Roger (GRN)"	26	9	34.62		17	65.38		26	
		"KOTARSKI, P (HAN)"	105	49	46.67		56	53.33		105	
		Total	273	676	43.28		886	56.72		1562	

	PRE_POLL										
			1st Prefs	767	43.11		1012	56.89		1779	
		"URI, John (UNI)"	44	35	79.55		9	20.45		44	
		"WOODGER, Janey (AFI)"	54	30	55.56		24	44.44		54	
		"TAN, Greg (CTA)"	65	38	58.46		27	41.54		65	
		"BLANCH, Glenda (DEM)"	68	18	26.47		50	73.53		68	
		"BARSONY, Roger (GRN)"	46	20	43.48		26	56.52		46	
		"KOTARSKI, P (HAN)"	135	79	58.52		56	41.48		135	
		Total	412	987	45.05		1204	54.95		2191	

	PROVISIONAL										
			1st Prefs	146	33.56		289	66.44		435	
		"URI, John (UNI)"	15	12	80.00		3	20.00		15	
		"WOODGER, Janey (AFI)"	12	9	75.00		3	25.00		12	
		"TAN, Greg (CTA)"	13	8	61.54		5	38.46		13	
		"BLANCH, Glenda (DEM)"	14	6	42.86		8	57.14		14	
		"BARSONY, Roger (GRN)"	9	0	0.00		9	100.00		9	
		"KOTARSKI, P (HAN)"	21	8	38.10		13	61.90		21	
		Total	84	189	36.42		330	63.58		519	

	Division Summary										
			1st Prefs	23816	39.83		35980	60.17		59796	
		"URI, John (UNI)"	1527	1118	73.22		409	26.78		1527	
		"WOODGER, Janey (AFI)"	1256	680	54.14		576	45.86		1256	
		"TAN, Greg (CTA)"	1759	1149	65.32		610	34.68		1759	
		"BLANCH, Glenda (DEM)"	1886	654	34.68		1232	65.32		1886	
		"BARSONY, Roger (GRN)"	1891	523	27.66		1368	72.34		1891	
		"KOTARSKI, P (HAN)"	3372	1737	51.51		1635	48.49		3372	
		Total	11691	29677	41.51		41810	58.49		71487	
