House of Representatives - 2001 Election: New South Wales 																																										
First Preference Votes and TCP 																																										
By Candidate by Polling Place																																										

Reid (77031)																																										
	CHAMAS			ARCHER			MAXWELL			LEDERMANN			MACDONALD			YUSUF			O'CONNOR			# FERGUSON			FORMAL			INFORMAL			TOTAL											
	Habib			Adrian Peter			Steve			Uwe			Lisa			Irfan			Shane			Laurie												Two Candidate Preferred								
	UNI			DEM			GRN			CTA						LP			HAN			ALP												 YUSUF LP			# FERGUSON ALP					
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%				
Hilltop Road	147	4.27		115	3.34		89	2.58		107	3.11		51	1.48		983	28.53		254	7.37		1700	49.33		3446	89.30		413	10.70		3859	5.37		1438	41.73		2008	58.27
Hyde Park	86	4.20		101	4.93		60	2.93		60	2.93		25	1.22		477	23.28		111	5.42		1129	55.10		2049	87.86		283	12.14		2332	3.25		702	34.26		1347	65.74
Lidcombe	249	6.20		167	4.16		148	3.69		57	1.42		47	1.17		772	19.23		189	4.71		2385	59.42		4014	88.73		510	11.27		4524	6.30		1168	29.10		2846	70.90
Lidcombe South	85	6.18		34	2.47		33	2.40		27	1.96		18	1.31		291	21.15		69	5.01		819	59.52		1376	87.76		192	12.24		1568	2.18		414	30.09		962	69.91
Merrylands	74	4.54		61	3.74		45	2.76		53	3.25		31	1.90		385	23.61		74	4.54		908	55.67		1631	88.79		206	11.21		1837	2.56		587	35.99		1044	64.01
Merrylands East	65	3.71		48	2.74		48	2.74		44	2.51		26	1.49		471	26.91		88	5.03		960	54.86		1750	88.21		234	11.79		1984	2.76		647	36.97		1103	63.03
Merrylands North	78	3.97		72	3.66		54	2.75		44	2.24		16	0.81		511	25.98		83	4.22		1109	56.38		1967	90.77		200	9.23		2167	3.02		698	35.49		1269	64.51
Merrylands West	13	2.59		18	3.59		20	3.98		11	2.19		7	1.39		126	25.10		45	8.96		262	52.19		502	94.90		27	5.10		529	0.74		190	37.85		312	62.15
Monterey Street	12	4.00		6	2.00		9	3.00		5	1.67		5	1.67		83	27.67		19	6.33		161	53.67		300	95.85		13	4.15		313	0.44		118	39.33		182	60.67			
Old Guildford	35	4.03		29	3.34		13	1.50		22	2.53		12	1.38		211	24.31		44	5.07		502	57.83		868	88.12		117	11.88		985	1.37		303	34.91		565	65.09			
Rawson	25	2.71		24	2.60		24	2.60		14	1.52		8	0.87		223	24.13		83	8.98		523	56.60		924	92.12		79	7.88		1003	1.40		329	35.61		595	64.39			
Regents Park	54	4.10		48	3.64		26	1.97		44	3.34		13	0.99		246	18.68		75	5.69		811	61.58		1317	90.70		135	9.30		1452	2.02		366	27.79		951	72.21			
Sherwood Grange	41	3.03		50	3.70		34	2.51		37	2.73		13	0.96		447	33.04		88	6.50		643	47.52		1353	89.96		151	10.04		1504	2.09		580	42.87		773	57.13			
Silverwater	41	4.15		38	3.85		37	3.74		10	1.01		14	1.42		255	25.81		39	3.95		554	56.07		988	92.42		81	7.58		1069	1.49		336	34.01		652	65.99			
Sydney (Reid)	0	0.00		10	9.26		4	3.70		3	2.78		5	4.63		33	30.56		2	1.85		51	47.22		108	89.26		13	10.74		121	0.17		43	39.81		65	60.19			
Trinity Auburn	174	5.44		81	2.53		151	4.72		58	1.81		43	1.34		599	18.72		73	2.28		2021	63.16		3200	85.04		563	14.96		3763	5.24		826	25.81		2374	74.19			
Wentworthville South	16	2.56		25	4.00		11	1.76		24	3.84		12	1.92		190	30.40		49	7.84		298	47.68		625	89.41		74	10.59		699	0.97		276	44.16		349	55.84			
Yennora (Reid)	47	7.69		17	2.78		20	3.27		11	1.80		6	0.98		108	17.68		32	5.24		370	60.56		611	87.79		85	12.21		696	0.97		194	31.75		417	68.25			
Special Hospitals	12	8.57		4	2.86		1	0.71		2	1.43		2	1.43		41	29.29		6	4.29		72	51.43		140	97.22		4	2.78		144	0.20		55	39.29		85	60.71			
Prison Mobiles	1	50.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	50.00		2	66.67		1	33.33		3	0.00		1	50.00		1	50.00			
Total Ordinary	2660	4.81		1768	3.20		1581	2.86		1260	2.28		789	1.43		12221	22.11		2973	5.38		32016	57.93		55268	88.42		7236	11.58		62504	86.99		17968	32.51		37300	67.49			
ABSENT	249	6.02		260	6.29		223	5.39		143	3.46		87	2.10		1033	24.98		229	5.54		1911	46.22		4135	89.95		462	10.05		4597	6.40		1653	39.98		2482	60.02			
POSTAL	38	1.68		51	2.25		40	1.77		48	2.12		13	0.57		625	27.58		173	7.63		1278	56.40		2266	97.34		62	2.66		2328	3.24		820	36.19		1446	63.81			
PRE_POLL	89	4.56		96	4.92		68	3.48		45	2.30		21	1.08		440	22.53		94	4.81		1100	56.32		1953	92.82		151	7.18		2104	2.93		649	33.23		1304	66.77			
PROVISIONAL	20	7.43		8	2.97		8	2.97		6	2.23		6	2.23		45	16.73		7	2.60		169	62.83		269	83.54		53	16.46		322	0.45		75	27.88		194	72.12			
Division Summary	3056	4.78		2183	3.42		1920	3.01		1502	2.35		916	1.43		14364	22.48		3476	5.44		36474	57.09		63891	88.92		7964	11.08		71855	93.28		21165	33.13		42726	66.87			
																																									
																																									
																																									
																																									
																																									
