House of Representatives - 2001 Election: New South Wales																																										
First Preference Votes and TCP																																										
By Candidate by Polling Place																																										

Prospect (86641)																																										
	FILIPCZYK			HUTCHINSON			OATES			HAROON			PERKINS			PEACOCK			TAI			# CROSIO			FORMAL			INFORMAL			TOTAL											
	Rebecca			John Robert			Garry A			Lewis			Gareth			Thomas			Kek			Janice												Two Candidate Preferred								
	GRN			HAN			AFI			CTA			LP			DEM			UNI			ALP												 PERKINS LP			# CROSIO ALP					
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%				
Governor Philip King	93	5.08		57	3.11		22	1.20		46	2.51		370	20.22		38	2.08		43	2.35		1161	63.44		1830	93.32		131	6.68		1961	2.38		534	29.18		1296	70.82
Greystanes	143	4.36		158	4.82		51	1.56		86	2.62		1223	37.30		100	3.05		10	0.30		1508	45.99		3279	92.68		259	7.32		3538	4.29		1559	47.54		1720	52.46
Greystanes North	94	4.91		103	5.38		31	1.62		32	1.67		573	29.91		50	2.61		10	0.52		1023	53.39		1916	92.83		148	7.17		2064	2.50		777	40.55		1139	59.45
Holroyd	42	3.77		71	6.37		22	1.97		11	0.99		395	35.43		37	3.32		2	0.18		535	47.98		1115	93.38		79	6.62		1194	1.45		503	45.11		612	54.89
Horsley Park	80	6.30		81	6.38		24	1.89		14	1.10		616	48.50		23	1.81		4	0.31		428	33.70		1270	89.12		155	10.88		1425	1.73		777	61.18		493	38.82
Kemps Creek (Prospect)	24	4.75		52	10.30		11	2.18		6	1.19		266	52.67		9	1.78		8	1.58		129	25.54		505	89.38		60	10.62		565	0.68		357	70.69		148	29.31
Pendle Hill South	70	4.31		72	4.43		33	2.03		36	2.22		594	36.55		44	2.71		11	0.68		765	47.08		1625	92.22		137	7.78		1762	2.13		748	46.03		877	53.97
Prairievale	124	4.94		51	2.03		20	0.80		69	2.75		524	20.87		38	1.51		64	2.55		1621	64.56		2511	92.97		190	7.03		2701	3.27		688	27.40		1823	72.60
Ringrose	95	4.31		106	4.81		42	1.91		43	1.95		781	35.47		45	2.04		14	0.64		1076	48.86		2202	93.31		158	6.69		2360	2.86		970	44.05		1232	55.95			
St Clair	58	3.78		97	6.32		49	3.19		29	1.89		532	34.68		45	2.93		2	0.13		722	47.07		1534	94.57		88	5.43		1622	1.96		701	45.70		833	54.30			
St Johns Park High	98	4.02		53	2.18		24	0.99		91	3.74		444	18.23		57	2.34		79	3.24		1589	65.26		2435	90.29		262	9.71		2697	3.27		631	25.91		1804	74.09			
Smithfield	86	4.33		79	3.98		28	1.41		41	2.07		448	22.57		35	1.76		21	1.06		1247	62.82		1985	87.06		295	12.94		2280	2.76		612	30.83		1373	69.17			
Smithfield East	54	3.28		65	3.95		28	1.70		26	1.58		376	22.84		31	1.88		5	0.30		1061	64.46		1646	89.41		195	10.59		1841	2.23		483	29.34		1163	70.66			
Smithfield West	171	4.91		195	5.60		53	1.52		92	2.64		827	23.74		63	1.81		41	1.18		2042	58.61		3484	86.02		566	13.98		4050	4.91		1192	34.21		2292	65.79			
Sydney (Prospect)	3	3.09		3	3.09		1	1.03		1	1.03		27	27.84		5	5.15		2	2.06		55	56.70		97	97.00		3	3.00		100	0.12		34	35.05		63	64.95			
Wakeley (Prospect)	83	4.86		45	2.63		21	1.23		80	4.68		347	20.30		25	1.46		37	2.17		1071	62.67		1709	86.23		273	13.77		1982	2.40		510	29.84		1199	70.16			
Widemere	73	4.59		91	5.72		31	1.95		21	1.32		603	37.90		44	2.77		3	0.19		725	45.57		1591	94.99		84	5.01		1675	2.03		764	48.02		827	51.98			
William Stimson	113	3.92		85	2.95		37	1.28		73	2.53		737	25.59		62	2.15		37	1.28		1736	60.28		2880	87.09		427	12.91		3307	4.01		947	32.88		1933	67.12			
Special Hospitals	1	7.69		1	7.69		0	0.00		0	0.00		1	7.69		0	0.00		1	7.69		9	69.23		13	86.67		2	13.33		15	0.02		2	15.38		11	84.62			
Total Ordinary	2949	4.43		2899	4.35		1068	1.60		1729	2.60		18212	27.34		1465	2.20		882	1.32		37401	56.15		66605	90.79		6753	9.21		73358	88.85		24440	36.69		42165	63.31			
ABSENT	366	7.70		277	5.82		123	2.59		111	2.33		1415	29.75		164	3.45		83	1.75		2217	46.61		4756	91.08		466	8.92		5222	6.33		2003	42.12		2753	57.88			
POSTAL	34	2.04		123	7.37		32	1.92		26	1.56		554	33.21		24	1.44		18	1.08		857	51.38		1668	96.86		54	3.14		1722	2.09		683	40.95		985	59.05			
PRE_POLL	70	3.99		68	3.87		44	2.51		37	2.11		533	30.37		64	3.65		36	2.05		903	51.45		1755	93.40		124	6.60		1879	2.28		702	40.00		1053	60.00			
PROVISIONAL	20	5.59		13	3.63		7	1.96		24	6.70		62	17.32		6	1.68		8	2.23		218	60.89		358	94.21		22	5.79		380	0.46		117	32.68		241	67.32			
Division Summary	3439	4.58		3380	4.50		1274	1.70		1927	2.56		20776	27.65		1723	2.29		1027	1.37		41596	55.36		75142	91.01		7419	8.99		82561	95.29		27945	37.19		47197	62.81			
																																									
																																									
																																									
																																									
																																									
