House of Representatives - 2001 Election: New South Wales																																																					
First Preference Votes and TCP 																																																					
By Candidate by Polling Place																																																					

Page (82272)																																																					
	POLLARD-O'HARA			COOPER			LAMPIS			BEHN			JEFFREYS			CANALES			FELSCH			FLANAGAN			CORKILL			# CAUSLEY			GRIFFITHS			MATHEW			FORMAL			INFORMAL			TOTAL		Two Candidate Preferred								
	Kathryn			Tom			Edda			Doug			Allan			Judy			Arthur James			Terry			John			Ian			Angela			Marie												 FLANAGAN ALP			# CAUSLEY				
	IND			IND						IND			DEM			HMP			CTA			CLR			GRN			NP			CEC			HAN												CLR			NP				
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%			
Casino	36	1.18		477	15.58		10	0.33		20	0.65		35	1.14		34	1.11		49	1.60		846	27.64		58	1.89		1337	43.68		1	0.03		158	5.16		3061	92.23		258	7.77		3319	4.21		1334	43.58		1727	56.42
Casino High	14	1.75		100	12.52		0	0.00		2	0.25		8	1.00		12	1.50		14	1.75		282	35.29		15	1.88		310	38.80		0	0.00		42	5.26		799	94.33		48	5.67		847	1.08		401	50.19		398	49.81
Casino Hospital	6	1.12		68	12.66		1	0.19		2	0.37		12	2.23		5	0.93		10	1.86		170	31.66		10	1.86		226	42.09		1	0.19		26	4.84		537	95.55		25	4.45		562	0.71		242	45.07		295	54.93
Casino South	7	0.68		128	12.46		3	0.29		7	0.68		11	1.07		10	0.97		20	1.95		287	27.95		32	3.12		465	45.28		2	0.19		55	5.36		1027	93.36		73	6.64		1100	1.40		443	43.14		584	56.86
Casino West	12	1.51		106	13.37		4	0.50		5	0.63		11	1.39		6	0.76		17	2.14		274	34.55		7	0.88		306	38.59		0	0.00		45	5.67		793	93.85		52	6.15		845	1.07		405	51.07		388	48.93
Cawongla	1	0.28		29	8.08		2	0.56		1	0.28		21	5.85		21	5.85		1	0.28		85	23.68		130	36.21		59	16.43		1	0.28		8	2.23		359	93.98		23	6.02		382	0.49		271	75.49		88	24.51
Chatsworth Island	3	0.84		11	3.07		0	0.00		1	0.28		8	2.23		8	2.23		6	1.68		92	25.70		16	4.47		171	47.77		0	0.00		42	11.73		358	95.47		17	4.53		375	0.48		142	39.66		216	60.34
Clovass	6	2.28		31	11.79		0	0.00		0	0.00		3	1.14		1	0.38		7	2.66		39	14.83		6	2.28		164	62.36		0	0.00		6	2.28		263	96.34		10	3.66		273	0.35		68	25.86		195	74.14
Clunes	4	1.04		29	7.57		0	0.00		0	0.00		27	7.05		9	2.35		6	1.57		93	24.28		57	14.88		152	39.69		0	0.00		6	1.57		383	96.23		15	3.77		398	0.51		191	49.87		192	50.13
Copmanhurst	3	0.87		13	3.78		0	0.00		0	0.00		5	1.45		4	1.16		2	0.58		100	29.07		20	5.81		177	51.45		0	0.00		20	5.81		344	95.03		18	4.97		362	0.46		144	41.86		200	58.14
Coraki	21	2.31		97	10.65		2	0.22		17	1.87		9	0.99		23	2.52		15	1.65		213	23.38		51	5.60		406	44.57		0	0.00		57	6.26		911	92.68		72	7.32		983	1.25		382	41.93		529	58.07
Corndale	1	0.71		21	15.00		0	0.00		0	0.00		3	2.14		3	2.14		0	0.00		32	22.86		24	17.14		53	37.86		0	0.00		3	2.14		140	97.90		3	2.10		143	0.18		71	50.71		69	49.29
Coutts Crossing	5	0.87		19	3.32		2	0.35		4	0.70		15	2.62		9	1.57		16	2.80		166	29.02		27	4.72		256	44.76		2	0.35		51	8.92		572	93.46		40	6.54		612	0.78		249	43.53		323	56.47
Cowper (Page)	1	0.45		5	2.23		0	0.00		0	0.00		3	1.34		3	1.34		4	1.79		70	31.25		7	3.13		111	49.55		0	0.00		20	8.93		224	96.97		7	3.03		231	0.29		92	41.07		132	58.93
Dundurrabin	0	0.00		1	0.73		1	0.73		1	0.73		6	4.38		3	2.19		2	1.46		57	41.61		14	10.22		43	31.39		0	0.00		9	6.57		137	98.56		2	1.44		139	0.18		81	59.12		56	40.88
Dunoon	14	2.56		54	9.89		1	0.18		1	0.18		33	6.04		11	2.01		13	2.38		135	24.73		99	18.13		159	29.12		1	0.18		25	4.58		546	96.64		19	3.36		565	0.72		319	58.42		227	41.58
Eltham	2	0.84		19	7.98		0	0.00		0	0.00		4	1.68		3	1.26		9	3.78		51	21.43		28	11.76		115	48.32		0	0.00		7	2.94		238	95.20		12	4.80		250	0.32		90	37.82		148	62.18
Empire Vale	5	2.10		18	7.56		0	0.00		1	0.42		9	3.78		10	4.20		23	9.66		55	23.11		15	6.30		88	36.97		0	0.00		14	5.88		238	96.75		8	3.25		246	0.31		107	44.96		131	55.04
Evans Head	13	0.82		88	5.58		2	0.13		230	14.58		22	1.39		18	1.14		42	2.66		434	27.50		68	4.31		579	36.69		4	0.25		78	4.94		1578	94.38		94	5.62		1672	2.12		782	49.56		796	50.44
Fairy Hill	3	0.77		69	17.69		2	0.51		1	0.26		2	0.51		0	0.00		7	1.79		69	17.69		6	1.54		213	54.62		1	0.26		17	4.36		390	93.53		27	6.47		417	0.53		124	31.79		266	68.21
Gillwinga	6	1.10		11	2.01		0	0.00		0	0.00		6	1.10		4	0.73		5	0.92		229	41.94		10	1.83		239	43.77		2	0.37		34	6.23		546	94.30		33	5.70		579	0.74		264	48.35		282	51.65
Goolmangar	3	0.71		67	15.91		2	0.48		0	0.00		7	1.66		8	1.90		0	0.00		96	22.80		32	7.60		185	43.94		0	0.00		21	4.99		421	94.61		24	5.39		445	0.57		184	43.71		237	56.29
Goonellabah	39	1.72		165	7.28		13	0.57		10	0.44		75	3.31		37	1.63		57	2.51		609	26.86		134	5.91		1046	46.14		5	0.22		77	3.40		2267	93.87		148	6.13		2415	3.07		973	42.92		1294	57.08
Goonellabah South	39	1.97		149	7.54		6	0.30		4	0.20		60	3.04		17	0.86		61	3.09		571	28.90		113	5.72		864	43.72		0	0.00		92	4.66		1976	96.02		82	3.98		2058	2.61		867	43.88		1109	56.12
Grafton	30	1.73		50	2.88		3	0.17		5	0.29		44	2.54		22	1.27		35	2.02		667	38.44		74	4.27		691	39.83		2	0.12		112	6.46		1735	94.14		108	5.86		1843	2.34		905	52.16		830	47.84
Grafton East	13	1.02		27	2.11		1	0.08		2	0.16		30	2.35		19	1.49		29	2.27		450	35.21		41	3.21		588	46.01		4	0.31		74	5.79		1278	94.11		80	5.89		1358	1.72		583	45.62		695	54.38
Grafton Hospital	2	0.69		11	3.78		1	0.34		1	0.34		8	2.75		8	2.75		1	0.34		112	38.49		13	4.47		115	39.52		1	0.34		18	6.19		291	94.79		16	5.21		307	0.39		148	50.86		143	49.14
Grafton North	24	1.41		63	3.71		2	0.12		6	0.35		31	1.82		20	1.18		17	1.00		590	34.71		32	1.88		777	45.71		3	0.18		135	7.94		1700	92.64		135	7.36		1835	2.33		797	46.88		903	53.12
Grafton South	15	1.54		30	3.07		2	0.20		0	0.00		13	1.33		21	2.15		9	0.92		368	37.70		27	2.77		392	40.16		1	0.10		98	10.04		976	90.37		104	9.63		1080	1.37		492	50.41		484	49.59
Grevillia	1	0.68		9	6.16		0	0.00		0	0.00		0	0.00		1	0.68		1	0.68		25	17.12		5	3.42		98	67.12		0	0.00		6	4.11		146	91.25		14	8.75		160	0.20		44	30.14		102	69.86
Gundurimba South	1	0.65		24	15.58		0	0.00		1	0.65		4	2.60		6	3.90		5	3.25		25	16.23		9	5.84		71	46.10		0	0.00		8	5.19		154	98.09		3	1.91		157	0.20		56	36.36		98	63.64
Harwood Island	3	1.09		11	4.00		0	0.00		1	0.36		1	0.36		4	1.45		6	2.18		78	28.36		13	4.73		112	40.73		0	0.00		46	16.73		275	94.18		17	5.82		292	0.37		126	45.82		149	54.18
Horseshoe Creek	2	1.14		28	16.00		0	0.00		4	2.29		5	2.86		2	1.14		4	2.29		31	17.71		24	13.71		64	36.57		0	0.00		11	6.29		175	96.69		6	3.31		181	0.23		90	51.43		85	48.57
Iluka	13	1.20		78	7.20		0	0.00		7	0.65		7	0.65		9	0.83		11	1.02		383	35.36		33	3.05		442	40.81		3	0.28		97	8.96		1083	93.85		71	6.15		1154	1.47		539	49.77		544	50.23
Jiggi	2	0.94		16	7.51		0	0.00		0	0.00		2	0.94		7	3.29		0	0.00		50	23.47		70	32.86		59	27.70		0	0.00		7	3.29		213	97.71		5	2.29		218	0.28		132	61.97		81	38.03
Junction Hill	9	1.24		34	4.69		1	0.14		0	0.00		13	1.79		3	0.41		11	1.52		201	27.72		15	2.07		382	52.69		1	0.14		55	7.59		725	93.55		50	6.45		775	0.98		288	39.72		437	60.28
Kyogle	22	1.29		174	10.19		0	0.00		6	0.35		23	1.35		17	1.00		25	1.46		388	22.73		112	6.56		852	49.91		6	0.35		82	4.80		1707	95.68		77	4.32		1784	2.27		685	40.13		1022	59.87
Kyogle Hospital	11	1.53		83	11.51		1	0.14		0	0.00		20	2.77		7	0.97		5	0.69		166	23.02		51	7.07		325	45.08		4	0.55		48	6.66		721	92.08		62	7.92		783	0.99		305	42.30		416	57.70
Lawrence	4	0.72		47	8.50		0	0.00		1	0.18		10	1.81		7	1.27		6	1.08		179	32.37		18	3.25		215	38.88		0	0.00		66	11.93		553	94.85		30	5.15		583	0.74		283	51.18		270	48.82
Leeville	4	1.52		30	11.36		0	0.00		2	0.76		3	1.14		4	1.52		3	1.14		51	19.32		8	3.03		137	51.89		0	0.00		22	8.33		264	93.62		18	6.38		282	0.36		91	34.47		173	65.53
Lismore	54	2.43		188	8.45		29	1.30		8	0.36		109	4.90		65	2.92		36	1.62		608	27.34		343	15.42		681	30.62		3	0.13		100	4.50		2224	94.72		124	5.28		2348	2.98		1271	57.15		953	42.85
Lismore Central	35	2.31		113	7.45		6	0.40		10	0.66		57	3.76		50	3.30		24	1.58		452	29.82		198	13.06		527	34.76		0	0.00		44	2.90		1516	95.59		70	4.41		1586	2.01		820	54.09		696	45.91
Lismore East	40	2.34		138	8.08		16	0.94		8	0.47		76	4.45		27	1.58		38	2.22		474	27.75		178	10.42		643	37.65		3	0.18		67	3.92		1708	95.42		82	4.58		1790	2.27		839	49.12		869	50.88
Lismore Heights	13	1.40		78	8.38		10	1.07		2	0.21		32	3.44		22	2.36		15	1.61		260	27.93		90	9.67		386	41.46		1	0.11		22	2.36		931	96.28		36	3.72		967	1.23		447	48.01		484	51.99
Lismore Hospital	10	2.89		21	6.07		2	0.58		1	0.29		12	3.47		5	1.45		8	2.31		109	31.50		40	11.56		126	36.42		0	0.00		12	3.47		346	94.28		21	5.72		367	0.47		183	52.89		163	47.11
Lismore North	9	1.79		61	12.13		7	1.39		4	0.80		14	2.78		15	2.98		3	0.60		150	29.82		67	13.32		146	29.03		1	0.20		26	5.17		503	95.45		24	4.55		527	0.67		297	59.05		206	40.95
Lismore St Vincents Hospital	20	2.77		52	7.20		0	0.00		3	0.42		11	1.52		10	1.39		10	1.39		192	26.59		67	9.28		334	46.26		3	0.42		20	2.77		722	95.50		34	4.50		756	0.96		317	43.91		405	56.09
Lismore South	31	1.93		243	15.10		15	0.93		5	0.31		32	1.99		38	2.36		16	0.99		449	27.91		131	8.14		548	34.06		2	0.12		99	6.15		1609	95.66		73	4.34		1682	2.14		837	52.02		772	47.98
Maclean (Page)	3	0.99		17	5.59		0	0.00		2	0.66		10	3.29		7	2.30		6	1.97		80	26.32		24	7.89		135	44.41		0	0.00		20	6.58		304	96.51		11	3.49		315	0.40		137	45.07		167	54.93
Mallanganee	2	0.84		51	21.34		1	0.42		0	0.00		3	1.26		2	0.84		1	0.42		38	15.90		15	6.28		117	48.95		0	0.00		9	3.77		239	96.76		8	3.24		247	0.31		86	35.98		153	64.02
Meerschaum Vale	5	1.62		35	11.36		0	0.00		1	0.32		8	2.60		5	1.62		6	1.95		64	20.78		30	9.74		139	45.13		0	0.00		15	4.87		308	95.95		13	4.05		321	0.41		117	37.99		191	62.01
Modanville	3	0.81		31	8.38		3	0.81		1	0.27		16	4.32		9	2.43		1	0.27		79	21.35		35	9.46		172	46.49		0	0.00		20	5.41		370	94.63		21	5.37		391	0.50		151	40.81		219	59.19
Nimbin	12	1.25		35	3.65		13	1.36		2	0.21		49	5.11		107	11.17		4	0.42		215	22.44		347	36.22		149	15.55		2	0.21		23	2.40		958	96.28		37	3.72		995	1.26		736	76.83		222	23.17
Nymboida	2	1.65		2	1.65		0	0.00		0	0.00		5	4.13		2	1.65		0	0.00		33	27.27		29	23.97		34	28.10		0	0.00		14	11.57		121	94.53		7	5.47		128	0.16		75	61.98		46	38.02
Pimlico	2	1.43		7	5.00		0	0.00		0	0.00		4	2.86		3	2.14		2	1.43		28	20.00		2	1.43		84	60.00		2	1.43		6	4.29		140	97.90		3	2.10		143	0.18		43	30.71		97	69.29
Pound Hill	38	2.59		134	9.13		2	0.14		6	0.41		66	4.50		25	1.70		13	0.89		421	28.68		138	9.40		565	38.49		0	0.00		60	4.09		1468	94.71		82	5.29		1550	1.97		734	50.00		734	50.00
Rappville	2	1.41		12	8.45		0	0.00		1	0.70		1	0.70		3	2.11		0	0.00		41	28.87		1	0.70		67	47.18		0	0.00		14	9.86		142	94.04		9	5.96		151	0.19		58	40.85		84	59.15
Rosebank	3	1.22		19	7.72		0	0.00		2	0.81		20	8.13		12	4.88		0	0.00		52	21.14		86	34.96		45	18.29		0	0.00		7	2.85		246	98.01		5	1.99		251	0.32		173	70.33		73	29.67
Southgate	1	0.90		9	8.11		0	0.00		1	0.90		3	2.70		0	0.00		3	2.70		15	13.51		3	2.70		64	57.66		0	0.00		12	10.81		111	97.37		3	2.63		114	0.14		29	26.13		82	73.87
Sydney (Page)	0	0.00		0	0.00		0	0.00		0	0.00		2	8.70		0	0.00		1	4.35		12	52.17		2	8.70		6	26.09		0	0.00		0	0.00		23	100.00		0	0.00		23	0.03		15	65.22		8	34.78
Tabulam	6	3.28		34	18.58		0	0.00		0	0.00		0	0.00		2	1.09		1	0.55		44	24.04		13	7.10		77	42.08		0	0.00		6	3.28		183	94.33		11	5.67		194	0.25		77	42.08		106	57.92
The Channon	2	0.52		24	6.23		0	0.00		1	0.26		14	3.64		13	3.38		3	0.78		85	22.08		168	43.64		63	16.36		0	0.00		12	3.12		385	96.01		16	3.99		401	0.51		295	76.62		90	23.38			
Tregeagle	5	1.10		38	8.39		0	0.00		1	0.22		18	3.97		4	0.88		6	1.32		84	18.54		37	8.17		246	54.30		0	0.00		14	3.09		453	98.91		5	1.09		458	0.58		152	33.55		301	66.45			
Vere Street (Page)	25	1.22		64	3.12		1	0.05		6	0.29		31	1.51		22	1.07		35	1.71		800	39.04		44	2.15		832	40.61		3	0.15		186	9.08		2049	92.67		162	7.33		2211	2.81		1062	51.83		987	48.17			
Wardell	11	2.10		35	6.67		1	0.19		3	0.57		10	1.90		10	1.90		20	3.81		175	33.33		40	7.62		188	35.81		1	0.19		31	5.90		525	94.77		29	5.23		554	0.70		265	50.48		260	49.52			
Waterview Heights	11	1.20		58	6.35		0	0.00		0	0.00		21	2.30		7	0.77		8	0.88		285	31.22		20	2.19		400	43.81		2	0.22		101	11.06		913	96.00		38	4.00		951	1.21		414	45.35		499	54.65			
Westlawn	13	1.47		16	1.81		2	0.23		5	0.57		13	1.47		7	0.79		10	1.13		335	37.90		21	2.38		407	46.04		2	0.23		53	6.00		884	94.85		48	5.15		932	1.18		416	47.06		468	52.94			
Whiporie	1	1.14		7	7.95		0	0.00		2	2.27		1	1.14		0	0.00		0	0.00		18	20.45		6	6.82		48	54.55		0	0.00		5	5.68		88	95.65		4	4.35		92	0.12		34	38.64		54	61.36			
Wiangaree	6	1.74		42	12.17		0	0.00		1	0.29		5	1.45		7	2.03		2	0.58		55	15.94		28	8.12		175	50.72		5	1.45		19	5.51		345	94.01		22	5.99		367	0.47		138	40.00		207	60.00			
Woodburn	14	1.67		54	6.46		1	0.12		42	5.02		9	1.08		14	1.67		9	1.08		239	28.59		54	6.46		344	41.15		4	0.48		52	6.22		836	94.14		52	5.86		888	1.13		407	48.68		429	51.32			
Woodenbong	5	1.92		34	13.08		1	0.38		0	0.00		1	0.38		0	0.00		17	6.54		40	15.38		4	1.54		154	59.23		0	0.00		4	1.54		260	91.87		23	8.13		283	0.36		73	28.08		187	71.92			
Woombah	3	0.87		22	6.40		0	0.00		1	0.29		2	0.58		5	1.45		4	1.16		131	38.08		9	2.62		138	40.12		0	0.00		29	8.43		344	93.73		23	6.27		367	0.47		182	52.91		162	47.09			
Wyrallah	6	1.56		59	15.36		0	0.00		2	0.52		10	2.60		1	0.26		8	2.08		77	20.05		32	8.33		175	45.57		0	0.00		14	3.65		384	97.22		11	2.78		395	0.50		151	39.32		233	60.68			
Special Hospitals	27	6.31		8	1.87		0	0.00		1	0.23		7	1.64		3	0.70		6	1.40		119	27.80		1	0.23		249	58.18		0	0.00		7	1.64		428	90.49		45	9.51		473	0.60		158	36.92		270	63.08			
Total Ordinary	1015	1.61		4947	7.86		193	0.31		529	0.84		1586	2.52		1053	1.67		1112	1.77		18405	29.25		4444	7.06		26239	41.71		92	0.15		3298	5.24		62913	94.38		3748	5.62		66661	84.66		29877	47.49		33036	52.51			
ABSENT	89	2.55		167	4.78		17	0.49		52	1.49		184	5.26		104	2.98		82	2.35		851	24.35		401	11.47		1340	38.34		8	0.23		200	5.72		3495	95.18		177	4.82		3672	4.66		1688	48.30		1807	51.70			
POSTAL	40	1.28		112	3.59		4	0.13		19	0.61		80	2.56		30	0.96		57	1.83		962	30.81		145	4.64		1439	46.09		5	0.16		229	7.34		3122	98.11		60	1.89		3182	4.04		1380	44.20		1742	55.80			
PRE_POLL	73	1.65		211	4.76		14	0.32		28	0.63		143	3.23		61	1.38		77	1.74		1193	26.91		307	6.93		2039	46.00		5	0.11		282	6.36		4433	96.22		174	3.78		4607	5.85		1906	43.00		2527	57.00			
PROVISIONAL	23	3.89		45	7.60		3	0.51		8	1.35		19	3.21		26	4.39		16	2.70		207	34.97		68	11.49		147	24.83		0	0.00		30	5.07		592	95.18		30	4.82		622	0.79		362	61.15		230	38.85			
Division Summary	1240	1.66		5482	7.35		231	0.31		636	0.85		2012	2.70		1274	1.71		1344	1.80		21618	29.00		5365	7.20		31204	41.85		110	0.15		4039	5.42		74555	94.68		4189	5.32		78744	95.71		35213	47.23		39342	52.77			
																																																					
																																																					
																																																					
																																																					
																																																					
