House of Representatives - 2001 Election: New South Wales																																									
Distribution of Preferences																																									
By Polling Place																																									
																																									
Page																																									
				POLLARD-O'HARA			COOPER			LAMPIS			BEHN			JEFFREYS			CANALES			FELSCH			FLANAGAN			CORKILL			CAUSLEY			GRIFFITHS			MATHEW				
	SIXTH						1	11.11								0	0.00			Excluded		1	11.11		2	22.22		5	55.56		0	0.00					0	0.00		9	
		TOTAL					85	8.81								13	1.35					31	3.21		292	30.26		30	3.11		484	50.16					30	3.11		965	
	SEVENTH						2	6.45								1	3.23						Excluded		1	3.23		1	3.23		24	77.42					2	6.45		31	
		TOTAL					87	9.02								14	1.45								293	30.36		31	3.21		508	52.64					32	3.32		965	
	EIGHTH						6	42.86									Excluded								3	21.43		4	28.57		1	7.14					0	0.00		14	
		TOTAL					93	9.64																	296	30.67		35	3.63		509	52.75					32	3.32		965	
	NINTH						15	46.88																	4	12.50		3	9.38		10	31.25						Excluded		32	
		TOTAL					108	11.19																	300	31.09		38	3.94		519	53.78								965	
	TENTH						19	50.00																	11	28.95			Excluded		8	21.05								38	
		TOTAL					127	13.16																	311	32.23					527	54.61								965	
	ELEVENTH							Excluded																	79	62.20					48	37.80								127	
		TOTAL																							390	40.41					575	59.59								965	
																															Elected										
																																									
Baryulgil                                                      																																									
	FIRST			0	0.00		2	4.65		0	0.00		0	0.00		1	2.33		0	0.00		0	0.00		10	23.26		1	2.33		24	55.81		0	0.00		5	11.63		43	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		0	0.00		2	4.65		0	0.00		0	0.00		1	2.33		0	0.00		0	0.00		10	23.26		1	2.33		24	55.81					5	11.63		43	
	THIRD			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL		0	0.00		2	4.65					0	0.00		1	2.33		0	0.00		0	0.00		10	23.26		1	2.33		24	55.81					5	11.63		43	
	FOURTH			0	0.00		0	0.00						Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL		0	0.00		2	4.65								1	2.33		0	0.00		0	0.00		10	23.26		1	2.33		24	55.81					5	11.63		43	
	FIFTH				Excluded		0	0.00								0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL					2	4.65								1	2.33		0	0.00		0	0.00		10	23.26		1	2.33		24	55.81					5	11.63		43	
	SIXTH						0	0.00								0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL					2	4.65								1	2.33					0	0.00		10	23.26		1	2.33		24	55.81					5	11.63		43	
	SEVENTH						0	0.00								0	0.00						Excluded		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL					2	4.65								1	2.33								10	23.26		1	2.33		24	55.81					5	11.63		43	
	EIGHTH						1	100.00									Excluded								0	0.00		0	0.00		0	0.00					0	0.00		1	
		TOTAL					3	6.98																	10	23.26		1	2.33		24	55.81					5	11.63		43	
	NINTH						0	0.00																	0	0.00		0	0.00		5	100.00						Excluded		5	
		TOTAL					3	6.98																	10	23.26		1	2.33		29	67.44								43	
	TENTH						0	0.00																	1	100.00			Excluded		0	0.00								1	
		TOTAL					3	6.98																	11	25.58					29	67.44								43	
	ELEVENTH							Excluded																	1	33.33					2	66.67								3	
		TOTAL																							12	27.91					31	72.09								43	
																															Elected										
																																									
Bentley                                                        																																									
	FIRST			2	0.78		48	18.68		1	0.39		2	0.78		7	2.72		3	1.17		4	1.56		47	18.29		17	6.61		117	45.53		1	0.39		8	3.11		257	
	SECOND			1	100.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		3	1.17		48	18.68		1	0.39		2	0.78		7	2.72		3	1.17		4	1.56		47	18.29		17	6.61		117	45.53					8	3.11		257	
	THIRD			0	0.00		1	100.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		1	
		TOTAL		3	1.17		49	19.07					2	0.78		7	2.72		3	1.17		4	1.56		47	18.29		17	6.61		117	45.53					8	3.11		257	
	FOURTH			0	0.00		1	50.00						Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	50.00					0	0.00		2	
		TOTAL		3	1.17		50	19.46								7	2.72		3	1.17		4	1.56		47	18.29		17	6.61		118	45.91					8	3.11		257	
	FIFTH				Excluded		2	66.67								1	33.33		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		3	
		TOTAL					52	20.23								8	3.11		3	1.17		4	1.56		47	18.29		17	6.61		118	45.91					8	3.11		257	
	SIXTH						1	33.33								2	66.67			Excluded		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		3	
		TOTAL					53	20.62								10	3.89					4	1.56		47	18.29		17	6.61		118	45.91					8	3.11		257	
	SEVENTH						0	0.00								0	0.00						Excluded		0	0.00		0	0.00		4	100.00					0	0.00		4	
		TOTAL					53	20.62								10	3.89								47	18.29		17	6.61		122	47.47					8	3.11		257	
	EIGHTH						2	20.00									Excluded								3	30.00		3	30.00		2	20.00					0	0.00		10	
		TOTAL					55	21.40																	50	19.46		20	7.78		124	48.25					8	3.11		257	
	NINTH						3	37.50																	1	12.50		0	0.00		4	50.00						Excluded		8	
		TOTAL					58	22.57																	51	19.84		20	7.78		128	49.81								257	
	TENTH						13	65.00																	5	25.00			Excluded		2	10.00								20	
		TOTAL					71	27.63																	56	21.79					130	50.58								257	
	ELEVENTH							Excluded																	38	53.52					33	46.48								71	
		TOTAL																							94	36.58					163	63.42								257	
																															Elected										
																																									
Bexhill                                                        																																									
	FIRST			11	2.22		47	9.49		3	0.61		0	0.00		13	2.63		8	1.62		11	2.22		85	17.17		55	11.11		248	50.10		0	0.00		14	2.83		495	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		11	2.22		47	9.49		3	0.61		0	0.00		13	2.63		8	1.62		11	2.22		85	17.17		55	11.11		248	50.10					14	2.83		495	
	THIRD			1	33.33		1	33.33			Excluded		0	0.00		0	0.00		1	33.33		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		3	
		TOTAL		12	2.42		48	9.70					0	0.00		13	2.63		9	1.82		11	2.22		85	17.17		55	11.11		248	50.10					14	2.83		495	
	FOURTH			0	0.00		0	0.00						Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL		12	2.42		48	9.70								13	2.63		9	1.82		11	2.22		85	17.17		55	11.11		248	50.10					14	2.83		495	
	FIFTH				Excluded		6	50.00								1	8.33		0	0.00		1	8.33		1	8.33		0	0.00		3	25.00					0	0.00		12	
		TOTAL					54	10.91								14	2.83		9	1.82		12	2.42		86	17.37		55	11.11		251	50.71					14	2.83		495	
	SIXTH						2	22.22								0	0.00			Excluded		0	0.00		2	22.22		5	55.56		0	0.00					0	0.00		9	
		TOTAL					56	11.31								14	2.83					12	2.42		88	17.78		60	12.12		251	50.71					14	2.83		495	
	SEVENTH						4	33.33								0	0.00						Excluded		0	0.00		0	0.00		7	58.33					1	8.33		12	
		TOTAL					60	12.12								14	2.83								88	17.78		60	12.12		258	52.12					15	3.03		495	
	EIGHTH						2	14.29									Excluded								4	28.57		3	21.43		5	35.71					0	0.00		14	
		TOTAL					62	12.53																	92	18.59		63	12.73		263	53.13					15	3.03		495	
	NINTH						7	46.67																	2	13.33		1	6.67		5	33.33						Excluded		15	
		TOTAL					69	13.94																	94	18.99		64	12.93		268	54.14								495	
	TENTH						28	43.75																	33	51.56			Excluded		3	4.69								64	
		TOTAL					97	19.60																	127	25.66					271	54.75								495	
	ELEVENTH							Excluded																	62	63.92					35	36.08								97	
		TOTAL																							189	38.18					306	61.82								495	
																															Elected										
																																									
Bonalbo                                                        																																									
	FIRST			3	0.84		146	40.78		0	0.00		1	0.28		3	0.84		2	0.56		0	0.00		46	12.85		13	3.63		139	38.83		0	0.00		5	1.40		358	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		3	0.84		146	40.78		0	0.00		1	0.28		3	0.84		2	0.56		0	0.00		46	12.85		13	3.63		139	38.83					5	1.40		358	
	THIRD			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL		3	0.84		146	40.78					1	0.28		3	0.84		2	0.56		0	0.00		46	12.85		13	3.63		139	38.83					5	1.40		358	
	FOURTH			0	0.00		1	100.00						Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		1	
		TOTAL		3	0.84		147	41.06								3	0.84		2	0.56		0	0.00		46	12.85		13	3.63		139	38.83					5	1.40		358	
	FIFTH				Excluded		1	33.33								1	33.33		0	0.00		0	0.00		0	0.00		0	0.00		1	33.33					0	0.00		3	
		TOTAL					148	41.34								4	1.12		2	0.56		0	0.00		46	12.85		13	3.63		140	39.11					5	1.40		358	
	SIXTH						0	0.00								0	0.00			Excluded		0	0.00		1	50.00		1	50.00		0	0.00					0	0.00		2	
		TOTAL					148	41.34								4	1.12					0	0.00		47	13.13		14	3.91		140	39.11					5	1.40		358	
	SEVENTH						0	0.00								0	0.00						Excluded		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL					148	41.34								4	1.12								47	13.13		14	3.91		140	39.11					5	1.40		358	
	EIGHTH						2	50.00									Excluded								0	0.00		2	50.00		0	0.00					0	0.00		4	
		TOTAL					150	41.90																	47	13.13		16	4.47		140	39.11					5	1.40		358	
	NINTH						3	60.00																	0	0.00		0	0.00		2	40.00						Excluded		5	
		TOTAL					153	42.74																	47	13.13		16	4.47		142	39.66								358	
	TENTH						6	37.50																	5	31.25			Excluded		5	31.25								16	
		TOTAL					159	44.41																	52	14.53					147	41.06								358	
	ELEVENTH							Excluded																	90	56.60					69	43.40								159	
		TOTAL																							142	39.66					216	60.34								358	
																															Elected										
																																									
Broadwater                                                     																																									
	FIRST			9	2.30		24	6.14		0	0.00		18	4.60		8	2.05		7	1.79		9	2.30		139	35.55		35	8.95		128	32.74		1	0.26		13	3.32		391	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	100.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		9	2.30		24	6.14		0	0.00		18	4.60		8	2.05		7	1.79		9	2.30		139	35.55		36	9.21		128	32.74					13	3.32		391	
	THIRD			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL		9	2.30		24	6.14					18	4.60		8	2.05		7	1.79		9	2.30		139	35.55		36	9.21		128	32.74					13	3.32		391	
	FOURTH			1	5.56		7	38.89						Excluded		3	16.67		0	0.00		0	0.00		1	5.56		2	11.11		2	11.11					2	11.11		18	
		TOTAL		10	2.56		31	7.93								11	2.81		7	1.79		9	2.30		140	35.81		38	9.72		130	33.25					15	3.84		391	
	FIFTH				Excluded		7	70.00								0	0.00		1	10.00		0	0.00		0	0.00		0	0.00		1	10.00					1	10.00		10	
		TOTAL					38	9.72								11	2.81		8	2.05		9	2.30		140	35.81		38	9.72		131	33.50					16	4.09		391	
	SIXTH						0	0.00								1	12.50			Excluded		1	12.50		1	12.50		5	62.50		0	0.00					0	0.00		8	
		TOTAL					38	9.72								12	3.07					10	2.56		141	36.06		43	11.00		131	33.50					16	4.09		391	
	SEVENTH						2	20.00								0	0.00						Excluded		1	10.00		0	0.00		7	70.00					0	0.00		10	
		TOTAL					40	10.23								12	3.07								142	36.32		43	11.00		138	35.29					16	4.09		391	
	EIGHTH						2	16.67									Excluded								5	41.67		3	25.00		1	8.33					1	8.33		12	
		TOTAL					42	10.74																	147	37.60		46	11.76		139	35.55					17	4.35		391	
	NINTH						6	35.29																	3	17.65		3	17.65		5	29.41						Excluded		17	
		TOTAL					48	12.28																	150	38.36		49	12.53		144	36.83								391	
	TENTH						30	61.22																	12	24.49			Excluded		7	14.29								49	
		TOTAL					78	19.95																	162	41.43					151	38.62								391	
	ELEVENTH							Excluded																	54	69.23					24	30.77								78	
		TOTAL																							216	55.24					175	44.76								391	
																															Elected										
																																									
Caniaba                                                        																																									
	FIRST			7	2.53		30	10.83		1	0.36		4	1.44		5	1.81		7	2.53		4	1.44		55	19.86		8	2.89		145	52.35		0	0.00		11	3.97		277	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		7	2.53		30	10.83		1	0.36		4	1.44		5	1.81		7	2.53		4	1.44		55	19.86		8	2.89		145	52.35					11	3.97		277	
	THIRD			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	100.00		0	0.00					0	0.00		1	
		TOTAL		7	2.53		30	10.83					4	1.44		5	1.81		7	2.53		4	1.44		55	19.86		9	3.25		145	52.35					11	3.97		277	
	FOURTH			0	0.00		2	50.00						Excluded		1	25.00		0	0.00		0	0.00		1	25.00		0	0.00		0	0.00					0	0.00		4	
		TOTAL		7	2.53		32	11.55								6	2.17		7	2.53		4	1.44		56	20.22		9	3.25		145	52.35					11	3.97		277	
	FIFTH				Excluded		3	42.86								0	0.00		1	14.29		0	0.00		0	0.00		1	14.29		2	28.57					0	0.00		7	
		TOTAL					35	12.64								6	2.17		8	2.89		4	1.44		56	20.22		10	3.61		147	53.07					11	3.97		277	
	SIXTH						0	0.00								0	0.00			Excluded		0	0.00		3	37.50		3	37.50		1	12.50					1	12.50		8	
		TOTAL					35	12.64								6	2.17					4	1.44		59	21.30		13	4.69		148	53.43					12	4.33		277	
	SEVENTH						1	25.00								0	0.00						Excluded		2	50.00		0	0.00		1	25.00					0	0.00		4	
		TOTAL					36	13.00								6	2.17								61	22.02		13	4.69		149	53.79					12	4.33		277	
	EIGHTH						1	16.67									Excluded								0	0.00		4	66.67		1	16.67					0	0.00		6	
		TOTAL					37	13.36																	61	22.02		17	6.14		150	54.15					12	4.33		277	
	NINTH						8	66.67																	1	8.33		1	8.33		2	16.67						Excluded		12	
		TOTAL					45	16.25																	62	22.38		18	6.50		152	54.87								277	
	TENTH						7	38.89																	7	38.89			Excluded		4	22.22								18	
		TOTAL					52	18.77																	69	24.91					156	56.32								277	
	ELEVENTH							Excluded																	19	36.54					33	63.46								52	
		TOTAL																							88	31.77					189	68.23								277	
																															Elected										
																																									
Casino                                                         																																									
	FIRST			36	1.18		477	15.58		10	0.33		20	0.65		35	1.14		34	1.11		49	1.60		846	27.64		58	1.89		1337	43.68		1	0.03		158	5.16		3061	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	100.00			Excluded		0	0.00		1	
		TOTAL		36	1.18		477	15.58		10	0.33		20	0.65		35	1.14		34	1.11		49	1.60		846	27.64		58	1.89		1338	43.71					158	5.16		3061	
	THIRD			2	20.00		2	20.00			Excluded		3	30.00		1	10.00		2	20.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		10	
		TOTAL		38	1.24		479	15.65					23	0.75		36	1.18		36	1.18		49	1.60		846	27.64		58	1.89		1338	43.71					158	5.16		3061	
	FOURTH			3	13.04		9	39.13						Excluded		3	13.04		1	4.35		2	8.70		1	4.35		1	4.35		1	4.35					2	8.70		23	
		TOTAL		41	1.34		488	15.94								39	1.27		37	1.21		51	1.67		847	27.67		59	1.93		1339	43.74					160	5.23		3061	
	FIFTH				Excluded		28	68.29								4	9.76		2	4.88		1	2.44		1	2.44		1	2.44		3	7.32					1	2.44		41	
		TOTAL					516	16.86								43	1.40		39	1.27		52	1.70		848	27.70		60	1.96		1342	43.84					161	5.26		3061	
	SIXTH						7	17.95								4	10.26			Excluded		4	10.26		5	12.82		14	35.90		4	10.26					1	2.56		39	
		TOTAL					523	17.09								47	1.54					56	1.83		853	27.87		74	2.42		1346	43.97					162	5.29		3061	
	SEVENTH						3	5.36								3	5.36						Excluded		13	23.21		2	3.57		30	53.57					5	8.93		56	
		TOTAL					526	17.18								50	1.63								866	28.29		76	2.48		1376	44.95					167	5.46		3061	
	EIGHTH						17	34.00									Excluded								13	26.00		10	20.00		6	12.00					4	8.00		50	
		TOTAL					543	17.74																	879	28.72		86	2.81		1382	45.15					171	5.59		3061	
	NINTH						76	44.44																	31	18.13		14	8.19		50	29.24						Excluded		171	
		TOTAL					619	20.22																	910	29.73		100	3.27		1432	46.78								3061	
	TENTH						35	35.00																	39	39.00			Excluded		26	26.00								100	
		TOTAL					654	21.37																	949	31.00					1458	47.63								3061	
	ELEVENTH							Excluded																	385	58.87					269	41.13								654	
		TOTAL																							1334	43.58					1727	56.42								3061	
																															Elected										
																																									
Casino High                                                    																																									
	FIRST			14	1.75		100	12.52		0	0.00		2	0.25		8	1.00		12	1.50		14	1.75		282	35.29		15	1.88		310	38.80		0	0.00		42	5.26		799	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		14	1.75		100	12.52		0	0.00		2	0.25		8	1.00		12	1.50		14	1.75		282	35.29		15	1.88		310	38.80					42	5.26		799	
	THIRD			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL		14	1.75		100	12.52					2	0.25		8	1.00		12	1.50		14	1.75		282	35.29		15	1.88		310	38.80					42	5.26		799	
	FOURTH			1	50.00		1	50.00						Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		2	
		TOTAL		15	1.88		101	12.64								8	1.00		12	1.50		14	1.75		282	35.29		15	1.88		310	38.80					42	5.26		799	
	FIFTH				Excluded		11	73.33								2	13.33		1	6.67		0	0.00		0	0.00		0	0.00		1	6.67					0	0.00		15	
		TOTAL					112	14.02								10	1.25		13	1.63		14	1.75		282	35.29		15	1.88		311	38.92					42	5.26		799	
	SIXTH						2	15.38								3	23.08			Excluded		0	0.00		5	38.46		2	15.38		0	0.00					1	7.69		13	
		TOTAL					114	14.27								13	1.63					14	1.75		287	35.92		17	2.13		311	38.92					43	5.38		799	
	SEVENTH						2	14.29								0	0.00						Excluded		1	7.14		3	21.43		8	57.14					0	0.00		14	
		TOTAL					116	14.52								13	1.63								288	36.05		20	2.50		319	39.92					43	5.38		799	
