House of Representatives - 2001 Election: New South Wales																										
Distribution of Preferences																										
By Polling Place																										
																										
Lyne																										
				STANFIELD			SARA			VAILE			ISHERWOOD			JIRMAN			MULDOON			STEVENS				
	SIXTH				Excluded					52	61.18											33	38.82		85	
		TOTAL								504	66.93											249	33.07		753	
										Elected																
																										
Bonny Hills                                                    																										
	FIRST			73	6.75		13	1.20		527	48.71		70	6.47		53	4.90		1	0.09		345	31.89		1082	
	SECOND			0	0.00		0	0.00		0	0.00		1	100.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		73	6.75		13	1.20		527	48.71		71	6.56		53	4.90					345	31.89		1082	
	THIRD			2	15.38			Excluded		6	46.15		2	15.38		3	23.08					0	0.00		13	
		TOTAL		75	6.93					533	49.26		73	6.75		56	5.18					345	31.89		1082	
	FOURTH			4	7.14					9	16.07		32	57.14			Excluded					11	19.64		56	
		TOTAL		79	7.30					542	50.09		105	9.70								356	32.90		1082	
	FIFTH			9	8.57					43	40.95			Excluded								53	50.48		105	
		TOTAL		88	8.13					585	54.07											409	37.80		1082	
	SIXTH				Excluded					51	57.95											37	42.05		88	
		TOTAL								636	58.78											446	41.22		1082	
										Elected																
																										
Burrell Creek                                                  																										
	FIRST			52	23.85		2	0.92		102	46.79		5	2.29		5	2.29		0	0.00		52	23.85		218	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		52	23.85		2	0.92		102	46.79		5	2.29		5	2.29					52	23.85		218	
	THIRD			0	0.00			Excluded		0	0.00		0	0.00		1	50.00					1	50.00		2	
		TOTAL		52	23.85					102	46.79		5	2.29		6	2.75					53	24.31		218	
	FOURTH			1	16.67					0	0.00		5	83.33			Excluded					0	0.00		6	
		TOTAL		53	24.31					102	46.79		10	4.59								53	24.31		218	
	FIFTH			1	10.00					1	10.00			Excluded								8	80.00		10	
		TOTAL		54	24.77					103	47.25											61	27.98		218	
	SIXTH				Excluded					34	62.96											20	37.04		54	
		TOTAL								137	62.84											81	37.16		218	
										Elected																
																										
Byabarra                                                       																										
	FIRST			14	11.86		2	1.69		58	49.15		7	5.93		3	2.54		0	0.00		34	28.81		118	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		14	11.86		2	1.69		58	49.15		7	5.93		3	2.54					34	28.81		118	
	THIRD			0	0.00			Excluded		0	0.00		1	50.00		1	50.00					0	0.00		2	
		TOTAL		14	11.86					58	49.15		8	6.78		4	3.39					34	28.81		118	
	FOURTH			1	25.00					0	0.00		2	50.00			Excluded					1	25.00		4	
		TOTAL		15	12.71					58	49.15		10	8.47								35	29.66		118	
	FIFTH			2	20.00					1	10.00			Excluded								7	70.00		10	
		TOTAL		17	14.41					59	50.00											42	35.59		118	
	SIXTH				Excluded					11	64.71											6	35.29		17	
		TOTAL								70	59.32											48	40.68		118	
										Elected																
																										
Chatham                                                        																										
	FIRST			187	10.63		24	1.36		834	47.41		24	1.36		41	2.33		16	0.91		633	35.99		1759	
	SECOND			2	12.50		5	31.25		3	18.75		1	6.25		3	18.75			Excluded		2	12.50		16	
		TOTAL		189	10.74		29	1.65		837	47.58		25	1.42		44	2.50					635	36.10		1759	
	THIRD			13	44.83			Excluded		2	6.90		6	20.69		2	6.90					6	20.69		29	
		TOTAL		202	11.48					839	47.70		31	1.76		46	2.62					641	36.44		1759	
	FOURTH			3	6.52					8	17.39		19	41.30			Excluded					16	34.78		46	
		TOTAL		205	11.65					847	48.15		50	2.84								657	37.35		1759	
	FIFTH			10	20.00					18	36.00			Excluded								22	44.00		50	
		TOTAL		215	12.22					865	49.18											679	38.60		1759	
	SIXTH				Excluded					84	39.07											131	60.93		215	
		TOTAL								949	53.95											810	46.05		1759	
										Elected																
																										
Comboyne                                                       																										
	FIRST			38	13.19		4	1.39		195	67.71		17	5.90		9	3.13		1	0.35		24	8.33		288	
	SECOND			0	0.00		1	100.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		38	13.19		5	1.74		195	67.71		17	5.90		9	3.13					24	8.33		288	
	THIRD			1	20.00			Excluded		1	20.00		0	0.00		1	20.00					2	40.00		5	
		TOTAL		39	13.54					196	68.06		17	5.90		10	3.47					26	9.03		288	
	FOURTH			0	0.00					5	50.00		5	50.00			Excluded					0	0.00		10	
		TOTAL		39	13.54					201	69.79		22	7.64								26	9.03		288	
	FIFTH			2	9.09					8	36.36			Excluded								12	54.55		22	
		TOTAL		41	14.24					209	72.57											38	13.19		288	
	SIXTH				Excluded					31	75.61											10	24.39		41	
		TOTAL								240	83.33											48	16.67		288	
										Elected																
																										
Coopernook                                                     																										
	FIRST			56	15.05		6	1.61		162	43.55		4	1.08		15	4.03		1	0.27		128	34.41		372	
	SECOND			0	0.00		0	0.00		1	100.00		0	0.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		56	15.05		6	1.61		163	43.82		4	1.08		15	4.03					128	34.41		372	
	THIRD			1	16.67			Excluded		0	0.00		2	33.33		0	0.00					3	50.00		6	
		TOTAL		57	15.32					163	43.82		6	1.61		15	4.03					131	35.22		372	
	FOURTH			0	0.00					3	20.00		12	80.00			Excluded					0	0.00		15	
		TOTAL		57	15.32					166	44.62		18	4.84								131	35.22		372	
	FIFTH			2	11.11					4	22.22			Excluded								12	66.67		18	
		TOTAL		59	15.86					170	45.70											143	38.44		372	
	SIXTH				Excluded					33	55.93											26	44.07		59	
		TOTAL								203	54.57											169	45.43		372	
										Elected																
																										
Crescent Head                                                  																										
	FIRST			122	14.77		9	1.09		295	35.71		57	6.90		37	4.48		2	0.24		304	36.80		826	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		2	100.00			Excluded		0	0.00		2	
		TOTAL		122	14.77		9	1.09		295	35.71		57	6.90		39	4.72					304	36.80		826	
	THIRD			4	44.44			Excluded		1	11.11		2	22.22		1	11.11					1	11.11		9	
		TOTAL		126	15.25					296	35.84		59	7.14		40	4.84					305	36.92		826	
	FOURTH			3	7.50					4	10.00		15	37.50			Excluded					18	45.00		40	
		TOTAL		129	15.62					300	36.32		74	8.96								323	39.10		826	
	FIFTH			7	9.46					11	14.86			Excluded								56	75.68		74	
		TOTAL		136	16.46					311	37.65											379	45.88		826	
	SIXTH				Excluded					69	50.74											67	49.26		136	
		TOTAL								380	46.00											446	54.00		826	
										Elected																
																										
Crowdy Head                                                    																										
	FIRST			16	16.16		0	0.00		43	43.43		5	5.05		0	0.00		0	0.00		35	35.35		99	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		16	16.16		0	0.00		43	43.43		5	5.05		0	0.00					35	35.35		99	
	THIRD			0	0.00			Excluded		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL		16	16.16					43	43.43		5	5.05		0	0.00					35	35.35		99	
	FOURTH			0	0.00					0	0.00		0	0.00			Excluded					0	0.00		0	
		TOTAL		16	16.16					43	43.43		5	5.05								35	35.35		99	
	FIFTH			1	20.00					2	40.00			Excluded								2	40.00		5	
		TOTAL		17	17.17					45	45.45											37	37.37		99	
	SIXTH				Excluded					6	35.29											11	64.71		17	
		TOTAL								51	51.52											48	48.48		99	
										Elected																
																										
Cundletown                                                     																										
	FIRST			150	11.26		18	1.35		737	55.33		27	2.03		30	2.25		2	0.15		368	27.63		1332	
	SECOND			1	50.00		0	0.00		0	0.00		0	0.00		1	50.00			Excluded		0	0.00		2	
		TOTAL		151	11.34		18	1.35		737	55.33		27	2.03		31	2.33					368	27.63		1332	
	THIRD			5	27.78			Excluded		8	44.44		1	5.56		1	5.56					3	16.67		18	
		TOTAL		156	11.71					745	55.93		28	2.10		32	2.40					371	27.85		1332	
	FOURTH			4	12.50					12	37.50		4	12.50			Excluded					12	37.50		32	
		TOTAL		160	12.01					757	56.83		32	2.40								383	28.75		1332	
	FIFTH			9	28.13					7	21.88			Excluded								16	50.00		32	
		TOTAL		169	12.69					764	57.36											399	29.95		1332	
	SIXTH				Excluded					73	43.20											96	56.80		169	
		TOTAL								837	62.84											495	37.16		1332	
										Elected																
																										
Diamond Beach                                                  																										
	FIRST			24	6.88		4	1.15		167	47.85		20	5.73		27	7.74		1	0.29		106	30.37		349	
	SECOND			1	100.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		25	7.16		4	1.15		167	47.85		20	5.73		27	7.74					106	30.37		349	
	THIRD			0	0.00			Excluded		0	0.00		2	50.00		2	50.00					0	0.00		4	
		TOTAL		25	7.16					167	47.85		22	6.30		29	8.31					106	30.37		349	
	FOURTH			0	0.00					3	10.34		17	58.62			Excluded					9	31.03		29	
		TOTAL		25	7.16					170	48.71		39	11.17								115	32.95		349	
	FIFTH			4	10.26					13	33.33			Excluded								22	56.41		39	
		TOTAL		29	8.31					183	52.44											137	39.26		349	
	SIXTH				Excluded					20	68.97											9	31.03		29	
		TOTAL								203	58.17											146	41.83		349	
										Elected																
																										
Dunbogan                                                       																										
	FIRST			40	6.70		16	2.68		274	45.90		22	3.69		12	2.01		0	0.00		233	39.03		597	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		40	6.70		16	2.68		274	45.90		22	3.69		12	2.01					233	39.03		597	
	THIRD			6	37.50			Excluded		2	12.50		3	18.75		3	18.75					2	12.50		16	
		TOTAL		46	7.71					276	46.23		25	4.19		15	2.51					235	39.36		597	
	FOURTH			0	0.00					3	20.00		6	40.00			Excluded					6	40.00		15	
		TOTAL		46	7.71					279	46.73		31	5.19								241	40.37		597	
	FIFTH			3	9.68					11	35.48			Excluded								17	54.84		31	
		TOTAL		49	8.21					290	48.58											258	43.22		597	
	SIXTH				Excluded					21	42.86											28	57.14		49	
		TOTAL								311	52.09											286	47.91		597	
										Elected																
																										
Dyers Crossing                                                 																										
	FIRST			45	11.34		3	0.76		238	59.95		13	3.27		7	1.76		0	0.00		91	22.92		397	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		45	11.34		3	0.76		238	59.95		13	3.27		7	1.76					91	22.92		397	
	THIRD			2	66.67			Excluded		1	33.33		0	0.00		0	0.00					0	0.00		3	
		TOTAL		47	11.84					239	60.20		13	3.27		7	1.76					91	22.92		397	
	FOURTH			3	42.86					2	28.57		1	14.29			Excluded					1	14.29		7	
		TOTAL		50	12.59					241	60.71		14	3.53								92	23.17		397	
	FIFTH			3	21.43					1	7.14			Excluded								10	71.43		14	
		TOTAL		53	13.35					242	60.96											102	25.69		397	
	SIXTH				Excluded					23	43.40											30	56.60		53	
		TOTAL								265	66.75											132	33.25		397	
										Elected																
																										
Elands                                                         																										
	FIRST			13	12.04		0	0.00		24	22.22		27	25.00		16	14.81		0	0.00		28	25.93		108	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		13	12.04		0	0.00		24	22.22		27	25.00		16	14.81					28	25.93		108	
	THIRD			0	0.00			Excluded		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL		13	12.04					24	22.22		27	25.00		16	14.81					28	25.93		108	
	FOURTH			1	6.25					0	0.00		14	87.50			Excluded					1	6.25		16	
		TOTAL		14	12.96					24	22.22		41	37.96								29	26.85		108	
	FIFTH			3	7.32					4	9.76			Excluded								34	82.93		41	
		TOTAL		17	15.74					28	25.93											63	58.33		108	
	SIXTH				Excluded					8	47.06											9	52.94		17	
		TOTAL								36	33.33											72	66.67		108	
										Elected																
																										
Emerald Downs                                                  																										
	FIRST			61	4.30		9	0.63		931	65.56		34	2.39		31	2.18		1	0.07		353	24.86		1420	
	SECOND			0	0.00		0	0.00		1	100.00		0	0.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		61	4.30		9	0.63		932	65.63		34	2.39		31	2.18					353	24.86		1420	
	THIRD			1	11.11			Excluded		1	11.11		3	33.33		1	11.11					3	33.33		9	
		TOTAL		62	4.37					933	65.70		37	2.61		32	2.25					356	25.07		1420	
	FOURTH			5	15.63					5	15.63		7	21.88			Excluded					15	46.88		32	
		TOTAL		67	4.72					938	66.06		44	3.10								371	26.13		1420	
	FIFTH			8	18.18					11	25.00			Excluded								25	56.82		44	
		TOTAL		75	5.28					949	66.83											396	27.89		1420	
	SIXTH				Excluded					47	62.67											28	37.33		75	
		TOTAL								996	70.14											424	29.86		1420	
										Elected																
																										
Frederickton                                                   																										
	FIRST			109	19.40		8	1.42		209	37.19		15	2.67		5	0.89		3	0.53		213	37.90		562	
	SECOND			0	0.00		0	0.00		0	0.00		1	33.33		1	33.33			Excluded		1	33.33		3	
		TOTAL		109	19.40		8	1.42		209	37.19		16	2.85		6	1.07					214	38.08		562	
	THIRD			5	62.50			Excluded		0	0.00		2	25.00		1	12.50					0	0.00		8	
		TOTAL		114	20.28					209	37.19		18	3.20		7	1.25					214	38.08		562	
	FOURTH			0	0.00					0	0.00		2	28.57			Excluded					5	71.43		7	
		TOTAL		114	20.28					209	37.19		20	3.56								219	38.97		562	
	FIFTH			8	40.00					1	5.00			Excluded								11	55.00		20	
		TOTAL		122	21.71					210	37.37											230	40.93		562	
	SIXTH				Excluded					62	50.82											60	49.18		122	
		TOTAL								272	48.40											290	51.60		562	
										Elected																
																										
Ghinni Ghinni                                                  																										
	FIRST			17	17.17		0	0.00		58	58.59		0	0.00		2	2.02		1	1.01		21	21.21		99	
	SECOND			0	0.00		0	0.00		1	100.00		0	0.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		17	17.17		0	0.00		59	59.60		0	0.00		2	2.02					21	21.21		99	
	THIRD			0	0.00			Excluded		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL		17	17.17					59	59.60		0	0.00		2	2.02					21	21.21		99	
	FOURTH			0	0.00					0	0.00		1	50.00			Excluded					1	50.00		2	
		TOTAL		17	17.17					59	59.60		1	1.01								22	22.22		99	
	FIFTH			0	0.00					1	100.00			Excluded								0	0.00		1	
		TOTAL		17	17.17					60	60.61											22	22.22		99	
	SIXTH				Excluded					8	47.06											9	52.94		17	
		TOTAL								68	68.69											31	31.31		99	
										Elected																
																										
Gladstone (Lyne)                                               																										
	FIRST			27	13.11		2	0.97		133	64.56		4	1.94		4	1.94		1	0.49		35	16.99		206	
	SECOND			1	100.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		28	13.59		2	0.97		133	64.56		4	1.94		4	1.94					35	16.99		206	
	THIRD			1	50.00			Excluded		1	50.00		0	0.00		0	0.00					0	0.00		2	
		TOTAL		29	14.08					134	65.05		4	1.94		4	1.94					35	16.99		206	
	FOURTH			0	0.00					1	25.00		2	50.00			Excluded					1	25.00		4	
		TOTAL		29	14.08					135	65.53		6	2.91								36	17.48		206	
	FIFTH			1	16.67					2	33.33			Excluded								3	50.00		6	
		TOTAL		30	14.56					137	66.50											39	18.93		206	
	SIXTH				Excluded					22	73.33											8	26.67		30	
		TOTAL								159	77.18											47	22.82		206	
										Elected																
																										
Hallidays Point                                                																										
	FIRST			79	11.00		4	0.56		381	53.06		24	3.34		37	5.15		2	0.28		191	26.60		718	
	SECOND			0	0.00		1	50.00		0	0.00		0	0.00		1	50.00			Excluded		0	0.00		2	
		TOTAL		79	11.00		5	0.70		381	53.06		24	3.34		38	5.29					191	26.60		718	
	THIRD			0	0.00			Excluded		3	60.00		0	0.00		2	40.00					0	0.00		5	
		TOTAL		79	11.00					384	53.48		24	3.34		40	5.57					191	26.60		718	
	FOURTH			3	7.50					8	20.00		24	60.00			Excluded					5	12.50		40	
		TOTAL		82	11.42					392	54.60		48	6.69								196	27.30		718	
	FIFTH			0	0.00					12	25.00			Excluded								36	75.00		48	
		TOTAL		82	11.42					404	56.27											232	32.31		718	
	SIXTH				Excluded					32	39.02											50	60.98		82	
		TOTAL								436	60.72											282	39.28		718	
										Elected																
																										
Hannam Vale                                                    																										
	FIRST			16	8.38		4	2.09		91	47.64		18	9.42		8	4.19		1	0.52		53	27.75		191	
	SECOND			0	0.00		0	0.00		1	100.00		0	0.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		16	8.38		4	2.09		92	48.17		18	9.42		8	4.19					53	27.75		191	
	THIRD			2	50.00			Excluded		0	0.00		0	0.00		2	50.00					0	0.00		4	
		TOTAL		18	9.42					92	48.17		18	9.42		10	5.24					53	27.75		191	
	FOURTH			3	30.00					0	0.00		4	40.00			Excluded					3	30.00		10	
		TOTAL		21	10.99					92	48.17		22	11.52								56	29.32		191	
	FIFTH			1	4.55					6	27.27			Excluded								15	68.18		22	
		TOTAL		22	11.52					98	51.31											71	37.17		191	
	SIXTH				Excluded					16	72.73											6	27.27		22	
		TOTAL								114	59.69											77	40.31		191	
										Elected																
																										
Harrington                                                     																										
	FIRST			175	17.75		3	0.30		451	45.74		11	1.12		19	1.93		1	0.10		326	33.06		986	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		1	100.00			Excluded		0	0.00		1	
		TOTAL		175	17.75		3	0.30		451	45.74		11	1.12		20	2.03					326	33.06		986	
	THIRD			1	33.33			Excluded		1	33.33		1	33.33		0	0.00					0	0.00		3	
		TOTAL		176	17.85					452	45.84		12	1.22		20	2.03					326	33.06		986	
	FOURTH			1	5.00					5	25.00		7	35.00			Excluded					7	35.00		20	
		TOTAL		177	17.95					457	46.35		19	1.93								333	33.77		986	
	FIFTH			2	10.53					6	31.58			Excluded								11	57.89		19	
		TOTAL		179	18.15					463	46.96											344	34.89		986	
	SIXTH				Excluded					83	46.37											96	53.63		179	
		TOTAL								546	55.38											440	44.62		986	
										Elected																
																										
Herons Creek                                                   																										
	FIRST			15	8.98		1	0.60		87	52.10		2	1.20		9	5.39		1	0.60		52	31.14		167	
	SECOND			0	0.00		0	0.00		0	0.00		1	100.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		15	8.98		1	0.60		87	52.10		3	1.80		9	5.39					52	31.14		167	
	THIRD			0	0.00			Excluded		0	0.00		1	100.00		0	0.00					0	0.00		1	
		TOTAL		15	8.98					87	52.10		4	2.40		9	5.39					52	31.14		167	
	FOURTH			0	0.00					0	0.00		3	33.33			Excluded					6	66.67		9	
		TOTAL		15	8.98					87	52.10		7	4.19								58	34.73		167	
	FIFTH			0	0.00					3	42.86			Excluded								4	57.14		7	
		TOTAL		15	8.98					90	53.89											62	37.13		167	
	SIXTH				Excluded					6	40.00											9	60.00		15	
		TOTAL								96	57.49											71	42.51		167	
										Elected																
																										
Hibbard                                                        																										
	FIRST			91	8.61		12	1.14		604	57.14		17	1.61		22	2.08		3	0.28		308	29.14		1057	
	SECOND			0	0.00		1	33.33		1	33.33		0	0.00		0	0.00			Excluded		1	33.33		3	
		TOTAL		91	8.61		13	1.23		605	57.24		17	1.61		22	2.08					309	29.23		1057	
	THIRD			2	15.38			Excluded		3	23.08		5	38.46		2	15.38					1	7.69		13	
		TOTAL		93	8.80					608	57.52		22	2.08		24	2.27					310	29.33		1057	
	FOURTH			1	4.17					5	20.83		10	41.67			Excluded					8	33.33		24	
		TOTAL		94	8.89					613	57.99		32	3.03								318	30.09		1057	
	FIFTH			6	18.75					9	28.13			Excluded								17	53.13		32	
		TOTAL		100	9.46					622	58.85											335	31.69		1057	
	SIXTH				Excluded					53	53.00											47	47.00		100	
		TOTAL								675	63.86											382	36.14		1057	
										Elected																
																										
Hollisdale                                                     																										
	FIRST			28	21.71		3	2.33		67	51.94		10	7.75		2	1.55		0	0.00		19	14.73		129	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		28	21.71		3	2.33		67	51.94		10	7.75		2	1.55					19	14.73		129	
	THIRD			0	0.00			Excluded		1	33.33		2	66.67		0	0.00					0	0.00		3	
		TOTAL		28	21.71					68	52.71		12	9.30		2	1.55					19	14.73		129	
	FOURTH			0	0.00					0	0.00		1	50.00			Excluded					1	50.00		2	
		TOTAL		28	21.71					68	52.71		13	10.08								20	15.50		129	
	FIFTH			1	7.69					1	7.69			Excluded								11	84.62		13	
		TOTAL		29	22.48					69	53.49											31	24.03		129	
	SIXTH				Excluded					8	27.59											21	72.41		29	
		TOTAL								77	59.69											52	40.31		129	
										Elected																
																										
Huntingdon                                                     																										
	FIRST			13	6.63		1	0.51		120	61.22		4	2.04		6	3.06		1	0.51		51	26.02		196	
	SECOND			0	0.00		0	0.00		0	0.00		1	100.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		13	6.63		1	0.51		120	61.22		5	2.55		6	3.06					51	26.02		196	
	THIRD			1	100.00			Excluded		0	0.00		0	0.00		0	0.00					0	0.00		1	
		TOTAL		14	7.14					120	61.22		5	2.55		6	3.06					51	26.02		196	
	FOURTH			0	0.00					1	16.67		2	33.33			Excluded					3	50.00		6	
		TOTAL		14	7.14					121	61.73		7	3.57								54	27.55		196	
	FIFTH			0	0.00					2	28.57			Excluded								5	71.43		7	
		TOTAL		14	7.14					123	62.76											59	30.10		196	
	SIXTH				Excluded					6	42.86											8	57.14		14	
		TOTAL								129	65.82											67	34.18		196	
										Elected																
																										
Johns River                                                    																										
	FIRST			27	12.27		6	2.73		123	55.91		4	1.82		5	2.27		2	0.91		53	24.09		220	
	SECOND			1	50.00		0	0.00		1	50.00		0	0.00		0	0.00			Excluded		0	0.00		2	
		TOTAL		28	12.73		6	2.73		124	56.36		4	1.82		5	2.27					53	24.09		220	
	THIRD			2	33.33			Excluded		2	33.33		1	16.67		1	16.67					0	0.00		6	
		TOTAL		30	13.64					126	57.27		5	2.27		6	2.73					53	24.09		220	
	FOURTH			0	0.00					1	16.67		2	33.33			Excluded					3	50.00		6	
		TOTAL		30	13.64					127	57.73		7	3.18								56	25.45		220	
	FIFTH			1	14.29					3	42.86			Excluded								3	42.86		7	
		TOTAL		31	14.09					130	59.09											59	26.82		220	
	SIXTH				Excluded					21	67.74											10	32.26		31	
		TOTAL								151	68.64											69	31.36		220	
										Elected																
																										
Kempsey                                                        																										
	FIRST			148	16.26		19	2.09		388	42.64		33	3.63		26	2.86		1	0.11		295	32.42		910	
	SECOND			0	0.00		0	0.00		1	100.00		0	0.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		148	16.26		19	2.09		389	42.75		33	3.63		26	2.86					295	32.42		910	
	THIRD			7	36.84			Excluded		5	26.32		1	5.26		4	21.05					2	10.53		19	
		TOTAL		155	17.03					394	43.30		34	3.74		30	3.30					297	32.64		910	
	FOURTH			0	0.00					3	10.00		11	36.67			Excluded					16	53.33		30	
		TOTAL		155	17.03					397	43.63		45	4.95								313	34.40		910	
	FIFTH			6	13.33					13	28.89			Excluded								26	57.78		45	
		TOTAL		161	17.69					410	45.05											339	37.25		910	
	SIXTH				Excluded					77	47.83											84	52.17		161	
		TOTAL								487	53.52											423	46.48		910	
										Elected																
																										
Kempsey East                                                   																										
	FIRST			122	12.59		10	1.03		508	52.43		33	3.41		19	1.96		3	0.31		274	28.28		969	
	SECOND			0	0.00		0	0.00		1	33.33		1	33.33		0	0.00			Excluded		1	33.33		3	
		TOTAL		122	12.59		10	1.03		509	52.53		34	3.51		19	1.96					275	28.38		969	
	THIRD			3	30.00			Excluded		2	20.00		3	30.00		0	0.00					2	20.00		10	
		TOTAL		125	12.90					511	52.73		37	3.82		19	1.96					277	28.59		969	
	FOURTH			0	0.00					5	26.32		6	31.58			Excluded					8	42.11		19	
		TOTAL		125	12.90					516	53.25		43	4.44								285	29.41		969	
	FIFTH			6	13.95					14	32.56			Excluded								23	53.49		43	
		TOTAL		131	13.52					530	54.70											308	31.79		969	
	SIXTH				Excluded					56	42.75											75	57.25		131	
		TOTAL								586	60.47											383	39.53		969	
										Elected																
																										
Kempsey High                                                   																										
	FIRST			216	15.41		32	2.28		627	44.72		30	2.14		30	2.14		5	0.36		462	32.95		1402	
	SECOND			0	0.00		0	0.00		1	20.00		0	0.00		1	20.00			Excluded		3	60.00		5	
		TOTAL		216	15.41		32	2.28		628	44.79		30	2.14		31	2.21					465	33.17		1402	
	THIRD			8	25.00			Excluded		8	25.00		9	28.13		4	12.50					3	9.38		32	
		TOTAL		224	15.98					636	45.36		39	2.78		35	2.50					468	33.38		1402	
	FOURTH			4	11.43					11	31.43		11	31.43			Excluded					9	25.71		35	
		TOTAL		228	16.26					647	46.15		50	3.57								477	34.02		1402	
	FIFTH			12	24.00					10	20.00			Excluded								28	56.00		50	
		TOTAL		240	17.12					657	46.86											505	36.02		1402	
	SIXTH				Excluded					108	45.00											132	55.00		240	
		TOTAL								765	54.56											637	45.44		1402	
										Elected																
																										
Kempsey Hospital                                               																										
	FIRST			29	11.98		5	2.07		100	41.32		0	0.00		7	2.89		1	0.41		100	41.32		242	
	SECOND			0	0.00		1	100.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		29	11.98		6	2.48		100	41.32		0	0.00		7	2.89					100	41.32		242	
	THIRD			0	0.00			Excluded		2	33.33		2	33.33		2	33.33					0	0.00		6	
		TOTAL		29	11.98					102	42.15		2	0.83		9	3.72					100	41.32		242	
	FOURTH			2	22.22					3	33.33		2	22.22			Excluded					2	22.22		9	
		TOTAL		31	12.81					105	43.39		4	1.65								102	42.15		242	
	FIFTH			1	25.00					2	50.00			Excluded								1	25.00		4	
		TOTAL		32	13.22					107	44.21											103	42.56		242	
	SIXTH				Excluded					10	31.25											22	68.75		32	
		TOTAL								117	48.35											125	51.65		242	
										Elected																
																										
Kempsey South                                                  																										
	FIRST			188	18.78		20	2.00		382	38.16		32	3.20		27	2.70		4	0.40		348	34.77		1001	
	SECOND			0	0.00		2	50.00		1	25.00		0	0.00		1	25.00			Excluded		0	0.00		4	
