House of Representatives - 2001 Election: New South Wales											
Two Candidate Preferred Preference Flow Result											
By Polling Place by Division											
											
North Sydney (88755)											
		Candidate		"HOCKEY, Joe"		                	"TEIRNEY, Fran"		              	Total	
		"MCGUIRE, Bryan (DEM)"	133	46	34.59		87	65.41		133	
		"STEEL, Mike (GRN)"	132	33	25.00		99	75.00		132	
		"LAM, Brian (UNI)"	15	5	33.33		10	66.67		15	
		Total	300	1107	64.21		617	35.79		1724	

	Longueville										
			1st Prefs	1121	77.31		329	22.69		1450	
		"WARD, Colin (CTA)"	25	19	76.00		6	24.00		25	
		"MCGUIRE, Bryan (DEM)"	131	42	32.06		89	67.94		131	
		"STEEL, Mike (GRN)"	120	26	21.67		94	78.33		120	
		"LAM, Brian (UNI)"	9	5	55.56		4	44.44		9	
		Total	285	1213	69.91		522	30.09		1735	

	Mcmahons Point										
			1st Prefs	926	66.00		477	34.00		1403	
		"WARD, Colin (CTA)"	19	16	84.21		3	15.79		19	
		"MCGUIRE, Bryan (DEM)"	164	46	28.05		118	71.95		164	
		"STEEL, Mike (GRN)"	198	45	22.73		153	77.27		198	
		"LAM, Brian (UNI)"	17	4	23.53		13	76.47		17	
		Total	398	1037	57.58		764	42.42		1801	

	Middle Harbour (North Sydney)										
			1st Prefs	188	79.66		48	20.34		236	
		"WARD, Colin (CTA)"	5	4	80.00		1	20.00		5	
		"MCGUIRE, Bryan (DEM)"	31	11	35.48		20	64.52		31	
		"STEEL, Mike (GRN)"	29	7	24.14		22	75.86		29	
		"LAM, Brian (UNI)"	4	0	0.00		4	100.00		4	
		Total	69	210	68.85		95	31.15		305	

	Milsons Point										
			1st Prefs	454	69.63		198	30.37		652	
		"WARD, Colin (CTA)"	3	2	66.67		1	33.33		3	
		"MCGUIRE, Bryan (DEM)"	63	26	41.27		37	58.73		63	
		"STEEL, Mike (GRN)"	63	15	23.81		48	76.19		63	
		"LAM, Brian (UNI)"	17	4	23.53		13	76.47		17	
		Total	146	501	62.78		297	37.22		798	

	Mowbray (North Sydney)										
			1st Prefs	433	59.56		294	40.44		727	
		"WARD, Colin (CTA)"	15	12	80.00		3	20.00		15	
		"MCGUIRE, Bryan (DEM)"	67	19	28.36		48	71.64		67	
		"STEEL, Mike (GRN)"	41	14	34.15		27	65.85		41	
		"LAM, Brian (UNI)"	15	2	13.33		13	86.67		15	
		Total	138	480	55.49		385	44.51		865	

	Naremburn										
			1st Prefs	1629	66.93		805	33.07		2434	
		"WARD, Colin (CTA)"	51	39	76.47		12	23.53		51	
		"MCGUIRE, Bryan (DEM)"	232	80	34.48		152	65.52		232	
		"STEEL, Mike (GRN)"	235	50	21.28		185	78.72		235	
		"LAM, Brian (UNI)"	16	4	25.00		12	75.00		16	
		Total	534	1802	60.71		1166	39.29		2968	

	Neutral Bay										
			1st Prefs	2312	72.16		892	27.84		3204	
		"WARD, Colin (CTA)"	53	39	73.58		14	26.42		53	
		"MCGUIRE, Bryan (DEM)"	329	116	35.26		213	64.74		329	
		"STEEL, Mike (GRN)"	320	62	19.38		258	80.63		320	
		"LAM, Brian (UNI)"	43	14	32.56		29	67.44		43	
		Total	745	2543	64.40		1406	35.60		3949	

	Neutral Bay West										
			1st Prefs	567	70.43		238	29.57		805	
		"WARD, Colin (CTA)"	17	12	70.59		5	29.41		17	
		"MCGUIRE, Bryan (DEM)"	95	33	34.74		62	65.26		95	
		"STEEL, Mike (GRN)"	75	24	32.00		51	68.00		75	
		"LAM, Brian (UNI)"	3	1	33.33		2	66.67		3	
		Total	190	637	64.02		358	35.98		995	

	Northbridge										
			1st Prefs	651	72.01		253	27.99		904	
		"WARD, Colin (CTA)"	19	13	68.42		6	31.58		19	
		"MCGUIRE, Bryan (DEM)"	88	35	39.77		53	60.23		88	
		"STEEL, Mike (GRN)"	59	8	13.56		51	86.44		59	
		"LAM, Brian (UNI)"	21	8	38.10		13	61.90		21	
		Total	187	715	65.54		376	34.46		1091	

	Northbridge East										
			1st Prefs	1380	77.83		393	22.17		1773	
		"WARD, Colin (CTA)"	22	17	77.27		5	22.73		22	
		"MCGUIRE, Bryan (DEM)"	153	52	33.99		101	66.01		153	
		"STEEL, Mike (GRN)"	149	44	29.53		105	70.47		149	
		"LAM, Brian (UNI)"	25	10	40.00		15	60.00		25	
		Total	349	1503	70.83		619	29.17		2122	

	North Sydney										
			1st Prefs	1063	68.49		489	31.51		1552	
		"WARD, Colin (CTA)"	23	18	78.26		5	21.74		23	
		"MCGUIRE, Bryan (DEM)"	178	64	35.96		114	64.04		178	
		"STEEL, Mike (GRN)"	204	49	24.02		155	75.98		204	
		"LAM, Brian (UNI)"	21	8	38.10		13	61.90		21	
		Total	426	1202	60.77		776	39.23		1978	

	Parklands										
			1st Prefs	798	66.95		394	33.05		1192	
		"WARD, Colin (CTA)"	31	26	83.87		5	16.13		31	
		"MCGUIRE, Bryan (DEM)"	137	51	37.23		86	62.77		137	
		"STEEL, Mike (GRN)"	148	40	27.03		108	72.97		148	
		"LAM, Brian (UNI)"	9	1	11.11		8	88.89		9	
		Total	325	916	60.38		601	39.62		1517	

	Royal North Shore Hospital										
			1st Prefs	219	61.86		135	38.14		354	
		"WARD, Colin (CTA)"	9	7	77.78		2	22.22		9	
		"MCGUIRE, Bryan (DEM)"	26	6	23.08		20	76.92		26	
		"STEEL, Mike (GRN)"	23	8	34.78		15	65.22		23	
		"LAM, Brian (UNI)"	13	3	23.08		10	76.92		13	
		Total	71	243	57.18		182	42.82		425	

	Sydney (North Sydney)										
			1st Prefs	96	61.94		59	38.06		155	
		"WARD, Colin (CTA)"	2	2	100.00		0	0.00		2	
		"MCGUIRE, Bryan (DEM)"	21	13	61.90		8	38.10		21	
		"STEEL, Mike (GRN)"	26	7	26.92		19	73.08		26	
		"LAM, Brian (UNI)"	1	1	100.00		0	0.00		1	
		Total	50	119	58.05		86	41.95		205	

	Waverton										
			1st Prefs	623	64.49		343	35.51		966	
		"WARD, Colin (CTA)"	11	10	90.91		1	9.09		11	
		"MCGUIRE, Bryan (DEM)"	93	29	31.18		64	68.82		93	
		"STEEL, Mike (GRN)"	102	18	17.65		84	82.35		102	
		"LAM, Brian (UNI)"	15	6	40.00		9	60.00		15	
		Total	221	686	57.79		501	42.21		1187	

	Willoughby (North Sydney)										
			1st Prefs	1426	64.06		800	35.94		2226	
		"WARD, Colin (CTA)"	56	41	73.21		15	26.79		56	
		"MCGUIRE, Bryan (DEM)"	233	73	31.33		160	68.67		233	
		"STEEL, Mike (GRN)"	189	44	23.28		145	76.72		189	
		"LAM, Brian (UNI)"	20	6	30.00		14	70.00		20	
		Total	498	1590	58.37		1134	41.63		2724	

	Willoughby North (North Sydney)										
			1st Prefs	878	69.79		380	30.21		1258	
		"WARD, Colin (CTA)"	30	22	73.33		8	26.67		30	
		"MCGUIRE, Bryan (DEM)"	121	40	33.06		81	66.94		121	
		"STEEL, Mike (GRN)"	88	12	13.64		76	86.36		88	
		"LAM, Brian (UNI)"	14	7	50.00		7	50.00		14	
		Total	253	959	63.47		552	36.53		1511	

	Wollstonecraft										
			1st Prefs	1406	68.52		646	31.48		2052	
		"WARD, Colin (CTA)"	39	27	69.23		12	30.77		39	
		"MCGUIRE, Bryan (DEM)"	276	100	36.23		176	63.77		276	
		"STEEL, Mike (GRN)"	181	41	22.65		140	77.35		181	
		"LAM, Brian (UNI)"	30	14	46.67		16	53.33		30	
		Total	526	1588	61.60		990	38.40		2578	

	Woolwich										
			1st Prefs	444	77.89		126	22.11		570	
		"WARD, Colin (CTA)"	8	8	100.00		0	0.00		8	
		"MCGUIRE, Bryan (DEM)"	53	12	22.64		41	77.36		53	
		"STEEL, Mike (GRN)"	45	11	24.44		34	75.56		45	
		"LAM, Brian (UNI)"	4	0	0.00		4	100.00		4	
		Total	110	475	69.85		205	30.15		680	

	Special Hospitals										
			1st Prefs	447	75.51		145	24.49		592	
		"WARD, Colin (CTA)"	10	10	100.00		0	0.00		10	
		"MCGUIRE, Bryan (DEM)"	19	9	47.37		10	52.63		19	
		"STEEL, Mike (GRN)"	7	0	0.00		7	100.00		7	
		"LAM, Brian (UNI)"	0	0	0.00		0	0.00		0	
		Total	36	466	74.20		162	25.80		628	

	Total Ordinary										
			1st Prefs	36014	69.30		15958	30.70		51972	
		"WARD, Colin (CTA)"	944	733	77.65		211	22.35		944	
		"MCGUIRE, Bryan (DEM)"	5236	1743	33.29		3493	66.71		5236	
		"STEEL, Mike (GRN)"	4881	1092	22.37		3789	77.63		4881	
		"LAM, Brian (UNI)"	662	223	33.69		439	66.31		662	
		Total	11723	39805	62.49		23890	37.51		63695	

	ABSENT										
			1st Prefs	3544	72.40		1351	27.60		4895	
		"WARD, Colin (CTA)"	142	111	78.17		31	21.83		142	
		"MCGUIRE, Bryan (DEM)"	638	253	39.66		385	60.34		638	
		"STEEL, Mike (GRN)"	656	194	29.57		462	70.43		656	
		"LAM, Brian (UNI)"	66	26	39.39		40	60.61		66	
		Total	1502	4128	64.53		2269	35.47		6397	

	POSTAL										
			1st Prefs	2367	77.15		701	22.85		3068	
		"WARD, Colin (CTA)"	69	55	79.71		14	20.29		69	
		"MCGUIRE, Bryan (DEM)"	203	71	34.98		132	65.02		203	
		"STEEL, Mike (GRN)"	159	43	27.04		116	72.96		159	
		"LAM, Brian (UNI)"	37	13	35.14		24	64.86		37	
		Total	468	2549	72.09		987	27.91		3536	

	PRE_POLL										
			1st Prefs	2846	70.22		1207	29.78		4053	
		"WARD, Colin (CTA)"	63	52	82.54		11	17.46		63	
		"MCGUIRE, Bryan (DEM)"	416	161	38.70		255	61.30		416	
		"STEEL, Mike (GRN)"	315	94	29.84		221	70.16		315	
		"LAM, Brian (UNI)"	92	40	43.48		52	56.52		92	
		Total	886	3193	64.65		1746	35.35		4939	

	PROVISIONAL										
			1st Prefs	224	67.47		108	32.53		332	
		"WARD, Colin (CTA)"	9	6	66.67		3	33.33		9	
		"MCGUIRE, Bryan (DEM)"	35	14	40.00		21	60.00		35	
		"STEEL, Mike (GRN)"	42	14	33.33		28	66.67		42	
		"LAM, Brian (UNI)"	4	1	25.00		3	75.00		4	
		Total	90	259	61.37		163	38.63		422	

	Division Summary										
			1st Prefs	44995	69.95		19325	30.05		64320	
		"WARD, Colin (CTA)"	1227	957	78.00		270	22.00		1227	
		"MCGUIRE, Bryan (DEM)"	6528	2242	34.34		4286	65.66		6528	
		"STEEL, Mike (GRN)"	6053	1437	23.74		4616	76.26		6053	
		"LAM, Brian (UNI)"	861	303	35.19		558	64.81		861	
		Total	14669	49934	63.22		29055	36.78		78989	
