House of Representatives - 2001 Election: New South Wales																									
Distribution of Preferences 																									
By Polling Place																									
																									
Charlton																									
				HOARE			BLYTH			KENDALL			PATERSON			BELL			JOHNSON			THORPE			
		TOTAL		463	60.21								306	39.79											769
				Elected																					
																									
Argenton                                                       																									
	FIRST			547	68.12		27	3.36		17	2.12		125	15.57		24	2.99		60	7.47		3	0.37		803
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		3	100.00			Excluded		3
		TOTAL		547	68.12		27	3.36		17	2.12		125	15.57		24	2.99		63	7.85					803
	THIRD			2	11.76		3	17.65			Excluded		7	41.18		3	17.65		2	11.76					17
		TOTAL		549	68.37		30	3.74					132	16.44		27	3.36		65	8.09					803
	FOURTH			11	36.67			Excluded					5	16.67		10	33.33		4	13.33					30
		TOTAL		560	69.74								137	17.06		37	4.61		69	8.59					803
	FIFTH			20	54.05								12	32.43			Excluded		5	13.51					37
		TOTAL		580	72.23								149	18.56					74	9.22					803
	SIXTH			44	59.46								30	40.54						Excluded					74
		TOTAL		624	77.71								179	22.29											803
				Elected																					
																									
Awaba                                                          																									
	FIRST			119	55.35		19	8.84		2	0.93		35	16.28		10	4.65		30	13.95		0	0.00		215
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0
		TOTAL		119	55.35		19	8.84		2	0.93		35	16.28		10	4.65		30	13.95					215
	THIRD			0	0.00		0	0.00			Excluded		2	100.00		0	0.00		0	0.00					2
		TOTAL		119	55.35		19	8.84					37	17.21		10	4.65		30	13.95					215
	FOURTH			9	47.37			Excluded					3	15.79		6	31.58		1	5.26					19
		TOTAL		128	59.53								40	18.60		16	7.44		31	14.42					215
	FIFTH			11	68.75								2	12.50			Excluded		3	18.75					16
		TOTAL		139	64.65								42	19.53					34	15.81					215
	SIXTH			11	32.35								23	67.65						Excluded					34
		TOTAL		150	69.77								65	30.23											215
				Elected																					
																									
Barnsley                                                       																									
	FIRST			595	54.74		36	3.31		27	2.48		227	20.88		51	4.69		143	13.16		8	0.74		1087
	SECOND			1	12.50		2	25.00		0	0.00		0	0.00		3	37.50		2	25.00			Excluded		8
		TOTAL		596	54.83		38	3.50		27	2.48		227	20.88		54	4.97		145	13.34					1087
	THIRD			3	11.11		4	14.81			Excluded		17	62.96		0	0.00		3	11.11					27
		TOTAL		599	55.11		42	3.86					244	22.45		54	4.97		148	13.62					1087
	FOURTH			12	28.57			Excluded					9	21.43		14	33.33		7	16.67					42
		TOTAL		611	56.21								253	23.28		68	6.26		155	14.26					1087
	FIFTH			36	52.94								18	26.47			Excluded		14	20.59					68
		TOTAL		647	59.52								271	24.93					169	15.55					1087
	SIXTH			66	39.05								103	60.95						Excluded					169
		TOTAL		713	65.59								374	34.41											1087
				Elected																					
																									
Biraban                                                        																									
	FIRST			697	63.71		22	2.01		25	2.29		219	20.02		37	3.38		88	8.04		6	0.55		1094
	SECOND			2	33.33		0	0.00		0	0.00		0	0.00		1	16.67		3	50.00			Excluded		6
		TOTAL		699	63.89		22	2.01		25	2.29		219	20.02		38	3.47		91	8.32					1094
	THIRD			5	20.00		1	4.00			Excluded		10	40.00		5	20.00		4	16.00					25
		TOTAL		704	64.35		23	2.10					229	20.93		43	3.93		95	8.68					1094
	FOURTH			9	39.13			Excluded					3	13.04		9	39.13		2	8.70					23
		TOTAL		713	65.17								232	21.21		52	4.75		97	8.87					1094
	FIFTH			29	55.77								11	21.15			Excluded		12	23.08					52
		TOTAL		742	67.82								243	22.21					109	9.96					1094
	SIXTH			52	47.71								57	52.29						Excluded					109
		TOTAL		794	72.58								300	27.42											1094
				Elected																					
																									
Blackalls                                                      																									
	FIRST			807	56.12		84	5.84		47	3.27		305	21.21		65	4.52		123	8.55		7	0.49		1438
	SECOND			3	42.86		2	28.57		0	0.00		0	0.00		1	14.29		1	14.29			Excluded		7
		TOTAL		810	56.33		86	5.98		47	3.27		305	21.21		66	4.59		124	8.62					1438
	THIRD			12	25.53		7	14.89			Excluded		24	51.06		3	6.38		1	2.13					47
		TOTAL		822	57.16		93	6.47					329	22.88		69	4.80		125	8.69					1438
	FOURTH			36	38.71			Excluded					11	11.83		38	40.86		8	8.60					93
		TOTAL		858	59.67								340	23.64		107	7.44		133	9.25					1438
	FIFTH			68	63.55								22	20.56			Excluded		17	15.89					107
		TOTAL		926	64.39								362	25.17					150	10.43					1438
	SIXTH			74	49.33								76	50.67						Excluded					150
		TOTAL		1000	69.54								438	30.46											1438
				Elected																					
																									
Bolton Point                                                   																									
	FIRST			295	49.33		26	4.35		14	2.34		167	27.93		30	5.02		64	10.70		2	0.33		598
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	100.00			Excluded		2
		TOTAL		295	49.33		26	4.35		14	2.34		167	27.93		30	5.02		66	11.04					598
	THIRD			1	7.14		3	21.43			Excluded		7	50.00		3	21.43		0	0.00					14
		TOTAL		296	49.50		29	4.85					174	29.10		33	5.52		66	11.04					598
	FOURTH			9	31.03			Excluded					2	6.90		18	62.07		0	0.00					29
		TOTAL		305	51.00								176	29.43		51	8.53		66	11.04					598
	FIFTH			28	54.90								16	31.37			Excluded		7	13.73					51
		TOTAL		333	55.69								192	32.11					73	12.21					598
	SIXTH			35	47.95								38	52.05						Excluded					73
		TOTAL		368	61.54								230	38.46											598
				Elected																					
																									
Bonnells Bay                                                   																									
	FIRST			1048	38.36		136	4.98		50	1.83		1135	41.54		114	4.17		238	8.71		11	0.40		2732
	SECOND			4	36.36		0	0.00		0	0.00		1	9.09		3	27.27		3	27.27			Excluded		11
		TOTAL		1052	38.51		136	4.98		50	1.83		1136	41.58		117	4.28		241	8.82					2732
	THIRD			5	10.00		5	10.00			Excluded		32	64.00		6	12.00		2	4.00					50
		TOTAL		1057	38.69		141	5.16					1168	42.75		123	4.50		243	8.89					2732
	FOURTH			46	32.62			Excluded					19	13.48		61	43.26		15	10.64					141
		TOTAL		1103	40.37								1187	43.45		184	6.73		258	9.44					2732
	FIFTH			105	57.07								52	28.26			Excluded		27	14.67					184
		TOTAL		1208	44.22								1239	45.35					285	10.43					2732
	SIXTH			103	36.14								182	63.86						Excluded					285
		TOTAL		1311	47.99								1421	52.01											2732
				Elected																					
																									
Booragul                                                       																									
	FIRST			662	51.52		52	4.05		23	1.79		348	27.08		68	5.29		124	9.65		8	0.62		1285
	SECOND			1	12.50		1	12.50		0	0.00		0	0.00		3	37.50		3	37.50			Excluded		8
		TOTAL		663	51.60		53	4.12		23	1.79		348	27.08		71	5.53		127	9.88					1285
	THIRD			4	17.39		4	17.39			Excluded		11	47.83		1	4.35		3	13.04					23
		TOTAL		667	51.91		57	4.44					359	27.94		72	5.60		130	10.12					1285
	FOURTH			21	36.84			Excluded					12	21.05		18	31.58		6	10.53					57
		TOTAL		688	53.54								371	28.87		90	7.00		136	10.58					1285
	FIFTH			48	53.33								25	27.78			Excluded		17	18.89					90
		TOTAL		736	57.28								396	30.82					153	11.91					1285
	SIXTH			56	36.60								97	63.40						Excluded					153
		TOTAL		792	61.63								493	38.37											1285
				Elected																					
																									
C.A.Brown Village                                              																									
	FIRST			69	61.06		1	0.88		1	0.88		35	30.97		1	0.88		5	4.42		1	0.88		113
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		1	100.00		0	0.00			Excluded		1
		TOTAL		69	61.06		1	0.88		1	0.88		35	30.97		2	1.77		5	4.42					113
	THIRD			0	0.00		0	0.00			Excluded		1	100.00		0	0.00		0	0.00					1
		TOTAL		69	61.06		1	0.88					36	31.86		2	1.77		5	4.42					113
	FOURTH			0	0.00			Excluded					0	0.00		1	100.00		0	0.00					1
		TOTAL		69	61.06								36	31.86		3	2.65		5	4.42					113
	FIFTH			1	33.33								2	66.67			Excluded		0	0.00					3
		TOTAL		70	61.95								38	33.63					5	4.42					113
	SIXTH			4	80.00								1	20.00						Excluded					5
		TOTAL		74	65.49								39	34.51											113
				Elected																					
																									
Cardiff                                                        																									
	FIRST			1075	48.31		109	4.90		69	3.10		680	30.56		93	4.18		190	8.54		9	0.40		2225
	SECOND			2	22.22		4	44.44		0	0.00		0	0.00		1	11.11		2	22.22			Excluded		9
		TOTAL		1077	48.40		113	5.08		69	3.10		680	30.56		94	4.22		192	8.63					2225
	THIRD			8	11.59		8	11.59			Excluded		46	66.67		3	4.35		4	5.80					69
		TOTAL		1085	48.76		121	5.44					726	32.63		97	4.36		196	8.81					2225
	FOURTH			47	38.84			Excluded					14	11.57		50	41.32		10	8.26					121
		TOTAL		1132	50.88								740	33.26		147	6.61		206	9.26					2225
	FIFTH			82	55.78								45	30.61			Excluded		20	13.61					147
		TOTAL		1214	54.56								785	35.28					226	10.16					2225
	SIXTH			83	36.73								143	63.27						Excluded					226
		TOTAL		1297	58.29								928	41.71											2225
				Elected																					
																									
Cardiff East                                                   																									
	FIRST			440	59.06		37	4.97		19	2.55		170	22.82		25	3.36		53	7.11		1	0.13		745
	SECOND			0	0.00		1	100.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1
		TOTAL		440	59.06		38	5.10		19	2.55		170	22.82		25	3.36		53	7.11					745
	THIRD			3	15.79		3	15.79			Excluded		10	52.63		3	15.79		0	0.00					19
		TOTAL		443	59.46		41	5.50					180	24.16		28	3.76		53	7.11					745
	FOURTH			14	34.15			Excluded					5	12.20		20	48.78		2	4.88					41
		TOTAL		457	61.34								185	24.83		48	6.44		55	7.38					745
	FIFTH			28	58.33								14	29.17			Excluded		6	12.50					48
		TOTAL		485	65.10								199	26.71					61	8.19					745
	SIXTH			29	47.54								32	52.46						Excluded					61
		TOTAL		514	68.99								231	31.01											745
				Elected																					
																									
Cardiff Heights                                                																									
	FIRST			512	35.12		116	7.96		51	3.50		603	41.36		84	5.76		87	5.97		5	0.34		1458
	SECOND			0	0.00		2	40.00		0	0.00		0	0.00		3	60.00		0	0.00			Excluded		5
		TOTAL		512	35.12		118	8.09		51	3.50		603	41.36		87	5.97		87	5.97					1458
	THIRD			6	11.76		5	9.80			Excluded		28	54.90		9	17.65		3	5.88					51
		TOTAL		518	35.53		123	8.44					631	43.28		96	6.58		90	6.17					1458
	FOURTH			37	30.08			Excluded					14	11.38		68	55.28		4	3.25					123
		TOTAL		555	38.07								645	44.24		164	11.25		94	6.45					1458
	FIFTH			111	67.68								42	25.61			Excluded		11	6.71					164
		TOTAL		666	45.68								687	47.12					105	7.20					1458
	SIXTH			40	38.10								65	61.90						Excluded					105
		TOTAL		706	48.42								752	51.58											1458
				Elected																					
																									
Cardiff North                                                  																									
	FIRST			649	46.49		79	5.66		41	2.94		429	30.73		94	6.73		100	7.16		4	0.29		1396
	SECOND			0	0.00		2	50.00		0	0.00		0	0.00		1	25.00		1	25.00			Excluded		4
		TOTAL		649	46.49		81	5.80		41	2.94		429	30.73		95	6.81		101	7.23					1396
	THIRD			9	21.95		7	17.07			Excluded		18	43.90		1	2.44		6	14.63					41
		TOTAL		658	47.13		88	6.30					447	32.02		96	6.88		107	7.66					1396
	FOURTH			25	28.41			Excluded					10	11.36		48	54.55		5	5.68					88
		TOTAL		683	48.93								457	32.74		144	10.32		112	8.02					1396
	FIFTH			92	63.89								33	22.92			Excluded		19	13.19					144
		TOTAL		775	55.52								490	35.10					131	9.38					1396
	SIXTH			61	46.56								70	53.44						Excluded					131
		TOTAL		836	59.89								560	40.11											1396
				Elected																					
																									
Cardiff South                                                  																									
	FIRST			854	54.85		118	7.58		36	2.31		375	24.08		61	3.92		91	5.84		22	1.41		1557
	SECOND			6	27.27		4	18.18		1	4.55		0	0.00		7	31.82		4	18.18			Excluded		22
		TOTAL		860	55.23		122	7.84		37	2.38		375	24.08		68	4.37		95	6.10					1557
	THIRD			3	8.11		3	8.11			Excluded		24	64.86		3	8.11		4	10.81					37
		TOTAL		863	55.43		125	8.03					399	25.63		71	4.56		99	6.36					1557
	FOURTH			40	32.00			Excluded					21	16.80		54	43.20		10	8.00					125
		TOTAL		903	58.00								420	26.97		125	8.03		109	7.00					1557
	FIFTH			77	61.60								34	27.20			Excluded		14	11.20					125
		TOTAL		980	62.94								454	29.16					123	7.90					1557
	SIXTH			56	45.53								67	54.47						Excluded					123
		TOTAL		1036	66.54								521	33.46											1557
				Elected																					
																									
Carey Bay                                                      																									
	FIRST			309	31.43		59	6.00		14	1.42		472	48.02		49	4.98		80	8.14		0	0.00		983
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0
		TOTAL		309	31.43		59	6.00		14	1.42		472	48.02		49	4.98		80	8.14					983
	THIRD			0	0.00		2	14.29			Excluded		9	64.29		3	21.43		0	0.00					14
		TOTAL		309	31.43		61	6.21					481	48.93		52	5.29		80	8.14					983
	FOURTH			19	31.15			Excluded					12	19.67		29	47.54		1	1.64					61
		TOTAL		328	33.37								493	50.15		81	8.24		81	8.24					983
	FIFTH			40	49.38								34	41.98			Excluded		7	8.64					81
		TOTAL		368	37.44								527	53.61					88	8.95					983
	SIXTH			21	23.86								67	76.14						Excluded					88
		TOTAL		389	39.57								594	60.43											983
				Elected																					
																									
Charlestown South                                              																									
	FIRST			520	48.55		46	4.30		45	4.20		359	33.52		42	3.92		58	5.42		1	0.09		1071
	SECOND			1	100.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1
		TOTAL		521	48.65		46	4.30		45	4.20		359	33.52		42	3.92		58	5.42					1071
	THIRD			5	11.11		2	4.44			Excluded		35	77.78		2	4.44		1	2.22					45
		TOTAL		526	49.11		48	4.48					394	36.79		44	4.11		59	5.51					1071
	FOURTH			19	39.58			Excluded					8	16.67		18	37.50		3	6.25					48
		TOTAL		545	50.89								402	37.54		62	5.79		62	5.79					1071
	FIFTH			34	54.84								25	40.32			Excluded		3	4.84					62
		TOTAL		579	54.06								427	39.87					65	6.07					1071
	SIXTH			29	44.62								36	55.38						Excluded					65
		TOTAL		608	56.77								463	43.23											1071
				Elected																					
																									
Coal Point                                                     																									
	FIRST			264	30.10		57	6.50		8	0.91		438	49.94		57	6.50		47	5.36		6	0.68		877
	SECOND			0	0.00		1	16.67		2	33.33		1	16.67		2	33.33		0	0.00			Excluded		6
		TOTAL		264	30.10		58	6.61		10	1.14		439	50.06		59	6.73		47	5.36					877
	THIRD			4	40.00		0	0.00			Excluded		6	60.00		0	0.00		0	0.00					10
		TOTAL		268	30.56		58	6.61					445	50.74		59	6.73		47	5.36					877
	FOURTH			18	31.03			Excluded					14	24.14		26	44.83		0	0.00					58
		TOTAL		286	32.61								459	52.34		85	9.69		47	5.36					877
	FIFTH			57	67.06								21	24.71			Excluded		7	8.24					85
		TOTAL		343	39.11								480	54.73					54	6.16					877
	SIXTH			22	40.74								32	59.26						Excluded					54
		TOTAL		365	41.62								512	58.38											877
				Elected																					
																									
Cooranbong                                                     																									
	FIRST			327	38.61		47	5.55		18	2.13		352	41.56		41	4.84		59	6.97		3	0.35		847
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		1	33.33		2	66.67			Excluded		3
		TOTAL		327	38.61		47	5.55		18	2.13		352	41.56		42	4.96		61	7.20					847
	THIRD			3	16.67		2	11.11			Excluded		5	27.78		4	22.22		4	22.22					18
		TOTAL		330	38.96		49	5.79					357	42.15		46	5.43		65	7.67					847
	FOURTH			12	24.49			Excluded					7	14.29		24	48.98		6	12.24					49
		TOTAL		342	40.38								364	42.98		70	8.26		71	8.38					847
	FIFTH			43	61.43								17	24.29			Excluded		10	14.29					70
		TOTAL		385	45.45								381	44.98					81	9.56					847
	SIXTH			38	46.91								43	53.09						Excluded					81
		TOTAL		423	49.94								424	50.06											847
				Elected																					
																									
Dora Creek                                                     																									
	FIRST			520	41.07		66	5.21		14	1.11		466	36.81		41	3.24		155	12.24		4	0.32		1266
	SECOND			1	25.00		1	25.00		0	0.00		1	25.00		0	0.00		1	25.00			Excluded		4
		TOTAL		521	41.15		67	5.29		14	1.11		467	36.89		41	3.24		156	12.32					1266
	THIRD			1	7.14		1	7.14			Excluded		6	42.86		3	21.43		3	21.43					14
		TOTAL		522	41.23		68	5.37					473	37.36		44	3.48		159	12.56					1266
	FOURTH			21	30.88			Excluded					6	8.82		36	52.94		5	7.35					68
		TOTAL		543	42.89								479	37.84		80	6.32		164	12.95					1266
	FIFTH			42	52.50								26	32.50			Excluded		12	15.00					80
		TOTAL		585	46.21								505	39.89					176	13.90					1266
	SIXTH			62	35.23								114	64.77						Excluded					176
		TOTAL		647	51.11								619	48.89											1266
				Elected																					
																									
Edgeworth                                                      																									
	FIRST			2025	54.57		144	3.88		99	2.67		996	26.84		116	3.13		317	8.54		14	0.38		3711
	SECOND			4	28.57		2	14.29		1	7.14		1	7.14		1	7.14		5	35.71			Excluded		14
		TOTAL		2029	54.68		146	3.93		100	2.69		997	26.87		117	3.15		322	8.68					3711
	THIRD			15	15.00		10	10.00			Excluded		59	59.00		9	9.00		7	7.00					100
		TOTAL		2044	55.08		156	4.20					1056	28.46		126	3.40		329	8.87					3711
	FOURTH			59	37.82			Excluded					24	15.38		53	33.97		20	12.82					156
		TOTAL		2103	56.67								1080	29.10		179	4.82		349	9.40					3711
	FIFTH			99	55.31								50	27.93			Excluded		30	16.76					179
		TOTAL		2202	59.34								1130	30.45					379	10.21					3711
	SIXTH			142	37.47								237	62.53						Excluded					379
		TOTAL		2344	63.16								1367	36.84											3711
				Elected																					
																									
Elermore Vale                                                  																									
	FIRST			1002	48.55		114	5.52		37	1.79		669	32.41		134	6.49		93	4.51		15	0.73		2064
	SECOND			2	13.33		2	13.33		2	13.33		2	13.33		3	20.00		4	26.67			Excluded		15
		TOTAL		1004	48.64		116	5.62		39	1.89		671	32.51		137	6.64		97	4.70					2064
	THIRD			5	12.82		4	10.26			Excluded		20	51.28		3	7.69		7	17.95					39
		TOTAL		1009	48.89		120	5.81					691	33.48		140	6.78		104	5.04					2064
	FOURTH			36	30.00			Excluded					29	24.17		44	36.67		11	9.17					120
		TOTAL		1045	50.63								720	34.88		184	8.91		115	5.57					2064
	FIFTH			109	59.24								58	31.52			Excluded		17	9.24					184
		TOTAL		1154	55.91								778	37.69					132	6.40					2064
	SIXTH			58	43.94								74	56.06						Excluded					132
		TOTAL		1212	58.72								852	41.28											2064
				Elected																					
																									
Fassifern                                                      																									
	FIRST			292	48.75		35	5.84		7	1.17		169	28.21		39	6.51		56	9.35		1	0.17		599
	SECOND			0	0.00		1	100.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1
		TOTAL		292	48.75		36	6.01		7	1.17		169	28.21		39	6.51		56	9.35					599
	THIRD			1	14.29		1	14.29			Excluded		4	57.14		1	14.29		0	0.00					7
		TOTAL		293	48.91		37	6.18					173	28.88		40	6.68		56	9.35					599
	FOURTH			15	40.54			Excluded					5	13.51		15	40.54		2	5.41					37
		TOTAL		308	51.42								178	29.72		55	9.18		58	9.68					599
	FIFTH			35	63.64								14	25.45			Excluded		6	10.91					55
		TOTAL		343	57.26								192	32.05					64	10.68					599
	SIXTH			33	51.56								31	48.44						Excluded					64
		TOTAL		376	62.77								223	37.23											599
				Elected																					
																									
Fennell Bay                                                    																									
	FIRST			643	52.11		52	4.21		33	2.67		302	24.47		73	5.92		127	10.29		4	0.32		1234
	SECOND			1	25.00		0	0.00		0	0.00		1	25.00		0	0.00		2	50.00			Excluded		4
		TOTAL		644	52.19		52	4.21		33	2.67		303	24.55		73	5.92		129	10.45					1234
	THIRD			2	6.06		6	18.18			Excluded		21	63.64		2	6.06		2	6.06					33
		TOTAL		646	52.35		58	4.70					324	26.26		75	6.08		131	10.62					1234
	FOURTH			18	31.03			Excluded					8	13.79		28	48.28		4	6.90					58
		TOTAL		664	53.81								332	26.90		103	8.35		135	10.94					1234
	FIFTH			66	64.08								26	25.24			Excluded		11	10.68					103
		TOTAL		730	59.16								358	29.01					146	11.83					1234
	SIXTH			48	32.88								98	67.12						Excluded					146
		TOTAL		778	63.05								456	36.95											1234
				Elected																					
																									
Garden Suburb (Charlton)                                       																									
	FIRST			506	40.54		81	6.49		54	4.33		456	36.54		71	5.69		78	6.25		2	0.16		1248
	SECOND			0	0.00		1	50.00		0	0.00		1	50.00		0	0.00		0	0.00			Excluded		2
		TOTAL		506	40.54		82	6.57		54	4.33		457	36.62		71	5.69		78	6.25					1248
	THIRD			1	1.85		4	7.41			Excluded		37	68.52		6	11.11		6	11.11					54
		TOTAL		507	40.63		86	6.89					494	39.58		77	6.17		84	6.73					1248
	FOURTH			25	29.07			Excluded					8	9.30		47	54.65		6	6.98					86
		TOTAL		532	42.63								502	40.22		124	9.94		90	7.21					1248
	FIFTH			77	62.10								34	27.42			Excluded		13	10.48					124
		TOTAL		609	48.80								536	42.95					103	8.25					1248
	SIXTH			45	43.69								58	56.31						Excluded					103
		TOTAL		654	52.40								594	47.60											1248
				Elected																					
																									
Glendale                                                       																									
	FIRST			250	62.81		16	4.02		7	1.76		79	19.85		18	4.52		26	6.53		2	0.50		398
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		1	50.00		1	50.00			Excluded		2
		TOTAL		250	62.81		16	4.02		7	1.76		79	19.85		19	4.77		27	6.78					398
	THIRD			1	14.29		3	42.86			Excluded		2	28.57		1	14.29		0	0.00					7
		TOTAL		251	63.07		19	4.77					81	20.35		20	5.03		27	6.78					398
	FOURTH			11	57.89			Excluded					0	0.00		5	26.32		3	15.79					19
		TOTAL		262	65.83								81	20.35		25	6.28		30	7.54					398
	FIFTH			11	44.00								9	36.00			Excluded		5	20.00					25
		TOTAL		273	68.59								90	22.61					35	8.79					398
	SIXTH			14	40.00								21	60.00						Excluded					35
		TOTAL		287	72.11								111	27.89											398
				Elected																					
																									
Glendale East                                                  																									
	FIRST			776	54.84		74	5.23		32	2.26		368	26.01		58	4.10		102	7.21		5	0.35		1415
	SECOND			1	20.00		1	20.00		0	0.00		1	20.00		1	20.00		1	20.00			Excluded		5
		TOTAL		777	54.91		75	5.30		32	2.26		369	26.08		59	4.17		103	7.28					1415
	THIRD			3	9.38		3	9.38			Excluded		20	62.50		2	6.25		4	12.50					32
		TOTAL		780	55.12		78	5.51					389	27.49		61	4.31		107	7.56					1415
	FOURTH			28	35.90			Excluded					12	15.38		29	37.18		9	11.54					78
		TOTAL		808	57.10								401	28.34		90	6.36		116	8.20					1415
	FIFTH			55	61.11								23	25.56			Excluded		12	13.33					90
		TOTAL		863	60.99								424	29.96					128	9.05					1415
	SIXTH			63	49.22								65	50.78						Excluded					128
		TOTAL		926	65.44								489	34.56											1415
				Elected																					
																									
Hawkins Village                                                																									
	FIRST			763	59.42		32	2.49		26	2.02		334	26.01		37	2.88		86	6.70		6	0.47		1284
	SECOND			0	0.00		0	0.00		1	16.67		1	16.67		2	33.33		2	33.33			Excluded		6
		TOTAL		763	59.42		32	2.49		27	2.10		335	26.09		39	3.04		88	6.85					1284
	THIRD			3	11.11		2	7.41			Excluded		18	66.67		2	7.41		2	7.41					27
		TOTAL		766	59.66		34	2.65					353	27.49		41	3.19		90	7.01					1284
	FOURTH			11	32.35			Excluded					7	20.59		8	23.53		8	23.53					34
		TOTAL		777	60.51								360	28.04		49	3.82		98	7.63					1284
	FIFTH			23	46.94								12	24.49			Excluded		14	28.57					49
		TOTAL		800	62.31								372	28.97					112	8.72					1284
	SIXTH			55	49.11								57	50.89						Excluded					112
		TOTAL		855	66.59								429	33.41											1284
				Elected																					
																									
Hillsborough                                                   																									
	FIRST			669	45.20		76	5.14		37	2.50		521	35.20		82	5.54		88	5.95		7	0.47		1480
	SECOND			1	14.29		1	14.29		0	0.00		0	0.00		3	42.86		2	28.57			Excluded		7
		TOTAL		670	45.27		77	5.20		37	2.50		521	35.20		85	5.74		90	6.08					1480
	THIRD			1	2.70		9	24.32			Excluded		20	54.05		6	16.22		1	2.70					37
		TOTAL		671	45.34		86	5.81					541	36.55		91	6.15		91	6.15					1480
	FOURTH			34	39.53			Excluded					14	16.28		33	38.37		5	5.81					86
		TOTAL		705	47.64								555	37.50		124	8.38		96	6.49					1480
	FIFTH			63	50.81								50	40.32			Excluded		11	8.87					124
		TOTAL		768	51.89								605	40.88					107	7.23					1480
	SIXTH			50	46.73								57	53.27						Excluded					107
		TOTAL		818	55.27								662	44.73											1480
				Elected																					
																									
Kilaben Bay                                                    																									
	FIRST			276	33.91		60	7.37		10	1.23		345	42.38		52	6.39		65	7.99		6	0.74		814
	SECOND			1	16.67		1	16.67		1	16.67		0	0.00		2	33.33		1	16.67			Excluded		6
		TOTAL		277	34.03		61	7.49		11	1.35		345	42.38		54	6.63		66	8.11					814
	THIRD			0	0.00		4	36.36			Excluded		5	45.45		2	18.18		0	0.00					11
		TOTAL		277	34.03		65	7.99					350	43.00		56	6.88		66	8.11					814
	FOURTH			18	27.69			Excluded					10	15.38		34	52.31		3	4.62					65
		TOTAL		295	36.24								360	44.23		90	11.06		69	8.48					814
	FIFTH			50	55.56								34	37.78			Excluded		6	6.67					90
		TOTAL		345	42.38								394	48.40					75	9.21					814
	SIXTH			32	42.67								43	57.33						Excluded					75
		TOTAL		377	46.31								437	53.69											814
				Elected																					
																									
Killingworth                                                   																									
	FIRST			221	58.78		12	3.19		3	0.80		101	26.86		13	3.46		22	5.85		4	1.06		376
	SECOND			0	0.00		0	0.00		1	25.00		0	0.00		2	50.00		1	25.00			Excluded		4
		TOTAL		221	58.78		12	3.19		4	1.06		101	26.86		15	3.99		23	6.12					376
	THIRD			1	25.00		0	0.00			Excluded		1	25.00		2	50.00		0	0.00					4
		TOTAL		222	59.04		12	3.19					102	27.13		17	4.52		23	6.12					376
	FOURTH			4	33.33			Excluded					4	33.33		2	16.67		2	16.67					12
		TOTAL		226	60.11								106	28.19		19	5.05		25	6.65					376
	FIFTH			10	52.63								8	42.11			Excluded		1	5.26					19
