House of Representatives - 2001 Election: New South Wales																																		
Distribution of Preferences 																																		
By Polling Place																																		
																																		
Fowler																																		
				JOHNSON			GRANT			POULARAS			WATSON			BRAZENALL			CHUNG			ROSSO			GASKELL			MENDELSSOHN			IRWIN			
	FIFTH			3	6.38		4	8.51					5	10.64					3	6.38		9	19.15			Excluded					23	48.94		47
		TOTAL		59	2.18		88	3.26					607	22.46					82	3.03		95	3.51								1772	65.56		2703
	SIXTH			22	25.00			Excluded					12	13.64					14	15.91		5	5.68								35	39.77		88
		TOTAL		81	3.00								619	22.90					96	3.55		100	3.70								1807	66.85		2703
	SEVENTH			38	38.00								29	29.00					17	17.00			Excluded								16	16.00		100
		TOTAL		119	4.40								648	23.97					113	4.18											1823	67.44		2703
	EIGHTH				Excluded								92	77.31					16	13.45											11	9.24		119
		TOTAL											740	27.38					129	4.77											1834	67.85		2703
	NINTH												52	40.31						Excluded											77	59.69		129
		TOTAL											792	29.30																	1911	70.70		2703
																															Elected			
																																		
Bonnyrigg High                                                 																																		
	FIRST			29	2.68		22	2.04		16	1.48		137	12.67		14	1.30		91	8.42		26	2.41		23	2.13		16	1.48		707	65.40		1081
	SECOND			2	14.29		3	21.43		2	14.29		0	0.00			Excluded		1	7.14		3	21.43		2	14.29		0	0.00		1	7.14		14
		TOTAL		31	2.87		25	2.31		18	1.67		137	12.67					92	8.51		29	2.68		25	2.31		16	1.48		708	65.49		1081
	THIRD			1	5.56		2	11.11			Excluded		9	50.00					1	5.56		2	11.11		2	11.11		1	5.56		0	0.00		18
		TOTAL		32	2.96		27	2.50					146	13.51					93	8.60		31	2.87		27	2.50		17	1.57		708	65.49		1081
	FOURTH			2	11.76		4	23.53					2	11.76					2	11.76		2	11.76		1	5.88			Excluded		4	23.53		17
		TOTAL		34	3.15		31	2.87					148	13.69					95	8.79		33	3.05		28	2.59					712	65.86		1081
	FIFTH			1	3.57		0	0.00					4	14.29					4	14.29		4	14.29			Excluded					15	53.57		28
		TOTAL		35	3.24		31	2.87					152	14.06					99	9.16		37	3.42								727	67.25		1081
	SIXTH			5	16.13			Excluded					8	25.81					3	9.68		3	9.68								12	38.71		31
		TOTAL		40	3.70								160	14.80					102	9.44		40	3.70								739	68.36		1081
	SEVENTH			9	22.50								15	37.50					7	17.50			Excluded								9	22.50		40
		TOTAL		49	4.53								175	16.19					109	10.08											748	69.20		1081
	EIGHTH				Excluded								37	75.51					6	12.24											6	12.24		49
		TOTAL											212	19.61					115	10.64											754	69.75		1081
	NINTH												35	30.43						Excluded											80	69.57		115
		TOTAL											247	22.85																	834	77.15		1081
																															Elected			
																																		
Cabramatta                                                     																																		
	FIRST			127	2.90		74	1.69		27	0.62		380	8.68		31	0.71		490	11.19		32	0.73		78	1.78		58	1.32		3081	70.37		4378
	SECOND			3	9.68		1	3.23		3	9.68		8	25.81			Excluded		7	22.58		1	3.23		4	12.90		4	12.90		0	0.00		31
		TOTAL		130	2.97		75	1.71		30	0.69		388	8.86					497	11.35		33	0.75		82	1.87		62	1.42		3081	70.37		4378
	THIRD			2	6.67		9	30.00			Excluded		9	30.00					0	0.00		3	10.00		2	6.67		2	6.67		3	10.00		30
		TOTAL		132	3.02		84	1.92					397	9.07					497	11.35		36	0.82		84	1.92		64	1.46		3084	70.44		4378
	FOURTH			4	6.25		9	14.06					5	7.81					14	21.88		4	6.25		8	12.50			Excluded		20	31.25		64
		TOTAL		136	3.11		93	2.12					402	9.18					511	11.67		40	0.91		92	2.10					3104	70.90		4378
	FIFTH			13	14.13		7	7.61					2	2.17					16	17.39		10	10.87			Excluded					44	47.83		92
		TOTAL		149	3.40		100	2.28					404	9.23					527	12.04		50	1.14								3148	71.90		4378
	SIXTH			31	31.00			Excluded					11	11.00					13	13.00		6	6.00								39	39.00		100
		TOTAL		180	4.11								415	9.48					540	12.33		56	1.28								3187	72.80		4378
	SEVENTH			10	17.86								10	17.86					19	33.93			Excluded								17	30.36		56
		TOTAL		190	4.34								425	9.71					559	12.77											3204	73.18		4378
	EIGHTH				Excluded								140	73.68					32	16.84											18	9.47		190
		TOTAL											565	12.91					591	13.50											3222	73.60		4378
	NINTH												167	28.26						Excluded											424	71.74		591
		TOTAL											732	16.72																	3646	83.28		4378
																															Elected			
																																		
Cabramatta East                                                																																		
	FIRST			88	3.63		42	1.73		33	1.36		272	11.21		27	1.11		213	8.78		44	1.81		43	1.77		32	1.32		1632	67.27		2426
	SECOND			5	18.52		3	11.11		3	11.11		2	7.41			Excluded		5	18.52		3	11.11		1	3.70		3	11.11		2	7.41		27
		TOTAL		93	3.83		45	1.85		36	1.48		274	11.29					218	8.99		47	1.94		44	1.81		35	1.44		1634	67.35		2426
	THIRD			6	16.67		6	16.67			Excluded		11	30.56					3	8.33		2	5.56		4	11.11		2	5.56		2	5.56		36
		TOTAL		99	4.08		51	2.10					285	11.75					221	9.11		49	2.02		48	1.98		37	1.53		1636	67.44		2426
	FOURTH			2	5.41		6	16.22					5	13.51					4	10.81		1	2.70		2	5.41			Excluded		17	45.95		37
		TOTAL		101	4.16		57	2.35					290	11.95					225	9.27		50	2.06		50	2.06					1653	68.14		2426
	FIFTH			8	16.00		8	16.00					5	10.00					4	8.00		3	6.00			Excluded					22	44.00		50
		TOTAL		109	4.49		65	2.68					295	12.16					229	9.44		53	2.18								1675	69.04		2426
	SIXTH			21	32.31			Excluded					7	10.77					12	18.46		12	18.46								13	20.00		65
		TOTAL		130	5.36								302	12.45					241	9.93		65	2.68								1688	69.58		2426
	SEVENTH			16	24.62								16	24.62					9	13.85			Excluded								24	36.92		65
		TOTAL		146	6.02								318	13.11					250	10.31											1712	70.57		2426
	EIGHTH				Excluded								97	66.44					28	19.18											21	14.38		146
		TOTAL											415	17.11					278	11.46											1733	71.43		2426
	NINTH												84	30.22						Excluded											194	69.78		278
		TOTAL											499	20.57																	1927	79.43		2426
																															Elected			
																																		
Cabramatta High                                                																																		
	FIRST			62	2.91		36	1.69		19	0.89		277	13.00		15	0.70		228	10.70		30	1.41		36	1.69		19	0.89		1408	66.10		2130
	SECOND			3	20.00		1	6.67		1	6.67		1	6.67			Excluded		0	0.00		2	13.33		1	6.67		3	20.00		3	20.00		15
		TOTAL		65	3.05		37	1.74		20	0.94		278	13.05					228	10.70		32	1.50		37	1.74		22	1.03		1411	66.24		2130
	THIRD			2	10.00		2	10.00			Excluded		3	15.00					1	5.00		3	15.00		2	10.00		5	25.00		2	10.00		20
		TOTAL		67	3.15		39	1.83					281	13.19					229	10.75		35	1.64		39	1.83		27	1.27		1413	66.34		2130
	FOURTH			0	0.00		8	29.63					1	3.70					2	7.41		1	3.70		6	22.22			Excluded		9	33.33		27
		TOTAL		67	3.15		47	2.21					282	13.24					231	10.85		36	1.69		45	2.11					1422	66.76		2130
	FIFTH			8	17.78		4	8.89					5	11.11					5	11.11		2	4.44			Excluded					21	46.67		45
		TOTAL		75	3.52		51	2.39					287	13.47					236	11.08		38	1.78								1443	67.75		2130
	SIXTH			16	31.37			Excluded					8	15.69					9	17.65		2	3.92								16	31.37		51
		TOTAL		91	4.27								295	13.85					245	11.50		40	1.88								1459	68.50		2130
	SEVENTH			8	20.00								17	42.50					7	17.50			Excluded								8	20.00		40
		TOTAL		99	4.65								312	14.65					252	11.83											1467	68.87		2130
	EIGHTH				Excluded								71	71.72					17	17.17											11	11.11		99
		TOTAL											383	17.98					269	12.63											1478	69.39		2130
	NINTH												70	26.02						Excluded											199	73.98		269
		TOTAL											453	21.27																	1677	78.73		2130
																															Elected			
																																		
Cabramatta West                                                																																		
	FIRST			62	3.88		44	2.75		34	2.13		258	16.15		14	0.88		123	7.70		45	2.82		33	2.07		37	2.32		948	59.32		1598
	SECOND			1	7.14		1	7.14		1	7.14		3	21.43			Excluded		1	7.14		4	28.57		1	7.14		1	7.14		1	7.14		14
		TOTAL		63	3.94		45	2.82		35	2.19		261	16.33					124	7.76		49	3.07		34	2.13		38	2.38		949	59.39		1598
	THIRD			4	11.43		4	11.43			Excluded		15	42.86					2	5.71		4	11.43		3	8.57		2	5.71		1	2.86		35
		TOTAL		67	4.19		49	3.07					276	17.27					126	7.88		53	3.32		37	2.32		40	2.50		950	59.45		1598
	FOURTH			1	2.50		11	27.50					4	10.00					8	20.00		2	5.00		2	5.00			Excluded		12	30.00		40
		TOTAL		68	4.26		60	3.75					280	17.52					134	8.39		55	3.44		39	2.44					962	60.20		1598
	FIFTH			7	17.95		5	12.82					4	10.26					3	7.69		2	5.13			Excluded					18	46.15		39
		TOTAL		75	4.69		65	4.07					284	17.77					137	8.57		57	3.57								980	61.33		1598
	SIXTH			12	18.46			Excluded					19	29.23					9	13.85		6	9.23								19	29.23		65
		TOTAL		87	5.44								303	18.96					146	9.14		63	3.94								999	62.52		1598
	SEVENTH			17	26.98								19	30.16					10	15.87			Excluded								17	26.98		63
		TOTAL		104	6.51								322	20.15					156	9.76											1016	63.58		1598
	EIGHTH				Excluded								78	75.00					14	13.46											12	11.54		104
		TOTAL											400	25.03					170	10.64											1028	64.33		1598
	NINTH												46	27.06						Excluded											124	72.94		170
		TOTAL											446	27.91																	1152	72.09		1598
																															Elected			
																																		
Canley Heights                                                 																																		
	FIRST			97	3.16		65	2.12		39	1.27		483	15.73		32	1.04		215	7.00		101	3.29		64	2.08		46	1.50		1929	62.81		3071
	SECOND			4	12.50		1	3.13		1	3.13		3	9.38			Excluded		6	18.75		4	12.50		6	18.75		1	3.13		6	18.75		32
		TOTAL		101	3.29		66	2.15		40	1.30		486	15.83					221	7.20		105	3.42		70	2.28		47	1.53		1935	63.01		3071
	THIRD			3	7.50		3	7.50			Excluded		18	45.00					1	2.50		4	10.00		5	12.50		3	7.50		3	7.50		40
		TOTAL		104	3.39		69	2.25					504	16.41					222	7.23		109	3.55		75	2.44		50	1.63		1938	63.11		3071
	FOURTH			2	4.00		14	28.00					4	8.00					4	8.00		4	8.00		7	14.00			Excluded		15	30.00		50
		TOTAL		106	3.45		83	2.70					508	16.54					226	7.36		113	3.68		82	2.67					1953	63.59		3071
	FIFTH			3	3.66		7	8.54					7	8.54					7	8.54		14	17.07			Excluded					44	53.66		82
		TOTAL		109	3.55		90	2.93					515	16.77					233	7.59		127	4.14								1997	65.03		3071
	SIXTH			15	16.67			Excluded					15	16.67					17	18.89		11	12.22								32	35.56		90
		TOTAL		124	4.04								530	17.26					250	8.14		138	4.49								2029	66.07		3071
	SEVENTH			40	28.99								48	34.78					17	12.32			Excluded								33	23.91		138
		TOTAL		164	5.34								578	18.82					267	8.69											2062	67.14		3071
	EIGHTH				Excluded								136	82.93					15	9.15											13	7.93		164
		TOTAL											714	23.25					282	9.18											2075	67.57		3071
	NINTH												98	34.75						Excluded											184	65.25		282
		TOTAL											812	26.44																	2259	73.56		3071
																															Elected			
																																		
Canley Vale                                                    																																		
	FIRST			100	3.96		47	1.86		39	1.54		268	10.61		24	0.95		290	11.48		28	1.11		39	1.54		29	1.15		1662	65.80		2526
	SECOND			3	12.50		3	12.50		3	12.50		3	12.50			Excluded		2	8.33		3	12.50		3	12.50		0	0.00		4	16.67		24
		TOTAL		103	4.08		50	1.98		42	1.66		271	10.73					292	11.56		31	1.23		42	1.66		29	1.15		1666	65.95		2526
	THIRD			5	11.90		5	11.90			Excluded		12	28.57					7	16.67		4	9.52		3	7.14		0	0.00		6	14.29		42
		TOTAL		108	4.28		55	2.18					283	11.20					299	11.84		35	1.39		45	1.78		29	1.15		1672	66.19		2526
	FOURTH			1	3.45		5	17.24					4	13.79					1	3.45		0	0.00		2	6.90			Excluded		16	55.17		29
		TOTAL		109	4.32		60	2.38					287	11.36					300	11.88		35	1.39		47	1.86					1688	66.83		2526
	FIFTH			6	12.77		6	12.77					4	8.51					8	17.02		2	4.26			Excluded					21	44.68		47
		TOTAL		115	4.55		66	2.61					291	11.52					308	12.19		37	1.46								1709	67.66		2526
	SIXTH			32	48.48			Excluded					12	18.18					6	9.09		4	6.06								12	18.18		66
		TOTAL		147	5.82								303	12.00					314	12.43		41	1.62								1721	68.13		2526
	SEVENTH			6	14.63								11	26.83					13	31.71			Excluded								11	26.83		41
		TOTAL		153	6.06								314	12.43					327	12.95											1732	68.57		2526
	EIGHTH				Excluded								114	74.51					19	12.42											20	13.07		153
		TOTAL											428	16.94					346	13.70											1752	69.36		2526
	NINTH												122	35.26						Excluded											224	64.74		346
		TOTAL											550	21.77																	1976	78.23		2526
																															Elected			
																																		
Canley Vale High                                               																																		
	FIRST			3	0.85		10	2.82		4	1.13		62	17.46		3	0.85		24	6.76		14	3.94		8	2.25		11	3.10		216	60.85		355
	SECOND			0	0.00		2	66.67		0	0.00		0	0.00			Excluded		1	33.33		0	0.00		0	0.00		0	0.00		0	0.00		3
		TOTAL		3	0.85		12	3.38		4	1.13		62	17.46					25	7.04		14	3.94		8	2.25		11	3.10		216	60.85		355
	THIRD			0	0.00		0	0.00			Excluded		0	0.00					2	50.00		0	0.00		1	25.00		0	0.00		1	25.00		4
		TOTAL		3	0.85		12	3.38					62	17.46					27	7.61		14	3.94		9	2.54		11	3.10		217	61.13		355
	FOURTH			0	0.00		4	36.36					1	9.09					0	0.00		1	9.09		3	27.27			Excluded		2	18.18		11
		TOTAL		3	0.85		16	4.51					63	17.75					27	7.61		15	4.23		12	3.38					219	61.69		355
	FIFTH			1	8.33		1	8.33					0	0.00					1	8.33		1	8.33			Excluded					8	66.67		12
		TOTAL		4	1.13		17	4.79					63	17.75					28	7.89		16	4.51								227	63.94		355
	SIXTH			7	41.18			Excluded					2	11.76					4	23.53		0	0.00								4	23.53		17
		TOTAL		11	3.10								65	18.31					32	9.01		16	4.51								231	65.07		355
	SEVENTH			6	37.50								2	12.50					1	6.25			Excluded								7	43.75		16
		TOTAL		17	4.79								67	18.87					33	9.30											238	67.04		355
	EIGHTH				Excluded								10	58.82					2	11.76											5	29.41		17
		TOTAL											77	21.69					35	9.86											243	68.45		355
	NINTH												6	17.14						Excluded											29	82.86		35
		TOTAL											83	23.38																	272	76.62		355
																															Elected			
																																		
Cartwright (Fowler)                                            																																		
	FIRST			18	2.66		12	1.78		11	1.63		134	19.82		13	1.92		6	0.89		35	5.18		12	1.78		16	2.37		419	61.98		676
	SECOND			0	0.00		2	15.38		0	0.00		2	15.38			Excluded		1	7.69		3	23.08		1	7.69		1	7.69		3	23.08		13
		TOTAL		18	2.66		14	2.07		11	1.63		136	20.12					7	1.04		38	5.62		13	1.92		17	2.51		422	62.43		676
	THIRD			1	9.09		2	18.18			Excluded		2	18.18					0	0.00		1	9.09		2	18.18		0	0.00		3	27.27		11
		TOTAL		19	2.81		16	2.37					138	20.41					7	1.04		39	5.77		15	2.22		17	2.51		425	62.87		676
	FOURTH			1	5.88		5	29.41					1	5.88					0	0.00		0	0.00		2	11.76			Excluded		8	47.06		17
		TOTAL		20	2.96		21	3.11					139	20.56					7	1.04		39	5.77		17	2.51					433	64.05		676
	FIFTH			1	5.88		2	11.76					2	11.76					2	11.76		2	11.76			Excluded					8	47.06		17
		TOTAL		21	3.11		23	3.40					141	20.86					9	1.33		41	6.07								441	65.24		676
	SIXTH			8	34.78			Excluded					1	4.35					2	8.70		3	13.04								9	39.13		23
		TOTAL		29	4.29								142	21.01					11	1.63		44	6.51								450	66.57		676
	SEVENTH			6	13.64								13	29.55					8	18.18			Excluded								17	38.64		44
		TOTAL		35	5.18								155	22.93					19	2.81											467	69.08		676
	EIGHTH				Excluded								18	51.43					13	37.14											4	11.43		35
		TOTAL											173	25.59					32	4.73											471	69.67		676
	NINTH												24	75.00						Excluded											8	25.00		32
		TOTAL											197	29.14																	479	70.86		676
																															Elected			
																																		
Edensor Park                                                   																																		
	FIRST			84	3.49		53	2.20		66	2.74		611	25.35		42	1.74		108	4.48		63	2.61		42	1.74		71	2.95		1270	52.70		2410
	SECOND			4	9.52		6	14.29		6	14.29		5	11.90			Excluded		3	7.14		4	9.52		10	23.81		3	7.14		1	2.38		42
		TOTAL		88	3.65		59	2.45		72	2.99		616	25.56					111	4.61		67	2.78		52	2.16		74	3.07		1271	52.74		2410
	THIRD			5	6.94		10	13.89			Excluded		24	33.33					1	1.39		4	5.56		12	16.67		8	11.11		8	11.11		72
		TOTAL		93	3.86		69	2.86					640	26.56					112	4.65		71	2.95		64	2.66		82	3.40		1279	53.07		2410
	FOURTH			2	2.44		11	13.41					15	18.29					4	4.88		2	2.44		12	14.63			Excluded		36	43.90		82
		TOTAL		95	3.94		80	3.32					655	27.18					116	4.81		73	3.03		76	3.15					1315	54.56		2410
	FIFTH			5	6.58		7	9.21					10	13.16					7	9.21		8	10.53			Excluded					39	51.32		76
		TOTAL		100	4.15		87	3.61					665	27.59					123	5.10		81	3.36								1354	56.18		2410
	SIXTH			22	25.29			Excluded					20	22.99					8	9.20		10	11.49								27	31.03		87
		TOTAL		122	5.06								685	28.42					131	5.44		91	3.78								1381	57.30		2410
	SEVENTH			22	24.18								29	31.87					12	13.19			Excluded								28	30.77		91
		TOTAL		144	5.98								714	29.63					143	5.93											1409	58.46		2410
	EIGHTH				Excluded								102	70.83					26	18.06											16	11.11		144
		TOTAL											816	33.86					169	7.01											1425	59.13		2410
	NINTH												73	43.20						Excluded											96	56.80		169
		TOTAL											889	36.89																	1521	63.11		2410
																															Elected			
																																		
Fairfield East (Fowler)                                        																																		
	FIRST			21	4.95		9	2.12		7	1.65		84	19.81		5	1.18		22	5.19		11	2.59		9	2.12		7	1.65		249	58.73		424
	SECOND			0	0.00		1	20.00		2	40.00		1	20.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		1	20.00		5
		TOTAL		21	4.95		10	2.36		9	2.12		85	20.05					22	5.19		11	2.59		9	2.12		7	1.65		250	58.96		424
	THIRD			0	0.00		2	22.22			Excluded		4	44.44					0	0.00		1	11.11		1	11.11		0	0.00		1	11.11		9
		TOTAL		21	4.95		12	2.83					89	20.99					22	5.19		12	2.83		10	2.36		7	1.65		251	59.20		424
	FOURTH			0	0.00		1	14.29					0	0.00					2	28.57		0	0.00		1	14.29			Excluded		3	42.86		7
		TOTAL		21	4.95		13	3.07					89	20.99					24	5.66		12	2.83		11	2.59					254	59.91		424
	FIFTH			1	9.09		1	9.09					2	18.18					1	9.09		2	18.18			Excluded					4	36.36		11
		TOTAL		22	5.19		14	3.30					91	21.46					25	5.90		14	3.30								258	60.85		424
	SIXTH			2	14.29			Excluded					4	28.57					5	35.71		0	0.00								3	21.43		14
		TOTAL		24	5.66								95	22.41					30	7.08		14	3.30								261	61.56		424
	SEVENTH			2	14.29								3	21.43					4	28.57			Excluded								5	35.71		14
		TOTAL		26	6.13								98	23.11					34	8.02											266	62.74		424
	EIGHTH				Excluded								21	80.77					1	3.85											4	15.38		26
		TOTAL											119	28.07					35	8.25											270	63.68		424
	NINTH												12	34.29						Excluded											23	65.71		35
		TOTAL											131	30.90																	293	69.10		424
																															Elected			
																																		
Harrington Street                                              																																		
	FIRST			90	3.10		69	2.38		26	0.90		552	19.03		20	0.69		158	5.45		109	3.76		47	1.62		52	1.79		1777	61.28		2900
	SECOND			1	5.00		5	25.00		0	0.00		3	15.00			Excluded		3	15.00		1	5.00		3	15.00		1	5.00		3	15.00		20
		TOTAL		91	3.14		74	2.55		26	0.90		555	19.14					161	5.55		110	3.79		50	1.72		53	1.83		1780	61.38		2900
	THIRD			1	3.85		5	19.23			Excluded		10	38.46					4	15.38		0	0.00		1	3.85		0	0.00		5	19.23		26
		TOTAL		92	3.17		79	2.72					565	19.48					165	5.69		110	3.79		51	1.76		53	1.83		1785	61.55		2900
	FOURTH			2	3.77		8	15.09					5	9.43					2	3.77		4	7.55		4	7.55			Excluded		28	52.83		53
		TOTAL		94	3.24		87	3.00					570	19.66					167	5.76		114	3.93		55	1.90					1813	62.52		2900
	FIFTH			2	3.64		9	16.36					6	10.91					10	18.18		4	7.27			Excluded					24	43.64		55
		TOTAL		96	3.31		96	3.31					576	19.86					177	6.10		118	4.07								1837	63.34		2900
	SIXTH			28	29.17			Excluded					20	20.83					16	16.67		6	6.25								26	27.08		96
		TOTAL		124	4.28								596	20.55					193	6.66		124	4.28								1863	64.24		2900
	SEVENTH			60	48.39								21	16.94					8	6.45			Excluded								35	28.23		124
		TOTAL		184	6.34								617	21.28					201	6.93											1898	65.45		2900
	EIGHTH				Excluded								146	79.35					20	10.87											18	9.78		184
		TOTAL											763	26.31					221	7.62											1916	66.07		2900
	NINTH												71	32.13						Excluded											150	67.87		221
		TOTAL											834	28.76																	2066	71.24		2900
																															Elected			
																																		
Heckenberg                                                     																																		
	FIRST			38	2.33		27	1.66		37	2.27		277	16.98		25	1.53		30	1.84		79	4.84		35	2.15		32	1.96		1051	64.44		1631
	SECOND			2	8.00		1	4.00		1	4.00		3	12.00			Excluded		0	0.00		10	40.00		4	16.00		1	4.00		3	12.00		25
		TOTAL		40	2.45		28	1.72		38	2.33		280	17.17					30	1.84		89	5.46		39	2.39		33	2.02		1054	64.62		1631
	THIRD			4	10.53		2	5.26			Excluded		15	39.47					1	2.63		5	13.16		2	5.26		2	5.26		7	18.42		38
		TOTAL		44	2.70		30	1.84					295	18.09					31	1.90		94	5.76		41	2.51		35	2.15		1061	65.05		1631
	FOURTH			2	5.71		7	20.00					7	20.00					3	8.57		3	8.57		4	11.43			Excluded		9	25.71		35
		TOTAL		46	2.82		37	2.27					302	18.52					34	2.08		97	5.95		45	2.76					1070	65.60		1631
	FIFTH			6	13.33		6	13.33					6	13.33					2	4.44		9	20.00			Excluded					16	35.56		45
		TOTAL		52	3.19		43	2.64					308	18.88					36	2.21		106	6.50								1086	66.58		1631
	SIXTH			13	30.23			Excluded					6	13.95					10	23.26		5	11.63								9	20.93		43
		TOTAL		65	3.99								314	19.25					46	2.82		111	6.81								1095	67.14		1631
	SEVENTH			32	28.83								32	28.83					10	9.01			Excluded								37	33.33		111
		TOTAL		97	5.95								346	21.21					56	3.43											1132	69.41		1631
	EIGHTH				Excluded								62	63.92					18	18.56											17	17.53		97
		TOTAL											408	25.02					74	4.54											1149	70.45		1631
	NINTH												21	28.38						Excluded											53	71.62		74
		TOTAL											429	26.30																	1202	73.70		1631
																															Elected			
																																		
James Busby (Fowler)                                           																																		
	FIRST			60	3.48		52	3.01		25	1.45		356	20.63		19	1.10		24	1.39		104	6.03		30	1.74		36	2.09		1020	59.10		1726
	SECOND			1	5.26		0	0.00		3	15.79		3	15.79			Excluded		4	21.05		4	21.05		4	21.05		0	0.00		0	0.00		19
		TOTAL		61	3.53		52	3.01		28	1.62		359	20.80					28	1.62		108	6.26		34	1.97		36	2.09		1020	59.10		1726
	THIRD			2	7.14		2	7.14			Excluded		10	35.71					3	10.71		3	10.71		5	17.86		0	0.00		3	10.71		28
		TOTAL		63	3.65		54	3.13					369	21.38					31	1.80		111	6.43		39	2.26		36	2.09		1023	59.27		1726
	FOURTH			2	5.56		8	22.22					4	11.11					1	2.78		3	8.33		6	16.67			Excluded		12	33.33		36
		TOTAL		65	3.77		62	3.59					373	21.61					32	1.85		114	6.60		45	2.61					1035	59.97		1726
