House of Representatives - 2001 Election: New South Wales																													
Distribution of Preferences																													
By Polling Place																													
																													
Grayndler																													
				BAIRD			O'CONNOR			JOHNSON			ALBANESE			KENWORTHY			HALE			WAN			HERDEN				
	SIXTH				Excluded								39	42.39		10	10.87		43	46.74								92	
		TOTAL											672	57.14		358	30.44		146	12.41								1176	
	SEVENTH												120	82.19		26	17.81			Excluded								146	
		TOTAL											792	67.35		384	32.65											1176	
													Elected																
																													
Ashfield North (Grayndler)                                     																													
	FIRST			66	7.20		26	2.84		20	2.18		437	47.66		263	28.68		73	7.96		16	1.74		16	1.74		917	
	SECOND			1	6.25		1	6.25		0	0.00		0	0.00		11	68.75		1	6.25		2	12.50			Excluded		16	
		TOTAL		67	7.31		27	2.94		20	2.18		437	47.66		274	29.88		74	8.07		18	1.96					917	
	THIRD			5	25.00		2	10.00			Excluded		1	5.00		0	0.00		11	55.00		1	5.00					20	
		TOTAL		72	7.85		29	3.16					438	47.76		274	29.88		85	9.27		19	2.07					917	
	FOURTH			3	15.79		0	0.00					6	31.58		1	5.26		9	47.37			Excluded					19	
		TOTAL		75	8.18		29	3.16					444	48.42		275	29.99		94	10.25								917	
	FIFTH			8	27.59			Excluded					3	10.34		13	44.83		5	17.24								29	
		TOTAL		83	9.05								447	48.75		288	31.41		99	10.80								917	
	SIXTH				Excluded								38	45.78		11	13.25		34	40.96								83	
		TOTAL											485	52.89		299	32.61		133	14.50								917	
	SEVENTH												100	75.19		33	24.81			Excluded								133	
		TOTAL											585	63.79		332	36.21											917	
													Elected																
																													
Camdenville                                                    																													
	FIRST			137	11.87		25	2.17		12	1.04		509	44.11		214	18.54		242	20.97		8	0.69		7	0.61		1154	
	SECOND			0	0.00		1	14.29		0	0.00		0	0.00		2	28.57		1	14.29		3	42.86			Excluded		7	
		TOTAL		137	11.87		26	2.25		12	1.04		509	44.11		216	18.72		243	21.06		11	0.95					1154	
	THIRD			2	16.67		1	8.33			Excluded		4	33.33		1	8.33		4	33.33		0	0.00					12	
		TOTAL		139	12.05		27	2.34					513	44.45		217	18.80		247	21.40		11	0.95					1154	
	FOURTH			0	0.00		0	0.00					2	18.18		2	18.18		7	63.64			Excluded					11	
		TOTAL		139	12.05		27	2.34					515	44.63		219	18.98		254	22.01								1154	
	FIFTH			7	25.93			Excluded					13	48.15		7	25.93		0	0.00								27	
		TOTAL		146	12.65								528	45.75		226	19.58		254	22.01								1154	
	SIXTH				Excluded								61	41.78		15	10.27		70	47.95								146	
		TOTAL											589	51.04		241	20.88		324	28.08								1154	
	SEVENTH												276	85.19		48	14.81			Excluded								324	
		TOTAL											865	74.96		289	25.04											1154	
													Elected																
																													
Camperdown                                                     																													
	FIRST			51	12.26		11	2.64		6	1.44		193	46.39		68	16.35		80	19.23		6	1.44		1	0.24		416	
	SECOND			0	0.00		0	0.00		0	0.00		1	100.00		0	0.00		0	0.00		0	0.00			Excluded		1	
		TOTAL		51	12.26		11	2.64		6	1.44		194	46.63		68	16.35		80	19.23		6	1.44					416	
	THIRD			1	16.67		0	0.00			Excluded		2	33.33		1	16.67		2	33.33		0	0.00					6	
		TOTAL		52	12.50		11	2.64					196	47.12		69	16.59		82	19.71		6	1.44					416	
	FOURTH			1	16.67		0	0.00					0	0.00		0	0.00		5	83.33			Excluded					6	
		TOTAL		53	12.74		11	2.64					196	47.12		69	16.59		87	20.91								416	
	FIFTH			4	36.36			Excluded					1	9.09		3	27.27		3	27.27								11	
		TOTAL		57	13.70								197	47.36		72	17.31		90	21.63								416	
	SIXTH				Excluded								28	49.12		5	8.77		24	42.11								57	
		TOTAL											225	54.09		77	18.51		114	27.40								416	
	SEVENTH												104	91.23		10	8.77			Excluded								114	
		TOTAL											329	79.09		87	20.91											416	
													Elected																
																													
Camperdown South                                               																													
	FIRST			259	13.45		25	1.30		42	2.18		793	41.19		295	15.32		481	24.99		20	1.04		10	0.52		1925	
	SECOND			0	0.00		1	10.00		0	0.00		0	0.00		5	50.00		1	10.00		3	30.00			Excluded		10	
		TOTAL		259	13.45		26	1.35		42	2.18		793	41.19		300	15.58		482	25.04		23	1.19					1925	
	THIRD			1	2.38		0	0.00			Excluded		5	11.90		1	2.38		32	76.19		3	7.14					42	
		TOTAL		260	13.51		26	1.35					798	41.45		301	15.64		514	26.70		26	1.35					1925	
	FOURTH			5	19.23		0	0.00					6	23.08		2	7.69		13	50.00			Excluded					26	
		TOTAL		265	13.77		26	1.35					804	41.77		303	15.74		527	27.38								1925	
	FIFTH			2	7.69			Excluded					8	30.77		12	46.15		4	15.38								26	
		TOTAL		267	13.87								812	42.18		315	16.36		531	27.58								1925	
	SIXTH				Excluded								78	29.21		20	7.49		169	63.30								267	
		TOTAL											890	46.23		335	17.40		700	36.36								1925	
	SEVENTH												630	90.00		70	10.00			Excluded								700	
		TOTAL											1520	78.96		405	21.04											1925	
													Elected																
																													
Canterbury North                                               																													
	FIRST			80	5.76		48	3.46		2	0.14		830	59.76		298	21.45		90	6.48		24	1.73		17	1.22		1389	
	SECOND			3	17.65		1	5.88		0	0.00		3	17.65		6	35.29		2	11.76		2	11.76			Excluded		17	
		TOTAL		83	5.98		49	3.53		2	0.14		833	59.97		304	21.89		92	6.62		26	1.87					1389	
	THIRD			1	50.00		1	50.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00					2	
		TOTAL		84	6.05		50	3.60					833	59.97		304	21.89		92	6.62		26	1.87					1389	
	FOURTH			3	11.54		0	0.00					15	57.69		3	11.54		5	19.23			Excluded					26	
		TOTAL		87	6.26		50	3.60					848	61.05		307	22.10		97	6.98								1389	
	FIFTH			6	12.00			Excluded					18	36.00		18	36.00		8	16.00								50	
		TOTAL		93	6.70								866	62.35		325	23.40		105	7.56								1389	
	SIXTH				Excluded								62	66.67		4	4.30		27	29.03								93	
		TOTAL											928	66.81		329	23.69		132	9.50								1389	
	SEVENTH												109	82.58		23	17.42			Excluded								132	
		TOTAL											1037	74.66		352	25.34											1389	
													Elected																
																													
Dulwich Hill                                                   																													
	FIRST			165	8.01		35	1.70		34	1.65		1138	55.24		418	20.29		216	10.49		40	1.94		14	0.68		2060	
	SECOND			2	14.29		0	0.00		0	0.00		4	28.57		4	28.57		2	14.29		2	14.29			Excluded		14	
		TOTAL		167	8.11		35	1.70		34	1.65		1142	55.44		422	20.49		218	10.58		42	2.04					2060	
	THIRD			7	20.59		3	8.82			Excluded		9	26.47		1	2.94		11	32.35		3	8.82					34	
		TOTAL		174	8.45		38	1.84					1151	55.87		423	20.53		229	11.12		45	2.18					2060	
	FOURTH			12	26.67		3	6.67					11	24.44		4	8.89		15	33.33			Excluded					45	
		TOTAL		186	9.03		41	1.99					1162	56.41		427	20.73		244	11.84								2060	
	FIFTH			12	29.27			Excluded					8	19.51		15	36.59		6	14.63								41	
		TOTAL		198	9.61								1170	56.80		442	21.46		250	12.14								2060	
	SIXTH				Excluded								90	45.45		23	11.62		85	42.93								198	
		TOTAL											1260	61.17		465	22.57		335	16.26								2060	
	SEVENTH												287	85.67		48	14.33			Excluded								335	
		TOTAL											1547	75.10		513	24.90											2060	
													Elected																
																													
Dulwich Hill West                                              																													
	FIRST			75	7.61		11	1.12		8	0.81		560	56.80		208	21.10		108	10.95		7	0.71		9	0.91		986	
	SECOND			1	11.11		1	11.11		0	0.00		2	22.22		3	33.33		0	0.00		2	22.22			Excluded		9	
		TOTAL		76	7.71		12	1.22		8	0.81		562	57.00		211	21.40		108	10.95		9	0.91					986	
	THIRD			1	12.50		1	12.50			Excluded		2	25.00		1	12.50		2	25.00		1	12.50					8	
		TOTAL		77	7.81		13	1.32					564	57.20		212	21.50		110	11.16		10	1.01					986	
	FOURTH			1	10.00		1	10.00					3	30.00		0	0.00		5	50.00			Excluded					10	
		TOTAL		78	7.91		14	1.42					567	57.51		212	21.50		115	11.66								986	
	FIFTH			6	42.86			Excluded					6	42.86		1	7.14		1	7.14								14	
		TOTAL		84	8.52								573	58.11		213	21.60		116	11.76								986	
	SIXTH				Excluded								32	38.10		16	19.05		36	42.86								84	
		TOTAL											605	61.36		229	23.23		152	15.42								986	
	SEVENTH												135	88.82		17	11.18			Excluded								152	
		TOTAL											740	75.05		246	24.95											986	
													Elected																
																													
Enmore                                                         																													
	FIRST			256	12.85		31	1.56		46	2.31		896	44.98		361	18.12		365	18.32		21	1.05		16	0.80		1992	
	SECOND			4	25.00		1	6.25		0	0.00		2	12.50		4	25.00		3	18.75		2	12.50			Excluded		16	
		TOTAL		260	13.05		32	1.61		46	2.31		898	45.08		365	18.32		368	18.47		23	1.15					1992	
	THIRD			4	8.70		5	10.87			Excluded		4	8.70		2	4.35		27	58.70		4	8.70					46	
		TOTAL		264	13.25		37	1.86					902	45.28		367	18.42		395	19.83		27	1.36					1992	
	FOURTH			3	11.11		0	0.00					9	33.33		3	11.11		12	44.44			Excluded					27	
		TOTAL		267	13.40		37	1.86					911	45.73		370	18.57		407	20.43								1992	
	FIFTH			9	24.32			Excluded					6	16.22		17	45.95		5	13.51								37	
		TOTAL		276	13.86								917	46.03		387	19.43		412	20.68								1992	
	SIXTH				Excluded								109	39.49		24	8.70		143	51.81								276	
		TOTAL											1026	51.51		411	20.63		555	27.86								1992	
	SEVENTH												489	88.11		66	11.89			Excluded								555	
		TOTAL											1515	76.05		477	23.95											1992	
													Elected																
																													
Hurlstone Park                                                 																													
	FIRST			148	7.88		25	1.33		25	1.33		1065	56.68		422	22.46		158	8.41		19	1.01		17	0.90		1879	
	SECOND			4	23.53		0	0.00		1	5.88		1	5.88		6	35.29		4	23.53		1	5.88			Excluded		17	
		TOTAL		152	8.09		25	1.33		26	1.38		1066	56.73		428	22.78		162	8.62		20	1.06					1879	
	THIRD			2	7.69		4	15.38			Excluded		3	11.54		2	7.69		14	53.85		1	3.85					26	
		TOTAL		154	8.20		29	1.54					1069	56.89		430	22.88		176	9.37		21	1.12					1879	
	FOURTH			5	23.81		0	0.00					10	47.62		1	4.76		5	23.81			Excluded					21	
		TOTAL		159	8.46		29	1.54					1079	57.42		431	22.94		181	9.63								1879	
	FIFTH			9	31.03			Excluded					7	24.14		9	31.03		4	13.79								29	
		TOTAL		168	8.94								1086	57.80		440	23.42		185	9.85								1879	
	SIXTH				Excluded								75	44.64		13	7.74		80	47.62								168	
		TOTAL											1161	61.79		453	24.11		265	14.10								1879	
	SEVENTH												223	84.15		42	15.85			Excluded								265	
		TOTAL											1384	73.66		495	26.34											1879	
													Elected																
																													
Kegworth                                                       																													
	FIRST			123	8.70		26	1.84		16	1.13		690	48.83		357	25.27		182	12.88		12	0.85		7	0.50		1413	
	SECOND			0	0.00		3	42.86		0	0.00		2	28.57		1	14.29		0	0.00		1	14.29			Excluded		7	
		TOTAL		123	8.70		29	2.05		16	1.13		692	48.97		358	25.34		182	12.88		13	0.92					1413	
	THIRD			1	6.25		2	12.50			Excluded		8	50.00		1	6.25		4	25.00		0	0.00					16	
		TOTAL		124	8.78		31	2.19					700	49.54		359	25.41		186	13.16		13	0.92					1413	
	FOURTH			4	30.77		0	0.00					2	15.38		0	0.00		7	53.85			Excluded					13	
		TOTAL		128	9.06		31	2.19					702	49.68		359	25.41		193	13.66								1413	
	FIFTH			7	22.58			Excluded					6	19.35		9	29.03		9	29.03								31	
		TOTAL		135	9.55								708	50.11		368	26.04		202	14.30								1413	
	SIXTH				Excluded								58	42.96		17	12.59		60	44.44								135	
		TOTAL											766	54.21		385	27.25		262	18.54								1413	
	SEVENTH												215	82.06		47	17.94			Excluded								262	
		TOTAL											981	69.43		432	30.57											1413	
													Elected																
																													
Leichhardt                                                     																													
	FIRST			365	11.26		37	1.14		48	1.48		1388	42.81		880	27.14		474	14.62		27	0.83		23	0.71		3242	
	SECOND			4	17.39		1	4.35		2	8.70		1	4.35		4	17.39		3	13.04		8	34.78			Excluded		23	
		TOTAL		369	11.38		38	1.17		50	1.54		1389	42.84		884	27.27		477	14.71		35	1.08					3242	
	THIRD			7	14.00		3	6.00			Excluded		7	14.00		2	4.00		27	54.00		4	8.00					50	
		TOTAL		376	11.60		41	1.26					1396	43.06		886	27.33		504	15.55		39	1.20					3242	
	FOURTH			6	15.38		1	2.56					13	33.33		1	2.56		18	46.15			Excluded					39	
		TOTAL		382	11.78		42	1.30					1409	43.46		887	27.36		522	16.10								3242	
	FIFTH			8	19.05			Excluded					8	19.05		17	40.48		9	21.43								42	
		TOTAL		390	12.03								1417	43.71		904	27.88		531	16.38								3242	
	SIXTH				Excluded								142	36.41		45	11.54		203	52.05								390	
		TOTAL											1559	48.09		949	29.27		734	22.64								3242	
	SEVENTH												601	81.88		133	18.12			Excluded								734	
		TOTAL											2160	66.63		1082	33.37											3242	
													Elected																
																													
Leichhardt East                                                																													
	FIRST			139	10.89		36	2.82		6	0.47		568	44.51		366	28.68		154	12.07		4	0.31		3	0.24		1276	
	SECOND			1	33.33		0	0.00		0	0.00		0	0.00		2	66.67		0	0.00		0	0.00			Excluded		3	
		TOTAL		140	10.97		36	2.82		6	0.47		568	44.51		368	28.84		154	12.07		4	0.31					1276	
	THIRD			1	16.67		3	50.00			Excluded		1	16.67		0	0.00		1	16.67		0	0.00					6	
		TOTAL		141	11.05		39	3.06					569	44.59		368	28.84		155	12.15		4	0.31					1276	
	FOURTH			0	0.00		0	0.00					3	75.00		1	25.00		0	0.00			Excluded					4	
		TOTAL		141	11.05		39	3.06					572	44.83		369	28.92		155	12.15								1276	
	FIFTH			7	17.95			Excluded					15	38.46		11	28.21		6	15.38								39	
		TOTAL		148	11.60								587	46.00		380	29.78		161	12.62								1276	
	SIXTH				Excluded								58	39.19		17	11.49		73	49.32								148	
		TOTAL											645	50.55		397	31.11		234	18.34								1276	
	SEVENTH												198	84.62		36	15.38			Excluded								234	
		TOTAL											843	66.07		433	33.93											1276	
													Elected																
																													
Leichhardt South                                               																													
	FIRST			86	8.54		21	2.09		4	0.40		491	48.76		268	26.61		127	12.61		3	0.30		7	0.70		1007	
	SECOND			0	0.00		1	14.29		1	14.29		0	0.00		2	28.57		0	0.00		3	42.86			Excluded		7	
		TOTAL		86	8.54		22	2.18		5	0.50		491	48.76		270	26.81		127	12.61		6	0.60					1007	
	THIRD			0	0.00		0	0.00			Excluded		3	60.00		0	0.00		2	40.00		0	0.00					5	
		TOTAL		86	8.54		22	2.18					494	49.06		270	26.81		129	12.81		6	0.60					1007	
	FOURTH			1	16.67		0	0.00					0	0.00		1	16.67		4	66.67			Excluded					6	
		TOTAL		87	8.64		22	2.18					494	49.06		271	26.91		133	13.21								1007	
	FIFTH			4	18.18			Excluded					6	27.27		8	36.36		4	18.18								22	
		TOTAL		91	9.04								500	49.65		279	27.71		137	13.60								1007	
	SIXTH				Excluded								46	50.55		8	8.79		37	40.66								91	
		TOTAL											546	54.22		287	28.50		174	17.28								1007	
	SEVENTH												147	84.48		27	15.52			Excluded								174	
		TOTAL											693	68.82		314	31.18											1007	
													Elected																
																													
Lewisham                                                       																													
	FIRST			196	8.97		32	1.46		35	1.60		1105	50.55		466	21.32		290	13.27		24	1.10		38	1.74		2186	
	SECOND			4	10.53		3	7.89		2	5.26		5	13.16		15	39.47		6	15.79		3	7.89			Excluded		38	
		TOTAL		200	9.15		35	1.60		37	1.69		1110	50.78		481	22.00		296	13.54		27	1.24					2186	
	THIRD			8	21.62		2	5.41			Excluded		7	18.92		5	13.51		12	32.43		3	8.11					37	
		TOTAL		208	9.52		37	1.69					1117	51.10		486	22.23		308	14.09		30	1.37					2186	
	FOURTH			9	30.00		0	0.00					7	23.33		5	16.67		9	30.00			Excluded					30	
		TOTAL		217	9.93		37	1.69					1124	51.42		491	22.46		317	14.50								2186	
	FIFTH			12	32.43			Excluded					6	16.22		13	35.14		6	16.22								37	
		TOTAL		229	10.48								1130	51.69		504	23.06		323	14.78								2186	
	SIXTH				Excluded								109	47.60		26	11.35		94	41.05								229	
		TOTAL											1239	56.68		530	24.25		417	19.08								2186	
	SEVENTH												352	84.41		65	15.59			Excluded								417	
		TOTAL											1591	72.78		595	27.22											2186	
													Elected																
																													
Lilyfield                                                      																													
	FIRST			148	9.19		36	2.24		20	1.24		687	42.67		495	30.75		204	12.67		10	0.62		10	0.62		1610	
	SECOND			1	10.00		1	10.00		0	0.00		2	20.00		3	30.00		2	20.00		1	10.00			Excluded		10	
		TOTAL		149	9.25		37	2.30		20	1.24		689	42.80		498	30.93		206	12.80		11	0.68					1610	
	THIRD			3	15.00		5	25.00			Excluded		3	15.00		1	5.00		6	30.00		2	10.00					20	
		TOTAL		152	9.44		42	2.61					692	42.98		499	30.99		212	13.17		13	0.81					1610	
	FOURTH			1	7.69		0	0.00					5	38.46		0	0.00		7	53.85			Excluded					13	
		TOTAL		153	9.50		42	2.61					697	43.29		499	30.99		219	13.60								1610	
	FIFTH			12	28.57			Excluded					10	23.81		17	40.48		3	7.14								42	
		TOTAL		165	10.25								707	43.91		516	32.05		222	13.79								1610	
	SIXTH				Excluded								74	44.85		24	14.55		67	40.61								165	
		TOTAL											781	48.51		540	33.54		289	17.95								1610	
	SEVENTH												243	84.08		46	15.92			Excluded								289	
		TOTAL											1024	63.60		586	36.40											1610	
													Elected																
																													
Lilyfield North                                                																													
	FIRST			56	7.24		21	2.72		2	0.26		280	36.22		262	33.89		144	18.63		4	0.52		4	0.52		773	
	SECOND			1	25.00		1	25.00		0	0.00		1	25.00		1	25.00		0	0.00		0	0.00			Excluded		4	
		TOTAL		57	7.37		22	2.85		2	0.26		281	36.35		263	34.02		144	18.63		4	0.52					773	
	THIRD			1	50.00		0	0.00			Excluded		1	50.00		0	0.00		0	0.00		0	0.00					2	
		TOTAL		58	7.50		22	2.85					282	36.48		263	34.02		144	18.63		4	0.52					773	
	FOURTH			0	0.00		0	0.00					0	0.00		2	50.00		2	50.00			Excluded					4	
		TOTAL		58	7.50		22	2.85					282	36.48		265	34.28		146	18.89								773	
	FIFTH			8	36.36			Excluded					5	22.73		7	31.82		2	9.09								22	
		TOTAL		66	8.54								287	37.13		272	35.19		148	19.15								773	
	SIXTH				Excluded								22	33.33		10	15.15		34	51.52								66	
		TOTAL											309	39.97		282	36.48		182	23.54								773	
	SEVENTH												158	86.81		24	13.19			Excluded								182	
		TOTAL											467	60.41		306	39.59											773	
													Elected																
																													
Marrickville                                                   																													
	FIRST			216	6.67		34	1.05		52	1.60		2091	64.54		478	14.75		256	7.90		78	2.41		35	1.08		3240	
	SECOND			4	11.43		1	2.86		0	0.00		4	11.43		14	40.00		8	22.86		4	11.43			Excluded		35	
		TOTAL		220	6.79		35	1.08		52	1.60		2095	64.66		492	15.19		264	8.15		82	2.53					3240	
	THIRD			2	3.85		6	11.54			Excluded		8	15.38		8	15.38		25	48.08		3	5.77					52	
		TOTAL		222	6.85		41	1.27					2103	64.91		500	15.43		289	8.92		85	2.62					3240	
	FOURTH			21	24.71		2	2.35					23	27.06		6	7.06		33	38.82			Excluded					85	
		TOTAL		243	7.50		43	1.33					2126	65.62		506	15.62		322	9.94								3240	
	FIFTH			21	48.84			Excluded					7	16.28		6	13.95		9	20.93								43	
		TOTAL		264	8.15								2133	65.83		512	15.80		331	10.22								3240	
	SIXTH				Excluded								135	51.14		29	10.98		100	37.88								264	
		TOTAL											2268	70.00		541	16.70		431	13.30								3240	
	SEVENTH												360	83.53		71	16.47			Excluded								431	
		TOTAL											2628	81.11		612	18.89											3240	
													Elected																
																													
Marrickville Central                                           																													
	FIRST			85	6.70		33	2.60		11	0.87		729	57.45		234	18.44		144	11.35		25	1.97		8	0.63		1269	
	SECOND			0	0.00		0	0.00		0	0.00		1	12.50		4	50.00		1	12.50		2	25.00			Excluded		8	
		TOTAL		85	6.70		33	2.60		11	0.87		730	57.53		238	18.75		145	11.43		27	2.13					1269	
	THIRD			1	9.09		3	27.27			Excluded		0	0.00		3	27.27		4	36.36		0	0.00					11	
		TOTAL		86	6.78		36	2.84					730	57.53		241	18.99		149	11.74		27	2.13					1269	
	FOURTH			0	0.00		0	0.00					19	70.37		2	7.41		6	22.22			Excluded					27	
		TOTAL		86	6.78		36	2.84					749	59.02		243	19.15		155	12.21								1269	
	FIFTH			8	22.22			Excluded					2	5.56		18	50.00		8	22.22								36	
		TOTAL		94	7.41								751	59.18		261	20.57		163	12.84								1269	
	SIXTH				Excluded								51	54.26		10	10.64		33	35.11								94	
		TOTAL											802	63.20		271	21.36		196	15.45								1269	
	SEVENTH												165	84.18		31	15.82			Excluded								196	
		TOTAL											967	76.20		302	23.80											1269	
													Elected																
																													
Marrickville South                                             																													
	FIRST			38	4.48		23	2.71		7	0.82		495	58.30		125	14.72		141	16.61		15	1.77		5	0.59		849	
	SECOND			0	0.00		1	20.00		1	20.00		2	40.00		0	0.00		0	0.00		1	20.00			Excluded		5	
		TOTAL		38	4.48		24	2.83		8	0.94		497	58.54		125	14.72		141	16.61		16	1.88					849	
	THIRD			3	37.50		1	12.50			Excluded		1	12.50		0	0.00		3	37.50		0	0.00					8	
		TOTAL		41	4.83		25	2.94					498	58.66		125	14.72		144	16.96		16	1.88					849	
	FOURTH			2	12.50		0	0.00					6	37.50		1	6.25		7	43.75			Excluded					16	
		TOTAL		43	5.06		25	2.94					504	59.36		126	14.84		151	17.79								849	
	FIFTH			5	20.00			Excluded					4	16.00		12	48.00		4	16.00								25	
		TOTAL		48	5.65								508	59.84		138	16.25		155	18.26								849	
	SIXTH				Excluded								23	47.92		3	6.25		22	45.83								48	
		TOTAL											531	62.54		141	16.61		177	20.85								849	
	SEVENTH												142	80.23		35	19.77			Excluded								177	
		TOTAL											673	79.27		176	20.73											849	
													Elected																
																													
Newington                                                      																													
	FIRST			60	9.85		5	0.82		5	0.82		317	52.05		108	17.73		100	16.42		2	0.33		12	1.97		609	
	SECOND			4	33.33		0	0.00		0	0.00		2	16.67		4	33.33		0	0.00		2	16.67			Excluded		12	
		TOTAL		64	10.51		5	0.82		5	0.82		319	52.38		112	18.39		100	16.42		4	0.66					609	
