House of Representatives - 2001 Election: New South Wales											
Two Candidate Preferred Preference Flow Result											
By Polling Place by Division											
											
New England (84941)											
		Candidate		"WINDSOR, Tony"		              	"ST. CLAIR, Stuart"		          	Total	
			1st Prefs	107	33.02		217	66.98		324	
		"REINER, Michelle (GRN)"	9	9	100.00		0	0.00		9	
		"MCCARTHY, Annette (CLR)"	26	21	80.77		5	19.23		26	
		"BOUNDS, Kayleen (HAN)"	19	12	63.16		7	36.84		19	
		"REARDON, Chris (DEM)"	2	1	50.00		1	50.00		2	
		Total	56	150	39.47		230	60.53		380	

	Delungra										
			1st Prefs	119	38.89		187	61.11		306	
		"REINER, Michelle (GRN)"	5	2	40.00		3	60.00		5	
		"MCCARTHY, Annette (CLR)"	15	11	73.33		4	26.67		15	
		"BOUNDS, Kayleen (HAN)"	17	13	76.47		4	23.53		17	
		"REARDON, Chris (DEM)"	1	1	100.00		0	0.00		1	
		Total	38	146	42.44		198	57.56		344	

	Drake										
			1st Prefs	26	30.23		60	69.77		86	
		"REINER, Michelle (GRN)"	32	24	75.00		8	25.00		32	
		"MCCARTHY, Annette (CLR)"	26	22	84.62		4	15.38		26	
		"BOUNDS, Kayleen (HAN)"	15	12	80.00		3	20.00		15	
		"REARDON, Chris (DEM)"	8	7	87.50		1	12.50		8	
		Total	81	91	54.49		76	45.51		167	

	Dungowan										
			1st Prefs	147	54.44		123	45.56		270	
		"REINER, Michelle (GRN)"	3	2	66.67		1	33.33		3	
		"MCCARTHY, Annette (CLR)"	8	6	75.00		2	25.00		8	
		"BOUNDS, Kayleen (HAN)"	6	2	33.33		4	66.67		6	
		"REARDON, Chris (DEM)"	1	1	100.00		0	0.00		1	
		Total	18	158	54.86		130	45.14		288	

	Duri										
			1st Prefs	172	58.90		120	41.10		292	
		"REINER, Michelle (GRN)"	6	5	83.33		1	16.67		6	
		"MCCARTHY, Annette (CLR)"	7	7	100.00		0	0.00		7	
		"BOUNDS, Kayleen (HAN)"	4	3	75.00		1	25.00		4	
		"REARDON, Chris (DEM)"	4	3	75.00		1	25.00		4	
		Total	21	190	60.70		123	39.30		313	

	Ebor										
			1st Prefs	40	34.19		77	65.81		117	
		"REINER, Michelle (GRN)"	4	3	75.00		1	25.00		4	
		"MCCARTHY, Annette (CLR)"	14	11	78.57		3	21.43		14	
		"BOUNDS, Kayleen (HAN)"	7	4	57.14		3	42.86		7	
		"REARDON, Chris (DEM)"	0	0	0.00		0	0.00		0	
		Total	25	58	40.85		84	59.15		142	

	Elsmore										
			1st Prefs	57	53.77		49	46.23		106	
		"REINER, Michelle (GRN)"	2	1	50.00		1	50.00		2	
		"MCCARTHY, Annette (CLR)"	6	5	83.33		1	16.67		6	
		"BOUNDS, Kayleen (HAN)"	9	9	100.00		0	0.00		9	
		"REARDON, Chris (DEM)"	0	0	0.00		0	0.00		0	
		Total	17	72	58.54		51	41.46		123	

	Emmaville										
			1st Prefs	173	56.72		132	43.28		305	
		"REINER, Michelle (GRN)"	8	7	87.50		1	12.50		8	
		"MCCARTHY, Annette (CLR)"	35	31	88.57		4	11.43		35	
		"BOUNDS, Kayleen (HAN)"	29	24	82.76		5	17.24		29	
		"REARDON, Chris (DEM)"	1	0	0.00		1	100.00		1	
		Total	73	235	62.17		143	37.83		378	

	Gilgai										
			1st Prefs	197	60.99		126	39.01		323	
		"REINER, Michelle (GRN)"	4	4	100.00		0	0.00		4	
		"MCCARTHY, Annette (CLR)"	24	20	83.33		4	16.67		24	
		"BOUNDS, Kayleen (HAN)"	31	23	74.19		8	25.81		31	
		"REARDON, Chris (DEM)"	3	0	0.00		3	100.00		3	
		Total	62	244	63.38		141	36.62		385	

	Glencoe										
			1st Prefs	37	36.63		64	63.37		101	
		"REINER, Michelle (GRN)"	6	5	83.33		1	16.67		6	
		"MCCARTHY, Annette (CLR)"	7	6	85.71		1	14.29		7	
		"BOUNDS, Kayleen (HAN)"	5	4	80.00		1	20.00		5	
		"REARDON, Chris (DEM)"	0	0	0.00		0	0.00		0	
		Total	18	52	43.70		67	56.30		119	

	Glen Innes										
			1st Prefs	740	45.04		903	54.96		1643	
		"REINER, Michelle (GRN)"	72	65	90.28		7	9.72		72	
		"MCCARTHY, Annette (CLR)"	184	165	89.67		19	10.33		184	
		"BOUNDS, Kayleen (HAN)"	63	44	69.84		19	30.16		63	
		"REARDON, Chris (DEM)"	10	7	70.00		3	30.00		10	
		Total	329	1021	51.77		951	48.23		1972	

	Glen Innes Hospital										
			1st Prefs	244	45.10		297	54.90		541	
		"REINER, Michelle (GRN)"	15	12	80.00		3	20.00		15	
		"MCCARTHY, Annette (CLR)"	70	61	87.14		9	12.86		70	
		"BOUNDS, Kayleen (HAN)"	20	10	50.00		10	50.00		20	
		"REARDON, Chris (DEM)"	1	1	100.00		0	0.00		1	
		Total	106	328	50.70		319	49.30		647	

	Glen Innes West										
			1st Prefs	584	47.83		637	52.17		1221	
		"REINER, Michelle (GRN)"	28	20	71.43		8	28.57		28	
		"MCCARTHY, Annette (CLR)"	123	110	89.43		13	10.57		123	
		"BOUNDS, Kayleen (HAN)"	39	21	53.85		18	46.15		39	
		"REARDON, Chris (DEM)"	5	5	100.00		0	0.00		5	
		Total	195	740	52.26		676	47.74		1416	

	Graman										
			1st Prefs	33	46.48		38	53.52		71	
		"REINER, Michelle (GRN)"	0	0	0.00		0	0.00		0	
		"MCCARTHY, Annette (CLR)"	4	4	100.00		0	0.00		4	
		"BOUNDS, Kayleen (HAN)"	4	3	75.00		1	25.00		4	
		"REARDON, Chris (DEM)"	2	1	50.00		1	50.00		2	
		Total	10	41	50.62		40	49.38		81	

	Gum Flat										
			1st Prefs	35	31.25		77	68.75		112	
		"REINER, Michelle (GRN)"	1	1	100.00		0	0.00		1	
		"MCCARTHY, Annette (CLR)"	4	4	100.00		0	0.00		4	
		"BOUNDS, Kayleen (HAN)"	1	1	100.00		0	0.00		1	
		"REARDON, Chris (DEM)"	0	0	0.00		0	0.00		0	
		Total	6	41	34.75		77	65.25		118	

	Guyra										
			1st Prefs	501	35.33		917	64.67		1418	
		"REINER, Michelle (GRN)"	13	13	100.00		0	0.00		13	
		"MCCARTHY, Annette (CLR)"	64	55	85.94		9	14.06		64	
		"BOUNDS, Kayleen (HAN)"	15	11	73.33		4	26.67		15	
		"REARDON, Chris (DEM)"	6	3	50.00		3	50.00		6	
		Total	98	583	38.46		933	61.54		1516	

	Hallsville										
			1st Prefs	173	57.10		130	42.90		303	
		"REINER, Michelle (GRN)"	1	1	100.00		0	0.00		1	
		"MCCARTHY, Annette (CLR)"	5	4	80.00		1	20.00		5	
		"BOUNDS, Kayleen (HAN)"	4	3	75.00		1	25.00		4	
		"REARDON, Chris (DEM)"	0	0	0.00		0	0.00		0	
		Total	10	181	57.83		132	42.17		313	

	Hillgrove										
			1st Prefs	30	46.88		34	53.13		64	
		"REINER, Michelle (GRN)"	2	2	100.00		0	0.00		2	
		"MCCARTHY, Annette (CLR)"	10	8	80.00		2	20.00		10	
		"BOUNDS, Kayleen (HAN)"	9	4	44.44		5	55.56		9	
		"REARDON, Chris (DEM)"	1	1	100.00		0	0.00		1	
		Total	22	45	52.33		41	47.67		86	

	Hillvue										
			1st Prefs	1379	59.62		934	40.38		2313	
		"REINER, Michelle (GRN)"	14	12	85.71		2	14.29		14	
		"MCCARTHY, Annette (CLR)"	70	66	94.29		4	5.71		70	
		"BOUNDS, Kayleen (HAN)"	34	24	70.59		10	29.41		34	
		"REARDON, Chris (DEM)"	9	6	66.67		3	33.33		9	
		Total	127	1487	60.94		953	39.06		2440	

	Inverell										
			1st Prefs	909	46.38		1051	53.62		1960	
		"REINER, Michelle (GRN)"	38	31	81.58		7	18.42		38	
		"MCCARTHY, Annette (CLR)"	280	234	83.57		46	16.43		280	
		"BOUNDS, Kayleen (HAN)"	68	46	67.65		22	32.35		68	
		"REARDON, Chris (DEM)"	13	10	76.92		3	23.08		13	
		Total	399	1230	52.14		1129	47.86		2359	

	Inverell East										
			1st Prefs	686	48.45		730	51.55		1416	
		"REINER, Michelle (GRN)"	20	14	70.00		6	30.00		20	
		"MCCARTHY, Annette (CLR)"	157	145	92.36		12	7.64		157	
		"BOUNDS, Kayleen (HAN)"	57	36	63.16		21	36.84		57	
		"REARDON, Chris (DEM)"	14	10	71.43		4	28.57		14	
		Total	248	891	53.55		773	46.45		1664	

	Jennings										
			1st Prefs	12	24.00		38	76.00		50	
		"REINER, Michelle (GRN)"	6	6	100.00		0	0.00		6	
		"MCCARTHY, Annette (CLR)"	31	24	77.42		7	22.58		31	
		"BOUNDS, Kayleen (HAN)"	14	3	21.43		11	78.57		14	
		"REARDON, Chris (DEM)"	0	0	0.00		0	0.00		0	
		Total	51	45	44.55		56	55.45		101	

	Jubullum										
			1st Prefs	1	25.00		3	75.00		4	
		"REINER, Michelle (GRN)"	2	1	50.00		1	50.00		2	
		"MCCARTHY, Annette (CLR)"	34	21	61.76		13	38.24		34	
		"BOUNDS, Kayleen (HAN)"	1	1	100.00		0	0.00		1	
		"REARDON, Chris (DEM)"	1	1	100.00		0	0.00		1	
		Total	38	25	59.52		17	40.48		42	

	Kentucky										
			1st Prefs	92	53.18		81	46.82		173	
		"REINER, Michelle (GRN)"	4	4	100.00		0	0.00		4	
		"MCCARTHY, Annette (CLR)"	13	9	69.23		4	30.77		13	
		"BOUNDS, Kayleen (HAN)"	3	2	66.67		1	33.33		3	
		"REARDON, Chris (DEM)"	0	0	0.00		0	0.00		0	
		Total	20	107	55.44		86	44.56		193	

	Kingstown										
			1st Prefs	30	34.09		58	65.91		88	
		"REINER, Michelle (GRN)"	0	0	0.00		0	0.00		0	
		"MCCARTHY, Annette (CLR)"	5	5	100.00		0	0.00		5	
		"BOUNDS, Kayleen (HAN)"	5	5	100.00		0	0.00		5	
		"REARDON, Chris (DEM)"	0	0	0.00		0	0.00		0	
		Total	10	40	40.82		58	59.18		98	

	Kootingal										
			1st Prefs	742	64.30		412	35.70		1154	
		"REINER, Michelle (GRN)"	10	9	90.00		1	10.00		10	
		"MCCARTHY, Annette (CLR)"	85	78	91.76		7	8.24		85	
		"BOUNDS, Kayleen (HAN)"	29	22	75.86		7	24.14		29	
		"REARDON, Chris (DEM)"	3	3	100.00		0	0.00		3	
		Total	127	854	66.67		427	33.33		1281	

	Legume										
			1st Prefs	9	7.63		109	92.37		118	
		"REINER, Michelle (GRN)"	1	1	100.00		0	0.00		1	
		"MCCARTHY, Annette (CLR)"	15	13	86.67		2	13.33		15	
		"BOUNDS, Kayleen (HAN)"	17	9	52.94		8	47.06		17	
		"REARDON, Chris (DEM)"	1	1	100.00		0	0.00		1	
		Total	34	33	21.71		119	78.29		152	

	Liston										
			1st Prefs	19	18.45		84	81.55		103	
		"REINER, Michelle (GRN)"	7	3	42.86		4	57.14		7	
		"MCCARTHY, Annette (CLR)"	18	15	83.33		3	16.67		18	
		"BOUNDS, Kayleen (HAN)"	4	2	50.00		2	50.00		4	
		"REARDON, Chris (DEM)"	9	6	66.67		3	33.33		9	
		Total	38	45	31.91		96	68.09		141	

	Loomberah										
			1st Prefs	78	48.15		84	51.85		162	
		"REINER, Michelle (GRN)"	1	1	100.00		0	0.00		1	
		"MCCARTHY, Annette (CLR)"	5	5	100.00		0	0.00		5	
		"BOUNDS, Kayleen (HAN)"	5	4	80.00		1	20.00		5	
		"REARDON, Chris (DEM)"	2	2	100.00		0	0.00		2	
		Total	13	90	51.43		85	48.57		175	

	Manilla										
			1st Prefs	930	62.29		563	37.71		1493	
		"REINER, Michelle (GRN)"	21	18	85.71		3	14.29		21	
		"MCCARTHY, Annette (CLR)"	208	198	95.19		10	4.81		208	
		"BOUNDS, Kayleen (HAN)"	71	60	84.51		11	15.49		71	
		"REARDON, Chris (DEM)"	8	6	75.00		2	25.00		8	
		Total	308	1212	67.30		589	32.70		1801	

	Martins Gully										
			1st Prefs	297	51.65		278	48.35		575	
		"REINER, Michelle (GRN)"	29	26	89.66		3	10.34		29	
		"MCCARTHY, Annette (CLR)"	48	44	91.67		4	8.33		48	
		"BOUNDS, Kayleen (HAN)"	6	6	100.00		0	0.00		6	
		"REARDON, Chris (DEM)"	6	6	100.00		0	0.00		6	
		Total	89	379	57.08		285	42.92		664	

	Mole Crossing										
			1st Prefs	7	10.77		58	89.23		65	
		"REINER, Michelle (GRN)"	3	3	100.00		0	0.00		3	
		"MCCARTHY, Annette (CLR)"	3	3	100.00		0	0.00		3	
		"BOUNDS, Kayleen (HAN)"	19	10	52.63		9	47.37		19	
		"REARDON, Chris (DEM)"	0	0	0.00		0	0.00		0	
		Total	25	23	25.56		67	74.44		90	

	Moonbi										
			1st Prefs	288	59.38		197	40.62		485	
		"REINER, Michelle (GRN)"	6	2	33.33		4	66.67		6	
		"MCCARTHY, Annette (CLR)"	18	17	94.44		1	5.56		18	
		"BOUNDS, Kayleen (HAN)"	13	9	69.23		4	30.77		13	
		"REARDON, Chris (DEM)"	3	3	100.00		0	0.00		3	
		Total	40	319	60.76		206	39.24		525	

	Moor Creek										
			1st Prefs	238	54.97		195	45.03		433	
		"REINER, Michelle (GRN)"	4	4	100.00		0	0.00		4	
		"MCCARTHY, Annette (CLR)"	12	11	91.67		1	8.33		12	
		"BOUNDS, Kayleen (HAN)"	8	7	87.50		1	12.50		8	
		"REARDON, Chris (DEM)"	2	2	100.00		0	0.00		2	
		Total	26	262	57.08		197	42.92		459	

	Nazareth House										
			1st Prefs	74	44.31		93	55.69		167	
		"REINER, Michelle (GRN)"	1	1	100.00		0	0.00		1	
		"MCCARTHY, Annette (CLR)"	15	10	66.67		5	33.33		15	
		"BOUNDS, Kayleen (HAN)"	5	2	40.00		3	60.00		5	
		"REARDON, Chris (DEM)"	2	2	100.00		0	0.00		2	
		Total	23	89	46.84		101	53.16		190	

	Nemingha										
			1st Prefs	401	61.69		249	38.31		650	
		"REINER, Michelle (GRN)"	7	6	85.71		1	14.29		7	
		"MCCARTHY, Annette (CLR)"	28	24	85.71		4	14.29		28	
		"BOUNDS, Kayleen (HAN)"	16	12	75.00		4	25.00		16	
		"REARDON, Chris (DEM)"	3	2	66.67		1	33.33		3	
		Total	54	445	63.21		259	36.79		704	

	Niangala										
			1st Prefs	59	56.19		46	43.81		105	
		"REINER, Michelle (GRN)"	0	0	0.00		0	0.00		0	
		"MCCARTHY, Annette (CLR)"	4	3	75.00		1	25.00		4	
		"BOUNDS, Kayleen (HAN)"	3	2	66.67		1	33.33		3	
		"REARDON, Chris (DEM)"	1	1	100.00		0	0.00		1	
		Total	8	65	57.52		48	42.48		113	

	Nowendoc										
			1st Prefs	39	50.65		38	49.35		77	
		"REINER, Michelle (GRN)"	2	1	50.00		1	50.00		2	
		"MCCARTHY, Annette (CLR)"	5	4	80.00		1	20.00		5	
		"BOUNDS, Kayleen (HAN)"	2	0	0.00		2	100.00		2	
		"REARDON, Chris (DEM)"	0	0	0.00		0	0.00		0	
		Total	9	44	51.16		42	48.84		86	

	Nundle										
			1st Prefs	219	62.04		134	37.96		353	
		"REINER, Michelle (GRN)"	3	2	66.67		1	33.33		3	
		"MCCARTHY, Annette (CLR)"	29	28	96.55		1	3.45		29	
		"BOUNDS, Kayleen (HAN)"	13	8	61.54		5	38.46		13	
		"REARDON, Chris (DEM)"	4	3	75.00		1	25.00		4	
		Total	49	260	64.68		142	35.32		402	

	Oxley Vale										
			1st Prefs	907	64.19		506	35.81		1413	
		"REINER, Michelle (GRN)"	10	9	90.00		1	10.00		10	
		"MCCARTHY, Annette (CLR)"	99	93	93.94		6	6.06		99	
		"BOUNDS, Kayleen (HAN)"	38	27	71.05		11	28.95		38	
		"REARDON, Chris (DEM)"	3	2	66.67		1	33.33		3	
		Total	150	1038	66.41		525	33.59		1563	

	Peel High										
			1st Prefs	1027	73.62		368	26.38		1395	
		"REINER, Michelle (GRN)"	14	11	78.57		3	21.43		14	
		"MCCARTHY, Annette (CLR)"	166	150	90.36		16	9.64		166	
		"BOUNDS, Kayleen (HAN)"	39	29	74.36		10	25.64		39	
		"REARDON, Chris (DEM)"	6	4	66.67		2	33.33		6	
		Total	225	1221	75.37		399	24.63		1620	

	Red Range										
			1st Prefs	32	25.00		96	75.00		128	
		"REINER, Michelle (GRN)"	0	0	0.00		0	0.00		0	
		"MCCARTHY, Annette (CLR)"	12	10	83.33		2	16.67		12	
		"BOUNDS, Kayleen (HAN)"	3	2	66.67		1	33.33		3	
		"REARDON, Chris (DEM)"	0	0	0.00		0	0.00		0	
		Total	15	44	30.77		99	69.23		143	

	Rocky River										
			1st Prefs	106	63.10		62	36.90		168	
		"REINER, Michelle (GRN)"	9	8	88.89		1	11.11		9	
		"MCCARTHY, Annette (CLR)"	31	29	93.55		2	6.45		31	
		"BOUNDS, Kayleen (HAN)"	3	3	100.00		0	0.00		3	
		"REARDON, Chris (DEM)"	6	5	83.33		1	16.67		6	
		Total	49	151	69.59		66	30.41		217	

	Ross Hill										
			1st Prefs	735	45.18		892	54.82		1627	
		"REINER, Michelle (GRN)"	16	16	100.00		0	0.00		16	
		"MCCARTHY, Annette (CLR)"	179	155	86.59		24	13.41		179	
		"BOUNDS, Kayleen (HAN)"	41	22	53.66		19	46.34		41	
		"REARDON, Chris (DEM)"	8	8	100.00		0	0.00		8	
		Total	244	936	50.03		935	49.97		1871	

	Somerton										
			1st Prefs	86	48.86		90	51.14		176	
		"REINER, Michelle (GRN)"	1	1	100.00		0	0.00		1	
		"MCCARTHY, Annette (CLR)"	13	6	46.15		7	53.85		13	
		"BOUNDS, Kayleen (HAN)"	6	4	66.67		2	33.33		6	
		"REARDON, Chris (DEM)"	0	0	0.00		0	0.00		0	
		Total	20	97	49.49		99	50.51		196	

	Sunnyside										
			1st Prefs	23	16.79		114	83.21		137	
		"REINER, Michelle (GRN)"	5	4	80.00		1	20.00		5	
		"MCCARTHY, Annette (CLR)"	5	3	60.00		2	40.00		5	
		"BOUNDS, Kayleen (HAN)"	7	5	71.43		2	28.57		7	
		"REARDON, Chris (DEM)"	3	3	100.00		0	0.00		3	
		Total	20	38	24.20		119	75.80		157	

	Sydney (New England)										
			1st Prefs	21	61.76		13	38.24		34	
		"REINER, Michelle (GRN)"	3	2	66.67		1	33.33		3	
		"MCCARTHY, Annette (CLR)"	6	5	83.33		1	16.67		6	
		"BOUNDS, Kayleen (HAN)"	0	0	0.00		0	0.00		0	
		"REARDON, Chris (DEM)"	1	1	100.00		0	0.00		1	
		Total	10	29	65.91		15	34.09		44	

	Tamworth										
			1st Prefs	877	63.28		509	36.72		1386	
		"REINER, Michelle (GRN)"	22	18	81.82		4	18.18		22	
		"MCCARTHY, Annette (CLR)"	132	120	90.91		12	9.09		132	
		"BOUNDS, Kayleen (HAN)"	22	17	77.27		5	22.73		22	
		"REARDON, Chris (DEM)"	22	16	72.73		6	27.27		22	
		Total	198	1048	66.16		536	33.84		1584	

	Tamworth High										
			1st Prefs	2508	65.77		1305	34.23		3813	
		"REINER, Michelle (GRN)"	30	24	80.00		6	20.00		30	
		"MCCARTHY, Annette (CLR)"	367	329	89.65		38	10.35		367	
		"BOUNDS, Kayleen (HAN)"	94	70	74.47		24	25.53		94	
		"REARDON, Chris (DEM)"	20	15	75.00		5	25.00		20	
		Total	511	2946	68.13		1378	31.87		4324	

	Tamworth Primary										
			1st Prefs	1818	58.08		1312	41.92		3130	
		"REINER, Michelle (GRN)"	46	39	84.78		7	15.22		46	
		"MCCARTHY, Annette (CLR)"	204	187	91.67		17	8.33		204	
		"BOUNDS, Kayleen (HAN)"	52	38	73.08		14	26.92		52	
