House of Representatives - 2001 Election: New South Wales																						
Distribution of Preferences 																						
By Polling Place																						
																						
Bradfield																						
				BELL			BLUNT			WEBECK			NELSON			WISZNIEWSKI			BYRNE			
	FOURTH			93	55.69		47	28.14					27	16.17						Excluded		167
		TOTAL		312	15.04		713	34.38					1049	50.58								2074
	FIFTH				Excluded		237	75.96					75	24.04								312
		TOTAL					950	45.81					1124	54.19								2074
													Elected									
																						
Ferndale                                                       																						
	FIRST			62	7.27		198	23.21		19	2.23		496	58.15		11	1.29		67	7.85		853
	SECOND			0	0.00		0	0.00		0	0.00		9	81.82			Excluded		2	18.18		11
		TOTAL		62	7.27		198	23.21		19	2.23		505	59.20					69	8.09		853
	THIRD			6	31.58		2	10.53			Excluded		8	42.11					3	15.79		19
		TOTAL		68	7.97		200	23.45					513	60.14					72	8.44		853
	FOURTH			31	43.06		25	34.72					16	22.22						Excluded		72
		TOTAL		99	11.61		225	26.38					529	62.02								853
	FIFTH				Excluded		75	75.76					24	24.24								99
		TOTAL					300	35.17					553	64.83								853
													Elected									
																						
Gordon                                                         																						
	FIRST			233	7.48		647	20.78		50	1.61		1904	61.16		53	1.70		226	7.26		3113
	SECOND			5	9.43		7	13.21		5	9.43		31	58.49			Excluded		5	9.43		53
		TOTAL		238	7.65		654	21.01		55	1.77		1935	62.16					231	7.42		3113
	THIRD			6	10.91		11	20.00			Excluded		30	54.55					8	14.55		55
		TOTAL		244	7.84		665	21.36					1965	63.12					239	7.68		3113
	FOURTH			132	55.23		60	25.10					47	19.67						Excluded		239
		TOTAL		376	12.08		725	23.29					2012	64.63								3113
	FIFTH				Excluded		263	69.95					113	30.05								376
		TOTAL					988	31.74					2125	68.26								3113
													Elected									
																						
Gordon East                                                    																						
	FIRST			122	6.40		350	18.36		26	1.36		1267	66.47		30	1.57		111	5.82		1906
	SECOND			3	10.00		2	6.67		0	0.00		20	66.67			Excluded		5	16.67		30
		TOTAL		125	6.56		352	18.47		26	1.36		1287	67.52					116	6.09		1906
	THIRD			6	23.08		4	15.38			Excluded		13	50.00					3	11.54		26
		TOTAL		131	6.87		356	18.68					1300	68.21					119	6.24		1906
	FOURTH			63	52.94		25	21.01					31	26.05						Excluded		119
		TOTAL		194	10.18		381	19.99					1331	69.83								1906
	FIFTH				Excluded		124	63.92					70	36.08								194
		TOTAL					505	26.50					1401	73.50								1906
													Elected									
																						
Gordon West                                                    																						
	FIRST			103	5.90		319	18.28		31	1.78		1115	63.90		33	1.89		144	8.25		1745
	SECOND			2	6.06		4	12.12		1	3.03		24	72.73			Excluded		2	6.06		33
		TOTAL		105	6.02		323	18.51		32	1.83		1139	65.27					146	8.37		1745
	THIRD			5	15.63		5	15.63			Excluded		21	65.63					1	3.13		32
		TOTAL		110	6.30		328	18.80					1160	66.48					147	8.42		1745
	FOURTH			88	59.86		31	21.09					28	19.05						Excluded		147
		TOTAL		198	11.35		359	20.57					1188	68.08								1745
	FIFTH				Excluded		146	73.74					52	26.26								198
		TOTAL					505	28.94					1240	71.06								1745
													Elected									
																						
Killara                                                        																						
	FIRST			81	5.00		199	12.28		18	1.11		1218	75.14		34	2.10		71	4.38		1621
	SECOND			1	2.94		5	14.71		1	2.94		23	67.65			Excluded		4	11.76		34
		TOTAL		82	5.06		204	12.58		19	1.17		1241	76.56					75	4.63		1621
	THIRD			4	21.05		0	0.00			Excluded		12	63.16					3	15.79		19
		TOTAL		86	5.31		204	12.58					1253	77.30					78	4.81		1621
	FOURTH			39	50.00		21	26.92					18	23.08						Excluded		78
		TOTAL		125	7.71		225	13.88					1271	78.41								1621
	FIFTH				Excluded		77	61.60					48	38.40								125
		TOTAL					302	18.63					1319	81.37								1621
													Elected									
																						
Killara East                                                   																						
	FIRST			148	7.47		461	23.28		15	0.76		1236	62.42		17	0.86		103	5.20		1980
	SECOND			0	0.00		5	29.41		0	0.00		9	52.94			Excluded		3	17.65		17
		TOTAL		148	7.47		466	23.54		15	0.76		1245	62.88					106	5.35		1980
	THIRD			8	53.33		1	6.67			Excluded		4	26.67					2	13.33		15
		TOTAL		156	7.88		467	23.59					1249	63.08					108	5.45		1980
	FOURTH			56	51.85		27	25.00					25	23.15						Excluded		108
		TOTAL		212	10.71		494	24.95					1274	64.34								1980
	FIFTH				Excluded		167	78.77					45	21.23								212
		TOTAL					661	33.38					1319	66.62								1980
													Elected									
																						
Kissing Point                                                  																						
	FIRST			65	6.73		202	20.91		34	3.52		595	61.59		15	1.55		55	5.69		966
	SECOND			2	13.33		4	26.67		1	6.67		6	40.00			Excluded		2	13.33		15
		TOTAL		67	6.94		206	21.33		35	3.62		601	62.22					57	5.90		966
	THIRD			4	11.43		13	37.14			Excluded		17	48.57					1	2.86		35
		TOTAL		71	7.35		219	22.67					618	63.98					58	6.00		966
	FOURTH			31	53.45		15	25.86					12	20.69						Excluded		58
		TOTAL		102	10.56		234	24.22					630	65.22								966
	FIFTH				Excluded		70	68.63					32	31.37								102
		TOTAL					304	31.47					662	68.53								966
													Elected									
																						
Lady Davidson Hospital                                         																						
	FIRST			9	5.88		18	11.76		5	3.27		113	73.86		2	1.31		6	3.92		153
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		2	100.00		2
		TOTAL		9	5.88		18	11.76		5	3.27		113	73.86					8	5.23		153
	THIRD			0	0.00		2	40.00			Excluded		3	60.00					0	0.00		5
		TOTAL		9	5.88		20	13.07					116	75.82					8	5.23		153
	FOURTH			3	37.50		2	25.00					3	37.50						Excluded		8
		TOTAL		12	7.84		22	14.38					119	77.78								153
	FIFTH				Excluded		10	83.33					2	16.67								12
		TOTAL					32	20.92					121	79.08								153
													Elected									
																						
Lindfield                                                      																						
	FIRST			144	7.01		399	19.43		23	1.12		1325	64.51		15	0.73		148	7.21		2054
	SECOND			1	6.67		1	6.67		1	6.67		9	60.00			Excluded		3	20.00		15
		TOTAL		145	7.06		400	19.47		24	1.17		1334	64.95					151	7.35		2054
	THIRD			8	33.33		5	20.83			Excluded		10	41.67					1	4.17		24
		TOTAL		153	7.45		405	19.72					1344	65.43					152	7.40		2054
	FOURTH			99	65.13		32	21.05					21	13.82						Excluded		152
		TOTAL		252	12.27		437	21.28					1365	66.46								2054
	FIFTH				Excluded		189	75.00					63	25.00								252
		TOTAL					626	30.48					1428	69.52								2054
													Elected									
																						
Lindfield East                                                 																						
	FIRST			133	6.68		368	18.48		30	1.51		1286	64.59		14	0.70		160	8.04		1991
	SECOND			6	42.86		3	21.43		0	0.00		5	35.71			Excluded		0	0.00		14
		TOTAL		139	6.98		371	18.63		30	1.51		1291	64.84					160	8.04		1991
	THIRD			6	20.00		3	10.00			Excluded		20	66.67					1	3.33		30
		TOTAL		145	7.28		374	18.78					1311	65.85					161	8.09		1991
	FOURTH			103	63.98		27	16.77					31	19.25						Excluded		161
		TOTAL		248	12.46		401	20.14					1342	67.40								1991
	FIFTH				Excluded		176	70.97					72	29.03								248
		TOTAL					577	28.98					1414	71.02								1991
													Elected									
																						
Lindfield North                                                																						
	FIRST			214	7.80		586	21.37		30	1.09		1681	61.31		35	1.28		196	7.15		2742
	SECOND			2	5.71		3	8.57		1	2.86		23	65.71			Excluded		6	17.14		35
		TOTAL		216	7.88		589	21.48		31	1.13		1704	62.14					202	7.37		2742
	THIRD			6	19.35		4	12.90			Excluded		15	48.39					6	19.35		31
		TOTAL		222	8.10		593	21.63					1719	62.69					208	7.59		2742
	FOURTH			121	58.17		53	25.48					34	16.35						Excluded		208
		TOTAL		343	12.51		646	23.56					1753	63.93								2742
	FIFTH				Excluded		251	73.18					92	26.82								343
		TOTAL					897	32.71					1845	67.29								2742
													Elected									
																						
Lindfield West                                                 																						
	FIRST			162	6.52		509	20.49		55	2.21		1566	63.04		41	1.65		151	6.08		2484
	SECOND			3	7.32		1	2.44		3	7.32		28	68.29			Excluded		6	14.63		41
		TOTAL		165	6.64		510	20.53		58	2.33		1594	64.17					157	6.32		2484
	THIRD			9	15.52		10	17.24			Excluded		35	60.34					4	6.90		58
		TOTAL		174	7.00		520	20.93					1629	65.58					161	6.48		2484
	FOURTH			91	56.52		44	27.33					26	16.15						Excluded		161
		TOTAL		265	10.67		564	22.71					1655	66.63								2484
	FIFTH				Excluded		198	74.72					67	25.28								265
		TOTAL					762	30.68					1722	69.32								2484
													Elected									
																						
Mowbray (Bradfield)                                            																						
	FIRST			59	6.58		221	24.64		19	2.12		499	55.63		13	1.45		86	9.59		897
	SECOND			1	7.69		3	23.08		0	0.00		7	53.85			Excluded		2	15.38		13
		TOTAL		60	6.69		224	24.97		19	2.12		506	56.41					88	9.81		897
	THIRD			4	21.05		6	31.58			Excluded		9	47.37					0	0.00		19
		TOTAL		64	7.13		230	25.64					515	57.41					88	9.81		897
	FOURTH			46	52.27		17	19.32					25	28.41						Excluded		88
		TOTAL		110	12.26		247	27.54					540	60.20								897
	FIFTH				Excluded		79	71.82					31	28.18								110
		TOTAL					326	36.34					571	63.66								897
													Elected									
																						
Pymble                                                         																						
	FIRST			33	4.15		133	16.71		4	0.50		564	70.85		11	1.38		51	6.41		796
	SECOND			0	0.00		1	9.09		1	9.09		7	63.64			Excluded		2	18.18		11
		TOTAL		33	4.15		134	16.83		5	0.63		571	71.73					53	6.66		796
	THIRD			0	0.00		0	0.00			Excluded		5	100.00					0	0.00		5
		TOTAL		33	4.15		134	16.83					576	72.36					53	6.66		796
	FOURTH			27	50.94		13	24.53					13	24.53						Excluded		53
		TOTAL		60	7.54		147	18.47					589	73.99								796
	FIFTH				Excluded		44	73.33					16	26.67								60
		TOTAL					191	23.99					605	76.01								796
													Elected									
																						
Pymble North                                                   																						
	FIRST			152	6.30		362	15.00		29	1.20		1700	70.42		32	1.33		139	5.76		2414
	SECOND			3	9.38		2	6.25		2	6.25		16	50.00			Excluded		9	28.13		32
		TOTAL		155	6.42		364	15.08		31	1.28		1716	71.09					148	6.13		2414
	THIRD			4	12.90		3	9.68			Excluded		19	61.29					5	16.13		31
		TOTAL		159	6.59		367	15.20					1735	71.87					153	6.34		2414
	FOURTH			89	58.17		26	16.99					38	24.84						Excluded		153
		TOTAL		248	10.27		393	16.28					1773	73.45								2414
	FIFTH				Excluded		165	66.53					83	33.47								248
		TOTAL					558	23.12					1856	76.88								2414
													Elected									
																						
Pymble West                                                    																						
	FIRST			155	7.38		399	19.00		28	1.33		1309	62.33		27	1.29		182	8.67		2100
	SECOND			2	7.41		3	11.11		4	14.81		15	55.56			Excluded		3	11.11		27
		TOTAL		157	7.48		402	19.14		32	1.52		1324	63.05					185	8.81		2100
	THIRD			6	18.75		6	18.75			Excluded		18	56.25					2	6.25		32
		TOTAL		163	7.76		408	19.43					1342	63.90					187	8.90		2100
	FOURTH			109	58.29		43	22.99					35	18.72						Excluded		187
		TOTAL		272	12.95		451	21.48					1377	65.57								2100
	FIFTH				Excluded		190	69.85					82	30.15								272
		TOTAL					641	30.52					1459	69.48								2100
													Elected									
																						
Roseville                                                      																						
	FIRST			99	7.23		277	20.22		21	1.53		851	62.12		11	0.80		111	8.10		1370
	SECOND			3	27.27		0	0.00		0	0.00		7	63.64			Excluded		1	9.09		11
		TOTAL		102	7.45		277	20.22		21	1.53		858	62.63					112	8.18		1370
	THIRD			6	28.57		2	9.52			Excluded		5	23.81					8	38.10		21
		TOTAL		108	7.88		279	20.36					863	62.99					120	8.76		1370
	FOURTH			66	55.00		21	17.50					33	27.50						Excluded		120
		TOTAL		174	12.70		300	21.90					896	65.40								1370
	FIFTH				Excluded		123	70.69					51	29.31								174
		TOTAL					423	30.88					947	69.12								1370
													Elected									
																						
Roseville Chase                                                																						
	FIRST			60	6.04		189	19.03		12	1.21		657	66.16		13	1.31		62	6.24		993
	SECOND			2	15.38		1	7.69		0	0.00		6	46.15			Excluded		4	30.77		13
		TOTAL		62	6.24		190	19.13		12	1.21		663	66.77					66	6.65		993
	THIRD			3	25.00		3	25.00			Excluded		6	50.00					0	0.00		12
		TOTAL		65	6.55		193	19.44					669	67.37					66	6.65		993
	FOURTH			31	46.97		17	25.76					18	27.27						Excluded		66
		TOTAL		96	9.67		210	21.15					687	69.18								993
	FIFTH				Excluded		76	79.17					20	20.83								96
		TOTAL					286	28.80					707	71.20								993
													Elected									
																						
Roseville East                                                 																						
	FIRST			59	6.74		178	20.32		14	1.60		542	61.87		7	0.80		76	8.68		876
	SECOND			0	0.00		0	0.00		1	14.29		4	57.14			Excluded		2	28.57		7
		TOTAL		59	6.74		178	20.32		15	1.71		546	62.33					78	8.90		876
	THIRD			2	13.33		2	13.33			Excluded		10	66.67					1	6.67		15
		TOTAL		61	6.96		180	20.55					556	63.47					79	9.02		876
	FOURTH			49	62.03		22	27.85					8	10.13						Excluded		79
		TOTAL		110	12.56		202	23.06					564	64.38								876
	FIFTH				Excluded		76	69.09					34	30.91								110
		TOTAL					278	31.74					598	68.26								876
													Elected									
																						
Roseville South                                                																						
	FIRST			89	7.14		328	26.30		23	1.84		706	56.62		18	1.44		83	6.66		1247
	SECOND			1	5.56		3	16.67		0	0.00		11	61.11			Excluded		3	16.67		18
		TOTAL		90	7.22		331	26.54		23	1.84		717	57.50					86	6.90		1247
	THIRD			4	17.39		2	8.70			Excluded		13	56.52					4	17.39		23
		TOTAL		94	7.54		333	26.70					730	58.54					90	7.22		1247
	FOURTH			49	54.44		25	27.78					16	17.78						Excluded		90
		TOTAL		143	11.47		358	28.71					746	59.82								1247
	FIFTH				Excluded		102	71.33					41	28.67								143
		TOTAL					460	36.89					787	63.11								1247
													Elected									
																						
St Ives                                                        																						
	FIRST			68	4.80		216	15.25		23	1.62		1026	72.46		7	0.49		76	5.37		1416
	SECOND			0	0.00		0	0.00		0	0.00		7	100.00			Excluded		0	0.00		7
		TOTAL		68	4.80		216	15.25		23	1.62		1033	72.95					76	5.37		1416
	THIRD			1	4.35		5	21.74			Excluded		17	73.91					0	0.00		23
		TOTAL		69	4.87		221	15.61					1050	74.15					76	5.37		1416
	FOURTH			33	43.42		25	32.89					18	23.68						Excluded		76
		TOTAL		102	7.20		246	17.37					1068	75.42								1416
	FIFTH				Excluded		66	64.71					36	35.29								102
		TOTAL					312	22.03					1104	77.97								1416
													Elected									
																						
St Ives Chase                                                  																						
	FIRST			34	6.13		81	14.59		5	0.90		394	70.99		10	1.80		31	5.59		555
	SECOND			1	10.00		0	0.00		0	0.00		8	80.00			Excluded		1	10.00		10
		TOTAL		35	6.31		81	14.59		5	0.90		402	72.43					32	5.77		555
	THIRD			1	20.00		2	40.00			Excluded		1	20.00					1	20.00		5
		TOTAL		36	6.49		83	14.95					403	72.61					33	5.95		555
	FOURTH			13	39.39		10	30.30					10	30.30						Excluded		33
		TOTAL		49	8.83		93	16.76					413	74.41								555
	FIFTH				Excluded		34	69.39					15	30.61								49
		TOTAL					127	22.88					428	77.12								555
													Elected									
																						
St Ives North                                                  																						
	FIRST			140	4.89		390	13.62		32	1.12		2123	74.13		44	1.54		135	4.71		2864
	SECOND			2	4.55		4	9.09		1	2.27		33	75.00			Excluded		4	9.09		44
		TOTAL		142	4.96		394	13.76		33	1.15		2156	75.28					139	4.85		2864
	THIRD			1	3.03		4	12.12			Excluded		22	66.67					6	18.18		33
		TOTAL		143	4.99		398	13.90					2178	76.05					145	5.06		2864
	FOURTH			84	57.93		29	20.00					32	22.07						Excluded		145
		TOTAL		227	7.93		427	14.91					2210	77.16								2864
	FIFTH				Excluded		151	66.52					76	33.48								227
		TOTAL					578	20.18					2286	79.82								2864
													Elected									
																						
St Ives Park                                                   																						
	FIRST			86	4.82		238	13.34		21	1.18		1331	74.61		23	1.29		85	4.76		1784
	SECOND			0	0.00		2	8.70		1	4.35		14	60.87			Excluded		6	26.09		23
		TOTAL		86	4.82		240	13.45		22	1.23		1345	75.39					91	5.10		1784
	THIRD			5	22.73		1	4.55			Excluded		15	68.18					1	4.55		22
		TOTAL		91	5.10		241	13.51					1360	76.23					92	5.16		1784
	FOURTH			46	50.00		25	27.17					21	22.83						Excluded		92
		TOTAL		137	7.68		266	14.91					1381	77.41								1784
	FIFTH				Excluded		88	64.23					49	35.77								137
		TOTAL					354	19.84					1430	80.16								1784
													Elected									
																						
St Ives South                                                  																						
	FIRST			110	4.18		408	15.51		34	1.29		1875	71.29		66	2.51		137	5.21		2630
	SECOND			3	4.55		7	10.61		3	4.55		45	68.18			Excluded		8	12.12		66
		TOTAL		113	4.30		415	15.78		37	1.41		1920	73.00					145	5.51		2630
	THIRD			6	16.22		8	21.62			Excluded		16	43.24					7	18.92		37
		TOTAL		119	4.52		423	16.08					1936	73.61					152	5.78		2630
	FOURTH			70	46.05		39	25.66					43	28.29						Excluded		152
		TOTAL		189	7.19		462	17.57					1979	75.25								2630
	FIFTH				Excluded		130	68.78					59	31.22								189
		TOTAL					592	22.51					2038	77.49								2630
													Elected									
																						
Sydney (Bradfield)                                             																						
	FIRST			19	13.87		35	25.55		1	0.73		60	43.80		2	1.46		20	14.60		137
	SECOND			0	0.00		0	0.00		0	0.00		2	100.00			Excluded		0	0.00		2
		TOTAL		19	13.87		35	25.55		1	0.73		62	45.26					20	14.60		137
	THIRD			0	0.00		0	0.00			Excluded		1	100.00					0	0.00		1
		TOTAL		19	13.87		35	25.55					63	45.99					20	14.60		137
	FOURTH			11	55.00		3	15.00					6	30.00						Excluded		20
		TOTAL		30	21.90		38	27.74					69	50.36								137
	FIFTH				Excluded		20	66.67					10	33.33								30
		TOTAL					58	42.34					79	57.66								137
													Elected									
																						
Turramurra                                                     																						
	FIRST			31	4.38		90	12.73		9	1.27		545	77.09		15	2.12		17	2.40		707
	SECOND			1	6.67		0	0.00		0	0.00		13	86.67			Excluded		1	6.67		15
		TOTAL		32	4.53		90	12.73		9	1.27		558	78.93					18	2.55		707
	THIRD			0	0.00		1	11.11			Excluded		7	77.78					1	11.11		9
		TOTAL		32	4.53		91	12.87					565	79.92					19	2.69		707
	FOURTH			9	47.37		4	21.05					6	31.58						Excluded		19
		TOTAL		41	5.80		95	13.44					571	80.76								707
	FIFTH				Excluded		26	63.41					15	36.59								41
		TOTAL					121	17.11					586	82.89								707
													Elected									
																						
Turramurra Central                                             																						
	FIRST			124	6.92		283	15.78		40	2.23		1238	69.05		24	1.34		84	4.68		1793
	SECOND			3	12.50		4	16.67		2	8.33		13	54.17			Excluded		2	8.33		24
		TOTAL		127	7.08		287	16.01		42	2.34		1251	69.77					86	4.80		1793
	THIRD			2	4.76		6	14.29			Excluded		29	69.05					5	11.90		42
		TOTAL		129	7.19		293	16.34					1280	71.39					91	5.08		1793
	FOURTH			54	59.34		21	23.08					16	17.58						Excluded		91
		TOTAL		183	10.21		314	17.51					1296	72.28								1793
	FIFTH				Excluded		128	69.95					55	30.05								183
		TOTAL					442	24.65					1351	75.35								1793
													Elected									
																						
Turramurra North                                               																						
	FIRST			171	6.75		375	14.81		45	1.78		1751	69.15		54	2.13		136	5.37		2532
	SECOND			2	3.70		2	3.70		4	7.41		41	75.93			Excluded		5	9.26		54
		TOTAL		173	6.83		377	14.89		49	1.94		1792	70.77					141	5.57		2532
	THIRD			14	28.57		9	18.37			Excluded		22	44.90					4	8.16		49
		TOTAL		187	7.39		386	15.24					1814	71.64					145	5.73		2532
	FOURTH			72	49.66		31	21.38					42	28.97						Excluded		145
		TOTAL		259	10.23		417	16.47					1856	73.30								2532
	FIFTH				Excluded		185	71.43					74	28.57								259
		TOTAL					602	23.78					1930	76.22								2532
													Elected									
																						
Turramurra South                                               																						
	FIRST			202	7.47		554	20.48		47	1.74		1588	58.71		54	2.00		260	9.61		2705
	SECOND			4	7.41		6	11.11		3	5.56		28	51.85			Excluded		13	24.07		54
		TOTAL		206	7.62		560	20.70		50	1.85		1616	59.74					273	10.09		2705
	THIRD			13	26.00		7	14.00			Excluded		25	50.00					5	10.00		50
		TOTAL		219	8.10		567	20.96					1641	60.67					278	10.28		2705
	FOURTH			170	61.15		51	18.35					57	20.50						Excluded		278
		TOTAL		389	14.38		618	22.85					1698	62.77								2705
	FIFTH				Excluded		273	70.18					116	29.82								389
		TOTAL					891	32.94					1814	67.06								2705
													Elected									
																						
Wahroonga                                                      																						
	FIRST			143	6.21		298	12.94		42	1.82		1665	72.30		38	1.65		117	5.08		2303
	SECOND			7	18.42		6	15.79		2	5.26		20	52.63			Excluded		3	7.89		38
		TOTAL		150	6.51		304	13.20		44	1.91		1685	73.17					120	5.21		2303
	THIRD			11	25.00		8	18.18			Excluded		23	52.27					2	4.55		44
		TOTAL		161	6.99		312	13.55					1708	74.16					122	5.30		2303
	FOURTH			72	59.02		22	18.03					28	22.95						Excluded		122
		TOTAL		233	10.12		334	14.50					1736	75.38								2303
	FIFTH				Excluded		152	65.24					81	34.76								233
		TOTAL					486	21.10					1817	78.90								2303
													Elected									
																						
Wahroonga East                                                 																						
	FIRST			142	6.30		332	14.72		25	1.11		1605	71.18		25	1.11		126	5.59		2255
	SECOND			3	12.00		2	8.00		1	4.00		17	68.00			Excluded		2	8.00		25
		TOTAL		145	6.43		334	14.81		26	1.15		1622	71.93					128	5.68		2255
	THIRD			8	30.77		3	11.54			Excluded		10	38.46					5	19.23		26
		TOTAL		153	6.78		337	14.94					1632	72.37					133	5.90		2255
	FOURTH			72	54.14		26	19.55					35	26.32						Excluded		133
		TOTAL		225	9.98		363	16.10					1667	73.92								2255
	FIFTH				Excluded		155	68.89					70	31.11								225
		TOTAL					518	22.97					1737	77.03								2255
													Elected									
																						
Warrawee                                                       																						
	FIRST			237	8.30		482	16.89		51	1.79		1845	64.65		53	1.86		186	6.52		2854
	SECOND			6	11.32		4	7.55		4	7.55		32	60.38			Excluded		7	13.21		53
		TOTAL		243	8.51		486	17.03		55	1.93		1877	65.77					193	6.76		2854
	THIRD			8	14.55		4	7.27			Excluded		32	58.18					11	20.00		55
		TOTAL		251	8.79		490	17.17					1909	66.89					204	7.15		2854
	FOURTH			129	63.24		35	17.16					40	19.61						Excluded		204
		TOTAL		380	13.31		525	18.40					1949	68.29								2854
	FIFTH				Excluded		279	73.42					101	26.58								380
		TOTAL					804	28.17					2050	71.83								2854
													Elected									
																						
Willoughby (Bradfield)                                         																						
	FIRST			44	7.86		140	25.00		8	1.43		311	55.54		8	1.43		49	8.75		560
	SECOND			2	25.00		1	12.50		0	0.00		4	50.00			Excluded		1	12.50		8
		TOTAL		46	8.21		141	25.18		8	1.43		315	56.25					50	8.93		560
	THIRD			2	25.00		2	25.00			Excluded		3	37.50					1	12.50		8
		TOTAL		48	8.57		143	25.54					318	56.79					51	9.11		560
	FOURTH			22	43.14		9	17.65					20	39.22						Excluded		51
		TOTAL		70	12.50		152	27.14					338	60.36								560
	FIFTH				Excluded		53	75.71					17	24.29								70
		TOTAL					205	36.61					355	63.39								560
													Elected									
																						
Willoughby North (Bradfield)                                   																						
	FIRST			70	8.71		166	20.65		9	1.12		479	59.58		7	0.87		73	9.08		804
	SECOND			1	14.29		2	28.57		1	14.29		2	28.57			Excluded		1	14.29		7
		TOTAL		71	8.83		168	20.90		10	1.24		481	59.83					74	9.20		804
	THIRD			4	40.00		0	0.00			Excluded		5	50.00					1	10.00		10
		TOTAL		75	9.33		168	20.90					486	60.45					75	9.33		804
	FOURTH			34	45.33		19	25.33					22	29.33						Excluded		75
		TOTAL		109	13.56		187	23.26					508	63.18								804
	FIFTH				Excluded		94	86.24					15	13.76								109
		TOTAL					281	34.95					523	65.05								804
													Elected									
																						
Special Hospital Team 1                                        																						
	FIRST			6	2.14		29	10.32		1	0.36		240	85.41		1	0.36		4	1.42		281
	SECOND			0	0.00		0	0.00		0	0.00		1	100.00			Excluded		0	0.00		1
		TOTAL		6	2.14		29	10.32		1	0.36		241	85.77					4	1.42		281
