House of Representatives - 2001 Election: New South Wales																																									
Distribution of Preferences																																									
By Polling Place																																									
																																									
Robertson																																									
				KENISCIEHAD			BOYLE			HENNIG			MORAN			MUNN			LLOYD			LACEY			WILLS			LAING-PEACH			BAKER			PHILLIPS			MARTIN				
	FIFTH			1	12.50		2	25.00		0	0.00		0	0.00					1	12.50		2	25.00		1	12.50			Excluded		1	12.50								8	
		TOTAL		14	1.05		56	4.21		21	1.58		447	33.58					643	48.31		96	7.21		29	2.18					25	1.88								1331	
	SIXTH				Excluded		12	85.71		0	0.00		1	7.14					1	7.14		0	0.00		0	0.00					0	0.00								14	
		TOTAL					68	5.11		21	1.58		448	33.66					644	48.38		96	7.21		29	2.18					25	1.88								1331	
	SEVENTH						2	6.90		0	0.00		5	17.24					5	17.24		7	24.14			Excluded					10	34.48								29	
		TOTAL					70	5.26		21	1.58		453	34.03					649	48.76		103	7.74								35	2.63								1331	
	EIGHTH						4	19.05			Excluded		2	9.52					10	47.62		5	23.81								0	0.00								21	
		TOTAL					74	5.56					455	34.18					659	49.51		108	8.11								35	2.63								1331	
	NINTH						11	31.43					8	22.86					7	20.00		9	25.71									Excluded								35	
		TOTAL					85	6.39					463	34.79					666	50.04		117	8.79																	1331	
	TENTH						45	38.46					45	38.46					27	23.08			Excluded																	117	
		TOTAL					130	9.77					508	38.17					693	52.07																				1331	
	ELEVENTH							Excluded					93	71.54					37	28.46																				130	
		TOTAL											601	45.15					730	54.85																				1331	
																			Elected																						
																																									
Davistown                                                      																																									
	FIRST			13	0.97		63	4.72		9	0.67		476	35.63		4	0.30		679	50.82		23	1.72		9	0.67		3	0.22		49	3.67		5	0.37		3	0.22		1336	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	33.33		0	0.00		2	66.67			Excluded		3	
		TOTAL		13	0.97		63	4.72		9	0.67		476	35.63		4	0.30		679	50.82		23	1.72		9	0.67		4	0.30		49	3.67		7	0.52					1336	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	25.00		2	50.00		1	25.00		0	0.00		0	0.00		0	0.00					4	
		TOTAL		13	0.97		63	4.72		9	0.67		476	35.63					680	50.90		25	1.87		10	0.75		4	0.30		49	3.67		7	0.52					1336	
	FOURTH			1	14.29		0	0.00		0	0.00		1	14.29					1	14.29		1	14.29		1	14.29		0	0.00		2	28.57			Excluded					7	
		TOTAL		14	1.05		63	4.72		9	0.67		477	35.70					681	50.97		26	1.95		11	0.82		4	0.30		51	3.82								1336	
	FIFTH			0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		1	25.00		2	50.00			Excluded		1	25.00								4	
		TOTAL		14	1.05		63	4.72		9	0.67		477	35.70					681	50.97		27	2.02		13	0.97					52	3.89								1336	
	SIXTH				Excluded		9	64.29		2	14.29		0	0.00					1	7.14		1	7.14		1	7.14					0	0.00								14	
		TOTAL					72	5.39		11	0.82		477	35.70					682	51.05		28	2.10		14	1.05					52	3.89								1336	
	SEVENTH						3	21.43		1	7.14		2	14.29					3	21.43		1	7.14			Excluded					4	28.57								14	
		TOTAL					75	5.61		12	0.90		479	35.85					685	51.27		29	2.17								56	4.19								1336	
	EIGHTH						7	58.33			Excluded		0	0.00					3	25.00		0	0.00								2	16.67								12	
		TOTAL					82	6.14					479	35.85					688	51.50		29	2.17								58	4.34								1336	
	NINTH						8	13.79					19	32.76					16	27.59		15	25.86									Excluded								58	
		TOTAL					90	6.74					498	37.28					704	52.69		44	3.29																	1336	
	TENTH						18	40.91					14	31.82					12	27.27			Excluded																	44	
		TOTAL					108	8.08					512	38.32					716	53.59																				1336	
	ELEVENTH							Excluded					79	73.15					29	26.85																				108	
		TOTAL											591	44.24					745	55.76																				1336	
																			Elected																						
																																									
Empire Bay                                                     																																									
	FIRST			18	0.72		83	3.33		36	1.45		755	30.33		8	0.32		1354	54.40		68	2.73		34	1.37		14	0.56		110	4.42		8	0.32		1	0.04		2489	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	100.00		0	0.00			Excluded		1	
		TOTAL		18	0.72		83	3.33		36	1.45		755	30.33		8	0.32		1354	54.40		68	2.73		34	1.37		14	0.56		111	4.46		8	0.32					2489	
	THIRD			0	0.00		0	0.00		3	37.50		0	0.00			Excluded		1	12.50		0	0.00		0	0.00		0	0.00		1	12.50		3	37.50					8	
		TOTAL		18	0.72		83	3.33		39	1.57		755	30.33					1355	54.44		68	2.73		34	1.37		14	0.56		112	4.50		11	0.44					2489	
	FOURTH			0	0.00		0	0.00		3	27.27		3	27.27					1	9.09		1	9.09		1	9.09		0	0.00		2	18.18			Excluded					11	
		TOTAL		18	0.72		83	3.33		42	1.69		758	30.45					1356	54.48		69	2.77		35	1.41		14	0.56		114	4.58								2489	
	FIFTH			1	7.14		1	7.14		0	0.00		4	28.57					2	14.29		1	7.14		4	28.57			Excluded		1	7.14								14	
		TOTAL		19	0.76		84	3.37		42	1.69		762	30.61					1358	54.56		70	2.81		39	1.57					115	4.62								2489	
	SIXTH				Excluded		11	57.89		4	21.05		1	5.26					1	5.26		0	0.00		2	10.53					0	0.00								19	
		TOTAL					95	3.82		46	1.85		763	30.65					1359	54.60		70	2.81		41	1.65					115	4.62								2489	
	SEVENTH						8	19.51		1	2.44		3	7.32					4	9.76		5	12.20			Excluded					20	48.78								41	
		TOTAL					103	4.14		47	1.89		766	30.78					1363	54.76		75	3.01								135	5.42								2489	
	EIGHTH						6	12.77			Excluded		4	8.51					26	55.32		9	19.15								2	4.26								47	
		TOTAL					109	4.38					770	30.94					1389	55.81		84	3.37								137	5.50								2489	
	NINTH						14	10.22					24	17.52					62	45.26		37	27.01									Excluded								137	
		TOTAL					123	4.94					794	31.90					1451	58.30		121	4.86																	2489	
	TENTH						51	42.15					33	27.27					37	30.58			Excluded																	121	
		TOTAL					174	6.99					827	33.23					1488	59.78																				2489	
	ELEVENTH							Excluded					120	68.97					54	31.03																				174	
		TOTAL											947	38.05					1542	61.95																				2489	
																			Elected																						
																																									
Erina                                                          																																									
	FIRST			32	0.82		120	3.09		63	1.62		1224	31.55		15	0.39		2190	56.46		84	2.17		36	0.93		14	0.36		73	1.88		19	0.49		9	0.23		3879	
	SECOND			0	0.00		1	11.11		3	33.33		0	0.00		0	0.00		0	0.00		1	11.11		0	0.00		1	11.11		1	11.11		2	22.22			Excluded		9	
		TOTAL		32	0.82		121	3.12		66	1.70		1224	31.55		15	0.39		2190	56.46		85	2.19		36	0.93		15	0.39		74	1.91		21	0.54					3879	
	THIRD			0	0.00		2	13.33		0	0.00		3	20.00			Excluded		5	33.33		0	0.00		3	20.00		2	13.33		0	0.00		0	0.00					15	
		TOTAL		32	0.82		123	3.17		66	1.70		1227	31.63					2195	56.59		85	2.19		39	1.01		17	0.44		74	1.91		21	0.54					3879	
	FOURTH			0	0.00		1	4.76		0	0.00		8	38.10					1	4.76		4	19.05		0	0.00		1	4.76		6	28.57			Excluded					21	
		TOTAL		32	0.82		124	3.20		66	1.70		1235	31.84					2196	56.61		89	2.29		39	1.01		18	0.46		80	2.06								3879	
	FIFTH			3	16.67		1	5.56		0	0.00		2	11.11					5	27.78		2	11.11		1	5.56			Excluded		4	22.22								18	
		TOTAL		35	0.90		125	3.22		66	1.70		1237	31.89					2201	56.74		91	2.35		40	1.03					84	2.17								3879	
	SIXTH				Excluded		22	62.86		5	14.29		1	2.86					1	2.86		3	8.57		2	5.71					1	2.86								35	
		TOTAL					147	3.79		71	1.83		1238	31.92					2202	56.77		94	2.42		42	1.08					85	2.19								3879	
	SEVENTH						5	11.90		1	2.38		4	9.52					6	14.29		6	14.29			Excluded					20	47.62								42	
		TOTAL					152	3.92		72	1.86		1242	32.02					2208	56.92		100	2.58								105	2.71								3879	
	EIGHTH						9	12.50			Excluded		11	15.28					38	52.78		11	15.28								3	4.17								72	
		TOTAL					161	4.15					1253	32.30					2246	57.90		111	2.86								108	2.78								3879	
	NINTH						18	16.67					9	8.33					47	43.52		34	31.48									Excluded								108	
		TOTAL					179	4.61					1262	32.53					2293	59.11		145	3.74																	3879	
	TENTH						64	44.14					36	24.83					45	31.03			Excluded																	145	
		TOTAL					243	6.26					1298	33.46					2338	60.27																				3879	
	ELEVENTH							Excluded					175	72.02					68	27.98																				243	
		TOTAL											1473	37.97					2406	62.03																				3879	
																			Elected																						
																																									
Erina Heights (Robertson)                                      																																									
	FIRST			2	0.29		29	4.25		13	1.91		158	23.17		1	0.15		434	63.64		25	3.67		3	0.44		4	0.59		12	1.76		0	0.00		1	0.15		682	
	SECOND			0	0.00		0	0.00		0	0.00		1	100.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	
		TOTAL		2	0.29		29	4.25		13	1.91		159	23.31		1	0.15		434	63.64		25	3.67		3	0.44		4	0.59		12	1.76		0	0.00					682	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	100.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					1	
		TOTAL		2	0.29		29	4.25		13	1.91		159	23.31					435	63.78		25	3.67		3	0.44		4	0.59		12	1.76		0	0.00					682	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded					0	
		TOTAL		2	0.29		29	4.25		13	1.91		159	23.31					435	63.78		25	3.67		3	0.44		4	0.59		12	1.76								682	
	FIFTH			0	0.00		1	25.00		0	0.00		0	0.00					1	25.00		0	0.00		2	50.00			Excluded		0	0.00								4	
		TOTAL		2	0.29		30	4.40		13	1.91		159	23.31					436	63.93		25	3.67		5	0.73					12	1.76								682	
	SIXTH				Excluded		2	100.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00					0	0.00								2	
		TOTAL					32	4.69		13	1.91		159	23.31					436	63.93		25	3.67		5	0.73					12	1.76								682	
	SEVENTH						1	20.00		0	0.00		2	40.00					1	20.00		0	0.00			Excluded					1	20.00								5	
		TOTAL					33	4.84		13	1.91		161	23.61					437	64.08		25	3.67								13	1.91								682	
	EIGHTH						1	7.69			Excluded		0	0.00					11	84.62		1	7.69								0	0.00								13	
		TOTAL					34	4.99					161	23.61					448	65.69		26	3.81								13	1.91								682	
	NINTH						3	23.08					2	15.38					7	53.85		1	7.69									Excluded								13	
		TOTAL					37	5.43					163	23.90					455	66.72		27	3.96																	682	
	TENTH						22	81.48					3	11.11					2	7.41			Excluded																	27	
		TOTAL					59	8.65					166	24.34					457	67.01																				682	
	ELEVENTH							Excluded					42	71.19					17	28.81																				59	
		TOTAL											208	30.50					474	69.50																				682	
																			Elected																						
																																									
Erina South                                                    																																									
	FIRST			4	0.55		20	2.75		10	1.38		269	37.05		2	0.28		394	54.27		5	0.69		2	0.28		10	1.38		8	1.10		2	0.28		0	0.00		726	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	
		TOTAL		4	0.55		20	2.75		10	1.38		269	37.05		2	0.28		394	54.27		5	0.69		2	0.28		10	1.38		8	1.10		2	0.28					726	
	THIRD			1	50.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		1	50.00		0	0.00		0	0.00		0	0.00					2	
		TOTAL		5	0.69		20	2.75		10	1.38		269	37.05					394	54.27		5	0.69		3	0.41		10	1.38		8	1.10		2	0.28					726	
	FOURTH			0	0.00		1	50.00		0	0.00		1	50.00					0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded					2	
		TOTAL		5	0.69		21	2.89		10	1.38		270	37.19					394	54.27		5	0.69		3	0.41		10	1.38		8	1.10								726	
	FIFTH			2	20.00		1	10.00		0	0.00		2	20.00					2	20.00		1	10.00		2	20.00			Excluded		0	0.00								10	
		TOTAL		7	0.96		22	3.03		10	1.38		272	37.47					396	54.55		6	0.83		5	0.69					8	1.10								726	
	SIXTH				Excluded		3	42.86		0	0.00		2	28.57					1	14.29		1	14.29		0	0.00					0	0.00								7	
		TOTAL					25	3.44		10	1.38		274	37.74					397	54.68		7	0.96		5	0.69					8	1.10								726	
	SEVENTH						0	0.00		0	0.00		1	20.00					1	20.00		1	20.00			Excluded					2	40.00								5	
		TOTAL					25	3.44		10	1.38		275	37.88					398	54.82		8	1.10								10	1.38								726	
	EIGHTH						2	20.00			Excluded		2	20.00					6	60.00		0	0.00								0	0.00								10	
		TOTAL					27	3.72					277	38.15					404	55.65		8	1.10								10	1.38								726	
	NINTH						3	30.00					1	10.00					5	50.00		1	10.00									Excluded								10	
		TOTAL					30	4.13					278	38.29					409	56.34		9	1.24																	726	
	TENTH						6	66.67					2	22.22					1	11.11			Excluded																	9	
		TOTAL					36	4.96					280	38.57					410	56.47																				726	
	ELEVENTH							Excluded					25	69.44					11	30.56																				36	
		TOTAL											305	42.01					421	57.99																				726	
																			Elected																						
																																									
Ettalong                                                       																																									
	FIRST			32	1.08		61	2.06		28	0.94		1204	40.57		14	0.47		1326	44.68		85	2.86		38	1.28		10	0.34		150	5.05		15	0.51		5	0.17		2968	
	SECOND			0	0.00		0	0.00		1	20.00		0	0.00		0	0.00		0	0.00		0	0.00		1	20.00		0	0.00		0	0.00		3	60.00			Excluded		5	
		TOTAL		32	1.08		61	2.06		29	0.98		1204	40.57		14	0.47		1326	44.68		85	2.86		39	1.31		10	0.34		150	5.05		18	0.61					2968	
	THIRD			1	7.14		1	7.14		0	0.00		4	28.57			Excluded		2	14.29		2	14.29		0	0.00		1	7.14		1	7.14		2	14.29					14	
		TOTAL		33	1.11		62	2.09		29	0.98		1208	40.70					1328	44.74		87	2.93		39	1.31		11	0.37		151	5.09		20	0.67					2968	
	FOURTH			2	10.00		0	0.00		2	10.00		5	25.00					1	5.00		1	5.00		0	0.00		4	20.00		5	25.00			Excluded					20	
		TOTAL		35	1.18		62	2.09		31	1.04		1213	40.87					1329	44.78		88	2.96		39	1.31		15	0.51		156	5.26								2968	
	FIFTH			2	13.33		1	6.67		0	0.00		0	0.00					0	0.00		2	13.33		8	53.33			Excluded		2	13.33								15	
		TOTAL		37	1.25		63	2.12		31	1.04		1213	40.87					1329	44.78		90	3.03		47	1.58					158	5.32								2968	
	SIXTH				Excluded		23	62.16		3	8.11		5	13.51					3	8.11		1	2.70		2	5.41					0	0.00								37	
		TOTAL					86	2.90		34	1.15		1218	41.04					1332	44.88		91	3.07		49	1.65					158	5.32								2968	
	SEVENTH						4	8.16		2	4.08		2	4.08					7	14.29		9	18.37			Excluded					25	51.02								49	
		TOTAL					90	3.03		36	1.21		1220	41.11					1339	45.11		100	3.37								183	6.17								2968	
	EIGHTH						9	25.00			Excluded		2	5.56					14	38.89		8	22.22								3	8.33								36	
		TOTAL					99	3.34					1222	41.17					1353	45.59		108	3.64								186	6.27								2968	
	NINTH						43	23.12					33	17.74					69	37.10		41	22.04									Excluded								186	
		TOTAL					142	4.78					1255	42.28					1422	47.91		149	5.02																	2968	
	TENTH						67	44.97					41	27.52					41	27.52			Excluded																	149	
		TOTAL					209	7.04					1296	43.67					1463	49.29																				2968	
	ELEVENTH							Excluded					175	83.73					34	16.27																				209	
		TOTAL											1471	49.56					1497	50.44																				2968	
																			Elected																						
																																									
Ettalong South                                                 																																									
	FIRST			5	0.77		9	1.39		2	0.31		325	50.31		2	0.31		265	41.02		13	2.01		1	0.15		1	0.15		22	3.41		1	0.15		0	0.00		646	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	
		TOTAL		5	0.77		9	1.39		2	0.31		325	50.31		2	0.31		265	41.02		13	2.01		1	0.15		1	0.15		22	3.41		1	0.15					646	
	THIRD			0	0.00		0	0.00		0	0.00		1	50.00			Excluded		1	50.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					2	
		TOTAL		5	0.77		9	1.39		2	0.31		326	50.46					266	41.18		13	2.01		1	0.15		1	0.15		22	3.41		1	0.15					646	
	FOURTH			0	0.00		0	0.00		0	0.00		1	100.00					0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded					1	
		TOTAL		5	0.77		9	1.39		2	0.31		327	50.62					266	41.18		13	2.01		1	0.15		1	0.15		22	3.41								646	
	FIFTH			0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		1	100.00			Excluded		0	0.00								1	
		TOTAL		5	0.77		9	1.39		2	0.31		327	50.62					266	41.18		13	2.01		2	0.31					22	3.41								646	
	SIXTH				Excluded		5	100.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00					0	0.00								5	
		TOTAL					14	2.17		2	0.31		327	50.62					266	41.18		13	2.01		2	0.31					22	3.41								646	
	SEVENTH						1	50.00		0	0.00		0	0.00					0	0.00		0	0.00			Excluded					1	50.00								2	
		TOTAL					15	2.32		2	0.31		327	50.62					266	41.18		13	2.01								23	3.56								646	
	EIGHTH						0	0.00			Excluded		2	100.00					0	0.00		0	0.00								0	0.00								2	
		TOTAL					15	2.32					329	50.93					266	41.18		13	2.01								23	3.56								646	
	NINTH						0	0.00					5	21.74					12	52.17		6	26.09									Excluded								23	
		TOTAL					15	2.32					334	51.70					278	43.03		19	2.94																	646	
	TENTH						6	31.58					7	36.84					6	31.58			Excluded																	19	
		TOTAL					21	3.25					341	52.79					284	43.96																				646	
	ELEVENTH							Excluded					17	80.95					4	19.05																				21	
		TOTAL											358	55.42					288	44.58																				646	
																			Elected																						
																																									
Ettalong West                                                  																																									
	FIRST			24	1.00		69	2.88		20	0.84		1165	48.66		7	0.29		880	36.76		77	3.22		27	1.13		18	0.75		86	3.59		19	0.79		2	0.08		2394	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	50.00		0	0.00		1	50.00			Excluded		2	
		TOTAL		24	1.00		69	2.88		20	0.84		1165	48.66		7	0.29		880	36.76		77	3.22		27	1.13		19	0.79		86	3.59		20	0.84					2394	
	THIRD			1	14.29		0	0.00		2	28.57		3	42.86			Excluded		0	0.00		0	0.00		1	14.29		0	0.00		0	0.00		0	0.00					7	
		TOTAL		25	1.04		69	2.88		22	0.92		1168	48.79					880	36.76		77	3.22		28	1.17		19	0.79		86	3.59		20	0.84					2394	
	FOURTH			0	0.00		0	0.00		0	0.00		5	25.00					2	10.00		4	20.00		2	10.00		2	10.00		5	25.00			Excluded					20	
		TOTAL		25	1.04		69	2.88		22	0.92		1173	49.00					882	36.84		81	3.38		30	1.25		21	0.88		91	3.80								2394	
	FIFTH			4	19.05		0	0.00		0	0.00		3	14.29					1	4.76		0	0.00		10	47.62			Excluded		3	14.29								21	
		TOTAL		29	1.21		69	2.88		22	0.92		1176	49.12					883	36.88		81	3.38		40	1.67					94	3.93								2394	
	SIXTH				Excluded		13	44.83		3	10.34		6	20.69					1	3.45		2	6.90		3	10.34					1	3.45								29	
		TOTAL					82	3.43		25	1.04		1182	49.37					884	36.93		83	3.47		43	1.80					95	3.97								2394	
	SEVENTH						3	6.98		2	4.65		6	13.95					3	6.98		10	23.26			Excluded					19	44.19								43	
		TOTAL					85	3.55		27	1.13		1188	49.62					887	37.05		93	3.88								114	4.76								2394	
	EIGHTH						7	25.93			Excluded		6	22.22					9	33.33		5	18.52								0	0.00								27	
		TOTAL					92	3.84					1194	49.87					896	37.43		98	4.09								114	4.76								2394	
	NINTH						26	22.81					26	22.81					33	28.95		29	25.44									Excluded								114	
		TOTAL					118	4.93					1220	50.96					929	38.81		127	5.30																	2394	
	TENTH						50	39.37					43	33.86					34	26.77			Excluded																	127	
		TOTAL					168	7.02					1263	52.76					963	40.23																				2394	
	ELEVENTH							Excluded					127	75.60					41	24.40																				168	
		TOTAL											1390	58.06					1004	41.94																				2394	
																			Elected																						
																																									
Gosford                                                        																																									
	FIRST			8	0.65		77	6.28		29	2.37		445	36.30		6	0.49		579	47.23		34	2.77		5	0.41		5	0.41		27	2.20		9	0.73		2	0.16		1226	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	50.00		0	0.00		0	0.00		1	50.00		0	0.00		0	0.00			Excluded		2	
		TOTAL		8	0.65		77	6.28		29	2.37		445	36.30		6	0.49		580	47.31		34	2.77		5	0.41		6	0.49		27	2.20		9	0.73					1226	
	THIRD			2	33.33		1	16.67		0	0.00		1	16.67			Excluded		0	0.00		1	16.67		1	16.67		0	0.00		0	0.00		0	0.00					6	
		TOTAL		10	0.82		78	6.36		29	2.37		446	36.38					580	47.31		35	2.85		6	0.49		6	0.49		27	2.20		9	0.73					1226	
	FOURTH			0	0.00		2	22.22		0	0.00		1	11.11					0	0.00		1	11.11		0	0.00		1	11.11		4	44.44			Excluded					9	
		TOTAL		10	0.82		80	6.53		29	2.37		447	36.46					580	47.31		36	2.94		6	0.49		7	0.57		31	2.53								1226	
	FIFTH			0	0.00		0	0.00		0	0.00		2	28.57					1	14.29		1	14.29		3	42.86			Excluded		0	0.00								7	
		TOTAL		10	0.82		80	6.53		29	2.37		449	36.62					581	47.39		37	3.02		9	0.73					31	2.53								1226	
	SIXTH				Excluded		4	40.00		2	20.00		1	10.00					1	10.00		0	0.00		2	20.00					0	0.00								10	
		TOTAL					84	6.85		31	2.53		450	36.70					582	47.47		37	3.02		11	0.90					31	2.53								1226	
	SEVENTH						1	9.09		1	9.09		3	27.27					0	0.00		5	45.45			Excluded					1	9.09								11	
