Senate - 2001 Election: New South Wales																																																																																	
First Preference Votes by Group 																																																																																	
By Polling Place																																																																																	

Werriwa (83153)																																																																																	
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Group R Total			Group S Total			Group T Total			Group U Total			Group V Total			Group W Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Glenfield East		91	6.42		27	1.91		3	0.21		0	0.00		32	2.26		1	0.07		69	4.87		0	0.00		5	0.35		581	41.00		11	0.78		0	0.00		11	0.78		0	0.00		1	0.07		1	0.07		520	36.70		7	0.49		4	0.28		39	2.75		0	0.00		2	0.14		11	0.78		1	0.07		1417	95.42		68	4.58		1485	1.89
Green Valley		109	3.09		72	2.04		31	0.88		1	0.03		130	3.69		4	0.11		90	2.55		16	0.45		4	0.11		1877	53.25		7	0.20		2	0.06		21	0.60		0	0.00		2	0.06		4	0.11		1035	29.36		41	1.16		2	0.06		69	1.96		1	0.03		0	0.00		7	0.20		0	0.00		3525	94.23		216	5.77		3741	4.76
Greenway Park		44	2.98		37	2.50		6	0.41		1	0.07		43	2.91		1	0.07		57	3.86		10	0.68		2	0.14		627	42.42		10	0.68		1	0.07		10	0.68		0	0.00		3	0.20		0	0.00		582	39.38		19	1.29		1	0.07		20	1.35		0	0.00		0	0.00		4	0.27		0	0.00		1478	96.60		52	3.40		1530	1.95
Guise		79	6.79		12	1.03		2	0.17		1	0.09		49	4.21		1	0.09		22	1.89		9	0.77		3	0.26		686	58.93		2	0.17		1	0.09		7	0.60		0	0.00		1	0.09		2	0.17		230	19.76		19	1.63		3	0.26		22	1.89		0	0.00		1	0.09		12	1.03		0	0.00		1164	94.87		63	5.13		1227	1.56
Hinchinbrook		136	3.85		43	1.22		13	0.37		1	0.03		145	4.10		2	0.06		91	2.57		15	0.42		5	0.14		1822	51.53		10	0.28		2	0.06		16	0.45		4	0.11		3	0.08		6	0.17		1085	30.68		42	1.19		4	0.11		66	1.87		0	0.00		1	0.03		24	0.68		0	0.00		3536	95.67		160	4.33		3696	4.70
Hoxton Park		80	3.41		43	1.83		11	0.47		0	0.00		102	4.34		3	0.13		77	3.28		7	0.30		8	0.34		1232	52.45		12	0.51		2	0.09		28	1.19		0	0.00		1	0.04		1	0.04		659	28.05		24	1.02		2	0.09		38	1.62		0	0.00		0	0.00		19	0.81		0	0.00		2349	96.11		95	3.89		2444	3.11
Ingleburn		263	7.13		132	3.58		20	0.54		0	0.00		94	2.55		1	0.03		130	3.52		39	1.06		11	0.30		1347	36.49		23	0.62		1	0.03		26	0.70		0	0.00		12	0.33		8	0.22		1404	38.04		26	0.70		4	0.11		112	3.03		2	0.05		0	0.00		36	0.98		0	0.00		3691	95.67		167	4.33		3858	4.91
Ingleburn High		60	4.98		29	2.41		2	0.17		1	0.08		9	0.75		1	0.08		53	4.40		9	0.75		3	0.25		470	39.04		15	1.25		0	0.00		8	0.66		0	0.00		2	0.17		1	0.08		489	40.61		6	0.50		1	0.08		36	2.99		0	0.00		0	0.00		9	0.75		0	0.00		1204	97.57		30	2.43		1234	1.57
Ingleburn North		30	4.64		14	2.16		3	0.46		1	0.15		11	1.70		0	0.00		29	4.48		3	0.46		1	0.15		130	20.09		2	0.31		0	0.00		5	0.77		0	0.00		0	0.00		2	0.31		395	61.05		3	0.46		1	0.15		13	2.01		0	0.00		0	0.00		4	0.62		0	0.00		647	94.45		38	5.55		685	0.87
James Busby (Werriwa)		39	2.60		8	0.53		26	1.73		2	0.13		74	4.93		1	0.07		40	2.67		0	0.00		1	0.07		924	61.60		1	0.07		3	0.20		9	0.60		0	0.00		1	0.07		1	0.07		322	21.47		23	1.53		3	0.20		16	1.07		1	0.07		1	0.07		4	0.27		0	0.00		1500	94.22		92	5.78		1592	2.02
Kemps Creek (Werriwa)		57	7.92		5	0.69		3	0.42		1	0.14		27	3.75		2	0.28		16	2.22		7	0.97		2	0.28		161	22.36		4	0.56		1	0.14		5	0.69		0	0.00		1	0.14		2	0.28		398	55.28		7	0.97		1	0.14		10	1.39		0	0.00		1	0.14		9	1.25		0	0.00		720	92.07		62	7.93		782	0.99
Leumeah (Werriwa)		14	6.86		5	2.45		0	0.00		0	0.00		3	1.47		0	0.00		7	3.43		4	1.96		1	0.49		56	27.45		4	1.96		0	0.00		3	1.47		0	0.00		0	0.00		1	0.49		90	44.12		3	1.47		0	0.00		6	2.94		0	0.00		0	0.00		7	3.43		0	0.00		204	95.33		10	4.67		214	0.27
Leumeah North (Werriwa)		57	4.71		35	2.89		1	0.08		0	0.00		26	2.15		1	0.08		59	4.88		9	0.74		1	0.08		378	31.27		8	0.66		0	0.00		3	0.25		0	0.00		0	0.00		0	0.00		573	47.39		9	0.74		1	0.08		27	2.23		1	0.08		0	0.00		18	1.49		2	0.17		1209	96.10		49	3.90		1258	1.60
Liverpool West (Werriwa)		44	6.52		16	2.37		7	1.04		0	0.00		45	6.67		1	0.15		16	2.37		4	0.59		4	0.59		335	49.63		1	0.15		1	0.15		1	0.15		0	0.00		0	0.00		1	0.15		172	25.48		7	1.04		2	0.30		14	2.07		0	0.00		0	0.00		4	0.59		0	0.00		675	92.72		53	7.28		728	0.93
Lurnea		186	8.64		46	2.14		2	0.09		2	0.09		78	3.62		0	0.00		48	2.23		12	0.56		6	0.28		1100	51.07		10	0.46		2	0.09		18	0.84		7	0.32		1	0.05		3	0.14		549	25.49		21	0.97		0	0.00		45	2.09		1	0.05		0	0.00		16	0.74		1	0.05		2154	93.37		153	6.63		2307	2.93
Macquarie Fields		205	7.84		51	1.95		17	0.65		2	0.08		66	2.52		1	0.04		101	3.86		24	0.92		10	0.38		1076	41.13		12	0.46		2	0.08		18	0.69		0	0.00		6	0.23		4	0.15		881	33.68		30	1.15		6	0.23		62	2.37		0	0.00		2	0.08		40	1.53		0	0.00		2616	96.28		101	3.72		2717	3.46
Macquarie Fields North		65	6.06		30	2.80		3	0.28		1	0.09		25	2.33		1	0.09		41	3.82		10	0.93		3	0.28		417	38.90		4	0.37		1	0.09		8	0.75		0	0.00		1	0.09		3	0.28		416	38.81		5	0.47		1	0.09		24	2.24		0	0.00		0	0.00		12	1.12		1	0.09		1072	95.89		46	4.11		1118	1.42
Miller (Werriwa)		93	6.39		19	1.30		12	0.82		1	0.07		50	3.43		1	0.07		29	1.99		10	0.69		4	0.27		852	58.52		7	0.48		2	0.14		8	0.55		0	0.00		1	0.07		2	0.14		305	20.95		20	1.37		2	0.14		26	1.79		0	0.00		1	0.07		11	0.76		0	0.00		1456	93.94		94	6.06		1550	1.97
Minto		144	6.45		42	1.88		8	0.36		2	0.09		95	4.26		2	0.09		74	3.32		27	1.21		8	0.36		1008	45.16		19	0.85		2	0.09		15	0.67		1	0.04		0	0.00		6	0.27		653	29.26		29	1.30		2	0.09		58	2.60		0	0.00		4	0.18		32	1.43		1	0.04		2232	95.30		110	4.70		2342	2.98
Prestons		150	4.01		77	2.06		9	0.24		3	0.08		124	3.31		0	0.00		112	2.99		17	0.45		10	0.27		1727	46.15		23	0.61		2	0.05		26	0.69		1	0.03		5	0.13		2	0.05		1318	35.22		26	0.69		6	0.16		78	2.08		0	0.00		2	0.05		23	0.61		1	0.03		3742	94.30		226	5.70		3968	5.05
Prestons West		65	4.07		82	5.13		3	0.19		1	0.06		29	1.82		0	0.00		60	3.76		9	0.56		5	0.31		629	39.39		7	0.44		3	0.19		12	0.75		0	0.00		2	0.13		1	0.06		633	39.64		11	0.69		3	0.19		21	1.31		0	0.00		0	0.00		21	1.31		0	0.00		1597	96.09		65	3.91		1662	2.11
Robert Townson (Werriwa)		158	5.56		40	1.41		3	0.11		1	0.04		47	1.65		1	0.04		139	4.89		28	0.98		7	0.25		1102	38.76		19	0.67		1	0.04		18	0.63		1	0.04		3	0.11		3	0.11		1150	40.45		29	1.02		4	0.14		50	1.76		0	0.00		3	0.11		36	1.27		0	0.00		2843	96.67		98	3.33		2941	3.74
Sackville Street		171	7.33		30	1.29		7	0.30		3	0.13		48	2.06		1	0.04		104	4.46		17	0.73		6	0.26		834	35.75		10	0.43		0	0.00		22	0.94		0	0.00		1	0.04		1	0.04		1002	42.95		11	0.47		0	0.00		38	1.63		0	0.00		0	0.00		26	1.11		1	0.04		2333	96.72		79	3.28		2412	3.07
St Andrews		144	5.36		45	1.67		2	0.07		0	0.00		69	2.57		0	0.00		111	4.13		18	0.67		4	0.15		1081	40.20		15	0.56		1	0.04		19	0.71		0	0.00		8	0.30		2	0.07		1070	39.79		16	0.60		2	0.07		60	2.23		0	0.00		2	0.07		20	0.74		0	0.00		2689	96.38		101	3.62		2790	3.55
St Andrews South		61	4.95		26	2.11		4	0.32		2	0.16		40	3.24		1	0.08		53	4.30		14	1.14		5	0.41		500	40.55		5	0.41		1	0.08		10	0.81		1	0.08		2	0.16		2	0.16		439	35.60		17	1.38		4	0.32		23	1.87		0	0.00		1	0.08		22	1.78		0	0.00		1233	96.71		42	3.29		1275	1.62
Sydney (Werriwa)		2	1.96		0	0.00		1	0.98		0	0.00		4	3.92		0	0.00		6	5.88		1	0.98		0	0.00		46	45.10		1	0.98		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		34	33.33		2	1.96		0	0.00		3	2.94		0	0.00		0	0.00		2	1.96		0	0.00		102	97.14		3	2.86		105	0.13
The Grange		83	6.21		24	1.80		5	0.37		0	0.00		36	2.69		1	0.07		37	2.77		16	1.20		4	0.30		665	49.74		6	0.45		2	0.15		11	0.82		0	0.00		2	0.15		4	0.30		390	29.17		14	1.05		1	0.07		20	1.50		0	0.00		1	0.07		15	1.12		0	0.00		1337	96.12		54	3.88		1391	1.77
West Hoxton		47	8.48		22	3.97		2	0.36		0	0.00		12	2.17		0	0.00		9	1.62		3	0.54		1	0.18		158	28.52		1	0.18		0	0.00		7	1.26		1	0.18		1	0.18		0	0.00		275	49.64		5	0.90		0	0.00		7	1.26		0	0.00		0	0.00		3	0.54		0	0.00		554	90.23		60	9.77		614	0.78
Whiddon Homes		13	7.14		4	2.20		1	0.55		0	0.00		6	3.30		0	0.00		0	0.00		1	0.55		1	0.55		72	39.56		0	0.00		0	0.00		1	0.55		0	0.00		0	0.00		0	0.00		76	41.76		1	0.55		0	0.00		2	1.10		0	0.00		0	0.00		4	2.20		0	0.00		182	96.81		6	3.19		188	0.24
Special Hospitals		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		44	62.86		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		26	37.14		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		70	98.59		1	1.41		71	0.09
Total Ordinary		3565	5.55		1290	2.01		280	0.44		36	0.06		2000	3.11		38	0.06		2200	3.42		461	0.72		177	0.28		28335	44.07		306	0.48		41	0.06		449	0.70		25	0.04		79	0.12		78	0.12		22258	34.62		640	1.00		73	0.11		1320	2.05		13	0.02		29	0.05		587	0.91		12	0.02		64292	95.14		3282	4.86		67574	85.93
ABSENT		415	6.66		107	1.72		27	0.43		2	0.03		266	4.27		3	0.05		283	4.54		79	1.27		10	0.16		2428	38.95		46	0.74		4	0.06		91	1.46		1	0.02		9	0.14		9	0.14		2100	33.69		91	1.46		6	0.10		168	2.69		2	0.03		3	0.05		84	1.35		0	0.00		6234	96.94		197	3.06		6431	8.18
POSTAL		122	8.27		22	1.49		12	0.81		1	0.07		30	2.03		1	0.07		69	4.68		8	0.54		3	0.20		561	38.03		5	0.34		1	0.07		6	0.41		0	0.00		2	0.14		0	0.00		563	38.17		14	0.95		1	0.07		23	1.56		0	0.00		0	0.00		31	2.10		0	0.00		1475	98.93		16	1.07		1491	1.90
PRE_POLL		160	7.01		49	2.15		13	0.57		1	0.04		77	3.38		0	0.00		91	3.99		17	0.75		5	0.22		887	38.89		24	1.05		1	0.04		20	0.88		0	0.00		0	0.00		2	0.09		826	36.21		31	1.36		6	0.26		43	1.89		0	0.00		1	0.04		26	1.14		1	0.04		2281	98.45		36	1.55		2317	2.95
PROVISIONAL		33	4.33		11	1.44		4	0.52		2	0.26		43	5.64		0	0.00		21	2.76		7	0.92		3	0.39		384	50.39		11	1.44		0	0.00		4	0.52		0	0.00		0	0.00		2	0.26		201	26.38		10	1.31		0	0.00		17	2.23		0	0.00		0	0.00		9	1.18		0	0.00		762	92.70		60	7.30		822	1.05
Division Summary		4295	5.72		1479	1.97		336	0.45		42	0.06		2416	3.22		42	0.06		2664	3.55		572	0.76		198	0.26		32595	43.43		392	0.52		47	0.06		570	0.76		26	0.03		90	0.12		91	0.12		25948	34.58		786	1.05		86	0.11		1571	2.09		15	0.02		33	0.04		737	0.98		13	0.02		75044	95.43		3591	4.57		78635	94.57
