House of Representatives - 2001 Election: New South Wales																																						
Distribution of Preferences																																						
By Polling Place																																						
																																						
Richmond																																						
				NATHAN			ANTHONY			PENHALIGON			MCALLISTER			FAULKNER			BARHAM			PENIAZEV			BALK			JEFFERYS			ROLFE			SIMPSON				
		TOTAL					1716	57.86					803	27.07					240	8.09					89	3.00					118	3.98					2966	
	EIGHTH						23	25.84					23	25.84					39	43.82						Excluded					4	4.49					89	
		TOTAL					1739	58.63					826	27.85					279	9.41											122	4.11					2966	
	NINTH						47	38.52					33	27.05					42	34.43												Excluded					122	
		TOTAL					1786	60.22					859	28.96					321	10.82																	2966	
	TENTH						84	26.17					237	73.83						Excluded																	321	
		TOTAL					1870	63.05					1096	36.95																							2966	
							Elected																															
																																						
Bangalow                                                       																																						
	FIRST			15	1.15		427	32.75		8	0.61		410	31.44		6	0.46		319	24.46		1	0.08		55	4.22		31	2.38		31	2.38		1	0.08		1304	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	100.00		0	0.00		0	0.00		1	
		TOTAL		15	1.15		427	32.75		8	0.61		410	31.44		6	0.46		319	24.46					55	4.22		32	2.45		31	2.38		1	0.08		1304	
	THIRD			1	16.67		0	0.00		0	0.00		1	16.67			Excluded		2	33.33					1	16.67		0	0.00		0	0.00		1	16.67		6	
		TOTAL		16	1.23		427	32.75		8	0.61		411	31.52					321	24.62					56	4.29		32	2.45		31	2.38		2	0.15		1304	
	FOURTH			0	0.00		0	0.00		2	100.00		0	0.00					0	0.00					0	0.00		0	0.00		0	0.00			Excluded		2	
		TOTAL		16	1.23		427	32.75		10	0.77		411	31.52					321	24.62					56	4.29		32	2.45		31	2.38					1304	
	FIFTH			5	50.00		4	40.00			Excluded		0	0.00					1	10.00					0	0.00		0	0.00		0	0.00					10	
		TOTAL		21	1.61		431	33.05					411	31.52					322	24.69					56	4.29		32	2.45		31	2.38					1304	
	SIXTH			5	15.63		0	0.00					4	12.50					19	59.38					3	9.38			Excluded		1	3.13					32	
		TOTAL		26	1.99		431	33.05					415	31.83					341	26.15					59	4.52					32	2.45					1304	
	SEVENTH				Excluded		6	23.08					6	23.08					10	38.46					1	3.85					3	11.54					26	
		TOTAL					437	33.51					421	32.29					351	26.92					60	4.60					35	2.68					1304	
	EIGHTH						5	8.33					13	21.67					41	68.33						Excluded					1	1.67					60	
		TOTAL					442	33.90					434	33.28					392	30.06											36	2.76					1304	
	NINTH						22	61.11					10	27.78					4	11.11												Excluded					36	
		TOTAL					464	35.58					444	34.05					396	30.37																	1304	
	TENTH						49	12.37					347	87.63						Excluded																	396	
		TOTAL					513	39.34					791	60.66																							1304	
							Elected																															
																																						
Banora Point                                                   																																						
	FIRST			25	0.88		1612	56.90		17	0.60		872	30.78		4	0.14		97	3.42		0	0.00		55	1.94		8	0.28		140	4.94		3	0.11		2833	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		25	0.88		1612	56.90		17	0.60		872	30.78		4	0.14		97	3.42					55	1.94		8	0.28		140	4.94		3	0.11		2833	
	THIRD			1	25.00		0	0.00		1	25.00		1	25.00			Excluded		1	25.00					0	0.00		0	0.00		0	0.00		0	0.00		4	
		TOTAL		26	0.92		1612	56.90		18	0.64		873	30.82					98	3.46					55	1.94		8	0.28		140	4.94		3	0.11		2833	
	FOURTH			0	0.00		0	0.00		1	33.33		0	0.00					0	0.00					0	0.00		0	0.00		2	66.67			Excluded		3	
		TOTAL		26	0.92		1612	56.90		19	0.67		873	30.82					98	3.46					55	1.94		8	0.28		142	5.01					2833	
	FIFTH			3	15.79		5	26.32			Excluded		3	15.79					0	0.00					1	5.26		0	0.00		7	36.84					19	
		TOTAL		29	1.02		1617	57.08					876	30.92					98	3.46					56	1.98		8	0.28		149	5.26					2833	
	SIXTH			1	12.50		1	12.50					1	12.50					3	37.50					0	0.00			Excluded		2	25.00					8	
		TOTAL		30	1.06		1618	57.11					877	30.96					101	3.57					56	1.98					151	5.33					2833	
	SEVENTH				Excluded		16	53.33					9	30.00					4	13.33					0	0.00					1	3.33					30	
		TOTAL					1634	57.68					886	31.27					105	3.71					56	1.98					152	5.37					2833	
	EIGHTH						11	19.64					12	21.43					32	57.14						Excluded					1	1.79					56	
		TOTAL					1645	58.07					898	31.70					137	4.84											153	5.40					2833	
	NINTH						104	67.97					27	17.65					22	14.38												Excluded					153	
		TOTAL					1749	61.74					925	32.65					159	5.61																	2833	
	TENTH						35	22.01					124	77.99						Excluded																	159	
		TOTAL					1784	62.97					1049	37.03																							2833	
							Elected																															
																																						
Banora Point South                                             																																						
	FIRST			28	1.09		1227	47.78		25	0.97		1032	40.19		5	0.19		63	2.45		3	0.12		36	1.40		8	0.31		137	5.33		4	0.16		2568	
	SECOND			0	0.00		1	33.33		0	0.00		0	0.00		0	0.00		1	33.33			Excluded		0	0.00		0	0.00		1	33.33		0	0.00		3	
		TOTAL		28	1.09		1228	47.82		25	0.97		1032	40.19		5	0.19		64	2.49					36	1.40		8	0.31		138	5.37		4	0.16		2568	
	THIRD			1	20.00		1	20.00		0	0.00		1	20.00			Excluded		1	20.00					0	0.00		0	0.00		0	0.00		1	20.00		5	
		TOTAL		29	1.13		1229	47.86		25	0.97		1033	40.23					65	2.53					36	1.40		8	0.31		138	5.37		5	0.19		2568	
	FOURTH			2	40.00		0	0.00		0	0.00		0	0.00					0	0.00					0	0.00		1	20.00		2	40.00			Excluded		5	
		TOTAL		31	1.21		1229	47.86		25	0.97		1033	40.23					65	2.53					36	1.40		9	0.35		140	5.45					2568	
	FIFTH			7	28.00		9	36.00			Excluded		2	8.00					1	4.00					1	4.00		0	0.00		5	20.00					25	
		TOTAL		38	1.48		1238	48.21					1035	40.30					66	2.57					37	1.44		9	0.35		145	5.65					2568	
	SIXTH			0	0.00		3	33.33					0	0.00					4	44.44					0	0.00			Excluded		2	22.22					9	
		TOTAL		38	1.48		1241	48.33					1035	40.30					70	2.73					37	1.44					147	5.72					2568	
	SEVENTH				Excluded		17	44.74					9	23.68					4	10.53					4	10.53					4	10.53					38	
		TOTAL					1258	48.99					1044	40.65					74	2.88					41	1.60					151	5.88					2568	
	EIGHTH						10	24.39					11	26.83					19	46.34						Excluded					1	2.44					41	
		TOTAL					1268	49.38					1055	41.08					93	3.62											152	5.92					2568	
	NINTH						96	63.16					32	21.05					24	15.79												Excluded					152	
		TOTAL					1364	53.12					1087	42.33					117	4.56																	2568	
	TENTH						25	21.37					92	78.63						Excluded																	117	
		TOTAL					1389	54.09					1179	45.91																							2568	
							Elected																															
																																						
Banora Point West                                              																																						
	FIRST			23	1.19		1059	54.62		6	0.31		656	33.83		1	0.05		45	2.32		2	0.10		29	1.50		15	0.77		100	5.16		3	0.15		1939	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	50.00			Excluded		0	0.00		0	0.00		0	0.00		1	50.00		2	
		TOTAL		23	1.19		1059	54.62		6	0.31		656	33.83		1	0.05		46	2.37					29	1.50		15	0.77		100	5.16		4	0.21		1939	
	THIRD			1	100.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		1	
		TOTAL		24	1.24		1059	54.62		6	0.31		656	33.83					46	2.37					29	1.50		15	0.77		100	5.16		4	0.21		1939	
	FOURTH			1	25.00		0	0.00		1	25.00		0	0.00					1	25.00					0	0.00		0	0.00		1	25.00			Excluded		4	
		TOTAL		25	1.29		1059	54.62		7	0.36		656	33.83					47	2.42					29	1.50		15	0.77		101	5.21					1939	
	FIFTH			1	14.29		3	42.86			Excluded		2	28.57					0	0.00					0	0.00		0	0.00		1	14.29					7	
		TOTAL		26	1.34		1062	54.77					658	33.94					47	2.42					29	1.50		15	0.77		102	5.26					1939	
	SIXTH			1	6.67		3	20.00					4	26.67					3	20.00					1	6.67			Excluded		3	20.00					15	
		TOTAL		27	1.39		1065	54.93					662	34.14					50	2.58					30	1.55					105	5.42					1939	
	SEVENTH				Excluded		18	66.67					5	18.52					1	3.70					2	7.41					1	3.70					27	
		TOTAL					1083	55.85					667	34.40					51	2.63					32	1.65					106	5.47					1939	
	EIGHTH						5	15.63					6	18.75					17	53.13						Excluded					4	12.50					32	
		TOTAL					1088	56.11					673	34.71					68	3.51											110	5.67					1939	
	NINTH						79	71.82					10	9.09					21	19.09												Excluded					110	
		TOTAL					1167	60.19					683	35.22					89	4.59																	1939	
	TENTH						19	21.35					70	78.65						Excluded																	89	
		TOTAL					1186	61.17					753	38.83																							1939	
							Elected																															
																																						
Bilambil                                                       																																						
	FIRST			12	0.81		717	48.25		26	1.75		499	33.58		0	0.00		81	5.45		1	0.07		59	3.97		13	0.87		75	5.05		3	0.20		1486	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		1	100.00		0	0.00		1	
		TOTAL		12	0.81		717	48.25		26	1.75		499	33.58		0	0.00		81	5.45					59	3.97		13	0.87		76	5.11		3	0.20		1486	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		12	0.81		717	48.25		26	1.75		499	33.58					81	5.45					59	3.97		13	0.87		76	5.11		3	0.20		1486	
	FOURTH			2	66.67		0	0.00		0	0.00		0	0.00					1	33.33					0	0.00		0	0.00		0	0.00			Excluded		3	
		TOTAL		14	0.94		717	48.25		26	1.75		499	33.58					82	5.52					59	3.97		13	0.87		76	5.11					1486	
	FIFTH			9	34.62		6	23.08			Excluded		2	7.69					1	3.85					1	3.85		0	0.00		7	26.92					26	
		TOTAL		23	1.55		723	48.65					501	33.71					83	5.59					60	4.04		13	0.87		83	5.59					1486	
	SIXTH			0	0.00		1	7.69					2	15.38					5	38.46					0	0.00			Excluded		5	38.46					13	
		TOTAL		23	1.55		724	48.72					503	33.85					88	5.92					60	4.04					88	5.92					1486	
	SEVENTH				Excluded		10	43.48					2	8.70					2	8.70					1	4.35					8	34.78					23	
		TOTAL					734	49.39					505	33.98					90	6.06					61	4.10					96	6.46					1486	
	EIGHTH						6	9.84					17	27.87					36	59.02						Excluded					2	3.28					61	
		TOTAL					740	49.80					522	35.13					126	8.48											98	6.59					1486	
	NINTH						58	59.18					15	15.31					25	25.51												Excluded					98	
		TOTAL					798	53.70					537	36.14					151	10.16																	1486	
	TENTH						28	18.54					123	81.46						Excluded																	151	
		TOTAL					826	55.59					660	44.41																							1486	
							Elected																															
																																						
Billinudgel                                                    																																						
	FIRST			4	0.64		232	36.88		6	0.95		275	43.72		0	0.00		63	10.02		1	0.16		16	2.54		5	0.79		26	4.13		1	0.16		629	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	100.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		1	
		TOTAL		4	0.64		232	36.88		6	0.95		275	43.72		0	0.00		64	10.17					16	2.54		5	0.79		26	4.13		1	0.16		629	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		4	0.64		232	36.88		6	0.95		275	43.72					64	10.17					16	2.54		5	0.79		26	4.13		1	0.16		629	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00					0	0.00					0	0.00		0	0.00		1	100.00			Excluded		1	
		TOTAL		4	0.64		232	36.88		6	0.95		275	43.72					64	10.17					16	2.54		5	0.79		27	4.29					629	
	FIFTH			0	0.00		2	33.33			Excluded		0	0.00					0	0.00					0	0.00		0	0.00		4	66.67					6	
		TOTAL		4	0.64		234	37.20					275	43.72					64	10.17					16	2.54		5	0.79		31	4.93					629	
	SIXTH			2	40.00		0	0.00					0	0.00					2	40.00					0	0.00			Excluded		1	20.00					5	
		TOTAL		6	0.95		234	37.20					275	43.72					66	10.49					16	2.54					32	5.09					629	
	SEVENTH				Excluded		0	0.00					3	50.00					1	16.67					2	33.33					0	0.00					6	
		TOTAL					234	37.20					278	44.20					67	10.65					18	2.86					32	5.09					629	
	EIGHTH						3	16.67					5	27.78					10	55.56						Excluded					0	0.00					18	
		TOTAL					237	37.68					283	44.99					77	12.24											32	5.09					629	
	NINTH						20	62.50					3	9.38					9	28.13												Excluded					32	
		TOTAL					257	40.86					286	45.47					86	13.67																	629	
	TENTH						13	15.12					73	84.88						Excluded																	86	
		TOTAL					270	42.93					359	57.07																							629	
							Elected																															
																																						
Bray Park                                                      																																						
	FIRST			11	1.01		558	51.19		20	1.83		357	32.75		1	0.09		69	6.33		1	0.09		20	1.83		6	0.55		34	3.12		13	1.19		1090	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		1	100.00		0	0.00		1	
		TOTAL		11	1.01		558	51.19		20	1.83		357	32.75		1	0.09		69	6.33					20	1.83		6	0.55		35	3.21		13	1.19		1090	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00					0	0.00		0	0.00		0	0.00		1	100.00		1	
		TOTAL		11	1.01		558	51.19		20	1.83		357	32.75					69	6.33					20	1.83		6	0.55		35	3.21		14	1.28		1090	
	FOURTH			2	14.29		1	7.14		1	7.14		0	0.00					1	7.14					1	7.14		2	14.29		6	42.86			Excluded		14	
		TOTAL		13	1.19		559	51.28		21	1.93		357	32.75					70	6.42					21	1.93		8	0.73		41	3.76					1090	
	FIFTH			2	9.52		5	23.81			Excluded		3	14.29					0	0.00					0	0.00		0	0.00		11	52.38					21	
		TOTAL		15	1.38		564	51.74					360	33.03					70	6.42					21	1.93		8	0.73		52	4.77					1090	
	SIXTH			0	0.00		0	0.00					1	12.50					5	62.50					1	12.50			Excluded		1	12.50					8	
		TOTAL		15	1.38		564	51.74					361	33.12					75	6.88					22	2.02					53	4.86					1090	
	SEVENTH				Excluded		7	46.67					2	13.33					4	26.67					1	6.67					1	6.67					15	
		TOTAL					571	52.39					363	33.30					79	7.25					23	2.11					54	4.95					1090	
	EIGHTH						1	4.35					7	30.43					15	65.22						Excluded					0	0.00					23	
		TOTAL					572	52.48					370	33.94					94	8.62											54	4.95					1090	
	NINTH						24	44.44					11	20.37					19	35.19												Excluded					54	
		TOTAL					596	54.68					381	34.95					113	10.37																	1090	
	TENTH						19	16.81					94	83.19						Excluded																	113	
		TOTAL					615	56.42					475	43.58																							1090	
							Elected																															
																																						
Brunswick Heads                                                																																						
	FIRST			22	1.50		536	36.44		10	0.68		533	36.23		7	0.48		254	17.27		0	0.00		37	2.52		25	1.70		43	2.92		4	0.27		1471	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		22	1.50		536	36.44		10	0.68		533	36.23		7	0.48		254	17.27					37	2.52		25	1.70		43	2.92		4	0.27		1471	
	THIRD			0	0.00		3	42.86		0	0.00		0	0.00			Excluded		2	28.57					0	0.00		0	0.00		1	14.29		1	14.29		7	
		TOTAL		22	1.50		539	36.64		10	0.68		533	36.23					256	17.40					37	2.52		25	1.70		44	2.99		5	0.34		1471	
	FOURTH			3	60.00		0	0.00		1	20.00		0	0.00					0	0.00					0	0.00		0	0.00		1	20.00			Excluded		5	
		TOTAL		25	1.70		539	36.64		11	0.75		533	36.23					256	17.40					37	2.52		25	1.70		45	3.06					1471	
	FIFTH			7	63.64		2	18.18			Excluded		0	0.00					0	0.00					0	0.00		0	0.00		2	18.18					11	
		TOTAL		32	2.18		541	36.78					533	36.23					256	17.40					37	2.52		25	1.70		47	3.20					1471	
	SIXTH			1	4.00		4	16.00					4	16.00					8	32.00					3	12.00			Excluded		5	20.00					25	
		TOTAL		33	2.24		545	37.05					537	36.51					264	17.95					40	2.72					52	3.54					1471	
	SEVENTH				Excluded		18	54.55					3	9.09					7	21.21					1	3.03					4	12.12					33	
		TOTAL					563	38.27					540	36.71					271	18.42					41	2.79					56	3.81					1471	
	EIGHTH						3	7.32					11	26.83					27	65.85						Excluded					0	0.00					41	
		TOTAL					566	38.48					551	37.46					298	20.26											56	3.81					1471	
	NINTH						22	39.29					16	28.57					18	32.14												Excluded					56	
		TOTAL					588	39.97					567	38.55					316	21.48																	1471	
	TENTH						27	8.54					289	91.46						Excluded																	316	
		TOTAL					615	41.81					856	58.19																							1471	
							Elected																															
																																						
Burringbar                                                     																																						
	FIRST			6	1.13		176	33.15		5	0.94		214	40.30		1	0.19		91	17.14		1	0.19		6	1.13		14	2.64		16	3.01		1	0.19		531	
	SECOND			1	100.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		1	
		TOTAL		7	1.32		176	33.15		5	0.94		214	40.30		1	0.19		91	17.14					6	1.13		14	2.64		16	3.01		1	0.19		531	
	THIRD			0	0.00		0	0.00		1	100.00		0	0.00			Excluded		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		1	
		TOTAL		7	1.32		176	33.15		6	1.13		214	40.30					91	17.14					6	1.13		14	2.64		16	3.01		1	0.19		531	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00					0	0.00					1	100.00		0	0.00		0	0.00			Excluded		1	
		TOTAL		7	1.32		176	33.15		6	1.13		214	40.30					91	17.14					7	1.32		14	2.64		16	3.01					531	
	FIFTH			2	33.33		2	33.33			Excluded		1	16.67					0	0.00					0	0.00		0	0.00		1	16.67					6	
		TOTAL		9	1.69		178	33.52					215	40.49					91	17.14					7	1.32		14	2.64		17	3.20					531	
	SIXTH			0	0.00		1	7.14					2	14.29					7	50.00					2	14.29			Excluded		2	14.29					14	
		TOTAL		9	1.69		179	33.71					217	40.87					98	18.46					9	1.69					19	3.58					531	
	SEVENTH				Excluded		5	55.56					1	11.11					1	11.11					1	11.11					1	11.11					9	
		TOTAL					184	34.65					218	41.05					99	18.64					10	1.88					20	3.77					531	
	EIGHTH						3	30.00					2	20.00					5	50.00						Excluded					0	0.00					10	
		TOTAL					187	35.22					220	41.43					104	19.59											20	3.77					531	
	NINTH						14	70.00					0	0.00					6	30.00												Excluded					20	
		TOTAL					201	37.85					220	41.43					110	20.72																	531	
	TENTH						14	12.73					96	87.27						Excluded																	110	
		TOTAL					215	40.49					316	59.51																							531	
							Elected																															
																																						
Byron Bay                                                      																																						
	FIRST			39	1.70		562	24.45		8	0.35		745	32.41		8	0.35		698	30.36		3	0.13		109	4.74		94	4.09		31	1.35		2	0.09		2299	
	SECOND			1	33.33		0	0.00		0	0.00		0	0.00		1	33.33		0	0.00			Excluded		0	0.00		1	33.33		0	0.00		0	0.00		3	
		TOTAL		40	1.74		562	24.45		8	0.35		745	32.41		9	0.39		698	30.36					109	4.74		95	4.13		31	1.35		2	0.09		2299	
	THIRD			0	0.00		1	11.11		0	0.00		2	22.22			Excluded		6	66.67					0	0.00		0	0.00		0	0.00		0	0.00		9	
		TOTAL		40	1.74		563	24.49		8	0.35		747	32.49					704	30.62					109	4.74		95	4.13		31	1.35		2	0.09		2299	
	FOURTH			0	0.00		0	0.00		0	0.00		1	50.00					0	0.00					0	0.00		1	50.00		0	0.00			Excluded		2	
		TOTAL		40	1.74		563	24.49		8	0.35		748	32.54					704	30.62					109	4.74		96	4.18		31	1.35					2299	
	FIFTH			0	0.00		3	37.50			Excluded		1	12.50					0	0.00					1	12.50		1	12.50		2	25.00					8	
		TOTAL		40	1.74		566	24.62					749	32.58					704	30.62					110	4.78		97	4.22		33	1.44					2299	
	SIXTH			6	6.19		5	5.15					12	12.37					65	67.01					5	5.15			Excluded		4	4.12					97	
		TOTAL		46	2.00		571	24.84					761	33.10					769	33.45					115	5.00					37	1.61					2299	
	SEVENTH				Excluded		13	28.26					8	17.39					17	36.96					5	10.87					3	6.52					46	
		TOTAL					584	25.40					769	33.45					786	34.19					120	5.22					40	1.74					2299	
	EIGHTH						8	6.67					24	20.00					85	70.83						Excluded					3	2.50					120	
		TOTAL					592	25.75					793	34.49					871	37.89											43	1.87					2299	
	NINTH						23	53.49					8	18.60					12	27.91												Excluded					43	
		TOTAL					615	26.75					801	34.84					883	38.41																	2299	
	TENTH						86	9.74					797	90.26						Excluded																	883	
		TOTAL					702	30.54					1597	69.46																							2299	
							Elected																															
																																						
Byron Bay South                                                																																						
	FIRST			24	1.16		615	29.70		4	0.19		657	31.72		8	0.39		576	27.81		1	0.05		87	4.20		62	2.99		30	1.45		7	0.34		2071	
	SECOND			1	100.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		1	
		TOTAL		25	1.21		615	29.70		4	0.19		657	31.72		8	0.39		576	27.81					87	4.20		62	2.99		30	1.45		7	0.34		2071	
	THIRD			0	0.00		0	0.00		2	25.00		0	0.00			Excluded		3	37.50					0	0.00		3	37.50		0	0.00		0	0.00		8	
		TOTAL		25	1.21		615	29.70		6	0.29		657	31.72					579	27.96					87	4.20		65	3.14		30	1.45		7	0.34		2071	
	FOURTH			1	14.29		2	28.57		2	28.57		0	0.00					0	0.00					0	0.00		1	14.29		1	14.29			Excluded		7	
		TOTAL		26	1.26		617	29.79		8	0.39		657	31.72					579	27.96					87	4.20		66	3.19		31	1.50					2071	
	FIFTH			2	25.00		1	12.50			Excluded		1	12.50					3	37.50					1	12.50		0	0.00		0	0.00					8	
		TOTAL		28	1.35		618	29.84					658	31.77					582	28.10					88	4.25		66	3.19		31	1.50					2071	
	SIXTH			5	7.58		2	3.03					6	9.09					44	66.67					7	10.61			Excluded		2	3.03					66	
		TOTAL		33	1.59		620	29.94					664	32.06					626	30.23					95	4.59					33	1.59					2071	
	SEVENTH				Excluded		14	42.42					6	18.18					9	27.27					2	6.06					2	6.06					33	
		TOTAL					634	30.61					670	32.35					635	30.66					97	4.68					35	1.69					2071	
	EIGHTH						16	16.49					19	19.59					60	61.86						Excluded					2	2.06					97	
		TOTAL					650	31.39					689	33.27					695	33.56											37	1.79					2071	
	NINTH						20	54.05					7	18.92					10	27.03												Excluded					37	
		TOTAL					670	32.35					696	33.61					705	34.04																	2071	
	TENTH						83	11.77					622	88.23						Excluded																	705	
		TOTAL					753	36.36					1318	63.64																							2071	
							Elected																															
																																						
Cabarita Beach                                                 																																						
	FIRST			15	0.97		577	37.35		9	0.58		688	44.53		2	0.13		109	7.06		1	0.06		38	2.46		9	0.58		94	6.08		3	0.19		1545	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	100.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		1	
		TOTAL		15	0.97		577	37.35		9	0.58		688	44.53		2	0.13		110	7.12					38	2.46		9	0.58		94	6.08		3	0.19		1545	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	50.00					0	0.00		1	50.00		0	0.00		0	0.00		2	
		TOTAL		15	0.97		577	37.35		9	0.58		688	44.53					111	7.18					38	2.46		10	0.65		94	6.08		3	0.19		1545	
	FOURTH			0	0.00		1	33.33		0	0.00		0	0.00					0	0.00					0	0.00		0	0.00		2	66.67			Excluded		3	
		TOTAL		15	0.97		578	37.41		9	0.58		688	44.53					111	7.18					38	2.46		10	0.65		96	6.21					1545	
	FIFTH			2	22.22		4	44.44			Excluded		0	0.00					1	11.11					1	11.11		0	0.00		1	11.11					9	
		TOTAL		17	1.10		582	37.67					688	44.53					112	7.25					39	2.52		10	0.65		97	6.28					1545	
	SIXTH			1	10.00		0	0.00					0	0.00					7	70.00					0	0.00			Excluded		2	20.00					10	
		TOTAL		18	1.17		582	37.67					688	44.53					119	7.70					39	2.52					99	6.41					1545	
	SEVENTH				Excluded		8	44.44					4	22.22					2	11.11					3	16.67					1	5.56					18	
		TOTAL					590	38.19					692	44.79					121	7.83					42	2.72					100	6.47					1545	
	EIGHTH						9	21.43					10	23.81					21	50.00						Excluded					2	4.76					42	
		TOTAL					599	38.77					702	45.44					142	9.19											102	6.60					1545	
	NINTH						76	74.51					16	15.69					10	9.80												Excluded					102	
		TOTAL					675	43.69					718	46.47					152	9.84																	1545	
	TENTH						30	19.74					122	80.26						Excluded																	152	
		TOTAL					705	45.63					840	54.37																							1545	
							Elected																															
																																						
Carool                                                         																																						
	FIRST			0	0.00		50	43.48		5	4.35		44	38.26		0	0.00		5	4.35		0	0.00		2	1.74		1	0.87		7	6.09		1	0.87		115	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		0	0.00		50	43.48		5	4.35		44	38.26		0	0.00		5	4.35					2	1.74		1	0.87		7	6.09		1	0.87		115	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		0	0.00		50	43.48		5	4.35		44	38.26					5	4.35					2	1.74		1	0.87		7	6.09		1	0.87		115	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00					0	0.00					0	0.00		0	0.00		1	100.00			Excluded		1	
		TOTAL		0	0.00		50	43.48		5	4.35		44	38.26					5	4.35					2	1.74		1	0.87		8	6.96					115	
	FIFTH			0	0.00		2	40.00			Excluded		1	20.00					1	20.00					0	0.00		0	0.00		1	20.00					5	
		TOTAL		0	0.00		52	45.22					45	39.13					6	5.22					2	1.74		1	0.87		9	7.83					115	
	SIXTH			0	0.00		0	0.00					0	0.00					1	100.00					0	0.00			Excluded		0	0.00					1	
		TOTAL		0	0.00		52	45.22					45	39.13					7	6.09					2	1.74					9	7.83					115	
	SEVENTH				Excluded		0	0.00					0	0.00					0	0.00					0	0.00					0	0.00					0	
