House of Representatives - 2001 Election: New South Wales																																									
First Preference Votes and TCP																																									
By Candidate by Polling Place																																									

Werriwa (83153)																																									
	URI			MASINA			WOODGER			TAN			BLANCH			BARSONY			# LATHAM			KOTARSKI			FORMAL			INFORMAL			TOTAL										
	John			Paul			Janey			Greg			Glenda			Roger			Mark			P												Two Candidate Preferred							
	UNI			LP			AFI			CTA			DEM			GRN			ALP			HAN												 MASINA LP			# LATHAM ALP				
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%			
Liverpool West (Werriwa)	24	4.04		154	25.93		12	2.02		21	3.54		14	2.36		15	2.53		319	53.70		35	5.89		594	81.48		135	18.52		729	0.93		215	36.20		379	63.80
Lurnea	37	1.76		530	25.20		32	1.52		61	2.90		34	1.62		71	3.38		1193	56.73		145	6.89		2103	91.08		206	8.92		2309	2.96		717	34.09		1386	65.91
Macquarie Fields	51	2.01		807	31.77		58	2.28		58	2.28		70	2.76		68	2.68		1282	50.47		146	5.75		2540	93.52		176	6.48		2716	3.48		1001	39.41		1539	60.59			
Macquarie Fields North	23	2.20		380	36.40		11	1.05		33	3.16		33	3.16		22	2.11		477	45.69		65	6.23		1044	93.46		73	6.54		1117	1.43		475	45.50		569	54.50			
Miller (Werriwa)	49	3.60		263	19.30		19	1.39		25	1.83		19	1.39		24	1.76		893	65.52		71	5.21		1363	87.99		186	12.01		1549	1.98		363	26.63		1000	73.37			
Minto	36	1.71		624	29.59		36	1.71		47	2.23		69	3.27		65	3.08		1127	53.44		105	4.98		2109	90.32		226	9.68		2335	2.99		783	37.13		1326	62.87			
Prestons	57	1.58		1227	34.09		27	0.75		80	2.22		85	2.36		95	2.64		1925	53.49		103	2.86		3599	90.65		371	9.35		3970	5.08		1451	40.32		2148	59.68			
Prestons West	19	1.24		590	38.36		27	1.76		97	6.31		35	2.28		25	1.63		689	44.80		56	3.64		1538	92.71		121	7.29		1659	2.12		737	47.92		801	52.08			
Robert Townson (Werriwa)	26	0.95		1054	38.40		53	1.93		45	1.64		94	3.42		69	2.51		1272	46.34		132	4.81		2745	93.30		197	6.70		2942	3.77		1237	45.06		1508	54.94			
Sackville Street	40	1.75		928	40.56		42	1.84		35	1.53		66	2.88		35	1.53		989	43.23		153	6.69		2288	94.78		126	5.22		2414	3.09		1146	50.09		1142	49.91			
St Andrews	28	1.09		964	37.44		40	1.55		50	1.94		67	2.60		63	2.45		1248	48.47		115	4.47		2575	92.19		218	7.81		2793	3.57		1135	44.08		1440	55.92			
St Andrews South	17	1.42		396	33.08		30	2.51		23	1.92		44	3.68		28	2.34		600	50.13		59	4.93		1197	94.03		76	5.97		1273	1.63		490	40.94		707	59.06			
Sydney (Werriwa)	5	5.32		24	25.53		1	1.06		3	3.19		4	4.26		5	5.32		48	51.06		4	4.26		94	90.38		10	9.62		104	0.13		33	35.11		61	64.89			
The Grange	27	2.11		358	27.95		33	2.58		33	2.58		29	2.26		25	1.95		719	56.13		57	4.45		1281	92.22		108	7.78		1389	1.78		443	34.58		838	65.42			
West Hoxton	8	1.44		272	49.10		6	1.08		27	4.87		3	0.54		12	2.17		196	35.38		30	5.42		554	89.94		62	10.06		616	0.79		332	59.93		222	40.07			
Whiddon Homes	9	4.92		77	42.08		2	1.09		2	1.09		4	2.19		2	1.09		82	44.81		5	2.73		183	95.31		9	4.69		192	0.25		94	51.37		89	48.63			
Special Hospitals	1	1.43		24	34.29		0	0.00		0	0.00		0	0.00		0	0.00		45	64.29		0	0.00		70	98.59		1	1.41		71	0.09		25	35.71		45	64.29			
Total Ordinary	1266	2.05		20601	33.43		964	1.56		1493	2.42		1530	2.48		1574	2.55		31427	51.00		2768	4.49		61623	91.21		5937	8.79		67560	86.46		25394	41.21		36229	58.79			
ABSENT	183	3.27		1760	31.47		178	3.18		157	2.81		230	4.11		236	4.22		2505	44.80		343	6.13		5592	91.28		534	8.72		6126	7.84		2431	43.47		3161	56.53			
POSTAL	19	1.22		542	34.70		48	3.07		31	1.98		44	2.82		26	1.66		747	47.82		105	6.72		1562	97.63		38	2.38		1600	2.05		676	43.28		886	56.72			
PRE_POLL	44	2.01		767	35.01		54	2.46		65	2.97		68	3.10		46	2.10		1012	46.19		135	6.16		2191	96.56		78	3.44		2269	2.90		987	45.05		1204	54.95			
PROVISIONAL	15	2.89		146	28.13		12	2.31		13	2.50		14	2.70		9	1.73		289	55.68		21	4.05		519	89.02		64	10.98		583	0.75		189	36.42		330	63.58			
Division Summary	1527	2.14		23816	33.32		1256	1.76		1759	2.46		1886	2.64		1891	2.65		35980	50.33		3372	4.72		71487	91.49		6651	8.51		78138	93.97		29677	41.51		41810	58.49			
																																									
																																									
																																									
																																									
																																									
