House of Representatives - 2001 Election: New South Wales											
Two Candidate Preferred Preference Flow Result											
By Polling Place by Division											
											
Gilmore (83909)											
		Candidate		"KNOTT, Peter"		               	"GASH, Joanna"		               	Total	
		"HAYES, Michael (DEM)"	19	12	63.16		7	36.84		19	
		"MCLEOD, Paul (UNI)"	0	0	0.00		0	0.00		0	
		"CROCKER, Geoff (HAN)"	35	9	25.71		26	74.29		35	
		Total	77	156	37.41		261	62.59		417	

	Culburra										
			1st Prefs	472	36.62		817	63.38		1289	
		"RYAN, Steve (CTA)"	20	6	30.00		14	70.00		20	
		"MCCLUNG, Jean (CEC)"	2	0	0.00		2	100.00		2	
		"BANGE, Jane (GRN)"	46	34	73.91		12	26.09		46	
		"HAYES, Michael (DEM)"	42	20	47.62		22	52.38		42	
		"MCLEOD, Paul (UNI)"	1	0	0.00		1	100.00		1	
		"CROCKER, Geoff (HAN)"	145	46	31.72		99	68.28		145	
		Total	256	578	37.41		967	62.59		1545	

	Currarong										
			1st Prefs	84	30.22		194	69.78		278	
		"RYAN, Steve (CTA)"	2	0	0.00		2	100.00		2	
		"MCCLUNG, Jean (CEC)"	1	0	0.00		1	100.00		1	
		"BANGE, Jane (GRN)"	28	27	96.43		1	3.57		28	
		"HAYES, Michael (DEM)"	8	5	62.50		3	37.50		8	
		"MCLEOD, Paul (UNI)"	0	0	0.00		0	0.00		0	
		"CROCKER, Geoff (HAN)"	20	8	40.00		12	60.00		20	
		Total	59	124	36.80		213	63.20		337	

	Erowal Bay										
			1st Prefs	132	46.98		149	53.02		281	
		"RYAN, Steve (CTA)"	4	2	50.00		2	50.00		4	
		"MCCLUNG, Jean (CEC)"	0	0	0.00		0	0.00		0	
		"BANGE, Jane (GRN)"	25	23	92.00		2	8.00		25	
		"HAYES, Michael (DEM)"	5	2	40.00		3	60.00		5	
		"MCLEOD, Paul (UNI)"	7	7	100.00		0	0.00		7	
		"CROCKER, Geoff (HAN)"	18	5	27.78		13	72.22		18	
		Total	59	171	50.29		169	49.71		340	

	Exeter										
			1st Prefs	66	21.02		248	78.98		314	
		"RYAN, Steve (CTA)"	6	3	50.00		3	50.00		6	
		"MCCLUNG, Jean (CEC)"	0	0	0.00		0	0.00		0	
		"BANGE, Jane (GRN)"	27	20	74.07		7	25.93		27	
		"HAYES, Michael (DEM)"	21	15	71.43		6	28.57		21	
		"MCLEOD, Paul (UNI)"	0	0	0.00		0	0.00		0	
		"CROCKER, Geoff (HAN)"	17	6	35.29		11	64.71		17	
		Total	71	110	28.57		275	71.43		385	

	Falls Creek										
			1st Prefs	105	26.45		292	73.55		397	
		"RYAN, Steve (CTA)"	4	2	50.00		2	50.00		4	
		"MCCLUNG, Jean (CEC)"	0	0	0.00		0	0.00		0	
		"BANGE, Jane (GRN)"	30	27	90.00		3	10.00		30	
		"HAYES, Michael (DEM)"	10	6	60.00		4	40.00		10	
		"MCLEOD, Paul (UNI)"	5	4	80.00		1	20.00		5	
		"CROCKER, Geoff (HAN)"	39	11	28.21		28	71.79		39	
		Total	88	155	31.96		330	68.04		485	

	Gerringong										
			1st Prefs	246	31.10		545	68.90		791	
		"RYAN, Steve (CTA)"	27	9	33.33		18	66.67		27	
		"MCCLUNG, Jean (CEC)"	3	2	66.67		1	33.33		3	
		"BANGE, Jane (GRN)"	124	102	82.26		22	17.74		124	
		"HAYES, Michael (DEM)"	58	37	63.79		21	36.21		58	
		"MCLEOD, Paul (UNI)"	8	5	62.50		3	37.50		8	
		"CROCKER, Geoff (HAN)"	28	7	25.00		21	75.00		28	
		Total	248	408	39.27		631	60.73		1039	

	Gerroa										
			1st Prefs	62	28.31		157	71.69		219	
		"RYAN, Steve (CTA)"	7	3	42.86		4	57.14		7	
		"MCCLUNG, Jean (CEC)"	0	0	0.00		0	0.00		0	
		"BANGE, Jane (GRN)"	35	26	74.29		9	25.71		35	
		"HAYES, Michael (DEM)"	6	3	50.00		3	50.00		6	
		"MCLEOD, Paul (UNI)"	0	0	0.00		0	0.00		0	
		"CROCKER, Geoff (HAN)"	7	0	0.00		7	100.00		7	
		Total	55	94	34.31		180	65.69		274	

	Greenwell Point										
			1st Prefs	231	32.67		476	67.33		707	
		"RYAN, Steve (CTA)"	5	2	40.00		3	60.00		5	
		"MCCLUNG, Jean (CEC)"	1	1	100.00		0	0.00		1	
		"BANGE, Jane (GRN)"	18	13	72.22		5	27.78		18	
		"HAYES, Michael (DEM)"	15	12	80.00		3	20.00		15	
		"MCLEOD, Paul (UNI)"	3	1	33.33		2	66.67		3	
		"CROCKER, Geoff (HAN)"	80	14	17.50		66	82.50		80	
		Total	122	274	33.05		555	66.95		829	

	Huskisson										
			1st Prefs	260	30.73		586	69.27		846	
		"RYAN, Steve (CTA)"	15	0	0.00		15	100.00		15	
		"MCCLUNG, Jean (CEC)"	1	0	0.00		1	100.00		1	
		"BANGE, Jane (GRN)"	62	56	90.32		6	9.68		62	
		"HAYES, Michael (DEM)"	52	36	69.23		16	30.77		52	
		"MCLEOD, Paul (UNI)"	12	9	75.00		3	25.00		12	
		"CROCKER, Geoff (HAN)"	81	20	24.69		61	75.31		81	
		Total	223	381	35.64		688	64.36		1069	

	Hyams Beach										
			1st Prefs	32	41.03		46	58.97		78	
		"RYAN, Steve (CTA)"	0	0	0.00		0	0.00		0	
		"MCCLUNG, Jean (CEC)"	0	0	0.00		0	0.00		0	
		"BANGE, Jane (GRN)"	9	7	77.78		2	22.22		9	
		"HAYES, Michael (DEM)"	6	5	83.33		1	16.67		6	
		"MCLEOD, Paul (UNI)"	0	0	0.00		0	0.00		0	
		"CROCKER, Geoff (HAN)"	0	0	0.00		0	0.00		0	
		Total	15	44	47.31		49	52.69		93	

	Illaroo										
			1st Prefs	455	20.88		1724	79.12		2179	
		"RYAN, Steve (CTA)"	73	12	16.44		61	83.56		73	
		"MCCLUNG, Jean (CEC)"	3	1	33.33		2	66.67		3	
		"BANGE, Jane (GRN)"	104	75	72.12		29	27.88		104	
		"HAYES, Michael (DEM)"	135	82	60.74		53	39.26		135	
		"MCLEOD, Paul (UNI)"	21	18	85.71		3	14.29		21	
		"CROCKER, Geoff (HAN)"	92	26	28.26		66	71.74		92	
		Total	428	669	25.66		1938	74.34		2607	

	Jamberoo										
			1st Prefs	213	26.59		588	73.41		801	
		"RYAN, Steve (CTA)"	11	3	27.27		8	72.73		11	
		"MCCLUNG, Jean (CEC)"	4	1	25.00		3	75.00		4	
		"BANGE, Jane (GRN)"	106	79	74.53		27	25.47		106	
		"HAYES, Michael (DEM)"	72	50	69.44		22	30.56		72	
		"MCLEOD, Paul (UNI)"	3	3	100.00		0	0.00		3	
		"CROCKER, Geoff (HAN)"	35	11	31.43		24	68.57		35	
		Total	231	360	34.88		672	65.12		1032	

	Kangaroo Valley										
			1st Prefs	130	25.84		373	74.16		503	
		"RYAN, Steve (CTA)"	12	0	0.00		12	100.00		12	
		"MCCLUNG, Jean (CEC)"	1	1	100.00		0	0.00		1	
		"BANGE, Jane (GRN)"	100	84	84.00		16	16.00		100	
		"HAYES, Michael (DEM)"	63	41	65.08		22	34.92		63	
		"MCLEOD, Paul (UNI)"	4	4	100.00		0	0.00		4	
		"CROCKER, Geoff (HAN)"	21	4	19.05		17	80.95		21	
		Total	201	264	37.50		440	62.50		704	

	Kiama										
			1st Prefs	717	33.40		1430	66.60		2147	
		"RYAN, Steve (CTA)"	46	5	10.87		41	89.13		46	
		"MCCLUNG, Jean (CEC)"	3	2	66.67		1	33.33		3	
		"BANGE, Jane (GRN)"	201	160	79.60		41	20.40		201	
		"HAYES, Michael (DEM)"	205	127	61.95		78	38.05		205	
		"MCLEOD, Paul (UNI)"	8	5	62.50		3	37.50		8	
		"CROCKER, Geoff (HAN)"	107	31	28.97		76	71.03		107	
		Total	570	1047	38.54		1670	61.46		2717	

	Kiama Downs										
			1st Prefs	406	39.04		634	60.96		1040	
		"RYAN, Steve (CTA)"	47	9	19.15		38	80.85		47	
		"MCCLUNG, Jean (CEC)"	4	1	25.00		3	75.00		4	
		"BANGE, Jane (GRN)"	109	84	77.06		25	22.94		109	
		"HAYES, Michael (DEM)"	114	71	62.28		43	37.72		114	
		"MCLEOD, Paul (UNI)"	1	1	100.00		0	0.00		1	
		"CROCKER, Geoff (HAN)"	63	13	20.63		50	79.37		63	
		Total	338	585	42.45		793	57.55		1378	

	Kiama South										
			1st Prefs	270	37.45		451	62.55		721	
		"RYAN, Steve (CTA)"	19	3	15.79		16	84.21		19	
		"MCCLUNG, Jean (CEC)"	5	1	20.00		4	80.00		5	
		"BANGE, Jane (GRN)"	82	68	82.93		14	17.07		82	
		"HAYES, Michael (DEM)"	58	35	60.34		23	39.66		58	
		"MCLEOD, Paul (UNI)"	4	3	75.00		1	25.00		4	
		"CROCKER, Geoff (HAN)"	53	9	16.98		44	83.02		53	
		Total	221	389	41.30		553	58.70		942	

	Lake Conjola										
			1st Prefs	155	35.15		286	64.85		441	
		"RYAN, Steve (CTA)"	0	0	0.00		0	0.00		0	
		"MCCLUNG, Jean (CEC)"	0	0	0.00		0	0.00		0	
		"BANGE, Jane (GRN)"	15	13	86.67		2	13.33		15	
		"HAYES, Michael (DEM)"	12	10	83.33		2	16.67		12	
		"MCLEOD, Paul (UNI)"	1	1	100.00		0	0.00		1	
		"CROCKER, Geoff (HAN)"	20	7	35.00		13	65.00		20	
		Total	48	186	38.04		303	61.96		489	

	Manyana										
			1st Prefs	136	45.48		163	54.52		299	
		"RYAN, Steve (CTA)"	0	0	0.00		0	0.00		0	
		"MCCLUNG, Jean (CEC)"	0	0	0.00		0	0.00		0	
		"BANGE, Jane (GRN)"	29	25	86.21		4	13.79		29	
		"HAYES, Michael (DEM)"	8	5	62.50		3	37.50		8	
		"MCLEOD, Paul (UNI)"	0	0	0.00		0	0.00		0	
		"CROCKER, Geoff (HAN)"	42	18	42.86		24	57.14		42	
		Total	79	184	48.68		194	51.32		378	

	Mayflower										
			1st Prefs	83	30.97		185	69.03		268	
		"RYAN, Steve (CTA)"	10	2	20.00		8	80.00		10	
		"MCCLUNG, Jean (CEC)"	0	0	0.00		0	0.00		0	
		"BANGE, Jane (GRN)"	8	6	75.00		2	25.00		8	
		"HAYES, Michael (DEM)"	12	7	58.33		5	41.67		12	
		"MCLEOD, Paul (UNI)"	1	0	0.00		1	100.00		1	
		"CROCKER, Geoff (HAN)"	8	1	12.50		7	87.50		8	
		Total	39	99	32.25		208	67.75		307	

	Milton										
			1st Prefs	314	28.11		803	71.89		1117	
		"RYAN, Steve (CTA)"	17	3	17.65		14	82.35		17	
		"MCCLUNG, Jean (CEC)"	0	0	0.00		0	0.00		0	
		"BANGE, Jane (GRN)"	101	90	89.11		11	10.89		101	
		"HAYES, Michael (DEM)"	60	47	78.33		13	21.67		60	
		"MCLEOD, Paul (UNI)"	10	10	100.00		0	0.00		10	
		"CROCKER, Geoff (HAN)"	81	30	37.04		51	62.96		81	
		Total	269	494	35.64		892	64.36		1386	

	Minnamurra										
			1st Prefs	503	37.37		843	62.63		1346	
		"RYAN, Steve (CTA)"	50	8	16.00		42	84.00		50	
		"MCCLUNG, Jean (CEC)"	1	0	0.00		1	100.00		1	
		"BANGE, Jane (GRN)"	166	122	73.49		44	26.51		166	
		"HAYES, Michael (DEM)"	113	69	61.06		44	38.94		113	
		"MCLEOD, Paul (UNI)"	4	2	50.00		2	50.00		4	
		"CROCKER, Geoff (HAN)"	102	29	28.43		73	71.57		102	
		Total	436	733	41.13		1049	58.87		1782	

	Mollymook										
			1st Prefs	353	32.27		741	67.73		1094	
		"RYAN, Steve (CTA)"	17	2	11.76		15	88.24		17	
		"MCCLUNG, Jean (CEC)"	0	0	0.00		0	0.00		0	
		"BANGE, Jane (GRN)"	76	66	86.84		10	13.16		76	
		"HAYES, Michael (DEM)"	31	21	67.74		10	32.26		31	
		"MCLEOD, Paul (UNI)"	2	2	100.00		0	0.00		2	
		"CROCKER, Geoff (HAN)"	73	26	35.62		47	64.38		73	
		Total	199	470	36.35		823	63.65		1293	

	Moss Vale										
			1st Prefs	570	37.82		937	62.18		1507	
		"RYAN, Steve (CTA)"	44	6	13.64		38	86.36		44	
		"MCCLUNG, Jean (CEC)"	3	2	66.67		1	33.33		3	
		"BANGE, Jane (GRN)"	73	56	76.71		17	23.29		73	
		"HAYES, Michael (DEM)"	75	50	66.67		25	33.33		75	
		"MCLEOD, Paul (UNI)"	3	2	66.67		1	33.33		3	
		"CROCKER, Geoff (HAN)"	89	25	28.09		64	71.91		89	
		Total	287	711	39.63		1083	60.37		1794	

	Moss Vale Central										
			1st Prefs	523	33.27		1049	66.73		1572	
		"RYAN, Steve (CTA)"	29	5	17.24		24	82.76		29	
		"MCCLUNG, Jean (CEC)"	5	3	60.00		2	40.00		5	
		"BANGE, Jane (GRN)"	79	64	81.01		15	18.99		79	
		"HAYES, Michael (DEM)"	95	56	58.95		39	41.05		95	
		"MCLEOD, Paul (UNI)"	0	0	0.00		0	0.00		0	
		"CROCKER, Geoff (HAN)"	85	23	27.06		62	72.94		85	
		Total	293	674	36.14		1191	63.86		1865	

	Nowra										
			1st Prefs	506	27.92		1306	72.08		1812	
		"RYAN, Steve (CTA)"	48	5	10.42		43	89.58		48	
		"MCCLUNG, Jean (CEC)"	5	4	80.00		1	20.00		5	
		"BANGE, Jane (GRN)"	97	73	75.26		24	24.74		97	
		"HAYES, Michael (DEM)"	66	38	57.58		28	42.42		66	
		"MCLEOD, Paul (UNI)"	20	12	60.00		8	40.00		20	
		"CROCKER, Geoff (HAN)"	107	30	28.04		77	71.96		107	
		Total	343	668	31.00		1487	69.00		2155	

	Nowra Centre										
			1st Prefs	193	21.47		706	78.53		899	
		"RYAN, Steve (CTA)"	22	3	13.64		19	86.36		22	
		"MCCLUNG, Jean (CEC)"	1	1	100.00		0	0.00		1	
		"BANGE, Jane (GRN)"	57	48	84.21		9	15.79		57	
		"HAYES, Michael (DEM)"	49	30	61.22		19	38.78		49	
		"MCLEOD, Paul (UNI)"	7	2	28.57		5	71.43		7	
		"CROCKER, Geoff (HAN)"	61	14	22.95		47	77.05		61	
		Total	197	291	26.55		805	73.45		1096	

	Nowra East										
			1st Prefs	535	34.05		1036	65.95		1571	
		"RYAN, Steve (CTA)"	25	2	8.00		23	92.00		25	
		"MCCLUNG, Jean (CEC)"	4	1	25.00		3	75.00		4	
		"BANGE, Jane (GRN)"	63	48	76.19		15	23.81		63	
		"HAYES, Michael (DEM)"	51	31	60.78		20	39.22		51	
		"MCLEOD, Paul (UNI)"	44	32	72.73		12	27.27		44	
		"CROCKER, Geoff (HAN)"	106	39	36.79		67	63.21		106	
		Total	293	688	36.91		1176	63.09		1864	

	Nowra Hill										
			1st Prefs	52	20.63		200	79.37		252	
		"RYAN, Steve (CTA)"	2	0	0.00		2	100.00		2	
		"MCCLUNG, Jean (CEC)"	0	0	0.00		0	0.00		0	
		"BANGE, Jane (GRN)"	2	1	50.00		1	50.00		2	
		"HAYES, Michael (DEM)"	12	4	33.33		8	66.67		12	
		"MCLEOD, Paul (UNI)"	2	1	50.00		1	50.00		2	
		"CROCKER, Geoff (HAN)"	22	4	18.18		18	81.82		22	
		Total	40	62	21.23		230	78.77		292	

	Nowra Hospital										
			1st Prefs	71	38.80		112	61.20		183	
		"RYAN, Steve (CTA)"	5	1	20.00		4	80.00		5	
		"MCCLUNG, Jean (CEC)"	1	1	100.00		0	0.00		1	
		"BANGE, Jane (GRN)"	10	8	80.00		2	20.00		10	
		"HAYES, Michael (DEM)"	6	5	83.33		1	16.67		6	
		"MCLEOD, Paul (UNI)"	1	0	0.00		1	100.00		1	
		"CROCKER, Geoff (HAN)"	12	4	33.33		8	66.67		12	
		Total	35	90	41.28		128	58.72		218	

	Nowra North										
			1st Prefs	151	26.08		428	73.92		579	
		"RYAN, Steve (CTA)"	18	4	22.22		14	77.78		18	
		"MCCLUNG, Jean (CEC)"	2	0	0.00		2	100.00		2	
		"BANGE, Jane (GRN)"	30	25	83.33		5	16.67		30	
		"HAYES, Michael (DEM)"	32	23	71.88		9	28.13		32	
		"MCLEOD, Paul (UNI)"	1	0	0.00		1	100.00		1	
		"CROCKER, Geoff (HAN)"	34	4	11.76		30	88.24		34	
		Total	117	207	29.74		489	70.26		696	

	Nowra South										
			1st Prefs	178	33.27		357	66.73		535	
		"RYAN, Steve (CTA)"	13	2	15.38		11	84.62		13	
		"MCCLUNG, Jean (CEC)"	0	0	0.00		0	0.00		0	
		"BANGE, Jane (GRN)"	19	15	78.95		4	21.05		19	
		"HAYES, Michael (DEM)"	13	4	30.77		9	69.23		13	
		"MCLEOD, Paul (UNI)"	10	6	60.00		4	40.00		10	
		"CROCKER, Geoff (HAN)"	33	9	27.27		24	72.73		33	
		Total	88	214	34.35		409	65.65		623	

	Orient Point										
			1st Prefs	164	44.32		206	55.68		370	
		"RYAN, Steve (CTA)"	4	0	0.00		4	100.00		4	
		"MCCLUNG, Jean (CEC)"	1	1	100.00		0	0.00		1	
		"BANGE, Jane (GRN)"	16	11	68.75		5	31.25		16	
		"HAYES, Michael (DEM)"	8	4	50.00		4	50.00		8	
		"MCLEOD, Paul (UNI)"	17	13	76.47		4	23.53		17	
		"CROCKER, Geoff (HAN)"	44	14	31.82		30	68.18		44	
		Total	90	207	45.00		253	55.00		460	

	Penrose										
			1st Prefs	34	34.69		64	65.31		98	
		"RYAN, Steve (CTA)"	0	0	0.00		0	0.00		0	
		"MCCLUNG, Jean (CEC)"	2	2	100.00		0	0.00		2	
		"BANGE, Jane (GRN)"	13	10	76.92		3	23.08		13	
		"HAYES, Michael (DEM)"	9	7	77.78		2	22.22		9	
		"MCLEOD, Paul (UNI)"	0	0	0.00		0	0.00		0	
		"CROCKER, Geoff (HAN)"	12	5	41.67		7	58.33		12	
		Total	36	58	43.28		76	56.72		134	

	Robertson										
			1st Prefs	240	34.53		455	65.47		695	
		"RYAN, Steve (CTA)"	37	6	16.22		31	83.78		37	
		"MCCLUNG, Jean (CEC)"	5	3	60.00		2	40.00		5	
		"BANGE, Jane (GRN)"	69	57	82.61		12	17.39		69	
		"HAYES, Michael (DEM)"	61	40	65.57		21	34.43		61	
		"MCLEOD, Paul (UNI)"	1	1	100.00		0	0.00		1	
		"CROCKER, Geoff (HAN)"	71	16	22.54		55	77.46		71	
		Total	244	363	38.66		576	61.34		939	

	St Georges Basin										
			1st Prefs	256	31.11		567	68.89		823	
		"RYAN, Steve (CTA)"	20	3	15.00		17	85.00		20	
		"MCCLUNG, Jean (CEC)"	1	1	100.00		0	0.00		1	
		"BANGE, Jane (GRN)"	48	37	77.08		11	22.92		48	
		"HAYES, Michael (DEM)"	15	7	46.67		8	53.33		15	
		"MCLEOD, Paul (UNI)"	1	0	0.00		1	100.00		1	
		"CROCKER, Geoff (HAN)"	74	18	24.32		56	75.68		74	
		Total	159	322	32.79		660	67.21		982	

	Sanctuary Point										
			1st Prefs	1087	42.51		1470	57.49		2557	
		"RYAN, Steve (CTA)"	29	8	27.59		21	72.41		29	
		"MCCLUNG, Jean (CEC)"	2	2	100.00		0	0.00		2	
		"BANGE, Jane (GRN)"	88	68	77.27		20	22.73		88	
		"HAYES, Michael (DEM)"	60	29	48.33		31	51.67		60	
		"MCLEOD, Paul (UNI)"	22	12	54.55		10	45.45		22	
		"CROCKER, Geoff (HAN)"	230	56	24.35		174	75.65		230	
		Total	431	1262	42.24		1726	57.76		2988	

	Shoalhaven Heads										
			1st Prefs	675	39.06		1053	60.94		1728	
		"RYAN, Steve (CTA)"	32	6	18.75		26	81.25		32	
		"MCCLUNG, Jean (CEC)"	2	1	50.00		1	50.00		2	
		"BANGE, Jane (GRN)"	70	58	82.86		12	17.14		70	
		"HAYES, Michael (DEM)"	58	34	58.62		24	41.38		58	
		"MCLEOD, Paul (UNI)"	2	1	50.00		1	50.00		2	
		"CROCKER, Geoff (HAN)"	141	35	24.82		106	75.18		141	
		Total	305	810	39.84		1223	60.16		2033	

	Sussex Inlet										
			1st Prefs	668	38.97		1046	61.03		1714	
		"RYAN, Steve (CTA)"	10	2	20.00		8	80.00		10	
		"MCCLUNG, Jean (CEC)"	4	3	75.00		1	25.00		4	
		"BANGE, Jane (GRN)"	58	47	81.03		11	18.97		58	
		"HAYES, Michael (DEM)"	44	31	70.45		13	29.55		44	
		"MCLEOD, Paul (UNI)"	5	3	60.00		2	40.00		5	
		"CROCKER, Geoff (HAN)"	211	50	23.70		161	76.30		211	
		Total	332	804	39.30		1242	60.70		2046	

	Sutton Forest										
			1st Prefs	48	21.15		179	78.85		227	
		"RYAN, Steve (CTA)"	4	0	0.00		4	100.00		4	
		"MCCLUNG, Jean (CEC)"	0	0	0.00		0	0.00		0	
		"BANGE, Jane (GRN)"	17	13	76.47		4	23.53		17	
		"HAYES, Michael (DEM)"	9	5	55.56		4	44.44		9	
