House of Representatives - 2001 Election: New South Wales											
Two Candidate Preferred Preference Flow Result											
by Polling Place											
											
Sydney (86143)											
		Candidate		"PLIBERSEK, Tanya"		           	"PETTETT, Jeff"		              	Total	
		"HICKMAN, Sydney (DEM)"	140	103	73.57		37	26.43		140	
		"PARKER, Jamie (GRN)"	215	192	89.30		23	10.70		215	
		Total	355	729	71.89		285	28.11		1014	

	East Sydney										
			1st Prefs	869	65.34		461	34.66		1330	
		"HICKMAN, Sydney (DEM)"	189	150	79.37		39	20.63		189	
		"PARKER, Jamie (GRN)"	219	192	87.67		27	12.33		219	
		Total	408	1211	69.68		527	30.32		1738	

	Erskineville										
			1st Prefs	1185	67.14		580	32.86		1765	
		"HICKMAN, Sydney (DEM)"	372	300	80.65		72	19.35		372	
		"PARKER, Jamie (GRN)"	478	429	89.75		49	10.25		478	
		Total	850	1914	73.19		701	26.81		2615	

	Flinders										
			1st Prefs	407	62.91		240	37.09		647	
		"HICKMAN, Sydney (DEM)"	87	66	75.86		21	24.14		87	
		"PARKER, Jamie (GRN)"	112	96	85.71		16	14.29		112	
		Total	199	569	67.26		277	32.74		846	

	Forest Lodge										
			1st Prefs	549	64.36		304	35.64		853	
		"HICKMAN, Sydney (DEM)"	152	124	81.58		28	18.42		152	
		"PARKER, Jamie (GRN)"	256	236	92.19		20	7.81		256	
		Total	408	909	72.09		352	27.91		1261	

	Gardeners Road										
			1st Prefs	277	68.56		127	31.44		404	
		"HICKMAN, Sydney (DEM)"	16	10	62.50		6	37.50		16	
		"PARKER, Jamie (GRN)"	28	23	82.14		5	17.86		28	
		Total	44	310	69.20		138	30.80		448	

	Gladstone Park										
			1st Prefs	631	59.14		436	40.86		1067	
		"HICKMAN, Sydney (DEM)"	172	139	80.81		33	19.19		172	
		"PARKER, Jamie (GRN)"	281	244	86.83		37	13.17		281	
		Total	453	1014	66.71		506	33.29		1520	

	Glebe										
			1st Prefs	661	67.79		314	32.21		975	
		"HICKMAN, Sydney (DEM)"	143	107	74.83		36	25.17		143	
		"PARKER, Jamie (GRN)"	253	220	86.96		33	13.04		253	
		Total	396	988	72.06		383	27.94		1371	

	Glebe East										
			1st Prefs	813	75.49		264	24.51		1077	
		"HICKMAN, Sydney (DEM)"	142	103	72.54		39	27.46		142	
		"PARKER, Jamie (GRN)"	254	220	86.61		34	13.39		254	
		Total	396	1136	77.12		337	22.88		1473	

	Glebe North										
			1st Prefs	406	62.46		244	37.54		650	
		"HICKMAN, Sydney (DEM)"	115	86	74.78		29	25.22		115	
		"PARKER, Jamie (GRN)"	157	128	81.53		29	18.47		157	
		Total	272	620	67.25		302	32.75		922	

	Hyde Park										
			1st Prefs	189	55.10		154	44.90		343	
		"HICKMAN, Sydney (DEM)"	40	32	80.00		8	20.00		40	
		"PARKER, Jamie (GRN)"	73	68	93.15		5	6.85		73	
		Total	113	289	63.38		167	36.62		456	

	Kings Cross										
			1st Prefs	895	62.76		531	37.24		1426	
		"HICKMAN, Sydney (DEM)"	243	197	81.07		46	18.93		243	
		"PARKER, Jamie (GRN)"	334	303	90.72		31	9.28		334	
		Total	577	1395	69.65		608	30.35		2003	

	Lord Howe Island										
			1st Prefs	72	42.11		99	57.89		171	
		"HICKMAN, Sydney (DEM)"	21	14	66.67		7	33.33		21	
		"PARKER, Jamie (GRN)"	19	16	84.21		3	15.79		19	
		Total	40	102	48.34		109	51.66		211	

	Millers Point										
			1st Prefs	428	58.07		309	41.93		737	
		"HICKMAN, Sydney (DEM)"	57	49	85.96		8	14.04		57	
		"PARKER, Jamie (GRN)"	72	61	84.72		11	15.28		72	
		Total	129	538	62.12		328	37.88		866	

	Newtown East										
			1st Prefs	204	73.12		75	26.88		279	
		"HICKMAN, Sydney (DEM)"	63	53	84.13		10	15.87		63	
		"PARKER, Jamie (GRN)"	123	117	95.12		6	4.88		123	
		Total	186	374	80.43		91	19.57		465	

	Newtown North (Sydney)										
			1st Prefs	668	71.67		264	28.33		932	
		"HICKMAN, Sydney (DEM)"	225	182	80.89		43	19.11		225	
		"PARKER, Jamie (GRN)"	416	385	92.55		31	7.45		416	
		Total	641	1235	78.51		338	21.49		1573	

	Paddington South (Sydney)										
			1st Prefs	579	45.31		699	54.69		1278	
		"HICKMAN, Sydney (DEM)"	163	125	76.69		38	23.31		163	
		"PARKER, Jamie (GRN)"	238	191	80.25		47	19.75		238	
		Total	401	895	53.31		784	46.69		1679	

	Potts Point										
			1st Prefs	1065	50.35		1050	49.65		2115	
		"HICKMAN, Sydney (DEM)"	286	220	76.92		66	23.08		286	
		"PARKER, Jamie (GRN)"	384	343	89.32		41	10.68		384	
		Total	670	1628	58.46		1157	41.54		2785	

	Prince Alfred Hospital										
			1st Prefs	225	57.69		165	42.31		390	
		"HICKMAN, Sydney (DEM)"	71	50	70.42		21	29.58		71	
		"PARKER, Jamie (GRN)"	67	50	74.63		17	25.37		67	
		Total	138	325	61.55		203	38.45		528	

	Pyrmont										
			1st Prefs	633	46.31		734	53.69		1367	
		"HICKMAN, Sydney (DEM)"	185	119	64.32		66	35.68		185	
		"PARKER, Jamie (GRN)"	154	122	79.22		32	20.78		154	
		Total	339	874	51.23		832	48.77		1706	

	Rachel Forster Hospital										
			1st Prefs	770	68.08		361	31.92		1131	
		"HICKMAN, Sydney (DEM)"	142	108	76.06		34	23.94		142	
		"PARKER, Jamie (GRN)"	158	136	86.08		22	13.92		158	
		Total	300	1014	70.86		417	29.14		1431	

	Redfern										
			1st Prefs	966	72.14		373	27.86		1339	
		"HICKMAN, Sydney (DEM)"	162	119	73.46		43	26.54		162	
		"PARKER, Jamie (GRN)"	138	118	85.51		20	14.49		138	
		Total	300	1203	73.40		436	26.60		1639	

	Redfern East										
			1st Prefs	1160	74.69		393	25.31		1553	
		"HICKMAN, Sydney (DEM)"	138	97	70.29		41	29.71		138	
		"PARKER, Jamie (GRN)"	159	132	83.02		27	16.98		159	
		Total	297	1389	75.08		461	24.92		1850	

	Rosebery										
			1st Prefs	730	58.97		508	41.03		1238	
		"HICKMAN, Sydney (DEM)"	74	56	75.68		18	24.32		74	
		"PARKER, Jamie (GRN)"	56	38	67.86		18	32.14		56	
		Total	130	824	60.23		544	39.77		1368	

	Roslyn Gardens										
			1st Prefs	439	50.99		422	49.01		861	
		"HICKMAN, Sydney (DEM)"	110	84	76.36		26	23.64		110	
		"PARKER, Jamie (GRN)"	146	122	83.56		24	16.44		146	
		Total	256	645	57.74		472	42.26		1117	

	Rozelle										
			1st Prefs	1190	56.94		900	43.06		2090	
		"HICKMAN, Sydney (DEM)"	270	206	76.30		64	23.70		270	
		"PARKER, Jamie (GRN)"	478	407	85.15		71	14.85		478	
		Total	748	1803	63.53		1035	36.47		2838	

	St Vincents Hospital										
			1st Prefs	123	61.19		78	38.81		201	
		"HICKMAN, Sydney (DEM)"	37	26	70.27		11	29.73		37	
		"PARKER, Jamie (GRN)"	40	28	70.00		12	30.00		40	
		Total	77	177	63.67		101	36.33		278	

	South Sydney Hospital										
			1st Prefs	58	67.44		28	32.56		86	
		"HICKMAN, Sydney (DEM)"	9	6	66.67		3	33.33		9	
		"PARKER, Jamie (GRN)"	14	9	64.29		5	35.71		14	
		Total	23	73	66.97		36	33.03		109	

	Surry Hills										
			1st Prefs	220	69.18		98	30.82		318	
		"HICKMAN, Sydney (DEM)"	61	44	72.13		17	27.87		61	
		"PARKER, Jamie (GRN)"	79	73	92.41		6	7.59		79	
		Total	140	337	73.58		121	26.42		458	

	Surry Hills North										
			1st Prefs	682	61.72		423	38.28		1105	
		"HICKMAN, Sydney (DEM)"	268	210	78.36		58	21.64		268	
		"PARKER, Jamie (GRN)"	254	216	85.04		38	14.96		254	
		Total	522	1108	68.10		519	31.90		1627	

	Surry Hills South										
			1st Prefs	706	65.19		377	34.81		1083	
		"HICKMAN, Sydney (DEM)"	255	193	75.69		62	24.31		255	
		"PARKER, Jamie (GRN)"	275	242	88.00		33	12.00		275	
		Total	530	1141	70.74		472	29.26		1613	

	Sydney (Sydney)										
			1st Prefs	1144	49.83		1152	50.17		2296	
		"HICKMAN, Sydney (DEM)"	273	206	75.46		67	24.54		273	
		"PARKER, Jamie (GRN)"	323	246	76.16		77	23.84		323	
		Total	596	1596	55.19		1296	44.81		2892	

	Toxteth										
			1st Prefs	496	67.03		244	32.97		740	
		"HICKMAN, Sydney (DEM)"	84	64	76.19		20	23.81		84	
		"PARKER, Jamie (GRN)"	225	203	90.22		22	9.78		225	
		Total	309	763	72.74		286	27.26		1049	

	Ultimo										
			1st Prefs	575	67.33		279	32.67		854	
		"HICKMAN, Sydney (DEM)"	85	61	71.76		24	28.24		85	
		"PARKER, Jamie (GRN)"	106	87	82.08		19	17.92		106	
		Total	191	723	69.19		322	30.81		1045	

	Waterloo										
			1st Prefs	602	77.28		177	22.72		779	
		"HICKMAN, Sydney (DEM)"	31	21	67.74		10	32.26		31	
		"PARKER, Jamie (GRN)"	60	42	70.00		18	30.00		60	
		Total	91	665	76.44		205	23.56		870	

	Woolloomooloo										
			1st Prefs	517	61.55		323	38.45		840	
		"HICKMAN, Sydney (DEM)"	83	49	59.04		34	40.96		83	
		"PARKER, Jamie (GRN)"	110	87	79.09		23	20.91		110	
		Total	193	653	63.21		380	36.79		1033	

	Zetland										
			1st Prefs	113	51.36		107	48.64		220	
		"HICKMAN, Sydney (DEM)"	16	9	56.25		7	43.75		16	
		"PARKER, Jamie (GRN)"	21	16	76.19		5	23.81		21	
		Total	37	138	53.70		119	46.30		257	

	Special Hospitals										
			1st Prefs	123	57.48		91	42.52		214	
		"HICKMAN, Sydney (DEM)"	4	1	25.00		3	75.00		4	
		"PARKER, Jamie (GRN)"	6	3	50.00		3	50.00		6	
		Total	10	127	56.70		97	43.30		224	

	Total Ordinary										
			1st Prefs	26531	60.88		17046	39.12		43577	
		"HICKMAN, Sydney (DEM)"	6274	4765	75.95		1509	24.05		6274	
		"PARKER, Jamie (GRN)"	8685	7487	86.21		1198	13.79		8685	
		Total	14959	38783	66.25		19753	33.75		58536	

	ABSENT										
			1st Prefs	2948	52.91		2624	47.09		5572	
		"HICKMAN, Sydney (DEM)"	906	629	69.43		277	30.57		906	
		"PARKER, Jamie (GRN)"	1222	1004	82.16		218	17.84		1222	
		Total	2128	4581	59.49		3119	40.51		7700	

	POSTAL										
			1st Prefs	1012	55.33		817	44.67		1829	
		"HICKMAN, Sydney (DEM)"	172	134	77.91		38	22.09		172	
		"PARKER, Jamie (GRN)"	223	180	80.72		43	19.28		223	
		Total	395	1326	59.62		898	40.38		2224	

	PRE_POLL										
			1st Prefs	2079	55.38		1675	44.62		3754	
		"HICKMAN, Sydney (DEM)"	625	441	70.56		184	29.44		625	
		"PARKER, Jamie (GRN)"	627	521	83.09		106	16.91		627	
		Total	1252	3041	60.75		1965	39.25		5006	

	PROVISIONAL										
			1st Prefs	392	64.26		218	35.74		610	
		"HICKMAN, Sydney (DEM)"	116	91	78.45		25	21.55		116	
		"PARKER, Jamie (GRN)"	167	149	89.22		18	10.78		167	
		Total	283	632	70.77		261	29.23		893	

	Division Summary										
			1st Prefs	32962	59.56		22380	40.44		55342	
		"HICKMAN, Sydney (DEM)"	8093	6060	74.88		2033	25.12		8093	
		"PARKER, Jamie (GRN)"	10924	9341	85.51		1583	14.49		10924	
		Total	19017	48363	65.04		25996	34.96		74359	
