Senate - 2001 Election: New South Wales																																																																																	
First Preference Votes by Group 																																																																																	
By Polling Place																																																																																	

Reid (77031)																																																																																	
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Group R Total			Group S Total			Group T Total			Group U Total			Group V Total			Group W Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Fowler Road		168	6.60		56	2.20		21	0.82		1	0.04		63	2.47		4	0.16		82	3.22		17	0.67		4	0.16		1085	42.60		6	0.24		0	0.00		15	0.59		1	0.04		2	0.08		2	0.08		933	36.63		24	0.94		4	0.16		38	1.49		6	0.24		2	0.08		13	0.51		0	0.00		2547	92.32		212	7.68		2759	3.83
Granville		110	3.65		58	1.93		89	2.96		3	0.10		124	4.12		86	2.86		14	0.47		22	0.73		7	0.23		1568	52.09		11	0.37		2	0.07		21	0.70		0	0.00		4	0.13		2	0.07		775	25.75		34	1.13		6	0.20		59	1.96		2	0.07		2	0.07		9	0.30		2	0.07		3010	91.96		263	8.04		3273	4.54
Granville North (Reid)		16	2.43		14	2.13		17	2.58		0	0.00		25	3.80		3	0.46		20	3.04		6	0.91		0	0.00		334	50.76		2	0.30		1	0.15		4	0.61		0	0.00		3	0.46		1	0.15		197	29.94		4	0.61		0	0.00		8	1.22		0	0.00		0	0.00		3	0.46		0	0.00		658	95.78		29	4.22		687	0.95
Granville South		102	6.00		22	1.29		26	1.53		2	0.12		56	3.29		2	0.12		51	3.00		8	0.47		9	0.53		830	48.82		4	0.24		3	0.18		11	0.65		0	0.00		1	0.06		3	0.18		516	30.35		8	0.47		3	0.18		29	1.71		1	0.06		0	0.00		9	0.53		4	0.24		1700	92.69		134	7.31		1834	2.54
Guildford		108	5.58		45	2.32		25	1.29		1	0.05		52	2.68		3	0.15		58	2.99		11	0.57		5	0.26		927	47.86		7	0.36		1	0.05		15	0.77		1	0.05		3	0.15		3	0.15		587	30.30		22	1.14		2	0.10		49	2.53		0	0.00		1	0.05		10	0.52		1	0.05		1937	93.62		132	6.38		2069	2.87
Guildford East		106	5.72		38	2.05		14	0.76		2	0.11		45	2.43		2	0.11		66	3.56		18	0.97		5	0.27		833	44.98		3	0.16		1	0.05		9	0.49		0	0.00		1	0.05		2	0.11		646	34.88		16	0.86		4	0.22		25	1.35		0	0.00		5	0.27		8	0.43		3	0.16		1852	92.05		160	7.95		2012	2.79
Guildford West		205	7.90		34	1.31		6	0.23		2	0.08		73	2.81		0	0.00		87	3.35		12	0.46		14	0.54		1129	43.49		15	0.58		2	0.08		21	0.81		2	0.08		3	0.12		3	0.12		896	34.51		12	0.46		2	0.08		55	2.12		3	0.12		3	0.12		17	0.65		0	0.00		2596	94.37		155	5.63		2751	3.82
Hilltop Road		220	6.13		90	2.51		26	0.73		2	0.06		120	3.35		4	0.11		151	4.21		19	0.53		5	0.14		1508	42.05		10	0.28		3	0.08		22	0.61		1	0.03		4	0.11		2	0.06		1286	35.86		22	0.61		2	0.06		54	1.51		8	0.22		1	0.03		25	0.70		1	0.03		3586	92.88		275	7.12		3861	5.35
Hyde Park		103	4.73		61	2.80		44	2.02		2	0.09		57	2.62		1	0.05		106	4.87		12	0.55		6	0.28		1023	46.99		7	0.32		1	0.05		8	0.37		1	0.05		4	0.18		2	0.09		669	30.73		15	0.69		2	0.09		45	2.07		0	0.00		0	0.00		8	0.37		0	0.00		2177	93.31		156	6.69		2333	3.24
Lidcombe		170	3.97		37	0.87		143	3.34		0	0.00		162	3.79		0	0.00		165	3.86		20	0.47		11	0.26		2329	54.45		11	0.26		5	0.12		14	0.33		2	0.05		3	0.07		4	0.09		1014	23.71		43	1.01		7	0.16		115	2.69		6	0.14		1	0.02		10	0.23		5	0.12		4277	94.46		251	5.54		4528	6.28
Lidcombe South		79	5.39		16	1.09		39	2.66		2	0.14		52	3.55		1	0.07		43	2.93		6	0.41		9	0.61		758	51.71		3	0.20		2	0.14		5	0.34		0	0.00		10	0.68		1	0.07		384	26.19		10	0.68		0	0.00		38	2.59		3	0.20		0	0.00		5	0.34		0	0.00		1466	93.49		102	6.51		1568	2.17
Merrylands		89	5.25		45	2.66		18	1.06		0	0.00		28	1.65		0	0.00		64	3.78		12	0.71		6	0.35		781	46.10		3	0.18		0	0.00		7	0.41		1	0.06		1	0.06		2	0.12		580	34.24		8	0.47		1	0.06		34	2.01		4	0.24		2	0.12		8	0.47		0	0.00		1694	92.32		141	7.68		1835	2.54
Merrylands East		95	5.18		40	2.18		27	1.47		1	0.05		58	3.16		2	0.11		55	3.00		8	0.44		5	0.27		866	47.22		5	0.27		3	0.16		6	0.33		0	0.00		1	0.05		2	0.11		593	32.33		20	1.09		3	0.16		33	1.80		2	0.11		1	0.05		8	0.44		0	0.00		1834	92.53		148	7.47		1982	2.75
Merrylands North		81	4.02		35	1.74		31	1.54		1	0.05		51	2.53		4	0.20		73	3.62		13	0.64		7	0.35		1015	50.32		7	0.35		2	0.10		4	0.20		1	0.05		7	0.35		1	0.05		613	30.39		23	1.14		5	0.25		33	1.64		1	0.05		0	0.00		9	0.45		0	0.00		2017	92.95		153	7.05		2170	3.01
Merrylands West		38	7.54		12	2.38		0	0.00		2	0.40		19	3.77		0	0.00		18	3.57		7	1.39		1	0.20		210	41.67		1	0.20		2	0.40		4	0.79		0	0.00		0	0.00		2	0.40		168	33.33		3	0.60		3	0.60		9	1.79		1	0.20		0	0.00		4	0.79		0	0.00		504	95.27		25	4.73		529	0.73
Monterey Street		18	5.98		4	1.33		0	0.00		0	0.00		7	2.33		0	0.00		9	2.99		5	1.66		0	0.00		134	44.52		3	1.00		0	0.00		2	0.66		0	0.00		0	0.00		0	0.00		108	35.88		4	1.33		0	0.00		5	1.66		0	0.00		1	0.33		0	0.00		1	0.33		301	96.17		12	3.83		313	0.43
Old Guildford		56	6.12		17	1.86		10	1.09		2	0.22		23	2.51		0	0.00		25	2.73		6	0.66		2	0.22		485	53.01		2	0.22		1	0.11		7	0.77		3	0.33		0	0.00		0	0.00		259	28.31		2	0.22		0	0.00		12	1.31		0	0.00		0	0.00		3	0.33		0	0.00		915	92.80		71	7.20		986	1.37
Rawson		78	8.18		8	0.84		11	1.15		0	0.00		16	1.68		0	0.00		26	2.73		4	0.42		3	0.31		437	45.81		6	0.63		0	0.00		8	0.84		0	0.00		1	0.10		2	0.21		317	33.23		7	0.73		2	0.21		18	1.89		2	0.21		0	0.00		8	0.84		0	0.00		954	95.11		49	4.89		1003	1.39
Regents Park		77	5.58		31	2.25		47	3.41		1	0.07		35	2.54		2	0.14		50	3.62		4	0.29		5	0.36		733	53.12		4	0.29		0	0.00		5	0.36		1	0.07		2	0.14		0	0.00		332	24.06		8	0.58		1	0.07		30	2.17		0	0.00		0	0.00		12	0.87		0	0.00		1380	94.91		74	5.09		1454	2.02
Sherwood Grange		96	6.83		38	2.70		11	0.78		1	0.07		32	2.28		3	0.21		54	3.84		9	0.64		3	0.21		550	39.15		8	0.57		1	0.07		15	1.07		0	0.00		3	0.21		3	0.21		532	37.86		14	1.00		0	0.00		19	1.35		0	0.00		1	0.07		12	0.85		0	0.00		1405	93.67		95	6.33		1500	2.08
Silverwater		53	5.18		13	1.27		26	2.54		1	0.10		52	5.08		2	0.20		57	5.57		8	0.78		3	0.29		501	48.97		6	0.59		1	0.10		2	0.20		1	0.10		0	0.00		1	0.10		253	24.73		11	1.08		2	0.20		27	2.64		0	0.00		0	0.00		3	0.29		0	0.00		1023	95.79		45	4.21		1068	1.48
Sydney (Reid)		2	1.63		1	0.81		2	1.63		0	0.00		7	5.69		0	0.00		10	8.13		1	0.81		0	0.00		50	40.65		1	0.81		0	0.00		3	2.44		0	0.00		0	0.00		0	0.00		34	27.64		2	1.63		0	0.00		10	8.13		0	0.00		0	0.00		0	0.00		0	0.00		123	98.40		2	1.60		125	0.17
Trinity Auburn		79	2.28		40	1.16		141	4.07		0	0.00		159	4.59		2	0.06		91	2.63		14	0.40		7	0.20		2014	58.19		10	0.29		2	0.06		8	0.23		0	0.00		5	0.14		3	0.09		717	20.72		42	1.21		3	0.09		107	3.09		4	0.12		1	0.03		12	0.35		0	0.00		3461	91.68		314	8.32		3775	5.24
Wentworthville South		50	7.92		31	4.91		5	0.79		0	0.00		14	2.22		0	0.00		27	4.28		5	0.79		0	0.00		240	38.03		0	0.00		0	0.00		2	0.32		0	0.00		0	0.00		1	0.16		243	38.51		3	0.48		2	0.32		5	0.79		0	0.00		0	0.00		3	0.48		0	0.00		631	90.66		65	9.34		696	0.97
Yennora (Reid)		34	5.29		3	0.47		20	3.11		2	0.31		29	4.51		1	0.16		14	2.18		3	0.47		3	0.47		353	54.90		0	0.00		1	0.16		6	0.93		1	0.16		0	0.00		1	0.16		155	24.11		8	1.24		0	0.00		9	1.40		0	0.00		0	0.00		0	0.00		0	0.00		643	93.32		46	6.68		689	0.96
Special Hospitals		3	2.14		1	0.71		0	0.00		1	0.71		3	2.14		0	0.00		3	2.14		0	0.00		1	0.71		73	52.14		1	0.71		0	0.00		0	0.00		0	0.00		1	0.71		0	0.00		51	36.43		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	1.43		0	0.00		140	97.22		4	2.78		144	0.20
Prison Mobiles		0	0.00		0	0.00		1	50.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	50.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	66.67		1	33.33		3	0.00
Total Ordinary		2911	5.01		982	1.69		1163	2.00		40	0.07		1962	3.37		128	0.22		1907	3.28		309	0.53		170	0.29		29578	50.86		181	0.31		62	0.11		293	0.50		22	0.04		68	0.12		61	0.10		16148	27.76		524	0.90		67	0.12		1176	2.02		87	0.15		30	0.05		269	0.46		23	0.04		58161	93.02		4363	6.98		62524	86.71
ABSENT		195	4.17		105	2.25		63	1.35		4	0.09		231	4.94		0	0.00		269	5.75		61	1.30		11	0.24		1978	42.30		22	0.47		3	0.06		50	1.07		3	0.06		9	0.19		9	0.19		1382	29.56		85	1.82		6	0.13		144	3.08		2	0.04		2	0.04		42	0.90		0	0.00		4676	95.88		201	4.12		4877	6.76
POSTAL		163	7.88		39	1.89		19	0.92		0	0.00		42	2.03		1	0.05		58	2.80		3	0.15		5	0.24		938	45.36		1	0.05		2	0.10		1	0.05		0	0.00		0	0.00		1	0.05		727	35.15		12	0.58		2	0.10		32	1.55		0	0.00		1	0.05		20	0.97		1	0.05		2068	97.78		47	2.22		2115	2.93
PRE_POLL		86	4.10		36	1.72		51	2.43		0	0.00		81	3.86		2	0.10		85	4.06		12	0.57		5	0.24		1013	48.33		14	0.67		3	0.14		11	0.52		2	0.10		2	0.10		3	0.14		597	28.48		24	1.15		3	0.14		52	2.48		1	0.05		2	0.10		10	0.48		1	0.05		2096	97.44		55	2.56		2151	2.98
PROVISIONAL		9	2.24		7	1.74		7	1.74		0	0.00		23	5.72		0	0.00		14	3.48		1	0.25		2	0.50		229	56.97		2	0.50		1	0.25		0	0.00		0	0.00		0	0.00		0	0.00		85	21.14		10	2.49		0	0.00		11	2.74		0	0.00		0	0.00		1	0.25		0	0.00		402	91.57		37	8.43		439	0.61
Division Summary		3364	4.99		1169	1.73		1303	1.93		44	0.07		2339	3.47		131	0.19		2333	3.46		386	0.57		193	0.29		33736	50.05		220	0.33		71	0.11		355	0.53		27	0.04		79	0.12		74	0.11		18939	28.1		655	0.97		78	0.12		1415	2.1		90	0.13		35	0.05		342	0.51		25	0.04		67403	93.48		4703	6.52		72106	93.61
